,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.4680606677368823,0.4688121409336534,0.4683345545901811,[0 1],0.509892180466869,0.49010781953313093,0.5265734111199505,0.4734265888800495,61,55,6,6,0.46189344200404614,0.46881911269935805,0.5907932896510433,-0.06229028416514093,0.0,0.0,0.542329788673365,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  0.   6.  17.  24.  28.  36.  88.  92. 111. 113. 118. 125.]
1,0.5108616272446181,0.5074157269407994,0.5119921683798335,[0 1],0.537836514929026,0.46216348507097404,0.5235190668061709,0.47648093319382917,60,55,7,6,0.49925539305091604,0.4666296176203162,0.5750988876447859,0.014884018727617021,0.0,0.0,0.5081980824633692,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 15.  19.  27.  29.  32.  35.  39.  46.  51.  54.  79.  98. 106.]
2,0.527846378031518,0.52986463218023,0.530825165981663,[0 1],0.5060596480134893,0.4939403519865107,0.5269631657980743,0.4730368342019256,61,55,6,6,0.5286435439966297,0.512204859193323,0.6236145530353308,0.059835965353203346,0.0,0.0,0.47826723769238455,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  1.   9.  21.  30.  45.  47.  48.  56.  81.  93.  96. 103.]
3,0.5853307985533439,0.5819242716240882,0.5901332017760237,[0 1],0.5382338431179082,0.46176615688209177,0.5234870220858077,0.4765129779141923,60,55,7,6,0.5763109003736869,0.509972783255959,0.6357640212198326,0.16577089447100768,0.0,0.0,0.4385172738476456,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  7.  11.  18.  22.  33.  76.  85. 101. 105. 112. 120. 121. 122.]
4,0.520378984379286,0.51809471664455,0.5199291408325952,[0 1],0.5393169963586261,0.4606830036413739,0.5233603274895434,0.4766396725104565,60,55,7,6,0.5358297715411111,0.475748884359814,0.6094015299033949,0.036106210702140484,0.0,0.0,0.4646443067720573,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  3.  25.  42.  43.  58.  60.  63.  64.  71.  80.  94. 116. 119.]
5,0.5770791692020967,0.5754592538581658,0.5772007218768799,[0 1],0.5294766392620814,0.47052336073791856,0.524482976810275,0.47551702318972505,60,55,7,6,0.5678888648453403,0.514304403109893,0.6446523520211913,0.15099911374427877,0.0,0.0,0.441846480162316,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  2.   4.  52.  66.  67.  69.  70.  75.  82.  89. 114. 117. 124.]
6,0.6416578714662516,0.642379217985918,0.6413337338540103,[0 1],0.5310904175428056,0.46890958245719433,0.5243033196402798,0.47569668035972024,60,55,7,6,0.6425760686015236,0.563908545619319,0.7126241966510174,0.28337689751173956,0.0,0.0,0.35966159190589675,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 12.  13.  20.  31.  34.  38.  59.  62.  68.  90. 102. 104. 110.]
7,0.43009202225928783,0.4305067686683128,0.43024651463392116,[0 1],0.5076170252054288,0.49238297479457116,0.5270885168000359,0.4729114831999641,60,54,7,7,0.4290149113766682,0.46249970554982694,0.568573347799825,-0.13887744081583842,0.0,0.0,0.5617851115694847,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  5.   8.  14.  23.  26.  61.  74.  77.  78.  83.  97.  99. 100. 108.]
8,0.4123947755117522,0.41397675296304703,0.4151616967660647,[0 1],0.5083998320033599,0.4916001679966401,0.5267250615797554,0.47327493842024454,61,55,6,6,0.41129751404528336,0.45698262804681666,0.527087016706125,-0.17239813076412114,0.0,0.0,0.5807394658875046,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 16.  41.  44.  49.  53.  57.  65.  84.  86.  91. 109. 127.]
9,0.5041817005877053,0.5004609786990258,0.5086376128778956,[0 1],0.539948959560267,0.460051040439733,0.5232838909968954,0.4767161090031045,60,55,7,6,0.4998109232966429,0.45826686706908265,0.564743658349715,0.0009313073190742038,0.0,0.0,0.498263881951315,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 DecisionTreeClassifier(min_samples_split=20,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 10.  37.  40.  50.  55.  72.  73.  87.  95. 107. 115. 123. 126.]
