,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.5805469403570135,0.5517289035278983,0.5879093198992443,[0 1],0.6134760705289672,0.38652392947103276,0.6511586598895994,0.34884134011040063,61,33,6,4,0.5667348915141976,0.39462009078270727,0.39442946616235386,0.10639474958141404,0.0,0.0,0.3982755081082171,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 0.  4. 30. 67. 72. 73. 89. 90. 91. 97.]
1,0.6010535442748923,0.5719622074978825,0.6141131595677051,[0 1],0.610553083280356,0.389446916719644,0.651433875216685,0.3485661247833149,61,33,6,4,0.5661483686400662,0.5136109060398486,0.5134283795659673,0.15064815971558876,0.20404831864185438,0.12928501469147893,0.4224616389160916,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[17. 31. 41. 48. 69. 77. 78. 84. 87. 99.]
2,0.6242023806132029,0.5432394699774379,0.6505696530295184,[0 1],0.6866908337648887,0.31330916623511135,0.6433436869925344,0.35665631300746553,60,34,7,3,0.6900363673759395,0.4099027267476165,0.40950683140168814,0.0962423204504006,0.11487603305785124,0.04256198347107438,0.35520361991045135,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[10. 15. 18. 22. 28. 50. 53. 57. 58. 68.]
3,0.5943745733825009,0.5539428200189974,0.6402584968884634,[0 1],0.6320009573958832,0.3679990426041168,0.6492469631176826,0.35075303688231735,60,33,7,4,0.6117102729065541,0.496134488586664,0.495685276958292,0.12242046013316576,0.2016260162601626,0.1538211382113821,0.415934959349593,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  1.   2.   3.  25.  32.  46.  51.  59.  64. 100. 101.]
4,0.6154829240002516,0.574137635794072,0.621279587532224,[0 1],0.6437778298570425,0.3562221701429576,0.6479047855194644,0.3520952144805356,60,33,7,4,0.5982551838848121,0.386054122423528,0.38581128191621955,0.15223438874873807,0.005592105263157895,0.0,0.3980263157894737,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[11. 16. 20. 26. 27. 29. 42. 44. 45. 47. 65.]
5,0.517459074188611,0.4650253258920862,0.5383714118336262,[0 1],0.644522554188635,0.355477445811365,0.6478172826581076,0.3521827173418925,60,33,7,4,0.4327309339214048,0.3120811418318539,0.3116749265331029,-0.0746146117216171,0.06295319709953856,0.038562953197099535,0.5339485827290711,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 9. 21. 37. 43. 61. 62. 74. 79. 80. 86. 92.]
6,0.7395964016932493,0.6529977202754471,0.7684452387030891,[0 1],0.6963237171304569,0.303676282869543,0.6422490244767648,0.3577509755232352,60,34,7,3,0.6278306708292734,0.5924574410067109,0.5923953404141974,0.3585110139261789,0.3930222782681799,0.35813366960907944,0.4372135655369749,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[ 6. 14. 23. 39. 63. 71. 75. 83. 85. 98.]
7,0.5974542230786344,0.502972136056676,0.6360860160325741,[0 1],0.6972897315180049,0.30271026848199517,0.6421269568303102,0.35787304316968976,60,34,7,3,0.5506008704509961,0.3144347607555229,0.3141338207864567,0.006848349640084961,0.05044136191677175,0.013030685161832704,0.4677007299283647,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[12. 35. 49. 54. 55. 60. 82. 93. 94. 95.]
8,0.560421030823176,0.5472356907402662,0.6346299570598636,[0 1],0.6115180601161909,0.388481939883809,0.6513591039475481,0.34864089605245185,61,33,6,4,0.5685627130724926,0.4972351355351876,0.49709103305586716,0.10940960587438553,0.1905071521456437,0.14564369310793238,0.4769180754226965,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  5.   8.  13.  33.  34.  38.  40.  76.  88. 103.]
9,0.5088320225652957,0.4677395665752992,0.5746817704075674,[0 1],0.6420646969520029,0.3579353030479972,0.6481085922965617,0.3518914077034383,60,33,7,4,0.5068691150927195,0.3429886677456356,0.3428115950335906,-0.07495299517618914,0.026101141924959218,0.0003262642740619902,0.48253910512830933,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 RandomForestClassifier(min_samples_split=20, n_jobs=-1,
                                        random_state=RandomState(MT19937) at 0x1CBDFC88C40))])",[  7.  19.  24.  36.  52.  56.  66.  70.  81.  96. 102.]
