,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.6346946832363772,0.6350029671318363,0.6347046087225487,[0 1],0.4896381070213424,0.5103618929786576,0.4840943442651763,0.5159056557348237,60,58,7,6,0.6591619288271215,0.6759241136653352,0.675750968364057,0.2697602845243051,0.23939393939393938,0.16121212121212122,0.3638660770685243,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  5.   7.  11.  21.  22.  24.  30.  41.  47.  53.  82. 114. 128.]
1,0.7262265359256691,0.7294533697485741,0.7262092949731268,[0 1],0.46632943408156813,0.5336705659184319,0.4866930818051124,0.5133069181948876,61,57,6,7,0.7574893565748253,0.7445777564003051,0.7441013806494325,0.45482123984690503,0.48459715639810425,0.15758293838862558,0.28813559322097704,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  8.  13.  18.  50.  56.  59.  69.  80.  93. 100. 101. 122. 123.]
2,0.715281835141526,0.720756045327914,0.7164670658682635,[0 1],0.47365269461077847,0.5263473053892216,0.48595723660997814,0.5140427633900219,60,57,7,7,0.748724631052699,0.8057328797423219,0.8056671341703233,0.4370727741542334,0.49032992036405004,0.3503981797497156,0.29749715585893055,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 32.  33.  42.  67.  70.  81.  85.  92. 102. 111. 112. 113. 116. 130.]
3,0.5964005682140309,0.6019021787953203,0.5980245435498354,[0 1],0.47381023645615084,0.5261897635438492,0.48593909883208075,0.5140609011679192,60,57,7,7,0.6727193150776488,0.6363615809234863,0.6361330316341098,0.20179307181982542,0.12514220705346984,0.06143344709897611,0.3720136518771331,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 20.  26.  31.  35.  43.  49.  58.  79.  91.  98. 106. 109. 119. 121.]
4,0.6571138301215058,0.6570271344393662,0.6571155682903533,[0 1],0.5078000636739892,0.49219993632601083,0.48211345082512874,0.5178865491748712,60,58,7,6,0.7193298916812322,0.6979595570702959,0.696765696563896,0.31405738924032345,0.39003880983182404,0.13260025873221215,0.34294670846321684,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 10.  12.  46.  48.  62.  65.  71.  77.  87.  88. 107. 117. 120.]
5,0.6370962470054659,0.6382386962882319,0.6376073814826598,[0 1],0.5077951002227171,0.4922048997772829,0.4821121973439854,0.5178878026560145,60,58,7,6,0.6894126071481224,0.7074294731598021,0.7072956197037369,0.27608015887957627,0.35294117647058826,0.2553329023917259,0.35294117647058776,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  1.   2.  15.  17.  51.  61.  74.  78.  84.  95.  99. 108. 125.]
6,0.6649654113745298,0.6674190709569513,0.6641342196897753,[0 1],0.4482431149097816,0.5517568850902185,0.4886933352031694,0.5113066647968306,61,57,6,7,0.7005738855340653,0.7581753150929883,0.7578886929842321,0.330265506035645,0.37406769936890416,0.31210556511761334,0.3384968445209446,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  0.   3.  23.  28.  34.  38.  52.  63.  72. 103. 104. 110. 126.]
7,0.5898517479393297,0.5885282895615898,0.5901360544217688,[0 1],0.4748299319727891,0.5251700680272109,0.48566557650824577,0.5143344234917542,61,58,6,6,0.5677834152352391,0.5204239902901113,0.5200812694680693,0.17725740391698575,0.010362694300518135,0.0,0.42765042979934875,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 16.  25.  29.  36.  44.  45.  57.  64.  90.  96. 105. 118.]
8,0.6615523333487257,0.6640416300961303,0.6643018381167365,[0 1],0.5014511447920026,0.4985488552079974,0.4828382491865225,0.5171617508134775,60,58,7,6,0.7318673227871533,0.693992817089438,0.6937446608759344,0.328252231518119,0.278137128072445,0.18175937904269082,0.2951768488738132,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  9.  27.  54.  55.  66.  73.  75.  76.  86.  94. 124. 127. 129.]
9,0.5583434226139331,0.5583253729602484,0.5584748478051906,[0 1],0.5043255366869593,0.4956744633130407,0.48251111655754353,0.5174888834424565,60,58,7,6,0.6267539172838522,0.6903166220890232,0.6902077620548507,0.11667791510965086,0.3581124757595346,0.3283775048480931,0.44214608920491266,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  4.   6.  14.  19.  37.  39.  40.  60.  68.  83.  89.  97. 115.]
