,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.7396834833572732,0.738545598596531,0.7393031784841075,[0 1],0.4507946210268949,0.5492053789731052,0.460288509368264,0.5397114906317361,61,64,6,7,0.7993556115182555,0.8353703850961919,0.8352101575687125,0.4753875268131639,0.49248747913188645,0.3656093489148581,0.2603389830500172,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  9.  10.  18.  31.  47.  62.  73.  75.  98. 103. 105. 128. 133.]
1,0.7061109470735627,0.7092802884850347,0.7062813329401356,[0 1],0.4703627248599233,0.5296372751400766,0.45811692635504064,0.5418830736449594,60,64,7,7,0.7321114144284409,0.827232817838059,0.8271932424155031,0.4152101906857797,0.5712694877505567,0.515033407572383,0.32727272727380263,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  6.  20.  34.  39.  53.  66.  69.  71.  82.  92. 102. 114. 122. 124.]
2,0.6741637900409203,0.6751516319694078,0.6738680082864753,[0 1],0.4684817993489198,0.5315182006510802,0.4583333333333333,0.5416666666666666,60,64,7,7,0.7692615864270569,0.7645273940014987,0.7643828912219803,0.3485017137518306,0.33240534521158127,0.22438752783964366,0.31901452937509045,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 11.  22.  35.  41.  49.  55.  59.  77.  80. 108. 116. 117. 119. 123.]
3,0.7055881655956143,0.7042940988581011,0.7057607090103397,[0 1],0.47149187592319053,0.5285081240768095,0.45799214433126956,0.5420078556687304,60,64,7,7,0.7783317292672711,0.8203799724609048,0.8203257689103993,0.40900289550822855,0.44829513694801565,0.36668529904974845,0.29122414756847403,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 28.  30.  61.  65.  78.  79.  84.  89. 100. 104. 106. 113. 121. 125.]
4,0.7696977635820882,0.7662307586179711,0.7741267021906454,[0 1],0.46832445233866193,0.5316755476613381,0.45835135944623784,0.5416486405537622,60,64,7,7,0.8499080693435898,0.8580564209903829,0.858003310466021,0.5400062464863514,0.48051224944320714,0.3685968819599109,0.21937639198218262,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 24.  25.  42.  43.  56.  57.  83.  85.  93.  97. 107. 118. 126. 137.]
5,0.715873533660738,0.7055939772210295,0.7217173299905986,[0 1],0.4374804136634284,0.5625195863365716,0.4616682100806985,0.5383317899193015,61,64,6,7,0.7424779114222091,0.7200546991700532,0.7195683664495917,0.42104318994167544,0.18384401114206128,0.07688022284122563,0.28223495702112694,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 12.  13.  19.  45.  60.  70.  76.  81.  88.  94.  95. 101. 131.]
6,0.7275096764490617,0.7319796828073633,0.7266770670826833,[0 1],0.4418096723868955,0.5581903276131045,0.4612203030904639,0.5387796969095361,61,64,6,7,0.7616527397498207,0.7947502718630808,0.7946292130439002,0.455706111776071,0.40804918949133595,0.2509782001117943,0.26607043040804923,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  1.   8.  44.  48.  63.  67.  72.  87.  90. 109. 112. 115. 120.]
7,0.5356254183363482,0.5503968267817941,0.5419982316534041,[0 1],0.46654877689360447,0.5334512231063955,0.4585469800892322,0.5414530199107678,60,64,7,7,0.6031589087088995,0.6187647719694541,0.6185446210217258,0.0987286840574082,0.10939226519337017,0.09723756906077348,0.4264055590655834,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 16.  17.  21.  23.  27.  32.  36.  46.  51.  96. 110. 111. 129. 135.]
8,0.745673316411385,0.7416804838590579,0.7461826562950159,[0 1],0.4479976951887064,0.5520023048112935,0.4606756576311924,0.5393243423688076,60,63,7,8,0.8101349945290631,0.8265760646250189,0.8265062876943284,0.48503591081649056,0.44258872651356995,0.30062630480167013,0.2688102893898999,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])","[  2.   3.   4.  26.  33.  37.  40.  52.  54.  58.  68.  91.  99. 127.
 132.]"
9,0.7434055762649342,0.741106174439792,0.7441998810232004,[0 1],0.4681737061273052,0.5318262938726949,0.4583735240312656,0.5416264759687344,60,64,7,7,0.8132122522307406,0.8431985842310503,0.8429967317034346,0.4842005511717752,0.5866890380313199,0.5011185682326622,0.24714104193039607,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  0.   5.   7.  14.  15.  29.  38.  50.  64.  74.  86. 130. 134. 136.]
