,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.6017262519865036,0.5143063546531128,0.6172839506172839,[0 1],0.6975308641975309,0.30246913580246915,0.6850534692862472,0.3149465307137528,60,25,7,2,0.6306360181782664,0.4039604350236744,0.4033834910345877,0.030582136061550247,0.1239067055393586,0.09766763848396501,0.39127686472882,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[25. 35. 36. 46. 54. 81. 83. 92. 93.]
1,0.848002509851402,0.8210649227218212,0.8498201438848921,[0 1],0.6632194244604317,0.33678057553956836,0.6888679338925009,0.3111320661074991,61,24,6,3,0.8995478717385892,0.798659544854421,0.7976867791887502,0.6563636582326147,0.7770360480640854,0.40854472630173566,0.13016949152668414,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 6.  7.  8. 14. 41. 45. 53. 79. 80.]
2,0.9217854516351118,0.926054733327317,0.9197386840877275,[0 1],0.7386840877274848,0.26131591227251516,0.6807711319822046,0.3192288680177954,60,25,7,2,0.972440438588575,0.9489974201989657,0.9489578710397716,0.8038706958568698,0.9410714285714286,0.9107142857142857,0.06785714285714403,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[16. 18. 38. 52. 55. 66. 69. 75. 90.]
3,0.750326162312344,0.7039204356627089,0.761090573012939,[0 1],0.6543438077634011,0.3456561922365989,0.6897421940719481,0.31025780592805186,61,24,6,3,0.8335306580259222,0.7611689587247846,0.7610177906365287,0.43573412846516835,0.5013368983957219,0.4157754010695187,0.25141242937895003,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 0. 20. 26. 32. 33. 58. 74. 76. 87.]
4,0.7998048652134314,0.7465589085872255,0.7974624060150376,[0 1],0.743890977443609,0.25610902255639095,0.6802667325265498,0.3197332674734502,60,25,7,2,0.8216752536989922,0.6676047871333926,0.6671806019214499,0.4812480345333898,0.5724770642201835,0.4990825688073395,0.2605504587155964,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[17. 23. 27. 37. 50. 59. 62. 77. 82.]
5,0.8045069158503833,0.797733301181577,0.800340570455513,[0 1],0.6790123456790124,0.32098765432098764,0.687175389532561,0.3128246104674391,60,24,7,3,0.8689397404022852,0.7261603824092265,0.7256468264882928,0.5652288359636976,0.5517241379310345,0.37002652519893897,0.20250783698935337,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 4.  9. 10. 15. 30. 39. 48. 51. 85. 88.]
6,0.7826715086855093,0.7172537060567556,0.7994836488812392,[0 1],0.6772805507745266,0.3227194492254733,0.6873659534141354,0.31263404658586463,60,24,7,3,0.8493079203727234,0.7817124675214556,0.7815809605520966,0.4864590090551465,0.6346666666666667,0.47733333333333333,0.23733333333333306,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 3.  5. 12. 28. 44. 47. 60. 61. 67. 68.]
7,0.6731999067179859,0.6037491875325525,0.6967854039965248,[0 1],0.6754995655951347,0.3245004344048653,0.6875591649643764,0.31244083503562353,60,24,7,3,0.7723102484966663,0.5237369682772826,0.5229135807789811,0.23077482825478135,0.2824631860776439,0.18473895582329317,0.30289389067527406,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 1. 31. 34. 43. 63. 65. 71. 86. 89. 91.]
8,0.5963153127901271,0.5531447662665946,0.5982267848810079,[0 1],0.65142323845077,0.34857676154923006,0.6900148294611962,0.30998517053880376,61,24,6,3,0.6176635865333348,0.3961881958135158,0.3954927938744316,0.10725744059787023,0.0642570281124498,0.012048192771084338,0.37750716332515943,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[11. 13. 19. 24. 29. 42. 49. 70. 72.]
9,0.8427678371387746,0.8275093471383377,0.8410652920962199,[0 1],0.6855670103092784,0.31443298969072164,0.6864055874282864,0.31359441257171367,60,24,7,3,0.8779684867907475,0.8650401803096159,0.8649821814050302,0.6398755769616697,0.7581967213114754,0.7062841530054644,0.17622950819672153,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 2. 21. 22. 40. 56. 57. 64. 73. 78. 84.]
