,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.0014710208884965992,0.0043027360988525665,0.027140335392762505,0.018093556928508336,0.026625478081788723,0.001654898499558688,0.003236245954692518,0.011988820241247367,0.02316857899382163,0.019969108561341486,0.0021329802883199855,0.028611356281259104,0.003714327743453927,0.00897322741982931,0.0,0.06178287731685783,0.02828037658134741,0.015335392762577227,0.06273904089438065,0.05751691674021764,0.053949691085613316,0.013533392174168823,0.004744042365401491,0.020962047661076677,0.08954839658723146,0.08193586348926152,0.024970579582230035,0.006104736687260859,0.022800823771697454,0.009598411297440324,0.010885554574874945,0.0,0.007869961753456889,0.030670785525154454,0.015188290673727511,0.003530450132391838,0.0,0.06435716387172696,0.08134745513386288,0.17122683142100614,0.04026919682259478,0.01654898499558688,0.011841718152397762,0.05497940570756099,0.03342894969108556,0.01743159752868484,0.00018387761106197775,0.014710208884966103,0.0077228596646071734,0.0028684907325683406,0.007428655486907854,0.004670491320976744,0.005075022065313295,0.0,0.037474257134451294,0.03519417475728148,0.0038982053545160156,0.003861429832303531,0.0,0.014820535451603334,0.044277728743748135,0.072153574580759,0.019160047072668385,0.000625183877611013,0.01290820829655781,0.021734333627537405
Decis train Iter 1,0.0014342453662841148,0.003934980876728389,0.02986172403648124,0.016328331862312417,0.027912621359223233,0.002059429243895239,0.0029420417769931984,0.0114371874080611,0.023315681082671347,0.020410414827890522,0.002280082377169701,0.02945719329214469,0.003530450132391838,0.00897322741982931,0.0,0.0623345101500441,0.02787584583701086,0.015225066195939885,0.06277581641659302,0.05520005884083545,0.05457487496322444,0.012724330685495722,0.0043027360988525665,0.020631067961164984,0.08822447778758458,0.08050161812297729,0.025448661370991443,0.0061782877316857165,0.023977640482494844,0.011253309796999011,0.011621065019123189,0.0,0.008311268020005813,0.031001765225066147,0.014746984407178476,0.0033833480435421226,0.0,0.06387908208296555,0.08057516916740215,0.17038099441012056,0.04026919682259478,0.017210944395410377,0.012503677552221149,0.05564136510738449,0.03331862312444833,0.01735804648425998,0.00029420417769931984,0.015041188584877796,0.007612533097969942,0.0029788172992055717,0.007575757575757569,0.004486613709914655,0.00433951162106494,0.0,0.0369593998234774,0.034716092968520074,0.003861429832303531,0.003530450132391838,0.0,0.013827596351868143,0.04442483083259774,0.07156516622536035,0.018865842894969065,0.0007355104442482441,0.011510738452485958,0.020447190350102895
Decis train Iter 2,0.0015813474551338302,0.0043027360988525665,0.02875845837010882,0.017468373050897212,0.02688290673727567,0.0022433068549573276,0.0027213886437187362,0.012430126507796402,0.02195498676081198,0.020336863783465664,0.0024639599882317897,0.02897911150338328,0.003420123565754607,0.00856869667549276,0.0,0.06115769343924682,0.029126213592232997,0.015188290673727511,0.06159899970579574,0.055714916151809346,0.05534716092968517,0.012577228596646006,0.003934980876728389,0.019564577817004936,0.08995292733156801,0.07939835245660487,0.025264783759929355,0.0060679611650484855,0.023205354516034116,0.009598411297440324,0.010481023830538283,0.0,0.009083553986466542,0.031075316269491005,0.014930862018240565,0.0033465725213297493,0.0,0.06413651073845239,0.08138423065607525,0.17141070903206823,0.040820829655781043,0.018167107972933194,0.01202559576345974,0.05288320094145327,0.03339217416887319,0.017210944395410377,0.00022065313327446212,0.014710208884966103,0.00827449249779344,0.0030523683436304294,0.006877022653721587,0.004744042365401491,0.004082082965578104,0.0,0.03648131803471599,0.03684907325684017,0.0037878787878787845,0.0037511032656663,0.0,0.013864371874080517,0.04335834068843769,0.07226390114739623,0.019454251250367705,0.0008458370108854751,0.011179758752574265,0.02147690497205057
Decis train Iter 3,0.0015813474551338302,0.004376287143277424,0.02787584583701086,0.01713739335098552,0.027508090614886682,0.0020226537216827545,0.002574286554869021,0.011694616063548047,0.024161518093556822,0.018681965283906976,0.002500735510444163,0.028133274492497695,0.003236245954692518,0.008090614886731351,0.0,0.06067961165048541,0.027140335392762505,0.015041188584877796,0.06215063253898201,0.057369814651368034,0.05608267137393341,0.013606943218593681,0.0037511032656663,0.019491026772580078,0.08958517210944394,0.08167843483377457,0.02570609002647828,0.005773756987349166,0.022506619593998134,0.010076493086201732,0.01114298323036178,0.0,0.008458370108855529,0.03155339805825241,0.01478375992939096,0.003420123565754607,0.0,0.06365842894969098,0.08149455722271248,0.1711165048543689,0.039938217122683084,0.01625478081788756,0.012944983818770184,0.053361282730214676,0.033943807002059345,0.017394822006472466,0.00018387761106197775,0.015114739629302654,0.007796410709032031,0.0030891438658428028,0.007171226831420907,0.00533245072080013,0.00433951162106494,0.0,0.03618711385701667,0.03559870550161803,0.004082082965578104,0.0032730214769048915,0.0,0.01448955575169164,0.04332156516622532,0.0714916151809355,0.018865842894969065,0.0008090614886731018,0.011804942630185278,0.020962047661076677
Decis train Iter 4,0.001985878199470381,0.004229185054427709,0.02728743748161222,0.017321270962047608,0.027250661959399736,0.002096204766107612,0.002611062077081394,0.011290085319211496,0.022285966460723672,0.020116210650191202,0.0021329802883199855,0.02857458075904673,0.0034568990879669803,0.009010002942041684,0.0,0.061120917917034334,0.027360988526036967,0.015335392762577227,0.062003530450132294,0.05637687555163273,0.053729037952338854,0.012871432774345326,0.003971756398940762,0.019858781994704255,0.0898058252427184,0.07792733156810816,0.024713150926743088,0.0061782877316857165,0.022396293027360903,0.010113268608414216,0.012172697852309455,0.0,0.008237716975580955,0.031774051191526875,0.014746984407178476,0.0038982053545160156,0.0,0.06649014416004706,0.08278170050014699,0.1719623418652544,0.03920270667843473,0.01596057664018824,0.012099146807884598,0.053729037952338854,0.033245072080023474,0.01695351573992343,0.00029420417769931984,0.014048249485142605,0.008936451897616937,0.0037878787878787845,0.006288614298322948,0.0043027360988525665,0.004008531921153247,0.0,0.0354883789349808,0.03519417475728148,0.00404530744336562,0.003934980876728389,0.0,0.015114739629302654,0.04442483083259774,0.0718225948808473,0.01912327155045601,0.0004780817887612976,0.01231979994115906,0.02206531332744921
Decis train Iter 5,0.0016916740217710613,0.004486613709914655,0.027213886437187362,0.016696087084436595,0.02658870255957624,0.001654898499558688,0.0030891438658428028,0.011473962930273585,0.02324213003824649,0.02018976169461606,0.0023536334215945587,0.028243601059135037,0.0030891438658428028,0.008531921153280275,0.0,0.06108414239482196,0.027544866137099056,0.014820535451603334,0.06090026478375987,0.05527360988526031,0.05475875257428653,0.013901147396293001,0.003934980876728389,0.020226537216828433,0.08918064136510728,0.07906737275669307,0.024897028537805177,0.006104736687260859,0.022837599293909938,0.009671962341865181,0.011694616063548047,0.0,0.008899676375404453,0.03125919388055309,0.014746984407178476,0.0036040011768166957,0.0,0.06520300088261244,0.08197263901147389,0.17372756693145042,0.039165931156222356,0.016879964695498573,0.012540453074433633,0.053250956163577445,0.033649602824360025,0.017174168873197893,0.00018387761106197775,0.014599882318328872,0.007869961753456889,0.003125919388055287,0.0073183289202706225,0.005075022065313295,0.004707266843189117,0.0,0.036003236245954584,0.03489997057958216,0.0044130626654897975,0.003824654310091158,0.0,0.014232127096204694,0.04365254486613701,0.07432333039129146,0.019380700205942847,0.0007355104442482441,0.011106207708149407,0.020631067961164984
Decis train Iter 6,0.0013606943218593681,0.00433951162106494,0.027949396881435606,0.016622536040011737,0.025632538982053532,0.001765225066195919,0.0027213886437187362,0.011988820241247367,0.023315681082671347,0.019527802294792562,0.002390408943806932,0.029015887025595655,0.004008531921153247,0.00838481906443067,0.0,0.06156222418358337,0.027066784348337647,0.015445719329214458,0.0623345101500441,0.05549426301853477,0.05273609885260366,0.013018534863195041,0.003861429832303531,0.021035598705501535,0.0889967637540453,0.07914092380111792,0.026772580170638327,0.005884083553986397,0.022690497205060223,0.009929390997352128,0.011878493674610135,0.0,0.008789349808767222,0.032068255369226195,0.014746984407178476,0.0036775522212414424,0.0,0.06546042953809939,0.0817887614004118,0.17446307737569866,0.04030597234480726,0.01654898499558688,0.011804942630185278,0.05634010002942036,0.03537805236834357,0.017394822006472466,0.0004780817887612976,0.014599882318328872,0.008090614886731351,0.0030523683436304294,0.006546042953809894,0.005111797587525668,0.0050382465431008105,0.0,0.03710650191232712,0.03526772580170634,0.0035672256546042114,0.0034936746101793537,0.0,0.01437922918505441,0.042806707855251536,0.07071932921447477,0.018350985583995283,0.0007722859664606174,0.012430126507796402,0.02246984407178576
Decis train Iter 7,0.001654898499558688,0.003934980876728389,0.027839070314798375,0.016622536040011737,0.026662253604001096,0.0019491026772580078,0.0032730214769048915,0.011400411885848727,0.02346278317152095,0.019785230950279398,0.0024639599882317897,0.02964107090320678,0.0030891438658428028,0.008715798764342364,0.0,0.05931891732862604,0.02857458075904673,0.015041188584877796,0.06244483671668133,0.05494263018534862,0.05457487496322444,0.013239187996469504,0.004265960576640082,0.019785230950279398,0.08914386584289491,0.07914092380111792,0.025595763459841048,0.005369226243012615,0.022911150338334796,0.00985583995292727,0.01103265666372455,0.0,0.008090614886731351,0.03243601059135037,0.013165636952044646,0.00404530744336562,0.0,0.0644674904383642,0.08189908796704903,0.17104295380994405,0.038172992056487165,0.017174168873197893,0.012430126507796402,0.054538099441011956,0.03390703147984697,0.017394822006472466,0.0004045307443365509,0.014636657840541245,0.008237716975580955,0.003236245954692518,0.007281553398058249,0.005479552809649846,0.0044130626654897975,0.0,0.03644454251250362,0.0361503383348043,0.003530450132391838,0.0033465725213297493,0.0,0.014710208884966103,0.04471903501029706,0.07075610473668725,0.018645189761694603,0.0006619593998233864,0.011547513974698331,0.021145925272138766
Decis train Iter 8,0.0017284495439834346,0.004155634010002851,0.028243601059135037,0.016475433951162022,0.02552221241541619,0.0019123271550455234,0.002574286554869021,0.011106207708149407,0.02346278317152095,0.020263312739040806,0.0024639599882317897,0.029126213592232997,0.0036040011768166957,0.009193880553103773,0.0,0.06354810238305375,0.028611356281259104,0.015482494851426831,0.062408061194468956,0.054427772874374725,0.05358193586348925,0.012577228596646006,0.004192409532215335,0.019785230950279398,0.09006325389820535,0.07972933215651656,0.025558987937628674,0.006031185642836112,0.022138864371874067,0.010039717563989359,0.011400411885848727,0.0,0.009304207119741004,0.03033980582524265,0.014452780229479156,0.0034568990879669803,0.0,0.06406295969402764,0.08120035304501316,0.17133715798764337,0.04030597234480726,0.01665931156222411,0.013055310385407415,0.05435422182994998,0.03438511326860838,0.016475433951162022,0.00029420417769931984,0.01467343336275373,0.007538982053545085,0.002500735510444163,0.007024124742571303,0.004964695498676064,0.004265960576640082,0.0,0.03604001176816707,0.03489997057958216,0.004192409532215335,0.003824654310091158,0.0,0.014746984407178476,0.043100912032950855,0.0704986760812003,0.018755516328331834,0.0008090614886731018,0.012135922330097082,0.021734333627537405
Decis train Iter 9,0.0015445719329213459,0.004118858487790478,0.02905266254780814,0.016879964695498573,0.02680935569285081,0.0021329802883199855,0.0030891438658428028,0.011878493674610135,0.023499558693733436,0.01901294498381867,0.0023168578993820743,0.02839070314798464,0.003714327743453927,0.008605472197705133,0.0,0.0616725507502206,0.02828037658134741,0.015114739629302654,0.06078993821712264,0.055714916151809346,0.05380258899676371,0.012981759340982557,0.0036775522212414424,0.02018976169461606,0.08918064136510728,0.07844218887908205,0.025375110326566586,0.006288614298322948,0.023205354516034116,0.010260370697263821,0.011694616063548047,0.0,0.008237716975580955,0.0314062959694027,0.015114739629302654,0.0030891438658428028,0.0,0.0642836128273021,0.07921447484554278,0.1707855251544571,0.040747278611356186,0.016328331862312417,0.011106207708149407,0.05428067078552512,0.03313474551338624,0.017027066784348288,0.0001471020888496044,0.014416004707266783,0.0077228596646071734,0.0033833480435421226,0.007502206531332711,0.00463371579876426,0.004670491320976744,0.0,0.035709032068255264,0.034054133568696576,0.004118858487790478,0.0036775522212414424,0.0,0.013937922918505374,0.04435127978817288,0.0729626360694321,0.01989555751691674,0.0006987349220358707,0.012246248896734313,0.020631067961164984
