,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea train Iter 0,0.13818348204072295,0.00017158544955386823,-0.00025737817433080235,0.0005433539235872864,0.0020876229695722115,0.138498055364905,0.254690002287806,0.05013154884465798,0.001544269045984925,-5.71951498512524e-05,0.24694005948295583,8.579272477693412e-05,0.2482841455044612,0.286461908030199,2.8597574925681712e-05,0.0006577442232899022,5.71951498512524e-05,0.1413864104323953,0.1417867764813544,0.12359871882864337,0.00014298787462818652,0.041552276366964125,0.0024021962937542662,0.03317318691374971,0.2567204301075269,0.2923530084648822,-0.00037176847403341817,0.23103980782429645,0.0007149393731411546,0.0038320750400365755,0.003574696865705773,2.8597574925681712e-05,0.015499885609700281,0.00040036604895898886,0.29332532601235417,0.2985586822237474,0.0,0.003803477465111005,0.003975062914664873,0.2716197666437886,0.29873026767330135,2.8597574925681712e-05,-0.00017158544955386823,0.0006577442232899022,0.1308911004346831,0.001544269045984925,2.8597574925681712e-05,8.579272477693412e-05,8.579272477693412e-05,0.14616220544497827,5.71951498512524e-05,0.002802562342713366,0.01195378631892019,0.00011439029970261583,0.001058110272248891,0.0004575611988103523,0.2780828185769847,0.2830873941889728,0.00011439029970261583,0.0006863417982154729,0.00020018302447954994,0.0,0.00028597574925648406,2.8597574925681712e-05,0.00014298787462818652,0.0006291466483642205
Linea train Iter 1,0.1381262868908717,-0.00020018302447954994,0.00025737817433080235,0.0004289636238846706,0.0014012811713566276,0.13998512926103868,0.25125829329672844,0.048186913749714066,0.0018016472203157274,-0.000486158773736034,0.24227865477007549,-0.00017158544955386823,0.2476264012811713,0.2870052619537863,-0.00022878059940523165,0.00020018302447954994,-8.579272477693412e-05,0.14038549530999767,0.1406142759094029,0.12165408373369935,0.00028597574925648406,0.04283916723861814,0.0031457332418211026,0.03300160146419584,0.25480439258750853,0.2923530084648822,0.00025737817433080235,0.23424273621596892,0.0005719514985129681,0.0043182338137726095,0.0037462823152596414,5.71951498512524e-05,0.016615191031800536,0.0004289636238846706,0.29241020361473347,0.29884465797300386,8.579272477693412e-05,0.0045184168382521595,0.0048043925875085325,0.27396476778769163,0.2950983756577442,2.8597574925681712e-05,-0.00017158544955386823,0.0006291466483642205,0.13049073438572412,0.00165865934568743,2.8597574925681712e-05,5.71951498512524e-05,8.579272477693412e-05,0.1479352550903683,5.71951498512524e-05,0.0027453671928620027,0.012153969343399629,0.00011439029970261583,0.0014012811713566276,0.0004575611988103523,0.2777110501029513,0.28142873484328523,0.00025737817433080235,0.0004575611988103523,0.00028597574925648406,0.00020018302447954994,0.00020018302447954994,0.00011439029970261583,0.00034317089910773646,0.0004575611988103523
Linea train Iter 2,0.1377259208419126,-5.71951498512524e-05,0.00028597574925648406,0.0013154884465796934,0.0018302447952414092,0.13832646991535114,0.25360329444063145,0.05016014641958366,0.0020590253946465298,-0.0004575611988103523,0.2438515213909861,-5.71951498512524e-05,0.2443662777396477,0.28600434683138865,-0.00014298787462818652,0.00017158544955386823,-0.00014298787462818652,0.13875543353923592,0.14078586135895677,0.12256920613132005,0.00025737817433080235,0.04389727751086703,0.0024879890185312004,0.03137153969343398,0.2531743308167468,0.2922672157401053,-5.71951498512524e-05,0.23450011439029972,0.0007149393731411546,0.004890185312285467,0.0035175017158545208,5.71951498512524e-05,0.015957446808510634,0.0004289636238846706,0.2916094715168154,0.30333447723633034,5.71951498512524e-05,0.004232441088995675,0.0040322580645161255,0.27207732784259897,0.29712880347746506,0.00011439029970261583,-0.00025737817433080235,0.0006577442232899022,0.1311770761839396,0.0013726835964310569,0.0,2.8597574925681712e-05,0.00011439029970261583,0.1478208647906657,5.71951498512524e-05,0.0026881720430107503,0.011867993594143256,0.00011439029970261583,0.0010009151223976387,0.00034317089910773646,0.2745081217112789,0.2814859299931366,0.00028597574925648406,0.0004289636238846706,0.00028597574925648406,0.00022878059940512063,0.0004289636238846706,0.0,0.00037176847403341817,0.00040036604895898886
Linea train Iter 3,0.1406142759094029,0.0,-8.579272477693412e-05,0.0009151223976207046,0.002030427819720848,0.13858384808968194,0.2541752459391443,0.049816975520475815,0.0018016472203157274,-0.00025737817433080235,0.24350835049187824,0.00011439029970261583,0.24897048730267668,0.2838309311370396,-0.00020018302447954994,0.000486158773736034,0.00028597574925648406,0.13912720201326922,0.142301532830016,0.1223690231068405,8.579272477693412e-05,0.04103752001830241,0.0024879890185312004,0.03283001601464197,0.25494738046213683,0.2927533745138412,0.0,0.23744566460764127,0.00040036604895898886,0.004404026538549544,0.003689087165408389,0.0,0.01735872797986726,0.0006005490734385388,0.2928963623884695,0.29870167009837567,0.0,0.004289636238846928,0.0036604895904827073,0.270618851521391,0.301904598490048,8.579272477693412e-05,-8.579272477693412e-05,0.0008865248226950229,0.13217799130633723,0.0016014641958361775,0.0,8.579272477693412e-05,8.579272477693412e-05,0.14707732784259897,5.71951498512524e-05,0.002630976893159498,0.01175360329444064,0.00011439029970261583,0.0014012811713566276,0.000772134522992407,0.2762239762068176,0.2819720887668725,0.00011439029970261583,0.0006005490734385388,0.00025737817433080235,8.579272477693412e-05,0.0004289636238846706,-5.71951498512524e-05,0.00028597574925648406,0.00034317089910773646
Linea train Iter 4,0.13901281171356672,-0.00028597574925648406,-0.00031457332418216577,0.0005433539235872864,0.0015156714710592434,0.14067147105925415,0.25188743994509266,0.05118965911690687,0.0020590253946465298,0.0,0.24219286204529855,0.00017158544955386823,0.2479123770304278,0.28837794555021734,8.579272477693412e-05,0.00034317089910773646,0.00011439029970261583,0.1398135438114848,0.13832646991535114,0.12411347517730498,0.00040036604895898886,0.04129489819263321,0.003202928391672355,0.032887211164493224,0.2536604895904827,0.2942404484099749,-0.0004003660489590999,0.23547243193777168,0.0005433539235872864,0.0045184168382521595,0.0037176847403339597,2.8597574925681712e-05,0.015642873484328468,0.000486158773736034,0.2932967284374285,0.30287691603752,0.0,0.0037462823152596414,0.004203843514069994,0.2760809883321894,0.29835849919926793,2.8597574925681712e-05,-0.00020018302447954994,0.0006577442232899022,0.13074811256005492,0.001258293296728441,-2.8597574925681712e-05,8.579272477693412e-05,8.579272477693412e-05,0.14787805994051706,5.71951498512524e-05,0.002602379318233816,0.01155342026996109,0.00011439029970261583,0.0009437199725462753,0.0005147563486616047,0.27539464653397394,0.2811999542438801,2.8597574925681712e-05,0.0008007320979180887,0.00025737817433080235,0.00022878059940512063,0.00031457332418205475,8.579272477693412e-05,-0.00014298787462818652,5.71951498512524e-05
Linea train Iter 5,0.1378403111416152,0.00014298787462818652,-0.00025737817433080235,-8.579272477693412e-05,0.0015728666209104958,0.13735415236787918,0.2506863417982155,0.04930221917181421,0.001544269045984925,-0.0004289636238846706,0.24390871654083734,5.71951498512524e-05,0.2460535346602608,0.2882063601006635,-0.00034317089910773646,0.00020018302447954994,5.71951498512524e-05,0.13809768931594602,0.14304506977808285,0.12268359643102267,0.00034317089910773646,0.042152825440402664,0.0025451841683825638,0.03325897963852664,0.2552333562113933,0.29189544726607186,-0.000486158773736034,0.2349004804392587,0.0006005490734385388,0.005033173186913764,0.0032601235415237184,8.579272477693412e-05,0.016415008007320986,0.0004575611988103523,0.2920956302905513,0.2962994738046214,0.0,0.004089453214367378,0.003946465339739191,0.27130519331960645,0.29927362159688853,2.8597574925681712e-05,-8.579272477693412e-05,0.0005719514985129681,0.1310340883093114,0.0016872569206131116,0.0,5.71951498512524e-05,5.71951498512524e-05,0.14850720658888128,5.71951498512524e-05,0.002831159917638937,0.011153054221002101,0.00014298787462818652,0.0013154884465796934,0.0004575611988103523,0.2767387325554793,0.2825440402653855,0.0,0.0007149393731411546,5.71951498512524e-05,0.00017158544955386823,0.00040036604895898886,5.71951498512524e-05,0.00014298787462818652,0.00037176847403341817
Linea train Iter 6,0.13921299473804616,5.71951498512524e-05,-2.8597574925681712e-05,0.0004289636238846706,0.0013726835964310569,0.13752573781743305,0.25151567147105924,0.0514184397163121,0.002430793868679948,-0.00011439029970261583,0.24376572866620905,-5.71951498512524e-05,0.2455387783115992,0.2847746511095859,2.8597574925681712e-05,0.000486158773736034,0.00017158544955386823,0.14024250743536948,0.13766872569206134,0.12173987645847628,0.00040036604895898886,0.04098032486845116,0.0021734156943491456,0.03440288263555247,0.2532887211164493,0.2923816060398078,0.00020018302447954994,0.23344200411805083,0.0007435369480668363,0.00474719743765728,0.003574696865705773,5.71951498512524e-05,0.015614275909402897,0.00040036604895898886,0.2956417295813315,0.300131548844658,0.0,0.004718599862731598,0.004261038663921246,0.26958933882406766,0.2990448409974834,2.8597574925681712e-05,-0.00014298787462818652,0.0006863417982154729,0.13226378403111416,0.001258293296728441,2.8597574925681712e-05,8.579272477693412e-05,5.71951498512524e-05,0.14764927934111183,5.71951498512524e-05,0.0024021962937542662,0.01195378631892019,0.00011439029970261583,0.0013154884465796934,0.0005719514985129681,0.27339281628917866,0.28157172271791353,0.00017158544955386823,0.000486158773736034,0.00014298787462818652,0.00020018302447954994,0.0004289636238846706,-5.71951498512524e-05,0.00020018302447954994,0.00040036604895898886
Linea train Iter 7,0.13947037291237707,-0.0004575611988103523,-0.0006005490734385388,0.0005719514985129681,0.002316403568977332,0.14058567833447722,0.25437542896362386,0.04904484099748341,0.002030427819720848,-0.0006291466483642205,0.24556737588652477,0.00011439029970261583,0.24851292610386644,0.2830587966140471,-0.00014298787462818652,5.71951498512524e-05,5.71951498512524e-05,0.13861244566460762,0.1416723861816518,0.12391329215282543,0.00017158544955386823,0.04143788606726151,0.002030427819720848,0.032887211164493224,0.2574925646305193,0.2915522763669641,-5.71951498512524e-05,0.23421413864104323,0.0005147563486616047,0.004404026538549544,0.0038606726149622572,0.0,0.016415008007320986,0.0004289636238846706,0.2886925188743994,0.30007435369480673,-2.8597574925681712e-05,0.003889270189887939,0.004489819263326478,0.27370738961336083,0.299159231297186,8.579272477693412e-05,-0.00017158544955386823,0.0007435369480668363,0.12785975749256462,0.0015156714710592434,0.0,0.00011439029970261583,8.579272477693412e-05,0.1488789750629147,5.71951498512524e-05,0.0022592084191260797,0.011410432395332903,0.00011439029970261583,0.0014298787462823093,0.00040036604895898886,0.2776824525280256,0.2787119652253489,0.00025737817433080235,0.00040036604895898886,0.00020018302447954994,0.00020018302447954994,0.00034317089910773646,0.00011439029970261583,8.579272477693412e-05,0.0005147563486616047
Linea train Iter 8,0.13844086021505375,-0.00020018302447954994,0.00025737817433080235,0.00014298787462818652,0.00165865934568743,0.13961336078700526,0.2538320750400366,0.05090368336765039,0.0020876229695722115,-0.00031457332418216577,0.2442232898650194,0.00011439029970261583,0.24428048501487076,0.2844886753603294,0.00014298787462818652,0.0005147563486616047,0.00014298787462818652,0.14161519103180054,0.14115762983299018,0.1234271333790894,0.00020018302447954994,0.04163806909174106,0.002831159917638937,0.03305879661404709,0.2565202470830473,0.292610386639213,-0.0004003660489590999,0.23627316403568976,0.0008293296728437705,0.004404026538549544,0.0038606726149622572,5.71951498512524e-05,0.016786776481354404,0.000486158773736034,0.293897277510867,0.3032200869366277,2.8597574925681712e-05,0.004289636238846928,0.0043182338137726095,0.2735072065888813,0.29715740105239075,-2.8597574925681712e-05,-0.00017158544955386823,0.0007435369480668363,0.13046213681079843,0.0013726835964310569,5.71951498512524e-05,0.00011439029970261583,8.579272477693412e-05,0.14619080301990395,2.8597574925681712e-05,0.002430793868679948,0.012468542667581795,0.00011439029970261583,0.0013154884465796934,0.0004289636238846706,0.2789693433996797,0.2797700754975978,8.579272477693412e-05,0.00040036604895898886,0.0,0.00017158544955386823,0.00014298787462818652,-2.8597574925681712e-05,0.00028597574925648406,0.00034317089910773646
Linea train Iter 9,0.1394417753374514,0.00011439029970261583,-0.00020018302447954994,0.0005147563486616047,0.0012296957218027593,0.13809768931594602,0.2490848776023793,0.049588194921070694,0.002831159917638937,-0.0005147563486616047,0.24419469229009383,8.579272477693412e-05,0.24642530313429423,0.2868908716540838,-5.71951498512524e-05,0.00017158544955386823,0.00022878059940512063,0.13892701898878979,0.14170098375657747,0.12311256005490734,0.00025737817433080235,0.04132349576755889,0.00308853809196985,0.03305879661404709,0.2550045756119881,0.2894932509723176,0.00011439029970261583,0.23693090825897967,0.0005719514985129681,0.004890185312285467,0.003774879890185323,2.8597574925681712e-05,0.017158544955387822,0.0004575611988103523,0.2954987417067033,0.29715740105239075,0.0,0.004232441088995675,0.00391786776481351,0.2696751315488447,0.301904598490048,8.579272477693412e-05,-5.71951498512524e-05,0.000486158773736034,0.13106268588423697,0.001172500571951507,-2.8597574925681712e-05,0.00011439029970261583,8.579272477693412e-05,0.14784946236559138,5.71951498512524e-05,0.002516586593456882,0.01195378631892019,0.00011439029970261583,0.001458476321207991,0.0008293296728437705,0.2783401967513155,0.2802848318462594,5.71951498512524e-05,0.0007149393731411546,0.00025737817433080235,0.00014298787462818652,0.00040036604895898886,0.00014298787462818652,0.000486158773736034,0.0006291466483642205
