,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.005738332058148443,0.0076961159368108545,0.037197893694585704,0.019510328997704662,0.016562401548224526,0.0057608353211215935,0.0018902740897430714,0.045974166254106885,0.03429497277105187,0.013344434943066807,0.002542868715963875,0.0822494261667942,0.023380890229083184,0.11919978396867548,0.019577838786624113,0.05234258967550298,0.08123677933300333,0.06278410369503584,0.016472388496332036,0.0027003915567757053,0.03582519465322476,0.0948512534317476,0.0505873351635987,0.026666366623160354,0.054435393132004184,0.21497367118232147,0.014649624195508415,0.14507853638777624,0.007853638777622796,0.003127953553265228,0.006188397317611116,0.0,0.015144695980917278,0.005490796165444012,0.02581124263018142,0.0029929339754264372,0.0,0.053130203879562576,0.056280660695800955,0.08740267338764118,0.07552095053782804,0.07412574823349383,0.004613168909491927,0.008911292137359972,0.05069985147846445,0.0036905351275935416,0.00011251631486564051,0.004770691750303868,0.0006750978891939541,0.012534317476034063,0.002295332823259444,0.0038930644943516723,0.018227643008236205,0.0,0.016697421126063317,0.02754399387911244,0.07772627030919488,0.0076961159368108545,0.0,0.05691075205904861,0.010554030334398501,0.03976326567352273,0.022975831495566923,0.00042756199648952276,0.004185606913002404,0.05515549754714433
Decis train Iter 1,0.006120887528691665,0.007606102884918364,0.03773797200594087,0.019712858364462904,0.015324722084702258,0.00531077006165892,0.0020252936675818622,0.04624420540978447,0.03499257392321886,0.013299428417120507,0.002610378504883215,0.08321706647463889,0.02416850443314278,0.12075250911382152,0.01919528331608089,0.05029479274494808,0.07898645303569019,0.061658940546379215,0.016652414600117016,0.0026553850308295157,0.03499257392321886,0.09635897205094746,0.05178000810117467,0.02626130788964398,0.05362527566497144,0.21542373644178403,0.014739637247400905,0.14314325577208697,0.0074035735181601225,0.0034880057608353,0.0064359332103155475,0.0,0.015347225347675408,0.005355776587605221,0.026396327467482772,0.0033754894459696594,0.0,0.05238759620144928,0.05598811827715022,0.08828030064359338,0.07567847337863998,0.07270804266618658,0.004680678698411267,0.009248841081956893,0.05087987758224943,0.003960574283271123,9.001305189260123e-05,0.004815698276250058,0.0006976011521671044,0.012646833790899703,0.002317836086232483,0.003870561231378522,0.01705747333363339,0.0,0.016539898285251375,0.02774652324587068,0.07851388451325447,0.007763625725730305,0.0,0.05756334668526941,0.010644043386290991,0.039290697151086906,0.023650929384760766,0.00033754894459703255,0.0047931950132769074,0.05594311175120392
Decis train Iter 2,0.006278410369503606,0.008168684459246567,0.03688284801296193,0.019892884468247884,0.01566227102929929,0.005265763535712731,0.0018677708267699211,0.045951662991133735,0.03303479004455645,0.013006885998469775,0.002542868715963875,0.08206940006300911,0.025316170844772556,0.12178765921058554,0.01910527026418829,0.0526801386200999,0.08103424996624509,0.06282911022098203,0.016899950492821447,0.0026553850308295157,0.035690175075385966,0.096291462262028,0.0521175570457717,0.026981412304784236,0.05583059543633828,0.21398352761150374,0.015054682929024676,0.14359332103154965,0.007628606147891515,0.003555515549754751,0.006413429947342397,0.0,0.016202349340654454,0.005063234168954489,0.02576623610423512,0.0032404698681308686,0.0,0.05236509293847613,0.05592060848823077,0.08848283001035151,0.07437328412619837,0.07124533057293314,0.004365633016787496,0.009068814978171802,0.051082406949007675,0.003870561231378522,0.00011251631486564051,0.004928214591115698,0.0006750978891939541,0.01212925874251769,0.0024078491381250844,0.003938071020297973,0.016134839551735003,0.0,0.016719924389036467,0.02779152977181698,0.07979657050272293,0.007673612673837704,0.0,0.05873351635987223,0.01039650749358656,0.03985327872541522,0.023290877177190694,0.0004950717854088627,0.004815698276250058,0.054997974706332386
Decis train Iter 3,0.006390926684369247,0.007561096358972064,0.03690535127593508,0.020207930149871767,0.016044826499842513,0.005265763535712731,0.002002790404608712,0.04577163688734864,0.035802691390251606,0.012916872946577285,0.0026328817678563654,0.08328457626355823,0.02450605337773981,0.1225077636257258,0.019645348575543453,0.05191502767901346,0.08107925649219139,0.06215401233178808,0.016877447229848297,0.002610378504883215,0.03627525991268732,0.09660650794365189,0.05175750483820152,0.026688869886133504,0.05504298123227869,0.21337593951122913,0.014402088302803984,0.14224312525316174,0.007291057203294482,0.0037355416535397312,0.006638462577073678,0.0,0.01554975471443365,0.005355776587605221,0.02576623610423512,0.003127953553265228,0.0,0.05153247220847024,0.058395967415275196,0.08776272559521137,0.0760160223232369,0.07340564381835368,0.0045006525946262865,0.008461226877897299,0.05011476664116299,0.003960574283271123,9.001305189260123e-05,0.004545659120572476,0.0006750978891939541,0.012781853368738494,0.0024303524010982347,0.003780548179486032,0.016044826499842513,0.0,0.01588730365903057,0.027116431882623027,0.07932400198028722,0.007381070255186972,0.0,0.05742832710743062,0.010689049912237292,0.03962824609568394,0.02272829560286249,0.00038255547054322214,0.004523155857599326,0.05409784418740715
Decis train Iter 4,0.0059858679508528745,0.007066024573563201,0.03762545569107523,0.019802871416355394,0.01584229713308427,0.005648319006255953,0.0020252936675818622,0.045659120572483,0.03501507718619201,0.014064539358206951,0.0027228948197488556,0.0830820468968001,0.024708582744497942,0.11924479049462178,0.0190152572122958,0.05229758314955668,0.07966155092488414,0.06107385570907786,0.016179846077681304,0.0030829470273190385,0.03692785453890812,0.09512129258742519,0.05164498852333588,0.026328817678563432,0.054435393132004184,0.21497367118232147,0.01561726450335299,0.1436158242945227,0.007898645303568985,0.003555515549754751,0.006638462577073678,0.0,0.01581979387011123,0.005378279850578371,0.025586210000450138,0.0027904046086683065,0.0,0.05328772672037452,0.05558305954363385,0.08780773212115756,0.07653359737161891,0.07250551329942845,0.004230613438948705,0.009496376974661325,0.05045231558575991,0.0038480579684054828,0.00011251631486564051,0.0047931950132769074,0.0007201044151402547,0.012421801161168422,0.0024303524010982347,0.004230613438948705,0.016832440703902107,0.0,0.016494891759305075,0.02783653629776317,0.07927899545434092,0.007516089833025763,0.0,0.05907106530446915,0.010689049912237292,0.03969575588460328,0.02279580539178183,0.00042756199648952276,0.004635672172465077,0.0555605562806607
Decis train Iter 5,0.00693100499572441,0.007493586570052724,0.03647778927944556,0.02059048562041499,0.01586480039605742,0.0055358026913903124,0.0019127773527162217,0.04673927719519333,0.03433997929699806,0.012871866420630984,0.0027003915567757053,0.08276700121517622,0.024888608848283034,0.120842522165714,0.020005400783113525,0.05236509293847613,0.08083172059948696,0.061658940546379215,0.016157342814708153,0.0029254241865070973,0.03591520770511725,0.09721409604392639,0.0514649624195509,0.027363967775327458,0.05391781808362217,0.21281335793690093,0.014694630721454605,0.14611368648454026,0.007741122462757155,0.0037580449165128815,0.006705972365993129,0.0,0.016269859129573794,0.005783338584094744,0.02612628831180519,0.0031054502902920778,0.0,0.05400783113551466,0.05531302038795627,0.088572843062244,0.07473333633376844,0.07225797740672402,0.004613168909491927,0.009203834556010593,0.05047481884873306,0.004140600387056104,0.00011251631486564051,0.004590665646518777,0.0006075881002746142,0.012646833790899703,0.002452855664071274,0.003960574283271123,0.01705747333363339,0.0,0.016742427652009617,0.02801656240154826,0.07705117242000092,0.007628606147891515,0.0,0.058305954363382706,0.01023898465277473,0.040573383140555364,0.023020838021513113,0.00042756199648952276,0.004410639542733685,0.056348170484720295
Decis train Iter 6,0.006278410369503606,0.007381070255186972,0.03620775012376798,0.019847877942301695,0.01577478734416493,0.005265763535712731,0.0019802871416355616,0.04694180656195146,0.03488005760835322,0.013209415365228017,0.0027904046086683065,0.08251946532247179,0.024641072955578602,0.1187497187092128,0.020275439938791107,0.0505873351635987,0.080156622710293,0.0620189927539494,0.016539898285251375,0.0027679013456951562,0.03508258697511146,0.09644898510283995,0.05155497547144339,0.026778882938025994,0.05364777892794459,0.21492866465637517,0.014739637247400905,0.14262568072370496,0.007718619199784005,0.003352986182996509,0.006323416895449907,0.0,0.01568477429227244,0.005918358161933535,0.02601377199693955,0.00333048292002347,0.0,0.053040190827670086,0.05562806606958015,0.08834781043251272,0.0766236104235114,0.07266303614024039,0.004478149331653136,0.00857374319276294,0.05049732211170621,0.003803051442459182,0.00011251631486564051,0.004613168909491927,0.0006300913632476535,0.012601827264953402,0.002295332823259444,0.004163103650029254,0.016652414600117016,0.0,0.016337368918493245,0.027318961249381157,0.07914397587650213,0.006863495206804959,0.0,0.058328457626355856,0.010171474863855279,0.04025833745893159,0.023673432647733916,0.00047256852243582337,0.004230613438948705,0.05506548449525184
Decis train Iter 7,0.006660965840046829,0.007876142040595946,0.03665781538323054,0.020410459516629897,0.015347225347675408,0.00517575048382013,0.0019127773527162217,0.04554660425761736,0.03517260002700395,0.012759350105765344,0.0026553850308295157,0.08348710563031647,0.024618569692605452,0.11931230028354112,0.019937890994194185,0.05245510599036862,0.08139430217381527,0.06278410369503584,0.01541473513659486,0.002970430712453287,0.03679283496106933,0.09480624690580142,0.0514649624195509,0.026441333993429073,0.056123137854989014,0.2152212070750259,0.015279715558756068,0.1422206219901886,0.007741122462757155,0.003195463342184679,0.006413429947342397,0.0,0.016179846077681304,0.00519825374679328,0.025158648003960615,0.0033979927089428097,0.0,0.05245510599036862,0.05533552365092942,0.08702011791709796,0.07502587875241917,0.072438003510509,0.004478149331653136,0.009068814978171802,0.049709707907646616,0.004118097124083064,0.00018002610378509143,0.004658175435438117,0.0006300913632476535,0.012534317476034063,0.002227823034339993,0.004073090598136764,0.017620054907961702,0.0,0.016134839551735003,0.027251451460461817,0.07734371483865166,0.007876142040595946,0.0,0.0570007651109411,0.0105090238084522,0.03956073630676449,0.023133354336378753,0.00038255547054322214,0.004568162383545626,0.05607813132904271
Decis train Iter 8,0.0062109005805841555,0.007763625725730305,0.03683784148701563,0.019487825734731512,0.01588730365903057,0.005265763535712731,0.0018902740897430714,0.04550159773167106,0.035735181601332267,0.01201674242765205,0.0028579143975876464,0.08348710563031647,0.023943471803411498,0.11760205229758314,0.019577838786624113,0.05214006030874474,0.08179936090733153,0.06199648949097625,0.01737251901525727,0.002520365452990725,0.037265403483505155,0.09622395247310866,0.05182501462712097,0.026238804626670942,0.05407534092443411,0.2144335928709663,0.014964669877132186,0.14179305999369907,0.007943651829515286,0.0038930644943516723,0.006165894054637966,0.0,0.01559476124037984,0.00510824069490079,0.026328817678563432,0.0031504568162383784,0.0,0.05315270714253573,0.056393177010666595,0.08902290832170667,0.07525091138215045,0.07342814708132683,0.004343129753814345,0.00857374319276294,0.0499797470633242,0.0038930644943516723,9.001305189260123e-05,0.004905711328142548,0.0007201044151402547,0.012894369683604134,0.002317836086232483,0.0038480579684054828,0.017777577748773643,2.2503262973150306e-05,0.016719924389036467,0.027206444934515517,0.07970655745083044,0.0071785408884288415,0.0,0.057990908681758824,0.010756559701156743,0.04019082767001214,0.022818308654754982,0.00036005220757007184,0.004478149331653136,0.055605562806607
Decis train Iter 9,0.006705972365993129,0.007831135514649645,0.037242900220532005,0.020140420360952316,0.0155722579774068,0.0055358026913903124,0.0020477969305549015,0.046109185831945676,0.03420495971915927,0.01370448715063688,0.002542868715963875,0.08404968720464467,0.02432602727395472,0.12100004500652595,0.01937530941986587,0.05349025608713265,0.08047166839191688,0.0619289797020568,0.016292362392546944,0.002812907871641457,0.03632026643863362,0.0956838741617535,0.05182501462712097,0.026508843782348412,0.05376029524281023,0.21623385390881678,0.015167199243890428,0.14294072640532884,0.007426076781133273,0.0036230253386740907,0.006323416895449907,0.0,0.016202349340654454,0.004928214591115698,0.026418830730455922,0.0033754894459696594,0.0,0.052882667986858145,0.05596561501417707,0.09014807147036319,0.07412574823349383,0.07205544803996577,0.004185606913002404,0.009023808452225612,0.05013726990413614,0.003915567757324823,9.001305189260123e-05,0.0047931950132769074,0.0006300913632476535,0.012534317476034063,0.0023628426121787838,0.003713038390566692,0.016652414600117016,0.0,0.016652414600117016,0.02776902650884383,0.07574598316755932,0.0069535082586975605,0.0,0.05877852288581842,0.0105090238084522,0.03949322651784515,0.02270579233988934,0.0004950717854088627,0.004590665646518777,0.056528196588505386
