,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl train Iter 0,0.08026972886042383,0.3432553677736083,0.1564765962249245,0.07829472674435012,0.11051547555229524,0.12623084953305308,0.2860649493553029,0.16539232006320004,0.09623903168467685,0.04322433202607001,0.10411082583302766,0.25336455717631123,0.1288547809158367,0.09302259966707105,0.1081172586970629,0.15579945264227069,0.21775809045509698,0.14730694354315377,0.16519481985159268,0.1217729876139153,0.026295742459724103,0.26645599977428547,0.10569082752588665,0.008323223203453467,0.12092655813559805,0.14005586434556894,0.01929859210563445,0.3259882064159355,0.10188189487345878,0.017267161357672922,0.01729537567361683,0.0029907174900544176,0.0980165335891432,0.10222046666478568,0.09954010665011426,0.0880004514290551,0.001636430324746807,0.012047512908049507,0.04703326467849789,0.0804954433879751,0.13023728239708832,0.022091809384081507,0.0522811274440651,0.08532009141438368,0.012301441751544795,0.0037525040205400595,0.0003385717913269026,0.010100725107919817,0.009592867420929352,0.01043929689924672,0.0005078576869903539,0.08176508760545098,0.01983466410856871,0.001636430324746807,0.012640013542871698,0.18773805829077672,0.10918940270293154,0.04548147730158281,0.0014389301131394472,0.009508224473097626,0.007589650988911734,0.1266258499562678,0.0050785768699037614,0.0011850012696442702,0.14296193888779163,0.11807691222526306
MLPCl train Iter 1,0.08162401602573144,0.3467257286347093,0.15692802528002714,0.07736365431820103,0.10800440143328727,0.12442513331264282,0.2850492339813221,0.16615410659368568,0.09649296052817202,0.04596112067262925,0.10244618119233706,0.2522359845385549,0.12834692322884633,0.09310724261490277,0.10687582879553081,0.15546088085094378,0.21191772705470757,0.14665801427644387,0.1639816042660046,0.11714583979911408,0.027001100358321817,0.26927743136867643,0.10758118669412864,0.007476793725136099,0.11940298507462688,0.13619050306125324,0.018790734418643984,0.32875320937843866,0.10072510791975853,0.0175210902011681,0.01867787715486835,0.0027932172784470577,0.09942724938633862,0.10109189402702934,0.10052760770815117,0.08974973901757755,0.0014671444290833557,0.012414299015320429,0.045312191405919355,0.07719436842253757,0.12690799311570689,0.02147109443331552,0.0503343396439353,0.08193437350111443,0.01218858448776916,0.0027932172784470577,0.0002821431594390855,0.010580368478966262,0.009480010157153718,0.008831080890443821,0.00022571452755126842,0.08066472928363855,0.022656095702959678,0.0024828598030640636,0.012245013119656978,0.18889484524447708,0.10786332985356772,0.04596112067262925,0.0004232147391586283,0.010100725107919817,0.007166436249753105,0.12972942471009796,0.005191434133679396,0.00039500042321471973,0.1467990858561634,0.1133369071466862
MLPCl train Iter 2,0.08173687328950707,0.3451457269418503,0.15399373642186043,0.07725079705442539,0.10944333154642671,0.12586406342578227,0.28327173207685585,0.16705696470389075,0.09821403380075056,0.04192647349265022,0.1000197500211607,0.2555934881358801,0.1256665632141749,0.09403831504105187,0.10825833027678244,0.16000338571791328,0.21056343988939985,0.14987444629404967,0.16539232006320004,0.116553339164292,0.026662528566994914,0.26840278757441527,0.10823011596083854,0.008153937307790016,0.11830262675281444,0.14047907908472756,0.01907287757808318,0.3282171373755044,0.10563439889399884,0.017069661146065562,0.01712608977795338,0.003075360437886143,0.09759331884998446,0.10349011088226168,0.09725474705865755,0.08675902152752313,0.0016928589566346242,0.01258358491098388,0.044747905087041184,0.08010044296476038,0.12603334932144572,0.022486809807296226,0.05154755522952348,0.08405044719690768,0.011821798380498239,0.003018931805998326,0.0002821431594390855,0.010298225319527177,0.008718223626668187,0.00981858194848062,0.00039500042321471973,0.07981829980532118,0.02336145360155739,0.002454645487120155,0.011285726377563976,0.18785091555455236,0.10523939847078412,0.04517111982619981,0.0015517873769150814,0.009959653528200274,0.005812149084445495,0.1321558558812742,0.006630364246818843,0.0007053578985977138,0.1457551561662388,0.11573512400191854
MLPCl train Iter 3,0.08156758739384362,0.3440735829359818,0.15540445221905597,0.0766018677877155,0.1087661879637728,0.12555370595039927,0.2886606664221426,0.16708517901983466,0.09779081906159182,0.0438168326608922,0.10176903760968314,0.2513331264283497,0.12812120870129506,0.09353045735406151,0.10862511638405326,0.15574302401038287,0.21115594052422204,0.1480687300736394,0.16567446322263923,0.12182941624580312,0.02714217193804136,0.2645938549219874,0.10447761194029848,0.008125722991846107,0.12120870129503714,0.1409305081398302,0.0188471630505318,0.3315182123409418,0.1032361820387665,0.01709787546200947,0.019242163473746632,0.0026803600146714235,0.09745224727026491,0.10202296645317832,0.09832689106452619,0.08695652173913049,0.0016646446406907156,0.012668227858815606,0.045904692040741435,0.0814829444460119,0.12930620997093922,0.02262788138701577,0.052224698812177284,0.08303473182292698,0.01278108512259124,0.003018931805998326,0.0006489292667098967,0.010749654374629714,0.008323223203453467,0.00905679541799509,0.00014107157971954276,0.08077758654741418,0.022515024123240135,0.002087859379849344,0.012075727223993415,0.18920520271986008,0.1068476144795869,0.04661004993933926,0.0015517873769150814,0.010721440058685805,0.0072792935135287395,0.12865728070422933,0.005501791609062501,0.0008464294783173676,0.14651694269672433,0.11771012611799225
MLPCl train Iter 4,0.08125722991846063,0.33910786332985354,0.15833874107722257,0.07586829557317387,0.10927404565076326,0.12687977879976298,0.29105888327737495,0.1665208927009565,0.09683153231949893,0.04424004740005083,0.1009508224473098,0.25280027085743306,0.1263154924808848,0.0925147419800807,0.10862511638405326,0.1555455237987755,0.21383630053889346,0.14581158479812661,0.16550517732697567,0.11991084276161723,0.02578788477273375,0.2665688570380611,0.107778686905736,0.007702508252687479,0.11703298253533845,0.13904014897158823,0.018988234630251455,0.3299099963321389,0.10394153993736421,0.017210732725785105,0.017408232937392465,0.002511074119007972,0.0973958186383771,0.10241796687639315,0.09559010241796684,0.08848009480010155,0.0018621448522980755,0.013147871229862051,0.045678977513190167,0.07905651327483565,0.1266540642722117,0.022373952543520592,0.05484863019496089,0.080834015179302,0.012329656067488703,0.002962503174110509,0.0005078576869903539,0.01100358321812489,0.00866179499478037,0.008351437519397376,0.00025392884349517697,0.07837936969218184,0.022486809807296226,0.002398216855232338,0.011737155432666513,0.1876816296588889,0.10687582879553081,0.04666647857122708,0.0019185734841858926,0.01060858279491017,0.006912507406257928,0.12800835143751943,0.004147504443754779,0.0006771435826538053,0.14527551279519224,0.11483226589171347
MLPCl train Iter 5,0.08137008718223626,0.3448071551505234,0.15788731202212003,0.07750472589792057,0.1058318991056062,0.12580763479389445,0.28651637841040545,0.16508196258781704,0.097734390429704,0.045142905510255904,0.10298225319527132,0.2545777727618994,0.12577942047795054,0.09265581355980024,0.10808904438111899,0.15574302401038287,0.21126879778799768,0.1487176593403493,0.16632339248934913,0.11370369325395713,0.0259571706683972,0.2645938549219874,0.10899190249132407,0.008012865728070473,0.11737155432666535,0.1373755043308975,0.02003216432017607,0.3286121377987191,0.10182546624157096,0.017464661569280282,0.01910109189402709,0.0025675027508957893,0.10112010834297325,0.1039133256214203,0.09866546285585309,0.08658973563185957,0.0015517873769150814,0.011821798380498239,0.045678977513190167,0.0785486555878453,0.12713370764325815,0.02062466495499815,0.051237197754140484,0.08218830234460972,0.011962869960217781,0.0034985751770448825,0.0004796433710464454,0.010665011426797988,0.008887509522331638,0.009705724684704986,0.00025392884349517697,0.0821318737127219,0.02144288011737161,0.0024828598030640636,0.011229297745676159,0.18691984312840337,0.10608582794910137,0.04598933498857327,0.0012132155855881788,0.01100358321812489,0.007166436249753105,0.12814942301723897,0.0053889343452868665,0.0014389301131394472,0.14332872499506255,0.11497333747143301
MLPCl train Iter 6,0.08216008802866581,0.3454560844172333,0.15687159664813932,0.07778686905735976,0.11031797534068788,0.12383263267782074,0.285726377563976,0.16533589143131222,0.0960697457890134,0.04328076065795783,0.10569082752588665,0.2561295601388145,0.1269362074316508,0.09192224134525862,0.10933047428265108,0.15802838360183957,0.21273594221708092,0.15179301977823545,0.16700053607200294,0.11768191180204834,0.02733967214964872,0.2698135033716108,0.107778686905736,0.008323223203453467,0.12120870129503714,0.14132550856304493,0.019580735265073534,0.33069999717856846,0.1048726123635133,0.016618232090962914,0.017775019044663276,0.002849645910334875,0.097734390429704,0.10405439720113985,0.09891939169934827,0.0866743785796914,0.0015517873769150814,0.013147871229862051,0.04562254888130235,0.07939508506616255,0.12899585249555623,0.022317523911632775,0.052196484496233375,0.08289366024320743,0.01218858448776916,0.0030471461219422347,0.0005925006348220796,0.010298225319527177,0.008520723415060827,0.009141438365826815,0.00039500042321471973,0.08235758824027317,0.021386451485483793,0.0023700025392884294,0.012047512908049507,0.185763056174703,0.10732725785063346,0.047484693733600425,0.0016646446406907156,0.010100725107919817,0.00609429224388458,0.12640013542871653,0.00490929097424031,0.0005360720029342625,0.1447958694241458,0.11474762294388174
MLPCl train Iter 7,0.082103659396778,0.34195750924018853,0.15664588212058805,0.07770222610952804,0.1110233332392856,0.12431227604886719,0.2828203030217532,0.1678469655503202,0.0967468893716672,0.04361933244928473,0.10377225404170076,0.2529977710690404,0.12453799057641846,0.09322009987867841,0.10763761532601646,0.15757695454673704,0.21434415822588382,0.1467990858561634,0.16640803543718086,0.11971334255000987,0.026860028778602274,0.2619699235392038,0.10665011426797955,0.00826679457156565,0.11773834043393616,0.1425669384645769,0.021132522641988505,0.33002285359591454,0.10284118161555178,0.018762520102700075,0.017069661146065562,0.002849645910334875,0.09722653274271364,0.10131760855458061,0.09810117653697492,0.08785937984933556,0.0017210732725785327,0.012160370171825252,0.045114691194311995,0.07925401348644301,0.12586406342578227,0.023305024969669574,0.05039076827582312,0.08012865728070429,0.011878227012386056,0.003216432017605797,0.0005360720029342625,0.009592867420929352,0.008831080890443821,0.008379651835341284,0.0003667861072708112,0.08139830149818017,0.02147109443331552,0.0022289309595688866,0.011934655644273873,0.18912055977202835,0.10851225912027762,0.04463504782326555,0.0015517873769150814,0.009705724684704986,0.0067150071946505685,0.1308015687159665,0.00451429055102559,0.0008746437942612761,0.14552944163868753,0.11841548401659008
MLPCl train Iter 8,0.0821318737127219,0.3428885816663375,0.15870552718449338,0.07646079620799595,0.10896368817538016,0.1256101345822871,0.2870242360973958,0.16606946364585395,0.09372795756566887,0.04424004740005083,0.10295403887932741,0.25658098919391703,0.12673870722004343,0.09259938492791242,0.10981011765369753,0.1542758795812995,0.21191772705470757,0.14852015912874195,0.16353017521090207,0.11601726716135774,0.02652145698727537,0.2701802894788816,0.10760940101007255,0.007138221933809197,0.11858476991225353,0.14081765087605458,0.01983466410856871,0.3246057049346839,0.10199475213723441,0.01848037694326099,0.019608949581017443,0.0022289309595688866,0.09931439212256299,0.10371582540981295,0.09669046073977938,0.0892700956465311,0.0017210732725785327,0.01337358575741332,0.04596112067262925,0.0785768699037892,0.12769799396213644,0.022261095279744958,0.04971362469316931,0.08458651919984206,0.013712157548740223,0.0031317890697740713,0.00039500042321471973,0.009762153316592803,0.008802866574499912,0.00902858110205118,0.0003385717913269026,0.08187794486922662,0.021132522641988505,0.002341788223344521,0.010749654374629714,0.19041841830544814,0.10896368817538016,0.04661004993933926,0.0015235730609711728,0.0094235815252659,0.008041080044014381,0.12905228112744405,0.004683576446689042,0.0009028581102051847,0.1493383742911153,0.11576333831786245
MLPCl train Iter 9,0.08156758739384362,0.3444685833591965,0.15297802104787972,0.07781508337330367,0.10958440312614626,0.12349406088649384,0.28815280873515225,0.16378410405439725,0.09855260559207746,0.04421183308410692,0.10371582540981295,0.25378777191547,0.12879835228394887,0.0941229579888836,0.1048443980475694,0.1561662387495415,0.21211522726631493,0.14662979996049996,0.16711339333577857,0.11875405580791698,0.027085743306153542,0.26772564399176146,0.10639618542448437,0.0072792935135287395,0.11971334255000987,0.14211550940947437,0.02104787969415678,0.33163106960471744,0.10185368055751487,0.01808537652004627,0.016872160934458202,0.0030471461219422347,0.09793189064131147,0.10535225573455975,0.0993708207544508,0.08627937815647657,0.00158000169285899,0.0129785853341986,0.04697683604661007,0.08275258866348789,0.12645656406060435,0.023248596337781757,0.05326862850210201,0.08300651750698307,0.013147871229862051,0.002652145698727515,0.0005360720029342625,0.010467511215190628,0.008915723838275547,0.009677510368761078,0.00039500042321471973,0.08029794317636774,0.02065287927094206,0.0023700025392884294,0.011652512484834787,0.18906413114014053,0.10769404395790427,0.047456479417656516,0.0004232147391586283,0.010580368478966262,0.006940721722201837,0.12916513839121968,0.004993933922072036,0.0007617865304855309,0.1444572976328189,0.115594052422199
