,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando train Iter 0,0.0005540933647320001,0.0022717827954010783,0.0026596481507134007,0.001163596065937078,0.0015514614212495115,0.0005263886964953501,0.0006926167059149169,0.001246710070646917,0.0008034353788614057,0.0014960520847763226,0.001191300734173728,0.017647873666712832,0.0016345754259592393,0.0039617675578335065,0.0009696633882809724,0.003102922842499023,0.004792907604931451,0.002327192131874267,0.0022994874636376172,0.0009142540518077835,0.006843053054439663,0.0033245601883917786,0.0032414461836819397,0.0019116221083252949,0.003712425543704101,0.0026319434824768617,0.001163596065937078,0.0033522648566283175,0.002382601468347456,0.0007480260423881058,0.0007480260423881058,0.0,0.0022163734589278894,0.00027704668236594454,0.0009696633882809724,0.0002493420141294056,0.0,0.0016622800941958893,0.002382601468347456,0.0021055547859814006,0.0028258761601329674,0.0014129380800664837,0.0003601606870757834,0.0011081867294638892,0.0008865493835711336,0.0008311400470979446,5.540933647318891e-05,0.0004986840282588112,0.00027704668236594454,0.0008311400470979446,0.00011081867294637782,0.00047097936002216123,0.0001939326776562167,0.0,0.0008311400470979446,0.0009973680565175114,0.0005263886964953501,0.0008588447153345946,2.7704668236649965e-05,0.0007757307106247557,0.00047097936002216123,0.0010804820612273502,0.0008311400470979446,0.00013852334118302778,0.000581798032968539,0.0013021194071201059
Rando train Iter 1,0.0004155700235489723,0.002410306136583995,0.0029089901648428063,0.0013852334118299447,0.0017453940989057282,0.000581798032968539,0.000581798032968539,0.001274414738883567,0.0008588447153345946,0.0013021194071201059,0.001163596065937078,0.017647873666712832,0.0014683474165396726,0.004211109571962912,0.0013298240753567558,0.003130627510735562,0.005014544950824207,0.0028258761601329674,0.0021332594542180505,0.0007203213741515668,0.007147804405042257,0.003019808837789184,0.003102922842499023,0.0016899847624324282,0.0038232442166504788,0.0026873528189500506,0.001246710070646917,0.003102922842499023,0.0022994874636376172,0.000637207369441728,0.0008865493835711336,0.0,0.0020501454495082116,0.0003047513506025945,0.0010804820612273502,0.0004155700235489723,0.0,0.0019947361130350227,0.0021609641224547005,0.0020778501177448616,0.002521124809530373,0.0015514614212495115,0.00027704668236594454,0.0011358913977005392,0.0007480260423881058,0.000581798032968539,5.540933647318891e-05,0.00033245601883913345,0.00016622800941956672,0.0008588447153345946,0.00011081867294637782,0.0004432746917856223,0.00016622800941956672,0.0,0.0007757307106247557,0.0009419587200443225,0.0006649120376783779,0.0008588447153345946,2.7704668236649965e-05,0.0006649120376783779,0.0004155700235489723,0.0011358913977005392,0.00047097936002216123,0.00016622800941956672,0.000581798032968539,0.001163596065937078
Rando train Iter 2,0.0004155700235489723,0.0022440781271644283,0.0027150574871865896,0.0015237567530128615,0.001883917440088645,0.0006649120376783779,0.0004432746917856223,0.0013852334118299447,0.0009142540518077835,0.001274414738883567,0.0014960520847763226,0.01778639700789586,0.0016622800941958893,0.0038786535531236677,0.001191300734173728,0.0032414461836819397,0.004654384263748423,0.0027150574871865896,0.002521124809530373,0.0008865493835711336,0.006704529713256746,0.002992104169552534,0.003102922842499023,0.0017176894306690782,0.0033799695248649675,0.0027981714918964284,0.0011358913977005392,0.0034630835295746953,0.0026873528189500506,0.0006649120376783779,0.0007480260423881058,0.0,0.0020501454495082116,0.0003047513506025945,0.0010804820612273502,0.0005263886964953501,0.0,0.0021332594542180505,0.0022717827954010783,0.0022163734589278894,0.0026319434824768617,0.0015514614212495115,0.00033245601883913345,0.0009419587200443225,0.0009973680565175114,0.0007480260423881058,5.540933647318891e-05,0.0004155700235489723,0.00013852334118302778,0.0007480260423881058,0.0001939326776562167,0.00047097936002216123,0.0001939326776562167,0.0,0.0006926167059149169,0.0011358913977005392,0.0007203213741515668,0.0008588447153345946,2.7704668236649965e-05,0.0007480260423881058,0.0004432746917856223,0.001163596065937078,0.0006926167059149169,0.0001939326776562167,0.00047097936002216123,0.001191300734173728
Rando train Iter 3,0.0003878653553124334,0.0021609641224547005,0.002576534146003562,0.0013021194071201059,0.0016622800941958893,0.0004986840282588112,0.00047097936002216123,0.0011358913977005392,0.0008034353788614057,0.0014129380800664837,0.0013575287435932948,0.01770328300318602,0.0014683474165396726,0.004044881562543345,0.0010804820612273502,0.003130627510735562,0.004959135614351018,0.002493420141293834,0.002410306136583995,0.0009696633882809724,0.006344369026180963,0.0032691508519185897,0.003075218174262373,0.001967031444798484,0.0039894722260701565,0.0027427621554232395,0.001246710070646917,0.003075218174262373,0.0026596481507134007,0.0007480260423881058,0.0006926167059149169,0.0,0.0021055547859814006,0.0004432746917856223,0.0009142540518077835,0.00033245601883913345,0.0,0.001967031444798484,0.0026319434824768617,0.0022440781271644283,0.0026319434824768617,0.0014683474165396726,0.0003878653553124334,0.001163596065937078,0.0008865493835711336,0.0006926167059149169,5.540933647318891e-05,0.0004432746917856223,0.0002493420141294056,0.0009696633882809724,0.00016622800941956672,0.00027704668236594454,0.00011081867294637782,0.0,0.0006926167059149169,0.0009973680565175114,0.0005263886964953501,0.0009142540518077835,5.540933647318891e-05,0.0007203213741515668,0.0002493420141294056,0.0010804820612273502,0.000609502701205189,0.0001939326776562167,0.0005540933647320001,0.001219005402410267
Rando train Iter 4,0.0003047513506025945,0.0022994874636376172,0.0027150574871865896,0.0014683474165396726,0.0017453940989057282,0.000609502701205189,0.000609502701205189,0.0013852334118299447,0.0009696633882809724,0.001191300734173728,0.0011358913977005392,0.018091148358498454,0.0015237567530128615,0.004044881562543345,0.001219005402410267,0.002964399501315995,0.004931430946114479,0.0028812854966061563,0.0021609641224547005,0.0007480260423881058,0.006787643717966474,0.0033799695248649675,0.002964399501315995,0.001828508103615456,0.003657016207230912,0.0028812854966061563,0.0011358913977005392,0.003546197534284534,0.002354896800110806,0.0007480260423881058,0.0007757307106247557,0.0,0.001967031444798484,0.0004432746917856223,0.001163596065937078,0.0004155700235489723,0.0,0.001856212771852106,0.0021332594542180505,0.0021055547859814006,0.0026873528189500506,0.0015237567530128615,0.00027704668236594454,0.001163596065937078,0.0007203213741515668,0.000609502701205189,5.540933647318891e-05,0.0004986840282588112,0.00027704668236594454,0.0009973680565175114,0.00011081867294637782,0.0003878653553124334,0.0001939326776562167,0.0,0.0008311400470979446,0.0011358913977005392,0.0005540933647320001,0.0007480260423881058,2.7704668236649965e-05,0.0006649120376783779,0.0005263886964953501,0.0009973680565175114,0.0005263886964953501,0.00013852334118302778,0.00047097936002216123,0.001274414738883567
Rando train Iter 5,0.0004155700235489723,0.0022163734589278894,0.0026042388142402118,0.0013852334118299447,0.0015514614212495115,0.00047097936002216123,0.0007480260423881058,0.0014960520847763226,0.0009419587200443225,0.001163596065937078,0.0014683474165396726,0.018451309045574238,0.0014406427483031337,0.0039894722260701565,0.001246710070646917,0.0032137415154454008,0.004737498268458262,0.0026596481507134007,0.002438010804820645,0.0008311400470979446,0.006704529713256746,0.003158332178972212,0.003130627510735562,0.0017453940989057282,0.003629311538994373,0.0029089901648428063,0.0013021194071201059,0.0028812854966061563,0.0022440781271644283,0.0007480260423881058,0.0007203213741515668,0.0,0.0021055547859814006,0.0003601606870757834,0.0009696633882809724,0.0004432746917856223,0.0,0.0019947361130350227,0.0021055547859814006,0.0021055547859814006,0.002410306136583995,0.0015791660894860504,0.00027704668236594454,0.0010250727247541613,0.0009142540518077835,0.000637207369441728,5.540933647318891e-05,0.0004432746917856223,0.00027704668236594454,0.0009973680565175114,8.311400470983887e-05,0.0003601606870757834,0.00016622800941956672,0.0,0.0006926167059149169,0.0009419587200443225,0.00047097936002216123,0.0008865493835711336,5.540933647318891e-05,0.0007480260423881058,0.0004432746917856223,0.0011081867294638892,0.0005540933647320001,0.0001939326776562167,0.000609502701205189,0.0013298240753567558
Rando train Iter 6,0.0003601606870757834,0.0022163734589278894,0.002548829477767023,0.0013021194071201059,0.0019947361130350227,0.000581798032968539,0.000581798032968539,0.0014683474165396726,0.0009419587200443225,0.0011358913977005392,0.0011358913977005392,0.017980329685552077,0.0015237567530128615,0.004072586230779884,0.0011358913977005392,0.003047513506025834,0.0045989749272752345,0.003047513506025834,0.002382601468347456,0.0009142540518077835,0.0064551876991273405,0.003158332178972212,0.003047513506025834,0.0020224407812716727,0.003601606870757723,0.003019808837789184,0.0010804820612273502,0.0032691508519185897,0.002493420141293834,0.0006926167059149169,0.000581798032968539,0.0,0.0021055547859814006,0.0003878653553124334,0.0009696633882809724,0.00033245601883913345,0.0,0.0019947361130350227,0.002465715473057184,0.0022163734589278894,0.0026042388142402118,0.0015791660894860504,0.00033245601883913345,0.0009973680565175114,0.0008865493835711336,0.0008311400470979446,5.540933647318891e-05,0.0005263886964953501,0.00022163734589275563,0.0009142540518077835,5.540933647318891e-05,0.0004986840282588112,0.00022163734589275563,0.0,0.000581798032968539,0.0008588447153345946,0.0006926167059149169,0.0008311400470979446,2.7704668236649965e-05,0.0008034353788614057,0.0004986840282588112,0.0010527773929907003,0.0004432746917856223,0.00016622800941956672,0.000609502701205189,0.001246710070646917
Rando train Iter 7,0.0004986840282588112,0.0021886687906912394,0.002438010804820645,0.0014406427483031337,0.0015791660894860504,0.0005540933647320001,0.0005540933647320001,0.0015514614212495115,0.0009419587200443225,0.0014129380800664837,0.0013298240753567558,0.017675578334949482,0.0014406427483031337,0.0038786535531236677,0.0011081867294638892,0.0032137415154454008,0.00487602160964129,0.003019808837789184,0.0022163734589278894,0.0008588447153345946,0.006621415708546907,0.003130627510735562,0.0027427621554232395,0.001856212771852106,0.0039617675578335065,0.0028812854966061563,0.0013575287435932948,0.0033522648566283175,0.002465715473057184,0.000637207369441728,0.0009142540518077835,0.0,0.0022994874636376172,0.0003878653553124334,0.0011358913977005392,0.0003601606870757834,0.0,0.0021055547859814006,0.002327192131874267,0.0021332594542180505,0.0027704668236597785,0.0016899847624324282,0.0003601606870757834,0.0009973680565175114,0.0008588447153345946,0.0008034353788614057,5.540933647318891e-05,0.0004432746917856223,0.00027704668236594454,0.0009419587200443225,0.00016622800941956672,0.00033245601883913345,0.0001939326776562167,0.0,0.0006926167059149169,0.0010527773929907003,0.0007480260423881058,0.0008311400470979446,5.540933647318891e-05,0.0006649120376783779,0.0004432746917856223,0.0010250727247541613,0.000637207369441728,0.00013852334118302778,0.0004432746917856223,0.001163596065937078
Rando train Iter 8,0.00027704668236594454,0.0022440781271644283,0.002521124809530373,0.001274414738883567,0.0015514614212495115,0.0006649120376783779,0.0005263886964953501,0.001219005402410267,0.0009142540518077835,0.0011358913977005392,0.0013852334118299447,0.018091148358498454,0.001163596065937078,0.004543565590802046,0.0009973680565175114,0.003573902202521184,0.00487602160964129,0.003047513506025834,0.002382601468347456,0.0007480260423881058,0.007812716442720635,0.0032968555201551286,0.0029089901648428063,0.001856212771852106,0.003546197534284534,0.0028258761601329674,0.001246710070646917,0.0032137415154454008,0.0027150574871865896,0.0007203213741515668,0.0007757307106247557,0.0,0.0019393267765618338,0.0003047513506025945,0.0009142540518077835,0.0003047513506025945,0.0,0.001967031444798484,0.0027150574871865896,0.0022440781271644283,0.002382601468347456,0.0016068707577227004,0.0002493420141294056,0.0009696633882809724,0.0009973680565175114,0.0008034353788614057,5.540933647318891e-05,0.0004432746917856223,0.00027704668236594454,0.0008865493835711336,8.311400470983887e-05,0.0004155700235489723,0.00016622800941956672,0.0,0.0008311400470979446,0.0008034353788614057,0.0005263886964953501,0.0008865493835711336,2.7704668236649965e-05,0.0006649120376783779,0.0005263886964953501,0.0010250727247541613,0.00047097936002216123,0.00016622800941956672,0.0004986840282588112,0.0013021194071201059
Rando train Iter 9,0.0004155700235489723,0.0021609641224547005,0.0026042388142402118,0.0013575287435932948,0.0016068707577227004,0.000637207369441728,0.0007480260423881058,0.0013575287435932948,0.0009419587200443225,0.0015237567530128615,0.001274414738883567,0.017924920349078888,0.0015514614212495115,0.004238814240199451,0.001219005402410267,0.0033245601883917786,0.004405042249619129,0.003019808837789184,0.0022717827954010783,0.0008588447153345946,0.006815348386203124,0.0033522648566283175,0.0028535808283696174,0.0021886687906912394,0.0034630835295746953,0.0028812854966061563,0.001163596065937078,0.003075218174262373,0.0026042388142402118,0.000581798032968539,0.0007203213741515668,0.0,0.0020501454495082116,0.00047097936002216123,0.0008865493835711336,0.0004432746917856223,0.0,0.001828508103615456,0.0021332594542180505,0.0021609641224547005,0.0022994874636376172,0.0013575287435932948,0.00027704668236594454,0.0009973680565175114,0.0009142540518077835,0.0006926167059149169,5.540933647318891e-05,0.0004432746917856223,0.00022163734589275563,0.0009142540518077835,0.00011081867294637782,0.0004986840282588112,0.0001939326776562167,0.0,0.0008311400470979446,0.0009973680565175114,0.000637207369441728,0.0008588447153345946,2.7704668236649965e-05,0.0009419587200443225,0.000581798032968539,0.0011081867294638892,0.0005263886964953501,0.0001939326776562167,0.0005263886964953501,0.0013021194071201059
