,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl eval Iter 0,-9.213320618983722e-06,-0.09826927772173011,-0.0003501061835201602,-0.0002303330154738159,-0.017127563030629678,0.0,-2.7639961856895656e-05,-8.291988557057595e-05,-1.8426641237911934e-05,-4.606660309491861e-06,-0.00012898648866532803,-7.831322526108409e-05,-9.213320618983722e-06,4.60666030943635e-06,-1.3819980928420073e-05,-0.01587915808676188,-0.09680435974331691,-0.00013359314897481989,2.7639961856840145e-05,0.0,-9.213320618983722e-06,3.2246622166332006e-05,0.0,0.0,4.60666030943635e-06,0.0,0.0,0.0,0.0,-1.8426641237911934e-05,4.60666030943635e-06,0.0,-4.606660309491861e-06,0.0,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,-4.606660309491861e-06,-9.213320618983722e-06,9.213320618928211e-06,-2.3033301547403795e-05,-0.00013819980928425624,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,0.0,-3.685328247582387e-05,-9.213320618983722e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,-4.606660309491861e-06,-4.606660309491861e-06
MLPCl eval Iter 1,-1.8426641237911934e-05,-0.10001059531871181,-0.00035471284382965207,-0.00020269305361692025,-0.01733486274455609,0.0,9.213320618928211e-06,-9.213320618950416e-05,-1.8426641237911934e-05,-1.3819980928420073e-05,-9.213320618950416e-05,-3.2246622166332006e-05,-4.606660309491861e-06,-9.213320618983722e-06,-1.8426641237911934e-05,-0.015883764747071316,-0.09602583415101557,3.2246622166332006e-05,-4.606660309491861e-06,0.0,-7.370656495164774e-05,2.3033301547348284e-05,0.0,0.0,-4.606660309491861e-06,4.60666030943635e-06,0.0,0.0,0.0,-1.3819980928420073e-05,-4.606660309491861e-06,0.0,-1.3819980928420073e-05,0.0,0.0,0.0,9.213320618928211e-06,0.0,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,0.0,-0.00010595318711797974,0.0,0.0,0.0,4.60666030943635e-06,0.0,0.0,0.0,-2.3033301547403795e-05,-1.8426641237911934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,-4.606660309491861e-06,0.0,1.3819980928420073e-05,-4.606660309491861e-06
MLPCl eval Iter 2,-9.213320618983722e-06,-0.09964666915426323,-0.0004468460500191562,-0.0001980863933074839,-0.017086103087844418,0.0,-1.3819980928420073e-05,-6.909990464215587e-05,-1.8426641237911934e-05,0.0,-3.685328247582387e-05,-3.2246622166332006e-05,-9.213320618983722e-06,0.0,-2.3033301547403795e-05,-0.015386245433647971,-0.0966016666897,-9.213320618950416e-05,0.0,0.0,-7.370656495164774e-05,4.60666030943635e-06,0.0,0.0,9.213320618928211e-06,0.0,0.0,0.0,0.0,-9.213320618983722e-06,-4.606660309491861e-06,0.0,0.0,-4.606660309491861e-06,0.0,0.0,-9.213320618983722e-06,0.0,0.0,-4.606660309491861e-06,-4.606660309491861e-06,-4.606660309491861e-06,4.60666030943635e-06,-9.213320618950416e-05,-9.213320618983722e-06,0.0,-4.606660309491861e-06,0.0,0.0,0.0,0.0,-1.8426641237911934e-05,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,4.60666030943635e-06,-4.606660309491861e-06,-5.52799237137358e-05,-2.7639961856895656e-05
MLPCl eval Iter 3,-9.213320618983722e-06,-0.09933802291352839,-0.00029943292011591627,-0.0001658397711411519,-0.017030823164130737,0.0,-2.3033301547403795e-05,-5.52799237137358e-05,-1.8426641237911934e-05,4.60666030943635e-06,-7.370656495164774e-05,0.0,-9.213320618983722e-06,0.0,-9.213320618983722e-06,-0.016017357896046136,-0.09566651464687648,-6.449324433266401e-05,-5.988658402317215e-05,0.0,-5.52799237137358e-05,0.0,4.60666030943635e-06,-4.606660309491861e-06,1.3819980928420073e-05,0.0,0.0,0.0,0.0,4.60666030943635e-06,-4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,0.0,-4.606660309491861e-06,-4.606660309491861e-06,9.213320618928211e-06,-1.3819980928420073e-05,-0.00011977316804639981,0.0,0.0,0.0,9.213320618928211e-06,-4.606660309491861e-06,0.0,0.0,-1.8426641237911934e-05,-2.3033301547403795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,0.0,-5.52799237137358e-05,-4.145994278531573e-05
MLPCl eval Iter 4,-4.606660309491861e-06,-0.10045744136873092,-0.00032246622166332006,-0.0003270728819727564,-0.01672678358370533,0.0,0.0,-6.449324433266401e-05,-1.8426641237911934e-05,4.60666030943635e-06,-4.145994278531573e-05,1.3819980928420073e-05,-9.213320618983722e-06,4.60666030943635e-06,-1.8426641237911934e-05,-0.016012751235736644,-0.0954223616504743,-5.52799237137358e-05,-4.606660309491861e-06,0.0,-4.606660309475208e-05,2.3033301547348284e-05,0.0,0.0,1.8426641237856423e-05,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,-9.213320618983722e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,-1.3819980928420073e-05,-4.606660309491861e-06,-6.449324433266401e-05,-0.00010595318711797974,0.0,0.0,-4.606660309491861e-06,4.60666030943635e-06,-4.606660309491861e-06,0.0,0.0,-1.3819980928420073e-05,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,-9.213320618983722e-06,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,9.213320618928211e-06,-2.3033301547403795e-05
MLPCl eval Iter 5,-4.606660309491861e-06,-0.1005587878955394,-0.00023493967578325226,-0.00021651303454534032,-0.016662290339372665,0.0,-1.8426641237911934e-05,-9.213320618950416e-05,-1.8426641237911934e-05,9.213320618928211e-06,-9.213320618983722e-06,-5.067326340424394e-05,-9.213320618983722e-06,-4.606660309491861e-06,-2.7639961856895656e-05,-0.016114097762545132,-0.09499394224169305,-1.8426641237911934e-05,4.60666030943635e-06,0.0,-3.685328247582387e-05,0.0,4.60666030943635e-06,0.0,4.60666030943635e-06,4.60666030943635e-06,0.0,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,-4.606660309491861e-06,-9.213320618983722e-06,0.0,-1.8426641237911934e-05,-9.673986649899602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.213320618983722e-06,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,-9.213320618983722e-06,0.0,0.0,4.60666030943635e-06,4.60666030943635e-06,0.0,-9.213320618983722e-06,-4.606660309475208e-05
MLPCl eval Iter 6,-9.213320618983722e-06,-0.09975262234138121,-0.00021651303454534032,-0.00018887307268850018,-0.017339469404865582,0.0,-1.8426641237911934e-05,-8.752654588006781e-05,-1.8426641237911934e-05,-2.3033301547403795e-05,-0.00011516650773690795,-9.213320618983722e-06,-9.213320618983722e-06,0.0,-2.3033301547403795e-05,-0.016173984346568304,-0.0957724678339944,-5.988658402317215e-05,-4.606660309491861e-06,0.0,-8.291988557057595e-05,-4.606660309491861e-06,4.60666030943635e-06,4.60666030943635e-06,1.3819980928420073e-05,4.60666030943635e-06,0.0,0.0,0.0,-2.3033301547403795e-05,-4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,0.0,-4.606660309491861e-06,-4.606660309491861e-06,0.0,-9.213320618983722e-06,-0.00016123311083166003,-4.606660309491861e-06,0.0,4.60666030943635e-06,-4.606660309491861e-06,-4.606660309491861e-06,0.0,0.0,-1.3819980928420073e-05,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,-4.606660309491861e-06,4.60666030943635e-06,0.0,0.0,0.0,0.0,-3.685328247582387e-05,-2.3033301547403795e-05
MLPCl eval Iter 7,-1.8426641237911934e-05,-0.09890499684443771,-0.0003316795422822483,-0.00015201979021273182,-0.01717823629403392,0.0,-1.3819980928420073e-05,-5.988658402317215e-05,-1.8426641237911934e-05,-4.606660309491861e-06,-6.909990464215587e-05,-2.3033301547403795e-05,-9.213320618983722e-06,0.0,-1.3819980928420073e-05,-0.016049604518212468,-0.09486034909271829,-0.00010134652680848788,-9.213320618983722e-06,0.0,-5.52799237137358e-05,0.0,0.0,0.0,9.213320618928211e-06,4.60666030943635e-06,0.0,0.0,0.0,9.213320618928211e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,-4.606660309491861e-06,0.0,-4.606660309491861e-06,-2.7639961856895656e-05,-9.673986649899602e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,-4.606660309491861e-06,-4.606660309491861e-06,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,0.0,0.0,-3.2246622166332006e-05,-5.988658402317215e-05
MLPCl eval Iter 8,4.60666030943635e-06,-0.09903398333310304,-0.00043302606909073615,-0.00013359314897481989,-0.01712295637032024,0.0,-2.7639961856895656e-05,-2.7639961856895656e-05,-1.8426641237911934e-05,-4.606660309491861e-06,-1.3819980928420073e-05,-2.7639961856895656e-05,-9.213320618983722e-06,-4.606660309491861e-06,-1.8426641237911934e-05,-0.016851163412061165,-0.09453788287105497,-2.3033301547403795e-05,-2.3033301547403795e-05,0.0,-5.988658402317215e-05,4.60666030943635e-06,0.0,4.60666030943635e-06,4.60666030943635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,0.0,0.0,-9.213320618983722e-06,0.0,-9.213320618983722e-06,-0.0001428064695937481,0.0,0.0,0.0,0.0,-9.213320618983722e-06,0.0,0.0,-1.3819980928420073e-05,-1.8426641237911934e-05,0.0,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,0.0,0.0,4.60666030943635e-06,-3.2246622166332006e-05
MLPCl eval Iter 9,-4.606660309491861e-06,-0.09910308323774514,-0.0003961727866149123,-0.0002856129391874962,-0.016924869977012758,0.0,-9.213320618983722e-06,-6.909990464215587e-05,-1.3819980928420073e-05,0.0,-4.606660309475208e-05,-5.988658402317215e-05,-9.213320618983722e-06,0.0,-1.8426641237911934e-05,-0.01597589795326082,-0.09676289980053165,-5.988658402317215e-05,-3.2246622166332006e-05,0.0,-0.00010595318711797974,4.60666030943635e-06,0.0,0.0,1.8426641237856423e-05,4.60666030943635e-06,0.0,0.0,0.0,-1.3819980928420073e-05,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,0.0,-4.606660309491861e-06,-9.213320618983722e-06,-4.606660309491861e-06,-6.909990464215587e-05,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,0.0,-9.213320618983722e-06,-9.213320618983722e-06,0.0,0.0,0.0,0.0,0.0,-9.213320618983722e-06,0.0,0.0,4.60666030943635e-06,0.0,-4.606660309491861e-06,-4.606660309475208e-05,-9.213320618983722e-06
