,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando eval Iter 0,-4.606660309491861e-06,-4.606660309491861e-06,0.0,2.7639961856840145e-05,0.0,0.0,0.0,0.0,9.213320618928211e-06,-3.2246622166332006e-05,4.60666030943635e-06,-2.7639961856895656e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,2.3033301547348284e-05,0.0,2.7639961856840145e-05,5.988658402317215e-05,3.6853282475768356e-05,3.6853282475768356e-05,6.449324433266401e-05,-3.2246622166332006e-05,-9.213320618983722e-06,0.0,0.0,-2.7639961856895656e-05,9.213320618928211e-06,0.0,-4.606660309491861e-06,-4.606660309491861e-06,0.0,0.0,0.0,-3.2246622166332006e-05,-5.988658402317215e-05,2.3033301547348284e-05,0.0,0.0,-9.213320618983722e-06,4.145994278526022e-05,8.75265458800123e-05,3.2246622166332006e-05,-4.606660309491861e-06,9.213320618928211e-06,5.988658402317215e-05,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,0.0,4.145994278526022e-05,-4.606660309491861e-06,0.0,0.0,0.0,-4.145994278531573e-05,-0.0002072997139264121,0.0,8.75265458800123e-05,0.0,-2.3033301547403795e-05,4.60666030943635e-06
Rando eval Iter 1,3.2246622166332006e-05,0.0,0.0,2.3033301547348284e-05,0.0,-9.213320618983722e-06,0.0,0.0,4.60666030943635e-06,-9.213320618983722e-06,0.0,-3.2246622166332006e-05,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,2.3033301547348284e-05,0.0,1.3819980928420073e-05,4.606660309475208e-05,4.606660309475208e-05,9.213320618928211e-06,6.909990464210036e-05,-5.067326340424394e-05,-4.606660309491861e-06,0.0,4.60666030943635e-06,-5.067326340424394e-05,0.0,0.0,-4.606660309491861e-06,4.60666030943635e-06,0.0,0.0,0.0,-2.3033301547403795e-05,-4.145994278531573e-05,3.2246622166332006e-05,1.3819980928420073e-05,0.0,0.0,4.145994278526022e-05,7.831322526108409e-05,4.60666030943635e-06,-4.606660309491861e-06,1.8426641237911934e-05,5.988658402317215e-05,0.0,0.0,0.0,-1.8426641237911934e-05,0.0,6.449324433266401e-05,-4.606660309491861e-06,0.0,0.0,0.0,-4.145994278531573e-05,-0.0001980863933074839,0.0,0.0001197731680463443,0.0,-2.3033301547403795e-05,0.0
Rando eval Iter 2,-4.606660309491861e-06,0.0,0.0,2.7639961856840145e-05,-4.606660309491861e-06,2.3033301547348284e-05,0.0,0.0,-4.606660309491861e-06,-1.8426641237911934e-05,0.0,-5.52799237137358e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,1.8426641237911934e-05,0.0,2.3033301547348284e-05,3.6853282475768356e-05,2.7639961856840145e-05,0.0,5.067326340418843e-05,-3.2246622166332006e-05,0.0,0.0,-4.606660309491861e-06,-9.213320618983722e-06,-9.213320618983722e-06,0.0,2.7639961856840145e-05,-4.606660309491861e-06,0.0,0.0,0.0,-2.7639961856895656e-05,-6.449324433266401e-05,2.3033301547348284e-05,2.7639961856840145e-05,0.0,4.60666030943635e-06,1.8426641237911934e-05,8.291988557052044e-05,3.2246622166332006e-05,-4.606660309491861e-06,1.3819980928420073e-05,5.067326340418843e-05,-4.606660309491861e-06,-9.213320618983722e-06,0.0,-4.606660309491861e-06,0.0,5.527992371368029e-05,0.0,0.0,0.0,0.0,-5.067326340424394e-05,-0.0001750530917600801,0.0,0.0001197731680463443,0.0,-3.685328247582387e-05,4.60666030943635e-06
Rando eval Iter 3,-4.606660309491861e-06,0.0,0.0,4.145994278526022e-05,0.0,2.7639961856840145e-05,0.0,0.0,4.60666030943635e-06,-1.3819980928420073e-05,4.60666030943635e-06,-1.8426641237911934e-05,0.0,0.0,0.0,0.0,4.60666030943635e-06,0.0,-9.213320618983722e-06,0.0,2.7639961856840145e-05,2.3033301547348284e-05,1.3819980928420073e-05,1.8426641237911934e-05,2.7639961856840145e-05,-2.7639961856895656e-05,0.0,0.0,0.0,-1.3819980928420073e-05,-1.3819980928420073e-05,0.0,2.3033301547348284e-05,0.0,0.0,0.0,0.0,-2.3033301547403795e-05,-4.606660309475208e-05,2.7639961856840145e-05,4.60666030943635e-06,0.0,1.8426641237911934e-05,2.3033301547348284e-05,7.370656495159222e-05,3.6853282475768356e-05,-4.606660309491861e-06,1.3819980928420073e-05,5.527992371368029e-05,-4.606660309491861e-06,-9.213320618983722e-06,0.0,0.0,0.0,7.370656495159222e-05,-9.213320618983722e-06,0.0,0.0,0.0,-7.831322526108409e-05,-0.00018887307268850018,0.0,0.00011516650773685244,0.0,-4.606660309491861e-06,0.0
Rando eval Iter 4,9.213320618928211e-06,0.0,0.0,3.6853282475768356e-05,-4.606660309491861e-06,1.3819980928420073e-05,0.0,0.0,-9.213320618983722e-06,-1.8426641237911934e-05,0.0,-4.145994278531573e-05,0.0,0.0,-4.606660309491861e-06,0.0,0.0,0.0,-4.606660309491861e-06,0.0,5.988658402317215e-05,1.3819980928420073e-05,2.7639961856840145e-05,9.213320618928211e-06,6.449324433266401e-05,-4.145994278531573e-05,-4.606660309491861e-06,0.0,0.0,-2.3033301547403795e-05,9.213320618928211e-06,0.0,1.8426641237911934e-05,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,-5.067326340424394e-05,2.7639961856840145e-05,9.213320618928211e-06,0.0,1.8426641237911934e-05,1.8426641237911934e-05,6.909990464210036e-05,1.8426641237911934e-05,-4.606660309491861e-06,1.3819980928420073e-05,5.067326340418843e-05,0.0,-9.213320618983722e-06,0.0,0.0,0.0,7.831322526108409e-05,0.0,0.0,0.0,0.0,-8.291988557057595e-05,-0.00016123311083166003,0.0,0.00012437982835583616,0.0,-4.606660309491861e-06,0.0
Rando eval Iter 5,1.3819980928420073e-05,0.0,0.0,2.7639961856840145e-05,0.0,2.7639961856840145e-05,4.60666030943635e-06,0.0,9.213320618928211e-06,-1.3819980928420073e-05,0.0,-5.067326340424394e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,1.8426641237911934e-05,0.0,4.606660309475208e-05,4.145994278526022e-05,3.6853282475768356e-05,2.7639961856840145e-05,6.449324433266401e-05,-3.685328247582387e-05,-9.213320618983722e-06,0.0,0.0,-3.2246622166332006e-05,-1.3819980928420073e-05,0.0,0.0,4.60666030943635e-06,0.0,0.0,0.0,-2.7639961856895656e-05,-6.909990464215587e-05,1.3819980928420073e-05,1.8426641237911934e-05,0.0,9.213320618928211e-06,5.527992371368029e-05,5.988658402317215e-05,0.0,-4.606660309491861e-06,1.3819980928420073e-05,5.067326340418843e-05,-4.606660309491861e-06,9.213320618928211e-06,0.0,-4.606660309491861e-06,0.0,6.449324433266401e-05,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,-6.909990464215587e-05,-0.0001980863933074839,0.0,0.00011516650773685244,0.0,-1.3819980928420073e-05,0.0
Rando eval Iter 6,2.7639961856840145e-05,0.0,0.0,1.8426641237911934e-05,0.0,2.7639961856840145e-05,-4.606660309491861e-06,0.0,0.0,-1.3819980928420073e-05,4.60666030943635e-06,-3.2246622166332006e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,9.213320618928211e-06,0.0,3.6853282475768356e-05,2.3033301547348284e-05,5.527992371368029e-05,1.3819980928420073e-05,5.988658402317215e-05,-2.7639961856895656e-05,-1.3819980928420073e-05,0.0,0.0,4.60666030943635e-06,-1.3819980928420073e-05,0.0,1.8426641237911934e-05,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,-4.145994278531573e-05,3.2246622166332006e-05,9.213320618928211e-06,0.0,0.0,4.60666030943635e-06,6.449324433266401e-05,1.3819980928420073e-05,-4.606660309491861e-06,1.3819980928420073e-05,5.988658402317215e-05,0.0,0.0,0.0,4.60666030943635e-06,0.0,7.831322526108409e-05,0.0,0.0,0.0,0.0,-7.831322526108409e-05,-0.00017965975206957197,0.0,8.75265458800123e-05,0.0,0.0,9.213320618928211e-06
Rando eval Iter 7,1.3819980928420073e-05,-4.606660309491861e-06,0.0,4.145994278526022e-05,0.0,1.8426641237911934e-05,4.60666030943635e-06,4.60666030943635e-06,0.0,9.213320618928211e-06,0.0,-5.52799237137358e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.213320618928211e-06,0.0,3.2246622166332006e-05,2.3033301547348284e-05,3.2246622166332006e-05,2.3033301547348284e-05,5.527992371368029e-05,-2.3033301547403795e-05,-1.3819980928420073e-05,0.0,0.0,-4.145994278531573e-05,0.0,0.0,1.8426641237911934e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,-4.145994278531573e-05,1.3819980928420073e-05,0.0,0.0,4.60666030943635e-06,4.145994278526022e-05,6.449324433266401e-05,3.2246622166332006e-05,-4.606660309491861e-06,1.8426641237911934e-05,5.527992371368029e-05,-4.606660309491861e-06,-4.606660309491861e-06,0.0,-4.606660309491861e-06,0.0,6.449324433266401e-05,-4.606660309491861e-06,0.0,0.0,0.0,-7.831322526108409e-05,-0.00018426641237900832,0.0,9.213320618950416e-05,0.0,-2.7639961856895656e-05,0.0
Rando eval Iter 8,-1.8426641237911934e-05,0.0,0.0,4.145994278526022e-05,-4.606660309491861e-06,1.8426641237911934e-05,4.60666030943635e-06,0.0,0.0,-2.7639961856895656e-05,0.0,-2.7639961856895656e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,2.7639961856840145e-05,0.0,1.8426641237911934e-05,3.2246622166332006e-05,4.145994278526022e-05,2.3033301547348284e-05,6.449324433266401e-05,-2.7639961856895656e-05,-1.3819980928420073e-05,0.0,0.0,-9.213320618983722e-06,-4.606660309491861e-06,0.0,4.60666030943635e-06,4.60666030943635e-06,0.0,0.0,0.0,-9.213320618983722e-06,-7.831322526108409e-05,1.8426641237911934e-05,9.213320618928211e-06,0.0,1.8426641237911934e-05,1.3819980928420073e-05,9.213320618950416e-05,1.8426641237911934e-05,-4.606660309491861e-06,1.3819980928420073e-05,5.988658402317215e-05,-4.606660309491861e-06,-4.606660309491861e-06,0.0,-4.606660309491861e-06,0.0,6.909990464210036e-05,4.60666030943635e-06,0.0,0.0,0.0,-5.988658402317215e-05,-0.0001750530917600801,0.0,0.00011516650773685244,0.0,-3.685328247582387e-05,0.0
Rando eval Iter 9,1.8426641237911934e-05,0.0,0.0,3.6853282475768356e-05,-4.606660309491861e-06,2.3033301547348284e-05,-4.606660309491861e-06,0.0,4.60666030943635e-06,4.60666030943635e-06,0.0,-2.7639961856895656e-05,0.0,0.0,0.0,0.0,-4.606660309491861e-06,0.0,1.3819980928420073e-05,0.0,7.831322526108409e-05,5.067326340418843e-05,2.3033301547348284e-05,5.067326340418843e-05,5.527992371368029e-05,-1.8426641237911934e-05,0.0,0.0,4.60666030943635e-06,-1.8426641237911934e-05,-1.3819980928420073e-05,0.0,2.3033301547348284e-05,-4.606660309491861e-06,0.0,0.0,0.0,-9.213320618983722e-06,-5.52799237137358e-05,9.213320618928211e-06,4.60666030943635e-06,0.0,9.213320618928211e-06,2.7639961856840145e-05,8.75265458800123e-05,1.3819980928420073e-05,-4.606660309491861e-06,1.3819980928420073e-05,4.606660309475208e-05,0.0,0.0,0.0,-9.213320618983722e-06,0.0,5.988658402317215e-05,-4.606660309491861e-06,0.0,0.0,4.60666030943635e-06,-2.7639961856895656e-05,-0.00018426641237900832,0.0,0.00011055984742741609,0.0,-3.685328247582387e-05,0.0
