,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.00016123311083166003,-0.000640325783017065,0.0,0.0,0.0,0.0,0.00017044643145058824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013082915278910257,-4.606660309464106e-06,0.0,0.0001796597520695442,-0.02984194548478189,-0.005348332619300983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02146243038184606,0.000755492290753973,-4.606660309464106e-06,0.0,0.0,0.0,0.0,3.685328247582387e-05,0.0,0.0,0.0,0.0004883059928044164,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,0.0017827775397669943,0.0,0.0,0.0,-0.004104534335742593,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 1,4.606660309491861e-06,0.0,0.0,-4.606660309464106e-06,0.0,0.0,0.0,0.0,8.291988557057595e-05,-0.0005712258783749369,0.0,0.0,0.0,0.0,0.00011055984742741609,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012437982835583616,-4.606660309464106e-06,0.0,0.0001796597520695442,-0.03004003187808932,-0.005408219203324155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0216789434163914,0.0007508856304445088,0.0,0.0,0.0,0.0,0.0,4.145994278528797e-05,0.0,0.0,0.0,0.0005481925768275886,0.0,0.0,0.0,0.0,-1.8426641237884178e-05,0.0017873842000764861,0.0,0.0,0.0,-0.003920267923363585,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 2,1.3819980928447828e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.213320618955967e-06,0.00011516650773690795,-0.0006126858211602249,0.0,0.0,0.0,0.0,0.00012898648866532803,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008660521381813613,-4.606660309464106e-06,0.0,0.00016123311083166003,-0.03014137840489778,-0.005523385711061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02185399650815148,0.0007693122716824208,-9.213320618928211e-06,0.0,0.0,0.0,0.0,3.2246622166332006e-05,0.0,0.0,0.0,0.0005021259737328365,0.0,0.0,0.0,0.0,-1.8426641237884178e-05,0.0017597442382196182,0.0,0.0,0.0,-0.003915661263054121,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 3,-9.213320618928211e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.8426641237884178e-05,9.213320618953191e-05,-0.0007094256876592209,0.0,0.0,0.0,0.0,0.000138199809284284,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011931250201541177,-4.606660309464106e-06,0.0,0.00018887307268850018,-0.02966689239302181,-0.005357545939919939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02208432952362524,0.000755492290753973,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,3.685328247582387e-05,0.0,0.0,0.0,0.0006172924814697167,0.0,0.0,0.0,0.0,-2.303330154737604e-05,0.0017827775397669943,0.0,0.0,0.0,-0.004173634240384749,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 4,1.8426641237911934e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.00012898648866532803,-0.0005988658402318048,0.0,0.0,0.0,0.0,0.00016123311083166003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012023383407730737,-4.606660309464106e-06,0.0,0.0001750530917600801,-0.028966680025981545,-0.005399005882705199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02163748347360614,0.0007969522335392609,0.0,0.0,0.0,0.0,0.0,3.685328247582387e-05,0.0,0.0,0.0,0.0005527992371370527,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,0.0017689575588385742,0.0,0.0,0.0,-0.004053861072338377,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.00012898648866532803,-0.0005389792562086049,0.0,0.0,0.0,0.0,0.00015201979021270406,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013589647912952418,-4.606660309464106e-06,0.0,0.00018426641237903607,-0.029791272221377646,-0.005362152600229403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02231466253909903,0.0007969522335392609,0.0,0.0,0.0,0.0,0.0,4.606660309475208e-05,0.0,0.0,0.0,0.0005205526149707485,0.0,0.0,0.0,0.0,-9.213320618928211e-06,0.00175053091760069,0.0,0.0,0.0,-0.003975547847077293,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 6,9.213320618955967e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.303330154737604e-05,0.00010595318711795199,-0.0006679657448739329,0.0,0.0,0.0,0.0,0.00017044643145058824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010318919093224854,-4.606660309464106e-06,0.0,0.0001796597520695442,-0.02985576546571031,-0.005412825863633619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021918489752484144,0.0007831322526108409,-4.606660309464106e-06,0.0,0.0,0.0,0.0,4.145994278528797e-05,0.0,0.0,0.0,0.0005574058974465446,0.0,0.0,0.0,0.0,-2.303330154737604e-05,0.0017551375779101541,0.0,0.0,0.0,-0.003943301224910961,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 7,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,9.213320618953191e-05,-0.000737065649516061,0.0,0.0,0.0,0.0,0.00011055984742741609,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013082915278910257,-4.606660309464106e-06,0.0,0.00018426641237903607,-0.030196658328611486,-0.005394399222395735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021844783187532524,0.0007831322526108409,-9.213320618928211e-06,0.0,0.0,0.0,0.0,3.685328247582387e-05,0.0,0.0,0.0,0.0005067326340423006,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,0.0017873842000764861,0.0,0.0,0.0,-0.003818921396555125,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 8,-2.303330154737604e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.213320618928211e-06,0.0001474131299032122,-0.0005896525196128488,0.0,0.0,0.0,0.0,0.00016123311083166003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010871718330361935,-4.606660309464106e-06,0.0,0.00018887307268850018,-0.030270364893563106,-0.005334512638372535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021987589657126272,0.0007739189319918849,0.0,0.0,0.0,0.0,0.0,2.76399618568679e-05,0.0,0.0,0.0,0.0005666192180655005,0.0,0.0,0.0,0.0,-1.8426641237884178e-05,0.00176435089852911,0.0,0.0,0.0,-0.004044647751719421,0.0,0.0,0.0,0.0,0.0,0.0
Decis eval Iter 9,-9.213320618928211e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.3819980928447828e-05,0.00013359314897479213,-0.0005758325386844287,0.0,0.0,0.0,0.0,0.00012437982835583616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012898648866531137,-4.606660309464106e-06,0.0,0.0001796597520695442,-0.029501052621880713,-0.005371365920848359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021669730095772444,0.000810772214467681,0.0,0.0,0.0,0.0,0.0,1.3819980928447828e-05,0.0,0.0,0.0,0.0005481925768275886,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,0.001796597520695442,0.0,0.0,0.0,-0.003786674774388793,0.0,0.0,0.0,0.0,0.0,0.0
