,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl train Iter 0,0.2075700517010277,0.09957234952447824,0.02106338163017807,0.03568009191293808,0.01634007787068359,0.21388906619008108,0.03261632731218489,0.0035105636050296596,0.0007021127210059541,0.0,0.21274015446479866,0.030829131295078804,0.15389034275866476,0.10135954554158422,0.12089104487138569,0.023808004085019485,0.013212484840748107,0.03223335673709071,0.04633943958639175,0.19640007659411507,0.044871385715197554,0.16844322461224237,0.011169975106912644,0.006382842918235765,0.23450564881598268,0.257930682325908,0.00114891172528242,0.046913895449033016,0.06274334588625774,0.008297695793706539,0.008489181081253627,0.0009574264377354424,0.02310589136401353,0.019212357183889694,0.07984936490712968,0.12855045637326867,0.001085083296100131,0.0005744558626412655,0.010340205527542001,0.021765494351184023,0.058658326418586815,0.04027573881406776,0.022531435501372377,0.024063317801748974,-0.0005744558626411544,0.0031275930299355936,0.000382970575094177,0.01276568583647164,0.012318886832195064,-0.0013403970128295084,0.00031914214591177714,0.009893406523265535,0.0072764409267888075,0.0010212548669177313,0.00012765685836468865,0.0751260611476352,0.07595583072700585,0.09880640837428989,0.0013403970128295084,0.0009574264377354424,-0.0008297695793706428,0.004404161613582702,0.0001914852875470885,-6.382842918228882e-05,0.005744558626412211,0.02106338163017807
MLPCl train Iter 1,0.21478266419863412,0.10410416799642563,0.0222122933554606,0.03523329290866151,0.014233739707665838,0.21452735048190463,0.03708431735494988,0.0031275930299355936,-0.0007021127210059541,-0.0007021127210059541,0.2164422033573754,0.028658964702878653,0.1590604455224357,0.10410416799642563,0.12618880449352143,0.027701538265143322,0.014808195570306992,0.031084445011808293,0.047105380736580105,0.1944213952894619,0.04557349843620351,0.169272994191613,0.011233803536095044,0.0065104997766005646,0.2327184527988766,0.251866981553584,0.0005106274334588656,0.04385013084827982,0.06287100274462243,0.009446607518988959,0.008616837939618316,0.0005106274334588656,0.022786749218101754,0.019212357183889694,0.08118976191995919,0.12108253015893278,0.000765941150188354,0.0005106274334588656,0.010723176102636178,0.02195697963873111,0.059871066573051634,0.036701346779855815,0.022914406076466443,0.02099955320099578,-0.0017871960171059742,0.002297823450564951,0.0,0.01282951426565393,0.012063573115465687,-0.0002553137167293773,0.0007021127210059541,0.010021063381630224,0.008297695793706539,0.0006382842918235543,0.0002553137167294883,0.0766579434480118,0.07327503670134683,0.09504053105253085,0.0013403970128295084,0.0008935980085530426,-6.382842918228882e-05,0.0024893087381119283,0.0002553137167294883,6.382842918239984e-05,0.004914789047041568,0.02112721005936047
MLPCl train Iter 2,0.2075062232718453,0.1001468053871194,0.020361268909172114,0.03714814578413228,0.014808195570306992,0.2134422671858046,0.033254611604008444,0.0024254803089296395,-0.00031914214591177714,0.00114891172528242,0.21420820833599286,0.027637709835960922,0.1545924554796707,0.10078508967894306,0.1267632603561627,0.022403778643007577,0.014552881853577615,0.03165890087444956,0.04997766004978621,0.18874066509223208,0.05023297376651559,0.16946447947916,0.011552945682006821,0.007595583072700585,0.23195251164868835,0.25576051573370784,6.382842918239984e-05,0.044616071998468176,0.06140294887342823,0.009701921235718447,0.007850896789430073,0.001085083296100131,0.02316971979319593,0.017871960171060186,0.0795940511904002,0.12421012318886837,0.0010212548669177313,6.382842918239984e-05,0.010595519244271379,0.01857407289206614,0.06031786557732821,0.04072253781834434,0.02329737665156062,0.02087189634263098,0.0,0.003382906746664971,-0.00031914214591177714,0.013786940703389261,0.012063573115465687,-0.0004467990042764658,0.000765941150188354,0.008999808514712493,0.008361524222888939,0.0005106274334588656,6.382842918239984e-05,0.07901959532775904,0.07391332099317038,0.09893406523265469,0.0014042254420119082,0.0014042254420119082,0.0006382842918235543,0.0046594753303121905,-6.382842918228882e-05,0.0007021127210059541,0.005744558626412211,0.023680347226654797
MLPCl train Iter 3,0.20865513499712773,0.10033829067466649,0.022722920788919354,0.03612689091721455,0.016531563158230678,0.21439969362353994,0.03599923405884986,0.003382906746664971,-0.0001914852875470885,-0.0004467990042764658,0.2148464926278164,0.029488734282249296,0.15433714176294122,0.10123188868321953,0.12484840748069193,0.025786685389672548,0.013084827982383418,0.03006319014489056,0.04755217974085657,0.19550647858556203,0.049467032616327344,0.16818791089551288,0.01289334269483633,0.007978553647794762,0.2385268398544712,0.2537180059998724,0.0014042254420119082,0.043658645560732734,0.06261568902789305,0.008808323227165404,0.010084891810812513,0.0008297695793706428,0.023552690368290108,0.01851024446288374,0.08233867364524161,0.12491223590987433,0.0008935980085530426,-0.00012765685836468865,0.011106146677730244,0.021829322780366422,0.062296546881981274,0.037722601646773546,0.02425480308929595,0.022850577647284154,-0.0008297695793706428,0.002170166592200151,-0.00031914214591177714,0.013531626986659884,0.011935916257100887,-0.0005744558626411544,6.382842918239984e-05,0.009063636943894782,0.006829641922512342,0.0009574264377354424,0.0005106274334588656,0.0765941150188294,0.07321120827216443,0.09797663879491925,0.0008935980085530426,0.0016595391587412855,0.0002553137167294883,0.003702048892576748,0.0,0.0,0.005233931192953345,0.022531435501372377
MLPCl train Iter 4,0.20495308610455099,0.10142337397076662,0.02087189634263098,0.036573689921491015,0.014935852428671792,0.21254866917725157,0.034275866470926175,0.0028084508840238165,-0.00031914214591177714,-0.000382970575094177,0.21171889959788093,0.030701474436714116,0.15254994574583525,0.09976383481202533,0.11897619199591503,0.02674411182740799,0.014935852428671792,0.03268015574136718,0.04640326801557415,0.19225122869726174,0.045956469011297685,0.16825173932469528,0.013084827982383418,0.007467926214335896,0.23054828620667644,0.25269675113295464,0.0012765685836472196,0.042509733835450314,0.059934895002234034,0.008233867364524139,0.007404097785153496,0.0008297695793706428,0.023999489372566574,0.01761664645433081,0.08316844322461225,0.1253590349141508,0.0009574264377354424,0.0009574264377354424,0.011425288823642021,0.01870172975043083,0.057573243122486795,0.03593540562966746,0.023042062934831242,0.021510180634454645,-0.0002553137167293773,0.002553137167294328,-0.0005106274334588656,0.012638028978106841,0.010787004531818467,-0.0007021127210059541,0.0005744558626412655,0.007978553647794762,0.009510435948171359,0.001085083296100131,0.0008935980085530426,0.07704091402310587,0.07442394842662925,0.09797663879491925,0.0007021127210059541,0.0005106274334588656,-0.0004467990042764658,0.0035743920342120594,-0.0007659411501882429,0.0006382842918235543,0.002553137167294328,0.022786749218101754
MLPCl train Iter 5,0.21299546818152804,0.10046594753303129,0.02329737665156062,0.03516946447947922,0.01519116614540117,0.21478266419863412,0.03146741558690247,0.0038297057509415477,0.000765941150188354,-0.0005106274334588656,0.21574009063636945,0.0279568519818727,0.1548477691964001,0.10250845726686664,0.1267632603561627,0.02553137167294317,0.015254994574583569,0.03229718516627311,0.04774366502840366,0.1932086551349972,0.04972234633305672,0.16665602859513629,0.013276313269930395,0.0076594115018829845,0.23456947724516497,0.2519308099827664,0.001531882300376597,0.04455224356928578,0.06255186059871065,0.009127465373077182,0.00810621050615945,0.0007021127210059541,0.025084572668666594,0.017935788600242586,0.08284930107870048,0.12472075062232724,0.001468053871194308,0.000765941150188354,0.01161677411118911,0.020680411055084003,0.05827535584349275,0.04053105253079725,0.021765494351184023,0.022978234505648842,-0.0004467990042764658,0.0020425097338354625,-0.000382970575094177,0.013148656411565707,0.012638028978106841,-0.000382970575094177,0.000765941150188354,0.009701921235718447,0.008744494797983005,0.0007021127210059541,0.0001914852875470885,0.07448777685581165,0.07333886513052912,0.09970000638284293,0.002170166592200151,0.0012127401544648198,0.0005106274334588656,0.0038935341801238366,0.0007021127210059541,0.0005744558626412655,0.003765877321759148,0.02316971979319593
MLPCl train Iter 6,0.21293163975234575,0.10257228569604904,0.02112721005936047,0.03453118018765555,0.016659220016595366,0.21612306121146363,0.0324886704538202,0.0038935341801238366,0.0002553137167294883,0.00031914214591177714,0.2165060317865578,0.03025467543243765,0.15950724452671217,0.10352971213378437,0.12835897108572158,0.0280845088402375,0.015765622008042435,0.031148273440990693,0.04742452288249188,0.1929533414182677,0.04959468947469203,0.171060190208719,0.012063573115465687,0.007148784068424119,0.23476096253271206,0.25142018254930754,0.0004467990042765768,0.04212676326035614,0.06172209101934001,0.008935980085530093,0.009829578094083136,0.0007021127210059541,0.025212229527031393,0.019276185613072094,0.08304078636624757,0.12714623093125677,0.00114891172528242,0.00012765685836468865,0.010021063381630224,0.02074423948426629,0.06082849301078708,0.038935341801238255,0.021701665922001734,0.022403778643007577,-0.0007021127210059541,0.0028084508840238165,-0.0006382842918235543,0.01174443096955391,0.01053169081508909,-0.0005744558626411544,0.0006382842918235543,0.008744494797983005,0.007914725218612362,0.0006382842918235543,0.00031914214591177714,0.07908342375694133,0.07672177187719409,0.09893406523265469,0.001085083296100131,0.001468053871194308,0.00012765685836468865,0.0035105636050296596,-0.0004467990042764658,-0.0009574264377353314,0.005680730197229922,0.023935660943384174
MLPCl train Iter 7,0.215293291632093,0.0957426437735368,0.02329737665156062,0.03568009191293808,0.01289334269483633,0.2136337524733517,0.03370141060828491,0.0024254803089296395,0.0,-0.0007021127210059541,0.21765494351184023,0.029616391140614096,0.15376268590030007,0.10448713857151981,0.1251675496266037,0.027701538265143322,0.013403970128295195,0.030829131295078804,0.04780749345758606,0.1932086551349972,0.049403204187144945,0.1648688325780303,0.012191229973830375,0.007404097785153496,0.2358460458288122,0.25556903044616075,0.001085083296100131,0.04225442011872094,0.06491351247845789,0.00931895066062427,0.009063636943894782,0.0008935980085530426,0.02572285696049026,0.019276185613072094,0.08016850705304146,0.1237633241845918,0.0007021127210059541,0.0005744558626412655,0.009893406523265535,0.019148528754707406,0.061019978298334054,0.037786430075955835,0.023871832514201885,0.020616582625901603,-0.0007659411501882429,0.0031914214591178824,0.0002553137167294883,0.013020999553201018,0.011233803536095044,-0.0004467990042764658,0.000765941150188354,0.009957234952447824,0.00931895066062427,0.0002553137167294883,0.0005106274334588656,0.0795940511904002,0.07455160528499394,0.09535967319844263,0.0009574264377354424,0.001468053871194308,0.0,0.0042765047552180135,-0.00031914214591177714,6.382842918239984e-05,0.0065104997766005646,0.02310589136401353
MLPCl train Iter 8,0.20597434097146872,0.09504053105253085,0.022786749218101754,0.03568009191293808,0.01519116614540117,0.21452735048190463,0.03344609689155553,0.0035743920342120594,0.0,-0.0002553137167293773,0.21829322780366378,0.028722793132061053,0.15714559264696493,0.10423182485479032,0.1193591625710092,0.02668028339822559,0.01276568583647164,0.03408438118337909,0.04633943958639175,0.1945490521478267,0.048062807174315436,0.17195378821727203,0.010978489819365556,0.007914725218612362,0.23201634007787075,0.25556903044616075,0.0006382842918235543,0.04302036126890918,0.06248803216952836,0.008935980085530093,0.007850896789430073,0.0008935980085530426,0.024956915810301905,0.020042126763260337,0.08457266866662416,0.126827088785345,0.0012127401544648198,0.0004467990042765768,0.01161677411118911,0.02099955320099578,0.05808387055594566,0.038935341801238255,0.023808004085019485,0.01972298461734856,-0.0010212548669177313,0.002616965596476728,-0.0005744558626411544,0.013595455415842284,0.01174443096955391,-0.0004467990042764658,0.0005744558626412655,0.010340205527542001,0.00695729878087703,0.0007021127210059541,0.0,0.07857279632348246,0.07238143869279379,0.09918937894938407,0.0023616518797472397,0.0016595391587412855,0.0,0.004340333184400302,-0.00012765685836468865,0.000382970575094177,0.004021191038488525,0.020616582625901603
MLPCl train Iter 9,0.21018701729750433,0.09976383481202533,0.018957043467160317,0.03580774877130277,0.015446479862130658,0.2164422033573754,0.0324248420246378,0.004085019467670925,-0.000382970575094177,-0.0005744558626411544,0.2152294632029106,0.03025467543243765,0.15701793578860024,0.0971468692155486,0.12280589774685646,0.02553137167294317,0.015382651432948258,0.03121210187017298,0.049339375757962656,0.19225122869726174,0.04850960617859201,0.16761345503287162,0.012446543690559753,0.008361524222888939,0.23610135954554157,0.25703708431735495,0.0008297695793706428,0.04321184655645627,0.061019978298334054,0.007340269355971207,0.0076594115018829845,0.0006382842918235543,0.023680347226654797,0.019084700325525006,0.08367907065807112,0.1266356034977979,0.001085083296100131,0.0008297695793706428,0.011042318248547955,0.017680474883513098,0.05789238526839857,0.03950979766387952,0.023488861939107708,0.0222122933554606,-0.0006382842918235543,0.002936107742388505,-0.0002553137167293773,0.013723112274206972,0.012191229973830375,-0.000382970575094177,0.0006382842918235543,0.009063636943894782,0.007914725218612362,0.0008935980085530426,0.00031914214591177714,0.07672177187719409,0.07544520329354698,0.09899789366183698,0.0012765685836472196,0.002170166592200151,0.0001914852875470885,0.003957362609306236,-0.0007659411501882429,0.0005106274334588656,0.003702048892576748,0.021446352205272246
