,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando train Iter 0,0.0008979630417316198,0.00793988373741672,0.005624084314003519,0.005340517037667136,0.00411172550687644,0.0013705751689587764,0.001228791530790696,0.004064464294153747,0.0031192400396994335,0.004064464294153747,0.0021740157852450093,0.0069946594829622954,0.0015123588071269678,0.0026938891251949704,0.0004726121272271566,0.007656316461080337,0.0049624273358853666,0.006191218866676063,0.004017203081431053,0.0024103218488585876,0.002977456401531242,0.002741150337917664,0.00973580982087996,0.004206247932321938,0.009168675268207305,0.008365234651921183,0.001748664870740546,0.007325487972021372,0.00845975707736657,0.002363060636135894,0.0026938891251949704,0.0,0.008034406162862107,0.0010397466798998112,0.0023157994234132007,0.0016068812325723547,0.0,0.004300770357767325,0.004395292783212823,0.00845975707736657,0.010302944373552614,0.0009452242544543132,0.0027884115506403573,0.0031192400396994335,0.0017959260834632396,0.0017014036580178526,0.0002363060636135783,0.0016541424452951592,0.001748664870740546,0.001843187296186044,0.0006616569781180415,0.0009924854671771177,0.0014650975944042743,0.0,0.002268538210690507,0.002457583061581392,0.0008507018290089263,0.0004726121272271566,0.0,0.001748664870740546,0.0016068812325723547,0.001937709721631431,0.002363060636135894,4.726121272269346e-05,0.0007561794035634284,0.003355546103313012
Rando train Iter 1,0.001323313956236083,0.0076090552483576435,0.005954912803062484,0.005435039463112634,0.00359185216692659,0.001228791530790696,0.0016068812325723547,0.004631598846826401,0.0025993666997494724,0.003780897017817475,0.002032232147076818,0.00718370433385318,0.0014178363816815809,0.002552105487026779,0.0003780897017817697,0.007420010397466759,0.005529561888558021,0.006238480079398867,0.004017203081431053,0.0022212769979677027,0.0034500685287583988,0.0029301951888085487,0.010539250437166192,0.004158986719599245,0.009452242544543688,0.00845975707736657,0.001843187296186044,0.007089181908407793,0.008128928588307605,0.0020794933597996224,0.0022212769979677027,0.0,0.007750838886525835,0.0014650975944042743,0.0021740157852450093,0.002032232147076818,0.0,0.00411172550687644,0.004300770357767325,0.00883784677914834,0.00987759345904815,0.001134269105345198,0.0030247176142539356,0.0029301951888085487,0.0017959260834632396,0.0016541424452951592,0.00028356727633627177,0.001228791530790696,0.0012760527435133895,0.0017959260834632396,0.0008034406162862329,0.001323313956236083,0.0012760527435133895,0.0,0.0024103218488585876,0.0021740157852450093,0.0008507018290089263,0.0003780897017817697,0.0,0.001748664870740546,0.0020794933597996224,0.0020794933597996224,0.0023157994234132007,-4.726121272269346e-05,0.0008979630417316198,0.0034500685287583988
Rando train Iter 2,0.0008979630417316198,0.007987144950139413,0.005576823101280715,0.005860390377617097,0.0037336358050947815,0.001323313956236083,0.001748664870740546,0.004820643697717286,0.0028356727633630507,0.0035445909542038967,0.0019849709343541244,0.006758353419348717,0.0011815303180678915,0.002268538210690507,0.0003780897017817697,0.006616569781180526,0.006096696441230676,0.006096696441230676,0.0038281582305401685,0.002363060636135894,0.0029301951888085487,0.003071978826976629,0.010397466798998,0.004395292783212823,0.008507018290089263,0.009263197693652803,0.001323313956236083,0.00718370433385318,0.007798100099248528,0.002457583061581392,0.0025048442743040855,0.0,0.007892622524693915,0.001134269105345198,0.001748664870740546,0.0019849709343541244,0.0,0.00396994186870836,0.004253509145044632,0.008554279502812068,0.010161160735384422,0.0014650975944042743,0.0029301951888085487,0.00359185216692659,0.0016541424452951592,0.0017014036580178526,0.00028356727633627177,0.0016068812325723547,0.0017014036580178526,0.002126754572522316,0.0010397466798998112,0.001134269105345198,0.001228791530790696,0.0,0.0021740157852450093,0.003071978826976629,0.0008979630417316198,0.0003308284890589652,0.0,0.0016541424452951592,0.0015596200198496613,0.001748664870740546,0.0025993666997494724,0.00018904485089088485,0.0008507018290089263,0.003780897017817475
Rando train Iter 3,0.0009924854671771177,0.0069001370575169085,0.005482300675835328,0.0056713455267262125,0.003261023677867514,0.001323313956236083,0.0014178363816815809,0.004300770357767325,0.0019849709343541244,0.004017203081431053,0.001937709721631431,0.00718370433385318,0.001748664870740546,0.0028356727633630507,0.00042535091450446316,0.007372749184744065,0.005529561888558021,0.006191218866676063,0.0038281582305401685,0.0019849709343541244,0.0035445909542038967,0.0029301951888085487,0.010113899522661729,0.003875419443262862,0.009074152842761918,0.008696063140980148,0.0015123588071269678,0.007278226759298567,0.008412495864643876,0.002552105487026779,0.0020794933597996224,0.0,0.00845975707736657,0.001323313956236083,0.002457583061581392,0.001843187296186044,0.0,0.004017203081431053,0.004300770357767325,0.009026891630039224,0.010397466798998,0.0015123588071269678,0.003166501252422127,0.003071978826976629,0.001937709721631431,0.0015596200198496613,0.0004726121272271566,0.0015596200198496613,0.0017014036580178526,0.0016541424452951592,0.0009924854671771177,0.0009924854671771177,0.0013705751689587764,0.0,0.001843187296186044,0.002457583061581392,0.0007561794035634284,0.00042535091450446316,0.0,0.001748664870740546,0.0014178363816815809,0.0019849709343541244,0.0020794933597996224,4.726121272269346e-05,0.0008979630417316198,0.0033082848905903184
Rando train Iter 4,0.0009452242544543132,0.007041920695684989,0.005718606739448906,0.004820643697717286,0.003497329741481092,0.001134269105345198,0.001843187296186044,0.004300770357767325,0.002977456401531242,0.003686374592371977,0.0021740157852450093,0.007041920695684989,0.001323313956236083,0.0025993666997494724,0.00042535091450446316,0.0076090552483576435,0.006143957653953369,0.0062857412921215605,0.0034028073160357053,0.001843187296186044,0.0033082848905903184,0.0027884115506403573,0.010113899522661729,0.004017203081431053,0.008601540715534761,0.008270712226475685,0.0022212769979677027,0.007278226759298567,0.007987144950139413,0.0025993666997494724,0.0025993666997494724,0.0,0.008412495864643876,0.0010397466798998112,0.002646627912472166,0.0015596200198496613,0.0,0.004253509145044632,0.004300770357767325,0.008507018290089263,0.010302944373552614,0.0010870078926225046,0.0026938891251949704,0.0030247176142539356,0.0019849709343541244,0.0016068812325723547,0.00028356727633627177,0.0012760527435133895,0.0016068812325723547,0.0015596200198496613,0.0008979630417316198,0.0008979630417316198,0.0011815303180678915,0.0,0.001937709721631431,0.002457583061581392,0.0009924854671771177,0.0004726121272271566,4.726121272269346e-05,0.0015596200198496613,0.0018904485089087375,0.0020794933597996224,0.0018904485089087375,9.452242544538692e-05,0.0007561794035634284,0.003355546103313012
Rando train Iter 5,0.0010870078926225046,0.006711092206626024,0.005860390377617097,0.005340517037667136,0.0038281582305401685,0.0010397466798998112,0.001323313956236083,0.00448981520865821,0.0026938891251949704,0.003355546103313012,0.001843187296186044,0.006852875844794104,0.0016541424452951592,0.0022212769979677027,0.0003780897017817697,0.008176189801030298,0.005624084314003519,0.005765867952171599,0.00396994186870836,0.0017959260834632396,0.0032137624651448204,0.0029301951888085487,0.010208421948107116,0.004678860059549095,0.008932369204593726,0.008932369204593726,0.001748664870740546,0.007278226759298567,0.008128928588307605,0.002646627912472166,0.002032232147076818,0.0,0.007467271610189452,0.0009452242544543132,0.002363060636135894,0.0016541424452951592,0.0,0.004206247932321938,0.004584337634103708,0.007987144950139413,0.011200907415284234,0.0013705751689587764,0.0029301951888085487,0.002552105487026779,0.001748664870740546,0.0017959260834632396,0.00014178363816808037,0.0014178363816815809,0.0015596200198496613,0.0017014036580178526,0.0008507018290089263,0.0008507018290089263,0.0016068812325723547,0.0,0.002032232147076818,0.0024103218488585876,0.0007089181908407349,0.00028356727633627177,0.0,0.001748664870740546,0.002032232147076818,0.002268538210690507,0.0025048442743040855,4.726121272269346e-05,0.0008979630417316198,0.0033082848905903184
Rando train Iter 6,0.001134269105345198,0.007420010397466759,0.005907651590339791,0.005576823101280715,0.004017203081431053,0.0011815303180678915,0.0018904485089087375,0.004537076421380903,0.0029301951888085487,0.0037336358050947815,0.0020794933597996224,0.007136443121130487,0.0016541424452951592,0.002646627912472166,0.0003308284890589652,0.007845361311971222,0.0056713455267262125,0.005954912803062484,0.004017203081431053,0.0017014036580178526,0.0028829339760858552,0.002741150337917664,0.010822817713502464,0.0035445909542038967,0.009168675268207305,0.00883784677914834,0.001843187296186044,0.0069946594829622954,0.007750838886525835,0.0028356727633630507,0.0025993666997494724,0.0,0.00756179403563495,0.0007561794035634284,0.001843187296186044,0.001748664870740546,0.0,0.004017203081431053,0.004395292783212823,0.00793988373741672,0.010633772862611579,0.0008034406162862329,0.0030247176142539356,0.0035445909542038967,0.001843187296186044,0.0015596200198496613,0.00018904485089088485,0.0015596200198496613,0.001748664870740546,0.0015596200198496613,0.0006616569781180415,0.0008034406162862329,0.0009924854671771177,0.0,0.002552105487026779,0.002977456401531242,0.0005671345526726546,0.0003780897017817697,4.726121272269346e-05,0.001937709721631431,0.0016541424452951592,0.002363060636135894,0.0021740157852450093,0.00014178363816808037,0.0006616569781180415,0.00359185216692659
Rando train Iter 7,0.0008034406162862329,0.007467271610189452,0.005907651590339791,0.005529561888558021,0.0036391133796492836,0.001323313956236083,0.001228791530790696,0.004253509145044632,0.002268538210690507,0.003497329741481092,0.0015596200198496613,0.007278226759298567,0.0015596200198496613,0.002646627912472166,0.00042535091450446316,0.007136443121130487,0.005907651590339791,0.006049435228507982,0.0036391133796492836,0.001937709721631431,0.002977456401531242,0.0029301951888085487,0.00987759345904815,0.0037336358050947815,0.009310458906375496,0.009026891630039224,0.001748664870740546,0.006569308568457832,0.008034406162862107,0.002552105487026779,0.0023157994234132007,0.0,0.00756179403563495,0.001228791530790696,0.002032232147076818,0.001937709721631431,0.0,0.004678860059549095,0.00448981520865821,0.007987144950139413,0.009972115884493538,0.0010397466798998112,0.0026938891251949704,0.0028829339760858552,0.0018904485089087375,0.0015596200198496613,0.0003780897017817697,0.001843187296186044,0.0017014036580178526,0.0017014036580178526,0.0008979630417316198,0.0009452242544543132,0.001228791530790696,0.0,0.0019849709343541244,0.002032232147076818,0.0008507018290089263,0.00014178363816808037,4.726121272269346e-05,0.0015596200198496613,0.0019849709343541244,0.0019849709343541244,0.0021740157852450093,4.726121272269346e-05,0.0008507018290089263,0.0034500685287583988
Rando train Iter 8,0.001228791530790696,0.007467271610189452,0.005529561888558021,0.005482300675835328,0.003922680655985555,0.0013705751689587764,0.001323313956236083,0.004300770357767325,0.0025048442743040855,0.0034028073160357053,0.0017959260834632396,0.006569308568457832,0.0015596200198496613,0.0024103218488585876,0.0003780897017817697,0.0076090552483576435,0.006002174015785178,0.0062857412921215605,0.0038281582305401685,0.001937709721631431,0.003166501252422127,0.0028829339760858552,0.010161160735384422,0.004253509145044632,0.009310458906375496,0.009310458906375496,0.0015596200198496613,0.007041920695684989,0.007750838886525835,0.0025993666997494724,0.0028356727633630507,0.0,0.007278226759298567,0.0009452242544543132,0.001937709721631431,0.001748664870740546,0.0,0.004253509145044632,0.004158986719599245,0.008743324353702842,0.009924854671770844,0.001134269105345198,0.0032137624651448204,0.0031192400396994335,0.0018904485089087375,0.0014650975944042743,0.0003780897017817697,0.0016068812325723547,0.0015123588071269678,0.0014178363816815809,0.0009452242544543132,0.001228791530790696,0.001228791530790696,0.0,0.0020794933597996224,0.002646627912472166,0.00042535091450446316,0.0004726121272271566,9.452242544538692e-05,0.0014650975944042743,0.0017014036580178526,0.0020794933597996224,0.0022212769979677027,-4.726121272269346e-05,0.0007089181908407349,0.0035445909542038967
Rando train Iter 9,0.0008034406162862329,0.007089181908407793,0.006002174015785178,0.006002174015785178,0.003922680655985555,0.001228791530790696,0.0015123588071269678,0.004537076421380903,0.0025993666997494724,0.003261023677867514,0.0019849709343541244,0.007420010397466759,0.0017014036580178526,0.002126754572522316,0.0003308284890589652,0.007420010397466759,0.005765867952171599,0.0063802637175669474,0.003686374592371977,0.0019849709343541244,0.0029301951888085487,0.002741150337917664,0.010539250437166192,0.0043480315704901296,0.009263197693652803,0.008932369204593726,0.0018904485089087375,0.006805614632071411,0.008176189801030298,0.002646627912472166,0.0025048442743040855,0.0,0.008270712226475685,0.0011815303180678915,0.0020794933597996224,0.001843187296186044,0.0,0.004395292783212823,0.0044425539959355165,0.008270712226475685,0.010302944373552614,0.001134269105345198,0.0034028073160357053,0.003261023677867514,0.001937709721631431,0.0018904485089087375,0.0002363060636135783,0.001323313956236083,0.0017959260834632396,0.0017014036580178526,0.0007561794035634284,0.001134269105345198,0.001228791530790696,0.0,0.002268538210690507,0.002741150337917664,0.0008979630417316198,0.0003308284890589652,0.0,0.001843187296186044,0.001748664870740546,0.0020794933597996224,0.0020794933597996224,4.726121272269346e-05,0.0006616569781180415,0.0036391133796492836
