,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,-0.0007763901942232643,-4.086264180119814e-05,-0.007933639069714782,-0.002124857373663691,-0.0002986116131628025,0.016030728706634523,-0.0012824582965307862,0.0010655719669704355,1.2573120554248973e-05,0.004589189002291438,-0.0006852350702051813,-0.10810369052521068,-4.714920207832263e-05,0.007264120400202412,0.009473846337607172,-0.003498470794212616,-0.001364183580133238,-0.001876538242717829,-0.04279890236657563,0.0,-0.0005689337050786003,-0.000870688598379965,0.0006349425879882964,-0.0004872084214761485,0.007348988963943426,0.09194408733289539,-0.0016345056720490359,0.00018859680831334602,-0.001455338704151321,-0.000804679715470269,-0.00027975193233148454,0.0,-0.010718585272475212,-0.00040862641801225896,-0.00016030728706634134,-6.286560277124487e-06,0.0,5.3435762355447114e-05,-6.915216304820282e-05,-0.02072050267335973,-0.0011378674101572006,0.009986201000191763,0.0,5.657904249400936e-05,-2.5146241108442435e-05,-0.01087574927940299,0.0,-0.0006035097866027295,0.00012887448568077442,0.0,-9.42984041568673e-06,-0.004384875793285337,0.00012573120554221218,0.0,-0.0001194446452651432,-0.0011850166122355232,0.0,3.1432801385622433e-06,-2.5146241108442435e-05,6.915216304820282e-05,-0.0007638170736690708,-5.029248221688487e-05,-0.0006946649106208125,-2.2002960969880192e-05,-3.1432801385622433e-06,-7.54387233253273e-05
Decis eval Iter 1,-0.0007669603538076331,3.1432801385622433e-06,-0.007691606499045989,-0.0018671084023021423,-0.000304898173439927,0.01594900342303207,-0.0011913031725126477,0.0010718585272475045,0.0001194446452651432,0.004388019073423899,-0.0006475157085424899,-0.1076762044263671,1.885968083131795e-05,0.006965508787039609,0.009587004422595136,-0.003611628879200579,-0.0014081895020729984,-0.0018608218420250178,-0.0431980989441722,0.0,-0.0006066530667412917,-0.0005249277831388399,0.0006726619496509323,-0.0004714920207833928,0.0075784484140580255,0.091189700099642,-0.0015370639877537728,0.00021374304942178846,-0.0011724434916813298,-0.0009649870025366103,-0.00043062937898213915,0.0,-0.010624286868318567,-0.0004557756200905816,-0.0001571640069277791,0.0,0.0,6.915216304820282e-05,-5.657904249400936e-05,-0.020604201308233205,-0.0012164494136210902,0.010121362046149662,0.0,3.143280138556692e-05,-2.828952124700468e-05,-0.011416393463234586,0.0,-0.0006035097866027295,0.00012258792540364993,0.0,-4.086264180119814e-05,-0.004328296750791327,0.00010372824457233198,0.0,-0.00016030728706634134,-0.001213306133482528,0.0,0.0,-1.885968083131795e-05,6.915216304820282e-05,-0.0008518289175485916,-3.4576081524129165e-05,-0.0007386708325606284,-1.5716400692755705e-05,-1.2573120554248973e-05,-0.00011630136512658096
Decis eval Iter 2,-0.0007260977120063794,-1.5716400692755705e-05,-0.007631884176413473,-0.0018388188810551376,-0.00030175489330136473,0.01633562688007445,-0.0011693002115427675,0.0010498555662776243,5.657904249400936e-05,0.00462690836395413,-0.0005657904249400381,-0.10827657093283122,-4.086264180119814e-05,0.007163535435768642,0.009310395770402269,-0.0034387484715800443,-0.0013264642184705466,-0.0018733949625792667,-0.042560013076045344,0.0,-0.00036462049607244307,-0.0008738318785185273,0.0006946649106208125,-0.000512354662584591,0.006956078946623978,0.09084708256453938,-0.0016722250337116717,0.0002483191309459176,-0.0012918881369464175,-0.0007952498750546377,-0.0002105997692832262,0.0,-0.010778307595107839,-0.0005060681023074665,-0.0001571640069277791,0.0,0.0,5.657904249400936e-05,-3.4576081524129165e-05,-0.02054133570546207,-0.0012824582965307862,0.010350821496264206,0.0,7.54387233253273e-05,-6.286560277113384e-05,-0.01084431647801748,0.0,-0.0005752202653557248,0.00013201776581933666,-6.286560277124487e-06,-6.286560277124487e-06,-0.004432024995363659,6.286560277113384e-05,0.0,-0.00011630136512658096,-0.0012101628533439657,0.0,6.286560277124487e-06,-1.885968083131795e-05,7.229544318676506e-05,-0.0008078229956088312,-5.029248221688487e-05,-0.0007606737935305086,-4.714920207832263e-05,-3.1432801385622433e-06,-6.600888290969609e-05
Decis eval Iter 3,-0.0006978081907593747,9.42984041568673e-06,-0.0076821766586303575,-0.001779096558422566,-0.00021374304942178846,0.0160244421463574,-0.0012604553355608505,0.0009995630840607395,-8.172528360245179e-05,0.004485460757719106,-0.0007543872332533841,-0.10720785568572228,-5.029248221688487e-05,0.006905786464407093,0.008886052951697199,-0.0035361901558752518,-0.0016533653528803538,-0.0019771232071515987,-0.04449627364139569,0.0,-0.00038662345704237877,-0.0006286560277111719,0.0007260977120063794,-0.0005092113824460287,0.0077073228997388,0.09151974451419032,-0.001643935512464667,0.0002105997692832262,-0.0013138910979162977,-0.0007481006729762596,-0.00031118473371699595,0.0,-0.010756304634137959,-0.00045891890022914383,-0.00011630136512658096,-6.286560277124487e-06,0.0,0.00010058496443376974,-6.286560277124487e-06,-0.020462753701998182,-0.0012698851759765373,0.01047026614152935,0.0,8.172528360245179e-05,-4.714920207832263e-05,-0.010649433109427064,0.0,-0.0006097963468797984,0.00015402072678921686,-6.286560277124487e-06,-1.885968083131795e-05,-0.004189992424694866,0.00013201776581933666,0.0,-9.429840415664525e-05,-0.001181873332096961,0.0,3.1432801385622433e-06,-3.143280138556692e-05,9.115512401813852e-05,-0.0007889633147775132,-5.029248221688487e-05,-0.000682091790066619,-1.885968083131795e-05,-6.286560277124487e-06,-0.00010372824457233198
Decis eval Iter 4,-0.0007229544318678172,-5.3435762355447114e-05,-0.007823624264865381,-0.0020274156893684836,-0.0002388892905302309,0.016052731667604403,-0.0011472972505728873,0.0010121362046149884,0.0,0.004189992424694866,-0.0006663753893738078,-0.10801567868133116,-4.714920207832263e-05,0.007119529513828882,0.009203524245691375,-0.0037750794464054827,-0.0014899147856754502,-0.0019551202461817185,-0.04275175316449725,0.0,-0.00044634577967489486,-0.0011472972505728873,0.0006317993078497341,-0.000499781542030342,0.006902643184268531,0.09179320988624468,-0.0015999295905249067,0.00022317288983747519,-0.0014396223034585653,-0.0007795334743618265,-0.0002483191309459176,0.0,-0.010784594155384963,-0.000499781542030342,-0.00016345056720490359,-3.1432801385622433e-06,0.0,0.00010372824457233198,-9.74416842952075e-05,-0.021025400846799658,-0.0012070195732054034,0.009737881869245846,0.0,5.97223226325716e-05,-5.657904249400936e-05,-0.010838029917740355,3.1432801385622433e-06,-0.0005595038646629136,0.00014773416651214788,-1.5716400692755705e-05,-2.2002960969880192e-05,-0.0045388965200745535,9.74416842952075e-05,0.0,-9.115512401813852e-05,-0.001097004768355947,0.0,3.1432801385622433e-06,-1.885968083131795e-05,8.172528360245179e-05,-0.000889548279211283,-2.828952124700468e-05,-0.0007763901942232643,-5.029248221688487e-05,-9.42984041568673e-06,-7.54387233253273e-05
Decis eval Iter 5,-0.0006475157085424899,-2.5146241108442435e-05,-0.00775132882167856,-0.00186396512216358,-0.0002483191309459176,0.01594900342303207,-0.001285601576669293,0.001090718208078878,0.00016345056720490359,0.004460314516610664,-0.0007543872332533841,-0.10736187641251155,0.0,0.007257833839925343,0.0093198256108179,-0.003655634801140395,-0.001383043260964556,-0.0019425471256274696,-0.04290263061114791,0.0,-0.0006632321092352456,-0.000902121399765532,0.0006978081907593747,-0.0005154979427231532,0.0074935798503170115,0.09069934839802729,-0.0015842131898320955,0.00020745648914466397,-0.0015873564699706577,-0.0007481006729762596,-0.00017602368775909705,0.0,-0.01076573447455359,-0.00048406514133758627,-0.0001194446452651432,0.0,0.0,8.486856374101404e-05,-3.4576081524129165e-05,-0.020915386041950257,-0.001351610459578989,0.010432546779866658,0.0,7.54387233253273e-05,-0.00010372824457233198,-0.010860032878710235,0.0,-0.0006160829071569229,0.00016345056720490359,-3.1432801385622433e-06,-1.885968083131795e-05,-0.004501177158411862,3.771936166269141e-05,0.0,-0.00012573120554221218,-0.0012195926937596524,0.0,0.0,-1.5716400692755705e-05,8.486856374101404e-05,-0.0008392557969943981,-1.885968083131795e-05,-0.0006758052297894945,-2.2002960969880192e-05,-6.286560277124487e-06,-3.4576081524129165e-05
Decis eval Iter 6,-0.0007575305133919463,-5.3435762355447114e-05,-0.007921065949160588,-0.002083994731862493,-0.0002860384926085535,0.016429925284231095,-0.0012290225341753391,0.0010309958854463064,2.5146241108442435e-05,0.004498033878273355,-0.0007166678715906927,-0.10728958096932478,5.029248221688487e-05,0.006962365506901047,0.009058933359317789,-0.0034953275140740536,-0.0014584819842898833,-0.001851392001609331,-0.04318866910375657,0.0,-0.00044320249953638813,-0.0009964198039221772,0.0007198111517292549,-0.00047463530092189954,0.007836197385419574,0.09124313586199745,-0.0016376489521875426,0.0001571640069277791,-0.0013358940588862334,-0.0008078229956088312,-0.0003426175351025629,0.0,-0.010693439031366825,-0.0004777785810604618,-0.00013830432609646115,-3.1432801385622433e-06,0.0,5.3435762355447114e-05,-3.1432801385622433e-06,-0.02050990290407656,-0.0014081895020729984,0.0101182187660111,0.0,3.4576081524129165e-05,-7.229544318676506e-05,-0.010932328321897,0.0,-0.0005595038646629136,0.00016973712748202807,-3.1432801385622433e-06,-2.828952124700468e-05,-0.004300007229544323,6.600888290969609e-05,0.0,-8.172528360245179e-05,-0.001235309094452408,0.0,0.0,-1.5716400692755705e-05,8.172528360245179e-05,-0.0006663753893738078,-4.4005921939760384e-05,-0.0007418141126991906,-3.143280138556692e-05,-1.2573120554248973e-05,-0.00010372824457233198
Decis eval Iter 7,-0.0006915216304822502,-4.086264180119814e-05,-0.007672746818214671,-0.001876538242717829,-0.00019174008845190826,0.015666108210562024,-0.0011724434916813298,0.0010812883676631913,1.5716400692755705e-05,0.004589189002291438,-0.0006569455489581766,-0.10782393859287925,-2.828952124700468e-05,0.006666897173876807,0.009436126975944481,-0.0035770527976765054,-0.001364183580133238,-0.0019331172852117828,-0.04399649209936535,0.0,-0.0003206145741326827,-0.0006600888290967388,0.0006852350702051813,-0.0005437874639701579,0.007427570967407315,0.09054218439109951,-0.0017696667180069348,0.00018859680831334602,-0.00133903733902474,-0.0008769751586570895,-0.0002483191309459176,0.0,-0.010269096212661755,-0.0005312143434159089,-0.00014773416651214788,-6.286560277124487e-06,0.0,8.801184387957628e-05,-0.00011315808498801871,-0.020506759623937942,-0.0013893298212416805,0.010155938127673736,0.0,7.54387233253273e-05,-6.600888290969609e-05,-0.010583424226517313,0.0,-0.000597223226325605,0.00014459088637358564,-1.5716400692755705e-05,-2.5146241108442435e-05,-0.00462690836395413,8.801184387957628e-05,0.0,-0.00012258792540364993,-0.001059285406693311,0.0,3.1432801385622433e-06,-1.885968083131795e-05,8.801184387957628e-05,-0.0007198111517292549,-2.828952124700468e-05,-0.0006978081907593747,-7.858200346388955e-05,0.0,-0.0001194446452651432
Decis eval Iter 8,-0.0007040947510364992,1.2573120554248973e-05,-0.00768531993876892,-0.001760236877591248,-0.00021374304942178846,0.01604015854705021,-0.0012573120554222883,0.0010687152471089423,6.915216304820282e-05,0.0046363382043698165,-0.0006380858681268031,-0.10826714109241559,-2.5146241108442435e-05,0.00678634181914195,0.009084079600426231,-0.003558193116845132,-0.0013956163815187494,-0.001936260565350345,-0.04362244176287727,0.0,-0.00040862641801225896,-0.00027975193233148454,0.0007418141126991906,-0.00047463530092189954,0.007015801269256494,0.09126199554282877,-0.0016187892713562246,0.000201169928867595,-0.001235309094452408,-0.00066951866951237,-0.00032690113440980717,0.0,-0.010618000308041442,-0.00043062937898213915,-0.0001571640069277791,-3.1432801385622433e-06,0.0,8.801184387957628e-05,-5.657904249400936e-05,-0.02085566371931763,-0.0013327507787476711,0.009983057720053201,0.0,1.885968083131795e-05,-3.771936166269141e-05,-0.01094490144245125,0.0,-0.0006160829071569229,0.00016345056720490359,6.286560277124487e-06,-1.885968083131795e-05,-0.004516893559104673,0.00013830432609646115,0.0,-0.0001194446452651432,-0.0012164494136210902,0.0,0.0,-9.42984041568673e-06,9.115512401813852e-05,-0.0008109662757473934,-4.086264180119814e-05,-0.0006852350702051813,-4.4005921939760384e-05,-6.286560277124487e-06,-8.486856374101404e-05
Decis eval Iter 9,-0.0007449573928376974,-5.3435762355447114e-05,-0.007999647952624478,-0.0021122842531094976,-0.0003363309748254939,0.01606216150802009,-0.0012038762930668412,0.0009775601230908593,-8.172528360245179e-05,0.004498033878273355,-0.0005720769852171625,-0.10727386456863192,-5.3435762355447114e-05,0.00668575685470818,0.009206667525829881,-0.0034638947126884867,-0.0014710551048441323,-0.0020085560085371656,-0.042896344050870894,0.0,-0.0005500740242472824,-0.00042434281870501467,0.0007323842722835039,-0.0005500740242472824,0.007594164814750781,0.09225527206661238,-0.0016596519131574783,0.00021374304942178846,-0.0013453238993018646,-0.000870688598379965,-0.00031747129399412044,0.0,-0.01083174335746323,-0.000493494981753273,-0.0001508774466506546,-3.1432801385622433e-06,0.0,7.858200346388955e-05,-0.00010687152471089423,-0.020739362354191104,-0.0011472972505728873,0.010212517170167745,0.0,5.657904249400936e-05,-4.086264180119814e-05,-0.011168074332288669,0.0,-0.0005657904249400381,0.0001351610459578989,-6.286560277124487e-06,-2.5146241108442435e-05,-0.004919233416839808,8.172528360245179e-05,0.0,-0.0001351610459578989,-0.001213306133482528,0.0,-3.1432801385622433e-06,-2.5146241108442435e-05,8.801184387957628e-05,-0.0007481006729762596,-4.086264180119814e-05,-0.000700951470897937,-3.4576081524129165e-05,-6.286560277124487e-06,-0.00011315808498801871
