,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,-0.0010970047683559747,-0.24538645057663475,-0.00014773416651214788,-0.0009838466833679838,-0.00040862641801225896,-0.0008266826764401769,-0.010511128783330576,0.001351610459578989,-0.00020745648914469172,-6.915216304823057e-05,-0.08953319146662311,-0.008398844530221078,-0.20379771106340314,-0.205114745441458,-0.008694312863245318,-0.00803736731428717,-0.0002577489713615766,-0.0005532173043858446,5.3435762355447114e-05,0.0,-3.1432801385622433e-06,-0.0066134614115213874,0.0008078229956088312,-0.0009775601230908593,-0.0012824582965307862,-0.010184227648920768,-0.00013201776581936442,-0.00397939265541164,0.0,0.00047149202078336505,-0.0001194446452651432,0.0,-0.007314412882419324,3.457608152410141e-05,-0.15211904230540738,-0.15063541408000905,0.0002326027302531064,-0.0002703220919157978,-0.0023920361854409544,-0.1031561675871239,-0.1360223047158632,0.002574346433477176,0.0011472972505728596,0.001568496789139312,-3.771936166269141e-05,-0.00034261753510259063,-2.514624110847019e-05,1.5716400692755705e-05,6.286560277096731e-06,3.1432801385344877e-06,0.0,-0.00027346537205436006,-0.0017696667180069348,0.0,-3.143280138556692e-05,2.5146241108442435e-05,-0.15406787599131197,-0.15462109329569781,-1.571640069278346e-05,-0.0008109662757473934,-0.0001540207267892446,6.286560277096731e-06,-0.00014773416651214788,0.00014144760623499564,-6.286560277124487e-06,0.0013484671794404268
Linea eval Iter 1,-0.001049855566277652,-0.24531729841358654,-0.0001005849644337975,-0.001015279484753523,-0.0003457608152411529,-0.0008015364353317345,-0.010860032878710263,0.0014930580658139847,-0.00017288040762059032,-0.00010687152471092198,-0.08926286937470732,-0.008414560930913861,-0.20422205388210815,-0.20475641150566262,-0.00855915181728742,-0.007858200346389482,-0.00016345056720490359,-0.0003394742549640284,3.771936166266365e-05,0.0,-6.600888290969609e-05,-0.006849207421913084,0.000867545318241375,-0.0008361125168558636,-0.0015213475870610171,-0.01018737092905933,-0.0001603072870663691,-0.004391162353562461,6.286560277096731e-06,0.0007198111517292549,-0.0001540207267892446,0.0,-0.007437000807823002,5.65790424939816e-05,-0.15230135255344365,-0.15135836851187692,0.00021688632956032294,-0.00036147721593393634,-0.0020934245722781797,-0.10257151748135249,-0.13581799150685706,0.0026560717170796277,0.0012730284561150718,0.0016722250337116717,-3.771936166269141e-05,-0.0003394742549640284,-1.2573120554248973e-05,2.2002960969880192e-05,1.885968083131795e-05,3.1432801385344877e-06,0.0,-0.00027975193233148454,-0.0017665234378683725,0.0,-6.915216304823057e-05,2.8289521246976923e-05,-0.15571809806405376,-0.15443563976752303,-3.4576081524129165e-05,-0.0007732469140847298,-0.00020431320900612948,-6.915216304823057e-05,-0.00017288040762059032,0.00010372824457233198,-1.571640069278346e-05,0.0014804849452597635
Linea eval Iter 2,-0.0011315808498801039,-0.245455602739683,-0.00019802664872903275,-0.0009429840415667579,-0.0004306293789821669,-0.0008989781196269697,-0.011230939935059858,0.0015716400692778743,-0.00026089225150013884,-1.2573120554248973e-05,-0.0885021955811768,-0.008320262526757188,-0.20259069149019768,-0.20343937712760776,-0.008728888944769447,-0.007848770505973823,-0.0002451758508073554,-0.0004463457796749226,2.5146241108442435e-05,0.0,-0.0001005849644337975,-0.00705980719119631,0.0008549721976871538,-0.0009587004422595413,-0.0015842131898321232,-0.010316245414740105,-0.00016973712748202807,-0.00412712682192376,3.1432801385344877e-06,0.0005437874639701301,-0.00017288040762059032,0.0,-0.007166678715907204,4.0862641801225896e-05,-0.15254967168438952,-0.15045310383197283,0.0002388892905302309,-0.0003300444145483694,-0.002439185387519305,-0.10360251336679879,-0.1357331229431161,0.0026937910787422914,0.0011472972505728596,0.0015244908671995516,-5.97223226325716e-05,-0.00031432801385558595,-1.8859680831345704e-05,4.0862641801225896e-05,2.8289521246976923e-05,6.286560277096731e-06,0.0,-0.0002168863295603507,-0.0015904997501092477,0.0,-5.657904249400936e-05,2.5146241108442435e-05,-0.1550108600328787,-0.15491656162872205,4.4005921939760384e-05,-0.0007103813113136237,-0.00021059976928325397,-3.4576081524129165e-05,-0.00015087744665068237,3.771936166266365e-05,-6.286560277124487e-06,0.0015559236685850908
Linea eval Iter 3,-0.0010341391655848686,-0.24544931617940588,-0.00016659384734346583,-0.0008958348394884075,-0.0003457608152411529,-0.0009209810805968499,-0.010922898481481369,0.001496201345952547,-0.0002546056912230421,-9.429840415667301e-05,-0.0891119919280566,-0.008574868217980203,-0.20355253521259578,-0.20406488987518037,-0.008801184387956212,-0.007873916747082266,-0.00020745648914469172,-0.0004966382618918352,0.00010058496443376974,0.0,-9.744168429523525e-05,-0.006761195578033508,0.0007103813113135959,-0.000902121399765532,-0.0015244908671995794,-0.010115075485872538,-0.0001540207267892446,-0.004454027956333567,9.429840415658974e-06,0.0006317993078497064,-0.0001225879254036777,0.0,-0.007663316977799012,4.714920207832263e-05,-0.1533009156375044,-0.15146209675644925,0.00021688632956032294,-0.000295468333024268,-0.002313454181977065,-0.1032913286330818,-0.13613231952071267,0.002583776273892835,0.0011095778889101682,0.0016596519131574505,-4.714920207835038e-05,-0.0003300444145483694,-1.8859680831345704e-05,1.5716400692755705e-05,1.5716400692755705e-05,9.429840415658974e-06,0.0,-0.00026089225150013884,-0.0017979562392539117,0.0,-8.801184387957628e-05,2.8289521246976923e-05,-0.15494485114996906,-0.15326633955598026,-4.0862641801225896e-05,-0.0006852350702051813,-0.0001823102480362493,-9.42984041568673e-06,-0.00014773416651214788,5.9722322632543845e-05,2.8289521246976923e-05,0.0014050462219344362
Linea eval Iter 4,-0.0010718585272475323,-0.2450909822436105,-0.00013201776581936442,-0.0009398407614281956,-0.0004337726591207014,-0.0008109662757473934,-0.01041368709903534,0.0015307774274766484,-0.00016345056720490359,-5.657904249400936e-05,-0.08898311744237583,-0.008562295097425981,-0.20287987326294485,-0.2045583848569336,-0.008669166622136876,-0.008062513555395612,-0.0002137430494218162,-0.00038348017690381653,0.0,0.0,-0.0001194446452651432,-0.007053520630919213,0.0007292409921449416,-0.0009429840415667579,-0.0013296074986091089,-0.010567707825824585,-0.00022317288983747519,-0.003969962814995981,1.2573120554221218e-05,0.0005280710632773467,-0.0001760236877591248,0.0,-0.007267263680341002,2.2002960969880192e-05,-0.1521913377485942,-0.14966728379733388,0.00022631616997600967,-0.0003363309748254939,-0.002294594501145747,-0.10344220607973245,-0.135839994467827,0.0026560717170796277,0.0012604553355608505,0.0014616252644284178,-2.514624110847019e-05,-0.0003583339357953741,-2.514624110847019e-05,3.771936166266365e-05,1.885968083131795e-05,1.2573120554221218e-05,0.0,-0.0002891817727471435,-0.0018702516824407045,0.0,-7.85820034639173e-05,2.8289521246976923e-05,-0.15435077120378202,-0.15530632836590294,-1.571640069278346e-05,-0.0008455423572715226,-0.00022945945011457192,-4.714920207835038e-05,-0.00011001480484945647,0.00012573120554221218,-1.571640069278346e-05,0.0012918881369464175
Linea eval Iter 5,-0.0011881598923741132,-0.24432716516994143,-0.00011630136512658096,-0.0010027063641993017,-0.000389766737180941,-0.0008235393963016424,-0.010589710786794465,0.0014364790233199753,-0.00017288040762059032,-4.400592193978814e-05,-0.08859335070519489,-0.008593727898811548,-0.20401145411282492,-0.2036122575352283,-0.008521432455624756,-0.007795334743618376,-0.00016345056720490359,-0.0006538022688196143,-2.828952124700468e-05,0.0,-6.286560277124487e-06,-0.007044090790503527,0.000983846683367956,-0.000974416842952297,-0.001458481984289911,-0.00997048459949898,-0.0001225879254036777,-0.004193135704833428,9.429840415658974e-06,0.0004620621803676783,-0.0001603072870663691,-3.1432801385622433e-06,-0.0074621470489314445,3.457608152410141e-05,-0.15244908671995575,-0.15000990133243644,0.0002200296096988852,-0.00031432801385558595,-0.002250588579205959,-0.10343277623931676,-0.13571740654242329,0.0025712031533386137,0.001244738934868067,0.0013138910979162977,-4.714920207835038e-05,-0.00033318769468693166,-9.42984041568673e-06,2.5146241108442435e-05,5.3435762355447114e-05,0.0,0.0,-0.00022945945011457192,-0.0016219325514947869,0.0,-5.343576235547487e-05,2.8289521246976923e-05,-0.1544796456894628,-0.15498885707190882,-4.714920207835038e-05,-0.0007952498750546377,-0.0002546056912230421,-5.97223226325716e-05,-0.00013201776581936442,6.286560277096731e-06,0.0,0.0015307774274766484
Linea eval Iter 6,-0.001059285406693311,-0.24528586561220098,-0.00016973712748202807,-0.0009932765237836427,-0.0005154979427231532,-0.0007795334743618543,-0.010397970698342557,0.001379899980825966,-0.00019802664872903275,-7.85820034639173e-05,-0.08858392086477926,-0.008411417650775299,-0.20295531198627018,-0.20416547483961414,-0.008445993732299428,-0.00804994043484139,-0.00013201776581936442,-0.00044948905981348486,2.8289521246976923e-05,0.0,-9.744168429523525e-05,-0.0068869267835757475,0.0008298259565787114,-0.0010121362046149884,-0.0015464938281694596,-0.010278526053077441,-0.00011315808498801871,-0.004391162353562461,1.5716400692755705e-05,0.0006192261872954852,-0.0001760236877591248,0.0,-0.007518726091425454,5.029248221688487e-05,-0.15183929037307595,-0.1505033963141897,0.0002200296096988852,-0.0003174712939941482,-0.0024046093059952034,-0.10357108056541323,-0.1356262514184052,0.0026309254759711853,0.0012604553355608505,0.0015464938281694318,-6.915216304823057e-05,-0.0003394742549640284,-9.42984041568673e-06,3.1432801385539166e-05,3.1432801385344877e-06,1.2573120554221218e-05,0.0,-0.0002986116131628025,-0.0016502220727417916,0.0,-4.714920207835038e-05,1.885968083131795e-05,-0.1546022336148665,-0.15437906072502902,3.457608152410141e-05,-0.000807822995608859,-0.00017916696789768705,-3.771936166269141e-05,-0.00018545352817481153,6.915216304820282e-05,-9.42984041568673e-06,0.0016062161508020034
Linea eval Iter 7,-0.0011158644491873204,-0.24437745765215832,-9.744168429523525e-05,-0.001015279484753523,-0.0004306293789821669,-0.0008644020381028683,-0.01026595293252322,0.0014899147856754225,-0.00022002960969891294,-7.543872332535506e-05,-0.08855563134353225,-0.008521432455624756,-0.2029238791848846,-0.2050644529592411,-0.008898626072251448,-0.007644457296967694,-0.0002546056912230421,-0.0004054831378736967,-9.42984041568673e-06,0.0,-0.00030175489330136473,-0.0069812251877324205,0.0007858200346389232,-0.0010247093251692097,-0.0013547537397175513,-0.01054884814499324,-0.0001603072870663691,-0.0042371416267732165,6.286560277096731e-06,0.0006758052297894945,-0.00014459088637358564,0.0,-0.00735527552422055,2.8289521246976923e-05,-0.15178899789085906,-0.1508617302499851,0.0002200296096988852,-0.0003803368967652543,-0.002524053951260319,-0.10408029194785925,-0.13525220108191702,0.002436042107380715,0.0011284375697415139,0.0013233209383319844,-4.714920207835038e-05,-0.00029232505288570576,-2.2002960969907948e-05,3.1432801385539166e-05,2.2002960969880192e-05,3.1432801385344877e-06,0.0,-0.000295468333024268,-0.0017350906364828056,0.0,-5.343576235547487e-05,1.2573120554221218e-05,-0.15465252609708338,-0.15340464388207672,-2.2002960969907948e-05,-0.0008549721976871816,-0.0001603072870663691,-3.771936166269141e-05,-0.00010372824457235974,0.00010058496443376974,-1.2573120554248973e-05,0.001411332782211533
Linea eval Iter 8,-0.0010781450875246568,-0.24465092302421268,-0.0001225879254036777,-0.0010781450875246568,-0.00032061457413271044,-0.0007983931551931722,-0.010724871832752364,0.0014616252644284178,-0.00020745648914469172,-5.657904249400936e-05,-0.08876623111281548,-0.008515145895347631,-0.20307789991167383,-0.20299931790820994,-0.008062513555395612,-0.007930495789576275,-0.0002168863295603507,-0.0005469307441087201,6.600888290966833e-05,0.0,2.2002960969880192e-05,-0.006937219265792632,0.0008738318785184995,-0.000974416842952297,-0.0015653535090008053,-0.010017633801577303,-0.00019802664872903275,-0.004108267141092414,3.1432801385344877e-06,0.0006569455489581488,-0.00016345056720490359,-6.286560277124487e-06,-0.007553302172949583,5.9722322632543845e-05,-0.15268797601048598,-0.14994703572966536,0.00020431320900610173,-0.00038662345704237877,-0.0023951794655795167,-0.10418402019243164,-0.1357236931027004,0.0026623582773567522,0.0011284375697415139,0.001568496789139312,-3.143280138556692e-05,-0.00032690113440980717,-3.4576081524129165e-05,3.771936166266365e-05,1.2573120554221218e-05,6.286560277096731e-06,0.0,-0.0002420325706688209,-0.0017853831186996905,0.0,-6.915216304823057e-05,2.2002960969880192e-05,-0.15561436981948143,-0.15551378485504766,3.1432801385539166e-05,-0.0008769751586570895,-0.00020431320900612948,-2.514624110847019e-05,-0.00012887448568080218,7.229544318676506e-05,-9.42984041568673e-06,0.0014993446260911092
Linea eval Iter 9,-0.0010561421265547488,-0.24554990114383965,-0.00014459088637358564,-0.001015279484753523,-0.0004966382618918352,-0.0008675453182414028,-0.010611713747764345,0.00159049975010922,-0.00022002960969891294,-5.97223226325716e-05,-0.08896111448140595,-0.008222820842461953,-0.20192745938096243,-0.20374113202090913,-0.008546578696733198,-0.007839340665558137,-0.00022317288983747519,-0.0004809218611990518,-1.8859680831345704e-05,0.0,7.54387233253273e-05,-0.006855493982190181,0.0008361125168558359,-0.0009618437223980758,-0.001518204306922455,-0.010023920361854427,-0.00014459088637358564,-0.004249714747327438,3.1432801385344877e-06,0.0006600888290967111,-0.00014773416651214788,-3.1432801385622433e-06,-0.007474720169485666,3.771936166266365e-05,-0.15201531406083504,-0.1512452104268889,0.0002200296096988852,-0.00032690113440980717,-0.002407752586133738,-0.10356479400513616,-0.13648122361609236,0.002690647798603729,0.0011630136512656153,0.001643935512464667,-3.771936166269141e-05,-0.00032690113440980717,-3.4576081524129165e-05,2.2002960969880192e-05,1.885968083131795e-05,6.286560277096731e-06,0.0,-0.00020745648914469172,-0.0016910847145430175,0.0,-2.828952124700468e-05,2.5146241108442435e-05,-0.15508315547606552,-0.1547562543416557,-3.771936166269141e-05,-0.0007921065949160755,-0.00020745648914469172,-3.771936166269141e-05,-0.0001005849644337975,5.65790424939816e-05,-2.514624110847019e-05,0.0012950314170849797
