,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,6.286560277124487e-06,-8.801184387954852e-05,0.00043691593925926364,-0.0010529988464161866,0.0002640355316387011,4.400592193978814e-05,-0.00024203257066879313,5.0292482216912626e-05,0.0027723730822062087,-0.006248840915448889,-8.801184387954852e-05,-0.07376964157176577,-5.029248221688487e-05,-0.001015279484753523,-0.015339207076152245,-0.006302276677804336,-0.018429051452352574,-0.0027472268410977385,0.00011630136512658096,0.0,0.0004903517016147108,-0.0003426175351025629,-0.010922898481481369,-0.001980266487290133,-0.007141532474798734,-0.0020368455297841426,-5.029248221688487e-05,-0.005557319284966639,-0.0006097963468798262,3.4576081524129165e-05,-0.00020431320900612948,0.0,-0.009602720823287919,-0.0012384523745909704,0.00013201776581933666,-8.172528360245179e-05,0.0,0.00035519065565681185,-0.00016659384734343807,-0.00016659384734343807,-0.012981746972235392,0.0005720769852171625,-0.0001225879254036777,0.0009146945203197532,0.0003237578542712449,0.0007135245914521582,5.97223226325716e-05,4.714920207835038e-05,-0.000512354662584591,-0.0002577489713615766,0.0,1.571640069278346e-05,7.543872332535506e-05,0.0,-0.0002797519323314568,-3.1432801385622433e-06,0.00011630136512658096,-0.00016030728706634134,0.0,0.0012447389348680948,0.0006978081907594025,0.0012604553355608783,0.0002891817727471435,2.5146241108442435e-05,-4.0862641801225896e-05,-0.0007418141126991629
Decis eval Iter 1,0.0,-0.00014773416651212012,0.0003111847337170237,-0.0011064346087716337,0.0001351610459578989,3.143280138556692e-05,-0.00020745648914466397,0.00026717881177723557,0.00293268036927255,-0.006050814266719884,-0.00014459088637355788,-0.07264434728216282,1.8859680831345704e-05,-0.0011127211690487304,-0.015974149664140513,-0.005868504018683662,-0.017973275832261992,-0.002794376043176089,0.00017288040762056256,0.0,0.00031432801385558595,-0.0004369159392592359,-0.01047969598194498,-0.0021217140935251566,-0.007223257758401186,-0.001967693366735912,-3.1432801385539166e-05,-0.005538459604135293,-0.0005469307441086924,2.828952124700468e-05,-0.00016973712748200032,0.0,-0.009128085522365992,-0.001307604537639201,0.00015087744665068237,-5.657904249400936e-05,0.0,0.00037719361662669204,-0.00014459088637355788,-0.00018545352817478378,-0.013629262680777882,0.0004620621803677061,-0.0001791669678976593,0.0008926915593498452,0.00027975193233148454,0.0005783635454942593,6.286560277113384e-05,6.915216304823057e-05,-0.000512354662584591,-0.0003394742549640284,0.0,2.828952124700468e-05,6.286560277124487e-06,0.0,-0.0003111847337170237,3.4576081524129165e-05,0.00010372824457235974,-0.00025460569122301435,0.0,0.0012730284561150995,0.0006600888290967111,0.0011975897327897722,0.00024203257066879313,-3.457608152410141e-05,-3.1432801385539166e-05,-0.0008329692367172736
Decis eval Iter 2,0.0,-5.029248221688487e-05,0.00035519065565681185,-0.0009084079600426287,0.00029232505288570576,5.0292482216912626e-05,-0.0002451758508073554,0.0001414476062350234,0.002596349394447084,-0.006195405153093442,-0.00016345056720490359,-0.0738325071745369,-7.858200346388955e-05,-0.001203876293066869,-0.015471224841971581,-0.006094820188659672,-0.01818701888168378,-0.002920107248718329,0.0001540207267892446,0.0,0.00026717881177723557,-0.00028918177274711576,-0.010523701903884769,-0.0018922546434105847,-0.0074621470489314445,-0.001684798154265893,-3.771936166266365e-05,-0.005579322245936519,-0.0007889633147774855,4.400592193978814e-05,-0.00016973712748200032,0.0,-0.009854183234372399,-0.0013641835801332103,0.00013201776581933666,-5.9722322632543845e-05,0.0,0.0003237578542712449,-0.00020745648914466397,-0.00011315808498799096,-0.013255212344289752,0.0004746353009219273,-0.00011315808498799096,0.0009869899635065182,0.00027346537205436006,0.0008141095558859557,0.00012573120554223993,8.801184387957628e-05,-0.0005626471448014758,-0.0003803368967652543,0.0,9.429840415667301e-05,9.429840415667301e-05,0.0,-0.00036776377621103307,5.0292482216912626e-05,9.429840415667301e-05,-0.000198026648729005,0.0,0.0012510254951452193,0.0005280710632773744,0.0012258792540367769,0.00017288040762056256,1.8859680831345704e-05,-1.2573120554221218e-05,-0.0007323842722835039
Decis eval Iter 3,-4.4005921939760384e-05,-0.00013830432609646115,0.0002640355316387011,-0.0009587004422595136,0.0002357460103916964,2.2002960969907948e-05,-0.0002200296096988852,0.00011001480484945647,0.0027377970006821073,-0.006229981234617571,-6.600888290966833e-05,-0.07342388075652465,-8.172528360245179e-05,-0.0009366974812896056,-0.01635762984104433,-0.005962802422840335,-0.018366185849581468,-0.0028132357240074346,9.115512401813852e-05,0.0,0.0004243428187050424,-0.0004872084214761485,-0.010658862949842668,-0.0019205441646575894,-0.00758159169419656,-0.002061991770892585,-3.1432801385539166e-05,-0.005459877600671403,-0.000584650105771356,6.286560277113384e-05,-0.00015087744665068237,0.0,-0.009436126975944481,-0.0012604553355608505,0.0001823102480362493,-6.915216304823057e-05,0.0,0.00041491297828938345,-0.00016973712748200032,-0.00012887448568077442,-0.01329921826622954,0.0005437874639701579,-6.915216304823057e-05,0.000974416842952297,0.00024203257066879313,0.0007669603538076331,6.600888290966833e-05,6.286560277113384e-05,-0.000512354662584591,-0.0003143280138555582,0.0,1.571640069278346e-05,3.143280138556692e-05,0.0,-0.0002168863295603507,8.172528360245179e-05,0.00011944464526511545,-0.00019174008845190826,0.0,0.0013044612575006664,0.0005154979427231532,0.0012290225341753114,0.0002357460103916964,1.8859680831345704e-05,-3.1432801385539166e-05,-0.0008486856374100571
Decis eval Iter 4,-6.286560277096731e-06,-0.00014144760623499564,0.00035519065565681185,-0.000993276523783615,0.00019802664872903275,4.714920207835038e-05,-0.0002451758508073554,0.00010687152471089423,0.002731510440404983,-0.00581821153646675,-6.600888290966833e-05,-0.0730718333810064,-5.3435762355447114e-05,-0.001109577888910196,-0.01608416446898997,-0.006066530667412667,-0.017872690867828195,-0.0027346537205435173,0.00013830432609646115,0.0,0.0002451758508073554,-0.000480921861199024,-0.010313102134601543,-0.002083994731862493,-0.0071886816768770845,-0.0018608218420250178,-1.571640069278346e-05,-0.005494453682195505,-0.0006317993078497064,4.400592193978814e-05,-0.00016973712748200032,0.0,-0.009517852259546933,-0.0012856015766693207,0.00016030728706634134,-7.858200346388955e-05,0.0,0.00028289521247001903,-0.00016345056720490359,-0.00018231024803622153,-0.012852872486554617,0.0005312143434159367,-4.0862641801225896e-05,0.0009681302826752003,0.0002986116131628025,0.0007481006729762874,0.0001005849644337975,5.657904249400936e-05,-0.0005312143434159089,-0.0003740503364881298,0.0,4.400592193978814e-05,-3.1432801385622433e-06,0.0,-0.000198026648729005,-0.00011944464526511545,6.286560277113384e-05,-0.00023260273025313416,0.0,0.0011693002115427675,0.000776390194223292,0.0011755867718198643,0.0002483191309459176,2.2002960969907948e-05,-3.457608152410141e-05,-0.000785820034638951
Decis eval Iter 5,3.1432801385622433e-06,-6.915216304823057e-05,0.0004997815420303697,-0.0010372824457234031,0.0001823102480362493,5.3435762355447114e-05,-0.0002200296096988852,3.4576081524129165e-05,0.0029798295713509004,-0.006044527706442787,-4.4005921939760384e-05,-0.0732069944269643,1.8859680831345704e-05,-0.0009869899635065182,-0.015474368122110144,-0.005683050490508851,-0.018020425034340315,-0.002744083560959204,0.00022002960969891294,0.0,0.0004652054605062683,-0.0006852350702051535,-0.010797167275939129,-0.001980266487290133,-0.0074778634496242,-0.0019928396078443544,-3.1432801385539166e-05,-0.005551032724689514,-0.00066951866951237,5.0292482216912626e-05,-0.00018231024803622153,0.0,-0.009473846337607145,-0.001298174697223542,0.00015087744665068237,-7.54387233253273e-05,0.0,0.0002703220919157978,-0.0001791669678976593,-6.286560277110609e-05,-0.013314934666922323,0.0005249277831388122,-0.00014459088637355788,0.0008549721976871816,0.00029546833302424025,0.000606653066741264,9.115512401813852e-05,5.97223226325716e-05,-0.0005154979427231532,-0.0002703220919157978,0.0,5.3435762355447114e-05,4.714920207835038e-05,0.0,-0.00022631616997600967,7.858200346388955e-05,0.0001351610459578989,-0.0002451758508073554,0.0,0.0011661569314042053,0.0006223694674340474,0.0011755867718198643,0.00025460569122301435,3.4576081524129165e-05,-3.1432801385539166e-05,-0.0008298259565787114
Decis eval Iter 6,-3.457608152410141e-05,-0.0001351610459578989,0.0003929100173194755,-0.0009964198039221772,0.00026717881177723557,5.657904249400936e-05,-0.00018545352817478378,0.00012887448568080218,0.0029452534898267713,-0.00616082907156934,-0.00016030728706634134,-0.07244317735329522,-7.858200346388955e-05,-0.00106871524710897,-0.015716400692778937,-0.0057207698521715145,-0.01767466421909919,-0.0027786596424833054,0.00018545352817481153,0.0,2.2002960969907948e-05,-0.0005626471448014758,-0.010970047683559692,-0.0019708366468744742,-0.007125816074105978,-0.002178293136019166,-2.5146241108442435e-05,-0.005356149356099044,-0.0005217845030002499,4.0862641801225896e-05,-0.00016659384734343807,0.0,-0.00944555681636014,-0.0013453238993018646,0.00015087744665068237,-6.286560277110609e-05,0.0,0.00043062937898213915,-0.0002860384926085813,-0.000480921861199024,-0.0128685888872474,0.0005720769852171625,3.1432801385622433e-06,0.0010624286868318733,0.00028289521247001903,0.0007543872332533841,6.600888290966833e-05,6.286560277113384e-05,-0.0005815068256328215,-0.00022631616997600967,0.0,7.858200346388955e-05,-3.457608152410141e-05,0.0,-0.0003237578542712449,9.42984041568673e-06,0.00011001480484945647,-0.00019488336859044275,0.0,0.0012164494136210902,0.0006129396270183884,0.0012164494136210902,0.00022631616997603743,-9.429840415658974e-06,3.1432801385622433e-06,-0.0009461273217052923
Decis eval Iter 7,-1.885968083131795e-05,-0.0001760236877591248,0.0003709070563495953,-0.0009869899635065182,0.000304898173439927,2.5146241108442435e-05,-0.00024831913094588987,0.00019174008845190826,0.0028509550856700983,-0.006072817227689764,-0.00010687152471089423,-0.07319756458654866,-9.429840415658974e-06,-0.0011598703711270808,-0.015911284061369407,-0.005727056412448639,-0.017926126630183642,-0.002722080599989296,0.00015716400692780685,0.0,0.00037719361662669204,-0.00041805625842791794,-0.010335105095571423,-0.0019865530475672577,-0.007811051144311132,-0.0016627951932960128,-1.885968083131795e-05,-0.005774205614526989,-0.0005563605845243791,2.828952124700468e-05,-0.00014459088637355788,0.0,-0.009577574582179477,-0.0013358940588862056,0.00012887448568080218,-6.915216304823057e-05,0.0,0.0003520473755182496,-0.00023574601039166865,-0.0002105997692832262,-0.01315148409971742,0.0004997815420303697,-5.3435762355447114e-05,0.0008675453182414028,0.00025146241108447986,0.0007135245914521582,0.0001225879254036777,8.801184387957628e-05,-0.00041176969815079345,-0.00023260273025313416,0.0,1.8859680831345704e-05,8.172528360245179e-05,0.0,-0.0002105997692832262,-6.600888290966833e-05,0.00010372824457235974,-0.00019488336859044275,0.0,0.0013704701404103348,0.0006286560277111719,0.0011975897327897722,0.000304898173439927,-9.429840415658974e-06,-9.429840415658974e-06,-0.0009524138819823891
Decis eval Iter 8,-1.885968083131795e-05,-0.00013201776581933666,0.00034261753510259063,-0.0010089929244763984,0.00029546833302424025,2.2002960969907948e-05,-0.00022317288983744743,5.657904249400936e-05,0.002828952124700218,-0.006148255951015119,-5.9722322632543845e-05,-0.07315984522488597,-1.571640069278346e-05,-0.0010341391655848409,-0.015336063796013683,-0.0059753755433945566,-0.01794812959115355,-0.002668644837633849,0.0001540207267892446,0.0,0.0,-0.0005532173043858168,-0.010715441992336677,-0.0020148425688142624,-0.007176108556322863,-0.0020902812921395897,-2.828952124700468e-05,-0.00561389832746062,-0.0006097963468798262,1.8859680831345704e-05,-0.00011944464526511545,0.0,-0.009712735628137376,-0.0013421806191633023,0.00013830432609646115,-6.915216304823057e-05,0.0,0.0003709070563495953,-0.00018545352817478378,-0.0003111847337170237,-0.012749144241982258,0.0005437874639701579,-6.915216304823057e-05,0.0009492706018438546,0.00024203257066879313,0.0007229544318678449,0.00010372824457235974,9.115512401813852e-05,-0.000512354662584591,-0.00024203257066879313,-3.1432801385622433e-06,5.657904249400936e-05,-6.286560277096731e-06,0.0,-0.0003426175351025629,6.286560277124487e-06,0.00010687152471089423,-0.0002105997692832262,0.0,0.0012321658143138736,0.0006097963468798262,0.0012635986156994405,0.00020745648914469172,-3.457608152410141e-05,-3.1432801385539166e-05,-0.0008549721976871538
Decis eval Iter 9,-6.915216304823057e-05,-0.00011315808498799096,0.00032061457413271044,-0.0009492706018438546,0.0001414476062350234,5.97223226325716e-05,-0.00022317288983744743,-5.029248221688487e-05,0.0027472268410977663,-0.0059942352242258745,-0.00012887448568077442,-0.07290209625352442,-2.2002960969880192e-05,-0.0010718585272475045,-0.015738403653748817,-0.005752202653557081,-0.01841333505165979,-0.0027880894828989644,0.00014773416651212012,0.0,0.00027346537205436006,-0.00046520546050624056,-0.010709155432059553,-0.0019394038454889073,-0.007267263680340974,-0.001841962161193672,-1.885968083131795e-05,-0.005667334089816067,-0.0006035097866027017,3.771936166266365e-05,-0.00016030728706634134,0.0,-0.009200380965552785,-0.0014616252644284455,0.00014773416651212012,-5.3435762355447114e-05,0.0,0.0003646204960724708,-0.00018545352817478378,-0.00027660865219289454,-0.013846149010338232,0.0005532173043858168,-0.00012573120554221218,0.0008926915593498452,0.000304898173439927,0.0006569455489581766,4.400592193978814e-05,6.286560277113384e-05,-0.0004683487406448028,-0.00026717881177723557,0.0,4.0862641801225896e-05,-3.457608152410141e-05,0.0,-0.00029546833302424025,1.8859680831345704e-05,0.00011630136512658096,-0.0001225879254036777,0.0,0.0013233209383319844,0.0005940799461870427,0.00119444645265121,0.0001760236877591248,1.2573120554221218e-05,-3.771936166266365e-05,-0.0008675453182414028
