,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando eval Iter 0,-6.286560277110609e-05,0.0004652054605062683,-0.0009744168429522693,-0.006817774620527489,-0.000606653066741264,-0.00019488336859044275,-0.005752202653557081,-0.0006538022688195866,-0.002502050990290383,-0.0018482487214707966,-0.005305856873882159,-0.018523349856509247,-0.00018859680831334602,-0.0003048981734398992,-0.006538022688196032,-0.008141095558859474,-0.0005343576235544711,-0.005657904249400408,0.0006569455489581766,0.0,0.0007355275524220661,-0.00010058496443376974,0.002212869217543295,-0.00025774897136154884,-0.005331003114990601,-0.0038442316094537132,-0.00022317288983744743,0.0011347241300186661,-0.00044005921939779813,-0.00028289521247001903,-0.0009492706018438268,0.0,0.003894524091670626,-9.115512401811077e-05,0.0012824582965307862,0.0009429840415667579,4.0862641801225896e-05,6.286560277124487e-06,-5.65790424939816e-05,0.0017319473563442433,0.002083994731862493,0.00159364303024781,0.001948833685904594,-0.0007292409921449416,0.0001823102480362493,0.0018733949625792667,3.4576081524129165e-05,4.0862641801225896e-05,-0.0025932061143085217,-0.00039919657759657223,6.286560277113384e-05,-2.5146241108442435e-05,0.00017916696789768705,0.0,0.001392473101380215,-0.0012227359738981869,0.001706801115235801,0.0007040947510364992,0.0,-0.00031747129399412044,-0.0017728099981454415,0.0004903517016147108,-0.000773246914084702,-0.0001571640069277791,-1.2573120554221218e-05,0.0004463457796749226
Rando eval Iter 1,-8.172528360242404e-05,0.0003363309748254939,-0.0009209810805968222,-0.007091239992581849,-0.0005657904249400381,-0.00021374304942178846,-0.005651617689123284,-0.0006349425879882686,-0.0023920361854409544,-0.0018513920016093588,-0.0052964270334665,-0.018454197693461016,-1.2573120554221218e-05,-0.00033633097482546614,-0.006248840915448889,-0.008021650913594358,-0.0003331876946869039,-0.005478737281502721,0.0004809218611990518,0.0,0.0009492706018438546,-0.00010372824457233198,0.0021342872140794056,-0.00024831913094588987,-0.005161265987508601,-0.004067404499291188,-0.00028289521247001903,0.000870688598379965,-0.00044320249953636037,-0.0001917400884518805,-0.0010058496443378362,0.0,0.0040485448184598705,-4.714920207832263e-05,0.001279315016392224,0.0008203961161630802,4.0862641801225896e-05,-3.1432801385344877e-06,-3.771936166266365e-05,0.0012415956547295603,0.002124857373663719,0.0016376489521875703,0.0019142576043804926,-0.0006317993078497064,0.00016345056720490359,0.0016816548741273585,4.0862641801225896e-05,-1.885968083131795e-05,-0.002426612266965056,-0.0004086264180122312,8.172528360245179e-05,1.571640069278346e-05,0.00032061457413271044,0.0,0.0013296074986091089,-0.001119007729325855,0.001845105441332262,0.0007606737935305086,9.42984041568673e-06,-0.00021374304942178846,-0.0018545352817478933,0.0006035097866027295,-0.0007449573928376974,-0.00011944464526511545,5.343576235547487e-05,0.0005437874639701579
Rando eval Iter 2,-6.915216304820282e-05,0.000493494981753273,-0.0009241243607353844,-0.007050377350780623,-0.0005877933859099183,-0.0002451758508073276,-0.005793065295358307,-0.0006569455489581488,-0.002489477869736162,-0.0018796815228563357,-0.005406441838315956,-0.01837875897013569,-0.00034890409537968736,-0.00021688632956032294,-0.00623941107503323,-0.008238537243154709,-0.00033633097482546614,-0.005359292636237606,0.00040862641801225896,0.0,0.0005657904249400658,-0.0003206145741326827,0.0020682783311697095,-0.000198026648729005,-0.005051251182659144,-0.004073691059568285,-0.0001351610459578989,0.0010561421265547488,-0.0004997815420303697,-0.00016659384734343807,-0.0007543872332533841,0.0,0.0039008106519477503,-1.5716400692755705e-05,0.0013673268602717725,0.0008926915593498452,3.771936166269141e-05,3.143280138556692e-05,-0.00012887448568077442,0.0012164494136210902,0.002096567852416714,0.0017948129591153772,0.002083994731862493,-0.0006506589886810243,0.00013830432609646115,0.0019645500865973775,2.828952124700468e-05,-9.429840415667301e-05,-0.00238574962516383,-0.0002703220919157978,7.543872332535506e-05,-9.429840415658974e-06,0.0003394742549640284,0.0,0.0012321658143138736,-0.0011881598923740855,0.0017288040762057089,0.0008046797154702967,0.0,-0.0002703220919157978,-0.001694227994681552,0.000587793385909946,-0.0007198111517292549,-0.00016030728706634134,6.286560277124487e-06,0.0005217845030002777
Rando eval Iter 3,-0.0001163013651265532,0.0005092113824460565,-0.000993276523783615,-0.007150962315214393,-0.0005532173043858168,-0.0002640355316386733,-0.005563605845243735,-0.0006129396270183607,-0.0022443020189288065,-0.001769666718006907,-0.0053970119979002695,-0.0180361414350331,-0.00015402072678921686,-0.0001917400884518805,-0.006189118592816345,-0.008040510594425704,-0.00045891890022914383,-0.005579322245936519,0.0007072380311750615,0.0,0.0006852350702051813,-0.00014459088637355788,0.0019268307249347139,-0.00016973712748200032,-0.005349862795821947,-0.003947959854026045,-0.0002326027302531064,0.0008581154778257438,-0.00029546833302424025,-0.00016030728706634134,-0.0008015364353317067,0.0,0.004086264180122534,3.4576081524129165e-05,0.0012604553355608783,0.0008455423572715226,3.771936166269141e-05,0.00012573120554223993,5.0292482216912626e-05,0.0015496371083080218,0.0023008810614228437,0.0017256607960671466,0.0020494186503383915,-0.0005437874639701301,0.00017916696789768705,0.0019362605653503728,5.97223226325716e-05,-1.5716400692755705e-05,-0.0024611883484891572,-0.0003048981734398992,6.915216304823057e-05,-0.00010372824457233198,0.000295468333024268,0.0,0.0011975897327897722,-0.001307604537639201,0.0017853831186996905,0.0007669603538076331,1.571640069278346e-05,-0.00020116992886756724,-0.0019551202461816908,0.0004746353009219273,-0.0009241243607353844,-0.00012258792540364993,2.514624110847019e-05,0.0005123546625846187
Rando eval Iter 4,-6.600888290966833e-05,0.0003709070563495953,-0.0009524138819823891,-0.0072609771200638495,-0.000490351701614683,-0.0002326027302531064,-0.005598181926767837,-0.0008203961161630524,-0.0021814364161577005,-0.001904827763964806,-0.0053247165547135045,-0.01855792593803335,-0.00019488336859044275,-0.00038348017690378877,-0.006085390348243985,-0.008009077793040137,-0.0004369159392592359,-0.0056170416075991825,0.0005217845030002777,0.0,0.0006789485099280568,-0.0002860384926085535,0.0019865530475672855,-0.000198026648729005,-0.005016675101135015,-0.004073691059568285,-0.00014459088637355788,0.0012447389348680948,-0.00033947425496400063,-0.0002514624110844521,-0.0008329692367172736,0.0,0.003951103134164635,5.97223226325716e-05,0.0011881598923741132,0.000902121399765532,4.0862641801225896e-05,0.00010372824457235974,7.229544318679282e-05,0.001238452374590998,0.0021562901750492858,0.0016910847145430175,0.0020148425688142624,-0.0007355275524220384,0.0001948833685904705,0.0019362605653503728,5.97223226325716e-05,9.429840415670077e-05,-0.002483191309459065,-0.0003237578542712449,7.543872332535506e-05,-4.086264180119814e-05,0.0003520473755182496,0.0,0.0013013179773621042,-0.0011347241300186384,0.001835675600916603,0.0006946649106208402,-1.2573120554221218e-05,-0.00018231024803622153,-0.0018262457605008886,0.0005154979427231532,-0.0008864049990727207,-0.00012887448568077442,1.571640069278346e-05,0.0005500740242472824
Rando eval Iter 5,-1.2573120554221218e-05,0.0005532173043858446,-0.0008738318785184995,-0.007132102634383075,-0.00048720842147612076,-0.00028289521247001903,-0.005547889444550952,-0.0007418141126991629,-0.00226001841962159,-0.0018796815228563357,-0.005371865756791827,-0.01833160976805734,-0.0002200296096988852,-0.0004086264180122312,-0.006305419957942898,-0.008068800115672708,-0.0005626471448014758,-0.0053121434341592555,0.0006129396270183884,0.0,0.0008455423572715226,-3.457608152410141e-05,0.0019016844838262714,-0.00014459088637355788,-0.005129833186123034,-0.0037436466450199435,-0.00022317288983744743,0.0011975897327897722,-0.00043062937898213915,-0.0001571640069277791,-0.0008926915593498175,0.0,0.004145986502755106,3.4576081524129165e-05,0.0012856015766693207,0.0008864049990727485,4.0862641801225896e-05,1.8859680831345704e-05,-5.9722322632543845e-05,0.001486771505536888,0.0021405737743565023,0.001697371274820142,0.0019331172852118106,-0.0006978081907593747,0.00017916696789768705,0.001983409767428723,6.915216304823057e-05,-9.429840415667301e-05,-0.002398322745718051,-0.0003614772159339086,5.657904249400936e-05,2.2002960969907948e-05,0.00032061457413271044,0.0,0.001392473101380215,-0.0013641835801332103,0.0017948129591153772,0.0007701036339461953,1.571640069278346e-05,-0.00014459088637355788,-0.001599929590524879,0.0006129396270183884,-0.0007543872332533841,-8.486856374098628e-05,-3.1432801385539166e-05,0.000484065141337614
Rando eval Iter 6,-5.029248221688487e-05,0.0005154979427231532,-0.0008644020381028406,-0.00661346141152136,-0.0006129396270183607,-0.0003269011344097794,-0.005588752086352178,-0.0006317993078497064,-0.0020588484907540228,-0.0017602368775912203,-0.0054190149588701775,-0.018771668987455165,-0.0001917400884518805,-0.00029861161316277474,-0.006242554355171792,-0.008216534282184829,-0.0003331876946869039,-0.005236704710833928,0.0006066530667412917,0.0,0.0009146945203197532,-7.858200346388955e-05,0.0019174008845190549,-0.00014773416651212012,-0.005290140473189375,-0.0040265418574899625,-0.00022945945011457192,0.001049855566277652,-0.00033633097482546614,-0.0001791669678976593,-0.0009555571621209513,0.0,0.004167989463724986,-7.54387233253273e-05,0.0013861865411031182,0.0007826767545004165,4.0862641801225896e-05,0.0001351610459578989,-8.172528360242404e-05,0.0017099443953743632,0.0019142576043804926,0.0015873564699706855,0.002052561930476954,-0.0007323842722834761,0.00016345056720490359,0.0020619917708926128,4.400592193978814e-05,-1.885968083131795e-05,-0.0024014660258566134,-0.00014773416651212012,6.286560277113384e-05,-9.429840415658974e-06,9.429840415670077e-05,0.0,0.0014490521438742243,-0.0012384523745909704,0.0016596519131574783,0.0006663753893738356,2.514624110847019e-05,-6.915216304820282e-05,-0.0018985412036876814,0.0005815068256328215,-0.0007858200346389232,-0.0001791669678976593,6.286560277124487e-06,0.0005532173043858446
Rando eval Iter 7,-9.429840415667301e-05,0.00037405033648815755,-0.0010089929244763984,-0.006921502865099821,-0.0006286560277111441,-0.00027660865219289454,-0.005503883522611164,-0.0006223694674340197,-0.0022725915401758112,-0.0018136726399466674,-0.005390725437623173,-0.01852649313664781,-0.000386623457042351,-0.00027660865219289454,-0.005921939781039082,-0.008200817881492045,-0.00038348017690378877,-0.005315286714297818,0.0005815068256328215,0.0,0.000807822995608859,-0.00016973712748200032,0.0016785115939887962,-0.00024831913094588987,-0.005142406306677255,-0.0040359716979056215,-0.0003646204960724708,0.0009712735628137625,-0.0004557756200905816,-0.00018545352817478378,-0.0009995630840607395,0.0,0.003969962814995981,-0.00012573120554221218,0.0015056311863682337,0.0009398407614281956,4.0862641801225896e-05,7.543872332535506e-05,-1.2573120554221218e-05,0.0016439355124646948,0.0019079710441033682,0.0015433505480308973,0.0018168159200852574,-0.0007103813113135959,0.00014773416651214788,0.002083994731862493,7.229544318679282e-05,3.4576081524129165e-05,-0.00253348379167595,-0.0004274860988435769,6.286560277113384e-05,8.486856374101404e-05,0.0003489040953797151,0.0,0.0013358940588862334,-0.0011755867718198643,0.0017445204768984646,0.0006600888290967388,-3.1432801385344877e-06,-0.0002797519323314568,-0.0019959828879829167,0.0005657904249400658,-0.0007763901942232643,-0.0001571640069277791,3.1432801385622433e-06,0.0005720769852171625
Rando eval Iter 8,-5.65790424939816e-05,0.00041491297828938345,-0.0009146945203197254,-0.006795771659557609,-0.0005815068256327938,-0.00027660865219289454,-0.005412728398593053,-0.000606653066741264,-0.0023826063450252677,-0.001694227994681552,-0.005315286714297818,-0.018875397232027497,-0.0002703220919157978,-0.000301754893301337,-0.005881077139237856,-0.007965071871100349,-0.00046520546050624056,-0.005469307441087062,0.0006412291482653931,0.0,0.0008329692367173014,-7.229544318676506e-05,0.001885968083133488,-0.00020745648914466397,-0.005453591040394279,-0.003831658488899492,-0.0003048981734398992,0.001059285406693311,-0.00025774897136154884,-0.0001917400884518805,-0.0008581154778257161,0.0,0.003960532974580294,0.0001005849644337975,0.0012604553355608783,0.0009366974812896334,3.771936166269141e-05,0.0,-0.00010687152471089423,0.0016093594309405657,0.0019739799270130365,0.0014836282253983535,0.0019174008845190549,-0.0007386708325606006,0.00017916696789768705,0.002190866256573387,3.771936166269141e-05,0.0,-0.002448615227934936,-0.00033947425496400063,5.97223226325716e-05,-4.4005921939760384e-05,0.00019174008845190826,0.0,0.0013390373390247678,-0.0013044612575006387,0.0018388188810551376,0.0007166678715907204,-6.286560277096731e-06,-0.00022631616997600967,-0.0016785115939887685,0.0005469307441087201,-0.0007166678715906927,-0.00011001480484942872,-3.457608152410141e-05,0.0005940799461870705
Rando eval Iter 9,-4.4005921939760384e-05,0.00040233985773516223,-0.000867545318241375,-0.007037804230226402,-0.0005343576235544711,-0.0002514624110844521,-0.005686193770647413,-0.0006538022688195866,-0.002489477869736162,-0.0016690817535731095,-0.005456734320532841,-0.01865222434219005,-0.00043377265912067364,-0.00012887448568077442,-0.006044527706442759,-0.007858200346389455,-0.00044634577967489486,-0.005264994232080933,0.0006066530667412917,0.0,0.0006883783503437435,-0.00018545352817478378,0.0018796815228563635,-0.0002326027302531064,-0.005088970544321808,-0.0040233985773514,-0.00019488336859044275,0.0010089929244764262,-0.00037719361662669204,-0.00019488336859044275,-0.0009995630840607395,0.0,0.00387880769097787,-6.915216304820282e-05,0.0013233209383320121,0.000902121399765532,4.0862641801225896e-05,8.486856374101404e-05,-8.486856374098628e-05,0.0015590669487236808,0.0021028544126938387,0.0017225175159285844,0.0021751498558806315,-0.0006663753893738078,0.00012573120554223993,0.002074564891446834,4.400592193978814e-05,-3.457608152410141e-05,-0.002388892905302392,-0.0003269011344097794,7.543872332535506e-05,-2.8289521246976923e-05,0.0003174712939941482,0.0,0.0013610402999946758,-0.0011944464526511822,0.0018513920016093866,0.0007449573928377251,9.42984041568673e-06,-0.00022945945011457192,-0.0017193742357899944,0.0006412291482653931,-0.0008581154778257161,-0.00012573120554221218,3.1432801385622433e-06,0.0005469307441087201
