,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando train Iter 0,0.0019203369881681809,0.008672489623985591,0.01180078052406619,0.01576534720931677,0.012265378182493958,0.0018583906337111822,0.005327386483305441,0.008548596915071482,0.031902372545375646,0.008424704206157485,0.004553057052592457,0.014619339651861463,0.005915876850647317,0.005761010964504765,0.012699002663693282,0.014681286006318461,0.009230006814099023,0.01049990708046833,0.009013194573499361,0.001053088025769644,0.030198847797807127,0.014154741993433695,0.014836151892461125,0.003561915381279812,0.014898098246918123,0.021030787338165102,0.00402651303970758,0.0037477544446509192,0.004057486216936135,0.0018274174564826273,0.0017964442792541835,0.0,0.023044043858018948,0.003933593508022026,0.0019203369881681809,0.0011150343802267537,0.0,0.005822957318961763,0.005668091432819211,0.011212290156724314,0.018521959982655045,0.003995539862479025,0.0024468810010530584,0.005017654711020225,0.0013008734435978608,0.0037477544446509192,0.0007433562534844285,0.000836275785169982,0.0024468810010530584,0.0012079539119123073,6.19463544569987e-05,0.0007743294307129833,0.0011460075574551976,0.0,0.0017344979247970738,0.002292015114910506,0.00030973177228521553,0.0008982221396270917,0.0,0.0017964442792541835,0.0033141299634515953,0.0005884903673418762,0.000836275785169982,0.00030973177228521553,0.00037167812674221423,0.0005265440128848775
Rando train Iter 1,0.0017964442792541835,0.008548596915071482,0.011614941460694972,0.015982159449916322,0.011862726878523189,0.0016415783931115202,0.00573003778727621,0.008083999256643715,0.03273864833054574,0.007991079724958161,0.004460137520906904,0.015207830019203339,0.006380474509075085,0.006132689091246979,0.012977761258749942,0.013814037043919924,0.009230006814099023,0.011676887815152082,0.00975655082698379,0.0010221148485412002,0.03109706993743422,0.012946788081521388,0.01446447376571891,0.003159264077309043,0.015238803196431894,0.019544074831196134,0.0039026203307934715,0.0041194325713931335,0.003840673976336473,0.001672551570340075,0.0017964442792541835,0.0,0.02279625844019073,0.0034999690268227024,0.0017344979247970738,0.001269900266369306,3.097317722855486e-05,0.005265440128848442,0.005915876850647317,0.011676887815152082,0.016880381589543414,0.0037167812674223644,0.0026327200644241655,0.005141547419934334,0.001455739329740413,0.003623861735736811,0.0005575171901133213,0.0006504367217988749,0.002570773709967167,0.0011769807346837524,6.19463544569987e-05,0.0006814098990274298,0.0009601684940840904,0.0,0.0019513101653967357,0.002539800532738612,0.0004026513039707691,0.0009601684940840904,-3.097317722855486e-05,0.0017964442792541835,0.0030973177228520443,0.0007433562534844285,0.0005884903673418762,0.0004645976584277678,0.00030973177228521553,0.0007743294307129833
Rando train Iter 2,0.0016106052158830764,0.008920275041813808,0.010964504738896097,0.01610605215883043,0.011552995106237973,0.0018274174564826273,0.005699064610047655,0.008703462801214146,0.03335811187511617,0.008579570092300037,0.0045220838753639025,0.015455615437031556,0.006504367217989193,0.006380474509075085,0.012451217245865065,0.014061822461748141,0.00913708728241347,0.010995477916124652,0.009384872700241575,0.0009601684940840904,0.030601499101777896,0.013721117512234371,0.014433500588490356,0.0030043981911664908,0.01480517871523257,0.020690082388651443,0.004150405748621688,0.003840673976336473,0.003809700799107918,0.0016415783931115202,0.0019822833426252906,0.0,0.023446695161989717,0.0035309422040512572,0.0019822833426252906,0.0010840612029981989,0.0,0.005884903673418762,0.006194635445703978,0.011491048751780975,0.017778603729170506,0.003964566685250581,0.002508827355510168,0.005203493774391332,0.0013628197980548595,0.003840673976336473,0.0008053026079415382,0.0009911416713126453,0.002508827355510168,0.0008672489623985369,0.00015486588614255226,0.0007433562534844285,0.001053088025769644,0.0,0.0018583906337111822,0.002539800532738612,0.00037167812674221423,0.0012389270891407511,0.0,0.0016415783931115202,0.0028805054822523823,0.0004645976584277678,0.0007433562534844285,0.0004026513039707691,0.00015486588614255226,0.0007743294307129833
Rando train Iter 3,0.0016106052158830764,0.009168060459641914,0.012234405005265403,0.016539676640029755,0.01180078052406619,0.0017964442792541835,0.005079601065477335,0.008362757851700375,0.03307935328005951,0.008610543269528592,0.00436721798922135,0.015052964133060787,0.006194635445703978,0.00607074273678998,0.012513163600322064,0.013597224803320263,0.009539738586384128,0.011862726878523189,0.009601684940841237,0.0010840612029981989,0.03007495508889302,0.013473332094406265,0.015176856841974784,0.0036858080901939205,0.014836151892461125,0.019760887071795796,0.004150405748621688,0.003840673976336473,0.0039026203307934715,0.0015486588614259666,0.0020132565198538455,0.0,0.023291829275847054,0.00334510314068015,0.0019203369881681809,0.0010840612029981989,0.0,0.005915876850647317,0.006163662268475534,0.011831753701294634,0.0175308183113424,0.003623861735736811,0.0019513101653967357,0.005482252369447993,0.0012079539119123073,0.0038716471535650276,0.0007433562534844285,0.0009601684940840904,0.002756612773338274,0.0008672489623985369,0.00021681224059966198,0.0008053026079415382,0.0008053026079415382,0.0,0.0016106052158830764,0.0022610419376819513,0.00043362448119921293,0.0008672489623985369,3.097317722855486e-05,0.0016415783931115202,0.003159264077309043,0.0007743294307129833,0.0010221148485412002,0.00030973177228521553,0.00037167812674221423,0.0006194635445704311
Rando train Iter 4,0.0017344979247970738,0.008424704206157485,0.011212290156724314,0.01622994486774454,0.011491048751780975,0.0019203369881681809,0.005482252369447993,0.008672489623985591,0.03245988973548908,0.00839373102892893,0.0041194325713931335,0.014588366474632908,0.006163662268475534,0.006535340395217748,0.01242024406863651,0.013875983398377034,0.009849470358669343,0.011274236511181313,0.009477792231927129,0.0009291953168555356,0.03109706993743422,0.013225546676578048,0.015300749550888892,0.0032831567862231514,0.014898098246918123,0.020070618844081012,0.0037477544446509192,0.0043362448119927954,0.003995539862479025,0.0018274174564826273,0.0016415783931115202,0.0,0.022734312085733732,0.0036548349129653657,0.0019822833426252906,0.0011150343802267537,3.097317722855486e-05,0.005513225546676548,0.006504367217989193,0.01105742427058165,0.01904850399553981,0.003778727621879474,0.002725639596109719,0.005389332837762439,0.0012389270891407511,0.0036858080901939205,0.0008672489623985369,0.0007743294307129833,0.0023849346465960597,0.0011150343802267537,0.00012389270891410842,0.0009601684940840904,0.0010840612029981989,0.0,0.0020132565198538455,0.002570773709967167,0.0006504367217988749,0.000836275785169982,0.0,0.001672551570340075,0.0030353713683949346,0.0008053026079415382,0.0008053026079415382,0.00015486588614255226,0.0002787585950566607,0.000836275785169982
Rando train Iter 5,0.0020442296970822893,0.008858328687356698,0.011986619587437297,0.01622994486774454,0.012296351359722513,0.001889363810939737,0.005389332837762439,0.008517623737843039,0.03267670197608874,0.00805302607941516,0.004212352103078687,0.014929071424146678,0.006039769559561425,0.005606145078362101,0.012544136777550619,0.013999876107291032,0.0087963823328997,0.011893700055751744,0.009880443535897898,0.0011150343802267537,0.031159016291891217,0.013597224803320263,0.01508393731028923,0.003376076317908705,0.015455615437031556,0.01929628941336803,0.003964566685250581,0.0034999690268227024,0.0037477544446509192,0.0019513101653967357,0.0017654711020256286,0.0,0.02245555349067707,0.003376076317908705,0.0019513101653967357,0.0009911416713126453,0.0,0.005141547419934334,0.006504367217989193,0.011181316979495759,0.017221086539057184,0.003623861735736811,0.0022610419376819513,0.005544198723905103,0.0013937929752834144,0.0034689958495942586,0.0006814098990274298,0.0006504367217988749,0.0024468810010530584,0.0011460075574551976,0.00018583906337110712,0.0007433562534844285,0.0010221148485412002,0.0,0.002106176051539399,0.002353961469367505,0.0004955708356563227,0.0005884903673418762,0.0,0.0017344979247970738,0.0028185591277952726,0.0004955708356563227,0.0010840612029981989,0.00043362448119921293,0.00037167812674221423,0.0009291953168555356
Rando train Iter 6,0.0019513101653967357,0.008517623737843039,0.012389270891408066,0.016415783931115646,0.011645914637923527,0.0016106052158830764,0.005637118255590656,0.007991079724958161,0.032583782444403186,0.008331784674471931,0.004398191166449794,0.014960044601375233,0.006318528154618086,0.005822957318961763,0.012853868549835834,0.013814037043919924,0.008765409155671144,0.011893700055751744,0.00913708728241347,0.0009911416713126453,0.030911230874063,0.014185715170662139,0.015052964133060787,0.0032212104317660417,0.01480517871523257,0.020287431084680674,0.0036548349129653657,0.0037167812674223644,0.003933593508022026,0.0014247661525118582,0.001672551570340075,0.0,0.022145821718391856,0.003561915381279812,0.0020132565198538455,0.0009601684940840904,0.0,0.006628259926903302,0.005977823205104316,0.010964504738896097,0.017375952425199737,0.0041194325713931335,0.0024468810010530584,0.005358359660533996,0.0011150343802267537,0.0039026203307934715,0.00043362448119921293,0.0007123830762559846,0.0024778541782816133,0.0013008734435978608,0.00015486588614255226,0.0010221148485412002,0.0011150343802267537,0.0,0.0020132565198538455,0.002137149228767843,0.0007433562534844285,0.0007123830762559846,-3.097317722855486e-05,0.00170352474756863,0.002942451836709381,0.0006194635445704311,0.0007123830762559846,0.00037167812674221423,0.0002787585950566607,0.0007123830762559846
Rando train Iter 7,0.002075202874310844,0.008424704206157485,0.011645914637923527,0.015920213095459324,0.011986619587437297,0.0017964442792541835,0.005203493774391332,0.008331784674471931,0.03211918478597531,0.008176918788329268,0.004491110698135348,0.01508393731028923,0.005977823205104316,0.005637118255590656,0.01310165396766394,0.014154741993433695,0.00913708728241347,0.010283094839868667,0.00907514092795636,0.0010221148485412002,0.029858142848293356,0.013659171157777372,0.014681286006318461,0.0032831567862231514,0.014743232360775571,0.020225484730223564,0.003995539862479025,0.0038716471535650276,0.00402651303970758,0.0017344979247970738,0.0019822833426252906,0.0,0.022331660781762963,0.0034999690268227024,0.0018583906337111822,0.0013318466208263047,3.097317722855486e-05,0.005822957318961763,0.005946850027875872,0.009787524004212345,0.018738772223254596,0.003995539862479025,0.0024468810010530584,0.005110574242705779,0.0010840612029981989,0.0030663445456234895,0.0006814098990274298,0.0007743294307129833,0.002911478659480826,0.0010840612029981989,9.291953168555356e-05,0.0006814098990274298,0.0013008734435978608,0.0,0.0019513101653967357,0.0023849346465960597,0.00043362448119921293,0.0007123830762559846,0.0,0.001889363810939737,0.002787585950566829,0.0009911416713126453,0.0006814098990274298,0.00037167812674221423,0.00037167812674221423,0.0009601684940840904
Rando train Iter 8,0.00170352474756863,0.008889301864585253,0.011831753701294634,0.01595118627268788,0.01207953911912285,0.0016415783931115202,0.005265440128848442,0.008486650560614484,0.03329616552065906,0.008300811497243377,0.0041194325713931335,0.014774205538004126,0.006566313572446303,0.005451279192219549,0.012637056309236172,0.013690144335005816,0.009539738586384128,0.01173883416960908,0.01009725577649756,0.001053088025769644,0.03131388217803377,0.014030849284519586,0.01486712506968968,0.003407049495137149,0.014743232360775571,0.02013256519853801,0.0041194325713931335,0.003592888558508367,0.003592888558508367,0.0016415783931115202,0.001486712506968968,0.0,0.022548473022362625,0.00334510314068015,0.0020132565198538455,0.0011150343802267537,3.097317722855486e-05,0.005822957318961763,0.0060087963823328705,0.01214148547357985,0.01842904045096949,0.0036858080901939205,0.0023849346465960597,0.00504862788824878,0.0013628197980548595,0.003592888558508367,0.0006814098990274298,0.0009291953168555356,0.0026017468871957217,0.0009911416713126453,0.00018583906337110712,0.000836275785169982,0.0011150343802267537,0.0,0.001889363810939737,0.002725639596109719,0.0007433562534844285,0.0009601684940840904,3.097317722855486e-05,0.001672551570340075,0.0026946664188812752,0.0005575171901133213,0.0008053026079415382,0.00021681224059966198,0.00030973177228521553,0.0006504367217988749
Rando train Iter 9,0.0017654711020256286,0.008331784674471931,0.01180078052406619,0.01638481075388709,0.011583968283466528,0.0018274174564826273,0.005296413306076886,0.008145945611100824,0.03184042619091865,0.00839373102892893,0.003840673976336473,0.015021990955832232,0.006318528154618086,0.005761010964504765,0.013256519853806603,0.013721117512234371,0.009632658118069792,0.011243263333952758,0.00975655082698379,0.0009911416713126453,0.029083813417580373,0.01384501022114848,0.015114910487517785,0.002973425013937936,0.015424642259803,0.020380350616366227,0.0036858080901939205,0.0037477544446509192,0.003778727621879474,0.0019513101653967357,0.0017654711020256286,0.0,0.022021929009477748,0.0034380226723657037,0.002137149228767843,0.0009911416713126453,3.097317722855486e-05,0.005915876850647317,0.0057919841417332085,0.011522021929009418,0.017902496438084614,0.003778727621879474,0.002539800532738612,0.004924735179334672,0.0013318466208263047,0.0036548349129653657,0.0007743294307129833,0.0008053026079415382,0.0021990955832249526,0.0008053026079415382,0.00018583906337110712,0.0008672489623985369,0.0011460075574551976,0.0,0.001672551570340075,0.002787585950566829,0.0007433562534844285,0.001053088025769644,0.0,0.0019203369881681809,0.002973425013937936,0.0008672489623985369,0.0006194635445704311,0.0002787585950566607,0.00030973177228521553,0.0007743294307129833
