,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.008249573297932855,0.027000758581452677,0.10850085340413429,0.11281528541627162,0.052650293950312954,0.01623838422150581,0.01062014033756875,0.03776313294139966,0.029418736961881353,0.06756116062962259,0.020552816233643134,0.12310354636829135,0.41058221126493455,0.00922150578418357,0.04783804285985216,0.0895126114166509,0.06950502560212402,0.09088754029963975,0.08363360515835394,0.019652000758581534,0.12315095770908402,0.07500474113407929,0.05333775839180732,0.02975061634743037,0.22781149250900823,0.2562108856438461,0.016285795562298477,0.0107149630191542,0.029726910677033924,0.010193438270434285,0.018561539920348924,4.741134079278009e-05,0.04105822112649349,0.019817940451355986,0.007846576901194835,0.01744737341172009,0.0,0.009411151147354468,0.06293855490233269,0.09847335482647457,0.2541484923193629,0.01808742651242179,0.015337568746444208,0.015574625450407775,0.016404323914280372,0.032073772046273485,0.0011141665086289443,0.008937037739427334,0.010549023326379747,0.008652569694670986,0.0003555850559454621,0.007135406789304022,0.011283899108666784,0.0,0.033424995258866,0.05082495732979331,0.004006258296984644,0.00199127631329421,4.741134079278009e-05,0.03010620140337572,0.04155604020481707,0.09961122700549974,0.014816043997724293,0.004361843352930106,0.01673620329982939,0.049118149061255445
Decis train Iter 1,0.008913332069030888,0.027593400341361707,0.10819267968898161,0.11314716480182063,0.053598520766167335,0.01735255073013464,0.010643846007965085,0.03584297363929456,0.029774322017826704,0.0696235539541058,0.020054997155319554,0.1256400531007017,0.4082353498956951,0.009505973828939918,0.04845439029015741,0.09036601555091983,0.07234970604968716,0.09102977432201786,0.08349137113597571,0.020007585814526885,0.12398065617295662,0.07590555660914089,0.0538355774701309,0.03020102408496117,0.23096434667172394,0.2574435805044567,0.015740565143182228,0.011331310449459564,0.030035084392186606,0.010122321259245282,0.018348188886781802,2.3705670396334533e-05,0.04195903660155509,0.019699412099374203,0.008628864024274652,0.01853783424995259,0.0,0.009529679499336252,0.062322207472027324,0.09629243315000946,0.2572539351412858,0.01868006827233082,0.014792338327327959,0.015361274416840542,0.016665086288640274,0.03131519059359,0.001232694860610728,0.00881850938744555,0.010122321259245282,0.00877109804665277,0.0003555850559454621,0.0066375877109804415,0.010880902711928764,0.0,0.032168594727858935,0.04959226246918269,0.004195903660155542,0.002204627346861443,4.741134079278009e-05,0.030058790062583052,0.04345249383652572,0.0984970604968709,0.015764270813578674,0.004053669637777424,0.015859093495164123,0.04828845059738296
Decis train Iter 2,0.00832069030912197,0.02666887919590366,0.10805044566660349,0.11355016119855876,0.05381187179973457,0.017921486819647336,0.010051204248056167,0.03643561539920348,0.029513559643466802,0.06879385549023331,0.020315759529679567,0.12374359946899305,0.41321354067893046,0.009648207851318036,0.04937891143561546,0.09053195524369428,0.07069030912194196,0.09223876351223215,0.08296984638725591,0.020505404892850354,0.1259008154750617,0.07540773753081742,0.053503698084581885,0.030414375118528403,0.22899677602882618,0.2553100701687844,0.015835387824767677,0.011473544471837682,0.028589038498008756,0.009482268158543583,0.01794519249004367,4.741134079278009e-05,0.04096339844490804,0.019628295088185088,0.008889626398634554,0.018608951261141704,0.0,0.009245211454580016,0.06244073582400911,0.09596055376446044,0.2537692015930211,0.018348188886781802,0.015124217712876975,0.01555091978001144,0.016665086288640274,0.031623364308742685,0.0011852835198179479,0.00922150578418357,0.010383083633605183,0.008605158353878317,0.0003555850559454621,0.00642423667741332,0.0107149630191542,0.0,0.03292717618054242,0.04937891143561546,0.003650673241039293,0.00199127631329421,4.741134079278009e-05,0.030177318414564835,0.04212497629432965,0.1008676275365068,0.01550350843921866,0.00388772994500286,0.015977621847145906,0.048762564005310094
Decis train Iter 3,0.008747392376256435,0.02771192869334349,0.10537170491181491,0.11317087047221697,0.053693343447752784,0.01709178835577474,0.010525317655983302,0.03712307984069796,0.029181680257917675,0.06888867817181876,0.02093210695998482,0.1230087236867059,0.4145884695619192,0.009837853214488934,0.047624691826284926,0.09003413616537081,0.07054807509956385,0.0906030722548834,0.08465294898539732,0.01998388014413055,0.12398065617295662,0.07498103546368295,0.05423857386686903,0.029513559643466802,0.22852266262089893,0.2561634743030533,0.01600132751754224,0.011046842404703217,0.03001137872179027,0.010098615588848836,0.0194386497250143,4.741134079278009e-05,0.04354731651811117,0.019462355395410635,0.008415512990707419,0.017565901763701874,0.0,0.009292622795372685,0.06381566470699795,0.09588943675327144,0.25656647069979144,0.01735255073013464,0.014436753271382496,0.015479802768822326,0.017210316707756523,0.03141001327517545,0.0013038118717997316,0.008747392376256435,0.0107149630191542,0.008794803717049104,0.0004267020671344657,0.006495353688602323,0.010383083633605183,0.0,0.033756874644415014,0.04942632277640813,0.0037692015930210765,0.002109804665275994,2.3705670396334533e-05,0.030224729755357505,0.041840508249573305,0.10034610278778688,0.01555091978001144,0.0037692015930210765,0.016522852266262156,0.04850180163095019
Decis train Iter 4,0.008344395979518304,0.027048169922245457,0.10828750237056706,0.1129338137682534,0.052460648587142056,0.017660724445287324,0.010477906315190633,0.0363170870472217,0.02934761995069224,0.06831974208230607,0.019106770339465284,0.12447847525128009,0.413118717997345,0.009292622795372685,0.04719798975915046,0.0899630191541817,0.07099848283709465,0.09202541247866491,0.0836098994879575,0.019509766736203304,0.1234591314242367,0.07540773753081742,0.0549260383083634,0.029276502939503124,0.22864119097288071,0.25490707377204636,0.01600132751754224,0.010880902711928764,0.02906315190593589,0.01080978570073965,0.018466717238763586,4.741134079278009e-05,0.040844870092926255,0.0194386497250143,0.008581452683481872,0.017826664138061887,0.0,0.009600796510525367,0.0630807889247108,0.09612649345723501,0.25753840318604215,0.018324483216385357,0.014839749668120628,0.015266451735255093,0.01749478475251287,0.03124407358240089,0.0011852835198179479,0.00926891712497635,0.0107149630191542,0.008913332069030888,0.0005215247487199148,0.006922055755736789,0.0107149630191542,0.0,0.0333064669068841,0.04930779442442634,0.00448037170491189,0.0020149819836905447,4.741134079278009e-05,0.029726910677033924,0.042196093305518656,0.09996681206144509,0.015432391428029657,0.003792907263417411,0.016333206903091257,0.04845439029015741
Decis train Iter 5,0.008628864024274652,0.02695334724066001,0.10712592452114544,0.11298122510904607,0.053693343447752784,0.01789778114925089,0.0102645552816234,0.03674378911435616,0.028873506542765104,0.06967096529489858,0.01853783424995259,0.12227384790441875,0.4115067324103926,0.008937037739427334,0.04814621657500473,0.08820879954485117,0.07118812820026554,0.09088754029963975,0.08209273658259053,0.0198890574625451,0.12580599279347626,0.07654560970984259,0.054902332637967066,0.029442442632277688,0.22840413426891715,0.2557130665655225,0.015740565143182228,0.011141665086288666,0.030224729755357505,0.010098615588848836,0.018608951261141704,4.741134079278009e-05,0.04136639484164617,0.019699412099374203,0.008036222264365622,0.018063720842025455,0.0,0.009245211454580016,0.06253555850559456,0.09679025222833304,0.2577043428788166,0.018371894557178137,0.015171629053669644,0.01564574246159689,0.016570263607054825,0.03238194576142617,0.001280106201403397,0.00926891712497635,0.010335672292812514,0.009031860421012783,0.000308173715152682,0.006400531007016874,0.010833491371135984,0.0,0.03209747771666982,0.05037454959226251,0.004006258296984644,0.0018727479613124265,0.0,0.03084107718566287,0.04257538403186045,0.09942158164232884,0.01555091978001144,0.004575194386497228,0.01735255073013464,0.04909444339085911
Decis train Iter 6,0.008107339275554737,0.026692584866299995,0.1088327327896833,0.11336051583538787,0.05307699601744742,0.01799260383083634,0.010857197041532318,0.0363170870472217,0.02925279726910679,0.06777451166318982,0.02003129148492322,0.12305613502749857,0.41238384221505786,0.009932675896074383,0.04700834439597956,0.08790062582969849,0.07144889057462545,0.09164612175232323,0.08339654845439037,0.02048169922245402,0.1242888298881093,0.07637967001706814,0.05421486819647259,0.028992034894746888,0.22847525128010626,0.2568746444149441,0.015811682154371343,0.010667551678361531,0.03020102408496117,0.010477906315190633,0.018727479613123488,4.741134079278009e-05,0.041887919590366085,0.020197231177697783,0.008249573297932855,0.018514128579556255,0.0,0.00881850938744555,0.06234591314242366,0.09577090840128966,0.2550730134648208,0.01799260383083634,0.015029395031291526,0.014863455338516962,0.01645173525507304,0.03247676844301162,0.0013038118717997316,0.008865920728238219,0.009980087236867052,0.008984449080220003,0.0003792907263417966,0.0072539351412858055,0.011331310449459564,0.0,0.03290347051014608,0.05018490422909161,0.003579556229850178,0.002109804665275994,4.741134079278009e-05,0.029774322017826704,0.042836146406220355,0.1002275744358051,0.01550350843921866,0.003840318604210191,0.016807320311018392,0.04890479802768821
Decis train Iter 7,0.008202161957140186,0.027237815285416356,0.10769486061065814,0.11238858334913715,0.054048928503698135,0.01718661103736019,0.010501611985586967,0.03662526076237438,0.028423098805234193,0.06777451166318982,0.020671344585624918,0.12331689740185858,0.40972880713066573,0.009031860421012783,0.04679499336241233,0.08735539541058224,0.06983690498767303,0.09193058979707946,0.08398919021429929,0.01908306466906884,0.1238384221505785,0.07673525507301349,0.05421486819647259,0.02915797458752134,0.22861748530248438,0.25632941399582787,0.016262089891902143,0.011331310449459564,0.029276502939503124,0.010359377963208849,0.018300777545989022,4.741134079278009e-05,0.04290726341740947,0.019201593021050622,0.008107339275554737,0.017802958467665442,0.0,0.009458562488147249,0.0630807889247108,0.09690878058031482,0.2577754598900057,0.01863265693153804,0.01424710790821171,0.015313863076047873,0.016712497629432943,0.031670775649535354,0.0011852835198179479,0.00922150578418357,0.010288260952019734,0.008534041342689203,0.00023705670396356737,0.006922055755736789,0.010738668689550535,0.0,0.033021998862127866,0.04852550730134653,0.004598900056893673,0.0019201593021050956,4.741134079278009e-05,0.029513559643466802,0.041887919590366085,0.10018016309501232,0.015408685757633211,0.004504077375308224,0.016119855869524025,0.04835956760857196
Decis train Iter 8,0.00881850938744555,0.02681111321828189,0.10617769770529117,0.1135738668689551,0.053598520766167335,0.01668879195903661,0.010549023326379747,0.03572444528731278,0.030414375118528403,0.06943390859093501,0.020363170870472236,0.12414659586573107,0.41404323914280294,0.009434856817750803,0.047861748530248494,0.0903423098805235,0.0693627915797459,0.09098236298122508,0.08529300208609902,0.02012611416650867,0.1263512232125925,0.07431727669258492,0.05525791769391242,0.02930020860989957,0.22861748530248438,0.2533187938554903,0.01600132751754224,0.011355016119855899,0.030343258107339288,0.010572728996776082,0.01794519249004367,4.741134079278009e-05,0.04319173146216582,0.02007870282571589,0.008415512990707419,0.018822302294708937,0.0,0.009529679499336252,0.06277261520955812,0.09797553574815099,0.2567324103925659,0.01749478475251287,0.014934572349706077,0.015574625450407775,0.01690214299260384,0.03223971173904805,0.001280106201403397,0.009079271761805452,0.010335672292812514,0.008889626398634554,0.0004267020671344657,0.00687464441494412,0.010786080030343315,0.0,0.033496112270055,0.04940261710601179,0.004029963967380978,0.0018253366205196464,2.3705670396334533e-05,0.029869144699412153,0.04195903660155509,0.09968234401668885,0.015882799165560457,0.0043855490233264405,0.015835387824767677,0.04798027688223028
Decis train Iter 9,0.008296984638725635,0.028186042101270625,0.10904608382325054,0.11238858334913715,0.054499336241228935,0.01709178835577474,0.010549023326379747,0.034562867437891165,0.02979802768822304,0.07047695808837473,0.0207898729376067,0.12469182628484732,0.4142802958467666,0.009150388772994567,0.04968708515076814,0.08901479233832732,0.0704532524179784,0.09228617485302493,0.08323060876161581,0.020007585814526885,0.1231983690498768,0.07410392565901769,0.055589797079461434,0.02884980087236866,0.22800113787217902,0.2554523041911626,0.01595391617674946,0.010857197041532318,0.029987673051393937,0.010738668689550535,0.01849042290915992,4.741134079278009e-05,0.041390100512042505,0.01939123838422152,0.008059927934762068,0.018774890953916157,0.0,0.009150388772994567,0.06379195903660162,0.09738289398824207,0.25727764081168214,0.01863265693153804,0.015479802768822326,0.01569315380238956,0.015882799165560457,0.0327849421581643,0.0012089891902142824,0.008344395979518304,0.01076237435994698,0.008889626398634554,0.000308173715152682,0.006661293381376887,0.01126019343827045,0.0,0.0339465200075858,0.04942632277640813,0.004172197989759208,0.00194386497250143,4.741134079278009e-05,0.030366963777735623,0.042788735065427685,0.09863929451924902,0.014555281623364391,0.0038640242746065256,0.016309501232694923,0.04828845059738296
