,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,0.0,-7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.452524952691661e-05,0.0,0.0,0.0,0.0,0.00010389224889612025,0.0,0.0,0.06345590145078106,0.026588994842491942,-0.0001409966235019211,0.0,0.09003747541835183,7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002886720344328575,0.0017068012318652293,0.09876442432562799,0.0,0.0023153129753997748,0.025787540351007388,-5.9366999369203644e-05,-4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420874921171272e-06,0.0,0.0,0.0,0.003131609216726672,0.0,0.0,0.0,0.0,8.162962413266195e-05,-0.0001409966235019211
Decis eval Iter 1,0.0,-1.4841749842287033e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.2262624763458305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0,8.905049905383322e-05,0.0,0.0,0.06046528885755631,0.026099217097695804,-0.0001409966235019211,0.0,0.0885978256836481,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.0,0.0,0.0,0.0,0.002723461096063251,0.0014173871099402713,0.09908352194723757,0.0,0.0023301547252421173,0.02517160773255167,-5.9366999369203644e-05,-4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0030351378427516673,0.0,0.0,0.0,0.0,5.194612444808788e-05,-0.0001409966235019211
Decis eval Iter 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.194612444808788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0,9.647137397500449e-05,0.0,0.0,0.06281028533264071,0.02606953359801123,-0.0001409966235019211,-7.420874921171272e-06,0.08790768431598084,0.0,0.0,0.0,0.0,2.9683499684629577e-05,0.0,0.0,0.0,0.0,0.00268635672145745,0.0017290638566286876,0.0995287744425068,0.0,0.0023301547252421173,0.025089978108418953,-5.9366999369203644e-05,-8.905049905383322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.710437460574534e-05,0.0,0.0,0.0,0.003161292716411246,0.0,0.0,0.0,0.0,8.162962413266195e-05,-0.0001409966235019211
Decis eval Iter 3,0.0,-7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.194612444808788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4841749842287033e-05,0.0,0.0,0.0,0.0,7.420874921154619e-05,0.0,0.0,0.06384178694668102,0.026700307966309234,-0.0001409966235019211,0.0,0.08863493005825385,0.0,0.0,0.0,0.0,2.9683499684629577e-05,0.0,0.0,0.0,0.0,0.0026344105970093623,0.0016103298578902248,0.09892768357389337,0.0,0.0023524173500055756,0.024585358613780584,-5.9366999369203644e-05,-5.194612444808788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.452524952691661e-05,0.0,0.0,0.0,0.0032429223405439633,0.0,0.0,0.0,0.0,2.9683499684629577e-05,-0.0001409966235019211
Decis eval Iter 4,0.0,-7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.194612444808788e-05,0.0,0.0,0.0,0.0,0.00010389224889612025,0.0,0.0,0.06293644020630035,0.02601016659864197,-0.0001409966235019211,0.0,0.0878705799413751,0.0,0.0,0.0,0.0,5.194612444808788e-05,0.0,0.0,0.0,0.0,0.002597306222403617,0.0014173871099402713,0.09938777781900487,0.0,0.0022856294757152007,0.0260027457237208,-5.9366999369203644e-05,-4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0030722422173574127,0.0,0.0,0.0,0.0,8.162962413266195e-05,-0.0001409966235019211
Decis eval Iter 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.420874921154619e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.452524952691661e-05,0.0,0.0,0.0,0.0,7.420874921154619e-05,0.0,0.0,0.06281028533264071,0.02616600497198618,-0.0001409966235019211,0.0,0.08948833067418649,0.0,0.0,0.0,0.0,6.678787429037492e-05,0.0,0.0,0.0,0.0,0.0029980334681458665,0.0015435419835998498,0.09926904382026641,0.0,0.0023598382249266914,0.025401654855107425,-5.9366999369203644e-05,-6.678787429037492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.452524952691661e-05,0.0,0.0,0.0,0.0031761344662535884,0.0,0.0,0.0,0.0,0.00010389224889612025,-0.0001409966235019211
Decis eval Iter 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.710437460574534e-05,0.0,0.0,0.0,0.0,8.905049905383322e-05,0.0,0.0,0.0639679418203406,0.02571333160179584,-0.0001409966235019211,0.0,0.08918407480241919,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0027976698452747417,0.0015287002337575628,0.09904641757263183,0.0,0.0023672590998478626,0.02606953359801123,-5.9366999369203644e-05,-2.2262624763458305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.710437460574534e-05,0.0,0.0,0.0,0.0032726058402285374,0.0,0.0,0.0,0.0,0.00010389224889612025,-0.0001409966235019211
Decis eval Iter 7,0.0,-7.420874921171272e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.9683499684629577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2262624763458305e-05,0.0,0.0,0.0,0.0,8.162962413266195e-05,0.0,0.0,0.06345590145078106,0.02590627434974585,-0.0001409966235019211,0.0,0.08972579867166336,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0029164038440132045,0.00187748135505178,0.09837111795480685,0.0,0.0023524173500055756,0.025750435976401642,-5.9366999369203644e-05,-6.678787429037492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9366999369203644e-05,0.0,0.0,0.0,0.003250343215465079,0.0,0.0,0.0,0.0,6.678787429037492e-05,-0.0001409966235019211
Decis eval Iter 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2262624763458305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4841749842287033e-05,0.0,0.0,0.0,0.0,0.00010389224889612025,0.0,0.0,0.06394567919557714,0.026559311342807312,-0.0001409966235019211,0.0,0.08870171793254422,7.420874921171272e-06,0.0,0.0,0.0,3.710437460574534e-05,0.0,0.0,0.0,0.0,0.002730881970984367,0.0016400133575748543,0.09848985195354532,0.0,0.0023449964750844043,0.02557975585321509,-5.9366999369203644e-05,-3.710437460574534e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4841749842287033e-05,0.0,0.0,0.0,0.0033839189640458844,0.0,0.0,0.0,0.0,4.452524952691661e-05,-0.0001409966235019211
Decis eval Iter 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.678787429037492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4841749842287033e-05,0.0,0.0,0.0,0.0,8.162962413266195e-05,0.0,0.0,0.0633965344514118,0.026626099217097687,-0.0001409966235019211,0.0,0.08942154279989611,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.0,0.0,0.0,0.0,0.0028496159697228296,0.001602908982969109,0.09796296983414343,0.0,0.0023524173500055756,0.025950799599272767,-5.9366999369203644e-05,-5.194612444808788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.710437460574534e-05,0.0,0.0,0.0,0.003027716967830496,0.0,0.0,0.0,0.0,4.452524952691661e-05,-0.0001409966235019211
