,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl eval Iter 0,0.0,-7.420874921226783e-06,0.0,0.0,0.0,0.0,0.0,2.2262624763458305e-05,0.00011873399873840729,-1.4841749842342544e-05,0.0,0.0,-2.968349968468509e-05,-5.1946124448143394e-05,-0.00039330637082113373,0.0,0.0,0.0,0.0,0.0,9.647137397494898e-05,7.420874921115761e-06,1.4841749842231522e-05,-8.905049905383322e-05,1.4841749842231522e-05,1.4841749842231522e-05,-0.00014841749842309238,7.420874921115761e-06,-0.00016325924826543492,5.194612444803237e-05,-0.00011131312381729153,7.420874921115761e-06,1.4841749842231522e-05,5.936699936914813e-05,-7.420874921226783e-06,-3.710437460580085e-05,7.420874921115761e-06,0.0,3.710437460568983e-05,1.4841749842231522e-05,1.4841749842231522e-05,2.2262624763458305e-05,-7.420874921226783e-06,7.420874921115761e-06,-2.2262624763458305e-05,-9.647137397506e-05,0.0,-4.452524952691661e-05,-4.452524952691661e-05,-2.2262624763458305e-05,0.0,7.420874921115761e-06,-5.9366999369259155e-05,7.420874921115761e-06,-2.2262624763458305e-05,-0.00014841749842309238,7.420874921115761e-06,7.420874921115761e-06,-2.2262624763458305e-05,0.0,7.420874921115761e-06,0.0,0.0,-1.4841749842342544e-05,7.420874921115761e-06,0.0
MLPCl eval Iter 1,0.0,0.0,-7.420874921226783e-06,0.0,0.0,0.0,0.0,-3.710437460580085e-05,8.905049905383322e-05,-1.4841749842342544e-05,0.0,7.420874921115761e-06,-1.4841749842342544e-05,-3.710437460580085e-05,-0.0004526733701903929,0.0,0.0,0.0,0.0,0.0,-2.968349968468509e-05,-1.4841749842342544e-05,7.420874921115761e-06,-8.905049905383322e-05,1.4841749842231522e-05,0.0,-0.00014099662350197661,0.0,-0.00020778449779235153,4.452524952691661e-05,-6.678787429037492e-05,7.420874921115761e-06,7.420874921115761e-06,3.710437460568983e-05,0.0,-2.968349968468509e-05,7.420874921115761e-06,0.0,7.420874921115761e-06,1.4841749842231522e-05,0.0,2.2262624763458305e-05,-7.420874921226783e-06,1.4841749842231522e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-6.678787429037492e-05,-2.2262624763458305e-05,0.0,-1.4841749842342544e-05,-4.452524952691661e-05,7.420874921115761e-06,-2.968349968468509e-05,-0.00014099662350197661,2.2262624763458305e-05,7.420874921115761e-06,-3.710437460580085e-05,0.0,0.0,0.0,0.0,-1.4841749842342544e-05,0.0,-1.4841749842342544e-05
MLPCl eval Iter 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.710437460568983e-05,8.162962413260644e-05,-7.420874921226783e-06,0.0,0.0,-1.4841749842342544e-05,-1.4841749842342544e-05,-0.0004007272457423605,0.0,0.0,0.0,0.0,0.0,5.936699936914813e-05,-7.420874921226783e-06,7.420874921115761e-06,-8.162962413271746e-05,2.2262624763458305e-05,1.4841749842231522e-05,-0.00012615487365963407,0.0,-0.00017068012318655068,4.452524952691661e-05,-0.00010389224889617577,7.420874921115761e-06,1.4841749842231522e-05,5.194612444803237e-05,0.0,-2.968349968468509e-05,7.420874921115761e-06,0.0,2.2262624763458305e-05,1.4841749842231522e-05,1.4841749842231522e-05,3.710437460568983e-05,-7.420874921226783e-06,3.710437460568983e-05,-2.2262624763458305e-05,-9.647137397506e-05,0.0,-4.452524952691661e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,-7.420874921226783e-06,-4.452524952691661e-05,7.420874921115761e-06,-2.968349968468509e-05,-0.00013357574858074983,1.4841749842231522e-05,1.4841749842231522e-05,-1.4841749842342544e-05,0.0,7.420874921115761e-06,0.0,-7.420874921226783e-06,-1.4841749842342544e-05,0.0,2.2262624763458305e-05
MLPCl eval Iter 3,0.0,-7.420874921226783e-06,0.0,0.0,0.0,0.0,0.0,-2.968349968468509e-05,0.00011131312381729153,-1.4841749842342544e-05,0.0,0.0,0.0,-2.968349968468509e-05,-0.00038588549590001797,0.0,0.0,0.0,0.0,0.0,8.162962413260644e-05,0.0,7.420874921115761e-06,-8.162962413271746e-05,3.710437460568983e-05,1.4841749842231522e-05,-0.00014841749842309238,1.4841749842231522e-05,-0.00018552187302889322,4.452524952691661e-05,-9.647137397506e-05,7.420874921115761e-06,7.420874921115761e-06,6.678787429037492e-05,0.0,0.0,7.420874921115761e-06,0.0,2.9683499684574066e-05,7.420874921115761e-06,1.4841749842231522e-05,5.194612444803237e-05,-7.420874921226783e-06,2.2262624763458305e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-3.710437460580085e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,0.0,-2.2262624763458305e-05,7.420874921115761e-06,-2.968349968468509e-05,-0.00014841749842309238,1.4841749842231522e-05,2.2262624763458305e-05,-2.2262624763458305e-05,0.0,7.420874921115761e-06,0.0,0.0,-5.1946124448143394e-05,7.420874921115761e-06,-4.452524952691661e-05
MLPCl eval Iter 4,0.0,-7.420874921226783e-06,0.0,0.0,0.0,0.0,0.0,-1.4841749842342544e-05,0.0001409966235018656,7.420874921115761e-06,0.0,0.0,-7.420874921226783e-06,-2.968349968468509e-05,-0.0004229898705058188,0.0,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.0,7.420874921115761e-06,-8.905049905383322e-05,2.9683499684574066e-05,7.420874921115761e-06,-0.00014841749842309238,1.4841749842231522e-05,-0.00018552187302889322,2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-7.420874921226783e-06,4.452524952691661e-05,-7.420874921226783e-06,-1.4841749842342544e-05,7.420874921115761e-06,0.0,3.710437460568983e-05,1.4841749842231522e-05,1.4841749842231522e-05,2.2262624763458305e-05,-7.420874921226783e-06,8.162962413260644e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,-1.4841749842342544e-05,-3.710437460580085e-05,7.420874921115761e-06,-2.2262624763458305e-05,-0.00014841749842309238,0.0,7.420874921115761e-06,-7.420874921226783e-06,-7.420874921226783e-06,7.420874921115761e-06,0.0,-7.420874921226783e-06,-4.452524952691661e-05,0.0,-2.968349968468509e-05
MLPCl eval Iter 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420874921115761e-06,0.00012615487365952305,7.420874921115761e-06,0.0,7.420874921115761e-06,-1.4841749842342544e-05,-2.2262624763458305e-05,-0.0004229898705058188,0.0,0.0,0.0,0.0,0.0,0.0,-7.420874921226783e-06,7.420874921115761e-06,-9.647137397506e-05,2.2262624763458305e-05,7.420874921115761e-06,-0.00014099662350197661,0.0,-0.00017068012318655068,3.710437460568983e-05,-8.162962413271746e-05,7.420874921115761e-06,1.4841749842231522e-05,7.420874921149068e-05,0.0,-5.1946124448143394e-05,7.420874921115761e-06,0.0,2.9683499684574066e-05,1.4841749842231522e-05,7.420874921115761e-06,7.420874921115761e-06,-7.420874921226783e-06,2.9683499684574066e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,7.420874921115761e-06,-3.710437460580085e-05,7.420874921115761e-06,-7.420874921226783e-06,-0.00014099662350197661,2.2262624763458305e-05,2.2262624763458305e-05,0.0,-7.420874921226783e-06,7.420874921115761e-06,0.0,0.0,-2.2262624763458305e-05,0.0,-4.452524952691661e-05
MLPCl eval Iter 6,0.0,-7.420874921226783e-06,-7.420874921226783e-06,0.0,0.0,0.0,0.0,4.452524952691661e-05,0.00011131312381729153,-7.420874921226783e-06,0.0,0.0,1.4841749842231522e-05,-2.968349968468509e-05,-0.00039330637082113373,0.0,0.0,0.0,0.0,0.0,5.194612444803237e-05,1.4841749842231522e-05,1.4841749842231522e-05,-8.162962413271746e-05,2.2262624763458305e-05,7.420874921115761e-06,-0.00015583837334420814,0.0,-0.00019294274795000899,5.194612444803237e-05,-9.647137397506e-05,7.420874921115761e-06,0.0,4.452524952691661e-05,-7.420874921226783e-06,-7.420874921226783e-06,7.420874921115761e-06,0.0,2.2262624763458305e-05,1.4841749842231522e-05,1.4841749842231522e-05,7.420874921115761e-06,-7.420874921226783e-06,1.4841749842231522e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,-1.4841749842342544e-05,-5.1946124448143394e-05,7.420874921115761e-06,-1.4841749842342544e-05,-0.00014841749842309238,0.0,0.0,-2.2262624763458305e-05,0.0,7.420874921115761e-06,0.0,-7.420874921226783e-06,-2.2262624763458305e-05,0.0,1.4841749842231522e-05
MLPCl eval Iter 7,0.0,0.0,-7.420874921226783e-06,0.0,0.0,0.0,0.0,-2.2262624763458305e-05,-1.4841749842342544e-05,2.2262624763458305e-05,0.0,7.420874921115761e-06,-2.968349968468509e-05,-2.968349968468509e-05,-0.0004007272457423605,0.0,0.0,0.0,0.0,0.0,0.0001632592482653239,0.0,0.0,-8.905049905383322e-05,1.4841749842231522e-05,2.2262624763458305e-05,-0.00014841749842309238,0.0,-0.00017810099810766644,5.936699936914813e-05,-8.905049905383322e-05,7.420874921115761e-06,1.4841749842231522e-05,4.452524952691661e-05,0.0,-1.4841749842342544e-05,7.420874921115761e-06,0.0,3.710437460568983e-05,7.420874921115761e-06,1.4841749842231522e-05,2.9683499684574066e-05,-7.420874921226783e-06,7.420874921149068e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-5.9366999369259155e-05,-2.2262624763458305e-05,0.0,7.420874921115761e-06,-2.2262624763458305e-05,7.420874921115761e-06,-1.4841749842342544e-05,-0.00013357574858074983,1.4841749842231522e-05,7.420874921115761e-06,-3.710437460580085e-05,0.0,7.420874921115761e-06,0.0,0.0,-1.4841749842342544e-05,0.0,-3.710437460580085e-05
MLPCl eval Iter 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9683499684574066e-05,0.00011131312381729153,1.4841749842231522e-05,0.0,0.0,0.0,-1.4841749842342544e-05,-0.00038588549590001797,0.0,0.0,0.0,0.0,0.0,5.936699936914813e-05,7.420874921115761e-06,1.4841749842231522e-05,-8.162962413271746e-05,2.9683499684574066e-05,1.4841749842231522e-05,-0.00016325924826543492,0.0,-0.00016325924826543492,7.420874921149068e-05,-8.905049905383322e-05,7.420874921115761e-06,7.420874921115761e-06,3.710437460568983e-05,-1.4841749842342544e-05,-2.2262624763458305e-05,7.420874921115761e-06,0.0,3.710437460568983e-05,7.420874921115761e-06,-7.420874921226783e-06,1.4841749842231522e-05,-7.420874921226783e-06,2.2262624763458305e-05,-2.2262624763458305e-05,-9.647137397506e-05,7.420874921115761e-06,-4.452524952691661e-05,-7.42087492116017e-05,-2.2262624763458305e-05,0.0,-7.420874921226783e-06,-4.452524952691661e-05,7.420874921115761e-06,-2.2262624763458305e-05,-0.00014841749842309238,7.420874921115761e-06,0.0,-2.2262624763458305e-05,0.0,7.420874921115761e-06,0.0,-7.420874921226783e-06,-3.710437460580085e-05,7.420874921115761e-06,-3.710437460580085e-05
MLPCl eval Iter 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.194612444803237e-05,0.00013357574858074983,7.420874921115761e-06,0.0,0.0,-1.4841749842342544e-05,-3.710437460580085e-05,-0.000512040369559652,0.0,0.0,0.0,0.0,0.0,6.678787429037492e-05,0.0,7.420874921115761e-06,-9.647137397506e-05,2.9683499684574066e-05,0.0,-0.00014841749842309238,7.420874921115761e-06,-0.00016325924826543492,8.162962413260644e-05,-0.00010389224889617577,7.420874921115761e-06,0.0,5.194612444803237e-05,-7.420874921226783e-06,-2.2262624763458305e-05,7.420874921115761e-06,0.0,2.9683499684574066e-05,7.420874921115761e-06,7.420874921115761e-06,1.4841749842231522e-05,-7.420874921226783e-06,5.194612444803237e-05,-2.2262624763458305e-05,-9.647137397506e-05,0.0,-4.452524952691661e-05,-6.678787429037492e-05,-2.2262624763458305e-05,0.0,-2.2262624763458305e-05,-3.710437460580085e-05,7.420874921115761e-06,-2.968349968468509e-05,-0.00014099662350197661,2.9683499684574066e-05,1.4841749842231522e-05,-7.420874921226783e-06,0.0,7.420874921115761e-06,0.0,0.0,-7.420874921226783e-06,0.0,2.9683499684574066e-05
