,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,-0.0011278307066749926,-0.0049861989137209295,-0.03149022052058292,-0.013563648235538517,-0.009289763452349165,-0.0005639153533374963,-0.0010981509512361654,-0.008607129077256415,-0.01353396848009969,-0.0018698245926453416,-0.004036446739678845,-0.012049980708158936,-0.0009200724186032572,-0.0011871902175525917,-0.004719081114771595,-0.002285341168788757,-0.0028492565221262534,-0.005698513044252507,-0.007508978126020249,0.0,-0.006470186685661683,-0.009527201495859672,-0.01626450598047069,-0.014513400409580601,-0.02763185231353693,-0.03051078859110201,-0.0009794319294809117,-0.02104294660611994,-0.01332621019202801,0.00020775828807173546,-0.0002671177989493345,0.0,-0.05838007894814945,-0.005965630843201841,0.0,0.00020775828807173546,0.0,0.0010981509512361654,-0.006618585462855764,-0.018549847149259502,-0.030837265900928945,-0.0022556614133499298,-0.0001483987771940809,-0.0013652687501854999,-0.0006232748642150954,-0.007835455435847183,-0.0007123141305315772,-0.000741993885970349,0.001691746060012489,0.00023743804351050724,0.0,-8.903926631642634e-05,-0.00023743804351050724,0.0,-0.0008310331522868308,-0.009764639539370179,0.0,-8.903926631642634e-05,-0.00020775828807167995,-0.007924494702163665,-0.00902264565339983,-0.0016620663045736617,0.0004155165761434154,-0.00011871902175525362,0.0,-0.0013652687501854999
Decis eval Iter 1,-0.0010981509512361654,-0.0042442050277505805,-0.030303030303030276,-0.013237170925711583,-0.008725848099011668,-0.0004451963315822427,-0.001068471195797338,-0.009883358561125433,-0.014602439675897083,0.0010387914403585663,-0.003799008696168338,-0.01243581752886358,-0.001602706793696007,-5.935951087759905e-05,-0.004333244294067007,-0.0017807853263289153,-0.002819576766687426,-0.003353812364586095,-0.006559225951978165,0.0,-0.00649986644110051,-0.010180156115513594,-0.0158786691597661,-0.014988276496601671,-0.03051078859110201,-0.031638619297777004,-0.0008013533968480036,-0.02050871100822127,-0.013148131659395101,0.00020775828807173546,-0.00020775828807167995,0.0,-0.05695545068708635,-0.005639153533374852,0.0,0.00020775828807173546,0.0,0.0011871902175525917,-0.006143709375834749,-0.023803163861929766,-0.031312141987950015,-0.0023150209242275843,-0.00011871902175525362,-0.0013949485056243272,-0.00011871902175525362,-0.006262428397590003,-0.0004155165761434154,-0.0008607129077256581,0.0014246282610631544,0.0004155165761434154,0.0,0.0002671177989493345,-8.903926631642634e-05,0.0,-0.0009200724186032572,-0.009319443207787936,0.0,-2.9679755438827282e-05,-0.00023743804351050724,-0.00765737690321433,-0.00958656100673727,-0.0014543080165019262,0.0005045558424598418,-8.903926631642634e-05,0.0,-0.000741993885970349
Decis eval Iter 2,-0.0011575104621137644,-0.0055204345116195985,-0.03125278247707236,-0.012613896061496432,-0.008755527854450496,-0.0005935951087763236,-0.001068471195797338,-0.009408482474104418,-0.01353396848009969,-0.00032647730982693357,-0.0036209301635354296,-0.013741726768171425,-0.0008903926631644299,-0.0010387914403585108,-0.004481643071261088,-0.0011278307066749926,-0.0037099694298519115,-0.004511322826699915,-0.007924494702163665,0.0,-0.006885703261805098,-0.010180156115513594,-0.01626450598047069,-0.01831240910574894,-0.030599827857418438,-0.034250437776392695,-0.0007716736414091763,-0.020775828807170604,-0.013652687501854999,0.00011871902175525362,-0.00035615706526576085,0.0,-0.056539934110942935,-0.00581723206600776,0.0,0.00011871902175525362,0.0,0.0013355889947466726,-0.006381147419345257,-0.018342088861187766,-0.028967441308283604,-0.002136942391594676,-8.903926631642634e-05,-0.0015730270382571798,-0.001068471195797338,-0.005193957201792665,-0.0009200724186032572,-0.0007716736414091763,0.0012762294838690735,0.00011871902175525362,0.0,0.0001483987771940809,-0.0004155165761434154,0.0,-0.0010387914403585108,-0.009349122963226764,0.0,0.0,-0.00017807853263290818,-0.007776095924969584,-0.009734959783931352,-0.0013652687501854999,0.0004155165761434154,-0.00011871902175525362,0.0,-0.0012465497284302463
Decis eval Iter 3,-0.0013949485056243272,-0.005075238180037411,-0.03258837147181909,-0.012732615083251686,-0.00991303831656426,-0.0009200724186032572,-0.0013355889947466726,-0.008785207609889267,-0.013029412637639848,-0.000534235597898669,-0.004036446739678845,-0.013444929213783263,-0.001068471195797338,0.0003264773098269891,-0.004897159647404503,-0.0011871902175525917,-0.004066126495117672,-0.003977087228801246,-0.007063781794438007,0.0,-0.006410827174784084,-0.010298875137268848,-0.015285074050989833,-0.015789629893449675,-0.03000623274864217,-0.03422075802095392,-0.0004451963315822427,-0.022526934378060692,-0.012910693615884594,-0.00023743804351050724,-0.0004155165761434154,0.0,-0.060695099872377034,-0.005668833288813679,0.0,8.903926631642634e-05,0.0,0.001068471195797338,-0.0060546701095182676,-0.022437895111744266,-0.02920487935179411,-0.0020182233698394225,-0.00020775828807167995,-0.0015730270382571798,-0.000741993885970349,-0.005668833288813679,-0.0005639153533374963,-0.0006529546196539227,0.001602706793696007,0.0002671177989493345,0.0,-2.9679755438827282e-05,-0.00038583682070458813,0.0,-0.0008903926631644299,-0.009408482474104418,5.9359510877654564e-05,-2.9679755438827282e-05,-0.00023743804351050724,-0.008072893479357746,-0.009141364675155084,-0.0012465497284302463,0.0004155165761434154,-5.935951087759905e-05,0.0,-0.0016620663045736617
Decis eval Iter 4,-0.001068471195797338,-0.004570682337577514,-0.03128246223251119,-0.012198379485353017,-0.008992965897961003,-0.0006232748642150954,-0.001068471195797338,-0.0072121805716320875,-0.012702935327812914,-0.00038583682070458813,-0.0037693289407295105,-0.012228059240791844,-0.001751105570890088,-0.00020775828807167995,-0.0038583682070459924,-0.0011575104621137644,-0.003799008696168338,-0.004184845516872926,-0.007390259104264996,0.0,-0.00718250081619326,-0.010655032202534664,-0.014988276496601671,-0.014869557474846418,-0.029056480574600085,-0.03154958003146052,-0.0008310331522868308,-0.02119134538331402,-0.012287418751669499,8.903926631642634e-05,-0.0002671177989493345,0.0,-0.0590627133232422,-0.005579794022497253,0.0,0.00020775828807173546,0.0,0.0014543080165019262,-0.006440506930222911,-0.019707357611373266,-0.030451429080224357,-0.0018104650817677426,-5.935951087759905e-05,-0.0016917460600124334,-5.935951087759905e-05,-0.0059953105986406685,-0.0006232748642150954,-0.0006529546196539227,0.0018104650817677426,-0.00032647730982693357,0.0,-8.903926631642634e-05,-0.0002967975543881618,0.0,-0.0005935951087763236,-0.009853678805686661,-2.9679755438827282e-05,-2.9679755438827282e-05,-0.0002671177989493345,-0.008221292256551771,-0.009200724186032683,-0.0011278307066749926,0.0004451963315822427,-5.935951087759905e-05,0.0,-0.001751105570890088
Decis eval Iter 5,-0.0018698245926453416,-0.00513459769091501,-0.03172765856409343,-0.01285133410500694,-0.008280651767429426,-0.0006826343750927499,-0.0011871902175525917,-0.009111684919716256,-0.013890125545365506,0.0002967975543881618,-0.0038583682070459924,-0.014068204077998414,-0.0013059092393078453,-0.0008013533968480036,-0.004719081114771595,-0.001543347282818408,-0.004006766984240018,-0.004956519158282102,-0.006945062772682753,0.0,-0.00786513519128601,-0.010655032202534664,-0.01483987771940759,-0.014810197963968763,-0.02795832962336392,-0.03392396046656576,-0.0005045558424598418,-0.02030095272014959,-0.01415724334431484,0.00011871902175525362,-0.00032647730982693357,0.0,-0.05781616359481195,-0.0060546701095182676,0.0,0.0001483987771940809,0.0,0.0008607129077256581,-0.006232748642151176,-0.02015255394295551,-0.031846377585848684,-0.0021963019024723307,-0.00020775828807167995,-0.0013652687501854999,-0.0004155165761434154,-0.005668833288813679,-0.0008607129077256581,-0.0004451963315822427,0.0015730270382572353,2.9679755438827282e-05,0.0,0.0,-0.0004155165761434154,0.0,-0.0012465497284302463,-0.009734959783931352,0.0,0.0,-0.0001483987771940809,-0.007954174457602436,-0.00958656100673727,-0.0015136675273795808,0.0004451963315822427,-5.935951087759905e-05,0.0,-0.0012465497284302463
Decis eval Iter 6,-0.0015730270382571798,-0.004659721603893996,-0.030451429080224357,-0.011723503398332003,-0.009556881251298499,-0.0005639153533374963,-0.0011871902175525917,-0.007508978126020249,-0.011693823642893175,-0.0013949485056243272,-0.002967975543881507,-0.011218947555872105,-0.0010981509512361654,-0.0004155165761434154,-0.004600362093016341,-0.0017807853263289153,-0.0028789362775650806,-0.006143709375834749,-0.007360579348826168,0.0,-0.006351467663906429,-0.009260083696910337,-0.016917460600124667,-0.014780518208529936,-0.02938295788442702,-0.03223221440655327,-0.0007123141305315772,-0.02080550856260943,-0.01210934021903659,-5.935951087759905e-05,-0.00032647730982693357,0.0,-0.05814264090463894,-0.005787552310568933,0.0,0.0001483987771940809,0.0,0.0014246282610631544,-0.006796663995488672,-0.01976671712225092,-0.02938295788442702,-0.0021666221470335034,-0.00020775828807167995,-0.0016620663045736617,-0.00047487608702101447,-0.005579794022497253,-0.000534235597898669,-0.0007716736414091763,0.0017807853263289153,2.9679755438827282e-05,0.0,2.9679755438827282e-05,-0.00020775828807167995,0.0,-0.0009497521740420845,-0.008755527854450496,-2.9679755438827282e-05,-2.9679755438827282e-05,-0.0002671177989493345,-0.007716736414091929,-0.009171044430593911,-0.0016620663045736617,0.0005045558424598418,-5.935951087759905e-05,0.0,-0.0013355889947466726
Decis eval Iter 7,-0.0008903926631644299,-0.004748760870210422,-0.03160893954233818,-0.011931261686403682,-0.010447273914462929,-0.0007123141305315772,-0.0009794319294809117,-0.005876591576885415,-0.011545424865699094,-0.002225981657911158,-0.0037693289407295105,-0.014186923099753668,-0.0006826343750927499,-0.0002671177989493345,-0.003977087228801246,-0.002136942391594676,-0.003116374321075588,-0.004184845516872926,-0.008280651767429426,0.0,-0.007627697147775503,-0.010091116849197168,-0.016294185735909517,-0.015819309648888502,-0.026385302585106685,-0.03255869171638026,-0.000534235597898669,-0.021250704894191674,-0.012702935327812914,-5.935951087759905e-05,-0.0002967975543881618,0.0,-0.056065058023921865,-0.006024990354079496,0.0,0.00011871902175525362,0.0,0.0014839877719407535,-0.006559225951978165,-0.020004155165761428,-0.03054046834654084,-0.0023150209242275843,-5.935951087759905e-05,-0.0014839877719407535,-2.9679755438827282e-05,-0.0055204345116195985,-0.0006232748642150954,-0.0005639153533374963,0.0015730270382572353,-8.903926631642634e-05,0.0,0.0,-0.00035615706526576085,0.0,-0.0010091116849196835,-0.009260083696910337,0.0,-2.9679755438827282e-05,-0.00020775828807167995,-0.007805775680408411,-0.009171044430593911,-0.0008310331522868308,0.00047487608702107,-0.00017807853263290818,0.0,-0.0011278307066749926
Decis eval Iter 8,-0.0008903926631644299,-0.00513459769091501,-0.031638619297777004,-0.01231709850710827,-0.008755527854450496,-0.0010091116849196835,-0.0011278307066749926,-0.008903926631644521,-0.009645920517614925,0.000534235597898669,-0.0030866945656367606,-0.014335321876947749,-0.0009794319294809117,-0.0008903926631644299,-0.004184845516872926,-0.0011278307066749926,-0.0029382957884426797,-0.006173389131273577,-0.007063781794438007,0.0,-0.007479298370581422,-0.009171044430593911,-0.01626450598047069,-0.018490487638381847,-0.027988009378802692,-0.033567803401299945,-0.0008607129077256581,-0.02036031223102719,-0.013563648235538517,8.903926631642634e-05,-0.0002671177989493345,0.0,-0.05710384946428043,-0.007034102038999179,0.0,0.00017807853263290818,0.0,0.0010387914403585663,-0.0066779449737334184,-0.02036031223102719,-0.03433947704270918,-0.0023743804351051834,-2.9679755438827282e-05,-0.001424628261063099,-0.0013949485056243272,-0.006381147419345257,-0.00047487608702101447,-0.0008013533968480036,0.0013652687501854999,-0.00020775828807167995,0.0,5.9359510877654564e-05,-0.0002671177989493345,0.0,-0.0008607129077256581,-0.009556881251298499,0.0,-2.9679755438827282e-05,-0.00020775828807167995,-0.008280651767429426,-0.009556881251298499,-0.0011575104621137644,0.0005045558424598418,-2.9679755438827282e-05,0.0,-0.0010981509512361654
Decis eval Iter 9,-0.0011871902175525917,-0.004719081114771595,-0.029293918618110593,-0.01074407146885109,-0.00902264565339983,-0.000534235597898669,-0.0011278307066749926,-0.008161932745674172,-0.00991303831656426,-0.0018698245926453416,-0.003947407473362419,-0.015552191849939168,-0.0009794319294809117,-0.0006232748642150954,-0.004748760870210422,-0.0010981509512361654,-0.0028492565221262534,-0.004273884783189352,-0.007627697147775503,0.0,-0.007152821060754433,-0.008992965897961003,-0.016294185735909517,-0.014869557474846418,-0.028255127177752026,-0.03436915679814795,-0.0007716736414091763,-0.021547502448579836,-0.012910693615884594,5.9359510877654564e-05,-0.00011871902175525362,0.0,-0.057756804083934354,-0.0055204345116195985,0.0,0.0001483987771940809,0.0,0.0004451963315822427,-0.006707624729172246,-0.01961831834505684,-0.030955984922684254,-0.002433739945982838,-2.9679755438827282e-05,-0.001276229483869018,-0.00017807853263290818,-0.005431395245303172,-0.00032647730982693357,-0.0006529546196539227,0.001602706793696007,-0.0005935951087763236,0.0,-0.0002671177989493345,-0.00017807853263290818,0.0,-0.0010091116849196835,-0.009497521740420845,2.9679755438827282e-05,0.0,-0.0004155165761434154,-0.007805775680408411,-0.009823999050247834,-0.001216869972991419,0.0005045558424598418,0.0,0.0,-0.0014839877719407535
