,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,0.0004451963315821872,-0.0049268394028433304,-0.0026711779894934007,0.00958656100673727,-0.0017214258154513162,-0.00011871902175530913,-0.0011871902175526472,-0.001009111684919739,0.01368236725729377,-0.0001483987771940809,-0.0067669842400499,-0.003769328940729566,-0.0005045558424598973,-0.0006826343750927499,0.005846911821446588,-0.00038583682070464365,-0.0016620663045736617,-0.006648265218294647,-0.005876591576885415,0.0,-0.005668833288813735,-0.005134597690915066,0.005164277446353838,0.00023743804351050724,-0.03790104769536701,0.0065295461965393375,-5.9359510877654564e-05,0.0034428516309025214,-0.006618585462855819,5.935951087759905e-05,2.967975543877177e-05,0.0,0.0016323865491348344,0.004125486005995271,2.967975543877177e-05,0.0,0.0,-0.0017214258154513162,-0.0022556614133499853,0.004244205027750525,0.006885703261805098,0.00017807853263285267,0.0,-0.0001483987771940809,-0.0005045558424598973,0.0011575104621137644,5.935951087759905e-05,-0.00017807853263290818,0.00011871902175525362,0.0,0.0,2.967975543877177e-05,0.0002671177989493345,0.0,0.00011871902175525362,0.002789897011248599,0.0,-5.9359510877654564e-05,0.0,-0.0021072626361559044,-0.0008013533968480591,-0.0001483987771940809,2.967975543877177e-05,-5.9359510877654564e-05,0.00017807853263285267,0.00011871902175525362
Decis eval Iter 1,0.00023743804351050724,-0.005015878669159812,-0.0027898970112486543,0.011545424865699094,-0.001543347282818408,0.0,-0.0012465497284302463,-0.0008903926631644854,0.012524856795180006,-0.00017807853263290818,-0.007627697147775503,-0.004837800136526904,-0.0005342355978987245,-0.0005639153533374963,0.005698513044252507,0.0,-0.0019588638589618235,-0.005639153533374908,-0.006410827174784084,0.0,-0.005342355978986746,-0.004630041848455169,0.004719081114771595,-2.9679755438827282e-05,-0.03819784524975517,0.00786513519128601,-0.00011871902175530913,0.003413171875463694,-0.006321787908467658,8.903926631642634e-05,8.903926631642634e-05,0.0,0.0010387914403585108,0.003858368207045937,5.935951087759905e-05,0.0,0.0,-0.0019588638589618235,-0.0023150209242275843,0.004600362093016341,0.005461075000741944,0.00011871902175525362,0.0,-0.0002967975543881618,-0.00038583682070464365,0.0010091116849196835,0.00023743804351050724,-0.00020775828807173546,5.935951087759905e-05,0.0001483987771940254,0.0,5.935951087759905e-05,8.903926631642634e-05,0.0,5.935951087759905e-05,0.0022259816579111025,0.0,-5.9359510877654564e-05,0.0,-0.0017214258154513162,-0.0007419938859704045,-0.0001483987771940809,0.0001483987771940254,0.00011871902175525362,0.00020775828807167995,0.00011871902175525362
Decis eval Iter 2,0.0006232748642150954,-0.004600362093016397,-0.0016027067936960626,0.011159588044994506,-0.00115751046211382,0.00020775828807167995,-0.0016027067936960626,-0.0005045558424598973,0.011307986822188532,0.00011871902175525362,-0.006381147419345312,-0.004422283560383489,-0.00026711779894939003,-0.0004451963315822427,0.004926839402843275,0.00023743804351050724,-0.0018401448372065698,-0.0057875523105689886,-0.005579794022497253,0.0,-0.004956519158282158,-0.004155165761434154,0.005431395245303172,0.00032647730982693357,-0.036417059923426254,0.005757872555130106,-8.903926631648185e-05,0.0029976552993203343,-0.004362924049505834,0.00011871902175525362,0.0001483987771940254,0.0,0.0029086160330038524,0.004897159647404503,0.0,0.0,0.0,-0.0018698245926453971,-0.002225981657911158,0.004897159647404503,0.0059953105986406685,0.00011871902175525362,0.0,-0.0001483987771940809,-0.0008310331522868308,0.001068471195797338,8.903926631642634e-05,-0.0002967975543881618,5.935951087759905e-05,-0.00011871902175530913,0.0,0.0,0.00020775828807167995,0.0,0.00011871902175525362,0.002582138723176919,0.0,-0.00011871902175530913,0.0,-0.0014543080165019817,-0.0010684711957973936,5.935951087759905e-05,0.00011871902175525362,2.967975543877177e-05,0.00011871902175525362,0.0001483987771940254
Decis eval Iter 3,0.00047487608702101447,-0.0047784406256492495,-0.003769328940729566,0.011129908289555679,-0.0019885436144006507,0.00038583682070458813,-0.0012762294838690735,-0.00017807853263290818,0.013059092393078675,0.0,-0.00834001127830708,-0.005342355978986746,-0.0006232748642151509,-0.001009111684919739,0.004541002582138687,0.0001483987771940254,-0.002225981657911158,-0.007330899593387397,-0.005757872555130161,0.0,-0.0054017154898644,-0.004006766984240073,0.0055204345116195985,0.00023743804351050724,-0.03407235924375984,0.006677944973733363,-5.9359510877654564e-05,0.0032350933428308415,-0.0059953105986406685,0.0002671177989493345,0.00017807853263285267,0.0,0.0013949485056242716,0.004066126495117672,2.967975543877177e-05,2.967975543877177e-05,0.0,-0.0021963019024723307,-0.0023447006796664116,0.003561570652657775,0.006470186685661683,5.935951087759905e-05,0.0,-0.0001483987771940809,-0.0004155165761434154,0.0009497521740420845,0.0002967975543881063,-0.00020775828807173546,5.935951087759905e-05,-0.0001483987771940809,0.0,-2.9679755438827282e-05,2.967975543877177e-05,0.0,0.0001483987771940254,0.002285341168788757,0.0,-2.9679755438827282e-05,0.0,-0.002374380435105239,-0.0013652687501854999,8.903926631642634e-05,0.00017807853263285267,0.0,5.935951087759905e-05,0.0001483987771940254
Decis eval Iter 4,2.967975543877177e-05,-0.004659721603893996,-0.004273884783189408,0.011397026088505013,-0.0022556614133499853,0.0,-0.0012465497284302463,-0.0015136675273795808,0.012435817528863524,0.0001483987771940254,-0.007093461549876834,-0.004155165761434154,-0.00038583682070464365,-0.0008903926631644854,0.005461075000741944,-0.00035615706526581636,-0.0015730270382572353,-0.006588905707416992,-0.005876591576885415,0.0,-0.0059953105986406685,-0.005134597690915066,0.004422283560383433,0.00032647730982693357,-0.03659513845605916,0.005698513044252507,-5.9359510877654564e-05,0.0024634197014216097,-0.0066779449737334184,0.00020775828807167995,2.967975543877177e-05,0.0,0.0009200724186032572,0.003709969429851856,5.935951087759905e-05,0.0,0.0,-0.0018104650817677426,-0.002166622147033559,0.004155165761434099,0.005550114267058426,0.0001483987771940254,0.0,-0.0002967975543881618,-0.0004451963315822427,0.0005045558424598418,5.935951087759905e-05,-0.00026711779894939003,2.967975543877177e-05,-0.00011871902175530913,0.0,-5.9359510877654564e-05,0.00011871902175525362,0.0,0.00011871902175525362,0.0023150209242275843,0.0,-2.9679755438827282e-05,0.0,-0.0018401448372065698,-0.0010387914403585663,2.967975543877177e-05,5.935951087759905e-05,-5.9359510877654564e-05,0.00020775828807167995,0.00011871902175525362
Decis eval Iter 5,0.0004451963315821872,-0.005075238180037411,-0.0036506099189743124,0.010506633425340528,-0.0017214258154513162,0.00017807853263285267,-0.0013949485056243272,-0.0007716736414092318,0.011456385599382612,5.935951087759905e-05,-0.006707624729172246,-0.004837800136526904,-0.0002967975543881618,-0.0005045558424598973,0.006232748642151176,0.00035615706526576085,-0.0016620663045736617,-0.00629210815302883,-0.005490754756180827,0.0,-0.004808120381088077,-0.005817232066007816,0.005490754756180771,0.00011871902175525362,-0.03365684266761643,0.008725848099011613,-8.903926631648185e-05,0.0032647730982696688,-0.006024990354079496,0.00011871902175525362,8.903926631642634e-05,0.0,-0.0007419938859704045,0.0038286884516071096,5.935951087759905e-05,0.0,0.0,-0.00252277921229932,-0.0021963019024723307,0.004036446739678845,0.006559225951978109,0.00017807853263285267,0.0,-0.00020775828807173546,-0.00035615706526581636,0.0006232748642150954,0.00011871902175525362,-2.9679755438827282e-05,0.00011871902175525362,0.00017807853263285267,0.0,0.0,0.0001483987771940254,0.0,0.0,0.0019885436144005952,0.0,-2.9679755438827282e-05,0.0,-0.0019885436144006507,-0.0012168699729914745,8.903926631642634e-05,5.935951087759905e-05,-5.9359510877654564e-05,5.935951087759905e-05,0.0001483987771940254
Decis eval Iter 6,0.0008310331522867753,-0.005223636957231492,-0.003057014810197989,0.011040869023239197,-0.0017214258154513162,-0.00017807853263290818,-0.0011871902175526472,-0.0009497521740420845,0.011782862909209602,0.0,-0.005906271332324242,-0.00457068233757757,-0.0005045558424598973,-0.0007419938859704045,0.005431395245303172,-0.0004155165761434154,-0.0021369423915947316,-0.005757872555130161,-0.005846911821446643,0.0,-0.006114029620395978,-0.005579794022497253,0.00581723206600776,0.00020775828807167995,-0.03715905380939666,0.007301219837948514,-2.9679755438827282e-05,0.0030570148101979333,-0.005757872555130161,0.00011871902175525362,0.00011871902175525362,0.0,0.0019291841035229407,0.0037396491852906832,8.903926631642634e-05,0.0,0.0,-0.002018223369839478,-0.0024337399459828934,0.00465972160389394,0.007330899593387341,0.00023743804351050724,0.0,-0.0001483987771940809,-0.0006529546196539782,0.0009794319294808562,0.00011871902175525362,-0.0003264773098269891,2.967975543877177e-05,0.0001483987771940254,0.0,0.0,0.0002671177989493345,0.0,2.967975543877177e-05,0.002136942391594676,0.0,-2.9679755438827282e-05,0.0,-0.0021369423915947316,-0.0006529546196539782,-0.00011871902175530913,2.967975543877177e-05,0.00011871902175525362,0.00020775828807167995,0.0001483987771940254
Decis eval Iter 7,0.00032647730982693357,-0.005045558424598584,-0.00252277921229932,0.010862790490606344,-0.0013652687501854999,-5.9359510877654564e-05,-0.0012168699729914745,-0.00035615706526581636,0.012435817528863524,0.0005045558424598418,-0.006262428397590003,-0.003057014810197989,-0.0005639153533374963,-0.0006826343750927499,0.005846911821446588,0.0011871902175525917,-0.00115751046211382,-0.006796663995488728,-0.005312676223547919,0.0,-0.003947407473362419,-0.0040958062505565,0.005253316712670264,0.00017807853263285267,-0.03454723533078091,0.005965630843201841,0.0,0.0029086160330038524,-0.006143709375834749,5.935951087759905e-05,2.967975543877177e-05,0.0,0.000741993885970349,0.003561570652657775,2.967975543877177e-05,0.0,0.0,-0.002374380435105239,-0.0023447006796664116,0.003650609918974257,0.007123141305315606,0.00011871902175525362,0.0,-0.0001483987771940809,-0.0005639153533374963,0.0013059092393078453,0.00020775828807167995,-0.00026711779894939003,8.903926631642634e-05,-5.9359510877654564e-05,0.0,-8.903926631648185e-05,0.00032647730982693357,0.0,5.935951087759905e-05,0.002433739945982838,0.0,-8.903926631648185e-05,0.0,-0.0017214258154513162,-0.0009497521740420845,-8.903926631648185e-05,-8.903926631648185e-05,0.0,0.00023743804351050724,0.0001483987771940254
Decis eval Iter 8,5.935951087759905e-05,-0.004392603804944661,-0.001691746060012489,0.009942718072003087,-0.0018401448372065698,-0.00023743804351056275,-0.0012465497284302463,-0.0008310331522868308,0.012079660463597763,0.0006232748642150954,-0.006588905707416992,-0.003680289674413084,-0.0006529546196539782,-0.0006529546196539782,0.004214525272311753,0.0006826343750927499,-0.0017511055708901435,-0.005846911821446643,-0.006707624729172246,0.0,-0.004541002582138742,-0.0040364467396789006,0.005550114267058426,0.0002967975543881063,-0.03647641943430391,0.006410827174784028,-0.0001483987771940809,0.002967975543881507,-0.005579794022497253,8.903926631642634e-05,0.0001483987771940254,0.0,0.0006529546196539227,0.0035318908972190033,8.903926631642634e-05,0.0,0.0,-0.0021369423915947316,-0.002404060190544066,0.003709969429851856,0.005965630843201841,5.935951087759905e-05,0.0,-0.00020775828807173546,-0.00038583682070464365,0.0008013533968480036,0.00023743804351050724,-0.00017807853263290818,0.00011871902175525362,-8.903926631648185e-05,0.0,0.0,0.0002671177989493345,0.0,2.967975543877177e-05,0.002285341168788757,0.0,-2.9679755438827282e-05,0.0,-0.0018104650817677426,-0.0011871902175526472,-0.00017807853263290818,2.967975543877177e-05,-5.9359510877654564e-05,0.00023743804351050724,0.0001483987771940254
Decis eval Iter 9,-0.00011871902175530913,-0.005193957201792665,-0.0018995043480842244,0.010328554892707675,-0.0021369423915947316,-0.00017807853263290818,-0.0012465497284302463,-0.0008013533968480591,0.01299973288220102,0.0002671177989493345,-0.006321787908467658,-0.004303564538628235,-0.0002967975543881618,-0.001009111684919739,0.005639153533374852,0.00035615706526576085,-0.002552458967738147,-0.00697474252812158,-0.006024990354079496,0.0,-0.004986198913720985,-0.004451963315822316,0.005698513044252507,8.903926631642634e-05,-0.034369156798148004,0.006559225951978109,-0.00011871902175530913,0.003027335054759106,-0.006915383017243981,0.00011871902175525362,0.00017807853263285267,0.0,0.0029086160330038524,0.003502211141780176,0.0,0.0,0.0,-0.002404060190544066,-0.002225981657911158,0.0034428516309025214,0.007568337636897848,0.00017807853263285267,0.0,0.0,-0.00035615706526581636,0.0007716736414091763,0.0002967975543881063,-8.903926631648185e-05,2.967975543877177e-05,2.967975543877177e-05,0.0,0.0,5.935951087759905e-05,0.0,8.903926631642634e-05,0.0027305375003709442,0.0,-2.9679755438827282e-05,0.0,-0.0011278307066749926,-0.0008903926631644854,0.0,-5.9359510877654564e-05,-5.9359510877654564e-05,0.00011871902175525362,0.00011871902175525362
