,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,0.0,0.01757041521977859,0.0005045558424598418,5.935951087759905e-05,0.0002671177989493345,0.0,-8.903926631642634e-05,0.0,0.0,0.0,0.09304603330068559,0.00047487608702101447,0.0010387914403585108,0.02059775027453775,0.0,0.0,5.935951087759905e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0007123141305315772,0.000741993885970349,-0.0003264773098269891,0.0024930994568604925,0.0002671177989493345,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.007419938859703767,0.0481405633217582,0.07363547324370046,0.0,0.0,0.0,2.9679755438827282e-05,-2.9679755438827282e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009200724186032572,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 1,0.0,0.015017956252040499,0.0005935951087763236,2.9679755438827282e-05,0.00020775828807167995,0.0,-2.9679755438827282e-05,0.0,0.0,0.0,0.0920666013712047,0.00047487608702101447,0.001899504348084169,0.021221025138752847,0.0,0.0,2.9679755438827282e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.00047487608702101447,0.0006826343750927499,0.0009794319294809117,0.004748760870210422,0.0001483987771940809,0.0,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.0,0.0,0.0,0.0,0.0,0.007390259104264996,0.04603330068560235,0.07369483275457808,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009497521740420845,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 2,0.0,0.01688778084468584,0.0005639153533374963,2.9679755438827282e-05,0.00017807853263290818,0.0,-5.9359510877654564e-05,0.0,0.0,0.0,0.09283827501261388,0.0005045558424598418,0.0020182233698394225,0.02181462024752917,0.0,0.00020775828807167995,5.935951087759905e-05,8.903926631642634e-05,0.0,0.0,0.0,0.0,-0.00017807853263290818,0.000741993885970349,0.0005045558424598418,0.0021666221470335034,0.00038583682070458813,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.007360579348826168,0.046508176772623366,0.07238892351527024,0.0,0.0,0.0,2.9679755438827282e-05,5.935951087759905e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0009497521740420845,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 3,0.0,0.015552191849939168,0.00047487608702101447,0.0,0.0001483987771940809,0.0,0.0,0.0,0.0,0.0,0.09408482474104413,0.00038583682070458813,0.0018104650817677426,0.021458463182263354,0.0,-5.9359510877654564e-05,5.935951087759905e-05,5.935951087759905e-05,0.0,0.0,0.0,0.0,0.00020775828807167995,0.000741993885970349,0.001602706793696007,0.003324132609147268,-8.903926631642634e-05,0.0,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.007479298370581422,0.047665687234737186,0.07387291128721099,0.0,0.0,0.0,2.9679755438827282e-05,-8.903926631642634e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009497521740420845,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 4,2.9679755438827282e-05,0.017896892529605524,0.0006529546196539227,5.935951087759905e-05,0.00020775828807167995,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.091858843083133,0.0004451963315822427,0.003146054076514415,0.021844300002967942,0.0,-2.9679755438827282e-05,5.935951087759905e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.00020775828807167995,0.000741993885970349,-0.00020775828807173546,0.004719081114771595,0.00032647730982693357,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,-2.9679755438827282e-05,0.007330899593387341,0.04692369334876678,0.07514914077108004,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009200724186032572,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0
Linea eval Iter 5,0.0,0.01771881399697267,0.0006232748642150954,5.935951087759905e-05,0.00023743804351050724,0.0,8.903926631642634e-05,0.0,0.0,0.0,0.09340219036595138,0.00047487608702101447,0.0013355889947466726,0.019915115899445,0.0,2.9679755438827282e-05,8.903926631642634e-05,0.00011871902175525362,0.0,0.0,2.9679755438827282e-05,0.0,0.0004451963315822427,0.0007123141305315772,0.0005935951087763236,0.008221292256551826,0.0005639153533374963,0.0,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.007508978126020249,0.04828896209895228,0.07241860327070904,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008903926631644299,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0
Linea eval Iter 6,0.0,0.017451696198023336,0.000534235597898669,2.9679755438827282e-05,0.00020775828807167995,0.0,0.0,0.0,0.0,0.0,0.09242275843647046,0.0004155165761434154,0.0012762294838690735,0.02098358709524234,0.0,0.0,8.903926631642634e-05,0.00011871902175525362,2.9679755438827282e-05,0.0,0.0,0.0,0.0006529546196539227,0.0007123141305315772,-0.0007123141305315772,0.0043035645386281796,0.0,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.007360579348826168,0.047725046745614785,0.07319027691211824,0.0,0.0,0.0,2.9679755438827282e-05,-8.903926631642634e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008607129077256581,0.0,5.935951087759905e-05,0.0,0.0,0.0,0.0
Linea eval Iter 7,0.0,0.014869557474846418,0.000534235597898669,2.9679755438827282e-05,0.0001483987771940809,2.9679755438827282e-05,0.0,0.0,0.0,0.0,0.0940254652301665,0.00038583682070458813,0.00023743804351050724,0.02172558098121269,0.0,-8.903926631642634e-05,8.903926631642634e-05,8.903926631642634e-05,0.0,0.0,0.0,0.0,0.0007123141305315772,0.0007123141305315772,0.0038583682070459924,0.0037396491852906832,0.0001483987771940809,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.007449618615142595,0.04644881726174577,0.074674264684059,0.0,0.0,0.0,0.0,-5.9359510877654564e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009497521740420845,0.0,-2.9679755438827282e-05,2.9679755438827282e-05,0.0,0.0,0.0
Linea eval Iter 8,0.0,0.017837533018727925,0.0006529546196539227,5.935951087759905e-05,0.0001483987771940809,0.0,-2.9679755438827282e-05,0.0,0.0,0.0,0.09340219036595138,0.0004451963315822427,0.0010981509512361654,0.02309084973139819,0.0,0.00011871902175525362,8.903926631642634e-05,0.0001483987771940809,0.0,0.0,0.0,0.0,0.0002671177989493345,0.0007123141305315772,0.0011278307066749926,0.003442851630902577,0.00020775828807167995,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.007390259104264996,0.048734158430534524,0.07452586590686491,0.0,0.0,0.0,0.0,-5.9359510877654564e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009200724186032572,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 9,0.0,0.01483987771940759,0.0006529546196539227,0.0,0.00023743804351050724,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.09274923574629745,0.0004451963315822427,0.003799008696168338,0.021399103671385755,0.0,0.00011871902175525362,5.935951087759905e-05,0.00011871902175525362,0.0,0.0,2.9679755438827282e-05,0.0,0.0006529546196539227,0.000741993885970349,0.0006232748642150954,0.003353812364586095,0.00023743804351050724,0.0,0.0,0.0,0.0,0.0,2.9679755438827282e-05,0.0,0.0,0.0,0.0,5.935951087759905e-05,0.007360579348826168,0.04742824919122668,0.07455554566230374,0.0,0.0,0.0,2.9679755438827282e-05,-2.9679755438827282e-05,0.00011871902175525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009200724186032572,0.0,-2.9679755438827282e-05,0.0,0.0,0.0,0.0
