,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl eval Iter 0,-0.002136942391594676,-0.07909654824444246,-0.0072121805716320875,0.006084349864957095,-0.004362924049505834,-0.00020775828807173546,-0.011812542664648429,-0.00017807853263290818,-0.0005639153533374963,-0.001216869972991419,-0.060843498649571115,-0.0877333570771377,-0.0009497521740420845,-0.0008013533968480036,0.00563915353337488,-0.02475291603597185,-0.0024634197014216652,0.008429050544623506,-0.021428783426824582,0.0,-0.014127563588876013,-0.002582138723176919,0.002671177989493345,0.0008310331522868308,-0.004422283560383489,-0.010625352447095837,-0.0016620663045736617,0.0001483987771940809,0.0,-0.0005045558424598418,-0.0008607129077256581,0.0,-0.009853678805686661,-0.0007716736414092318,2.9679755438827282e-05,2.9679755438827282e-05,0.00011871902175525362,0.0013059092393078453,0.006648265218294591,0.005312676223547919,-0.0005639153533374963,-8.903926631648185e-05,0.002641498234054518,-0.00035615706526581636,0.0018104650817677426,-0.0011871902175525917,-0.0001483987771940809,0.00020775828807167995,0.00017807853263290818,0.0,0.0,0.00011871902175525362,-0.001068471195797338,0.0,0.001276229483869018,0.000741993885970349,8.903926631642634e-05,5.935951087759905e-05,-0.0013059092393079008,0.0022556614133499298,-0.004748760870210422,-0.0019291841035229962,-0.003146054076514415,-0.0004155165761434154,-0.00011871902175525362,-0.0047784406256492495
MLPCl eval Iter 1,-0.0018104650817677426,-0.07814679607040037,-0.007241860327070915,0.005668833288813679,-0.004422283560383489,-8.903926631648185e-05,-0.012317098507108326,-0.001009111684919739,-0.000534235597898669,-0.0018104650817677426,-0.06303980055204345,-0.08589321223993113,-0.0007716736414092318,-0.0009497521740420845,0.004719081114771595,-0.02472323628053308,-0.0040958062505565,0.009349122963226764,-0.020864868073487086,0.0,-0.014543080165019429,-0.0032647730982696688,0.0019885436144005952,0.00035615706526576085,-0.004541002582138742,-0.010922150001483999,-0.002374380435105239,0.00011871902175525362,0.0,-0.00047487608702107,-0.0004155165761434154,0.0,-0.010981509512361654,-0.0009497521740420845,2.9679755438827282e-05,2.9679755438827282e-05,-8.903926631648185e-05,0.0009497521740420845,0.00632178790846763,0.006084349864957095,-0.0007123141305315772,0.0,0.002760217255809827,-0.0004155165761434154,0.002107262636155849,-0.00035615706526581636,-0.0002671177989493345,0.0001483987771940809,8.903926631642634e-05,-2.9679755438827282e-05,0.0,0.000534235597898669,-0.0007123141305315772,0.0,0.0013059092393078453,0.0006529546196539227,-5.9359510877654564e-05,-2.9679755438827282e-05,-0.00047487608702107,0.0021963019024723307,-0.004006766984240073,-0.0023150209242275843,-0.002819576766687426,0.00017807853263290818,0.00032647730982693357,-0.004184845516872926
MLPCl eval Iter 2,-0.0015730270382572353,-0.0824503606090286,-0.007330899593387341,0.008191612501112971,-0.004630041848455169,-8.903926631648185e-05,-0.01175318315377083,-0.001602706793696007,2.9679755438827282e-05,-0.0010387914403585663,-0.059478229899385615,-0.08529961713115486,-0.00115751046211382,-0.0009497521740420845,0.0036209301635354296,-0.02605882527527975,-0.0037396491852907388,0.009082005164277429,-0.016620663045736506,0.0,-0.014780518208529991,-0.0014839877719407535,0.002611818478615746,0.00035615706526576085,-0.005075238180037411,-0.010655032202534664,-0.0019885436144006507,0.00011871902175525362,0.0,-0.00038583682070458813,-0.0007123141305315772,0.0,-0.010565992936218238,-0.0007123141305315772,2.9679755438827282e-05,5.935951087759905e-05,0.0,0.0010981509512361654,0.006410827174784056,0.005490754756180799,-0.0006529546196539227,-5.9359510877654564e-05,0.0022259816579111025,0.0,0.001958863858961768,0.0002671177989493345,-0.0001483987771940809,0.00035615706526576085,5.935951087759905e-05,-2.9679755438827282e-05,0.0,0.00038583682070458813,-0.0009497521740420845,0.0,0.0015730270382571798,0.0007716736414091763,2.9679755438827282e-05,-2.9679755438827282e-05,-0.0009497521740420845,0.0027305375003709997,-0.004897159647404503,-0.0023447006796664116,-0.003116374321075588,-0.00038583682070458813,-2.9679755438827282e-05,-0.004837800136526904
MLPCl eval Iter 3,-0.0018698245926453416,-0.07995726115216811,-0.007479298370581422,0.006796663995488672,-0.005312676223547919,-0.0004155165761434154,-0.011575104621137922,-0.00017807853263290818,-0.000534235597898669,-0.0016323865491348344,-0.05766776481761793,-0.08497313982132787,-0.001068471195797338,-0.001068471195797338,0.0037099694298519115,-0.024604517258777825,-0.003680289674413084,0.009883358561125433,-0.020182233698394336,0.0,-0.014275962366070094,-0.0023150209242275843,0.0030866945656367606,0.0006232748642150954,-0.004481643071261088,-0.010150476360074823,-0.0017214258154513162,0.00011871902175525362,0.0,-0.0012762294838690735,-0.000534235597898669,0.0,-0.010002077582880742,-0.0006232748642151509,8.903926631642634e-05,5.935951087759905e-05,8.903926631642634e-05,0.0006232748642150954,0.006945062772682753,0.005520434511619626,-0.0005935951087763236,-8.903926631648185e-05,0.0025524589677380916,0.000534235597898669,0.00204790312527825,-0.0010981509512361654,-0.0002671177989493345,2.9679755438827282e-05,0.00032647730982693357,-2.9679755438827282e-05,0.0,0.00017807853263290818,-0.0010981509512361654,0.0,0.0016323865491348344,0.0006826343750927499,-2.9679755438827282e-05,-5.9359510877654564e-05,-0.0011278307066749926,0.0023150209242275843,-0.003769328940729566,-0.0023150209242275843,-0.002819576766687426,-0.0006232748642151509,0.00047487608702101447,-0.004659721603893996
MLPCl eval Iter 4,-0.0021072626361559044,-0.08559641468554302,-0.0070044222835604075,0.004659721603893968,-0.0049268394028433304,-0.00020775828807173546,-0.011159588044994506,-0.00115751046211382,-0.00047487608702107,-0.0013652687501854999,-0.05636185557831003,-0.08325171400587661,-0.0012762294838690735,-0.0013652687501854999,0.005282996468109091,-0.026177544297035005,-0.0030273350547591615,0.008340011278307052,-0.020657109785415406,0.0,-0.014869557474846418,-0.0038880479624848197,0.0024930994568604925,0.0007716736414091763,-0.004066126495117672,-0.010417594159024157,-0.001602706793696007,5.935951087759905e-05,0.0,-0.0006529546196539227,-0.00011871902175525362,0.0,-0.010031757338319569,-0.0006232748642151509,2.9679755438827282e-05,0.0,-2.9679755438827282e-05,0.0011871902175525917,0.007034102038999179,0.0057578725551301335,-0.0008607129077256581,-8.903926631648185e-05,0.002582138723176919,-2.9679755438827282e-05,0.001958863858961768,-0.0012762294838690735,-0.0002671177989493345,0.0002967975543881618,0.0004451963315822427,-5.9359510877654564e-05,0.0,0.0005045558424598418,-0.0013652687501854999,0.0,0.0014839877719407535,0.0007123141305315772,0.0001483987771940809,-5.9359510877654564e-05,-0.0007716736414092318,0.0024634197014216652,-0.0040364467396789006,-0.0023447006796664116,-0.003086694565636816,-0.0008903926631644854,0.00035615706526576085,-0.005015878669159757
MLPCl eval Iter 5,-0.0009497521740420845,-0.07936366604339179,-0.007508978126020249,0.008577449321817587,-0.00608434986495715,-0.00035615706526581636,-0.011693823642893175,-0.0011278307066749926,-0.00035615706526581636,-0.0008013533968480036,-0.05953758941026327,-0.08506217908764435,-0.001216869972991419,-0.0011278307066749926,0.00495651915828213,-0.026889858427566582,-0.003146054076514415,0.01077375122428989,-0.019974475410322656,0.0,-0.014335321876947749,-0.002136942391594676,0.0025227792122992643,0.00035615706526576085,-0.004600362093016341,-0.010239515626391249,-0.0013949485056243272,8.903926631642634e-05,0.0,-0.0006826343750927499,-0.0005935951087763236,0.0,-0.010150476360074823,-0.0008607129077256581,2.9679755438827282e-05,2.9679755438827282e-05,-0.0001483987771940809,0.0009200724186032572,0.006766984240049845,0.00581723206600776,-0.0009200724186032572,-5.9359510877654564e-05,0.0028492565221262534,0.00020775828807167995,0.0016917460600124334,-0.0016620663045736617,-0.00023743804351050724,0.00038583682070458813,0.0005639153533374963,-2.9679755438827282e-05,0.0,-0.0002671177989493345,-0.0010981509512361654,0.0,0.001424628261063099,0.0004155165761434154,5.935951087759905e-05,-5.9359510877654564e-05,-0.0008607129077256581,0.0027305375003709997,-0.004273884783189408,-0.0025524589677380916,-0.002404060190544066,-0.0004155165761434154,0.00023743804351050724,-0.00513459769091501
MLPCl eval Iter 6,-0.001543347282818408,-0.07865135191286027,-0.007924494702163665,0.005461075000741972,-0.004986198913720985,-0.00020775828807173546,-0.01127830706674976,0.00011871902175525362,-0.0009497521740420845,-0.0014839877719407535,-0.05983438696465143,-0.08805983438696469,-0.0014839877719407535,-0.0009497521740420845,0.0065295461965393375,-0.026504021606861994,-0.002374380435105239,0.009319443207787964,-0.020330632475588417,0.0,-0.014661799186774738,-0.003947407473362419,0.0030570148101979333,0.00038583682070458813,-0.004837800136526904,-0.010922150001483999,-0.0015730270382572353,8.903926631642634e-05,0.0,-0.0009200724186032572,-0.000534235597898669,0.0,-0.01038791440358533,-0.0009200724186032572,0.0,2.9679755438827282e-05,2.9679755438827282e-05,0.0010981509512361654,0.00718250081619326,0.005075238180037384,-0.00038583682070458813,-8.903926631648185e-05,0.002077582880717077,-0.0004155165761434154,0.001602706793696007,-0.0013949485056243272,2.9679755438827282e-05,0.0004155165761434154,0.0006529546196539227,-2.9679755438827282e-05,0.0,0.0004155165761434154,-0.00020775828807173546,0.0,0.0014839877719407535,0.0007123141305315772,0.0,0.0,-0.00038583682070458813,0.0018698245926453416,-0.0054017154898644,-0.0019885436144006507,-0.002611818478615746,-0.000534235597898669,0.00032647730982693357,-0.004006766984240073
MLPCl eval Iter 7,-0.0019291841035229962,-0.0803430979728727,-0.006648265218294591,0.007776095924969556,-0.004362924049505834,-0.00020775828807173546,-0.011515745110260323,-0.0013652687501854999,5.935951087759905e-05,-0.0010981509512361654,-0.05372035734425551,-0.08488410055501144,-0.0012465497284302463,-0.0009497521740420845,0.004659721603893968,-0.026177544297035005,-0.003116374321075588,0.00973495978393138,-0.019202801768913424,0.0,-0.014958596741162844,-0.0033538123645861506,0.002819576766687426,0.00011871902175525362,-0.004837800136526904,-0.011100228534116907,-0.002136942391594676,5.935951087759905e-05,-2.9679755438827282e-05,-0.0012762294838690735,-0.0008013533968480036,0.0,-0.009675600273053753,-0.0010387914403585663,2.9679755438827282e-05,0.0,-8.903926631648185e-05,0.0014543080165019262,0.00632178790846763,0.005342355978986718,-0.0013355889947466726,0.0,0.0024930994568604925,0.0,0.0015136675273795808,-0.0013355889947466726,-0.0005639153533374963,0.00032647730982693357,0.00017807853263290818,-2.9679755438827282e-05,0.0,-0.0005045558424598418,-0.001068471195797338,0.0,0.001276229483869018,0.0010387914403585108,5.935951087759905e-05,2.9679755438827282e-05,-0.0005935951087763236,0.0024930994568604925,-0.003502211141780176,-0.0019588638589618235,-0.002404060190544066,-0.0002967975543881618,-0.0001483987771940809,-0.0047784406256492495
MLPCl eval Iter 8,-0.0015730270382572353,-0.08016501944023985,-0.008221292256551826,0.005846911821446588,-0.004333244294067007,-0.0002967975543881618,-0.012049980708158992,-0.00115751046211382,-0.0005639153533374963,-0.0005935951087763236,-0.06209004837800136,-0.08506217908764435,-0.0011278307066749926,-0.0010981509512361654,0.004333244294067007,-0.025732347965452762,-0.003294452853708496,0.010476953669901756,-0.018371768616626594,0.0,-0.015759950138010848,-0.002582138723176919,0.0022556614133499298,0.0008013533968480036,-0.005698513044252507,-0.010684711957973492,-0.001543347282818408,0.00011871902175525362,0.0,-0.0007716736414092318,-0.0007123141305315772,0.0,-0.01059567269165701,-0.0008607129077256581,2.9679755438827282e-05,2.9679755438827282e-05,-5.9359510877654564e-05,0.0009200724186032572,0.0065295461965393375,0.005579794022497253,-0.0010981509512361654,-2.9679755438827282e-05,0.0022556614133499298,-5.9359510877654564e-05,0.001958863858961768,-0.0010387914403585663,-0.0001483987771940809,-5.9359510877654564e-05,0.0004155165761434154,-2.9679755438827282e-05,0.0,-0.00017807853263290818,-0.00023743804351050724,0.0,0.0013652687501854999,0.0008903926631644299,8.903926631642634e-05,0.0,-0.0013355889947466726,0.0025227792122992643,-0.0033834921200249224,-0.002611818478615746,-0.003146054076514415,-0.00011871902175525362,0.00011871902175525362,-0.005728192799691334
MLPCl eval Iter 9,-0.0009794319294809117,-0.0810850918588431,-0.00697474252812158,0.006024990354079468,-0.005876591576885415,-8.903926631648185e-05,-0.011634464132015576,-0.0006826343750927499,-0.0009794319294809117,-0.0013059092393079008,-0.06327723859555401,-0.08613065028344169,-0.0015730270382572353,-0.0008310331522868308,0.004095806250556472,-0.025880746742646843,-0.0037396491852907388,0.008814887365328095,-0.015433472828183914,0.0,-0.013830766034487907,-0.0018104650817677426,0.0032350933428308415,0.0006232748642150954,-0.0047190811147716505,-0.01059567269165701,-0.0018401448372065698,0.0001483987771940809,0.0,-0.00115751046211382,-0.0007716736414092318,0.0,-0.010684711957973492,-0.0005935951087763236,5.935951087759905e-05,2.9679755438827282e-05,-2.9679755438827282e-05,0.0004155165761434154,0.006054670109518295,0.005846911821446588,-0.0010981509512361654,-0.00011871902175525362,0.0023150209242275843,0.0002967975543881618,0.001751105570890088,-0.0009794319294809117,0.0,-0.0002671177989493345,0.0004155165761434154,-5.9359510877654564e-05,0.0,0.00023743804351050724,-0.001216869972991419,0.0,0.0013652687501854999,0.000741993885970349,2.9679755438827282e-05,0.0,-0.00115751046211382,0.0029382957884426797,-0.0040958062505565,-0.0027898970112486543,-0.0028789362775650806,-0.000534235597898669,-0.0002967975543881618,-0.005164277446353838
