,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando eval Iter 0,-8.903926631648185e-05,0.00047487608702101447,0.004066126495117672,0.00204790312527825,0.0030866945656367606,-0.00020775828807173546,-0.0002671177989493345,0.0014839877719407535,0.0055204345116195985,0.00047487608702101447,0.0016917460600124334,0.003294452853708496,0.0007716736414091763,0.001216869972991419,0.0027305375003709997,0.0009794319294809117,0.0016917460600124334,0.0010981509512361654,0.0029086160330038524,0.0,-0.004392603804944661,0.0012465497284302463,0.004214525272311753,0.00020775828807167995,0.002760217255809827,0.0016323865491348344,0.00032647730982693357,0.0035912504080966023,0.0005045558424598418,5.935951087759905e-05,0.00032647730982693357,0.0,0.0016917460600124334,0.0002671177989493345,-2.9679755438827282e-05,2.9679755438827282e-05,0.0,0.0002671177989493345,0.00038583682070458813,0.003353812364586095,0.004541002582138687,-2.9679755438827282e-05,0.00035615706526576085,5.935951087759905e-05,0.0001483987771940809,0.0,8.903926631642634e-05,-0.00017807853263290818,0.0001483987771940809,5.935951087759905e-05,2.9679755438827282e-05,-2.9679755438827282e-05,-8.903926631648185e-05,0.0,-0.00038583682070458813,-2.9679755438827282e-05,0.0,8.903926631642634e-05,0.0,-0.0002967975543881618,0.0001483987771940809,8.903926631642634e-05,0.0002671177989493345,-2.9679755438827282e-05,0.00011871902175525362,0.0
Rando eval Iter 1,0.00011871902175525362,0.0010387914403585108,0.004066126495117672,0.001424628261063099,0.0035318908972190033,-8.903926631648185e-05,-0.00020775828807173546,0.0008013533968480036,0.006114029620395922,0.000534235597898669,0.0015730270382571798,0.0030273350547591615,0.0006232748642150954,0.0014839877719407535,0.0027008577449321725,0.0011871902175525917,0.0014543080165019262,0.0013652687501854999,0.002671177989493345,0.0,-0.003828688451607165,0.0005639153533374963,0.003888047962484764,0.00038583682070458813,0.0024930994568604925,0.001958863858961768,0.00020775828807167995,0.0035615706526578306,0.0005935951087762681,0.00023743804351050724,0.00017807853263290818,0.0,0.0020182233698394225,0.0002967975543881618,0.0,0.0,0.0,0.0,0.0004155165761434154,0.0032647730982696688,0.004184845516872926,5.935951087759905e-05,0.0001483987771940809,0.00017807853263290818,-0.00011871902175525362,-0.00020775828807173546,2.9679755438827282e-05,-0.0004155165761434154,0.0002967975543881618,-5.9359510877654564e-05,2.9679755438827282e-05,-2.9679755438827282e-05,-5.9359510877654564e-05,0.0,-8.903926631648185e-05,0.0,-2.9679755438827282e-05,5.935951087759905e-05,2.9679755438827282e-05,-0.0006826343750927499,0.00038583682070458813,0.00017807853263290818,-0.0002967975543881618,5.935951087759905e-05,8.903926631642634e-05,-0.00011871902175525362
Rando eval Iter 2,8.903926631642634e-05,0.0006826343750927499,0.003888047962484764,0.0016620663045736617,0.0029976552993203343,2.9679755438827282e-05,-5.9359510877654564e-05,0.001068471195797338,0.005876591576885415,0.00047487608702101447,0.001602706793696007,0.002760217255809827,0.0010091116849196835,0.0012465497284302463,0.0037693289407295105,0.0008013533968480036,0.0012465497284302463,0.0011871902175525917,0.0032350933428308415,0.0,-0.004006766984240073,0.0012465497284302463,0.004362924049505834,0.00017807853263290818,0.0027305375003709997,0.0016323865491348344,0.00011871902175525362,0.0035318908972190033,0.000741993885970349,0.0001483987771940809,0.00023743804351050724,0.0,0.0025524589677380916,2.9679755438827282e-05,0.0,0.0,0.0,-0.00017807853263290818,0.00047487608702101447,0.0034725313863413487,0.004392603804944661,2.9679755438827282e-05,0.00017807853263290818,0.0002967975543881618,5.935951087759905e-05,8.903926631642634e-05,0.0001483987771940809,-0.0004451963315822427,0.00017807853263290818,2.9679755438827282e-05,2.9679755438827282e-05,-2.9679755438827282e-05,0.00011871902175525362,0.0,-0.00035615706526581636,0.0001483987771940809,-2.9679755438827282e-05,0.0,0.0,-0.0008013533968480036,0.0001483987771940809,0.0,0.0,2.9679755438827282e-05,8.903926631642634e-05,0.00011871902175525362
Rando eval Iter 3,-8.903926631648185e-05,0.0004155165761434154,0.003294452853708496,0.0013949485056243272,0.0035318908972190033,-0.0003264773098269891,-0.00011871902175525362,0.0014839877719407535,0.0059953105986406685,0.00047487608702101447,0.001424628261063099,0.0032350933428308415,0.0008607129077256581,0.0012465497284302463,0.002611818478615746,0.000534235597898669,0.0016620663045736617,0.0011575104621137644,0.0030866945656367606,0.0,-0.004214525272311753,0.0013652687501854999,0.004125486005995327,0.00023743804351050724,0.0025227792122992643,0.0016620663045736617,0.0004155165761434154,0.0035318908972190033,0.0007123141305315772,2.9679755438827282e-05,0.0002671177989493345,0.0,0.0018104650817677426,0.0002671177989493345,0.0,5.935951087759905e-05,0.0,0.00020775828807167995,0.0006529546196539227,0.003116374321075588,0.004066126495117672,0.0,8.903926631642634e-05,0.00020775828807167995,0.0001483987771940809,0.0002967975543881618,0.0002671177989493345,2.9679755438827282e-05,0.00035615706526576085,0.00017807853263290818,2.9679755438827282e-05,-8.903926631648185e-05,8.903926631642634e-05,0.0,8.903926631642634e-05,-0.00011871902175525362,2.9679755438827282e-05,0.0,0.0,-0.0007716736414091763,0.00017807853263290818,-0.00017807853263290818,-5.9359510877654564e-05,-2.9679755438827282e-05,5.935951087759905e-05,2.9679755438827282e-05
Rando eval Iter 4,5.935951087759905e-05,0.0008903926631644299,0.0035912504080966023,0.0017214258154512607,0.003205413587392014,-8.903926631648185e-05,-0.0004155165761434154,0.001424628261063099,0.005550114267058426,0.0004155165761434154,0.0018401448372065143,0.0032647730982696688,0.0007716736414091763,0.0007123141305315772,0.0028789362775650806,0.000741993885970349,0.001424628261063099,0.0008310331522868308,0.0028492565221262534,0.0,-0.0033834921200249224,0.0009497521740420845,0.0040958062505565,8.903926631642634e-05,0.0025227792122992643,0.0016620663045736617,0.0005045558424598418,0.0031757338319532424,0.0008310331522868308,5.935951087759905e-05,0.00020775828807167995,0.0,0.001958863858961768,0.00011871902175525362,2.9679755438827282e-05,2.9679755438827282e-05,0.0,0.00017807853263290818,0.00032647730982693357,0.003353812364586095,0.004184845516872926,-0.0001483987771940809,0.00011871902175525362,5.935951087759905e-05,-2.9679755438827282e-05,-0.00020775828807173546,5.935951087759905e-05,-0.0002967975543881618,-2.9679755438827282e-05,5.935951087759905e-05,2.9679755438827282e-05,-5.9359510877654564e-05,2.9679755438827282e-05,0.0,-0.00017807853263290818,-0.00011871902175525362,0.0,2.9679755438827282e-05,0.0,-0.00035615706526581636,0.00038583682070458813,-0.00011871902175525362,-5.9359510877654564e-05,0.0,5.935951087759905e-05,5.935951087759905e-05
Rando eval Iter 5,-5.9359510877654564e-05,0.0008903926631644299,0.0042442050277505805,0.001958863858961768,0.003116374321075588,2.9679755438827282e-05,-0.00038583682070458813,0.0010981509512361654,0.006381147419345257,0.0005639153533374963,0.0016323865491348344,0.0028789362775650806,0.001216869972991419,0.0006232748642150954,0.003442851630902577,0.0011871902175525917,0.0014543080165019262,0.0010981509512361654,0.0027008577449321725,0.0,-0.004006766984240073,0.0013059092393078453,0.004006766984240018,0.00017807853263290818,0.0024634197014216652,0.0017807853263289153,2.9679755438827282e-05,0.0035912504080966023,0.0005045558424598418,5.935951087759905e-05,0.00011871902175525362,0.0,0.0018698245926453416,0.0001483987771940809,-2.9679755438827282e-05,5.935951087759905e-05,0.0,-5.9359510877654564e-05,0.00011871902175525362,0.0037396491852906832,0.003888047962484764,0.00011871902175525362,5.935951087759905e-05,0.00032647730982693357,2.9679755438827282e-05,-2.9679755438827282e-05,0.00017807853263290818,2.9679755438827282e-05,8.903926631642634e-05,-2.9679755438827282e-05,2.9679755438827282e-05,2.9679755438827282e-05,2.9679755438827282e-05,0.0,-0.0003264773098269891,-2.9679755438827282e-05,-8.903926631648185e-05,0.0,0.0,-0.00038583682070458813,0.0004155165761434154,2.9679755438827282e-05,2.9679755438827282e-05,2.9679755438827282e-05,0.0001483987771940809,-5.9359510877654564e-05
Rando eval Iter 6,0.00017807853263290818,0.0005935951087762681,0.0037099694298519115,0.0013355889947466726,0.003116374321075588,-0.00011871902175525362,-0.00035615706526581636,0.0010981509512361654,0.0055204345116195985,0.0002967975543881618,0.001216869972991419,0.0030570148101979333,0.0009497521740420845,0.0006232748642150954,0.002107262636155849,0.0005935951087762681,0.0013652687501854999,0.000741993885970349,0.002671177989493345,0.0,-0.003680289674413084,0.0011871902175525917,0.004066126495117672,0.0002671177989493345,0.002582138723176919,0.0017214258154512607,0.00017807853263290818,0.0036209301635354296,0.0004451963315822427,0.00011871902175525362,0.00011871902175525362,0.0,0.0020182233698394225,0.0004451963315822427,2.9679755438827282e-05,0.0,0.0,0.00011871902175525362,0.00032647730982693357,0.0032350933428308415,0.0040958062505565,8.903926631642634e-05,8.903926631642634e-05,0.00017807853263290818,0.00011871902175525362,5.935951087759905e-05,0.00023743804351050724,-8.903926631648185e-05,0.0002671177989493345,0.00017807853263290818,2.9679755438827282e-05,-2.9679755438827282e-05,0.0,0.0,-0.00020775828807173546,0.00011871902175525362,-2.9679755438827282e-05,-5.9359510877654564e-05,0.0,-0.0003264773098269891,0.0002967975543881618,-0.0001483987771940809,0.00011871902175525362,2.9679755438827282e-05,0.00011871902175525362,-0.00011871902175525362
Rando eval Iter 7,2.9679755438827282e-05,0.00035615706526576085,0.004036446739678845,0.0015730270382571798,0.0035318908972190033,5.935951087759905e-05,-0.0004155165761434154,0.0014839877719407535,0.005550114267058426,0.00020775828807167995,0.001751105570890088,0.0024040601905440107,0.0011575104621137644,0.001216869972991419,0.0032350933428308415,0.0006529546196539227,0.0011278307066749926,0.0010981509512361654,0.002789897011248599,0.0,-0.003947407473362419,0.0012465497284302463,0.004570682337577514,0.00038583682070458813,0.002582138723176919,0.0020182233698394225,0.00023743804351050724,0.0038583682070459924,0.000534235597898669,0.0001483987771940809,0.00023743804351050724,0.0,0.0016323865491348344,0.00035615706526576085,-2.9679755438827282e-05,-2.9679755438827282e-05,0.0,0.00011871902175525362,0.0002967975543881618,0.003799008696168338,0.003828688451607165,2.9679755438827282e-05,5.935951087759905e-05,0.00020775828807167995,-5.9359510877654564e-05,0.00011871902175525362,2.9679755438827282e-05,8.903926631642634e-05,0.0002671177989493345,0.00011871902175525362,2.9679755438827282e-05,-5.9359510877654564e-05,0.0,0.0,-0.00023743804351050724,-0.0004451963315822427,0.0,-2.9679755438827282e-05,0.0,-0.0006826343750927499,0.00035615706526576085,0.0001483987771940809,-8.903926631648185e-05,8.903926631642634e-05,2.9679755438827282e-05,5.935951087759905e-05
Rando eval Iter 8,-2.9679755438827282e-05,0.000741993885970349,0.0038583682070459924,0.001958863858961768,0.003294452853708496,-5.9359510877654564e-05,5.935951087759905e-05,0.0010387914403585108,0.006945062772682753,0.0005639153533374963,0.001276229483869018,0.002582138723176919,0.0009794319294809117,0.0011575104621137644,0.0030273350547591615,0.0008903926631644299,0.001216869972991419,0.0011278307066749926,0.002819576766687426,0.0,-0.003620930163535485,0.0013355889947466726,0.0040958062505565,0.0002967975543881618,0.0027008577449321725,0.0013355889947466726,0.00020775828807167995,0.0034131718754637497,0.00035615706526576085,8.903926631642634e-05,0.00011871902175525362,0.0,0.0019885436144005952,0.0004451963315822427,-2.9679755438827282e-05,5.935951087759905e-05,0.0,-0.00017807853263290818,0.0002967975543881618,0.0029382957884426797,0.004422283560383433,5.935951087759905e-05,5.935951087759905e-05,0.00011871902175525362,0.00011871902175525362,-2.9679755438827282e-05,8.903926631642634e-05,-0.0002671177989493345,0.00023743804351050724,5.935951087759905e-05,5.935951087759905e-05,0.0,-0.00011871902175525362,0.0,-0.00038583682070458813,0.00032647730982693357,0.0,-2.9679755438827282e-05,0.0,-0.0005639153533374963,0.0001483987771940809,0.0001483987771940809,5.935951087759905e-05,0.0,2.9679755438827282e-05,8.903926631642634e-05
Rando eval Iter 9,2.9679755438827282e-05,0.0006529546196539227,0.0035912504080966023,0.001751105570890088,0.003146054076514415,-8.903926631648185e-05,-8.903926631648185e-05,0.0013355889947466726,0.006351467663906429,0.00020775828807167995,0.0015730270382571798,0.0030866945656367606,0.0012465497284302463,0.001068471195797338,0.0025524589677380916,0.0009794319294809117,0.0013355889947466726,0.0010387914403585108,0.0024040601905440107,0.0,-0.003502211141780176,0.0009200724186032572,0.004333244294067007,5.935951087759905e-05,0.002760217255809827,0.001751105570890088,0.0004155165761434154,0.003146054076514415,0.000534235597898669,0.00017807853263290818,0.00017807853263290818,0.0,0.001602706793696007,0.00020775828807167995,0.0,2.9679755438827282e-05,0.0,-0.00023743804351050724,0.0005639153533374963,0.003650609918974257,0.0035912504080966023,0.0,8.903926631642634e-05,0.00011871902175525362,-2.9679755438827282e-05,2.9679755438827282e-05,0.00011871902175525362,-0.0002967975543881618,0.0001483987771940809,-5.9359510877654564e-05,2.9679755438827282e-05,-5.9359510877654564e-05,-8.903926631648185e-05,0.0,-0.00035615706526581636,-5.9359510877654564e-05,0.0,2.9679755438827282e-05,0.0,-0.0010981509512361654,0.00023743804351050724,-5.9359510877654564e-05,5.935951087759905e-05,5.935951087759905e-05,0.00011871902175525362,-8.903926631648185e-05
