,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,6.449324433266401e-05,-3.685328247582387e-05,-4.606660309491861e-06,-4.606660309491861e-06,-9.213320618983722e-06,-4.606660309491861e-06,-0.0002763996185685125,0.0,0.0,0.0,-0.0005988658402318325,0.0,0.0,0.0,0.0,-9.213320618983722e-06,9.213320618928211e-06,0.00011055984742741609,-1.3819980928420073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 1,8.75265458800123e-05,-4.145994278526022e-05,-4.606660309491861e-06,-4.606660309491861e-06,-9.213320618983722e-06,-1.3819980928420073e-05,-0.00025797297733065605,0.0,0.0,0.0,-0.0007969522335392609,0.0,4.606660309491861e-06,4.606660309491861e-06,0.0,-1.8426641237911934e-05,1.3819980928420073e-05,9.213320618950416e-05,-2.3033301547403795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 2,7.831322526108409e-05,-4.606660309475208e-05,-9.213320618983722e-06,-4.606660309491861e-06,-9.213320618983722e-06,-2.7639961856840145e-05,-0.00029021959949698806,0.0,0.0,0.0,-0.0005574058974465168,0.0,4.606660309491861e-06,4.606660309491861e-06,0.0,-1.3819980928420073e-05,1.8426641237911934e-05,0.00010134652680843237,-2.7639961856840145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 3,2.7639961856840145e-05,-5.067326340424394e-05,-9.213320618983722e-06,-4.606660309491861e-06,-9.213320618983722e-06,-9.213320618983722e-06,-0.00030403958042540813,0.0,0.0,0.0,-0.0005297659355896767,0.0,0.0,0.0,0.0,0.0,1.3819980928420073e-05,9.673986649899602e-05,-2.3033301547403795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 4,5.527992371368029e-05,-5.067326340424394e-05,-9.213320618983722e-06,-4.606660309491861e-06,-9.213320618983722e-06,-2.7639961856840145e-05,-0.00028100627887800433,0.0,0.0,0.0,-0.00017044643145058824,0.0,0.0,0.0,0.0,-1.3819980928420073e-05,1.3819980928420073e-05,9.213320618950416e-05,-2.7639961856840145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 5,4.145994278526022e-05,-3.685328247582387e-05,-9.213320618983722e-06,0.0,-4.606660309491861e-06,-2.7639961856840145e-05,-0.00024875965671167233,0.0,0.0,0.0,-0.00031325290104433634,0.0,4.606660309491861e-06,4.606660309491861e-06,0.0,-1.8426641237911934e-05,1.8426641237911934e-05,9.213320618950416e-05,-2.7639961856840145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 6,3.2246622166332006e-05,-5.067326340424394e-05,0.0,-4.606660309491861e-06,-9.213320618983722e-06,-1.8426641237911934e-05,-0.0002533663170211642,0.0,0.0,0.0,-0.0004053861072338405,0.0,0.0,-4.606660309491861e-06,0.0,-1.8426641237911934e-05,9.213320618928211e-06,9.213320618950416e-05,-2.7639961856840145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 7,4.606660309475208e-05,-3.685328247582387e-05,-9.213320618983722e-06,0.0,-9.213320618983722e-06,-2.3033301547403795e-05,-0.0002625796376400924,0.0,0.0,0.0,-0.0005113392943517647,0.0,-4.606660309491861e-06,-4.606660309491861e-06,0.0,-9.213320618983722e-06,2.3033301547348284e-05,8.75265458800123e-05,-2.3033301547403795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 8,5.988658402317215e-05,-4.606660309475208e-05,-4.606660309491861e-06,-4.606660309491861e-06,-9.213320618983722e-06,-4.606660309491861e-06,-0.00029943292011591627,0.0,0.0,0.0,-0.0005297659355896767,0.0,0.0,4.606660309491861e-06,0.0,-1.3819980928420073e-05,1.3819980928420073e-05,9.213320618950416e-05,-3.2246622166332006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 9,3.2246622166332006e-05,-2.7639961856840145e-05,-9.213320618983722e-06,-4.606660309491861e-06,-4.606660309491861e-06,-1.8426641237911934e-05,-0.0002625796376400924,0.0,0.0,0.0,-0.00044223938970966437,0.0,0.0,1.3819980928420073e-05,0.0,-4.606660309491861e-06,9.213320618928211e-06,9.213320618950416e-05,-2.3033301547403795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606660309491861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
