,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,5.988658402317215e-05,-5.067326340423006e-05,-3.685328247580999e-05,9.213320618942089e-06,4.606660309464106e-06,9.213320618942089e-06,-0.0002257263551642963,0.0,0.0,0.0,0.0006080791608507469,-1.381998092843395e-05,0.0,0.0,0.0,-1.381998092843395e-05,-1.8426641237911934e-05,0.00016583977114111026,-0.00015662645052216817,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 1,8.752654588002617e-05,-5.5279923713708046e-05,-4.145994278528797e-05,9.213320618942089e-06,4.606660309464106e-06,4.606660309464106e-06,-0.00023033301547377427,0.0,0.0,0.0,0.0005666192180654728,-1.8426641237911934e-05,0.0,0.0,0.0,-1.381998092843395e-05,-1.8426641237911934e-05,0.00016583977114111026,-0.0001520197902126902,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 2,6.449324433265013e-05,-5.5279923713708046e-05,-3.685328247580999e-05,9.213320618942089e-06,4.606660309464106e-06,4.606660309464106e-06,-0.0002441529964022082,0.0,0.0,0.0,0.0005159459546612427,-1.381998092843395e-05,0.0,0.0,0.0,-1.381998092843395e-05,-1.8426641237911934e-05,0.00017044643145058824,-0.00015662645052216817,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 3,6.909990464212812e-05,-4.6066603094765957e-05,-4.145994278528797e-05,9.213320618942089e-06,4.606660309464106e-06,4.606660309464106e-06,-0.0002257263551642963,0.0,0.0,0.0,0.0005205526149707207,-1.8426641237911934e-05,0.0,0.0,0.0,-9.213320618955967e-06,-1.8426641237911934e-05,0.00017505309176006623,-0.00016123311083164615,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 4,8.752654588002617e-05,-4.145994278528797e-05,-4.6066603094765957e-05,9.213320618942089e-06,4.606660309464106e-06,9.213320618942089e-06,-0.00020269305361692025,0.0,0.0,0.0,0.0006080791608507469,-1.8426641237911934e-05,0.0,0.0,0.0,-1.381998092843395e-05,-2.3033301547389917e-05,0.00016583977114111026,-0.0001520197902126902,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 5,6.909990464212812e-05,-5.5279923713708046e-05,-4.6066603094765957e-05,9.213320618942089e-06,4.606660309464106e-06,1.3819980928420073e-05,-0.0002441529964022082,0.0,0.0,0.0,0.0004790926721854466,-1.8426641237911934e-05,0.0,0.0,0.0,-1.381998092843395e-05,-1.8426641237911934e-05,0.00016583977114111026,-0.0001428064695937481,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 6,6.909990464212812e-05,-5.067326340423006e-05,-3.685328247580999e-05,9.213320618942089e-06,4.606660309464106e-06,9.213320618942089e-06,-0.00026718629794958426,0.0,0.0,0.0,0.0005758325386844287,-1.381998092843395e-05,0.0,0.0,0.0,-1.381998092843395e-05,-2.3033301547389917e-05,0.00017044643145058824,-0.0001428064695937481,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 7,8.291988557054819e-05,-4.6066603094765957e-05,-4.6066603094765957e-05,9.213320618942089e-06,4.606660309464106e-06,1.3819980928420073e-05,-0.00023493967578325226,0.0,0.0,0.0,0.0006495391036360348,-1.8426641237911934e-05,0.0,0.0,0.0,-1.381998092843395e-05,-2.3033301547389917e-05,0.0001520197902126902,-0.0001520197902126902,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 8,8.291988557054819e-05,-5.067326340423006e-05,-4.145994278528797e-05,9.213320618942089e-06,4.606660309464106e-06,1.8426641237898056e-05,-0.00019347973299797816,0.0,0.0,0.0,0.0005343725958991408,-1.8426641237911934e-05,0.0,0.0,0.0,-1.381998092843395e-05,-1.8426641237911934e-05,0.0001520197902126902,-0.00015662645052216817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 9,6.909990464212812e-05,-5.988658402318603e-05,-4.6066603094765957e-05,9.213320618942089e-06,4.606660309464106e-06,9.213320618942089e-06,-0.00020269305361692025,0.0,0.0,0.0,0.0005804391989938928,-1.8426641237911934e-05,0.0,0.0,0.0,-9.213320618955967e-06,-1.8426641237911934e-05,0.0001566264505221543,-0.00014741312990322608,0.0,0.0,0.0,0.0,0.0,0.0,-4.6066603094779834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
