,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.009540861375453735,0.016359266163053054,0.10414009614441277,0.07463455312469336,0.06315608751103696,0.0067693515157460915,0.00855979593838907,0.03911998430295305,0.03531835573432751,0.0420877072500736,0.004709114097910305,0.09445207495339936,0.18954184244089078,0.04723830079466296,0.05525851074266652,0.04564406945943289,0.1724467772000392,0.10465515549887172,0.032154419699793935,0.004365741194937711,0.06555969783184534,0.08432257431570689,0.0350485627391347,0.025090748552928477,0.2290297262827431,0.19005690179534973,0.033895810850583685,0.02347199058177185,0.22971647208868828,0.0037035220249190814,0.008142843127636579,0.0,0.04603649563425882,0.0058128127146080955,0.012410477778867834,0.0052732267242224795,0.0,0.023128617678799146,0.011944471696262116,0.05820170705386052,0.12422741096831158,0.008682429118022195,0.0027469832237809744,0.011674678701069308,0.01670263906602565,0.022098498969881253,0.002845089767487541,0.007995683312076896,0.026783086431865,0.013195330128519589,0.0007848523496517545,0.0029431963111939963,0.008093789855783351,0.0,0.0018149710585696477,0.02214755224173448,0.0009320121652114377,0.003752575296772309,0.0003678995388992634,0.0513097223584813,0.00792210340429711,0.008437162758756056,0.004194054743451359,0.004218581379378028,0.0030903561267536794,0.02482095555773567
Decis train Iter 1,0.010080447365839351,0.015917786716374005,0.10448346904738548,0.07414402040616108,0.06342588050622977,0.007088197782792127,0.008486216030609284,0.039414303934072414,0.03617678799175905,0.0423575002452663,0.004856273913469988,0.09459923476895904,0.1912341803198273,0.0487834788580398,0.05442460512116154,0.045104483469047385,0.17337878936525064,0.10477778867850485,0.032178946335720604,0.004365741194937711,0.06487295202590015,0.08645639164132246,0.036127734719905824,0.024085156479937253,0.22851466692828415,0.1896644756205239,0.03396939075836358,0.023643677033258093,0.23226724222505646,0.004145001471598131,0.008510742666535842,0.0,0.045104483469047385,0.005518493083488618,0.012116158147748468,0.004684587461983747,0.0,0.022539978416560413,0.013146276856666361,0.059182772490925184,0.12579711566761498,0.008510742666535842,0.002648876680074519,0.012827430589620326,0.016113999803786916,0.020994800353183574,0.0029677229471205546,0.00767683704503086,0.02565486117924065,0.01336701658000583,0.0007603257137250852,0.003188462670460135,0.008167369763563248,0.0,0.0016432846070832952,0.02106838026096336,0.0007357990777985268,0.0035808888452859566,0.0002943196311193663,0.0500098106543706,0.0076523104091043015,0.008020209948003565,0.004194054743451359,0.004145001471598131,0.00306582949082701,0.02543412145590107
Decis train Iter 2,0.010276660453252262,0.015942313352300563,0.10465515549887172,0.07492887275581284,0.06345040714215633,0.006818404787599319,0.007774943588737315,0.03904640439517315,0.03620131462768561,0.041793387618954125,0.005077013636809569,0.09175414500147161,0.1897380555283037,0.047532620425782435,0.05248700088295888,0.04515353674090061,0.17394290199156281,0.10620033356224856,0.03222799960757383,0.004586480918277291,0.06273913470028447,0.08552437947611102,0.036103208083979155,0.024060629844010584,0.23069753752575295,0.18865888354753257,0.03416560384577649,0.02263808496026687,0.2285391935642107,0.003409202393799715,0.007995683312076896,0.0,0.04669871480427745,0.005935445894241109,0.011135092710683803,0.0049298538212498855,0.0,0.022883351319533007,0.012557637594427518,0.058716766408319465,0.12528205631315603,0.008731482389875422,0.0031148827626802378,0.012582164230354187,0.016727165701952318,0.02060237417835764,0.0028205631315608715,0.008240949671343034,0.024894535465515566,0.013342489944079272,0.0006867458059452991,0.0031639360345334655,0.008314529579122931,0.0,0.0015206514274501703,0.021411753163936065,0.000613165898165402,0.003531835573432729,0.0003188462670460357,0.04932306484842541,0.008093789855783351,0.008240949671343034,0.004292161287157814,0.004292161287157814,0.002845089767487541,0.02482095555773567
Decis train Iter 3,0.010350240361032048,0.016138526439713474,0.10455704895516527,0.07382517413911505,0.06342588050622977,0.006548611792406511,0.00875600902580198,0.03909545766702638,0.035906994996566244,0.04125380162856862,0.005175120180516024,0.09491808103600508,0.18949278916903756,0.048808005493966466,0.05420386539782207,0.04547238300794665,0.17367310899637,0.10534190130481702,0.0325223192386932,0.003973315020111889,0.06332777396252331,0.08469047385460615,0.03580888845285979,0.023839890120671003,0.23172765623467084,0.18677033258118314,0.03416560384577649,0.02327577749435883,0.22728833513195335,0.003678995388992412,0.00811831649171002,0.0,0.04571764936721279,0.00546943981163539,0.012091631511821799,0.005175120180516024,0.0,0.023324830766212057,0.011944471696262116,0.05903561267536539,0.12555184930834884,0.008903168841361664,0.002379083684881822,0.0127047974099872,0.015647993721181197,0.02150985970764252,0.0025017168645148358,0.008388109486902717,0.02526243500441483,0.013661336211125308,0.0006622191700186297,0.002918669675267327,0.007259884234278369,0.0,0.0016187579711566258,0.021362699892082837,0.0008339056215049823,0.0032375159423133626,0.0003678995388992634,0.05153046208182088,0.007774943588737315,0.008878642205435106,0.004145001471598131,0.004194054743451359,0.003188462670460135,0.024281369567350164
Decis train Iter 4,0.010448346904738504,0.01601589326008046,0.10546453448445015,0.07411949377023452,0.06384283331698226,0.006941037967232444,0.008412636122829387,0.038752084764053785,0.036569214166584874,0.04341214559011086,0.004905327185323216,0.09597272638084964,0.19155302658687334,0.04679682134798391,0.05371333267928968,0.04449131757088198,0.17220151084077306,0.10597959383890909,0.03146767389384875,0.004439321102717497,0.0653144314725792,0.08562248601981748,0.03485234965172179,0.024036103208084025,0.2310654370646522,0.19052290787795545,0.03495045619542825,0.02280977141175311,0.22468851172373194,0.0040468949278916755,0.008633375846168967,0.0,0.04593838909055237,0.005150593544589466,0.011699205336995977,0.005175120180516024,0.0,0.021902285882468342,0.01336701658000583,0.05967330520945746,0.12609143529873446,0.00878053566172865,0.002575296772294733,0.012459531050721062,0.01645737270675951,0.02197586579024824,0.00306582949082701,0.00789757676837044,0.026218973805552825,0.01317080349259292,0.0007848523496517545,0.0027469832237809744,0.008461689394682614,0.0,0.0015451780633768397,0.02173059943098199,0.0007357990777985268,0.0032129893063866932,0.0001226331796331248,0.04981359756695769,0.007750416952810757,0.008093789855783351,0.004022368291965117,0.004022368291965117,0.003139409398606907,0.023619150397331534
Decis train Iter 5,0.010546453448444959,0.016089473167860247,0.10421367605219267,0.07485529284803294,0.06291082115177082,0.006891984695379216,0.008020209948003565,0.038089865594035155,0.036765427253997784,0.042700873148239005,0.004684587461983747,0.09256352398704992,0.19086628078092804,0.04824389286765429,0.052756793878151687,0.045742176003139456,0.17055822623368977,0.10512116158147744,0.03198273324830769,0.004243108015304586,0.0647748454821937,0.08621112528205632,0.03573530854508,0.024722849014029213,0.23108996370057877,0.18814382419307363,0.03396939075836358,0.023104091042872588,0.22640537623859514,0.004022368291965117,0.008412636122829387,0.0,0.045766702639066015,0.005567546355341846,0.012263317963308151,0.005665652899048412,0.0,0.022956931227312904,0.011944471696262116,0.05839792014127343,0.12525752967722947,0.008486216030609284,0.002869616403414099,0.0127047974099872,0.01643284607083295,0.021657019523202203,0.0027715098597076437,0.008191896399489806,0.025581281271460754,0.013808496026684991,0.0009074855292847683,0.002845089767487541,0.00792210340429711,0.0,0.0018640243304228754,0.02148533307171585,0.000613165898165402,0.003678995388992412,0.00017168645148635253,0.05118708917884818,0.007750416952810757,0.00833905621504949,0.00372804866084564,0.004439321102717497,0.0030413028549004517,0.02433042283920339
Decis train Iter 6,0.010055920729912682,0.016089473167860247,0.1042627293240459,0.07407044049838118,0.06332777396252331,0.006597665064259739,0.00833905621504949,0.04034631609928385,0.03575983518100656,0.04392720494456981,0.004807220641616761,0.09457470813303248,0.1898116354360836,0.047066614343176716,0.052536054154812106,0.04588933581869914,0.17281467673893847,0.10524379476111057,0.0325223192386932,0.004120474835671573,0.06359756695771612,0.08679976454429505,0.03580888845285979,0.02415873638771704,0.22893161973903664,0.18846267046011966,0.03423918375355639,0.023349357402138726,0.2278033944864123,0.0037035220249190814,0.008265476307269704,0.0,0.04498185028941426,0.005984499166094337,0.012435004414794504,0.005395859903855604,0.0,0.022662611596193427,0.012582164230354187,0.058692239772392796,0.12528205631315603,0.008437162758756056,0.002796036495634202,0.012385951142941276,0.016555479250465965,0.02197586579024824,0.002575296772294733,0.008191896399489806,0.0260963406259197,0.013219856764446147,0.0008093789855783129,0.002918669675267327,0.007750416952810757,0.0,0.001569704699303398,0.02173059943098199,0.0007848523496517545,0.0033846757578730458,0.0003188462670460357,0.04917590503286573,0.0076523104091043015,0.008706955753948753,0.003924261748258551,0.0040468949278916755,0.0029677229471205546,0.025311488276268057
Decis train Iter 7,0.01030118708917882,0.01628568625527327,0.10504758167369765,0.07404591386245463,0.0635485136858629,0.006573138428333181,0.008216423035416476,0.03931619739036596,0.037427646424016525,0.04387815167271658,0.004758167369763533,0.09364269596782104,0.19025311488276264,0.048170312959874395,0.054326498577455085,0.045300696556460296,0.17227509074855296,0.10757382517413916,0.03200725988423425,0.004414794466790939,0.06676150299224959,0.08424899440792699,0.03620131462768561,0.02388894339252423,0.23297851466692832,0.18868341018345924,0.033675071127244216,0.02219660551358771,0.22733738840380657,0.0038261552045520952,0.007774943588737315,0.0,0.04549690964387321,0.005861865986461323,0.012336897871088048,0.00546943981163539,0.0,0.02280977141175311,0.012582164230354187,0.05879034631609925,0.12496321004611011,0.008854115569508436,0.002845089767487541,0.012901010497400223,0.01601589326008046,0.021902285882468342,0.0024281369567350497,0.008290002943196262,0.02764151868929654,0.012925537133326781,0.0007848523496517545,0.0029431963111939963,0.00855979593838907,0.0,0.00176591778671642,0.02128911998430294,0.0006376925340920714,0.0033846757578730458,0.0002452663592661386,0.04915137839693906,0.007946630040223668,0.008461689394682614,0.004022368291965117,0.004292161287157814,0.0033110958500931487,0.02418326302364371
Decis train Iter 8,0.01010497400176591,0.016383792798979724,0.10310997743549499,0.07492887275581284,0.06256744824879823,0.0064259786127734975,0.008093789855783351,0.03899735112331992,0.0360051015402727,0.043657411949377,0.004782694005690202,0.09484450112822529,0.19140586677131366,0.047042087707250047,0.05459629157264789,0.0449573236534877,0.17330520945747085,0.10475326204257829,0.031958206612381024,0.004561954282350622,0.0650446384773864,0.08554890611203769,0.036078681448052596,0.02526243500441483,0.2297655253605415,0.1893946826253311,0.03338075149612474,0.02280977141175311,0.22893161973903664,0.0036299421171391844,0.00858432257431574,0.0,0.04525164328460707,0.0058863926223878815,0.012336897871088048,0.004978907093103113,0.0,0.022785244775826552,0.011968998332188785,0.0583488668694202,0.12520847640537625,0.008363582850976159,0.002452663592661608,0.012140684783675026,0.01623663298342004,0.021877759246541784,0.0024281369567350497,0.008314529579122931,0.026022760718139915,0.01272932404591387,0.0008093789855783129,0.003409202393799715,0.007137251054645355,0.0,0.0018640243304228754,0.021779652702835328,0.0009320121652114377,0.0034337290297262735,0.00034337290297259404,0.05067202982438923,0.007627783773177632,0.007799470224663985,0.004439321102717497,0.003678995388992412,0.003262042578239921,0.025188855096634932
Decis train Iter 9,0.010350240361032048,0.01628568625527327,0.10411556950848622,0.07404591386245463,0.06327872069067009,0.006671244972039636,0.008486216030609284,0.03867850485627389,0.03639752771509863,0.04409889139605616,0.0049298538212498855,0.09393701559894041,0.1883645639164132,0.04895516530952615,0.05314922005297751,0.045742176003139456,0.17180908466594724,0.1059060139311292,0.032154419699793935,0.0043902678308642695,0.06391641322476205,0.08679976454429505,0.035440988913960525,0.024526635926616303,0.2293730991857157,0.18831551064455998,0.03365054449131755,0.022711664868046655,0.22954478563720204,0.003335622486019818,0.007774943588737315,0.0,0.04500637692534093,0.005592072991268515,0.01250858432257429,0.005052487000882899,0.0,0.022662611596193427,0.0127047974099872,0.05793191405866771,0.12488963013833021,0.00875600902580198,0.0027715098597076437,0.012582164230354187,0.015304620818208603,0.021240066712449712,0.0024036103208083803,0.007995683312076896,0.026390660257039178,0.013195330128519589,0.0008093789855783129,0.002796036495634202,0.007750416952810757,0.0,0.001496124791523612,0.022319238693220833,0.0006622191700186297,0.0035808888452859566,0.0002452663592661386,0.04956833120769155,0.007333464142058266,0.00900127538506823,0.004120474835671573,0.00372804866084564,0.0030903561267536794,0.02457568919846953
