,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl train Iter 0,0.06384083943691243,0.08916419926237595,0.10350111682509999,0.01846657316503042,0.041660173497480635,0.11256558100877878,0.039088878499818236,0.061529271206690606,0.20666458885252714,0.1553425796062542,0.11246169030180253,0.20604124461066964,0.10300763596696272,0.15734247571554727,0.09929354319256145,0.08015168043218535,0.03979014077190801,0.10599449379253023,0.04880265960209862,0.05186743545789829,0.0412965560230637,0.19035374785725423,0.06511350059737153,0.005454262116253661,0.11033193080878911,0.058880058178795935,0.005558152823230023,0.07708690457638567,0.17775699963638258,0.008051529790660261,0.003246584593008195,0.0043893823697470635,0.06274998701366163,0.01446678094644438,0.06249026024622095,0.024648070230117947,0.011427977767388686,0.004415355046491154,0.006207469741831617,0.057659342371824795,0.0438938236974703,0.2132356760687757,0.07178847852059633,0.03843956158121653,0.0008311256558101165,0.005038699288348658,0.0002337540906965918,0.00397381954184195,0.004623136460443655,0.00399979221858604,0.0005973715651135247,0.022700119474313052,0.012986338372032669,0.006051633681367186,0.0020518414627811454,0.07690509583917715,0.09695600228559553,0.1493428912783752,0.0014025245441795509,0.0006233442418576152,0.002831021765103081,0.008726819386005946,0.004623136460443655,0.0016103059581320522,0.009661835748792313,0.026076567451041477
MLPCl train Iter 1,0.06350319463923948,0.08524232507402218,0.09838449950651917,0.01870032725572701,0.03999792218586051,0.1133967066645889,0.03797205339982335,0.060334528076463556,0.20274271466417326,0.15593995117136772,0.11474728585528027,0.20450885668276975,0.10098176718092566,0.15895278167367932,0.09916367980884111,0.07752844008103477,0.04254324450677893,0.10472183263207102,0.04729624435094282,0.050932419095111925,0.041608228143992565,0.1931847696223573,0.06638616175783074,0.005791906913926614,0.10700742818554876,0.060256610046231396,0.005090644641836839,0.074853254376396,0.1794452236247468,0.008856682769726287,0.004467300399979224,0.003246584593008195,0.05958132045088571,0.014726507713884951,0.06381486676016834,0.02397278063477226,0.010804633525531182,0.004934808581372407,0.006493169186016279,0.05688016206950286,0.04493273076723292,0.2164562879850398,0.0686457846345645,0.03807594410679971,0.0005454262116253439,0.0048828632278842266,0.0005454262116253439,0.004025764895330131,0.004649109137187635,0.004259518986026722,0.0006493169186015946,0.024232507402212833,0.014778453067373132,0.005765934237182524,0.0014544698976676207,0.07584021609267055,0.09404706249026029,0.1527453119318477,0.0002337540906965918,0.00041556282790500276,0.002831021765103081,0.00922030024414322,0.004727027167419906,0.0009090436860422768,0.008311256558100943,0.025738922653368634
MLPCl train Iter 2,0.06495766453690721,0.08796945613214902,0.10074801309022907,0.016778349176666207,0.039062905823074145,0.11303308919017196,0.03862137031842505,0.06056828216716015,0.20230117915952417,0.15565425172718306,0.11066957560646207,0.20682042491299157,0.10056620435302066,0.15939431717832842,0.09734559243675656,0.07781413952521943,0.041608228143992565,0.11108513843436707,0.04849098748116987,0.048231260713729185,0.041582255467248475,0.1940678406316555,0.06594462625318165,0.006493169186016279,0.10679964677159626,0.05919173029972469,0.005817879590670594,0.07690509583917715,0.17736740948522156,0.009817671809256634,0.004597163783699565,0.003558256713936947,0.059944937925302644,0.015194015895278135,0.06072411822762458,0.0249597423510467,0.011038387616227774,0.004155628279050472,0.0059217702976468445,0.05804893252298582,0.045711911069554856,0.21458625525946706,0.07090540751129815,0.03921874188353858,0.0007791803023219357,0.004441327723235133,-5.1945353488069834e-05,0.004259518986026722,0.004441327723235133,0.004129655602306381,0.0005194535348813645,0.022804010181289303,0.013687600644122444,0.0064152511557841185,0.0015843332813879618,0.07760635811126693,0.09508596956002291,0.1510311152667394,0.00028569944418477267,0.00025972676744068224,0.0026751857046387606,0.008493065295309354,0.004545218430211384,0.001532387927899892,0.008233338527868672,0.024777933613838288
MLPCl train Iter 3,0.06436029297179369,0.08739805724377958,0.0998389694041868,0.018908108669679513,0.03919276920679449,0.1118902914134331,0.03919276920679449,0.05945145706716537,0.20321022284556645,0.154875071424861,0.11324087060412447,0.20474261077346634,0.09820269076931065,0.1600696067736741,0.09996883278790714,0.07929458209963125,0.04220559970910598,0.10573476702508966,0.046802763492805544,0.05197132616487454,0.04267310789049916,0.1938340865409589,0.06513947327411562,0.006025661004623095,0.10661783803438785,0.05965923848111787,0.004778972520907976,0.07591813412290271,0.18004259518986032,0.008986546153446628,0.004337437016258883,0.0033504752999844456,0.06254220559970913,0.014726507713884951,0.0619708067113397,0.026154485481273748,0.011090332969715844,0.004804945197652066,0.0061035790348553665,0.056308763181133425,0.0432445067788686,0.2147161186431874,0.07111318892525065,0.04077710248818245,0.0011947431302270495,0.005688016206950253,0.0003376447976728425,0.004597163783699565,0.004623136460443655,0.004181600955794562,0.0008051529790660261,0.02386888992779601,0.012466884837151304,0.006155524388343436,0.0019479507558048947,0.07708690457638567,0.09641057607397019,0.15175835021557327,0.00010389070697625069,0.0005713988883694343,0.002467404290686259,0.00786972105345174,0.004493273076723314,0.0010648797465067084,0.00927224559763129,0.025738922653368634
MLPCl train Iter 4,0.0645421017090021,0.08770972936470833,0.0980988000623344,0.01833670978131008,0.041764064204456885,0.11350059737156515,0.03994597683237233,0.060204664692743215,0.20370370370370372,0.15500493480858135,0.11563035686457845,0.20282063269440553,0.09882603501116827,0.15973196197600126,0.09905978910186486,0.07804789361591602,0.0436860422835178,0.10526725884369648,0.04885460495558669,0.051062282478832266,0.04189392758817723,0.19396394992467925,0.06355513999272766,0.006155524388343436,0.10783855384135888,0.05960729312762969,0.005869824944158775,0.07729468599033817,0.17723754610150122,0.008752792062750037,0.004649109137187635,0.0035842293906810374,0.06345124928575141,0.014362890239468129,0.06184094332761936,0.024700015583606016,0.01059685211157868,0.004233546309282632,0.00654511453950446,0.05781517843228923,0.046984572230014066,0.21074229910134534,0.07202223261129292,0.03880317905563346,0.00135057919069137,0.005090644641836839,-0.00010389070697625069,0.00397381954184195,0.004259518986026722,0.004649109137187635,0.0005973715651135247,0.022829982858033393,0.01322009246272926,0.006155524388343436,0.0018180873720845536,0.0746454729624435,0.09622876733676178,0.15739442106903534,0.001038907069762618,-5.1945353488069834e-05,0.002934912472079332,0.007428185548802646,0.004181600955794562,0.0012726611604592097,0.008207365851124582,0.02394680795802817
MLPCl train Iter 5,0.06298374110435823,0.08654095891122537,0.09716378369954803,0.01854449119526258,0.04103682925562313,0.11150070126227207,0.037712326632382775,0.06062022752064833,0.20559970910602043,0.15443353592021192,0.11131889252506366,0.20830086748740329,0.09994286011116305,0.16469274323411776,0.09820269076931065,0.07784011220196352,0.041478364760272224,0.10222845566464078,0.04924419510674771,0.048205288036985094,0.04264713521375518,0.19695080775024676,0.06443821100202585,0.006129551711599457,0.10505947742974397,0.06095787231832117,0.005402316762765591,0.07628175159731965,0.17648433847592337,0.01064879746506675,0.00399979221858604,0.003558256713936947,0.061321489792738104,0.014284972209235858,0.06090592696483299,0.024803906290582267,0.010934496909251523,0.0045711911069554745,0.006155524388343436,0.0572178068671757,0.04472494935328031,0.21219676899901307,0.06913926549270166,0.03932263259051483,0.0008311256558101165,0.00529842605578934,0.0005713988883694343,0.004129655602306381,0.004493273076723314,0.0045711911069554745,0.000675289595345685,0.022076775232455437,0.014882343774349382,0.006311360448807868,0.0019219780790608043,0.07571035270895021,0.09534569632746348,0.154043945769051,0.0007532076255779563,-7.791803023216026e-05,0.0030907485325437634,0.00799958443717208,0.0043893823697470635,0.001662251311620233,0.008622928679029696,0.024596124876629766
MLPCl train Iter 6,0.06532128201132414,0.0867227676484339,0.10028050490883589,0.018856163316191332,0.04116669263934347,0.10947483247623502,0.03994597683237233,0.06051633681367208,0.20141810815022598,0.15684899485741,0.10989039530414002,0.20643083476183055,0.10085190379720532,0.1583554101085658,0.09791699132512599,0.0761518882135993,0.0400238948626046,0.10604643914601841,0.047348189704431,0.0501272661160459,0.04363409693002962,0.1929769882084048,0.06254220559970913,0.006934704690665483,0.10703340086229285,0.05991896524855855,0.005558152823230023,0.07690509583917715,0.17565321282011326,0.009687808425536293,0.0038959015116097895,0.0042075736325385416,0.06342527660900732,0.015661524076671318,0.061529271206690606,0.0251675237649992,0.010700742818554931,0.004233546309282632,0.005376344086021501,0.058672276764843434,0.045608020362578605,0.21487195470365172,0.07329489377175213,0.03968625006493165,0.0009090436860422768,0.006051633681367186,0.00025972676744068224,0.0048828632278842266,0.004545218430211384,0.004311464339514792,0.0007532076255779563,0.022855955534777372,0.01329801049296142,0.006207469741831617,0.002077814139525236,0.07506103579034862,0.09498207885304666,0.1531868474364968,0.0005713988883694343,0.00025972676744068224,0.002934912472079332,0.008259311204612763,0.004337437016258883,0.0016362786348761427,0.009142382213910949,0.02527141447197545
MLPCl train Iter 7,0.06360708534621584,0.08565788790192719,0.10209859228092044,0.01831073710456599,0.04015375824632483,0.11100722040413491,0.03815386213703187,0.06126954443924992,0.1992364033037245,0.15069347046906656,0.11152667393901616,0.20648278011531873,0.09802088203210224,0.1600955794504182,0.09654043945769053,0.07804789361591602,0.03966027738818767,0.10812425328554365,0.04781569788582407,0.049737675964884986,0.04329645213235678,0.19461326684328084,0.06384083943691243,0.00654511453950446,0.10589060308555398,0.06059425484390424,0.0043893823697470635,0.0746714456391876,0.1783803438782401,0.009583917718560042,0.004233546309282632,0.0037140927744013785,0.059996883278790714,0.014986234481325633,0.060204664692743215,0.024622097553373856,0.010830606202275272,0.004233546309282632,0.006233442418575708,0.05693210742299104,0.0479715339462885,0.21123577995948262,0.07069762609734564,0.03877720637888937,0.0009350163627863672,0.005610098176718092,0.0005454262116253439,0.004129655602306381,0.004597163783699565,0.00397381954184195,0.0005973715651135247,0.02381694457430783,0.01327203781621733,0.005765934237182524,0.0012986338372033002,0.07555451664848578,0.09620279466001769,0.15214794036673418,0.0011168250999947782,0.00031167212092875207,0.0028569944418471716,0.009012518830190608,0.0042075736325385416,0.0007532076255779563,0.009116409537166859,0.025738922653368634
MLPCl train Iter 8,0.0641265388810971,0.08511246169030184,0.10230637369487305,0.01986909770920997,0.0387252610254013,0.11256558100877878,0.03875123370214539,0.05991896524855855,0.20489844683393077,0.15409589112253907,0.11355254272505322,0.20770349592228976,0.10038439561581214,0.1591865357643759,0.09882603501116827,0.07682717780894499,0.04202379097189757,0.10687756480182853,0.04882863227884271,0.048516960157913847,0.04347826086956519,0.19323671497584538,0.06308763181133448,0.005869824944158775,0.10659186535764376,0.0619708067113397,0.0048828632278842266,0.0757363253856943,0.17754921822242997,0.00935016362786345,0.004545218430211384,0.0036621474209131977,0.06204872474157186,0.01573944210690359,0.0625941509531972,0.024725988260350107,0.011064360292971753,0.004778972520907976,0.005584125499974002,0.05732169757415195,0.04534829359513792,0.20972936470832682,0.0703599812996728,0.03869928834865721,0.000857098332554207,0.005506207469741842,0.00038959015116102336,0.004155628279050472,0.004311464339514792,0.0047529998441639965,0.0006493169186015946,0.023011791595241804,0.014284972209235858,0.005791906913926614,0.001896005402316825,0.07584021609267055,0.09778712794140565,0.1551088255155576,0.0006493169186015946,0.00031167212092875207,0.0030388031790556935,0.00794763908368401,0.004103682925562291,0.001038907069762618,0.008311256558100943,0.0253753051789517
MLPCl train Iter 9,0.06358111266947175,0.08820321022284561,0.10030647758557998,0.017869201599916895,0.038829151732377554,0.11456547711807175,0.04116669263934347,0.05854241338112309,0.20217131577580383,0.15440756324346783,0.11347462469482106,0.2072100150641525,0.09848839021349542,0.15604384187834397,0.09776115526466156,0.07815178432289238,0.04366006960677371,0.10820217131577581,0.04610150122071577,0.05124409121604079,0.041478364760272224,0.1920939171991065,0.06449015635551403,0.0061035790348553665,0.10905926964833002,0.057555451664848545,0.004908835904628317,0.07664536907173658,0.17523764999220826,0.00927224559763129,0.004103682925562291,0.003506311360448766,0.06300971378110232,0.01579138746039166,0.061373435146226174,0.026102540127785567,0.010804633525531182,0.004675081813931725,0.006337333125551958,0.058646304088099344,0.04511453950444133,0.21217079632226898,0.07116513427873883,0.03856942496493687,0.0009609890395304577,0.0054282894395096815,0.00031167212092875207,0.0035842293906810374,0.004103682925562291,0.004155628279050472,0.0005194535348813645,0.02386888992779601,0.01334995584644949,0.005765934237182524,0.0017661420185964838,0.07565840735546203,0.09607293127629735,0.14947275466209553,0.0006233442418576152,7.791803023216026e-05,0.003324502623240355,0.007428185548802646,0.00394784686509797,0.0014284972209236413,0.008389174588333104,0.026751857046387162
