,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.8738163458643058,0.8623203737934739,0.8751914241960184,[0 1],0.5907350689127105,0.40926493108728945,0.5785130890052356,0.4214869109947644,60,39,7,4,0.9398939172472078,0.9384162911492698,0.9383939510448712,0.7373541588141346,0.8175865294667914,0.7726847521047708,0.14031805425631305,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  3.  17.  19.  20.  24.  35.  46.  68.  92.  93. 103.]
1,0.6798681729311437,0.656305189102595,0.6794717887154862,[0 1],0.6330532212885154,0.36694677871148457,0.5741620810405202,0.42583791895947976,60,39,7,4,0.6846116410490427,0.6011027838308554,0.6008671674908765,0.3118242048088099,0.2202835332606325,0.1875681570338059,0.3533260632497223,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  5.  26.  32.  34.  37.  47.  67.  81.  86.  89. 102.]
2,0.848707928028943,0.8334913911943945,0.8505271084337349,[0 1],0.6069277108433735,0.3930722891566265,0.5766858293818975,0.42331417061810245,60,39,7,4,0.9310291349362539,0.8373037237236035,0.8367053924091743,0.6804170455234285,0.7634099616858238,0.6637931034482759,0.14516129032196257,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  2.  44.  45.  62.  71.  77.  83.  97.  98. 100. 106.]
3,0.8507056361391093,0.8634165632754343,0.8476070528967254,[0 1],0.3492863140218304,0.6507136859781696,0.6024891101431238,0.39751088985687616,63,37,4,6,0.9380823511166254,0.962543989507719,0.9625289044015,0.6843494393121782,0.864516129032258,0.47161290322580646,0.11899038461466688,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  4.  18.  27.  29.  36.  50.  57.  76.  95. 101.]
4,0.9655757727127363,0.9630426491689305,0.9656529516994633,[0 1],0.5656529516994633,0.43434704830053666,0.5813776802296133,0.4186223197703866,60,38,7,5,0.9960543605229731,0.9954352675178809,0.9954335225124589,0.9298189448046088,0.9942339373970346,0.9892915980230642,0.030360531308419238,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  7.  11.  12.  30.  31.  40.  42.  54.  72.  90.  99. 109.]
5,0.811317280007211,0.8152655554405218,0.8119957909505436,[0 1],0.478779375657664,0.5212206243423361,0.5918937214418684,0.40810627855813164,61,38,6,5,0.8355227544998742,0.8920925104054738,0.8920640111615211,0.6260125274653199,0.7375504710632571,0.6897711978465679,0.23553162853297432,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 38.  39.  43.  55.  61.  63.  70.  79.  87. 105. 107.]
6,0.8961691284160592,0.8943518250319232,0.8975731620271235,[0 1],0.5153461812990721,0.4846538187009279,0.5873337555414819,0.41266624445851807,61,38,6,5,0.9836293800154211,0.9851181233502486,0.9851133622283545,0.7936636634633296,0.9337260677466863,0.9079528718703976,0.0782548476461121,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  0.   9.  16.  23.  33.  52.  59.  64.  69.  80. 108.]
7,0.9226890921480161,0.9232555931740556,0.922655964976286,[0 1],0.520977745348413,0.479022254651587,0.5864987787416828,0.4135012212583172,61,38,6,5,0.9798220125826416,0.9794343929337623,0.9794267884306488,0.8452669295381003,0.9436405178979437,0.8872810357958872,0.07463823305409993,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 6. 22. 25. 28. 48. 51. 58. 65. 82. 85. 91.]
8,0.8803525344669607,0.8709266834333815,0.8807302231237323,[0 1],0.6162271805273833,0.38377281947261666,0.5759720256431604,0.4240279743568396,60,39,7,4,0.9561439525001845,0.9453303386504496,0.9453065741710566,0.7463173289442088,0.8329809725158562,0.8044397463002114,0.1402238314671107,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 1. 15. 21. 41. 56. 60. 73. 74. 78. 88. 94.]
9,0.9114236395405599,0.9424254797876684,0.8949329359165424,[0 1],0.9124441132637854,0.0875558867362146,0.5422005629542495,0.45779943704575055,57,42,10,1,0.990832558664848,0.913666020446423,0.9134872464244437,0.5736750145602796,0.9957446808510638,0.9957446808510638,0.039199673336564544,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  8.  10.  13.  14.  49.  53.  66.  75.  84.  96. 104.]
