,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.6536700418714423,0.7344689421063297,0.6456666666666667,[0 1],0.6986666666666667,0.30133333333333334,0.46227599191130325,0.5377240080886967,58,60,9,4,0.8520696818212524,0.599376210794358,0.5987831148868922,0.3578425765876935,0.6360619469026548,0.13716814159292035,0.21230916030512062,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  2.   3.  12.  27.  42.  72.  76.  81.  85.  87.  96.  99. 114.]
1,0.6101926023286621,0.646233620662066,0.6195484070522734,[0 1],0.4302505412929168,0.5697494587070832,0.49084326338359874,0.5091567366164013,61,57,6,7,0.7025402170459859,0.7996100979698741,0.7995526352922221,0.27372490604205557,0.40988056460369166,0.3583061889250814,0.3522645578720181,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  1.  13.  15.  36.  47.  63.  65.  84.  90. 101. 116. 117. 119.]
2,0.646240857239615,0.6356483614582733,0.6479833926453143,[0 1],0.575326215895611,0.4246737841043891,0.47386082656305195,0.526139173436948,59,58,8,6,0.6921881299314636,0.6062397022463796,0.6056632641597613,0.2735728861989586,0.2541899441340782,0.17318435754189945,0.35754189944134074,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 0.  6. 17. 22. 23. 28. 44. 45. 48. 50. 53. 57. 82. 91.]
3,0.58232039251129,0.5926751058485266,0.5781554750626916,[0 1],0.39063806074115354,0.6093619392588465,0.4966717687680205,0.5033282312319795,61,56,6,8,0.6261614637655919,0.7341958682488479,0.7340528578465239,0.17299339550936033,0.2940100594421582,0.13534522176497485,0.4028349336991031,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 11.  14.  25.  29.  33.  34.  74.  75.  80. 109. 113. 118. 122. 128.]
4,0.5063649282019624,0.5170651611543325,0.5101829478771143,[0 1],0.46427338626165,0.5357266137383501,0.4867118290776446,0.5132881709223553,61,57,6,7,0.5847056681868701,0.6413106534099824,0.6411456769196433,0.03350078632451303,0.21713917525773196,0.14755154639175258,0.4706319702614328,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[ 16.  30.  37.  40.  46.  51.  68.  69.  88.  89. 106. 107. 123.]
5,0.6143346526616392,0.6386841008682217,0.6185094685400122,[0 1],0.43036041539401343,0.5696395846059865,0.4909180512531681,0.5090819487468319,61,57,6,7,0.6739759911864935,0.6794650031222161,0.6773513286114421,0.2627979247709643,0.18016085790884717,0.017158176943699734,0.34066713981707875,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  9.  31.  43.  62.  66.  67.  71.  77.  79.  94.  97. 115. 125.]
6,0.7615888687023806,0.7563094017765618,0.7554721701063164,[0 1],0.3239524702939337,0.6760475297060663,0.5027032720123578,0.4972967279876422,62,56,5,8,0.8007730044039018,0.8947362746466158,0.8946935443783722,0.4786879668873234,0.6045328399629972,0.32377428307123035,0.2419056429232176,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  7.  10.  39.  52.  55.  60.  64.  73.  83.  93.  98. 112. 129.]
7,0.6450667609890405,0.6057981873974168,0.6253677672441974,[0 1],0.2647924158221641,0.7352075841778359,0.5081577752157356,0.4918422247842644,63,56,4,8,0.6902420280069606,0.8799194797172496,0.8798874482491479,0.18026862837714608,0.41040462427745666,0.36327256558470433,0.39012345679056004,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  4.  20.  26.  54.  59.  95. 103. 105. 111. 120. 126. 127.]
8,0.7584183056875297,0.7506161193547447,0.7574539363484087,[0 1],0.6053601340033501,0.3946398659966499,0.4721050980938774,0.5278949019061225,59,59,8,5,0.731892949790618,0.5906077307667497,0.5902544622298064,0.49682796309783017,0.16723259762308998,0.06196943972835314,0.24023769100169787,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  5.  18.  24.  32.  35.  41.  58.  70.  86. 100. 102. 104. 124.]
9,0.5858219185453049,0.5634286619764197,0.5704065040650407,[0 1],0.6891056910569106,0.31089430894308945,0.46268395847170274,0.5373160415282973,58,60,9,4,0.5819364940832199,0.38094807035195044,0.38029730375231446,0.11231673842083156,0.1809623430962343,0.0794979079497908,0.4450212364309777,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis(solver='lsqr'))])",[  8.  19.  21.  38.  49.  56.  61.  78.  92. 108. 110. 121. 130.]
