,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
MLPCl eval Iter 0,-0.005622082624438363,-0.006630894734546089,-0.023862496182873116,0.0020721546045456285,0.0025847402172490264,0.0002235745757536156,-0.005207651703529215,2.726519216506018e-05,-2.1812153732037043e-05,-5.4530384330231385e-06,-0.005044060550538743,0.004880469397548326,0.0,0.0,0.0,0.005262182087859335,0.0012541988395934345,0.011167822710814457,-0.023769794529511834,0.0,3.271823059808332e-05,-1.0906076866046277e-05,0.0,-5.4530384330231385e-06,1.0906076866046277e-05,0.0,1.6359115299013904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-1.0906076866046277e-05,5.99834227631435e-05,0.0,1.0906076866046277e-05,-5.4530384330231385e-06,0.0,0.00013632596082535642,-2.1812153732037043e-05,0.0,1.0906076866046277e-05,2.1812153732037043e-05,1.0906076866046277e-05,-5.4530384330231385e-06,0.0,5.4530384330231385e-06,5.4530384330231385e-06,0.0,2.1812153732037043e-05,0.0,0.0,0.0,5.4530384330231385e-06,7.634253806221292e-05,2.1812153732037043e-05,5.4530384330231385e-06,1.0906076866046277e-05,5.4530384330231385e-06,3.271823059808332e-05,-2.726519216506018e-05,-0.004078872747895146,-0.00042533699777513867,0.0002344806526196619,-0.005185839549797178,-0.008337695764079778,-1.6359115299069416e-05,-0.006298259390132177,7.088949962918978e-05,3.271823059808332e-05,0.002453867294856693,-0.00047986738210531454,-0.006423679274091543,0.0,0.0,-0.00020176242202157857,-0.002813767831435665,0.0012214806089953512,-0.004406055053876035,-0.004847751166950243,7.088949962918978e-05,0.004275182131483646,0.0006870828425598607,-0.0001908563451555323,0.0007743314574881199,-0.0011015137634690086,2.1812153732037043e-05,0.000518038651136421,-4.36243074641296e-05,0.007612441652488755,-2.726519216506018e-05,-2.1812153732037043e-05,0.0,0.003326353444139063,-0.0005016795358373516,0.0,0.0,-5.4530384330231385e-06,0.0016304584914714204,0.0021266849888758044,0.0004144309209091479,7.088949962918978e-05,5.4530384330231385e-06,-0.004133403132225266,4.36243074641296e-05,-0.001908563451555212,0.0006543646119617774,-0.00043624307464118495,6.543646119616664e-05,0.00040897788247612477,-3.817126903110646e-05,-0.001237839724294365,-2.726519216506018e-05,5.99834227631435e-05,0.0007361601884570135,-0.0002835579985167591,-0.0006270994197967172,0.0,0.0,0.0,0.002115778912009758,-0.00496771801247653,-0.0022357457575361006,-0.0004580552283732775,1.0906076866046277e-05,0.003871657287440544,8.179557649523606e-05
MLPCl eval Iter 1,-0.005518474894211034,-0.0056984251625005755,-0.022990010033590746,0.0020285302970815544,0.0025956462941150726,0.00025629280635169893,-0.0038825633643065904,5.4530384330231385e-06,-1.0906076866046277e-05,4.36243074641296e-05,-0.0050985909348689185,0.005763861623696742,-5.4530384330231385e-06,0.0,0.0,0.003844392095275484,0.0015486629149762399,0.010878811673864675,-0.023960650874667422,0.0,5.99834227631435e-05,0.0,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,0.0,1.0906076866046277e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,-1.6359115299069416e-05,-1.0906076866046277e-05,3.271823059808332e-05,1.0906076866046277e-05,5.4530384330231385e-06,1.0906076866046277e-05,-3.817126903110646e-05,0.00024538672948565265,-3.817126903110646e-05,-5.4530384330231385e-06,1.0906076866046277e-05,1.6359115299013904e-05,1.6359115299013904e-05,0.0,0.0,0.0,0.0,0.0,-1.0906076866046277e-05,-5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.00011451380709331938,1.6359115299013904e-05,1.0906076866046277e-05,1.0906076866046277e-05,0.0,1.0906076866046277e-05,-5.4530384330231385e-06,-0.004444226322907141,-0.00045260218994025436,0.0002835579985167591,-0.004220651747153525,-0.009324695720455467,-8.72486149282592e-05,-0.006161933429306821,2.726519216506018e-05,-5.4530384330231385e-06,0.001652270645203513,-0.000976093879509643,-0.006407320158792473,0.0,0.0,-0.00011996684552634251,-0.0025683811019500125,0.0012869170701915178,-0.0035990053657898313,-0.00477140862888803,0.00017995026828948602,0.0028519391004667716,0.0005780220738995645,-0.00015813811455744897,0.0008833922261484162,-0.0008942983030144624,-0.00017995026828948602,0.0007307071500239903,-4.9077345897152735e-05,0.0066963311957422555,1.0906076866046277e-05,-7.088949962918978e-05,0.0,0.0033154473672730167,-0.0005071325742703747,0.0,0.0,0.0,0.0017122540679666565,0.002012171181782485,0.00035990053657897203,-9.270165336128233e-05,1.6359115299013904e-05,-0.004438773284474118,4.36243074641296e-05,-0.0012651049164594808,0.0007797844959211431,-0.0004416961130742081,0.00021812153732059247,0.0005507568817345043,-5.4530384330231385e-06,-0.0012105745321293049,7.088949962918978e-05,5.453038433012036e-05,-0.00022902761418663875,-0.0006052872660646802,-0.0006489115735287543,-5.4530384330231385e-06,0.0,0.0,0.002355712603062443,-0.004689613052392794,-0.002442961217990647,-0.0003817126903110646,1.0906076866046277e-05,0.004198839593421433,0.0001036077302272731
MLPCl eval Iter 2,-0.005632988701304353,-0.00640186712035945,-0.021632203463769983,0.0018431269903590453,0.002557475025083966,0.00032172926754786557,-0.004084325786328169,2.1812153732037043e-05,0.0,1.6359115299013904e-05,-0.005065872704270835,0.005322165510622534,-5.4530384330231385e-06,0.0,0.0,0.0038062208262443775,0.0012705579548924484,0.011429568555599179,-0.022897308380229464,0.0,3.271823059808332e-05,1.0906076866046277e-05,1.0906076866046277e-05,-1.0906076866046277e-05,0.0,5.4530384330231385e-06,1.0906076866046277e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,1.0906076866046277e-05,-5.4530384330231385e-06,3.271823059808332e-05,0.0,-5.4530384330231385e-06,0.0,4.9077345897152735e-05,0.00020176242202152306,-1.6359115299069416e-05,-5.4530384330231385e-06,1.0906076866046277e-05,5.4530384330231385e-06,1.0906076866046277e-05,0.0,0.0,5.4530384330231385e-06,5.4530384330231385e-06,0.0,0.0,-5.4530384330231385e-06,0.0,0.0,-5.4530384330231385e-06,5.99834227631435e-05,2.1812153732037043e-05,1.6359115299013904e-05,1.6359115299013904e-05,0.0,-3.817126903110646e-05,-3.817126903110646e-05,-0.004962264974043562,-0.0004580552283732775,0.00014177899925837956,-0.0042424639008855625,-0.008686690223792704,-4.9077345897152735e-05,-0.005971077084151288,5.453038433012036e-05,2.1812153732037043e-05,0.0021212319504427812,-0.0006325524582297404,-0.006407320158792473,0.0,5.4530384330231385e-06,-6.543646119616664e-05,-0.0026719888321772856,0.0014559612616149575,-0.003931640710203743,-0.004853204205383266,0.0001472320376914027,0.0035172097892945953,0.0005562099201675275,-0.0002944640753828054,0.0007470662653230598,-0.0011778563015312216,9.270165336122682e-05,0.0006707237272608468,-3.271823059808332e-05,0.006903546656196802,3.817126903110646e-05,-5.4530384330175874e-05,0.0,0.003920734633337697,-0.0005507568817345043,0.0,0.0,0.0,0.0015868341840073463,0.0016849888758015963,0.00046896130523926827,-2.1812153732037043e-05,0.0,-0.004149762247524336,2.1812153732037043e-05,-0.0017831435675958462,0.0006761767656938145,-0.0007470662653230598,-5.4530384330175874e-05,0.0004035248440431016,-4.9077345897152735e-05,-0.0011724032630981984,-5.4530384330231385e-06,6.543646119616664e-05,0.000638005496662708,-0.00022902761418663875,-0.0007743314574881199,-5.4530384330231385e-06,0.0,0.0,0.002213933603804008,-0.005251276010993344,-0.0019249225668542813,-0.0003435414212799581,1.6359115299013904e-05,0.0045042097456702845,2.726519216506018e-05
MLPCl eval Iter 3,-0.0057965798542948255,-0.006052872660646524,-0.023431706146664955,0.0018594861056580592,0.0025956462941150726,0.00021812153732059247,-0.0029991711381581743,2.1812153732037043e-05,1.0906076866046277e-05,1.6359115299013904e-05,-0.0050004362430746685,0.0054803036251799275,0.0,0.0,0.0,0.004575099245299474,0.0014505082231819344,0.011178728787680503,-0.023028181302621797,0.0,-5.4530384330231385e-06,2.726519216506018e-05,0.0,-5.4530384330231385e-06,1.6359115299013904e-05,0.0,1.0906076866046277e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,1.0906076866046277e-05,0.0,1.6359115299013904e-05,1.6359115299013904e-05,5.4530384330231385e-06,-1.0906076866046277e-05,0.0,0.00026174584478472207,-2.726519216506018e-05,0.0,5.4530384330231385e-06,2.726519216506018e-05,1.6359115299013904e-05,0.0,0.0,0.0,0.0,0.0,-1.6359115299069416e-05,-5.4530384330231385e-06,0.0,0.0,-1.6359115299069416e-05,-1.6359115299069416e-05,2.1812153732037043e-05,2.1812153732037043e-05,2.1812153732037043e-05,0.0,4.36243074641296e-05,5.4530384330231385e-06,-0.0047441434367229696,-0.0005289447280024673,0.00021266849888756933,-0.004035248440431016,-0.009079308990969759,-9.815469179424996e-05,-0.005845657200191978,0.0,5.453038433012036e-05,0.0025738341403830356,-0.000496226497404384,-0.006151027352440774,0.0,-1.0906076866046277e-05,-9.270165336128233e-05,-0.002557475025083966,0.0011724032630981984,-0.0048422981285172195,-0.004264276054617655,0.0001472320376914027,0.0030046241765911974,0.00039261876717705535,-0.00010906076866029624,0.0008888452645814393,-0.001292370108624541,-9.270165336128233e-05,0.0005289447280024118,-2.1812153732037043e-05,0.007116215155084427,2.726519216506018e-05,-0.0001036077302272731,0.0,0.003691707019151058,-0.0007579723421890505,0.0,0.0,0.0,0.0018485800287920129,0.002104872835143712,0.000638005496662708,-0.0001036077302272731,0.0,-0.004356977707978882,5.453038433012036e-05,-0.0012705579548924484,0.0007252541115909672,-0.0006925358809928839,1.6359115299013904e-05,0.00024538672948565265,-1.6359115299069416e-05,-0.001390524800418791,3.817126903110646e-05,7.634253806221292e-05,0.0003817126903110091,-0.0004853204205383377,-0.0007307071500239903,-1.0906076866046277e-05,0.0,0.0,0.0020503424508135915,-0.0052785412031584045,-0.0021048728351437673,-0.00016904419142343974,5.4530384330231385e-06,0.004209745670287479,7.088949962918978e-05
MLPCl eval Iter 4,-0.005376695894952654,-0.006194651659904904,-0.02333355145487065,0.0018922043362561425,0.002502944640753846,0.00033263534441391185,-0.004002530209832933,1.0906076866046277e-05,-5.4530384330231385e-06,3.817126903110646e-05,-0.005158574357632062,0.0052021986650961916,0.0,0.0,0.0,0.004607817475897558,0.001412336954150828,0.010529817214151693,-0.023802512760109973,0.0,0.0,-1.0906076866046277e-05,0.0,0.0,1.0906076866046277e-05,0.0,1.0906076866046277e-05,0.0,0.0,-5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.1812153732037043e-05,0.0,3.817126903110646e-05,0.0,1.0906076866046277e-05,5.4530384330231385e-06,-4.9077345897152735e-05,0.00021266849888756933,-3.271823059808332e-05,5.4530384330231385e-06,5.4530384330231385e-06,0.0,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,-5.4530384330231385e-06,5.4530384330231385e-06,0.0,-5.4530384330231385e-06,0.0,0.0,0.0,-5.4530384330231385e-06,3.271823059808332e-05,2.1812153732037043e-05,4.9077345897152735e-05,0.0,0.0,-6.543646119616664e-05,-4.9077345897152735e-05,-0.004913187628146409,-0.0004144309209091479,0.00021812153732059247,-0.00396981197923485,-0.00941194433538367,-0.00010906076866029624,-0.005709331239366566,0.0,4.36243074641296e-05,0.0020667015661126054,-0.0004035248440431016,-0.006352789774462353,0.0,0.0,7.088949962918978e-05,-0.0026719888321772856,0.0011778563015312216,-0.0035444749814596554,-0.0047605025520219835,0.00011996684552634251,0.0037353313266151877,0.000458055228373222,-0.0002671988832177452,0.0006707237272608468,-0.001139685032500115,8.72486149282592e-05,0.0007852375343541107,-1.0906076866046277e-05,0.0066145356192470195,1.0906076866046277e-05,0.0,0.0,0.0038607512105745534,-0.000518038651136421,0.0,0.0,0.0,0.0015595689918422306,0.001935828643720272,0.0001635911529904166,-5.99834227631435e-05,5.4530384330231385e-06,-0.004433320246041095,3.817126903110646e-05,-0.0013796187235527446,0.0007525193037560274,-0.0008888452645814393,0.00011996684552634251,0.00042533699777513867,2.1812153732037043e-05,-0.0009979060332417355,5.4530384330231385e-06,9.815469179424996e-05,0.00028901103694978225,9.270165336122682e-05,-0.0008015966496531801,-5.4530384330231385e-06,0.0,-5.4530384330231385e-06,0.0022411987959691237,-0.005343977664354571,-0.0019467347205863184,-0.00015268507612442583,1.0906076866046277e-05,0.0040625136325960765,9.270165336122682e-05
MLPCl eval Iter 5,-0.005780220738995756,-0.005769314662129765,-0.021921214500719766,0.0020503424508135915,0.002295729180299244,0.0005071325742703747,-0.005076778781136881,1.0906076866046277e-05,-1.0906076866046277e-05,-2.726519216506018e-05,-0.00482593901321815,0.005883828469223029,0.0,-5.4530384330231385e-06,0.0,0.004476944553505224,0.001755878375430786,0.011096933211185267,-0.023366269685468788,0.0,3.271823059808332e-05,3.271823059808332e-05,-5.4530384330231385e-06,5.4530384330231385e-06,1.0906076866046277e-05,0.0,1.0906076866046277e-05,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,5.4530384330231385e-06,0.0,2.1812153732037043e-05,5.4530384330231385e-06,0.0,1.0906076866046277e-05,1.0906076866046277e-05,0.0002671988832177452,-3.817126903110646e-05,-5.4530384330231385e-06,1.6359115299013904e-05,3.817126903110646e-05,1.0906076866046277e-05,0.0,0.0,0.0,5.4530384330231385e-06,0.0,-1.6359115299069416e-05,0.0,0.0,0.0,0.0,7.634253806221292e-05,2.1812153732037043e-05,5.4530384330231385e-06,1.0906076866046277e-05,0.0,0.0,0.0,-0.004607817475897558,-0.0005562099201675275,0.00012541988395931014,-0.004575099245299474,-0.008817563146185037,5.4530384330231385e-06,-0.005943811891986228,3.817126903110646e-05,0.0,0.0021430441041748183,-0.0004471491515072312,-0.005589364393840279,0.0,-1.0906076866046277e-05,-2.1812153732037043e-05,-0.0026992540243423457,0.001592287222440314,-0.0038934694411726367,-0.004733237359856923,0.00011451380709331938,0.003566287135191748,0.0005016795358373516,-0.00039261876717705535,0.0008997513414474301,-0.001139685032500115,0.00015813811455744897,0.0007198010731579441,-5.4530384330175874e-05,0.006947170963660931,-1.6359115299069416e-05,3.817126903110646e-05,0.0,0.0038825633643065904,-0.00046896130523926827,0.0,0.0,0.0,0.0013196353007896011,0.0017449722985647398,0.0001908563451555323,0.00013087292239233328,0.0,-0.004089778824761137,2.1812153732037043e-05,-0.0012869170701915178,0.0009924529948087124,-0.0007143480347249764,0.0001635911529904166,0.0004035248440431016,-4.36243074641296e-05,-0.0009106574183134764,4.9077345897152735e-05,0.00011451380709331938,5.453038433012036e-05,-0.00036535357501199517,-0.0007143480347249764,-5.4530384330231385e-06,0.0,0.0,0.0021212319504427812,-0.005262182087859335,-0.0020557954892466146,-0.0004416961130742081,2.1812153732037043e-05,0.004340618592679812,5.453038433012036e-05
MLPCl eval Iter 6,-0.0053003533568904415,-0.005834751123325932,-0.02265737468917678,0.0022357457575361006,0.0021266849888758044,0.00021266849888756933,-0.00634733673602933,2.726519216506018e-05,-5.4530384330231385e-06,-2.1812153732037043e-05,-0.005283994241591428,0.004547834053134414,-1.0906076866046277e-05,-5.4530384330231385e-06,0.0,0.004913187628146409,0.0016250054530384528,0.010535270252584716,-0.02351350172316019,0.0,1.6359115299013904e-05,2.1812153732037043e-05,5.4530384330231385e-06,0.0,0.0,1.0906076866046277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,5.4530384330231385e-06,3.271823059808332e-05,-5.4530384330231385e-06,-5.4530384330231385e-06,-5.4530384330231385e-06,-4.9077345897152735e-05,0.0001908563451555323,-0.00010906076866029624,0.0,0.0,1.6359115299013904e-05,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,5.4530384330231385e-06,5.4530384330231385e-06,0.0,-3.271823059808332e-05,-5.4530384330231385e-06,0.0,0.0,-1.6359115299069416e-05,4.9077345897152735e-05,1.6359115299013904e-05,0.0,5.4530384330231385e-06,0.0,3.817126903110646e-05,-3.817126903110646e-05,-0.004645988744928664,-0.0004744143436722914,0.00016904419142343974,-0.004198839593421433,-0.009068402914103768,-8.72486149282592e-05,-0.0057202373162326126,-1.6359115299069416e-05,1.6359115299013904e-05,0.0015159446843781565,-0.0003817126903110646,-0.006200104698337927,0.0,5.4530384330231385e-06,-5.4530384330175874e-05,-0.0027537844086725216,0.0008397679186842866,-0.004127950093792243,-0.005087684858002872,0.00015268507612442583,0.003500850673995526,0.0008506739955503329,-0.0002944640753828054,0.0007634253806220737,-0.001052436417571856,-0.00020176242202157857,0.0006925358809928839,-3.271823059808332e-05,0.007116215155084427,3.817126903110646e-05,0.0,0.0,0.003413602059067322,-0.0003544474981459489,0.0,0.0,0.0,0.0014832264537800177,0.0021539501810408646,0.0003544474981459489,4.9077345897152735e-05,1.0906076866046277e-05,-0.004198839593421433,5.453038433012036e-05,-0.0013796187235527446,0.0006052872660646247,-0.0008670331108493468,5.99834227631435e-05,0.00027265192165071284,4.36243074641296e-05,-0.001052436417571856,-2.1812153732037043e-05,4.9077345897152735e-05,-0.00010906076866029624,-0.0005998342276316571,-0.0008452209571173097,0.0,0.0,0.0,0.0018867512978231193,-0.004929546743445479,-0.0021266849888758044,-0.00030537015224885167,5.4530384330231385e-06,0.003822579941543447,6.543646119616664e-05
MLPCl eval Iter 7,-0.0056984251625005755,-0.006036513545347455,-0.022504689613052353,0.002017624220215508,0.0024156960258255866,0.0003544474981459489,-0.004640535706495641,5.4530384330231385e-06,-5.4530384330231385e-06,2.726519216506018e-05,-0.004956811935610539,0.0050222483968067055,-5.4530384330231385e-06,0.0,0.0,0.004362430746411905,0.0013250883392226243,0.011304148671639813,-0.023257208916808436,0.0,5.453038433012036e-05,-5.4530384330231385e-06,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,1.0906076866046277e-05,-5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906076866046277e-05,0.0,2.726519216506018e-05,1.6359115299013904e-05,5.4530384330231385e-06,0.0,1.0906076866046277e-05,0.00017449722985646288,-9.815469179424996e-05,-1.6359115299069416e-05,1.0906076866046277e-05,2.1812153732037043e-05,0.0,-5.4530384330231385e-06,0.0,0.0,-5.4530384330231385e-06,0.0,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,0.0,0.0,0.00015813811455744897,2.1812153732037043e-05,1.0906076866046277e-05,1.6359115299013904e-05,5.4530384330231385e-06,-5.4530384330231385e-06,-4.36243074641296e-05,-0.004716878244557854,-0.0003871657287440877,0.000338088382846935,-0.004493303668804238,-0.00870850237752474,-0.0001036077302272731,-0.005921999738254136,-4.36243074641296e-05,1.0906076866046277e-05,0.001908563451555212,-0.0003544474981459489,-0.006380054966627413,0.0,-5.4530384330231385e-06,-4.36243074641296e-05,-0.002895563407930901,0.001237839724294365,-0.0036753479038520442,-0.004809579897919136,8.179557649523606e-05,0.0033154473672730167,0.00035990053657897203,-0.0004416961130742081,0.0006652706888278237,-0.0010633424944379022,3.817126903110646e-05,0.0005616629586005506,-2.726519216506018e-05,0.007666972036818931,2.1812153732037043e-05,5.453038433012036e-05,0.0,0.0038062208262443775,-0.0004744143436722914,0.0,0.0,0.0,0.0015759281071413,0.0020667015661126054,0.00046350826680624513,0.00011996684552634251,-5.4530384330231385e-06,-0.004455132399773132,-3.271823059808332e-05,-0.001657723683636536,0.00046350826680624513,-0.0007579723421890505,-6.543646119616664e-05,0.0002344806526196619,-1.6359115299069416e-05,-0.0010197181869737726,2.726519216506018e-05,6.543646119616664e-05,0.00011996684552634251,-0.0004416961130742081,-0.0006543646119617774,-5.4530384330231385e-06,0.0,0.0,0.001854033067225036,-0.0049404528203114695,-0.002099419796710744,-0.0004744143436722914,5.4530384330231385e-06,0.004351524669545859,6.543646119616664e-05
MLPCl eval Iter 8,-0.005087684858002872,-0.0061782925446058345,-0.022935479649260626,0.002006718143349462,0.0025138507176198366,0.0003980718056100785,-0.004204292631854456,3.271823059808332e-05,-1.0906076866046277e-05,-1.0906076866046277e-05,-0.005087684858002872,0.004945905858744493,0.0,0.0,0.0,0.0047277843214239,0.0016631767220695592,0.011265977402608707,-0.02352986083845915,0.0,2.726519216506018e-05,0.0,0.0,-1.0906076866046277e-05,1.0906076866046277e-05,0.0,1.0906076866046277e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,1.0906076866046277e-05,5.4530384330231385e-06,1.0906076866046277e-05,1.0906076866046277e-05,0.0,1.6359115299013904e-05,-8.179557649523606e-05,0.00027265192165071284,-5.99834227631435e-05,-1.6359115299069416e-05,5.4530384330231385e-06,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,0.0,0.0,5.4530384330231385e-06,0.0,-5.4530384330231385e-06,-5.4530384330231385e-06,0.0,0.0,-1.0906076866046277e-05,5.99834227631435e-05,2.1812153732037043e-05,7.634253806221292e-05,1.6359115299013904e-05,-5.4530384330231385e-06,-2.1812153732037043e-05,-1.6359115299069416e-05,-0.004553287091567437,-0.0005671159970335737,0.0004035248440431016,-0.003958905902368803,-0.009324695720455467,-8.72486149282592e-05,-0.005960171007285242,1.0906076866046277e-05,1.0906076866046277e-05,0.001914016489988235,-0.00017449722985646288,-0.0056384417397373765,0.0,-1.0906076866046277e-05,-0.00018540330672250915,-0.0026992540243423457,0.0013469004929546613,-0.004296994285215738,-0.004329712515813822,0.0001472320376914027,0.003593552327356808,0.000458055228373222,-0.00025629280635169893,0.0007688784190550968,-0.001036077302272842,1.6359115299013904e-05,0.0005889281507656108,-1.6359115299069416e-05,0.0076506129215198615,5.4530384330231385e-06,5.4530384330231385e-06,0.0,0.0036753479038520442,-0.0003871657287440877,0.0,0.0,0.0,0.0017231601448327027,0.0023011822187322672,0.00041988395934211553,-5.4530384330231385e-06,-5.4530384330231385e-06,-0.004013436286698979,-5.4530384330231385e-06,-0.001395977838851814,0.0008179557649522495,-0.000539850804868458,4.9077345897152735e-05,0.00015813811455744897,-5.4530384330175874e-05,-0.0010687955328709253,4.9077345897152735e-05,8.72486149282592e-05,0.00030537015224885167,-0.0004853204205383377,-0.0006270994197967172,0.0,0.0,0.0,0.0022411987959691237,-0.005054966627404789,-0.001657723683636536,-0.00021812153732059247,1.0906076866046277e-05,0.003746237403481234,5.99834227631435e-05
MLPCl eval Iter 9,-0.005611176547572316,-0.005791126815861802,-0.02392247960563626,0.001957640797452309,0.0025683811019500125,0.0002671988832177452,-0.004536927976268368,3.817126903110646e-05,5.4530384330231385e-06,-1.6359115299069416e-05,-0.005142215242333048,0.005125856127033979,0.0,-5.4530384330231385e-06,0.0,0.004406055053876035,0.001472320376914027,0.01051345809885268,-0.023846137067574047,0.0,2.726519216506018e-05,2.1812153732037043e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.271823059808332e-05,1.0906076866046277e-05,5.4530384330231385e-06,5.4530384330231385e-06,1.6359115299013904e-05,5.4530384330231385e-06,-5.4530384330231385e-06,0.000278104960083736,-3.817126903110646e-05,-1.0906076866046277e-05,1.0906076866046277e-05,1.6359115299013904e-05,1.0906076866046277e-05,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.00010906076866029624,1.0906076866046277e-05,4.36243074641296e-05,5.4530384330231385e-06,5.4530384330231385e-06,3.271823059808332e-05,-2.1812153732037043e-05,-0.004476944553505224,-0.0004416961130742081,0.00011996684552634251,-0.004237010862452539,-0.009559176373075073,-9.270165336128233e-05,-0.005862016315490992,-2.1812153732037043e-05,3.271823059808332e-05,0.0021539501810408646,-0.0008015966496531801,-0.00637460192819439,0.0,0.0,3.817126903110646e-05,-0.0023175413340313367,0.0012541988395934345,-0.004416961130742081,-0.0044006020154430114,0.00011996684552634251,0.0030918727915194566,0.0005562099201675275,-0.0004035248440431016,0.0008015966496531801,-0.0008942983030144624,-0.00018540330672250915,0.0004744143436722914,-1.6359115299069416e-05,0.007307071500239903,5.4530384330231385e-06,-3.817126903110646e-05,0.0,0.003844392095275484,-0.0005343977664354904,0.0,0.0,0.0,0.001777690529162823,0.0021430441041748183,0.0005453038433014812,-0.0001036077302272731,0.0,-0.004247916939318586,5.4530384330231385e-06,-0.0017013479911006657,0.0009924529948087124,-0.0005125856127033979,0.0001472320376914027,0.000338088382846935,-5.99834227631435e-05,-0.0009106574183134764,5.4530384330231385e-06,3.817126903110646e-05,-0.00014177899925837956,-9.270165336128233e-05,-0.0007252541115909672,-5.4530384330231385e-06,0.0,0.0,0.0019467347205863184,-0.005322165510622534,-0.002164856257906911,-0.0004471491515072312,1.0906076866046277e-05,0.004569646206866451,3.271823059808332e-05
