,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Rando eval Iter 0,0.0010906076866029624,0.0,0.0,5.4530384330231385e-06,0.0,0.0012923701086245132,5.998342276317126e-05,-5.453038433014812e-05,-0.0001036077302272731,0.0008343148802512634,0.0,1.0906076866018521e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.00022902761418663875,0.0012323866858613697,-0.0005343977664354627,-0.0005016795358373793,0.0015104916459451334,4.907734589712498e-05,0.0012814640317584947,0.0,0.0,-4.907734589712498e-05,2.18121537320648e-05,0.0,0.0017885966060288694,-5.453038433014812e-05,0.0,0.0,0.0,0.00023993369105265727,-0.00019630938358852768,-0.0018758452209571286,-0.0018104087597609342,0.0,-0.00023448065261963413,-0.0002508397679186758,0.0010197181869737726,0.0010360773022728142,0.0001690441914234675,0.0003980718056100785,-0.0001036077302272731,0.0002944640753828054,0.000828861841818268,4.36243074641296e-05,5.453038433014812e-05,0.0,0.002481132487021781,0.001003359071674731,0.0,0.0,0.0,0.000954281725777606,-0.001003359071674731,0.0,0.0025193037560528597,0.0,0.0004853204205383377,-1.0906076866018521e-05,0.0004635082668062729,-0.00027810496008376373,-0.0006707237272608191,9.270165336125458e-05,-0.00017995026828948602,0.0002508397679186758,-0.0005780220738995645,0.00016359115299044436,0.0003053701522488239,0.0,-0.00027810496008376373,0.00026719888321771745,0.0,0.0,0.0,-0.0005834751123325876,0.0003053701522488239,2.7265192165087937e-05,-0.0005289447280024395,0.0,0.00029991711381582853,-0.0002453867294856804,-0.001570475068708277,0.0008506739955503329,-0.0003489944597129535,-0.004956811935610511,0.0004744143436722914,-0.004035248440431016,4.36243074641296e-05,0.00015268507612442583,0.0004035248440431016,0.0,-0.00013632596082538417,-0.00047986738210531454,0.0,0.0,-4.36243074641296e-05,-0.001521397722811152,0.0008833922261484162,0.0010524364175718837,0.0012105745321293049,0.0,-5.4530384330231385e-06,-0.0018594861056580592,-0.0001036077302272731,-0.0001690441914234675,0.0003489944597129535,-0.00032172926754786557,-0.00014177899925837956,0.00022902761418663875,7.634253806221292e-05,0.00026719888321771745,0.0018703921825241054,0.0,-5.4530384330231385e-06,0.005545740086376122,0.0,0.0,0.0,0.0020448894123805683,0.004106137940060206,0.0005289447280024395,0.0009161104567464995,2.7265192165087937e-05,0.0,0.0032063865986127482
Rando eval Iter 1,0.001139685032500115,0.0,0.0,-5.4530384330231385e-06,0.0,0.0016140993761724065,2.7265192165087937e-05,-8.724861492823144e-05,-0.0001472320376914027,0.0007797844959211153,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0005016795358373793,0.0012869170701915178,-0.00025629280635169893,-0.0005616629586005228,0.0014886794922130686,0.00031082319068184705,0.0012214806089953234,0.0,0.0,-3.817126903110646e-05,-1.635911529904166e-05,0.0,0.001859486105658087,5.453038433014812e-05,0.0,0.0,0.0,0.00031082319068184705,-0.0002017624220215508,-0.0017667844522968323,-0.0020776076429786794,0.0,-0.00013087292239236104,-0.0003980718056100785,0.0008724861492823699,0.0009979060332417355,0.00018540330672250915,0.00038171269031103683,-9.270165336125458e-05,0.00025629280635169893,0.0007198010731579718,5.998342276317126e-05,1.0906076866018521e-05,0.0,0.00235025956462942,0.0011069668019020318,0.0,0.0,0.0,0.0009979060332417355,-0.000927016533612518,0.0,0.0023884308336605264,0.0,0.0002726519216507406,0.0,0.0005943811891986339,-0.00034354142127993037,-0.0006380054966627358,-2.726519216506018e-05,-0.00029991711381582853,0.00011451380709331938,-0.0005453038433014812,2.18121537320648e-05,0.00026719888321771745,0.0,-0.0002835579985167591,0.00041443092090912015,0.0,0.0,0.0,-0.0003708066134450183,0.0005234916895694164,9.815469179427772e-05,-0.00038171269031103683,0.0,0.00020721546045457395,-0.00010906076866029624,-0.0014396021463159159,0.0008888452645814393,-6.543646119616664e-05,-0.00511495005016796,0.00036535357501199517,-0.003980718056100868,8.179557649523606e-05,0.00011996684552631476,0.0001690441914234675,0.0,-7.634253806221292e-05,-0.0003271823059808887,0.0,0.0,0.0,-0.0016686297605025546,0.0006816298041268654,0.0012814640317584947,0.0011287789556340688,0.0,2.7265192165087937e-05,-0.0015486629149762121,-8.724861492823144e-05,-0.00014177899925837956,0.0003708066134450183,-0.00025629280635169893,-0.0001690441914234675,0.00013087292239236104,3.817126903110646e-05,3.817126903110646e-05,0.0017613314138638092,5.4530384330231385e-06,0.0,0.005343977664354571,0.0,0.0,0.0,0.0023720717183614848,0.004035248440431016,0.0007252541115909672,0.0008179557649522218,4.36243074641296e-05,0.0,0.003255463944509873
Rando eval Iter 2,0.001085154648169967,0.0,0.0,-1.0906076866018521e-05,0.0,0.001183309339964217,7.088949962918978e-05,-2.726519216506018e-05,-0.00015813811455742122,0.0008561270339833282,0.0,0.0,0.0,0.0,1.0906076866018521e-05,0.0,0.0,0.0,1.0906076866018521e-05,0.0,0.00028901103694978225,0.0014232430310168742,-0.0002944640753828054,-0.0005889281507656108,0.001346900492954689,0.00029991711381582853,0.001341447454521666,0.0,0.0,-3.817126903110646e-05,6.543646119616664e-05,0.0,0.001935828643720272,2.7265192165087937e-05,0.0,0.0,0.0,0.00025629280635169893,-0.00019630938358852768,-0.0016686297605025546,-0.002012171181782485,0.0,-0.00038716572874405997,-0.0003489944597129535,0.0011124198403350272,0.000877939187715393,0.0001690441914234675,0.00038716572874405997,-7.634253806221292e-05,0.00032172926754786557,0.0007088949962919255,6.543646119616664e-05,5.4530384330231385e-06,0.0,0.002481132487021781,0.0009597347642106291,0.0,0.0,0.0,0.0011233259172010734,-0.0011560441477991568,0.0,0.0025411159097849245,0.0,0.0003762596518780137,5.4530384330231385e-06,0.0005398508048684858,-0.00033263534441391185,-0.0006052872660646524,-0.0003162762291148702,-0.0003271823059808887,0.0002017624220215508,-0.0006598176503948006,-0.0001036077302272731,0.00027810496008376373,0.0,-0.0002508397679186758,0.0004853204205383377,0.0,0.0,0.0,-0.0007034419578589302,0.0003708066134450183,6.543646119616664e-05,-0.0004253369977751664,0.0,0.00023448065261963413,-0.0002726519216507406,-0.0012814640317584947,0.0007961436112201847,-0.00021812153732059247,-0.005283994241591428,0.00040897788247612477,-0.004073419709462123,8.724861492823144e-05,0.0002726519216507406,0.0002017624220215508,0.0,-0.00010906076866029624,-0.00023448065261963413,0.0,0.0,3.817126903110646e-05,-0.0018158617981939573,0.0008724861492823699,0.001183309339964217,0.0008888452645814393,0.0,1.0906076866018521e-05,-0.0016140993761724065,-0.00014177899925837956,-0.0002235745757536156,0.00046896130523926827,-0.00028901103694978225,-0.00015813811455742122,7.634253806221292e-05,6.543646119616664e-05,0.00015813811455742122,0.0018267678750599758,5.4530384330231385e-06,0.0,0.005360336779653613,0.0,0.0,0.0,0.002399336910526545,0.0040134362866989515,0.0006543646119617774,0.0007852375343541385,3.817126903110646e-05,0.0,0.0029337346769620076
Rando eval Iter 3,0.000954281725777606,0.0,0.0,0.0,0.0,0.0011996684552632864,4.907734589712498e-05,-1.635911529904166e-05,-0.00014177899925837956,0.0008343148802512634,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0003926187671770831,0.0012923701086245132,-0.0004253369977751664,-0.0006270994197967172,0.0015977402608733648,0.00016359115299044436,0.0012760109933254715,0.0,0.0,-5.453038433014812e-05,6.543646119616664e-05,0.0,0.0016413645683374667,-2.726519216506018e-05,0.0,0.0,0.0,0.0003162762291148702,-0.00020721546045457395,-0.0017122540679666565,-0.0019249225668542536,0.0,-5.998342276317126e-05,-0.00011996684552631476,0.0010797016097369438,0.000954281725777606,0.0001472320376914027,0.0003926187671770831,-3.817126903110646e-05,0.0003271823059808887,0.0006652706888278237,2.18121537320648e-05,3.271823059808332e-05,0.0,0.0025138507176198643,0.0010469833791388605,0.0,0.0,0.0,0.0005289447280024395,-0.0012051214936962817,0.0,0.0025138507176198643,0.0,0.00028901103694978225,1.635911529904166e-05,0.0006543646119617774,-0.00025629280635169893,-0.0008125027265192264,-1.635911529904166e-05,-0.0002726519216507406,0.00013087292239236104,-0.0007525193037560551,-9.270165336125458e-05,0.00021266849888756933,0.0,-0.0002508397679186758,0.00022902761418663875,0.0,0.0,0.0,-0.0005616629586005228,0.0004962264974043562,5.4530384330231385e-06,-0.0003708066134450183,0.0,0.0001908563451555323,-0.00011451380709331938,-0.0014014308772848094,0.0009760938795096707,0.00021266849888756933,-0.005164027396065085,0.0005943811891986339,-0.004057060594163053,9.815469179427772e-05,0.00021266849888756933,0.0001908563451555323,0.0,-0.00011996684552631476,-0.00038171269031103683,0.0,0.0,2.18121537320648e-05,-0.0015759281071413,0.000697988919425907,0.001314182262356578,0.0011451380709331382,0.0,-1.0906076866018521e-05,-0.0017885966060288694,-0.00013087292239236104,-0.0002017624220215508,0.0004526021899402266,-7.088949962918978e-05,-0.0001690441914234675,0.0001472320376914027,3.271823059808332e-05,0.00033263534441391185,0.0017286131832657259,1.0906076866018521e-05,5.4530384330231385e-06,0.005300353356890469,0.0,0.0,0.0,0.00203398333551455,0.00431335340051478,0.0008397679186842866,0.0006107403044976756,4.36243074641296e-05,0.0,0.0033154473672730445
Rando eval Iter 4,0.0009706408410766476,0.0,0.0,0.0,0.0,0.0014286960694498974,7.088949962918978e-05,-4.907734589712498e-05,-0.00023993369105265727,0.0008452209571173097,0.0,1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028355799851678687,0.0012760109933254715,-0.00014177899925837956,-0.0005943811891986339,0.0015104916459451334,0.0004253369977751664,0.0012596518780264299,0.0,0.0,-1.635911529904166e-05,-3.271823059808332e-05,0.0,0.0017885966060288694,-7.088949962918978e-05,0.0,0.0,0.0,0.00027810496008376373,-0.00018540330672250915,-0.001625005453038425,-0.002088513719844698,0.0,-0.000338088382846935,-0.00010906076866029624,0.0010797016097369438,0.0008506739955503329,0.00016359115299044436,0.0004035248440431016,-7.088949962918978e-05,0.000338088382846935,0.0007034419578589302,3.817126903110646e-05,2.7265192165087937e-05,0.0,0.00244841425642367,0.001139685032500115,0.0,0.0,0.0,0.0012269336474283465,-0.0010142651485407772,0.0,0.0024702264101557347,0.0,0.0001690441914234675,1.0906076866018521e-05,0.0005562099201675275,-0.0003053701522488239,-0.0006107403044976756,-0.00013087292239236104,-0.000338088382846935,0.00026174584478472207,-0.000697988919425907,5.453038433014812e-05,0.00040897788247612477,0.0,-0.00026719888321771745,0.00036535357501199517,0.0,0.0,0.0,-0.0008615800724163514,0.00029991711381582853,-1.0906076866018521e-05,-0.0004471491515072312,0.0,0.0001690441914234675,0.0001036077302272731,-0.001395977838851814,0.000828861841818268,-0.00023993369105265727,-0.00511495005016796,0.0004471491515072312,-0.003822579941543419,5.998342276317126e-05,0.00014177899925837956,0.0001690441914234675,0.0,-0.0001254198839593379,-0.00036535357501199517,0.0,0.0,4.907734589712498e-05,-0.0015759281071413,0.000954281725777606,0.001494132530646064,0.0009379226104785643,0.0,-2.18121537320648e-05,-0.001445055184748939,-0.0001036077302272731,-0.00018540330672250915,0.0003708066134450183,-0.00026174584478472207,-0.0001908563451555323,0.00019630938358852768,4.907734589712498e-05,0.00023993369105265727,0.0018431269903590175,0.0,0.0,0.0055075688173450155,0.0,0.0,5.4530384330231385e-06,0.0021212319504427812,0.004177027439689396,0.0006380054966627358,0.0008397679186842866,3.817126903110646e-05,0.0,0.0033699777516031926
Rando eval Iter 5,0.0009815469179426661,0.0,0.0,0.0,0.0,0.0013305413776556196,4.907734589712498e-05,-4.36243074641296e-05,-0.000229027614186611,0.0009324695720455412,0.0,5.4530384330231385e-06,0.0,0.0,1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0004035248440431016,0.0013250883392226243,-0.0004526021899402266,-0.0005071325742703747,0.0012269336474283465,0.00033263534441391185,0.0013087292239235826,0.0,0.0,-1.635911529904166e-05,-1.0906076866018521e-05,0.0,0.001859486105658087,2.18121537320648e-05,0.0,0.0,0.0,0.00028355799851678687,-0.00023448065261963413,-0.0017395192601317444,-0.0021594032194738877,0.0,-0.0002453867294856804,-0.00026719888321771745,0.0010797016097369438,0.0009324695720455412,0.00014177899925837956,0.00036535357501199517,-1.635911529904166e-05,0.00032172926754786557,0.0007743314574881199,5.4530384330231385e-06,2.18121537320648e-05,0.0,0.0024429612179906746,0.0010142651485407772,0.0,0.0,0.0,0.0011015137634690086,-0.0011996684552632586,0.0,0.0023557126030624154,0.0,0.00019630938358852768,1.0906076866018521e-05,0.000567115997033546,-0.00026719888321771745,-0.0006816298041268654,-4.907734589712498e-05,-0.00025629280635169893,0.0001908563451555323,-0.00045805522837324975,0.00011996684552631476,0.0004962264974043562,0.0,-0.0002508397679186758,0.0003980718056100785,0.0,0.0,0.0,-0.0007143480347249487,0.000338088382846935,8.179557649523606e-05,-0.000518038651136421,0.0,0.0001908563451555323,-0.00013087292239236104,-0.0015922872224403417,0.0007307071500239903,-0.00023993369105265727,-0.004858657243816261,0.00041443092090912015,-0.0041443092090913125,-5.998342276317126e-05,0.0002017624220215508,0.0003926187671770831,0.0,-0.00013087292239236104,-0.0005343977664354627,0.0,0.0,3.817126903110646e-05,-0.001341447454521666,0.0008506739955503329,0.0011069668019020318,0.0012269336474283465,0.0,-2.726519216506018e-05,-0.0014068839157178326,1.635911529904166e-05,-0.0001472320376914027,0.00043624307464118495,-0.00019630938358852768,-0.0001472320376914027,9.815469179427772e-05,3.271823059808332e-05,0.0002508397679186758,0.0018267678750599758,-5.4530384330231385e-06,0.0,0.005523927932644057,0.0,0.0,0.0,0.002273917026567207,0.004149762247524308,0.0006107403044976756,0.000877939187715393,3.817126903110646e-05,0.0,0.0033427125594381324
Rando eval Iter 6,0.001085154648169967,0.0,0.0,-5.4530384330231385e-06,0.0,0.0014123369541508557,7.088949962918978e-05,-3.271823059808332e-05,-0.000229027614186611,0.0010960607250359855,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0003708066134450183,0.0015922872224403417,-0.0004198839593421433,-0.0005016795358373793,0.001341447454521666,0.0002726519216507406,0.0013032761854905595,0.0,0.0,0.0,0.0,0.0,0.001755878375430786,-1.0906076866018521e-05,0.0,0.0,0.0,0.00021266849888756933,-0.00017995026828948602,-0.0017722374907298277,-0.002143044104174846,0.0,-0.00023993369105265727,-0.0004035248440431016,0.0010415303407058374,0.0008397679186842866,0.00016359115299044436,0.00038716572874405997,-7.088949962918978e-05,0.0003053701522488239,0.0007688784190550968,5.453038433014812e-05,-1.0906076866018521e-05,0.0,0.002481132487021781,0.0010360773022728142,0.0,0.0,0.0,0.0007252541115909672,-0.0009651878026436245,0.0,0.002502944640753818,0.0,0.00038171269031103683,-5.4530384330231385e-06,0.0005016795358373793,-0.0003162762291148702,-0.0006598176503948006,-5.4530384330231385e-06,-0.0001690441914234675,0.00011451380709331938,-0.0005453038433014812,-0.0001254198839593379,0.0003053701522488239,0.0,-0.0002508397679186758,0.0003926187671770831,0.0,0.0,0.0,-0.000697988919425907,0.00034354142127993037,-1.635911529904166e-05,-0.0003708066134450183,0.0,0.0002726519216507406,-0.0001254198839593379,-0.0013578065698207076,0.0008506739955503329,-3.271823059808332e-05,-0.005038607512105747,0.00045805522837324975,-0.0038334860184094655,8.179557649523606e-05,0.00011451380709331938,0.0003053701522488239,0.0,-4.907734589712498e-05,-0.00035990053657897203,0.0,0.0,5.453038433014812e-05,-0.0017395192601317444,0.0006652706888278237,0.001494132530646064,0.0009324695720455412,0.0,-1.0906076866018521e-05,-0.001832220913492999,-0.00011996684552631476,-0.00016359115299044436,0.00035990053657897203,-0.00026719888321771745,-0.00016359115299044436,0.00023993369105265727,2.7265192165087937e-05,0.0002453867294856804,0.0015323037996771705,1.635911529904166e-05,-5.4530384330231385e-06,0.005349430702787594,0.0,0.0,5.4530384330231385e-06,0.002224839680670082,0.003942546787069762,0.0005453038433014812,0.0007634253806220737,4.36243074641296e-05,-5.4530384330231385e-06,0.003304541290407026
Rando eval Iter 7,0.0008888452645814393,0.0,0.0,-5.4530384330231385e-06,0.0,0.0015104916459451334,5.453038433014812e-05,-3.271823059808332e-05,-0.0002508397679186758,0.000905204379880481,0.0,-5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0003980718056100785,0.0011996684552632864,-0.00021812153732059247,-0.000518038651136421,0.0016195524146054296,0.0002508397679186758,0.001139685032500115,0.0,0.0,-2.18121537320648e-05,4.36243074641296e-05,0.0,0.0018922043362561702,1.635911529904166e-05,0.0,0.0,0.0,0.00027810496008376373,-0.00015268507612442583,-0.0017995026828949157,-0.0020994197967107164,0.0,-0.00023448065261963413,-0.00027810496008376373,0.0008125027265192264,0.0009651878026436245,0.00016359115299044436,0.00038716572874405997,-8.179557649523606e-05,0.000338088382846935,0.0007088949962919255,2.18121537320648e-05,5.998342276317126e-05,0.0,0.0025138507176198643,0.0010360773022728142,0.0,0.0,0.0,0.00118876237839724,-0.0011778563015312216,0.0,0.0024702264101557347,0.0,0.0003053701522488239,0.0,0.0004635082668062729,-0.0003980718056100785,-0.0006434585350957589,-8.724861492823144e-05,-0.0002235745757536156,0.00020721546045457395,-0.0004635082668062729,0.0001036077302272731,0.0005343977664354627,0.0,-0.0002835579985167591,0.0003762596518780137,0.0,0.0,0.0,-0.0007198010731579718,0.00028355799851678687,1.635911529904166e-05,-0.0003053701522488239,0.0,0.00022902761418663875,-0.00016359115299044436,-0.0013796187235527724,0.0008343148802512634,-0.0001472320376914027,-0.00521310474196221,0.0003708066134450183,-0.004160668324390354,3.271823059808332e-05,0.00023448065261963413,5.998342276317126e-05,0.0,-6.543646119616664e-05,-0.0004526021899402266,0.0,0.0,4.36243074641296e-05,-0.0015050386075121103,0.0005616629586005228,0.0011669502246651753,0.0011669502246651753,0.0,-2.18121537320648e-05,-0.0014832264537800455,-7.088949962918978e-05,-0.00010906076866029624,0.0003708066134450183,-0.0003053701522488239,-0.00015268507612442583,0.00020721546045457395,6.543646119616664e-05,0.00018540330672250915,0.0017177071063996796,5.4530384330231385e-06,5.4530384330231385e-06,0.005283994241591428,0.0,0.0,0.0,0.002012171181782485,0.004111590978493229,0.0006925358809928839,0.0008997513414474578,3.271823059808332e-05,0.0,0.003353618636304151
Rando eval Iter 8,0.0009924529948087124,0.0,0.0,-2.726519216506018e-05,0.0,0.0011996684552632864,4.36243074641296e-05,-4.907734589712498e-05,-0.00017995026828948602,0.000905204379880481,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,-5.4530384330231385e-06,0.0,0.0002944640753828054,0.001445055184748939,-0.00033263534441391185,-0.0005943811891986339,0.0013359944160886428,0.00036535357501199517,0.001346900492954689,0.0,0.0,-2.726519216506018e-05,2.18121537320648e-05,0.0,0.0016631767220695315,-5.4530384330231385e-06,0.0,0.0,0.0,0.00036535357501199517,-0.00016359115299044436,-0.0015759281071413,-0.0021103258735767627,0.0,-0.0002835579985167591,-0.00029991711381582853,0.0009651878026436245,0.0008942983030144347,0.0001690441914234675,0.0003980718056100785,-7.634253806221292e-05,0.0003271823059808887,0.0005943811891986339,5.453038433014812e-05,1.635911529904166e-05,0.0,0.002508397679186841,0.001003359071674731,0.0,0.0,0.0,0.0010469833791388605,-0.0010415303407058374,0.0,0.0025465689482179477,0.0,0.00015268507612442583,1.0906076866018521e-05,0.0005453038433014812,-0.0004035248440431016,-0.000648911573528782,0.0,-0.00019630938358852768,0.00015268507612442583,-0.0006270994197967172,-5.4530384330231385e-06,0.0004416961130742081,0.0,-0.0002726519216507406,0.00035990053657897203,0.0,0.0,0.0,-0.0005889281507656108,0.00036535357501199517,-1.0906076866018521e-05,-0.00046896130523926827,0.0,0.00013632596082538417,-2.18121537320648e-05,-0.0012596518780264299,0.0008670331108493745,-0.0002508397679186758,-0.005093137896435895,0.00031082319068184705,-0.003920734633337697,7.088949962918978e-05,0.00019630938358852768,0.0005016795358373793,0.0,-5.998342276317126e-05,-0.000338088382846935,0.0,0.0,7.088949962918978e-05,-0.0015759281071413,0.000616193342930671,0.0008343148802512634,0.0009597347642106291,0.0,-2.726519216506018e-05,-0.001804955721327911,-4.36243074641296e-05,-0.0001254198839593379,0.0003489944597129535,-0.00023993369105265727,-9.815469179427772e-05,0.00023448065261963413,7.634253806221292e-05,0.00013632596082538417,0.0016740827989355778,5.4530384330231385e-06,0.0,0.005365789818086636,0.0,0.0,5.4530384330231385e-06,0.002224839680670082,0.004084325786328141,0.0007034419578589302,0.0008452209571173097,4.36243074641296e-05,0.0,0.0034463202896654055
Rando eval Iter 9,0.001134231994067092,0.0,0.0,1.0906076866018521e-05,0.0,0.0014777734153470223,6.543646119616664e-05,-6.543646119616664e-05,-0.00023993369105265727,0.0008561270339833282,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.00035990053657897203,0.001134231994067092,-0.00033263534441391185,-0.0006107403044976756,0.0015050386075121103,0.00015813811455742122,0.0012760109933254715,0.0,0.0,-2.18121537320648e-05,-5.453038433014812e-05,0.0,0.0016958949526676148,-3.817126903110646e-05,0.0,0.0,0.0,0.00023448065261963413,-0.00015268507612442583,-0.0017395192601317444,-0.0021594032194738877,0.0,-0.00036535357501199517,-0.0003489944597129535,0.0009488286873445828,0.0009760938795096707,0.00018540330672250915,0.0003926187671770831,-5.998342276317126e-05,0.00032172926754786557,0.0005616629586005228,3.271823059808332e-05,2.7265192165087937e-05,0.0,0.0023829777952275033,0.0010633424944379022,0.0,0.0,0.0,0.0010251712254067957,-0.0011287789556340688,0.0,0.0025629280635169893,0.0,0.00034354142127993037,-5.4530384330231385e-06,0.000567115997033546,-0.0003926187671770831,-0.0006216463813636941,-0.0003708066134450183,-0.0002835579985167591,0.00016359115299044436,-0.0006434585350957589,0.00019630938358852768,0.00041443092090912015,0.0,-0.0002508397679186758,0.00035990053657897203,0.0,0.0,0.0,-0.0005834751123325876,0.0003926187671770831,4.907734589712498e-05,-0.00035990053657897203,0.0,0.0002235745757536156,4.907734589712498e-05,-0.001521397722811152,0.0008015966496531801,-0.00016359115299044436,-0.005016795358373682,0.0005234916895694164,-0.0036317235963879146,3.817126903110646e-05,0.00011996684552631476,0.0004198839593421433,0.0,-6.543646119616664e-05,-0.0004253369977751664,0.0,0.0,1.635911529904166e-05,-0.0016304584914714482,0.0007034419578589302,0.0012978231470575363,0.0011942154168302632,0.0,1.635911529904166e-05,-0.0018104087597609342,-8.179557649523606e-05,-0.0002235745757536156,0.0003162762291148702,-0.0002235745757536156,-0.00015268507612442583,0.00010906076866029624,3.271823059808332e-05,0.00025629280635169893,0.0016631767220695315,0.0,0.0,0.005354883741220617,0.0,0.0,0.0,0.0024702264101557347,0.0041443092090913125,0.0007525193037560551,0.0008506739955503329,4.36243074641296e-05,5.4530384330231385e-06,0.003042795445622304
