,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Decis eval Iter 0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,-0.0002617458447846943,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,-0.00034354142127993037,0.0,-5.453038432995383e-06,0.0,-0.00038716572874405997,-0.0006761767656938422,0.0,0.0,0.0,0.0,0.0,0.0,0.017765999214762476,0.0,0.0,0.0,0.0,0.0012432927627273882,0.0,0.0,-0.0035990053657898036,0.0,0.0,0.003304541290407026,-0.0008015966496531801,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004035248440431016,0.0,0.0,8.179557649523606e-05,0.0,0.0,0.0,0.0,-4.362430746410184e-05,0.0004253369977751664,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,-5.453038433014812e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001036077302272731,0.0008179557649522495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009106574183135041,0.0,0.0,0.0,0.0,0.008217728918553435,0.00018540330672250915,0.0,0.0,0.0,0.0,-0.00017449722985646288,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0002126684988875971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013632596082535642,0.0,0.0,0.0,0.0
Decis eval Iter 1,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,-0.0002017624220215508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031627622911484243,0.0,-2.726519216506018e-05,0.0,-0.0003980718056100785,-0.0006543646119617774,0.0,0.0,0.0,0.0,0.0,0.0,0.017940496444618953,0.0,0.0,0.0,0.0,0.00116149718623218,0.0,0.0,-0.003713519172883123,0.0,0.0,0.0033209004057060676,-0.000796143611220157,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003162762291148702,0.0,5.4530384330231385e-06,7.634253806221292e-05,0.0,0.0,0.0,0.0,-1.635911529904166e-05,0.00043079003620818956,0.0,0.0,0.0,-2.726519216506018e-05,0.0,-1.635911529904166e-05,0.0,0.0,0.0,0.0,0.0,0.0,-6.543646119616664e-05,0.0008125027265192264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010524364175718837,0.0,0.0,0.0,0.0,0.008332242725646727,0.0001908563451555323,0.0,0.0,0.0,0.0,-0.00010906076866029624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.179557649523606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015813811455742122,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 2,0.0,0.0,0.0,1.0906076866046277e-05,0.0,0.0,-5.453038432995383e-06,0.0,0.0,-0.00015813811455742122,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,-0.00038171269031103683,0.0,-2.18121537320648e-05,0.0,-0.0003980718056100785,-0.0006816298041268376,0.0,0.0,0.0,0.0,0.0,0.0,0.017646032369236148,0.0,0.0,0.0,0.0,0.0012214806089953512,0.0,0.0,-0.0032172926754787667,0.0,0.0,0.003277276098241938,-0.0007797844959211153,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003162762291148702,0.0,0.0,8.72486149282592e-05,0.0,0.0,0.0,0.0,-4.907734589712498e-05,0.00038171269031103683,0.0,0.0,0.0,-2.726519216506018e-05,0.0,-3.271823059808332e-05,0.0,0.0,0.0,0.0,0.0,0.0,-7.634253806221292e-05,0.0008997513414474578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000954281725777606,0.0,0.0,0.0,0.0,0.008168651572656283,0.00025083976791870355,0.0,0.0,0.0,0.0,-0.00011451380709329162,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,7.088949962918978e-05,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.00019630938358852768,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002617458447846943,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.00035990053657897203,0.0,-2.726519216506018e-05,0.0,-0.0004198839593421433,-0.0007416132268900089,0.0,0.0,0.0,0.0,0.0,0.0,0.01719888321772893,0.0,0.0,0.0,0.0,0.0011778563015312216,0.0,0.0,-0.00322274571391179,0.0,0.0,0.0032663700213759195,-0.0008070496880862033,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000338088382846935,0.0,0.0,6.54364611961944e-05,0.0,0.0,0.0,0.0,-7.088949962918978e-05,-0.00022357457575358786,0.0,0.0,0.0,-2.726519216506018e-05,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.99834227631435e-05,0.0008506739955503329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008724861492823976,0.0,0.0,0.0,0.0,0.008228634995419454,0.00019630938358855543,0.0,0.0,0.0,0.0,-0.00015268507612439808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019085634515550454,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 4,0.0,0.0,0.0,1.0906076866046277e-05,0.0,0.0,-5.453038432995383e-06,0.0,0.0,-0.00022357457575358786,0.0,0.0,0.0,0.0,-1.635911529904166e-05,0.0,0.0,0.0,0.0,0.0,-0.0003489944597129535,0.0,-5.453038432995383e-06,0.0,-0.00039261876717705535,-0.0005943811891986062,0.0,0.0,0.0,0.0,0.0,0.0,0.01772782794573137,0.0,0.0,0.0,0.0,0.0011996684552632864,0.0,0.0,-0.00360991144265585,0.0,0.0,0.0032063865986127482,-0.0008125027265191986,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003489944597129535,0.0,0.0,8.72486149282592e-05,0.0,0.0,0.0,0.0,-5.453038433014812e-05,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,1.0906076866046277e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.270165336125458e-05,0.0008452209571173097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009651878026436522,0.0,0.0,0.0,0.0,0.008294071456615648,0.0001908563451555323,0.0,0.0,0.0,0.0,-0.00019630938358852768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011451380709331938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021266849888756933,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 5,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,-2.18121537320648e-05,0.0,0.0,-0.00019085634515550454,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.00035990053657897203,0.0,0.0,0.0,-0.00042533699777513867,-0.0007416132268900089,0.0,0.0,0.0,0.0,0.0,0.0,0.017613314138638064,0.0,0.0,0.0,0.0,0.0011833093399642447,0.0,0.0,-0.004078872747895118,0.0,0.0,0.0031627622911486464,-0.0008343148802512634,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003599005365789998,0.0,1.635911529904166e-05,0.00010906076866029624,0.0,0.0,0.0,0.0,0.0,0.0003162762291148702,0.0,0.0,0.0,-2.18121537320648e-05,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.724861492823144e-05,0.0008670331108493745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008125027265192264,0.0,0.0,0.0,0.0,0.008174104611089306,0.00030537015224885167,0.0,0.0,0.0,0.0,-0.0001472320376914027,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.00011451380709331938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017449722985646288,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,-0.00018540330672250915,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.0003762596518780137,0.0,0.0,0.0,-0.00044714915150720347,-0.0006870828425598607,0.0,0.0,0.0,0.0,0.0,0.0,0.017482441216245703,0.0,0.0,0.0,0.0,0.001216027570562328,0.0,0.0,-0.0037844086725123127,0.0,0.0,0.0033209004057060676,-0.0007252541115909672,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003435414212799581,0.0,5.4530384330231385e-06,9.270165336125458e-05,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0002344806526196619,0.0,0.0,0.0,-1.635911529904166e-05,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,-7.634253806221292e-05,0.0007743314574881199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010742485713039485,0.0,0.0,0.0,0.0,0.008288618418182625,0.0001472320376914027,0.0,0.0,0.0,0.0,-0.00018540330672250915,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.00023993369105265727,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.0002017624220215508,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 7,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,-0.0001472320376914027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003762596518780137,0.0,-2.18121537320648e-05,0.0,-0.0004035248440431016,-0.0006925358809928839,0.0,0.0,0.0,0.0,0.0,0.0,0.01791323125245388,0.0,0.0,0.0,0.0,0.0012105745321293049,0.0,0.0,-0.0037844086725123127,0.0,0.0,0.0033699777516031926,-0.0008179557649522218,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004253369977751664,0.0,0.0,8.72486149282592e-05,0.0,0.0,0.0,0.0,-2.18121537320648e-05,-0.0002017624220215508,0.0,0.0,0.0,-2.18121537320648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.270165336125458e-05,0.0008615800724163514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009815469179426939,0.0,0.0,0.0,0.0,0.008174104611089306,0.0002671988832177452,0.0,0.0,0.0,0.0,-0.00010906076866029624,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,7.088949962918978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016904419142343974,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,-0.0002508397679186758,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,-0.00036535357501199517,0.0,-2.18121537320648e-05,0.0,-0.0003980718056100785,-0.000747066265323032,0.0,0.0,0.0,0.0,0.0,0.0,0.01740609867818349,0.0,0.0,0.0,0.0,0.0011996684552632864,0.0,0.0,-0.003849845133708507,0.0,0.0,0.0032609169829428963,-0.0007579723421890505,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144309209091479,0.0,5.4530384330231385e-06,7.634253806221292e-05,0.0,0.0,0.0,0.0,-2.726519216506018e-05,0.0003599005365789998,0.0,0.0,0.0,-1.635911529904166e-05,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.815469179424996e-05,0.0009106574183135041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009215634951795226,0.0,0.0,0.0,0.0,0.007868734458840482,0.00026174584478472207,0.0,0.0,0.0,0.0,-0.00017995026828948602,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,3.817126903110646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002072154604545462,0.0,0.0,0.0,-5.453038432995383e-06
Decis eval Iter 9,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,-0.00019630938358852768,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.0003762596518780137,0.0,-1.0906076866018521e-05,0.0,-0.000408977882476097,-0.0005943811891986062,0.0,0.0,0.0,0.0,0.0,0.0,0.0178477947912577,0.0,0.0,0.0,0.0,0.001216027570562328,0.0,0.0,-0.004029795401997993,0.0,0.0,0.0033372595210051093,-0.0007688784190550968,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003708066134450183,0.0,0.0,7.634253806221292e-05,0.0,0.0,0.0,0.0,-3.817126903110646e-05,-3.271823059808332e-05,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.634253806221292e-05,0.0007961436112201847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000877939187715393,0.0,0.0,0.0,0.0,0.008403132225275944,0.00019630938358855543,0.0,0.0,0.0,0.0,-3.817126903110646e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,6.54364611961944e-05,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,-0.0002617458447846943,0.0,0.0,0.0,-5.453038432995383e-06
