,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Linea eval Iter 0,-1.0906076866018521e-05,-0.028846573310648688,7.634253806221292e-05,3.817126903110646e-05,-3.271823059808332e-05,0.0,-0.0007361601884569857,0.0,0.0,0.0,-0.058783754307900365,4.9077345897152735e-05,0.0,0.0,0.0,-0.00035990053657897203,1.635911529904166e-05,-5.453038432995383e-06,-2.726519216506018e-05,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019630938358855543,0.0,0.0,5.4530384330231385e-06,0.0,0.0005943811891986339,-5.453038432995383e-06,3.2718230598111075e-05,-2.1812153732037043e-05,-5.99834227631435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,5.4530384330231385e-06,0.0,-5.453038432995383e-06,0.0,0.0126074248571304,9.270165336125458e-05,-4.362430746410184e-05,4.9077345897152735e-05,-2.1812153732037043e-05,0.0038662042490075488,0.01422697727173583,0.0,0.0,3.817126903110646e-05,0.009504645988744925,-1.0906076866018521e-05,0.0,0.0,-0.01784779479125767,-9.815469179424996e-05,-0.00016359115299044436,-0.0011233259172010457,-0.0009815469179426661,-0.0005453038433014812,-3.271823059808332e-05,0.00013087292239236104,0.00026174584478472207,-3.817126903110646e-05,-0.00021266849888756933,-0.0002944640753828054,-1.635911529904166e-05,-5.453038432995383e-06,-0.0020776076429786516,0.0,-5.453038432995383e-06,0.0,0.00010906076866029624,5.998342276317126e-05,0.0,0.0,0.0,1.635911529904166e-05,9.270165336125458e-05,0.00028901103694981,0.0004471491515072312,0.0,-5.453038432995383e-06,0.0,-6.543646119616664e-05,-3.271823059808332e-05,-5.453038433014812e-05,1.635911529904166e-05,5.453038433014812e-05,-1.635911529904166e-05,-0.00405160755573003,0.0,0.0,-5.453038432995383e-06,-4.362430746410184e-05,5.4530384330231385e-06,0.0,0.0,0.0,7.088949962918978e-05,-5.453038432995383e-06,0.00010360773022730085,4.9077345897152735e-05,0.0,-5.453038433014812e-05,-5.453038432995383e-06
Linea eval Iter 1,1.635911529904166e-05,-0.03050975003271822,1.0906076866046277e-05,5.4530384330231385e-06,2.7265192165087937e-05,0.0,-0.0005998342276316293,0.0,0.0,0.0,-0.05844021288662041,-7.634253806218516e-05,0.0,0.0,0.0,-0.0003980718056100785,0.0,5.453038433014812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.00010906076866029624,0.0,0.0,0.0,0.0,0.0006380054966627635,0.0,0.0,-6.543646119616664e-05,-2.726519216506018e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-5.453038432995383e-06,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.013163634777297928,0.00016359115299044436,-5.453038433014812e-05,5.453038433014812e-05,5.4530384330231385e-06,0.003871657287440572,0.01439602146315927,-5.453038432995383e-06,0.0,5.453038433014812e-05,0.010289883523099091,-5.453038432995383e-06,0.0,0.0,-0.01848034724948741,-4.362430746410184e-05,-0.0001472320376914027,-0.0010906076866029624,-0.0009379226104785365,-0.0005289447280024395,0.0,0.00015813811455744897,0.00027810496008376373,-8.724861492823144e-05,-0.00016359115299044436,-0.0002508397679186758,-1.0906076866018521e-05,-5.453038432995383e-06,-0.0019140164899882073,0.0,0.0,0.0,4.9077345897152735e-05,5.453038433014812e-05,0.0,0.0,0.0,3.817126903110646e-05,0.00010906076866029624,0.0003162762291148702,0.00043079003620818956,0.0,0.0,0.0,-2.726519216506018e-05,-1.635911529904166e-05,-3.271823059808332e-05,-5.453038432995383e-06,4.36243074641296e-05,-1.0906076866018521e-05,-0.004586005322165493,0.0,0.0,1.635911529904166e-05,-4.362430746410184e-05,-1.0906076866018521e-05,0.0,0.0,0.0,1.0906076866046277e-05,0.0,5.998342276317126e-05,6.54364611961944e-05,0.0,-5.99834227631435e-05,0.0
Linea eval Iter 2,1.635911529904166e-05,-0.030155302534572243,5.4530384330231385e-06,-2.1812153732037043e-05,3.817126903110646e-05,0.0,-0.000229027614186611,-1.0906076866018521e-05,0.0,0.0,-0.05841294769445535,2.7265192165087937e-05,0.0,0.0,0.0,-0.00046896130523926827,5.4530384330231385e-06,5.998342276317126e-05,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,-5.453038432995383e-06,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001472320376914027,0.0,0.0,0.0,-5.453038432995383e-06,0.0005616629586005506,0.0,1.635911529904166e-05,-1.0906076866018521e-05,-6.543646119616664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635911529904166e-05,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.01267831435675959,0.00025083976791870355,-4.907734589712498e-05,2.18121537320648e-05,-1.635911529904166e-05,0.0038116738646774007,0.014592330846747825,0.0,0.0,-1.0906076866018521e-05,0.009706408410766476,-3.271823059808332e-05,0.0,0.0,-0.018284037865898856,-7.634253806218516e-05,-0.00018540330672250915,-0.0011124198403350272,-0.0009433756489115597,-0.00044714915150720347,-2.726519216506018e-05,0.00013632596082538417,0.0003162762291148702,-5.453038433014812e-05,-0.00021812153732059247,-0.0002617458447846943,-1.635911529904166e-05,0.0,-0.002115778912009758,0.0,0.0,0.0,7.088949962918978e-05,4.36243074641296e-05,0.0,0.0,0.0,3.817126903110646e-05,8.72486149282592e-05,0.000338088382846935,0.0004962264974043562,0.0,-5.453038432995383e-06,0.0,-2.1812153732037043e-05,-1.0906076866018521e-05,0.0,-3.271823059808332e-05,1.635911529904166e-05,-2.726519216506018e-05,-0.004029795401997993,0.0,0.0,5.4530384330231385e-06,-3.271823059808332e-05,1.0906076866046277e-05,0.0,0.0,0.0,3.2718230598111075e-05,5.4530384330231385e-06,3.817126903110646e-05,4.36243074641296e-05,0.0,-1.635911529904166e-05,0.0
Linea eval Iter 3,5.4530384330231385e-06,-0.03038433014875888,4.36243074641296e-05,-5.453038432995383e-06,0.0,0.0,0.0012105745321293049,0.0,0.0,0.0,-0.05761135104480217,-5.99834227631435e-05,0.0,0.0,0.0,-0.00032172926754786557,-5.453038432995383e-06,2.18121537320648e-05,1.635911529904166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,8.179557649523606e-05,0.0,0.0,0.0,5.4530384330231385e-06,0.0006270994197967172,0.0,-1.635911529904166e-05,-1.635911529904166e-05,-4.362430746410184e-05,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.18121537320648e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,-5.453038432995383e-06,5.4530384330231385e-06,0.012634690049295488,0.00020721546045457395,-3.271823059808332e-05,5.453038433014812e-05,1.635911529904166e-05,0.0038116738646774007,0.015050386075121075,0.0,0.0,3.2718230598111075e-05,0.009155651529032,2.7265192165087937e-05,0.0,0.0,-0.018529424595384536,-0.00010906076866029624,-0.00021812153732059247,-0.0012596518780264299,-0.0009215634951794949,-0.0005562099201674997,-3.817126903110646e-05,0.0001417789992584073,0.00028901103694981,-4.907734589712498e-05,-0.00021266849888756933,-0.0002072154604545462,1.0906076866046277e-05,-1.0906076866018521e-05,-0.0022302927191030775,0.0,0.0,0.0,7.088949962918978e-05,2.7265192165087937e-05,0.0,0.0,0.0,-5.453038432995383e-06,0.00011451380709331938,0.00038716572874405997,0.0004471491515072312,0.0,0.0,0.0,1.0906076866046277e-05,-4.907734589712498e-05,-1.635911529904166e-05,-4.907734589712498e-05,4.9077345897152735e-05,-1.0906076866018521e-05,-0.004793220782620067,0.0,0.0,-5.453038432995383e-06,-2.1812153732037043e-05,-5.453038433014812e-05,0.0,0.0,0.0,5.4530384330231385e-06,5.4530384330231385e-06,9.270165336125458e-05,5.998342276317126e-05,0.0,-5.453038433014812e-05,0.0
Linea eval Iter 4,5.4530384330231385e-06,-0.02984993238232342,-1.635911529904166e-05,3.2718230598111075e-05,7.634253806221292e-05,-1.0906076866018521e-05,0.0004362430746412127,0.0,5.4530384330231385e-06,0.0,-0.05884919076909653,-5.453038432995383e-06,0.0,0.0,0.0,-0.00035990053657897203,4.36243074641296e-05,-2.726519216506018e-05,5.4530384330231385e-06,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.00011996684552634251,-5.453038432995383e-06,0.0,0.0,0.0,0.0005943811891986339,0.0,3.817126903110646e-05,1.0906076866046277e-05,-1.635911529904166e-05,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.012989137547441437,0.00025629280635169893,-4.907734589712498e-05,4.9077345897152735e-05,-2.726519216506018e-05,0.003958905902368803,0.014881341883697607,-5.453038432995383e-06,0.0,7.088949962918978e-05,0.009673690180168393,-5.453038432995383e-06,0.0,0.0,-0.018485800287920406,-0.00015268507612439808,2.18121537320648e-05,-0.0011396850325000873,-0.0009379226104785365,-0.000408977882476097,0.0,7.088949962918978e-05,0.00028355799851678687,5.4530384330231385e-06,-0.00021812153732059247,-0.00024538672948565265,5.4530384330231385e-06,-1.0906076866018521e-05,-0.002088513719844698,0.0,-5.453038432995383e-06,0.0,6.54364611961944e-05,5.4530384330231385e-06,0.0,0.0,0.0,1.635911529904166e-05,4.36243074641296e-05,0.0003599005365789998,0.00043079003620818956,0.0,1.635911529904166e-05,0.0,5.4530384330231385e-06,-1.635911529904166e-05,4.9077345897152735e-05,1.635911529904166e-05,-1.635911529904166e-05,-1.635911529904166e-05,-0.0042915412467826874,0.0,0.0,1.635911529904166e-05,-6.543646119616664e-05,-2.726519216506018e-05,0.0,0.0,0.0,5.453038433014812e-05,0.0,0.0001472320376914027,2.7265192165087937e-05,0.0,-4.362430746410184e-05,0.0
Linea eval Iter 5,1.0906076866046277e-05,-0.029010164463639132,-2.1812153732037043e-05,-0.00015268507612439808,5.4530384330231385e-06,0.0,-0.0007198010731579441,0.0,0.0,0.0,-0.05868014657767309,-1.635911529904166e-05,0.0,0.0,0.0,-0.0002999171138158008,2.7265192165087937e-05,-0.00010906076866029624,4.9077345897152735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.00010906076866029624,-5.453038432995383e-06,0.0,0.0,0.0,0.0004035248440431016,0.0,-5.453038432995383e-06,-5.453038432995383e-06,-2.1812153732037043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.99834227631435e-05,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,-5.453038432995383e-06,0.0,0.0,-5.453038432995383e-06,5.4530384330231385e-06,0.01302185577803952,0.0002344806526196619,-4.362430746410184e-05,1.635911529904166e-05,1.0906076866046277e-05,0.003849845133708507,0.015034026959822033,0.0,0.0,1.0906076866046277e-05,0.010317148715264152,-5.99834227631435e-05,0.0,0.0,-0.018158617981939518,-0.00022357457575358786,-0.00018540330672250915,-0.0012160275705623003,-0.000954281725777606,-0.00024538672948565265,0.0,0.00012541988395936565,0.00027810496008376373,1.0906076866046277e-05,-0.0002072154604545462,-0.00019630938358852768,-1.0906076866018521e-05,-1.635911529904166e-05,-0.0020939667582776933,0.0,0.0,0.0,5.998342276317126e-05,4.9077345897152735e-05,0.0,0.0,0.0,3.2718230598111075e-05,-1.0906076866018521e-05,0.00031082319068184705,0.0003926187671770831,0.0,0.0,0.0,2.18121537320648e-05,1.0906076866046277e-05,5.4530384330231385e-06,3.2718230598111075e-05,3.2718230598111075e-05,-1.635911529904166e-05,-0.00402434236356497,0.0,0.0,0.0,-4.907734589712498e-05,0.0,0.0,0.0,0.0,1.635911529904166e-05,1.635911529904166e-05,7.634253806221292e-05,5.4530384330231385e-06,0.0,-2.1812153732037043e-05,-5.453038432995383e-06
Linea eval Iter 6,1.635911529904166e-05,-0.030155302534572243,1.635911529904166e-05,-0.0001036077302272731,5.4530384330231385e-06,0.0,-0.0006816298041268376,0.0,5.4530384330231385e-06,0.0,-0.0584620250403525,-1.0906076866018521e-05,0.0,0.0,0.0,-0.00041443092090912015,-1.0906076866018521e-05,-7.088949962918978e-05,5.4530384330231385e-06,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,8.72486149282592e-05,0.0,0.0,0.0,0.0,0.000648911573528782,0.0,-1.0906076866018521e-05,-1.635911529904166e-05,-6.543646119616664e-05,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,5.4530384330231385e-06,5.4530384330231385e-06,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.012503817126903127,3.2718230598111075e-05,-2.726519216506018e-05,7.634253806221292e-05,-5.453038432995383e-06,0.0038389390568424886,0.014657767307943992,0.0,0.0,5.998342276317126e-05,0.010562535444749832,-1.635911529904166e-05,0.0,0.0,-0.01817497709723856,-8.724861492823144e-05,-9.270165336125458e-05,-0.0011942154168302355,-0.0009106574183134764,-0.00041443092090912015,0.0,0.00011996684552634251,0.00028901103694981,-7.088949962918978e-05,-0.00017449722985646288,-0.00025629280635169893,1.0906076866046277e-05,-1.0906076866018521e-05,-0.001957640797452337,0.0,0.0,0.0,3.2718230598111075e-05,0.0,0.0,0.0,0.0,0.0,3.817126903110646e-05,0.00030537015224885167,0.00039807180561010624,0.0,2.18121537320648e-05,0.0,5.4530384330231385e-06,-1.635911529904166e-05,5.4530384330231385e-06,2.7265192165087937e-05,2.7265192165087937e-05,-2.1812153732037043e-05,-0.004558740130000433,0.0,0.0,0.0,-5.99834227631435e-05,2.18121537320648e-05,0.0,0.0,0.0,7.634253806221292e-05,-5.453038432995383e-06,8.72486149282592e-05,2.18121537320648e-05,0.0,-6.543646119616664e-05,0.0
Linea eval Iter 7,-5.453038432995383e-06,-0.0303952362256249,-1.0906076866018521e-05,-0.00014177899925837956,1.0906076866046277e-05,0.0,0.0007088949962919533,0.0,0.0,-5.453038432995383e-06,-0.058571085809012796,2.7265192165087937e-05,0.0,0.0,0.0,-0.0004198839593421433,2.7265192165087937e-05,4.36243074641296e-05,1.635911529904166e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001472320376914027,0.0,0.0,0.0,0.0,0.0004853204205383377,0.0,7.634253806221292e-05,-1.0906076866018521e-05,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.362430746410184e-05,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.012236618243685382,0.00018540330672250915,-5.453038433014812e-05,9.815469179427772e-05,-1.635911529904166e-05,0.003800767787811382,0.015023120882955987,0.0,0.0,2.7265192165087937e-05,0.010000872486149281,1.0906076866046277e-05,0.0,0.0,-0.018567595864415642,-5.99834227631435e-05,-0.00019630938358852768,-0.0012269336474283465,-0.0009324695720455412,-0.0003326353444138841,2.7265192165087937e-05,9.270165336125458e-05,0.00017449722985649063,-2.1812153732037043e-05,-0.00025629280635169893,-0.00031082319068184705,-1.635911529904166e-05,-1.0906076866018521e-05,-0.002399336910526545,0.0,0.0,0.0,9.815469179427772e-05,5.453038433014812e-05,0.0,0.0,0.0,2.7265192165087937e-05,4.36243074641296e-05,0.000338088382846935,0.00047986738210531454,0.0,5.4530384330231385e-06,0.0,-9.270165336125458e-05,-2.1812153732037043e-05,0.0,-1.0906076866018521e-05,7.634253806221292e-05,0.0,-0.0048095798979191084,0.0,0.0,1.0906076866046277e-05,-4.907734589712498e-05,5.4530384330231385e-06,0.0,0.0,0.0,1.635911529904166e-05,-5.453038432995383e-06,0.00011451380709331938,6.54364611961944e-05,0.0,-7.088949962918978e-05,0.0
Linea eval Iter 8,5.4530384330231385e-06,-0.02960999869127076,0.0,-3.817126903110646e-05,5.453038433014812e-05,0.0,0.001554115953409263,0.0,0.0,0.0,-0.05801487588884527,-3.817126903110646e-05,0.0,0.0,0.0,-0.00037080661344499055,2.7265192165087937e-05,-5.453038433014812e-05,1.0906076866046277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432995383e-06,0.0,0.0,0.0,0.0,0.0006052872660646524,0.0,5.4530384330231385e-06,-1.635911529904166e-05,-4.907734589712498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.99834227631435e-05,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.012885529817214164,2.18121537320648e-05,-4.907734589712498e-05,2.18121537320648e-05,-2.1812153732037043e-05,0.004035248440431016,0.014652314269510969,0.0,0.0,3.817126903110646e-05,0.009264712297692296,2.7265192165087937e-05,0.0,0.0,-0.018540330672250555,-8.724861492823144e-05,-0.00017449722985646288,-0.001265104916459453,-0.0008343148802512634,-0.0003544474981459489,2.18121537320648e-05,9.815469179427772e-05,0.0002671988832177452,-7.088949962918978e-05,-0.00021266849888756933,-0.0002835579985167591,-1.0906076866018521e-05,0.0,-0.0020776076429786516,0.0,0.0,0.0,6.54364611961944e-05,-2.1812153732037043e-05,0.0,0.0,0.0,5.4530384330231385e-06,9.815469179427772e-05,0.00032172926754789333,0.0004907734589713608,0.0,5.4530384330231385e-06,0.0,-6.543646119616664e-05,1.635911529904166e-05,-1.0906076866018521e-05,-1.0906076866018521e-05,2.7265192165087937e-05,-2.1812153732037043e-05,-0.004329712515813794,0.0,0.0,1.0906076866046277e-05,-4.907734589712498e-05,4.36243074641296e-05,0.0,0.0,0.0,5.453038433014812e-05,5.4530384330231385e-06,0.00016359115299044436,1.635911529904166e-05,0.0,-6.543646119616664e-05,0.0
Linea eval Iter 9,0.0,-0.02919556777036164,5.998342276317126e-05,2.7265192165087937e-05,2.7265192165087937e-05,0.0,-0.00045805522837324975,0.0,0.0,0.0,-0.058363870348558194,-1.0906076866018521e-05,0.0,0.0,0.0,-0.0003980718056100785,3.2718230598111075e-05,0.0,-1.635911529904166e-05,0.0,0.0,0.0,0.0,5.4530384330231385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0906076866018521e-05,0.0,0.0,0.0,0.0,0.0005943811891986339,-5.453038432995383e-06,0.0,-4.362430746410184e-05,-3.817126903110646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271823059808332e-05,0.0,0.0,0.0,0.0,-5.453038432995383e-06,-5.453038432995383e-06,5.4530384330231385e-06,0.0,0.0,-5.453038432995383e-06,0.0,0.012989137547441437,0.00026174584478472207,-2.1812153732037043e-05,2.18121537320648e-05,-3.271823059808332e-05,0.003746237403481234,0.01461414300047989,0.0,0.0,4.9077345897152735e-05,0.010251712254067985,2.7265192165087937e-05,0.0,0.0,-0.01804955721327922,-0.0001472320376914027,-6.543646119616664e-05,-0.0011505911093661336,-0.0010142651485407495,-0.0002835579985167591,-5.453038432995383e-06,0.00010360773022730085,0.0003271823059808887,1.0906076866046277e-05,-0.00016904419142343974,-0.0002944640753828054,-5.453038432995383e-06,-5.453038432995383e-06,-0.0019467347205862906,0.0,0.0,0.0,6.54364611961944e-05,2.18121537320648e-05,0.0,0.0,0.0,5.4530384330231385e-06,6.54364611961944e-05,0.00032172926754789333,0.0005016795358373793,0.0,-1.0906076866018521e-05,0.0,-8.724861492823144e-05,1.0906076866046277e-05,-1.0906076866018521e-05,-1.635911529904166e-05,2.18121537320648e-05,-1.635911529904166e-05,-0.00475504951358896,0.0,0.0,-1.0906076866018521e-05,-5.453038432995383e-06,5.4530384330231385e-06,0.0,0.0,0.0,1.635911529904166e-05,-5.453038432995383e-06,0.00011451380709331938,6.54364611961944e-05,0.0,-7.088949962918978e-05,0.0
