,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.00045259108395567793,-0.0013577732518669228,0.01900882552613714,0.0,0.007920343969223809,0.0022629554197781676,0.016745870106358862,0.0038470242136229293,-0.007241457343290403,0.007241457343290292,0.00045259108395567793,0.031907671418873074,-0.00045259108395567793,0.0009051821679112448,0.005431093007467691,0.029192124915139117,0.031455080334917396,0.009957003847024248,0.023987327449649265,0.0,0.03281285358678432,-0.0011314777098890838,0.005883684091423369,0.0,0.03869653767820769,0.015614392396469778,-0.0006788866259335169,0.028060647205250033,0.0015840687938447617,0.0006788866259334059,0.00022629554197783897,0.0,0.01154107264086901,0.014709210228558534,0.0,0.0,0.0,0.004525910839556446,0.0,0.09572301425661911,0.14369766915591764,0.0011314777098890838,0.0,0.00022629554197783897,0.0,0.0029418420457116845,-0.0015840687938447617,0.0013577732518669228,0.010862186014935493,0.00022629554197783897,0.0020366598778004397,0.0,0.007467752885268131,0.0,-0.00045259108395567793,0.0031681375876895235,0.0,0.0,0.0,0.0027155465037338455,0.0027155465037338455,0.0,0.0,-0.00022629554197783897,0.00022629554197783897,0.00022629554197783897
Decis train Iter 1,0.0013577732518669228,-0.0011314777098890838,0.01923512106811498,-0.00022629554197783897,0.007920343969223809,0.0024892509617560066,0.00973070830504641,0.004752206381534285,-0.0027155465037338455,0.0036207286716452014,0.00045259108395567793,0.027834351663272194,0.0,0.0011314777098890838,0.004978501923512124,0.02692916949536095,0.033265444670739996,0.014030323602625017,0.02081918986195974,0.0,0.025571396243494027,0.0033944331296673624,0.009278117221090731,0.0,0.035302104548540436,0.016066983480425456,0.0006788866259334059,0.029192124915139117,0.0013577732518669228,0.00045259108395567793,0.0,0.0,0.009051821679112892,0.012446254808780255,0.0,0.0,0.0,0.0033944331296673624,0.0,0.09549671871464127,0.13487214301878248,0.0011314777098890838,0.0,-0.00022629554197783897,-0.0006788866259335169,0.0022629554197781676,-0.0018103643358226007,0.00022629554197783897,0.010635890472957654,0.0,0.0006788866259334059,0.0,0.012446254808780255,0.0,0.0,0.0013577732518669228,0.0,0.0,0.0,0.0015840687938447617,0.0020366598778004397,0.0,0.0,-0.00022629554197783897,0.00045259108395567793,-0.00022629554197783897
Decis train Iter 2,0.00045259108395567793,-0.0009051821679113559,0.021950667571848825,0.004299615297578607,0.007241457343290292,0.0022629554197781676,0.017877347816248057,0.0038470242136229293,-0.004525910839556446,0.005204797465489963,0.0,0.02896582937316139,-0.00022629554197783897,0.00045259108395567793,0.008599230595157215,0.023308440823715748,0.041412084181941644,0.012446254808780255,0.019914007694048386,0.0,0.026023987327449594,0.0,0.007467752885268131,0.0,0.031228784792939557,0.018103643358225785,0.0006788866259334059,0.03077619370898388,0.0006788866259334059,0.0,0.00045259108395567793,0.0,0.009957003847024248,0.01719846119031454,0.0,0.0,0.0,0.0029418420457116845,0.0,0.09232858112695175,0.1344195519348269,0.0009051821679112448,0.0,0.0,-0.00022629554197783897,0.0038470242136229293,-0.0018103643358226007,-0.0015840687938447617,0.008599230595157215,0.00022629554197783897,0.0022629554197781676,0.0,0.008599230595157215,0.0,0.0,0.0031681375876895235,0.0,0.0,0.0,0.0018103643358226007,0.00022629554197783897,0.0,0.0,0.00045259108395567793,0.0006788866259334059,0.00022629554197783897
Decis train Iter 3,0.0011314777098890838,-0.0011314777098890838,0.018556234442181463,0.0018103643358226007,0.006109979633401208,0.0022629554197781676,0.012672550350758094,0.0024892509617560066,-0.0024892509617561176,0.006109979633401208,0.00045259108395567793,0.030323602625028312,-0.0006788866259335169,0.0013577732518669228,0.005883684091423369,0.02511880515953835,0.031455080334917396,0.010862186014935493,0.01946141661009282,0.0,0.033491740212717835,-0.0011314777098890838,0.00769404842724597,0.0,0.03303914912876216,0.0133514369766915,-0.00022629554197783897,0.027834351663272194,0.0006788866259334059,0.00022629554197783897,0.00045259108395567793,0.0,0.009051821679112892,0.016519574564381023,0.0,0.0,0.0,0.004299615297578607,-0.00022629554197783897,0.09278117221090743,0.13238289205702647,0.0006788866259334059,0.0,0.0013577732518669228,-0.00045259108395567793,0.004299615297578607,-0.0018103643358226007,-0.0006788866259335169,0.009957003847024248,0.00022629554197783897,0.0020366598778004397,0.00022629554197783897,0.010409594930979815,0.0,-0.00022629554197783897,0.0013577732518669228,0.0,0.0,0.0,0.0018103643358226007,0.0022629554197781676,0.0,0.0,0.00045259108395567793,0.0006788866259334059,0.0
Decis train Iter 4,0.0006788866259334059,-0.0011314777098890838,0.022629554197782342,0.0029418420457116845,0.006109979633401208,0.0029418420457116845,0.010409594930979815,0.0036207286716452014,-0.00769404842724597,0.0038470242136229293,0.0,0.033491740212717835,-0.00022629554197783897,0.0006788866259334059,0.006562570717356886,0.029192124915139117,0.02670287395338311,0.014482914686580695,0.018782529984159302,0.0,0.02873953383118355,-0.0011314777098890838,0.008146639511201648,0.0,0.035754695632496,0.01946141661009282,-0.0018103643358226007,0.027381760579316627,0.0,0.00022629554197783897,0.00022629554197783897,0.0,0.00950441276306857,0.01946141661009282,0.0,0.0,0.0,0.00565738854944553,0.00022629554197783897,0.09617560534057479,0.1373613939805386,0.00022629554197783897,0.0,0.0011314777098890838,0.0,0.0031681375876895235,-0.0018103643358226007,0.0013577732518669228,0.009051821679112892,0.0,0.0011314777098890838,0.00022629554197783897,0.011993663724824577,0.0,-0.00022629554197783897,0.0015840687938447617,0.0,0.0,0.0,0.0015840687938447617,0.00022629554197783897,0.0,0.0,-0.00022629554197783897,0.00022629554197783897,0.0
Decis train Iter 5,0.0009051821679112448,0.0,0.02127178094591531,0.0006788866259334059,0.007467752885268131,0.0024892509617560066,0.017877347816248057,0.0024892509617560066,-0.00769404842724597,0.00565738854944553,0.00022629554197783897,0.02670287395338311,0.0,0.00045259108395567793,0.006562570717356886,0.03417062683865124,0.030097307083050473,0.0133514369766915,0.02081918986195974,0.0,0.027834351663272194,0.0033944331296673624,0.006336275175379047,0.0,0.03643358225842952,0.01154107264086901,-0.0011314777098890838,0.02670287395338311,0.0,0.00022629554197783897,0.00045259108395567793,0.0,0.014030323602625017,0.022176963113826664,0.0,0.0,0.0,0.0027155465037338455,0.0,0.09210228558497402,0.1482235799954741,0.0018103643358226007,0.0,0.0011314777098890838,-0.00022629554197783897,0.0020366598778004397,-0.0013577732518669228,-0.00022629554197783897,0.008825526137135054,0.00022629554197783897,0.0009051821679112448,0.00022629554197783897,0.007241457343290292,0.0,0.0,0.0011314777098890838,0.0,0.0,0.0,0.0011314777098890838,-0.0009051821679113559,0.0,0.0,-0.00022629554197783897,0.00045259108395567793,0.00022629554197783897
Decis train Iter 6,0.0009051821679112448,-0.0018103643358226007,0.018556234442181463,0.0011314777098890838,0.008825526137135054,0.0029418420457116845,0.016293279022403295,0.0022629554197781676,-0.00973070830504641,0.004525910839556446,0.00022629554197783897,0.031681375876895235,-0.00045259108395567793,-0.00022629554197783897,0.008825526137135054,0.020140303236026225,0.035528400090518164,0.014256619144602856,0.020366598778004064,0.0,0.028286942747227872,-0.0027155465037338455,0.007920343969223809,0.00022629554197783897,0.03598099117447384,0.014482914686580695,0.0,0.026250282869427433,0.0009051821679112448,0.00022629554197783897,0.00045259108395567793,0.0,0.00950441276306857,0.0169721656483367,0.0,0.0,0.0,0.006109979633401208,0.0,0.09368635437881878,0.13894546277438335,0.0,0.0,0.0011314777098890838,-0.00022629554197783897,0.0036207286716452014,-0.0015840687938447617,-0.00022629554197783897,0.010862186014935493,0.00022629554197783897,0.0015840687938447617,0.00045259108395567793,0.008825526137135054,0.0,-0.00045259108395567793,0.0020366598778004397,0.0,0.0,0.0,0.0024892509617560066,0.0018103643358226007,0.0,0.0,0.00022629554197783897,0.0006788866259334059,0.0
Decis train Iter 7,0.0018103643358226007,-0.0013577732518669228,0.017877347816248057,0.0029418420457116845,0.007920343969223809,0.0024892509617560066,0.01719846119031454,0.00565738854944553,-0.007467752885268131,0.007920343969223809,0.0,0.030097307083050473,-0.0009051821679113559,0.0006788866259334059,0.004752206381534285,0.026023987327449594,0.035754695632496,0.014030323602625017,0.01900882552613714,0.0,0.027608056121294355,0.0018103643358226007,0.007920343969223809,0.0,0.035754695632496,0.016066983480425456,-0.00045259108395567793,0.027834351663272194,0.00022629554197783897,0.0,0.00022629554197783897,0.0,0.01154107264086901,0.011993663724824577,0.0,0.0,0.0,0.005204797465489963,-0.00022629554197783897,0.09051821679112926,0.138040280606472,0.0018103643358226007,0.0,0.0006788866259334059,-0.00022629554197783897,0.0024892509617560066,-0.0018103643358226007,-0.0024892509617561176,0.008599230595157215,0.00022629554197783897,0.0022629554197781676,0.0,0.00769404842724597,0.0,-0.00045259108395567793,0.0022629554197781676,0.0,0.0,0.0,0.0024892509617560066,-0.00045259108395567793,0.0,0.0,0.0,0.0009051821679112448,0.0
Decis train Iter 8,0.0018103643358226007,-0.0015840687938447617,0.01923512106811498,0.0029418420457116845,0.005204797465489963,0.0031681375876895235,0.011993663724824577,0.004299615297578607,-0.004525910839556446,0.011088481556913332,0.00022629554197783897,0.035302104548540436,0.00022629554197783897,0.0006788866259334059,0.007241457343290292,0.02873953383118355,0.03462321792260692,0.012672550350758094,0.021498076487893147,0.0,0.029418420457116956,0.00022629554197783897,0.008599230595157215,0.0,0.035302104548540436,0.013577732518669339,-0.00022629554197783897,0.029644715999094795,0.0011314777098890838,0.00022629554197783897,0.00022629554197783897,0.0,0.011767368182846738,0.016745870106358862,0.0,0.0,0.0,0.0036207286716452014,0.0,0.09051821679112926,0.14505544240778456,0.0006788866259334059,0.0,0.0,-0.00022629554197783897,0.0033944331296673624,-0.0013577732518669228,0.00022629554197783897,0.00950441276306857,0.00022629554197783897,0.0013577732518669228,0.00022629554197783897,0.009051821679112892,0.0,0.0,0.0013577732518669228,0.0,0.0,0.0,0.0018103643358226007,0.0013577732518669228,0.0,0.0,0.0,0.0009051821679112448,-0.00022629554197783897
Decis train Iter 9,0.0009051821679112448,-0.0013577732518669228,0.01742475673229238,0.0018103643358226007,0.006788866259334725,0.0013577732518669228,0.015614392396469778,0.0027155465037338455,-0.005657388549445641,0.005431093007467691,0.0,0.030323602625028312,-0.0006788866259335169,-0.0013577732518669228,0.007015161801312453,0.02873953383118355,0.033491740212717835,0.012672550350758094,0.017651052274270218,0.0,0.03484951346458476,0.0013577732518669228,0.007241457343290292,0.0,0.03439692238062908,0.015614392396469778,-0.00045259108395567793,0.03054989816700615,0.0009051821679112448,0.0006788866259334059,0.0006788866259334059,0.0,0.00950441276306857,0.016519574564381023,0.0,0.0,0.0,0.004299615297578607,0.0,0.09029192124915142,0.14256619144602856,0.0013577732518669228,0.0,-0.00022629554197783897,-0.00045259108395567793,0.0029418420457116845,-0.0018103643358226007,-0.00045259108395567793,0.009051821679112892,0.0,0.0011314777098890838,0.00022629554197783897,0.00769404842724597,0.0,0.00022629554197783897,0.0022629554197781676,0.0,0.0,0.0,0.0020366598778004397,0.0015840687938447617,0.0,0.0,0.0,0.00045259108395567793,0.0
