,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Linea train Iter 0,0.0004472271914132131,0.007602862254025067,-0.0022361359570661765,0.0062611806797853164,0.0004472271914132131,-0.0004472271914132131,-0.0017889087656529634,0.0008944543828265372,-0.0004472271914132131,-0.01207513416815742,0.0,0.01073345259391778,0.24597495527728086,0.2983005366726297,0.01475849731663692,0.0017889087656529634,0.0008944543828265372,-0.003577817531305927,0.004919499105545677,0.0,-0.004919499105545566,-0.007602862254025067,0.2245080500894454,0.42844364937388196,0.37254025044722716,0.19186046511627908,0.313953488372093,0.2245080500894454,-0.0017889087656529634,-0.0013416815742396393,0.0004472271914132131,0.0,0.00536672629695889,0.32558139534883723,0.0004472271914132131,-0.0004472271914132131,0.0,0.28309481216457966,0.3041144901610018,0.3108228980322004,0.0805008944543828,0.0004472271914132131,0.0,-0.0004472271914132131,0.04159212880143115,0.0004472271914132131,0.0013416815742397503,0.005813953488372103,0.0062611806797853164,0.0371198568872988,0.0,0.0008944543828265372,0.0,0.0,0.07826475849731662,0.0004472271914132131,0.0,0.0,0.0013416815742397503,0.00402504472271914,0.0008944543828265372,0.0008944543828265372,0.0013416815742397503,0.0004472271914132131,0.0008944543828265372,0.0008944543828265372,0.0004472271914132131,0.0062611806797853164,-0.0026833631484793896,0.0004472271914132131,0.0062611806797853164,0.0,0.06708407871198574,0.016994633273703097,0.0062611806797853164,0.03533094812164583,-0.01475849731663681,-0.0008944543828264262,0.017889087656529523,-0.0026833631484793896,0.0,-0.0004472271914132131,-0.0013416815742396393,0.0,0.0,-0.0004472271914132131,-0.003577817531305927,0.008497316636851493,0.0008944543828265372,0.01207513416815742,0.0031305903398927137,0.0013416815742397503,-0.00402504472271914,0.0026833631484795006,0.1981216457960644,-0.0013416815742396393,-0.0004472271914132131,0.0022361359570661765,0.004919499105545677,0.0017889087656529634,-0.0013416815742396393,0.0022361359570661765,-0.0031305903398926027,0.00402504472271914,0.005813953488372103,-0.0031305903398926027,-0.0008944543828264262,0.0,-0.0022361359570661765,0.004472271914132353,0.0008944543828265372,-0.00402504472271914,0.0017889087656529634,-0.0004472271914132131,0.0008944543828265372,-0.0004472271914132131,0.1636851520572451,-0.0004472271914132131,-0.0017889087656529634,-0.0062611806797853164,0.05143112701252239,-0.003577817531305927,0.0004472271914132131,0.0031305903398927137,-0.0026833631484793896,0.0008944543828265372,0.004919499105545677,0.0,0.0008944543828265372,0.0017889087656529634,0.03085867620751348,0.009838998211091243
Linea train Iter 1,0.0008944543828265372,0.008944543828264817,-0.0008944543828264262,0.00536672629695889,0.0,0.0008944543828265372,-0.0022361359570661765,0.0,-0.0004472271914132131,-0.01073345259391767,-0.00402504472271914,0.01207513416815742,0.2415026833631485,0.289355992844365,0.01207513416815742,0.0008944543828265372,0.0,-0.0017889087656529634,0.004919499105545677,0.0,-0.0062611806797853164,-0.004472271914132353,0.23747763864042937,0.4127906976744186,0.3761180679785331,0.17397137745974955,0.30903398926654746,0.23211091234347048,-0.003577817531305927,0.0,-0.0004472271914132131,0.0,0.003577817531305927,0.313953488372093,0.0,0.0,0.0,0.2759391771019678,0.30635062611806796,0.31171735241502685,0.07602862254025045,0.0,0.0,-0.0004472271914132131,0.03935599284436497,-0.0017889087656529634,0.0008944543828265372,0.004919499105545677,0.006708407871198641,0.038461538461538436,0.0004472271914132131,-0.0004472271914132131,-0.0004472271914132131,0.0,0.0688729874776387,-0.004472271914132353,0.0,0.0,-0.0008944543828264262,0.0017889087656529634,0.0008944543828265372,0.0013416815742397503,0.0013416815742397503,0.0,0.0,0.0,0.0004472271914132131,0.004919499105545677,-0.0026833631484793896,0.0022361359570661765,0.005813953488372103,0.0004472271914132131,0.06574239713774599,0.016547406082289773,0.005813953488372103,0.034436493738819296,-0.009838998211091243,-0.0013416815742396393,0.01744186046511631,-0.004919499105545566,0.0,-0.0008944543828264262,-0.00402504472271914,-0.0004472271914132131,0.0,0.0,-0.004919499105545566,0.004919499105545677,0.0026833631484795006,0.009838998211091243,0.004472271914132353,0.0017889087656529634,-0.0017889087656529634,0.0026833631484795006,0.20617173524150267,0.0008944543828265372,-0.0004472271914132131,0.003577817531305927,0.004919499105545677,-0.0008944543828264262,0.0008944543828265372,0.0008944543828265372,-0.0022361359570661765,0.0026833631484795006,0.0026833631484795006,-0.003577817531305927,0.0,0.0,-0.0013416815742396393,0.006708407871198641,-0.0004472271914132131,-0.0013416815742396393,0.0008944543828265372,0.0,0.0008944543828265372,0.0004472271914132131,0.1551878354203936,-0.0013416815742396393,-0.003577817531305927,-0.0022361359570661765,0.05277280858676214,0.0,0.0008944543828265372,0.0008944543828265372,-0.0067084078711985295,0.0013416815742397503,0.0062611806797853164,0.0004472271914132131,0.0017889087656529634,0.0022361359570661765,0.039803220035778186,0.01341681574239717
Linea train Iter 2,0.0,0.00805008944543828,-0.0026833631484793896,0.0031305903398927137,0.0008944543828265372,0.0004472271914132131,-0.004472271914132353,0.0008944543828265372,0.0,-0.008944543828264706,-0.0017889087656529634,0.012969588550983957,0.24642218246869407,0.28354203935599287,0.009838998211091243,0.0017889087656529634,0.0008944543828265372,-0.0004472271914132131,0.004472271914132353,0.0,-0.00939177101967792,-0.008497316636851493,0.22808586762075134,0.41189624329159213,0.3738819320214669,0.19722719141323797,0.2933810375670841,0.2325581395348837,-0.0062611806797853164,-0.0004472271914132131,0.0,0.0,-0.005813953488372103,0.3273703041144902,0.0,0.0004472271914132131,0.0,0.28577817531305905,0.29785330948121647,0.31171735241502685,0.08989266547406083,0.0013416815742397503,-0.0004472271914132131,-0.0017889087656529634,0.03756708407871201,-0.0026833631484793896,0.0013416815742397503,0.004472271914132353,0.005813953488372103,0.03354203935599287,0.0,0.0,0.0,0.0,0.0688729874776387,0.0017889087656529634,0.0,-0.0004472271914132131,0.0017889087656529634,0.00402504472271914,0.0017889087656529634,0.0013416815742397503,0.0031305903398927137,0.0004472271914132131,0.0004472271914132131,0.0022361359570661765,0.0,0.00402504472271914,-0.0031305903398926027,0.0017889087656529634,0.005813953488372103,0.0,0.07110912343470488,0.015652951699463347,0.0026833631484795006,0.036672629695885584,-0.013864042933810383,0.0,0.019677996422182487,-0.003577817531305927,0.0,0.0,-0.0017889087656529634,0.0,0.0,0.0,-0.003577817531305927,0.013864042933810383,0.0031305903398927137,0.008944543828264817,0.004472271914132353,0.0008944543828265372,-0.0004472271914132131,0.0031305903398927137,0.18872987477638647,0.0,-0.0004472271914132131,0.0022361359570661765,0.00536672629695889,-0.003577817531305927,-0.0013416815742396393,0.00402504472271914,-0.0013416815742396393,0.004919499105545677,0.00402504472271914,-0.003577817531305927,0.0026833631484795006,0.0,-0.0026833631484793896,0.007602862254025067,0.0,-0.00402504472271914,0.0008944543828265372,-0.0004472271914132131,0.0004472271914132131,0.0,0.15161001788908768,0.0,-0.00402504472271914,-0.005366726296958779,0.0603756708407871,-0.0031305903398926027,0.0008944543828265372,0.004472271914132353,-0.0017889087656529634,0.0,0.0017889087656529634,0.0013416815742397503,0.003577817531305927,0.0008944543828265372,0.032647584973166444,0.008944543828264817
Linea train Iter 3,0.0004472271914132131,0.009838998211091243,0.0,0.00805008944543828,0.0008944543828265372,-0.0004472271914132131,-0.0008944543828264262,0.0008944543828265372,-0.0004472271914132131,-0.011627906976744207,-0.007155635062611743,0.012522361359570633,0.2607334525939178,0.30322003577817536,0.013864042933810383,0.0013416815742397503,0.0004472271914132131,-0.0022361359570661765,0.003577817531305927,0.0,-0.017889087656529523,-0.0062611806797853164,0.23300536672629701,0.4338103756708408,0.3711985688729875,0.1923076923076923,0.31708407871198574,0.22182468694096602,-0.0004472271914132131,0.0013416815742397503,-0.0004472271914132131,0.0,-0.005366726296958779,0.315742397137746,0.0,0.0,0.0,0.30590339892665475,0.2929338103756709,0.31708407871198574,0.0805008944543828,0.0008944543828265372,-0.0004472271914132131,-0.0013416815742396393,0.035778175313059046,-0.0017889087656529634,0.0013416815742397503,0.004472271914132353,0.004472271914132353,0.038461538461538436,-0.0004472271914132131,0.0,-0.0004472271914132131,0.0,0.06797853309481217,-0.0022361359570661765,0.0004472271914132131,0.0004472271914132131,0.0013416815742397503,0.0031305903398927137,0.0013416815742397503,0.0,0.0026833631484795006,0.0,0.0,0.0004472271914132131,0.0,0.007602862254025067,-0.0031305903398926027,0.0004472271914132131,0.007155635062611854,0.0,0.06529516994633278,0.01341681574239717,0.004919499105545677,0.03085867620751348,-0.01475849731663681,-0.0013416815742396393,0.0228085867620752,-0.0031305903398926027,0.0004472271914132131,-0.0008944543828264262,-0.0017889087656529634,-0.0004472271914132131,0.0,0.0004472271914132131,-0.005813953488372103,0.014311270125223596,0.0017889087656529634,0.008497316636851493,0.0017889087656529634,0.0008944543828265372,-0.0017889087656529634,0.0017889087656529634,0.20796064400715564,-0.0031305903398926027,0.0,0.0017889087656529634,0.00402504472271914,-0.0008944543828264262,-0.0004472271914132131,0.0026833631484795006,-0.0008944543828264262,0.003577817531305927,0.003577817531305927,-0.0022361359570661765,-0.0004472271914132131,0.0,-0.0022361359570661765,0.003577817531305927,0.0,-0.003577817531305927,-0.0004472271914132131,-0.0008944543828264262,0.0022361359570661765,-0.0004472271914132131,0.1493738819320215,-0.0017889087656529634,-0.0022361359570661765,-0.00402504472271914,0.05679785330948128,-0.0022361359570661765,0.0004472271914132131,0.003577817531305927,-0.0013416815742396393,0.0008944543828265372,0.0031305903398927137,0.0008944543828265372,-0.0004472271914132131,0.0026833631484795006,0.03756708407871201,0.01207513416815742
Linea train Iter 4,0.0004472271914132131,0.01073345259391778,-0.0008944543828264262,0.0062611806797853164,0.0008944543828265372,0.0008944543828265372,-0.0022361359570661765,0.0008944543828265372,0.0004472271914132131,-0.01073345259391767,-0.003577817531305927,0.011180679785330994,0.24642218246869407,0.2991949910554562,0.010286225402504456,0.0017889087656529634,0.0004472271914132131,-0.0008944543828264262,0.0062611806797853164,0.0,-0.009838998211091243,-0.007155635062611743,0.22898032200357787,0.41905187835420393,0.37835420393559926,0.18872987477638647,0.3014311270125224,0.2356887298747764,-0.003577817531305927,-0.0008944543828264262,-0.0004472271914132131,0.0,0.00536672629695889,0.3193202146690519,0.0004472271914132131,0.0004472271914132131,0.0,0.2822003577817531,0.31216457960644006,0.326923076923077,0.08094812164579612,0.0013416815742397503,0.0,-0.0026833631484793896,0.039803220035778186,0.0,0.0008944543828265372,0.00805008944543828,0.00536672629695889,0.0402504472271914,-0.0008944543828264262,0.0,0.0017889087656529634,0.0,0.05679785330948128,0.0017889087656529634,0.0,0.0,0.0008944543828265372,-0.0008944543828264262,0.0013416815742397503,0.0022361359570661765,0.0013416815742397503,0.0004472271914132131,0.0004472271914132131,0.0013416815742397503,0.0,0.005813953488372103,-0.0013416815742396393,-0.0004472271914132131,0.007155635062611854,0.0,0.07110912343470488,0.018336314847942736,0.00402504472271914,0.036672629695885584,-0.011627906976744207,-0.0022361359570661765,0.0201252236135957,-0.0013416815742396393,0.0004472271914132131,0.0004472271914132131,-0.0022361359570661765,-0.0004472271914132131,0.0004472271914132131,0.0,-0.004919499105545566,0.00536672629695889,0.0031305903398927137,0.0062611806797853164,0.004472271914132353,0.0017889087656529634,-0.0017889087656529634,0.0008944543828265372,0.19275491949910561,-0.0026833631484793896,-0.0004472271914132131,0.0026833631484795006,0.004919499105545677,0.00536672629695889,0.0,0.0017889087656529634,-0.0026833631484793896,0.0026833631484795006,0.00536672629695889,-0.0008944543828264262,0.0004472271914132131,0.0,-0.0067084078711985295,0.004919499105545677,0.0,-0.0013416815742396393,0.0026833631484795006,-0.0008944543828264262,0.0013416815742397503,0.0004472271914132131,0.14803220035778175,-0.0008944543828264262,-0.0031305903398926027,-0.004919499105545566,0.051878354203935606,-0.00402504472271914,0.0022361359570661765,0.003577817531305927,-0.004919499105545566,0.0013416815742397503,0.00536672629695889,0.0013416815742397503,0.0017889087656529634,0.0013416815742397503,0.04203935599284436,0.011627906976744207
Linea train Iter 5,0.0004472271914132131,0.007602862254025067,-0.0017889087656529634,0.00536672629695889,0.0022361359570661765,0.0004472271914132131,-0.0008944543828264262,0.0013416815742397503,0.0,-0.009838998211091243,-0.0017889087656529634,0.00805008944543828,0.2441860465116279,0.30366726296958857,0.012969588550983957,0.0004472271914132131,0.0008944543828265372,-0.0017889087656529634,0.0026833631484795006,0.0,-0.01073345259391767,-0.008944543828264706,0.24329159212880147,0.42844364937388196,0.3586762075134169,0.19007155635062611,0.30903398926654746,0.23971377459749554,-0.0022361359570661765,-0.0008944543828264262,-0.0008944543828264262,0.0,0.0013416815742397503,0.3246869409660108,0.0004472271914132131,0.0004472271914132131,0.0,0.28533094812164583,0.2871198568872988,0.3126118067978534,0.08094812164579612,0.0008944543828265372,-0.0004472271914132131,-0.0013416815742396393,0.038461538461538436,-0.0013416815742396393,0.0022361359570661765,0.007602862254025067,0.00805008944543828,0.03801431127012522,0.0,0.0004472271914132131,0.0,0.0,0.06976744186046513,0.0008944543828265372,0.0004472271914132131,0.0,0.0004472271914132131,0.0026833631484795006,0.003577817531305927,0.0022361359570661765,0.0013416815742397503,0.0004472271914132131,0.0004472271914132131,0.0026833631484795006,0.0,0.0062611806797853164,-0.00402504472271914,0.0,0.006708407871198641,0.0,0.05143112701252239,0.01475849731663692,0.004919499105545677,0.03488372093023262,-0.01475849731663681,-0.0008944543828264262,0.01744186046511631,-0.00402504472271914,0.0,0.0,-0.0031305903398926027,0.0,0.0,-0.0004472271914132131,-0.0062611806797853164,0.0062611806797853164,0.0,0.00939177101967803,0.003577817531305927,0.0008944543828265372,-0.0008944543828264262,0.0031305903398927137,0.20214669051878353,-0.0008944543828264262,-0.0008944543828264262,0.0031305903398927137,0.007155635062611854,-0.004472271914132353,0.0,0.0008944543828265372,0.0004472271914132131,0.0017889087656529634,0.0026833631484795006,-0.0031305903398926027,-0.0022361359570661765,0.0,-0.005366726296958779,0.007155635062611854,0.0004472271914132131,-0.0031305903398926027,0.0004472271914132131,-0.0008944543828264262,0.0004472271914132131,0.0008944543828265372,0.1547406082289804,-0.0017889087656529634,-0.00402504472271914,-0.004472271914132353,0.053220035778175356,-0.0008944543828264262,0.0,0.0031305903398927137,-0.005813953488372103,0.0013416815742397503,0.0062611806797853164,0.0008944543828265372,0.0008944543828265372,0.0017889087656529634,0.04203935599284436,0.010286225402504456
Linea train Iter 6,0.0004472271914132131,0.007155635062611854,-0.0026833631484793896,0.0062611806797853164,0.0017889087656529634,0.0,-0.0026833631484793896,0.0004472271914132131,-0.0008944543828264262,-0.01207513416815742,-0.0008944543828264262,0.010286225402504456,0.24776386404293382,0.30053667262969586,0.011180679785330994,0.0022361359570661765,0.0004472271914132131,-0.0026833631484793896,0.003577817531305927,0.0,-0.01475849731663681,-0.00402504472271914,0.2298747763864043,0.41100178890876565,0.38998211091234347,0.1869409660107335,0.3018783542039356,0.22227191413237923,-0.00402504472271914,-0.0004472271914132131,0.0004472271914132131,0.0,-0.004472271914132353,0.3193202146690519,0.0,0.0,0.0,0.2790697674418605,0.32066189624329167,0.313953488372093,0.08497316636851526,0.0008944543828265372,0.0,0.0004472271914132131,0.03935599284436497,-0.0026833631484793896,0.0026833631484795006,0.00536672629695889,0.007155635062611854,0.0429338103756709,0.0,0.0008944543828265372,0.0,0.0,0.06529516994633278,0.0013416815742397503,0.0,0.0,0.0013416815742397503,0.0008944543828265372,0.0013416815742397503,0.0013416815742397503,0.0026833631484795006,0.0004472271914132131,0.0,-0.0008944543828264262,0.0,0.005813953488372103,-0.0013416815742396393,0.0,0.003577817531305927,0.0,0.05903398926654746,0.015205724508050134,0.0031305903398927137,0.03085867620751348,-0.013416815742397059,0.0004472271914132131,0.01744186046511631,-0.003577817531305927,0.0,-0.0008944543828264262,-0.0022361359570661765,-0.0004472271914132131,0.0004472271914132131,0.0,-0.0031305903398926027,0.003577817531305927,0.0013416815742397503,0.00402504472271914,0.0017889087656529634,0.0017889087656529634,-0.0026833631484793896,0.0026833631484795006,0.1869409660107335,-0.0008944543828264262,-0.0004472271914132131,0.0026833631484795006,0.003577817531305927,0.0022361359570661765,-0.0026833631484793896,0.0022361359570661765,-0.0022361359570661765,0.0017889087656529634,0.00402504472271914,-0.0031305903398926027,-0.0008944543828264262,0.0,-0.0026833631484793896,0.006708407871198641,0.0004472271914132131,-0.0031305903398926027,0.0,-0.0008944543828264262,0.0017889087656529634,0.0013416815742397503,0.15026833631484793,-0.0004472271914132131,-0.004472271914132353,-0.0022361359570661765,0.05366726296958857,-0.0017889087656529634,0.0004472271914132131,0.0062611806797853164,-0.004472271914132353,0.0,0.004472271914132353,0.0026833631484795006,-0.0004472271914132131,0.0008944543828265372,0.03220035778175312,0.007602862254025067
Linea train Iter 7,0.0004472271914132131,0.012969588550983957,-0.0004472271914132131,0.004919499105545677,0.0017889087656529634,-0.0004472271914132131,-0.0004472271914132131,0.0013416815742397503,-0.0004472271914132131,-0.012969588550983846,-0.0026833631484793896,0.00939177101967803,0.24776386404293382,0.2929338103756709,0.015652951699463347,0.0013416815742397503,0.0,-0.0031305903398926027,0.004919499105545677,0.0,-0.012969588550983846,-0.00805008944543828,0.23613595706618962,0.40831842576028626,0.3653846153846154,0.1838103756708408,0.2960644007155635,0.2303220035778175,-0.0031305903398926027,0.0,0.0008944543828265372,0.0,0.0008944543828265372,0.3296064400715564,0.0004472271914132131,0.0,0.0,0.29203935599284436,0.2951699463327371,0.31797853309481217,0.0746869409660108,0.0026833631484795006,0.0,-0.0022361359570661765,0.04159212880143115,-0.0017889087656529634,0.0008944543828265372,0.005813953488372103,0.007602862254025067,0.03622540250447226,-0.0008944543828264262,0.0004472271914132131,-0.0004472271914132131,0.0,0.06574239713774599,0.0017889087656529634,0.0004472271914132131,0.0004472271914132131,0.0004472271914132131,0.004472271914132353,0.0008944543828265372,0.0022361359570661765,0.0022361359570661765,0.0,0.0,0.0013416815742397503,0.0,0.00536672629695889,-0.00402504472271914,0.0,0.007155635062611854,0.0,0.07513416815742402,0.011627906976744207,0.00402504472271914,0.034436493738819296,-0.014311270125223596,-0.0004472271914132131,0.015652951699463347,-0.0031305903398926027,0.0,0.0,-0.00402504472271914,0.0,0.0,0.0004472271914132131,-0.005366726296958779,0.003577817531305927,0.0022361359570661765,0.0031305903398927137,0.00402504472271914,0.003577817531305927,-0.0013416815742396393,0.0008944543828265372,0.19320214669051883,-0.0017889087656529634,-0.0013416815742396393,0.0031305903398927137,0.00402504472271914,-0.0008944543828264262,-0.0004472271914132131,0.0,-0.0008944543828264262,0.0031305903398927137,0.00536672629695889,-0.004919499105545566,0.0,0.0,-0.003577817531305927,0.00536672629695889,0.0,-0.0067084078711985295,-0.0004472271914132131,0.0,0.0022361359570661765,0.0,0.14803220035778175,-0.0008944543828264262,-0.0013416815742396393,-0.005366726296958779,0.05143112701252239,-0.0031305903398926027,-0.0008944543828264262,0.0022361359570661765,-0.00402504472271914,0.0013416815742397503,0.0022361359570661765,-0.0004472271914132131,0.0022361359570661765,0.0008944543828265372,0.039803220035778186,0.013864042933810383
Linea train Iter 8,0.0,0.011180679785330994,-0.0017889087656529634,0.003577817531305927,0.0017889087656529634,0.0004472271914132131,0.0004472271914132131,0.0013416815742397503,0.0,-0.011627906976744207,-0.0022361359570661765,0.012522361359570633,0.2504472271914132,0.30366726296958857,0.008944543828264817,0.0008944543828265372,0.0004472271914132131,-0.0004472271914132131,0.004472271914132353,0.0,-0.007602862254025067,-0.0062611806797853164,0.24373881932021468,0.41413237924865837,0.36627906976744184,0.1896243291592129,0.31484794275491956,0.24284436493738826,-0.0062611806797853164,-0.0008944543828264262,0.0017889087656529634,0.0,-0.0062611806797853164,0.3282647584973166,0.0008944543828265372,0.0,0.0,0.2938282647584973,0.28890876565295176,0.32334525939177106,0.08273703041144909,0.0008944543828265372,0.0,0.0004472271914132131,0.04472271914132386,-0.0022361359570661765,0.0022361359570661765,0.003577817531305927,0.005813953488372103,0.042486583184257576,0.0004472271914132131,0.0008944543828265372,0.0008944543828265372,0.0,0.07110912343470488,-0.0013416815742396393,0.0004472271914132131,0.0,-0.0004472271914132131,0.0022361359570661765,0.00402504472271914,0.0008944543828265372,0.0026833631484795006,0.0,0.0,0.0,0.0,0.0026833631484795006,-0.0004472271914132131,-0.0017889087656529634,0.006708407871198641,0.0,0.06484794275491956,0.016994633273703097,0.004472271914132353,0.0371198568872988,-0.013416815742397059,-0.0008944543828264262,0.012969588550983957,-0.0031305903398926027,0.0,0.0,-0.0022361359570661765,-0.0004472271914132131,0.0,0.0,-0.005813953488372103,0.008497316636851493,0.0,0.007155635062611854,0.004472271914132353,-0.0008944543828264262,-0.0017889087656529634,0.0022361359570661765,0.19141323792486586,-0.0004472271914132131,-0.0008944543828264262,0.0013416815742397503,0.0026833631484795006,-0.00402504472271914,-0.0026833631484793896,0.0013416815742397503,-0.003577817531305927,0.003577817531305927,0.00536672629695889,-0.005813953488372103,0.0031305903398927137,-0.0004472271914132131,-0.0013416815742396393,0.00939177101967803,0.0008944543828265372,-0.0022361359570661765,0.0022361359570661765,0.0,0.0008944543828265372,0.0,0.15563506261180682,0.0,-0.0022361359570661765,-0.00402504472271914,0.05500894454382832,-0.0031305903398926027,0.0008944543828265372,-0.0017889087656529634,-0.005366726296958779,0.0004472271914132131,0.0031305903398927137,-0.0004472271914132131,0.0017889087656529634,0.0026833631484795006,0.03309481216457966,0.01341681574239717
Linea train Iter 9,0.0,0.01207513416815742,-0.0026833631484793896,0.0017889087656529634,0.0008944543828265372,0.0004472271914132131,0.0,0.0008944543828265372,0.0,-0.008497316636851493,-0.0026833631484793896,0.012969588550983957,0.24776386404293382,0.2951699463327371,0.012969588550983957,0.0008944543828265372,0.0,-0.0008944543828264262,0.003577817531305927,0.0,-0.008944543828264706,-0.008944543828264706,0.22853309481216455,0.3949016100178891,0.368515205724508,0.18291592128801437,0.30858676207513425,0.21958855098389984,-0.008497316636851493,-0.0013416815742396393,0.0,0.0,-0.0031305903398926027,0.325134168157424,0.0004472271914132131,0.0008944543828265372,0.0,0.2983005366726297,0.28622540250447226,0.30366726296958857,0.09168157423971379,0.0017889087656529634,0.0,-0.0008944543828264262,0.04069767441860472,-0.0004472271914132131,0.0004472271914132131,0.005813953488372103,0.0062611806797853164,0.03935599284436497,0.0004472271914132131,0.0008944543828265372,0.0,0.0,0.07245080500894452,-0.0026833631484793896,0.0,0.0004472271914132131,0.0004472271914132131,0.003577817531305927,0.0004472271914132131,0.0013416815742397503,0.0026833631484795006,0.0004472271914132131,0.0,-0.0008944543828264262,0.0004472271914132131,0.007155635062611854,-0.00402504472271914,0.0022361359570661765,0.007155635062611854,0.0,0.07289803220035784,0.01475849731663692,0.0062611806797853164,0.036672629695885584,-0.015652951699463347,-0.0022361359570661765,0.019677996422182487,-0.0022361359570661765,0.0,-0.0004472271914132131,-0.0013416815742396393,-0.0004472271914132131,0.0,-0.0004472271914132131,-0.0026833631484793896,0.005813953488372103,0.003577817531305927,0.0022361359570661765,0.0022361359570661765,0.0026833631484795006,-0.0013416815742396393,0.0026833631484795006,0.20527728085867625,-0.0004472271914132131,-0.0004472271914132131,0.0031305903398927137,0.006708407871198641,0.0013416815742397503,0.0008944543828265372,0.0022361359570661765,-0.0008944543828264262,0.0008944543828265372,0.00536672629695889,-0.0022361359570661765,0.0022361359570661765,0.0,-0.0031305903398926027,0.005813953488372103,0.0,-0.0031305903398926027,0.0026833631484795006,-0.0008944543828264262,0.0004472271914132131,0.0008944543828265372,0.15026833631484793,-0.0022361359570661765,-0.0031305903398926027,-0.004919499105545566,0.047853309481216466,-0.004472271914132353,0.0004472271914132131,0.004919499105545677,0.0004472271914132131,0.0004472271914132131,0.0026833631484795006,0.0004472271914132131,0.0022361359570661765,0.0017889087656529634,0.038461538461538436,0.009838998211091243
