,F1 Score,Accuracy,mAUC,mAP,mAUPRC,Kappa,mTPR@1%FPR,mTPR@5%FPR,mEER,Fitted Models,Test IX
0,0.5447585046960496,0.44836131577671273,0.7941818677177123,0.6319521360995699,0.6314858762297292,0.25670681331906364,0.4436337671233758,0.2669072764899026,0.2620799805259361,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[13630 13631 13632 ... 33690 33691 33692]
1,0.44857184585686055,0.37526737967914436,0.7568986880992337,0.5610136680396738,0.5603622378090486,0.09664354034425471,0.370218665587877,0.21986040350662794,0.3047419134599195,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[29216 29217 29218 ... 31457 31458 31459]
2,0.6060224810791577,0.5041080185690034,0.7579121679557393,0.6196575179197158,0.6193250495717896,0.36288843958055084,0.43547410251092744,0.31620238937321193,0.3095551729368925,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 6839  6840  6841 ... 24738 24739 24740]
3,0.5773073292784352,0.4770293916467578,0.7764683791424631,0.5777792916027049,0.5770222898970477,0.3076351465738997,0.36966302081312513,0.22711485972350465,0.29023647267359454,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 9102  9103  9104 ... 13627 13628 13629]
4,0.702815228535089,0.6197847621555975,0.8221557864392536,0.6700804612652314,0.6691092727787145,0.5845836174475542,0.5803030303030303,0.43806120109838126,0.23359382325511277,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[24741 24742 24743 ... 26977 26978 26979]
5,0.49790866025565916,0.40603568673859075,0.692694747562912,0.4715151850576831,0.47076316594285245,0.15159303323269568,0.21153477940054474,0.099193772588268,0.34995932883106184,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[   0    1    2 ... 2311 2312 2313]
6,0.6294583369547502,0.5390654535397051,0.8266406825628447,0.6587434495176695,0.6579988024105472,0.4231701760902623,0.5211465922412128,0.35063458602178293,0.2519103789961989,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[2314 2315 2316 ... 4573 4574 4575]
7,0.5547148092884697,0.5263192136483573,0.7467517182940754,0.5643628757795512,0.5637998398026461,0.3421473901640236,0.3257682796095993,0.24079510231120596,0.3069478401003638,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[26980 26981 26982 ... 29213 29214 29215]
8,0.5533430891126944,0.45124666390192186,0.6798098010711798,0.5197441023451793,0.5192182873087946,0.25845628715908175,0.27575292143459196,0.18099123318158106,0.3515071214037267,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[15942 15943 15944 ... 22483 22484 22485]
9,0.52948700407551,0.4787686974083744,0.6849884181282505,0.5104986351368189,0.5098540412750749,0.2560045528602928,0.3157944847108569,0.18807346905276168,0.3849250217012607,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 4576  4577  4578 ... 20281 20282 20283]
