,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl train Iter 0,0.0016611295681062677,0.0028792912513841973,0.0024363233665558592,0.0,0.0008859357696566761,0.0007751937984495916,0.1428571428571428,0.010409745293466166,0.0451827242524917,0.007198228128460604,0.007862679955703222,0.07751937984496116,0.003875968992248069,0.0048726467331118295,0.008859357696566983,0.022369878183831626,0.012624584717607967,0.0050941306755259985,0.14972314507198226,0.0,0.00708748615725352,0.00221483942414169,0.0007751937984495916,0.0007751937984495916,0.0008859357696566761,0.00033222591362125353,0.0,0.00044296788482833804,0.0,0.0044296788482834915,0.0048726467331118295,0.0,0.0007751937984495916,0.0009966777408637606,0.0007751937984495916,0.0014396456256920986,0.0,0.0006644518272425071,0.005426356589147252,0.0012181616832779296,0.0007751937984495916,0.0,0.00044296788482833804,0.0626799557032115,0.0007751937984495916,0.00033222591362125353,0.00011074197120708451,-0.00022148394241416902,0.00022148394241416902,0.0008859357696566761,0.0,0.003986710963455153,0.004983388704318914,0.0,0.0,0.006755260243632266,0.0018826135105204367,0.0028792912513841973,0.00022148394241416902,0.008970099667774067,0.0007751937984495916,0.0006644518272425071,0.0005537098560354226,0.0007751937984495916,0.007198228128460604,0.003875968992248069
MLPCl train Iter 1,0.0005537098560354226,0.0023255813953487747,0.004318936877076407,0.0,0.0007751937984495916,0.0005537098560354226,0.14684385382059795,0.01074197120708742,0.05049833887043187,0.007419712070874884,0.006090808416389759,0.07884828349944628,0.0035437430786268154,0.005647840531561421,0.00830564784053156,0.02004429678848285,0.013289036544850474,0.003875968992248069,0.14485049833887043,0.0,0.006755260243632266,0.0017718715393133522,0.00044296788482833804,0.00033222591362125353,0.00011074197120708451,0.0005537098560354226,0.00022148394241416902,0.0007751937984495916,0.00022148394241416902,0.004983388704318914,0.004983388704318914,0.0,0.0005537098560354226,0.0016611295681062677,0.0005537098560354226,0.0014396456256920986,0.0,0.0009966777408637606,0.007530454042081969,0.0008859357696566761,0.00011074197120708451,0.0,0.0005537098560354226,0.0575858250276855,0.00033222591362125353,0.0005537098560354226,0.00033222591362125353,-0.00022148394241416902,0.00011074197120708451,0.0018826135105204367,0.0,0.003875968992248069,0.004540420819490576,0.0,-0.00033222591362125353,0.006866002214839351,0.0024363233665558592,0.0023255813953487747,0.0005537098560354226,0.010077519379844913,0.0006644518272425071,0.00011074197120708451,0.0006644518272425071,0.001107419712070845,0.010188261351051997,0.0048726467331118295
MLPCl train Iter 2,0.0013289036544850141,0.001993355481727521,0.0035437430786268154,0.0,0.0005537098560354226,0.0006644518272425071,0.14473975636766334,0.009413067552602405,0.05127353266888146,0.006090808416389759,0.007308970099667689,0.07596899224806197,0.003875968992248069,0.0053156146179401675,0.008194905869324476,0.02292358803986705,0.013510520487264643,0.004097452934662238,0.14296788482834988,0.0,0.006644518272425182,0.0015503875968991832,0.00033222591362125353,0.00044296788482833804,0.00033222591362125353,0.00044296788482833804,0.0007751937984495916,-0.00011074197120708451,-0.00033222591362125353,0.005758582502768506,0.0053156146179401675,0.0,0.0006644518272425071,0.0005537098560354226,0.0016611295681062677,0.0012181616832779296,0.0,0.0006644518272425071,0.00586932447397559,0.0009966777408637606,0.00022148394241416902,0.0,0.0006644518272425071,0.05514950166112953,0.0006644518272425071,0.0008859357696566761,0.00044296788482833804,0.00022148394241416902,0.00033222591362125353,0.0005537098560354226,0.0,0.004208194905869322,0.0050941306755259985,0.0,-0.0005537098560354226,0.006976744186046435,0.0023255813953487747,0.0027685492801771128,0.00033222591362125353,0.007862679955703222,0.0006644518272425071,0.00044296788482833804,0.0007751937984495916,0.0009966777408637606,0.009302325581395321,0.0036544850498339
MLPCl train Iter 3,0.0016611295681062677,0.0025470653377629437,0.0035437430786268154,0.0,0.0016611295681062677,0.0005537098560354226,0.1464008859357696,0.010299003322259082,0.04961240310077519,0.009634551495016574,0.007641196013289053,0.07619047619047614,0.003875968992248069,0.0050941306755259985,0.008970099667774067,0.021926910299003288,0.013289036544850474,0.003875968992248069,0.14174972314507195,0.0,0.007530454042081969,0.001993355481727521,0.00044296788482833804,0.0008859357696566761,0.00033222591362125353,0.0005537098560354226,0.0005537098560354226,0.0007751937984495916,0.0005537098560354226,0.005647840531561421,0.0048726467331118295,0.0,0.0005537098560354226,0.0009966777408637606,0.0007751937984495916,0.001107419712070845,0.0,0.0008859357696566761,0.006201550387596844,0.0009966777408637606,0.00022148394241416902,0.0,0.00044296788482833804,0.05592469545957912,0.00044296788482833804,0.0007751937984495916,0.00044296788482833804,0.00011074197120708451,0.00022148394241416902,0.0008859357696566761,0.0,0.0046511627906976605,0.0044296788482834915,0.0,-0.00022148394241416902,0.006423034330011013,0.0015503875968991832,0.0031007751937983663,0.00044296788482833804,0.007862679955703222,0.0006644518272425071,0.0006644518272425071,0.0005537098560354226,0.0008859357696566761,0.009966777408637828,0.005647840531561421
MLPCl train Iter 4,0.0009966777408637606,0.0024363233665558592,0.0037652270210409844,0.0,0.0015503875968991832,0.0005537098560354226,0.14485049833887043,0.009856035437430744,0.05094130675526021,0.005758582502768506,0.006201550387596844,0.07297895902547058,0.0036544850498339,0.00586932447397559,0.008859357696566983,0.020155038759689936,0.013621262458471728,0.0044296788482834915,0.14916943521594683,0.0,0.008859357696566983,0.0018826135105204367,0.00044296788482833804,0.0009966777408637606,0.00011074197120708451,0.00033222591362125353,0.00022148394241416902,0.00022148394241416902,-0.00022148394241416902,0.004540420819490576,0.004208194905869322,0.0,0.0006644518272425071,0.0012181616832779296,0.0014396456256920986,0.0014396456256920986,0.0,0.0005537098560354226,0.004540420819490576,0.0015503875968991832,0.0006644518272425071,0.0,0.0007751937984495916,0.05570321151716495,0.0008859357696566761,0.0005537098560354226,0.00033222591362125353,-0.00033222591362125353,0.00022148394241416902,0.001107419712070845,0.0,0.004208194905869322,0.005204872646733083,0.0,0.00011074197120708451,0.006644518272425182,0.0023255813953487747,0.003433001107419731,0.00044296788482833804,0.009413067552602405,0.00044296788482833804,0.0007751937984495916,0.0006644518272425071,0.0009966777408637606,0.01074197120708742,0.0033222591362126463
MLPCl train Iter 5,0.0021040974529346057,0.0025470653377629437,0.0037652270210409844,0.0,0.0012181616832779296,0.0007751937984495916,0.14363233665559239,0.013067552602436305,0.048947951273532686,0.007198228128460604,0.006312292358803928,0.07131782945736431,0.0031007751937983663,0.005980066445182675,0.009745293466223659,0.023034330011074133,0.013621262458471728,0.00586932447397559,0.1458471760797342,0.0,0.008637873754152814,0.0021040974529346057,0.0008859357696566761,0.0006644518272425071,0.0,-0.00011074197120708451,-0.00011074197120708451,0.00022148394241416902,-0.00011074197120708451,0.006201550387596844,0.0048726467331118295,0.0,0.0007751937984495916,0.0015503875968991832,0.0013289036544850141,0.0012181616832779296,0.0,0.0007751937984495916,0.006533776301218097,0.0017718715393133522,-0.00011074197120708451,0.0,0.0007751937984495916,0.05692137320044288,0.0005537098560354226,0.00044296788482833804,0.0,0.00033222591362125353,0.00033222591362125353,0.0005537098560354226,0.0,0.0048726467331118295,0.0044296788482834915,0.0,-0.00044296788482833804,0.006866002214839351,0.0017718715393133522,0.0037652270210409844,-0.00011074197120708451,0.00952380952380949,0.0006644518272425071,0.0007751937984495916,0.0005537098560354226,0.0009966777408637606,0.009191583610188236,0.004208194905869322
MLPCl train Iter 6,0.001107419712070845,0.0026578073089700283,0.00221483942414169,0.0,0.0007751937984495916,0.00044296788482833804,0.1427464008859357,0.011295681063122842,0.04850498338870424,0.006976744186046435,0.009302325581395321,0.0757475083056478,0.003986710963455153,0.006201550387596844,0.008970099667774067,0.022369878183831626,0.011074197120708673,0.0035437430786268154,0.14761904761904754,0.0,0.008637873754152814,0.0021040974529346057,0.00022148394241416902,0.00022148394241416902,-0.00022148394241416902,0.00011074197120708451,-0.00022148394241416902,0.0008859357696566761,0.00033222591362125353,0.005980066445182675,0.005647840531561421,0.0,0.0005537098560354226,0.0014396456256920986,0.0009966777408637606,0.00011074197120708451,0.0,0.0007751937984495916,0.007751937984496138,0.0012181616832779296,0.00033222591362125353,0.0,0.0005537098560354226,0.05570321151716495,0.0008859357696566761,0.00044296788482833804,0.00022148394241416902,0.00022148394241416902,0.00022148394241416902,0.0013289036544850141,0.0,0.005426356589147252,0.004983388704318914,0.0,0.0,0.00586932447397559,0.0018826135105204367,0.0031007751937983663,0.00033222591362125353,0.010188261351051997,0.0005537098560354226,0.0009966777408637606,0.0006644518272425071,0.001107419712070845,0.010077519379844913,0.0048726467331118295
MLPCl train Iter 7,0.0016611295681062677,0.0027685492801771128,0.0033222591362126463,0.0,0.0008859357696566761,0.0012181616832779296,0.144296788482835,0.009413067552602405,0.052823920265780755,0.006976744186046435,0.007973421926910307,0.07441860465116279,0.003986710963455153,0.005204872646733083,0.009634551495016574,0.02004429678848285,0.01417497231450715,0.0031007751937983663,0.14307862679955696,0.0,0.007530454042081969,0.0027685492801771128,0.0014396456256920986,0.0009966777408637606,0.00022148394241416902,0.0006644518272425071,0.0,0.0008859357696566761,-0.00022148394241416902,0.00708748615725352,0.0044296788482834915,0.0,0.0009966777408637606,0.0014396456256920986,0.001107419712070845,0.001107419712070845,0.0,0.0005537098560354226,0.0055370985603543366,0.0014396456256920986,0.00011074197120708451,0.0,0.00011074197120708451,0.053599114064230347,0.001107419712070845,0.0006644518272425071,0.00022148394241416902,-0.00011074197120708451,0.00022148394241416902,0.0007751937984495916,0.0,0.004318936877076407,0.004097452934662238,0.0,-0.00022148394241416902,0.005426356589147252,0.0024363233665558592,0.0021040974529346057,0.0006644518272425071,0.008416389811738645,0.0007751937984495916,0.00044296788482833804,0.00044296788482833804,0.0012181616832779296,0.009191583610188236,0.004540420819490576
MLPCl train Iter 8,0.0014396456256920986,0.0028792912513841973,0.002990033222591282,0.0,0.001107419712070845,0.0008859357696566761,0.1450719822812846,0.010963455149501589,0.05149501661129563,0.007973421926910307,0.006312292358803928,0.07397563676633445,0.004208194905869322,0.0050941306755259985,0.007641196013289053,0.023809523809523725,0.01439645625692132,0.003986710963455153,0.14595791805094127,0.0,0.007751937984496138,0.0016611295681062677,0.0006644518272425071,0.0007751937984495916,0.00033222591362125353,0.0006644518272425071,-0.00033222591362125353,0.00022148394241416902,0.00022148394241416902,0.0050941306755259985,0.004318936877076407,0.0,0.00044296788482833804,0.00221483942414169,0.0008859357696566761,0.0008859357696566761,0.0,0.0012181616832779296,0.006976744186046435,0.0009966777408637606,0.00044296788482833804,0.0,0.00033222591362125353,0.056478405315614544,0.00044296788482833804,0.00044296788482833804,-0.00011074197120708451,0.00044296788482833804,0.00022148394241416902,0.0013289036544850141,0.0,0.003986710963455153,0.003986710963455153,0.0,-0.00022148394241416902,0.005980066445182675,0.0023255813953487747,0.002990033222591282,0.0,0.00830564784053156,0.0007751937984495916,0.0008859357696566761,0.0005537098560354226,0.0012181616832779296,0.010631229235880335,0.004097452934662238
MLPCl train Iter 9,0.0014396456256920986,0.002990033222591282,0.0026578073089700283,0.0,0.0009966777408637606,0.0006644518272425071,0.1390919158361018,0.011738648947951291,0.04972314507198228,0.008970099667774067,0.00830564784053156,0.0736434108527132,0.003433001107419731,0.0053156146179401675,0.010299003322259082,0.024031007751938005,0.012846068660022136,0.0048726467331118295,0.14662236987818378,0.0,0.007530454042081969,0.0018826135105204367,0.0007751937984495916,0.0008859357696566761,0.00011074197120708451,0.0006644518272425071,-0.00011074197120708451,0.00033222591362125353,-0.00033222591362125353,0.0050941306755259985,0.004761904761904745,0.0,0.0005537098560354226,0.00221483942414169,0.00044296788482833804,0.001993355481727521,0.0,0.0008859357696566761,0.006644518272425182,0.00033222591362125353,-0.00022148394241416902,0.0,0.00044296788482833804,0.05581395348837204,0.0007751937984495916,0.0006644518272425071,-0.00022148394241416902,0.00044296788482833804,0.00011074197120708451,0.0012181616832779296,0.0,0.003986710963455153,0.003433001107419731,0.0,-0.00022148394241416902,0.006976744186046435,0.00221483942414169,0.002990033222591282,0.0006644518272425071,0.010188261351051997,0.0005537098560354226,0.0007751937984495916,0.00044296788482833804,0.0007751937984495916,0.007308970099667689,0.0048726467331118295
