,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Rando train Iter 0,0.00011106175033315235,0.00016659262549978404,0.0006663705019991362,0.0002221235006663047,0.00044424700133272044,0.00011106175033315235,0.0002776543758329364,0.0006108396268325045,0.0002776543758329364,0.0,5.553087516663169e-05,0.00011106175033315235,0.0002221235006663047,0.0003331852509995681,0.0002776543758329364,0.0005553087516658728,0.0002776543758329364,0.0002776543758329364,0.0004997778764993521,0.0,0.00016659262549978404,0.0002221235006663047,0.0002776543758329364,0.0002776543758329364,5.553087516663169e-05,0.0002221235006663047,5.553087516663169e-05,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,5.553087516663169e-05,0.0,-5.553087516663169e-05,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.0,0.0002221235006663047,5.553087516663169e-05,5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.0002221235006663047,0.0002221235006663047,0.00016659262549978404,-5.553087516663169e-05,0.00016659262549978404,0.0,0.00011106175033315235,0.00016659262549978404,0.0,0.00016659262549978404,0.0002221235006663047,0.0004997778764993521,0.0003331852509995681,0.00016659262549978404,0.0002221235006663047,0.00044424700133272044,0.0002221235006663047,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,0.0,0.00016659262549978404,0.0012772101288316406,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,0.00011106175033315235,0.00038871612616608875,0.00011106175033315235,0.00044424700133272044,0.0,0.0005553087516658728,0.00016659262549978404,-5.553087516663169e-05,0.00011106175033315235,0.00011106175033315235,0.00011106175033315235,0.00038871612616608875,0.0002776543758329364,5.553087516663169e-05,5.553087516663169e-05,0.0,0.00038871612616608875,5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0,0.00016659262549978404,0.00016659262549978404,0.00011106175033315235,0.0002221235006663047,0.0003331852509995681,0.0002776543758329364,0.0007219013771656568,5.553087516663169e-05,0.0004997778764993521,0.00011106175033315235,0.00011106175033315235,0.0008329631274989202,0.0004997778764993521,0.00011106175033315235,5.553087516663169e-05,0.0,0.0003331852509995681,0.00044424700133272044,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,0.0006108396268325045,0.00044424700133272044,0.00011106175033315235,5.553087516663169e-05,0.0002776543758329364
Rando train Iter 1,0.00011106175033315235,0.0002776543758329364,0.0006663705019991362,0.00016659262549978404,0.0004997778764993521,0.00011106175033315235,0.00016659262549978404,0.0007774322523322885,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,0.0002221235006663047,0.00016659262549978404,0.00011106175033315235,0.0006108396268325045,0.00044424700133272044,0.0003331852509995681,0.0005553087516658728,0.0,0.00011106175033315235,0.0002221235006663047,0.0003331852509995681,0.0002221235006663047,0.0002776543758329364,0.0,5.553087516663169e-05,0.0002221235006663047,0.0003331852509995681,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0002776543758329364,0.0003331852509995681,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0002776543758329364,0.00011106175033315235,0.0002776543758329364,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.0,0.00011106175033315235,0.0002776543758329364,0.0,0.0002221235006663047,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,0.0,0.00011106175033315235,0.0,0.00011106175033315235,0.00016659262549978404,0.0,0.00011106175033315235,0.00016659262549978404,0.00044424700133272044,0.00011106175033315235,0.0002221235006663047,5.553087516663169e-05,0.00038871612616608875,0.0003331852509995681,0.0002221235006663047,0.00011106175033315235,0.00011106175033315235,0.0,0.00016659262549978404,0.001221679253665009,0.00016659262549978404,0.00016659262549978404,0.0,0.0002221235006663047,5.553087516663169e-05,0.0006108396268325045,0.00011106175033315235,0.0006108396268325045,0.0,0.00044424700133272044,0.00016659262549978404,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,0.00016659262549978404,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235,0.0,0.00038871612616608875,5.553087516663169e-05,0.0,0.0,5.553087516663169e-05,-5.553087516663169e-05,-5.553087516663169e-05,0.00016659262549978404,0.00016659262549978404,0.00016659262549978404,0.0002776543758329364,0.0002221235006663047,0.0004997778764993521,0.0,0.00044424700133272044,0.0002221235006663047,5.553087516663169e-05,0.0008329631274989202,0.0004997778764993521,0.0002221235006663047,5.553087516663169e-05,0.0,0.0002776543758329364,0.0004997778764993521,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,0.0,0.00016659262549978404,0.0007774322523322885,0.0006108396268325045,0.00011106175033315235,0.00011106175033315235,0.00016659262549978404
Rando train Iter 2,0.00011106175033315235,0.0002221235006663047,0.00038871612616608875,0.00011106175033315235,0.0002776543758329364,0.00011106175033315235,0.00038871612616608875,0.0006663705019991362,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235,0.00016659262549978404,0.00038871612616608875,0.0002776543758329364,0.0006108396268325045,0.0002776543758329364,0.0003331852509995681,0.0006108396268325045,0.0,0.0002776543758329364,0.0002776543758329364,0.0003331852509995681,0.0002776543758329364,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.0002221235006663047,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,0.0,0.0,0.0002776543758329364,0.00016659262549978404,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235,0.00016659262549978404,0.0002221235006663047,0.0,0.0002221235006663047,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0,5.553087516663169e-05,0.00011106175033315235,0.0002221235006663047,0.0002221235006663047,0.0,0.00011106175033315235,0.0,0.00011106175033315235,0.00016659262549978404,0.0,0.00016659262549978404,0.00011106175033315235,0.0002776543758329364,0.00016659262549978404,0.0002776543758329364,0.0002221235006663047,0.00038871612616608875,0.00044424700133272044,0.00038871612616608875,5.553087516663169e-05,0.00011106175033315235,0.0,0.00016659262549978404,0.0008329631274989202,5.553087516663169e-05,0.0,0.0,0.00011106175033315235,0.00011106175033315235,0.0002776543758329364,0.0002221235006663047,0.0002776543758329364,0.0,0.0007774322523322885,0.0002776543758329364,0.00016659262549978404,0.00016659262549978404,0.0002776543758329364,0.00016659262549978404,0.0003331852509995681,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.0,0.0003331852509995681,5.553087516663169e-05,0.0,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.00038871612616608875,0.00011106175033315235,0.00016659262549978404,0.0003331852509995681,0.00011106175033315235,0.0008329631274989202,0.0,0.0005553087516658728,0.0002221235006663047,0.00016659262549978404,0.0007219013771656568,0.0003331852509995681,0.00011106175033315235,0.0,0.0,0.0003331852509995681,0.0006663705019991362,0.00011106175033315235,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.0003331852509995681,0.0007219013771656568,0.0006108396268325045,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235
Rando train Iter 3,5.553087516663169e-05,0.0002776543758329364,0.00044424700133272044,0.00016659262549978404,0.00044424700133272044,0.00011106175033315235,0.0002221235006663047,0.0004997778764993521,0.00016659262549978404,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.00016659262549978404,0.00038871612616608875,0.0002221235006663047,0.0003331852509995681,0.0004997778764993521,0.00038871612616608875,0.0004997778764993521,0.0,0.00016659262549978404,0.0002221235006663047,0.0002776543758329364,0.0002221235006663047,0.0002221235006663047,0.0,5.553087516663169e-05,0.0002221235006663047,0.0002776543758329364,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0002221235006663047,0.0002776543758329364,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,0.00011106175033315235,0.0002776543758329364,0.00038871612616608875,0.00016659262549978404,5.553087516663169e-05,-5.553087516663169e-05,0.00016659262549978404,0.0002221235006663047,0.0,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,0.0,5.553087516663169e-05,0.0,0.0,0.00011106175033315235,0.0002776543758329364,0.00016659262549978404,-5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.00016659262549978404,0.0,0.0002221235006663047,0.00011106175033315235,0.0004997778764993521,0.0003331852509995681,0.0003331852509995681,5.553087516663169e-05,0.00038871612616608875,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235,0.0,5.553087516663169e-05,0.0011106175033318566,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0002776543758329364,0.00016659262549978404,0.00038871612616608875,5.553087516663169e-05,0.00038871612616608875,0.0,0.0008884940026654409,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.00016659262549978404,0.00011106175033315235,0.0003331852509995681,0.0002776543758329364,5.553087516663169e-05,0.00011106175033315235,0.0,0.00038871612616608875,0.00011106175033315235,0.0,0.0,5.553087516663169e-05,0.0,0.0002776543758329364,0.00011106175033315235,0.00016659262549978404,0.00016659262549978404,0.00038871612616608875,0.0002221235006663047,0.0006663705019991362,5.553087516663169e-05,0.0004997778764993521,0.0002221235006663047,0.00011106175033315235,0.0007774322523322885,0.0005553087516658728,0.00011106175033315235,0.0,0.0,0.0003331852509995681,0.0006663705019991362,0.0,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0008329631274989202,0.0004997778764993521,0.00011106175033315235,5.553087516663169e-05,0.0002221235006663047
Rando train Iter 4,0.00011106175033315235,0.0002221235006663047,0.0007219013771656568,0.00016659262549978404,0.0003331852509995681,0.00011106175033315235,0.00038871612616608875,0.00044424700133272044,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,0.0,0.00016659262549978404,0.0003331852509995681,0.0002776543758329364,0.0004997778764993521,0.0002776543758329364,0.00016659262549978404,0.0006663705019991362,0.0,0.0002221235006663047,0.00011106175033315235,0.00011106175033315235,0.0002776543758329364,0.00011106175033315235,0.0003331852509995681,5.553087516663169e-05,0.00016659262549978404,0.00044424700133272044,5.553087516663169e-05,5.553087516663169e-05,0.0,0.00016659262549978404,0.0002221235006663047,0.00011106175033315235,0.0,0.0,0.00016659262549978404,0.00011106175033315235,0.0003331852509995681,0.00016659262549978404,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.0,0.0002221235006663047,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,0.0,0.00016659262549978404,0.0,0.00011106175033315235,0.00016659262549978404,0.0,0.0002221235006663047,0.0002221235006663047,0.00044424700133272044,0.00011106175033315235,0.0002776543758329364,0.00016659262549978404,0.0002776543758329364,0.0003331852509995681,0.0002776543758329364,5.553087516663169e-05,0.00011106175033315235,0.0,0.0002776543758329364,0.0009440248778320726,0.0,0.00011106175033315235,0.0,0.0002221235006663047,0.00011106175033315235,0.00038871612616608875,0.0002221235006663047,0.00044424700133272044,0.0,0.0005553087516658728,0.00016659262549978404,0.0002776543758329364,0.00016659262549978404,0.00011106175033315235,0.0002221235006663047,0.0002776543758329364,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.0,0.00044424700133272044,5.553087516663169e-05,0.0,0.0,0.0,0.0,5.553087516663169e-05,0.0002221235006663047,0.00011106175033315235,0.0002776543758329364,0.0002221235006663047,0.00011106175033315235,0.0007219013771656568,0.0,0.00038871612616608875,0.00016659262549978404,0.00011106175033315235,0.0006108396268325045,0.0004997778764993521,0.00011106175033315235,0.0,0.0,0.0002221235006663047,0.0006663705019991362,5.553087516663169e-05,0.00016659262549978404,5.553087516663169e-05,0.0,0.00011106175033315235,0.0008329631274989202,0.00044424700133272044,0.00016659262549978404,0.00011106175033315235,0.0002221235006663047
Rando train Iter 5,0.00011106175033315235,0.0002221235006663047,0.0004997778764993521,0.00016659262549978404,0.00038871612616608875,0.00011106175033315235,0.00038871612616608875,0.0007774322523322885,0.00038871612616608875,0.0,0.00011106175033315235,-0.00011106175033315235,0.00016659262549978404,0.0003331852509995681,0.0002776543758329364,0.00044424700133272044,0.00044424700133272044,0.0003331852509995681,0.0003331852509995681,0.0,0.0002221235006663047,0.0002221235006663047,0.0003331852509995681,0.0002776543758329364,0.0002221235006663047,0.0,5.553087516663169e-05,0.0002776543758329364,0.0003331852509995681,0.00016659262549978404,0.00011106175033315235,0.0,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,5.553087516663169e-05,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.00016659262549978404,0.00016659262549978404,0.0,0.0002221235006663047,0.00011106175033315235,0.00016659262549978404,0.00016659262549978404,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,-5.553087516663169e-05,0.00016659262549978404,0.0,5.553087516663169e-05,5.553087516663169e-05,0.0,0.00016659262549978404,0.00011106175033315235,0.0006663705019991362,0.0002221235006663047,0.0002221235006663047,0.00016659262549978404,0.0002221235006663047,0.0002221235006663047,0.0002776543758329364,5.553087516663169e-05,0.00011106175033315235,0.0,0.00011106175033315235,0.0011106175033318566,0.00016659262549978404,5.553087516663169e-05,0.0,0.0002221235006663047,0.00016659262549978404,0.0002221235006663047,5.553087516663169e-05,0.00038871612616608875,0.0,0.0006108396268325045,0.00016659262549978404,0.0002221235006663047,0.00011106175033315235,0.0002221235006663047,0.00016659262549978404,0.0002776543758329364,0.0002221235006663047,5.553087516663169e-05,0.00016659262549978404,0.0,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0,0.00016659262549978404,0.0,0.0002221235006663047,0.00016659262549978404,0.0002221235006663047,0.00011106175033315235,0.0007219013771656568,0.00011106175033315235,0.00038871612616608875,0.0002776543758329364,0.00016659262549978404,0.0006663705019991362,0.00038871612616608875,5.553087516663169e-05,5.553087516663169e-05,0.0,0.00044424700133272044,0.0007774322523322885,5.553087516663169e-05,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0007219013771656568,0.00038871612616608875,0.00016659262549978404,0.00011106175033315235,0.0002221235006663047
Rando train Iter 6,0.00011106175033315235,0.0002221235006663047,0.00044424700133272044,0.00016659262549978404,0.0003331852509995681,0.00011106175033315235,0.0002221235006663047,0.0006663705019991362,0.0002776543758329364,0.0,0.00011106175033315235,-5.553087516663169e-05,0.00016659262549978404,0.00038871612616608875,0.00016659262549978404,0.0004997778764993521,0.00044424700133272044,0.00016659262549978404,0.0004997778764993521,0.0,0.00011106175033315235,0.0002221235006663047,0.0002776543758329364,0.0002221235006663047,0.0002221235006663047,0.0002221235006663047,0.0,0.0002221235006663047,0.0004997778764993521,5.553087516663169e-05,0.00016659262549978404,0.0,0.00011106175033315235,0.0002776543758329364,0.0,5.553087516663169e-05,0.0,0.00038871612616608875,0.00016659262549978404,0.00038871612616608875,0.00038871612616608875,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.0,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,0.00011106175033315235,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.00016659262549978404,0.0002776543758329364,0.00016659262549978404,-5.553087516663169e-05,0.00016659262549978404,0.0,0.00011106175033315235,0.00011106175033315235,0.0,0.00016659262549978404,0.0002221235006663047,0.0002776543758329364,0.0002776543758329364,0.00011106175033315235,0.00016659262549978404,0.0002221235006663047,0.00038871612616608875,0.00038871612616608875,5.553087516663169e-05,0.00011106175033315235,0.0,0.0002776543758329364,0.0011106175033318566,5.553087516663169e-05,0.00011106175033315235,0.0,0.0002221235006663047,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.00038871612616608875,0.0,0.0008329631274989202,0.0002776543758329364,0.0002221235006663047,0.00011106175033315235,0.00016659262549978404,0.00016659262549978404,0.0002221235006663047,0.0002221235006663047,5.553087516663169e-05,0.00011106175033315235,0.0,0.00038871612616608875,5.553087516663169e-05,0.0,0.0,5.553087516663169e-05,-5.553087516663169e-05,0.00016659262549978404,0.0002221235006663047,0.0002221235006663047,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,0.0006663705019991362,0.00011106175033315235,0.0004997778764993521,0.00016659262549978404,0.0,0.0006663705019991362,0.0005553087516658728,0.00011106175033315235,0.0,0.0,0.00038871612616608875,0.0005553087516658728,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,0.0006108396268325045,0.0003331852509995681,0.00016659262549978404,0.00011106175033315235,0.0002221235006663047
Rando train Iter 7,0.00011106175033315235,0.0002776543758329364,0.0006108396268325045,0.0002221235006663047,0.0002776543758329364,0.00011106175033315235,0.0002776543758329364,0.0007219013771656568,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.0003331852509995681,0.0002776543758329364,0.0003331852509995681,0.0003331852509995681,0.00016659262549978404,0.00044424700133272044,0.0,0.00016659262549978404,0.0003331852509995681,5.553087516663169e-05,0.0002221235006663047,0.00011106175033315235,0.0002776543758329364,5.553087516663169e-05,0.0004997778764993521,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.0,0.00011106175033315235,0.0002221235006663047,0.0,5.553087516663169e-05,0.0,0.0003331852509995681,0.00011106175033315235,0.00038871612616608875,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.0,0.00016659262549978404,0.0002776543758329364,0.0,0.0002221235006663047,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,0.0,5.553087516663169e-05,0.0,0.0,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.00016659262549978404,0.0,0.00011106175033315235,0.00016659262549978404,0.0003331852509995681,0.0002776543758329364,0.0002776543758329364,5.553087516663169e-05,0.00038871612616608875,0.00044424700133272044,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.0,0.00016659262549978404,0.001055086628165225,0.00016659262549978404,0.00011106175033315235,0.0,0.0002776543758329364,5.553087516663169e-05,0.00038871612616608875,0.00016659262549978404,0.0003331852509995681,0.0,0.0008329631274989202,5.553087516663169e-05,5.553087516663169e-05,0.00011106175033315235,0.00016659262549978404,0.00011106175033315235,0.0002776543758329364,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.0,0.0002776543758329364,5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.0,0.00011106175033315235,0.0002221235006663047,0.0002221235006663047,0.0002776543758329364,0.0003331852509995681,0.00011106175033315235,0.0006108396268325045,5.553087516663169e-05,0.0005553087516658728,0.0002221235006663047,0.0,0.0008329631274989202,0.0004997778764993521,5.553087516663169e-05,0.00011106175033315235,0.0,0.00044424700133272044,0.0007219013771656568,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,0.0,0.00016659262549978404,0.0008329631274989202,0.0007774322523322885,0.00011106175033315235,0.00011106175033315235,0.0002776543758329364
Rando train Iter 8,5.553087516663169e-05,0.0002221235006663047,0.00044424700133272044,0.00016659262549978404,0.00016659262549978404,0.00011106175033315235,0.00038871612616608875,0.0006663705019991362,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002221235006663047,0.0002776543758329364,0.0002221235006663047,0.00044424700133272044,0.0002221235006663047,0.00016659262549978404,0.0007774322523322885,0.0,0.00016659262549978404,0.00016659262549978404,0.0002776543758329364,0.00016659262549978404,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,-5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,0.0,0.0,5.553087516663169e-05,0.0002776543758329364,0.00011106175033315235,5.553087516663169e-05,0.0,0.0003331852509995681,0.00011106175033315235,0.0002221235006663047,0.0002221235006663047,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.00011106175033315235,0.0002776543758329364,0.0,0.0002221235006663047,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.0,0.0,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,0.0,5.553087516663169e-05,-5.553087516663169e-05,0.0,0.00011106175033315235,0.0,0.00011106175033315235,0.0002221235006663047,0.0006108396268325045,0.00016659262549978404,0.00016659262549978404,5.553087516663169e-05,0.0004997778764993521,0.0002221235006663047,0.00016659262549978404,5.553087516663169e-05,0.00011106175033315235,0.0,0.00011106175033315235,0.0009440248778320726,0.00011106175033315235,0.0002221235006663047,0.0,0.0002776543758329364,5.553087516663169e-05,0.0005553087516658728,0.00016659262549978404,0.00044424700133272044,0.0,0.0004997778764993521,5.553087516663169e-05,0.00016659262549978404,0.00011106175033315235,0.00016659262549978404,0.00016659262549978404,0.00038871612616608875,0.00016659262549978404,0.00011106175033315235,0.00011106175033315235,0.0,0.00038871612616608875,5.553087516663169e-05,0.0,0.0,5.553087516663169e-05,-5.553087516663169e-05,5.553087516663169e-05,0.0002776543758329364,0.0002221235006663047,0.00011106175033315235,0.00038871612616608875,0.0,0.0007774322523322885,0.0,0.0004997778764993521,0.00016659262549978404,0.0,0.0006663705019991362,0.0004997778764993521,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,0.0006108396268325045,0.0,0.00016659262549978404,5.553087516663169e-05,0.0,0.00016659262549978404,0.0007774322523322885,0.0003331852509995681,0.00016659262549978404,5.553087516663169e-05,0.0002221235006663047
Rando train Iter 9,0.00011106175033315235,0.0002776543758329364,0.0006108396268325045,0.0002221235006663047,0.0002776543758329364,0.00011106175033315235,0.0003331852509995681,0.00044424700133272044,0.0002776543758329364,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,0.0003331852509995681,0.0002776543758329364,0.0002776543758329364,0.0005553087516658728,0.0003331852509995681,0.00016659262549978404,0.0006663705019991362,0.0,0.0002221235006663047,0.00038871612616608875,0.00038871612616608875,0.0002221235006663047,0.00011106175033315235,0.0,0.00011106175033315235,0.0003331852509995681,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002221235006663047,0.0003331852509995681,0.00011106175033315235,5.553087516663169e-05,0.0,0.0002776543758329364,0.00011106175033315235,0.0002221235006663047,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0002776543758329364,0.0,0.0002221235006663047,0.00011106175033315235,5.553087516663169e-05,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.0,5.553087516663169e-05,0.00016659262549978404,0.0002221235006663047,0.00016659262549978404,-5.553087516663169e-05,5.553087516663169e-05,0.0,0.00011106175033315235,0.0002221235006663047,0.0,0.00016659262549978404,0.00011106175033315235,0.00038871612616608875,0.00016659262549978404,0.0,0.00011106175033315235,0.00038871612616608875,0.0002776543758329364,0.00016659262549978404,0.00011106175033315235,5.553087516663169e-05,0.0,0.00016659262549978404,0.0011106175033318566,5.553087516663169e-05,0.00011106175033315235,0.0,0.0002776543758329364,0.00011106175033315235,0.00038871612616608875,0.00016659262549978404,0.0003331852509995681,0.0,0.0009440248778320726,0.00016659262549978404,5.553087516663169e-05,5.553087516663169e-05,0.0002221235006663047,0.00016659262549978404,0.00038871612616608875,0.0002221235006663047,5.553087516663169e-05,0.00016659262549978404,0.0,0.0003331852509995681,5.553087516663169e-05,0.0,0.0,5.553087516663169e-05,0.0,0.00016659262549978404,0.0002776543758329364,0.0002221235006663047,0.0002221235006663047,0.0002776543758329364,0.00016659262549978404,0.0006108396268325045,5.553087516663169e-05,0.00044424700133272044,0.0002221235006663047,0.00011106175033315235,0.0006663705019991362,0.0005553087516658728,0.00011106175033315235,0.00011106175033315235,0.0,0.00038871612616608875,0.0004997778764993521,0.00011106175033315235,0.00011106175033315235,5.553087516663169e-05,5.553087516663169e-05,0.00016659262549978404,0.0005553087516658728,0.00044424700133272044,0.00011106175033315235,0.00011106175033315235,0.00016659262549978404
