,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea train Iter 0,0.0,0.5517165005537099,0.0,0.0,0.0,0.0,0.43322259136212626,-0.00022148394241416902,0.001107419712070845,0.00011074197120708451,0.37851605758582507,0.0,0.0,0.0,-0.00033222591362125353,0.027131782945736482,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011074197120708451,0.00011074197120708451,-0.0016611295681062677,-0.0007751937984495916,0.004318936877076407,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,0.0,0.383499446290144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011074197120708451,0.0,-0.00011074197120708451,0.006866002214839462,0.014728682170542684,0.06002214839424147,0.0,0.0,0.0,0.013510520487264643,0.0,0.0,0.0,0.0,0.3318936877076412,-0.004097452934662238,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 1,0.0,0.5623477297895902,0.0,0.0,0.0,0.0,0.4364341085271318,0.0,0.0022148394241418012,-0.00011074197120708451,0.380952380952381,-0.00022148394241416902,0.0,0.0,-0.00033222591362125353,0.03244739756367665,0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,-0.0005537098560354226,0.0,-0.0014396456256920986,-0.0009966777408637606,0.0048726467331118295,-0.00022148394241416902,0.0,0.0,0.0,0.0,0.37497231450719826,0.0,0.0,0.0,0.0,0.00011074197120708451,0.0,0.00033222591362125353,0.00033222591362125353,0.0,-0.00011074197120708451,0.0053156146179401675,0.013510520487264643,0.0648947951273533,0.0,0.0,0.0,0.015503875968992276,0.0,0.0,0.0,0.0,0.3283499446290144,-0.003433001107419731,0.0,0.0,0.0,0.00022148394241416902,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 2,0.0,0.556921373200443,0.0,0.0,0.0,0.0,0.43244739756367667,-0.00033222591362125353,0.0014396456256922097,0.0,0.38006644518272426,-0.00044296788482833804,0.0,0.0,-0.0005537098560354226,0.02978959025470651,0.00022148394241416902,0.0,0.0,0.0,0.0,0.0,-0.00033222591362125353,0.0,-0.0008859357696566761,-0.0006644518272425071,0.0031007751937984773,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,0.0,0.38726467331118497,0.0,0.0,0.0,0.0,0.0,0.0,0.00011074197120708451,0.00033222591362125353,0.0,0.0,0.004983388704318914,0.01583610188261353,0.06245847176079733,0.0,0.0,0.0,0.016500553709856036,0.0,0.0,0.0,0.0,0.32713178294573647,-0.003433001107419731,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 3,0.0,0.5576965669988926,0.0,0.0,0.0,0.0,0.432890365448505,-0.00033222591362125353,0.0014396456256922097,-0.00011074197120708451,0.38549280177187156,-0.00022148394241416902,0.0,0.0,-0.00022148394241416902,0.03023255813953485,0.0,0.0,-0.00011074197120708451,0.0,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,-0.0018826135105204367,-0.0008859357696566761,0.0035437430786268154,0.0,0.0,-0.00033222591362125353,0.0,0.0,0.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011074197120708451,-0.00011074197120708451,0.0,0.0,0.004761904761904745,0.014285714285714346,0.0626799557032115,0.0,0.0,0.0,0.014285714285714346,0.0,0.0,0.0,0.0,0.32978959025470655,-0.003211517165005562,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 4,0.0,0.5584717607973422,0.0,0.0,0.0,0.0,0.43964562569213733,-0.00044296788482833804,0.0013289036544851252,0.0,0.37718715393134,0.0,0.0,0.0,-0.00022148394241416902,0.03145071982281289,-0.00011074197120708451,0.0,0.00011074197120708451,0.0,-0.00044296788482833804,0.0,-0.00033222591362125353,0.0,-0.001993355481727521,-0.001107419712070845,0.004208194905869322,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,0.0,0.37574750830564785,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.00022148394241416902,0.00022148394241416902,0.0,0.0,0.0053156146179401675,0.01583610188261353,0.05924695459579188,0.0,0.0,0.0,0.014728682170542684,0.0,0.0,0.0,0.0,0.3302325581395349,-0.0037652270210409844,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 5,0.0,0.5578073089700997,0.0,0.0,0.0,0.0,0.43266888150609084,0.0,0.0015503875968992942,-0.00011074197120708451,0.37862679955703216,-0.00011074197120708451,0.0,0.0,-0.00022148394241416902,0.02956810631229234,0.00011074197120708451,0.0,0.0,0.0,-0.00011074197120708451,0.0,-0.00022148394241416902,0.0,-0.0017718715393133522,-0.0008859357696566761,0.005204872646733083,-0.00044296788482833804,0.0,0.0,0.0,0.0,0.3789590254706534,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.005869324473975701,0.015393133997785191,0.06068660022148398,0.0,0.0,0.0,0.01583610188261353,0.0,0.0,0.0,0.0,0.3207087486157254,-0.0036544850498339,0.0,0.0,0.0,0.0007751937984495916,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 6,0.0,0.5566998892580288,0.0,0.0,0.0,0.0,0.43433001107419716,-0.00011074197120708451,0.001107419712070845,0.00011074197120708451,0.37995570321151717,-0.00011074197120708451,0.0,0.0,-0.00022148394241416902,0.03001107419712068,-0.00011074197120708451,0.0,0.00022148394241416902,0.0,-0.00033222591362125353,0.0,-0.00033222591362125353,0.0,-0.0008859357696566761,-0.0012181616832779296,0.003433001107419731,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,0.0,0.3839424141749723,0.0,0.0,0.0,0.0,0.0,0.0,0.00011074197120708451,0.00022148394241416902,0.0,0.0,0.0048726467331118295,0.013289036544850474,0.06146179401993357,0.0,0.0,0.0,0.0146179401993356,0.0,0.0,-0.00011074197120708451,0.0,0.3269102990033223,-0.004208194905869322,0.0,0.0,0.0,0.00033222591362125353,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 7,0.0,0.5502768549280177,0.0,0.0,0.0,0.0,0.429125138427464,-0.00033222591362125353,0.0009966777408637606,-0.00011074197120708451,0.3796234772978959,0.0,0.0,0.0,-0.00022148394241416902,0.02801771871539316,0.00011074197120708451,0.0,0.00011074197120708451,0.0,-0.0007751937984495916,0.0,-0.00022148394241416902,0.0,-0.0014396456256920986,-0.0005537098560354226,0.0024363233665559703,-0.00022148394241416902,0.0,-0.00011074197120708451,0.0,0.0,0.3760797342192691,0.0,0.0,0.0,0.0,0.0,0.0,0.00022148394241416902,-0.00011074197120708451,0.0,0.0,0.00609080841638987,0.016722037652270205,0.061351052048726484,0.0,0.0,0.0,0.015171650055371022,0.0,0.0,0.0,0.0,0.33089700996677746,-0.004540420819490576,0.0,0.0,0.0,0.00044296788482833804,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 8,0.0,0.5534883720930233,0.0,0.0,0.0,0.0,0.43599114064230343,-0.0005537098560354226,0.0009966777408637606,-0.00011074197120708451,0.3772978959025471,0.0,0.0,0.0,-0.00044296788482833804,0.030786267995570382,0.0,0.0,0.0,0.0,-0.00044296788482833804,0.0,-0.00022148394241416902,0.0,-0.0012181616832779296,-0.0008859357696566761,0.004318936877076407,-0.00022148394241416902,0.0,0.0,0.0,0.0,0.3778516057585825,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.00011074197120708451,0.00011074197120708451,0.0,0.0,0.006201550387596955,0.013399778516057559,0.06168327796234774,0.0,0.0,0.0,0.013842746400886008,0.0,0.0,0.0,0.0,0.32801771871539315,-0.003986710963455153,0.0,0.0,0.0,-0.00011074197120708451,0.0,0.0,0.0,0.0,0.0,0.0
Linea train Iter 9,0.0,0.5586932447397563,0.0,0.0,0.0,0.0,0.43067552602436326,0.00011074197120708451,0.0013289036544851252,0.0,0.37375415282392027,0.0,0.0,0.0,-0.00033222591362125353,0.02757475083056482,0.0,0.0,0.0,0.0,-0.00011074197120708451,0.0,-0.00022148394241416902,-0.00011074197120708451,-0.0012181616832779296,-0.0005537098560354226,0.003433001107419731,-0.00033222591362125353,0.0,-0.00011074197120708451,0.0,0.0,0.3802879291251384,0.0,0.0,0.0,0.0,0.0,0.0,0.00022148394241416902,0.00033222591362125353,0.0,0.0,0.007419712070874884,0.013399778516057559,0.06788482834994469,0.0,0.0,0.0,0.016057585825027698,0.0,0.0,0.0,0.0,0.3205980066445183,-0.003875968992248069,0.0,0.0,0.0,0.00022148394241416902,0.0,0.0,0.0,0.0,0.0,0.0
