,F1 Score,Accuracy,mAUC,mAP,mAUPRC,Kappa,mTPR@1%FPR,mTPR@5%FPR,mEER,Fitted Models,Test IX
0,0.6405560648917755,0.5479646097913015,0.7129402338846065,0.59958228572385,0.5994796358745714,0.377157111271363,0.3902107339452103,0.31970993168520195,0.324117779446365,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[    0     1     2 ... 45485 45486 45487]
1,0.5690563131045059,0.5122244982582715,0.6603170061824118,0.5534340990855421,0.5533362447259934,0.2648551309834326,0.3139357761663073,0.275935459651614,0.363598880302659,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[ 81135  81136  81137 ... 116840 116841 116842]
2,0.3393487932853089,0.3983553600168,0.5511377825692673,0.3737121420445944,0.37361263971594827,0.053185631295600166,0.10557779043392679,0.06962047138379639,0.4631712739937517,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[ 9253  9254  9255 ... 81132 81133 81134]
3,0.43741539306959637,0.4179612491534363,0.5608274732391055,0.4028009106642989,0.4026549262742533,0.08449138392681699,0.18384770436650502,0.1124379594033524,0.4635413568850106,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[ 27360  27361  27362 ... 125820 125821 125822]
4,0.55150829754333,0.4841290748068707,0.7409806213404271,0.573291612120881,0.5734890352702607,0.29014392915730913,0.3657701315151145,0.2736125642117259,0.3236252854479717,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[ 89939  89940  89941 ... 107902 107903 107904]
5,0.6082459254933436,0.6335957600256023,0.9373986961266643,0.8261488734385188,0.8259384389249002,0.39259395417831744,0.8574703350054554,0.7170261947794673,0.11711618765933814,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[125823 125824 125825 ... 134752 134753 134754]
6,0.3008940635283748,0.2744900047004212,0.48720357695244254,0.3897408850136823,0.3896485510767807,-0.055723377531485596,0.15079045183140327,0.11600180567632386,0.5328649422072664,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[18311 18312 18313 ... 27357 27358 27359]
7,0.3987828148181532,0.3209776151469966,0.3205919535682583,0.2813036005805925,0.28196394116442874,-0.046109916331745104,0.03153804377388988,0.011756847027388108,0.6587517872242729,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[63766 63767 63768 ... 72367 72368 72369]
8,0.7290083565869485,0.6271769719459265,0.8995798801332158,0.7893280630612837,0.7891724383630315,0.6180030954494953,0.7828519579786622,0.7028529460558642,0.1491021988987298,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[45488 45489 45490 ... 54515 54516 54517]
9,0.7443985123724628,0.646021490102407,0.8559254648921878,0.6922646253595062,0.69213119166707,0.6472130472869037,0.530875161248205,0.4502144471172733,0.20116914542573375,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', MLPClassifier(max_iter=1000))])",[54518 54519 54520 ... 63763 63764 63765]
