,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Decis train Iter 0,0.0006160394265233293,0.008792562724014297,0.0021841397849462485,0.0007280465949820458,0.028449820788530422,0.0,0.0,0.0003920250896057853,0.0020161290322581182,0.005712365591397872,0.0005040322580645018,0.03909050179211471,0.01232078853046592,0.03601030465949817,0.008736559139784994,0.0007280465949820458,0.03886648745519716,0.017753136200716835,0.018873207885304666,0.0,0.018593189964157708,0.005096326164874543,0.02368951612903225,5.600358422941376e-05,0.004984318996415826,0.009072580645161255,0.0008400537634408733,0.004760304659498171,0.0,0.0,0.0006720430107527431,0.0,0.01702508960573479,0.006664426523297462,0.011592741935483875,0.002072132616487421,0.0,0.0024081541218637925,0.05477150537634412,0.003416218637992796,0.23465501792114696,0.010976702508960545,0.0002800179211469578,0.0,0.0,0.0002800179211469578,0.0,0.0,0.0,0.0,0.0,5.600358422941376e-05,0.0006720430107527431,0.0,0.0,0.0015120967741935054,0.0,0.0005600358422939156,0.0,0.0049283154121864126,0.049171146953405076,0.047603046594982046,0.0,0.0,0.001624103942652333,0.0008400537634408733,0.0020161290322581182,0.0005600358422939156,0.005544354838709631,0.0006160394265233293,0.02004928315412191,0.005320340501792087,0.0005040322580645018,0.0008400537634408733,0.0022401433691756623,0.0,0.14415322580645162,0.20564516129032262,0.0003920250896057853,0.0014560931899642027,0.0,0.004368279569892497,0.010808691756272415,0.03847446236559138,0.0035282258064516236,0.0,0.0009520609318997009,0.06356406810035842,0.07991711469534046,0.007672491039426577,0.036682347670250914,0.03864247311827962,0.0009520609318997009,0.039538530465949795,0.005656362007168458,0.00016801075268813026,0.0,0.0,0.00033602150537637154,0.0009520609318997009,0.001400089605734789,0.00016801075268813026,0.0008400537634408733,0.0,0.005600358422939045,0.011144713261648787,0.0012880824372759614,0.0029121863799282943,0.0006720430107527431,0.00347222222222221,0.004200268817204256,0.01988127240143367,0.007056451612903247,0.0,0.01719310035842292,0.0014560931899642027,0.03046594982078854,0.003864247311827995,0.0006160394265233293,0.0,0.0029121863799282943,0.05314740143369179,0.00044802867383508804,0.0,0.0,0.0,0.00033602150537637154,0.035898297491039455,0.01467293906810041,0.00022401433691754402,0.0007840501792114596,0.0922939068100358
Decis train Iter 1,0.0005600358422939156,0.009072580645161255,0.0025761648745519228,0.0008960573476702871,0.026769713261648787,0.0,0.0,0.00044802867383508804,0.0020161290322581182,0.0065524193548387455,0.00044802867383508804,0.04071460573476704,0.012544802867383464,0.03819444444444442,0.008288530465949795,0.0007840501792114596,0.040490591397849496,0.016073028673835088,0.019769265232974953,0.0,0.018425179211469578,0.005096326164874543,0.022961469534050205,5.600358422941376e-05,0.005768369175627286,0.008120519713261665,0.00016801075268813026,0.00520833333333337,0.0,0.0,0.0007280465949820458,0.0,0.017417114695340463,0.0070004480286738335,0.01293682795698925,0.0019041218637992907,0.0,0.002296146953405076,0.05393145161290325,0.0035842293906810374,0.23202284946236562,0.010192652329749086,0.00016801075268813026,0.0,0.0,0.0005600358422939156,0.0,0.0,0.0,0.0,0.0,0.0,0.0006720430107527431,0.0,0.0,0.0013440860215053752,0.0,0.00011200716845882752,0.0,0.004984318996415826,0.049003136200716835,0.049955197132616536,0.0,0.0,0.002072132616487421,0.0005600358422939156,0.0021841397849462485,0.0007280465949820458,0.005376344086021501,0.0007840501792114596,0.01814516129032262,0.0044802867383512135,0.0005040322580645018,0.0007280465949820458,0.002296146953405076,0.0,0.146505376344086,0.20838933691756278,0.00022401433691754402,0.0014560931899642027,0.0,0.005376344086021501,0.010472670250896043,0.037970430107526876,0.004144265232974953,0.0,0.0006720430107527431,0.062443996415770586,0.08098118279569888,0.0072244623655913776,0.03393817204301075,0.038138440860215006,0.0011200716845878311,0.03853046594982079,0.005376344086021501,0.00011200716845882752,0.0,0.0,0.00011200716845882752,0.0011200716845878311,0.001624103942652333,0.00011200716845882752,0.0014560931899642027,0.0,0.004984318996415826,0.01120071684587809,0.001400089605734789,0.003696236559139754,0.0007840501792114596,0.002800179211469578,0.003696236559139754,0.020777329749103957,0.007280465949820791,0.0,0.017865143369175662,0.0019041218637992907,0.03108198924731187,0.0031362007168458383,0.0005600358422939156,0.0,0.0035842293906810374,0.054827508960573534,0.0002800179211469578,0.0,0.0,0.0,0.0003920250896057853,0.03505824372759858,0.016129032258064502,0.00033602150537637154,0.0008400537634408733,0.08904569892473124
Decis train Iter 2,0.0005600358422939156,0.008064516129032251,0.0024081541218637925,0.0011200716845878311,0.02648969534050183,0.0,0.0,0.00044802867383508804,0.0021841397849462485,0.0063284050179212015,0.0005040322580645018,0.04177867383512546,0.011928763440860246,0.035898297491039455,0.009016577060931952,0.0007280465949820458,0.040938620071684584,0.01769713261648742,0.020273297491039455,0.0,0.01960125448028671,0.005432347670250914,0.023465501792114707,5.600358422941376e-05,0.005600358422939045,0.008232526881720381,0.0002800179211469578,0.005488351254480328,0.0,0.0,0.0006720430107527431,0.0,0.015568996415770586,0.008624551971326166,0.01120071684587809,0.0020161290322581182,0.0,0.0024081541218637925,0.054211469534050205,0.004144265232974953,0.23571908602150538,0.011592741935483875,0.00011200716845882752,0.0,0.0,0.0002800179211469578,0.0,0.0,0.0,0.0,0.0,0.0,0.0006720430107527431,0.0,0.0,0.0011760752688172449,0.0,0.00016801075268813026,0.0,0.004144265232974953,0.04810707885304655,0.05085125448028671,0.0,0.0,0.001848118279569877,0.0005040322580645018,0.0020161290322581182,0.0007840501792114596,0.005040322580645129,0.0006160394265233293,0.020105286738351213,0.004648297491039455,0.0005040322580645018,0.0007280465949820458,0.0020161290322581182,0.0,0.1405689964157706,0.2026769713261649,0.00016801075268813026,0.0012880824372759614,0.0,0.004536290322580627,0.01232078853046592,0.036122311827957,0.004592293906810041,0.0,0.0008960573476702871,0.0639560931899642,0.07840501792114696,0.008344534050179209,0.03769041218637992,0.03853046594982079,0.0013440860215053752,0.03981854838709675,0.005040322580645129,0.00011200716845882752,0.0,0.0,0.00016801075268813026,0.0005600358422939156,0.0015681003584229192,0.00022401433691754402,0.0008400537634408733,0.0,0.005320340501792087,0.011816756272401419,0.0013440860215053752,0.004088261648745539,0.0007840501792114596,0.003248207885304666,0.0035842293906810374,0.019769265232974953,0.0072244623655913776,0.0,0.017473118279569877,0.0017921146953404632,0.02996191756272404,0.0030801971326165356,0.0006160394265233293,0.0,0.003248207885304666,0.0556675627240143,0.0002800179211469578,0.0,0.0,0.0,0.00044802867383508804,0.034162186379928294,0.016129032258064502,0.00033602150537637154,0.0007840501792114596,0.08960573476702505
Decis train Iter 3,0.00044802867383508804,0.008960573476702538,0.0024641577060932063,0.0008960573476702871,0.02648969534050183,0.0,0.0,0.0006720430107527431,0.0019041218637992907,0.006104390681003546,0.0002800179211469578,0.039986559139784994,0.012376792114695334,0.0366263440860215,0.007504480286738335,0.0005600358422939156,0.04161066308243733,0.01797715053763438,0.02004928315412191,0.0,0.01892921146953408,0.0047043010752688685,0.023913530465949795,5.600358422941376e-05,0.005600358422939045,0.008008512544802837,0.0003920250896057853,0.005488351254480328,0.0,5.600358422941376e-05,0.0007280465949820458,0.0,0.015905017921146958,0.007112455197132661,0.011480734767025047,0.0019601254480287045,0.0,0.0024641577060932063,0.05432347670250892,0.0037522401433691677,0.23566308243727596,0.010808691756272415,0.00016801075268813026,0.0,0.0,0.0003920250896057853,0.0,0.0,0.0,0.0,0.0,0.0,0.0008960573476702871,0.0,0.0,0.001624103942652333,0.0,0.00033602150537637154,0.0,0.005264336917562784,0.048387096774193505,0.04704301075268813,0.0,0.0,0.0019041218637992907,0.0006720430107527431,0.0021281362007168347,0.0003920250896057853,0.006104390681003546,0.0007280465949820458,0.01960125448028671,0.004536290322580627,0.00044802867383508804,0.0007840501792114596,0.0021281362007168347,0.0,0.14297715053763438,0.20743727598566308,0.0002800179211469578,0.0013440860215053752,0.0,0.0042562724014336695,0.01198476702508966,0.039370519713261665,0.004144265232974953,0.0,0.0003920250896057853,0.061323924731182755,0.0776209677419355,0.006664426523297462,0.036234318996415826,0.038138440860215006,0.0006720430107527431,0.03931451612903225,0.005320340501792087,0.00033602150537637154,0.0,0.0,0.00011200716845882752,0.0006720430107527431,0.0015120967741935054,0.00011200716845882752,0.0012880824372759614,0.0,0.00520833333333337,0.010192652329749086,0.0013440860215053752,0.0033602150537634934,0.0005040322580645018,0.0033602150537634934,0.0042562724014336695,0.020609318996415826,0.007840501792114707,0.0,0.01545698924731187,0.0016801075268817467,0.029233870967741993,0.0029121863799282943,0.0006160394265233293,0.0,0.0031362007168458383,0.0537074372759857,0.0002800179211469578,0.0,0.0,0.0,0.00033602150537637154,0.03410618279569888,0.014728942652329713,0.00033602150537637154,0.0009520609318997009,0.09162186379928317
Decis train Iter 4,0.0003920250896057853,0.008232526881720381,0.003024193548387122,0.0008400537634408733,0.028281810035842292,0.0,0.0,0.00044802867383508804,0.002296146953405076,0.00616039426523296,0.0002800179211469578,0.03981854838709675,0.012544802867383464,0.03802643369175629,0.009016577060931952,0.0006720430107527431,0.03931451612903225,0.016465053763440873,0.019657258064516125,0.0,0.019825268817204256,0.005096326164874543,0.025033602150537626,5.600358422941376e-05,0.005040322580645129,0.008792562724014297,0.00044802867383508804,0.004592293906810041,0.0,0.0,0.0007840501792114596,0.0,0.017417114695340463,0.007336469534050205,0.01232078853046592,0.0020161290322581182,0.0,0.00252016129032262,0.05236335125448033,0.0038082437275985814,0.23325492831541217,0.011760752688172005,0.00016801075268813026,0.0,0.0,0.0005040322580645018,0.0,5.600358422941376e-05,0.0,0.0,0.0,0.0,0.0011760752688172449,0.0,0.0,0.001624103942652333,0.0,0.0003920250896057853,0.0,0.0047043010752688685,0.04653897849462363,0.047099014336917544,0.0,0.0,0.0020161290322581182,0.0003920250896057853,0.0017921146953404632,0.0006720430107527431,0.004816308243727585,0.0007280465949820458,0.019489247311827995,0.004648297491039455,0.00033602150537637154,0.0008960573476702871,0.002072132616487421,0.0,0.14135304659498205,0.20514112903225812,0.0003920250896057853,0.0012320788530465476,0.0,0.004760304659498171,0.011648745519713288,0.03864247311827962,0.003640232974910451,0.0,0.0006160394265233293,0.06165994623655913,0.08042114695340508,0.007952508960573534,0.03483422939068104,0.03489023297491045,0.0012320788530465476,0.03903449820788529,0.004816308243727585,0.00033602150537637154,0.0,0.0,0.00016801075268813026,0.0010080645161290036,0.0014560931899642027,0.00011200716845882752,0.0014560931899642027,0.0,0.006216397849462374,0.010808691756272415,0.0013440860215053752,0.003416218637992796,0.00044802867383508804,0.0033602150537634934,0.004088261648745539,0.01960125448028671,0.007336469534050205,0.0,0.01674507168458783,0.0019041218637992907,0.02968189964157708,0.0028561827956988806,0.0006160394265233293,0.0,0.0031362007168458383,0.05432347670250892,0.0002800179211469578,0.0,0.0,0.0,0.0002800179211469578,0.033714157706093206,0.015681003584229414,0.00022401433691754402,0.0009520609318997009,0.08770161290322587
Decis train Iter 5,0.0003920250896057853,0.009352598566308212,0.0024641577060932063,0.0010080645161290036,0.026153673835125457,0.0,0.0,0.0003920250896057853,0.001848118279569877,0.006496415770609332,0.0003920250896057853,0.042674731182795744,0.012208781362007204,0.036234318996415826,0.007336469534050205,0.0008400537634408733,0.03976254480286734,0.017305107526881747,0.01954525089605741,0.0,0.018537186379928294,0.004648297491039455,0.02307347670250892,5.600358422941376e-05,0.005768369175627286,0.009072580645161255,0.00044802867383508804,0.004816308243727585,0.0,0.0,0.0006720430107527431,0.0,0.0165770609318997,0.006832437275985703,0.011256720430107503,0.0019041218637992907,0.0,0.0024641577060932063,0.05337141577060933,0.0031362007168458383,0.2334229390681004,0.011816756272401419,0.00033602150537637154,0.0,0.0,0.00033602150537637154,0.0,0.0,0.0,0.0,0.0,0.0,0.0009520609318997009,0.0,0.0,0.001624103942652333,0.0,0.0003920250896057853,0.0,0.004984318996415826,0.04973118279569888,0.05051523297491045,0.0,0.0,0.0017921146953404632,0.0005600358422939156,0.0019041218637992907,0.0006720430107527431,0.004984318996415826,0.0008400537634408733,0.02038530465949817,0.0040322580645161255,0.0005040322580645018,0.0007840501792114596,0.0019601254480287045,0.0,0.14325716845878134,0.20766129032258063,0.00033602150537637154,0.0015120967741935054,0.0,0.005320340501792087,0.010192652329749086,0.03931451612903225,0.004088261648745539,0.0,0.0008400537634408733,0.06278001792114696,0.07918906810035842,0.007840501792114707,0.03349014336917566,0.03696236559139787,0.0007840501792114596,0.03914650537634412,0.005488351254480328,5.600358422941376e-05,0.0,0.0,0.00016801075268813026,0.0010080645161290036,0.001400089605734789,0.00011200716845882752,0.0010640681003584174,0.0,0.004872311827956999,0.011816756272401419,0.0015120967741935054,0.0029121863799282943,0.0005600358422939156,0.0033602150537634934,0.0031362007168458383,0.0210013440860215,0.007504480286738335,0.0,0.015737007168458828,0.0016801075268817467,0.031193996415770586,0.002968189964157708,0.0006160394265233293,0.0,0.0033602150537634934,0.0556675627240143,0.0002800179211469578,0.0,0.0,0.0,0.00033602150537637154,0.034498207885304666,0.015400985663082456,0.00033602150537637154,0.0006720430107527431,0.086861559139785
Decis train Iter 6,0.00044802867383508804,0.00929659498207891,0.0024641577060932063,0.0008400537634408733,0.025481630824372714,0.0,0.0,0.00033602150537637154,0.002296146953405076,0.005824372759856589,0.0003920250896057853,0.04323476702508966,0.012208781362007204,0.036066308243727585,0.008456541218638036,0.0009520609318997009,0.03942652329749108,0.01702508960573479,0.02004928315412191,0.0,0.019321236559139754,0.004984318996415826,0.024977598566308212,5.600358422941376e-05,0.005656362007168458,0.009016577060931952,0.00033602150537637154,0.005152329749103957,0.0,0.0,0.0006160394265233293,0.0,0.015625,0.007784498207885293,0.01215277777777779,0.0020161290322581182,0.0,0.0021841397849462485,0.051691308243727585,0.0029121863799282943,0.23504704301075274,0.011424731182795744,5.600358422941376e-05,0.0,0.0,0.00044802867383508804,0.0,0.0,0.0,0.0,0.0,0.0,0.001400089605734789,0.0,0.0,0.001400089605734789,0.0,0.0002800179211469578,0.0,0.005096326164874543,0.047883064516129004,0.04939516129032262,0.0,0.0,0.0017361111111111605,0.0006160394265233293,0.0022401433691756623,0.0007280465949820458,0.005152329749103957,0.0005600358422939156,0.019769265232974953,0.004424283154121911,0.00044802867383508804,0.0007840501792114596,0.001848118279569877,0.0,0.147513440860215,0.2114135304659498,0.0003920250896057853,0.0015681003584229192,0.0,0.004536290322580627,0.012712813620071706,0.03886648745519716,0.004200268817204256,0.0,0.0007280465949820458,0.06233198924731187,0.07644489247311825,0.006496415770609332,0.03533826164874554,0.03752240143369179,0.0007280465949820458,0.037354390681003546,0.005544354838709631,0.0002800179211469578,0.0,0.0,5.600358422941376e-05,0.0009520609318997009,0.0015120967741935054,0.0,0.0016801075268817467,0.0,0.005712365591397872,0.010640681003584285,0.001400089605734789,0.003192204301075252,0.0010080645161290036,0.0023521505376343788,0.004200268817204256,0.019153225806451624,0.007392473118279619,0.0,0.01797715053763438,0.0015681003584229192,0.030241935483870996,0.002968189964157708,0.0005600358422939156,0.0,0.003864247311827995,0.05141129032258063,0.00033602150537637154,0.0,0.0,0.0,0.0002800179211469578,0.034330197132616536,0.01545698924731187,0.00022401433691754402,0.0010640681003584174,0.08484543010752688
Decis train Iter 7,0.00033602150537637154,0.008400537634408622,0.002744175627240164,0.0010640681003584174,0.028505824372759836,0.0,0.0,0.0006160394265233293,0.0019041218637992907,0.005712365591397872,0.0002800179211469578,0.03931451612903225,0.012040770609318963,0.0366263440860215,0.008232526881720381,0.0006160394265233293,0.03925851254480284,0.018425179211469578,0.01876120071684584,0.0,0.01943324372759858,0.005320340501792087,0.02475358422939067,0.0,0.005600358422939045,0.008064516129032251,0.0005040322580645018,0.005600358422939045,0.0,0.0,0.0006720430107527431,0.0,0.016689068100358417,0.007784498207885293,0.012544802867383464,0.0019041218637992907,0.0,0.0024081541218637925,0.053259408602150504,0.003192204301075252,0.22983870967741937,0.011760752688172005,0.00016801075268813026,0.0,0.0,0.0005600358422939156,0.0,0.0,0.0,0.0,0.0,5.600358422941376e-05,0.0005040322580645018,0.0,0.0,0.0012880824372759614,0.0,0.00033602150537637154,0.0,0.004816308243727585,0.047267025089605785,0.04950716845878134,0.0,0.0,0.0019041218637992907,0.0005600358422939156,0.0020161290322581182,0.0006160394265233293,0.005488351254480328,0.0005600358422939156,0.019657258064516125,0.0049283154121864126,0.0005040322580645018,0.0007840501792114596,0.0020161290322581182,0.0,0.14560931899641583,0.2114695340501792,0.00044802867383508804,0.0010640681003584174,0.0,0.0047043010752688685,0.012432795698924748,0.037634408602150504,0.0040322580645161255,0.0,0.0007840501792114596,0.06171594982078854,0.08030913978494625,0.007784498207885293,0.035898297491039455,0.038138440860215006,0.0009520609318997009,0.03774641577060933,0.004424283154121911,0.00016801075268813026,0.0,0.0,0.00016801075268813026,0.0008960573476702871,0.0015120967741935054,0.00011200716845882752,0.0015120967741935054,0.0,0.005320340501792087,0.009968637992831542,0.0014560931899642027,0.0033602150537634934,0.0007280465949820458,0.002968189964157708,0.003696236559139754,0.020945340501792087,0.006888440860215006,0.0,0.01579301075268813,0.0014560931899642027,0.03158602150537637,0.0038082437275985814,0.0006160394265233293,0.0,0.003192204301075252,0.05460349462365588,0.0002800179211469578,0.0,0.0,0.0,0.0003920250896057853,0.035282258064516125,0.016297043010752743,0.0002800179211469578,0.0006720430107527431,0.0898297491039427
Decis train Iter 8,0.00044802867383508804,0.009184587813620082,0.0019601254480287045,0.0008960573476702871,0.027049731182795744,0.0,0.0,0.00022401433691754402,0.0016801075268817467,0.006496415770609332,0.0003920250896057853,0.04021057347670254,0.012376792114695334,0.038586469534050205,0.008120519713261665,0.0005040322580645018,0.038754480286738335,0.01831317204301075,0.019937275985663083,0.0,0.018257168458781337,0.005152329749103957,0.024585573476702538,0.0,0.005544354838709631,0.008624551971326166,0.00022401433691754402,0.004760304659498171,0.0,5.600358422941376e-05,0.0006160394265233293,0.0,0.016353046594982046,0.006608422939068159,0.011928763440860246,0.0020161290322581182,0.0,0.0026321684587813365,0.05432347670250892,0.004144265232974953,0.23459901433691754,0.011480734767025047,0.00016801075268813026,5.600358422941376e-05,0.0,0.0003920250896057853,0.0,0.0,0.0,0.0,0.0,0.0,0.0010640681003584174,0.0,0.0,0.0012880824372759614,0.0,0.00044802867383508804,0.0,0.004648297491039455,0.04721102150537637,0.04771505376344087,0.0,0.0,0.001848118279569877,0.0005600358422939156,0.001624103942652333,0.0007840501792114596,0.005656362007168458,0.0006720430107527431,0.018873207885304666,0.0047043010752688685,0.0006720430107527431,0.0008960573476702871,0.002072132616487421,0.0,0.1425291218637993,0.20614919354838712,0.0002800179211469578,0.0014560931899642027,0.0,0.005600358422939045,0.011704749103942702,0.03741039426523296,0.003976254480286712,0.0,0.0008960573476702871,0.061939964157706084,0.07997311827956988,0.007784498207885293,0.03427419354838712,0.037466397849462374,0.0010640681003584174,0.038586469534050205,0.005152329749103957,0.00016801075268813026,0.0,0.0,0.0002800179211469578,0.0007280465949820458,0.0012880824372759614,0.00011200716845882752,0.0011200716845878311,0.0,0.005880376344086002,0.010472670250896043,0.0014560931899642027,0.0033042114695340796,0.00044802867383508804,0.0031362007168458383,0.0040322580645161255,0.02021729390681004,0.007112455197132661,0.0,0.017249103942652333,0.0019601254480287045,0.030521953405017954,0.0030801971326165356,0.0006720430107527431,0.0,0.0033602150537634934,0.053763440860215006,0.00044802867383508804,0.0,0.0,0.0,0.0002800179211469578,0.034666218637992796,0.015568996415770586,0.0002800179211469578,0.0008960573476702871,0.08932571684587809
Decis train Iter 9,0.0005040322580645018,0.00884856630824371,0.0028561827956988806,0.0010640681003584174,0.02744175627240142,0.0,0.0,0.0002800179211469578,0.00252016129032262,0.0067764336917562895,0.0005600358422939156,0.03785842293906816,0.011648745519713288,0.03830645161290325,0.008400537634408622,0.0007840501792114596,0.03909050179211471,0.016801075268817245,0.020889336917562784,0.0,0.017585125448028704,0.004984318996415826,0.025145609318996454,5.600358422941376e-05,0.00520833333333337,0.00929659498207891,0.0005600358422939156,0.005824372759856589,0.0,0.0,0.0007280465949820458,0.0,0.01674507168458783,0.006608422939068159,0.012544802867383464,0.002296146953405076,0.0,0.0026321684587813365,0.053875448028673834,0.0026881720430107503,0.23594310035842292,0.010864695340501829,0.00016801075268813026,0.0,0.0,0.0002800179211469578,0.0,0.0,0.0,0.0,0.0,5.600358422941376e-05,0.0010080645161290036,0.0,0.0,0.001624103942652333,0.0,0.0005040322580645018,0.0,0.004648297491039455,0.045866935483870996,0.048387096774193505,0.0,0.0,0.0017361111111111605,0.0005040322580645018,0.001848118279569877,0.0007280465949820458,0.005936379928315416,0.0006720430107527431,0.02032930107526887,0.004536290322580627,0.0006160394265233293,0.0008400537634408733,0.0021281362007168347,0.0,0.14566532258064513,0.2099014336917563,0.00033602150537637154,0.0015120967741935054,0.0,0.004872311827956999,0.011088709677419373,0.03830645161290325,0.004088261648745539,0.0,0.0007840501792114596,0.06171594982078854,0.08053315412186379,0.007840501792114707,0.03500224014336917,0.03892249103942658,0.0011760752688172449,0.038418458781361964,0.004648297491039455,0.00011200716845882752,0.0,0.0,0.00011200716845882752,0.0009520609318997009,0.0014560931899642027,5.600358422941376e-05,0.0010640681003584174,0.0,0.005152329749103957,0.010920698924731242,0.001400089605734789,0.0030801971326165356,0.0008400537634408733,0.00347222222222221,0.0033042114695340796,0.01954525089605741,0.007560483870967749,0.0,0.01579301075268813,0.0015681003584229192,0.03012992831541217,0.003248207885304666,0.0006160394265233293,0.0,0.0033602150537634934,0.05426747311827962,0.0002800179211469578,0.0,0.0,0.0,0.0003920250896057853,0.034498207885304666,0.015288978494623628,0.00033602150537637154,0.0010640681003584174,0.08977374551971329
