,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
MLPCl train Iter 0,0.000324394463667832,0.008974913494809722,0.023680795847750846,-0.00010813148788924032,0.00692041522491349,0.0010813148788927363,0.007569204152249154,0.009839965397923867,0.09418252595155707,0.002595155709342545,0.006379757785467177,0.01048875432525953,0.04638840830449831,0.0210856401384083,0.0011894463667819766,0.02941176470588236,-0.02411332179930792,-0.0071366782006920815,-0.017733564013840852,0.0,-0.0018382352941176405,0.0068122837370242495,0.0021626297577854725,0.0,0.0004325259515570723,0.0007569204152249043,0.000324394463667832,0.0005406574394463126,0.010272491349480939,0.0028114186851211365,0.007785467128027634,0.0,0.0005406574394463126,0.005622837370242162,-0.0016219723183390489,0.0017301038062284002,0.0,0.002703287197231785,0.003027681660899617,-0.0007569204152249043,-0.0010813148788927363,0.0,-0.0008650519031141446,0.000648788927335664,-0.0004325259515570723,0.000648788927335664,0.00021626297577859166,0.0004325259515570723,0.000324394463667832,-0.0008650519031141446,0.0,-0.008326124567474058,0.009083044982698962,0.0,-0.0005406574394464236,-0.000648788927335664,0.0031358131487889684,0.008542387543252539,0.0017301038062284002,0.001297577854671328,0.0,-0.0007569204152249043,0.000324394463667832,0.0,-0.014705882352941235,-0.0015138408304498085,0.03817041522491349,0.0024870242214533045,-0.02584342560553632,0.0009731833910034959,-0.0008650519031141446,0.042495674740484435,0.06574394463667821,0.002270761245674713,-0.0009731833910034959,0.0,0.05503892733564009,-0.014273356401384052,0.0009731833910034959,-0.000324394463667832,0.0,0.020328719723183397,0.000648788927335664,-0.002270761245674713,0.009515570934256035,-0.00010813148788924032,0.0024870242214533045,0.028438581314878864,0.014705882352941124,-0.003676470588235281,0.0005406574394463126,0.0,0.0,0.014057093425605571,0.0038927335640138727,0.0011894463667819766,0.00021626297577859166,0.0,0.008326124567474058,-0.007785467128027634,-0.000324394463667832,0.0,-0.0011894463667819766,-0.0007569204152249043,0.0037846020761245214,0.015895328719723212,0.0031358131487889684,0.009731833910034626,0.002054498269896232,0.011245674740484435,-0.028222318339100383,0.00021626297577859166,0.005730968858131513,0.008542387543252539,0.0,0.008326124567474058,-0.07893598615916952,-0.0029195501730103768,-0.002270761245674713,0.0,-0.060121107266435936,0.011353806228373675,-0.000324394463667832,0.0028114186851211365,0.0,0.0010813148788927363,-0.0015138408304498085,0.003676470588235281,-0.0009731833910034959,0.00010813148788924032,-0.0024870242214533045,0.007893598615916986
MLPCl train Iter 1,-0.000648788927335664,0.008974913494809722,0.025410899653979246,-0.00021626297577859166,0.007677335640138394,0.000648788927335664,0.0068122837370242495,0.008974913494809722,0.09439878892733566,0.0019463667820068808,0.005406574394463681,0.009299307958477554,0.045847750865051884,0.021301903114186893,0.0017301038062284002,0.03481833910034604,-0.023788927335640087,-0.010056228373702458,-0.016868512110726597,0.0,-0.002054498269896232,0.00702854671280273,0.002054498269896232,-0.0016219723183390489,0.00010813148788924032,0.0018382352941176405,0.000648788927335664,0.0009731833910034959,0.010813148788927363,0.0038927335640138727,0.007677335640138394,0.0,0.0,0.005298442906574441,-0.000324394463667832,0.0018382352941176405,0.0,0.0019463667820068808,0.0010813148788927363,-0.0016219723183390489,-0.000648788927335664,0.0,-0.0005406574394464236,0.0008650519031141446,-0.000324394463667832,0.0004325259515570723,0.0005406574394463126,0.0007569204152249043,0.000324394463667832,-0.0016219723183390489,0.0,-0.007677335640138394,0.008217993079584818,0.0,0.00010813148788924032,-0.0011894463667819766,0.004541522491349426,0.009299307958477554,0.0018382352941176405,-0.00021626297577859166,0.000324394463667832,0.0,0.000324394463667832,0.00021626297577859166,-0.013624567474048499,-0.0018382352941176405,0.03611591695501726,0.004000865051903113,-0.025627162629757838,0.0015138408304498085,-0.0005406574394464236,0.044333910034602075,0.060121107266435936,0.0037846020761245214,-0.0007569204152249043,0.0,0.05341695501730104,-0.013516435986159148,0.002378892733564064,-0.000648788927335664,0.0,0.016760380622837356,-0.000648788927335664,0.000648788927335664,0.011245674740484435,0.0,0.001297577854671328,0.02930363321799312,0.014381487889273403,-0.0037846020761245214,-0.0011894463667819766,-0.0004325259515570723,0.0024870242214533045,0.014489619377162644,0.004865916955017258,0.0007569204152249043,0.0018382352941176405,0.0,0.010164359861591699,-0.008326124567474058,-0.0005406574394464236,0.0007569204152249043,-0.0007569204152249043,-0.0004325259515570723,0.002378892733564064,0.016003460207612452,0.0024870242214533045,0.008217993079584818,0.0016219723183390489,0.011461937716263026,-0.030493079584775096,0.000648788927335664,0.004865916955017258,0.009623702422145275,-0.0009731833910034959,0.008542387543252539,-0.07817906574394462,-0.0017301038062284002,-0.0016219723183390489,0.0,-0.06304065743944642,0.010921280276816603,-0.0010813148788927363,0.0021626297577854725,0.0,0.002595155709342545,-0.0016219723183390489,0.003352076124567449,-0.0021626297577854725,-0.00021626297577859166,-0.0035683391003460407,0.008974913494809722
MLPCl train Iter 2,0.0017301038062284002,0.008326124567474058,0.02443771626297575,0.0005406574394463126,0.006704152249134898,0.0016219723183390489,0.0074610726643599135,0.00886678200692037,0.09331747404844293,0.0007569204152249043,0.006271626297577826,0.009623702422145275,0.044117647058823484,0.021842560553633206,0.002703287197231785,0.02973615916955019,-0.024545847750865102,-0.0064878892733564175,-0.015030276816608956,0.0,-0.002703287197231785,0.008001730103806226,0.002054498269896232,-0.0009731833910034959,-0.001297577854671328,0.0017301038062284002,0.000648788927335664,0.00021626297577859166,0.010705017301038011,0.0031358131487889684,0.00692041522491349,0.0,0.00010813148788924032,0.005947231833909994,-0.0011894463667819766,0.002270761245674713,0.0,0.002378892733564064,0.0016219723183390489,-0.0011894463667819766,-0.0010813148788927363,0.0,0.0009731833910034959,0.0011894463667819766,-0.0010813148788927363,0.0,0.0008650519031141446,-0.00021626297577859166,0.00021626297577859166,-0.001297577854671328,0.0,-0.00692041522491349,0.009515570934256035,0.0,-0.0004325259515570723,-0.0011894463667819766,0.005082179930795849,0.01048875432525953,0.0010813148788927363,0.0007569204152249043,0.0004325259515570723,-0.000324394463667832,0.000324394463667832,0.0016219723183390489,-0.014057093425605571,-0.0024870242214533045,0.03600778546712802,0.002270761245674713,-0.026384083044982742,0.002378892733564064,-0.003676470588235281,0.043901384083045,0.06606833910034604,0.002595155709342545,-0.0009731833910034959,0.0,0.056444636678200655,-0.011461937716263026,0.0018382352941176405,-0.0004325259515570723,0.0,0.018057958477508684,0.002595155709342545,-0.001297577854671328,0.011245674740484435,0.0,0.0021626297577854725,0.02789792387543255,0.013516435986159148,-0.003676470588235281,-0.00010813148788924032,-0.0009731833910034959,0.0010813148788927363,0.014705882352941124,0.0058391003460207536,0.0019463667820068808,0.0007569204152249043,0.0,0.01048875432525953,-0.00875865051903113,-0.0011894463667819766,0.0007569204152249043,-0.001297577854671328,0.00021626297577859166,0.002595155709342545,0.013300173010380667,0.0024870242214533045,0.009839965397923867,0.0010813148788927363,0.011137543252595195,-0.026816608996539815,0.0007569204152249043,0.007569204152249154,0.00875865051903113,-0.001297577854671328,0.00702854671280273,-0.07569204152249132,-0.0029195501730103768,-0.000648788927335664,0.0,-0.05839100346020765,0.012002595155709339,0.0007569204152249043,0.0009731833910034959,0.0,0.0017301038062284002,-0.0035683391003460407,0.0021626297577854725,-0.0014057093425605682,-0.00010813148788924032,-0.004108996539792353,0.009191176470588203
MLPCl train Iter 3,0.000324394463667832,0.008001730103806226,0.025194636678200655,0.0,0.008434256055363298,-0.001297577854671328,0.00692041522491349,0.008109861591695466,0.09612889273356406,0.004000865051903113,0.0074610726643599135,0.011461937716263026,0.04465830449826991,0.023140138408304534,0.003027681660899617,0.03146626297577859,-0.023680795847750846,-0.008001730103806226,-0.018274221453287165,0.0,-0.0021626297577854725,0.0061634948096885855,0.0015138408304498085,0.00010813148788924032,0.000648788927335664,0.000324394463667832,0.0015138408304498085,0.0,0.010921280276816603,0.002270761245674713,0.006271626297577826,0.0,0.000324394463667832,0.005082179930795849,-0.0014057093425605682,0.000324394463667832,0.0,0.0028114186851211365,0.001297577854671328,-0.0014057093425605682,0.0,0.0,-0.000324394463667832,0.0011894463667819766,-0.001297577854671328,0.000324394463667832,0.0005406574394463126,-0.00010813148788924032,0.0,-0.001297577854671328,0.0,-0.008974913494809722,0.00692041522491349,0.0,-0.00021626297577859166,-0.000648788927335664,0.004865916955017258,0.008434256055363298,0.0008650519031141446,0.000648788927335664,0.0004325259515570723,-0.00010813148788924032,0.000648788927335664,0.0010813148788927363,-0.011029411764705843,-0.002270761245674713,0.03773788927335642,0.0019463667820068808,-0.023788927335640087,0.001297577854671328,-0.0017301038062284002,0.043901384083045,0.06433823529411764,0.0015138408304498085,-0.0014057093425605682,0.0,0.052984429065743965,-0.011894463667820099,0.0011894463667819766,-0.002054498269896232,0.0,0.016976643598615948,0.0015138408304498085,-0.0004325259515570723,0.01211072664359858,0.00010813148788924032,0.002054498269896232,0.02757352941176472,0.01394896193771622,-0.0035683391003460407,-0.00021626297577859166,0.00021626297577859166,0.001297577854671328,0.013516435986159148,0.004433391003460185,0.002595155709342545,0.0015138408304498085,0.0,0.01048875432525953,-0.005514705882352922,0.0004325259515570723,0.0004325259515570723,0.00010813148788924032,-0.0014057093425605682,0.0028114186851211365,0.014705882352941124,0.0007569204152249043,0.010813148788927363,0.0024870242214533045,0.009623702422145275,-0.028871107266435936,0.000324394463667832,0.004325259515570945,0.008434256055363298,-0.002054498269896232,0.00886678200692037,-0.07493512110726641,-0.002054498269896232,-0.0008650519031141446,0.0,-0.05947231833910038,0.01394896193771622,-0.0009731833910034959,0.0032439446366782088,0.0,0.00021626297577859166,-0.0024870242214533045,0.004649653979238777,-0.004108996539792353,0.0,-0.0035683391003460407,0.00865051903114189
MLPCl train Iter 4,0.00010813148788924032,0.00875865051903113,0.02443771626297575,0.0007569204152249043,0.007569204152249154,0.0004325259515570723,0.010596885813148771,0.00875865051903113,0.09666955017301038,0.004000865051903113,0.007677335640138394,0.010813148788927363,0.044333910034602075,0.02443771626297575,0.002270761245674713,0.03352076124567471,-0.023140138408304534,-0.007244809688581322,-0.016652249134948116,0.0,-0.002270761245674713,0.005947231833909994,0.0010813148788927363,0.000324394463667832,0.00010813148788924032,0.000324394463667832,0.0007569204152249043,0.0005406574394463126,0.012543252595155652,0.0034602076124566894,0.007244809688581322,0.0,-0.0004325259515570723,0.005514705882352922,-0.0009731833910034959,0.0008650519031141446,0.0,0.002703287197231785,0.002054498269896232,-0.001297577854671328,0.0005406574394463126,0.0,0.0015138408304498085,0.000648788927335664,-0.0004325259515570723,0.0004325259515570723,0.0004325259515570723,0.00021626297577859166,0.00021626297577859166,-0.0014057093425605682,0.0,-0.0074610726643599135,0.00865051903114189,0.0,-0.000324394463667832,-0.0008650519031141446,0.00519031141868509,0.008217993079584818,0.002378892733564064,0.001297577854671328,0.00021626297577859166,-0.0008650519031141446,0.000648788927335664,0.0007569204152249043,-0.012435121107266411,-0.0018382352941176405,0.03762975778546718,0.0037846020761245214,-0.024762110726643582,0.0016219723183390489,-0.0015138408304498085,0.04282006920415227,0.06260813148788924,0.0019463667820068808,-0.0011894463667819766,0.0,0.05082179930795849,-0.010921280276816603,0.0024870242214533045,-0.0009731833910034959,0.0,0.018598615916954997,0.0010813148788927363,0.00021626297577859166,0.011678200692041507,0.0,0.0029195501730103768,0.03114186851211076,0.01373269896193774,-0.0028114186851211365,0.001297577854671328,0.0005406574394463126,0.0007569204152249043,0.015138408304498308,0.005082179930795849,0.0021626297577854725,0.0007569204152249043,0.0,0.009948096885813107,-0.0064878892733564175,-0.0005406574394464236,-0.00010813148788924032,-0.000648788927335664,-0.0008650519031141446,0.0038927335640138727,0.015138408304498308,0.002703287197231785,0.011678200692041507,0.002703287197231785,0.01048875432525953,-0.03157439446366783,0.000648788927335664,0.005514705882352922,0.009191176470588203,-0.000648788927335664,0.007677335640138394,-0.07828719723183386,-0.0019463667820068808,-0.0017301038062284002,0.0,-0.06120242214532867,0.011894463667820099,-0.000648788927335664,0.0029195501730103768,0.0,0.0004325259515570723,-0.0017301038062284002,0.0031358131487889684,-0.002703287197231785,-0.00010813148788924032,-0.002703287197231785,0.006704152249134898
MLPCl train Iter 5,-0.0005406574394464236,0.007569204152249154,0.026384083044982742,0.0004325259515570723,0.006704152249134898,0.0007569204152249043,0.009299307958477554,0.008001730103806226,0.09353373702422141,0.0017301038062284002,0.007893598615916986,0.011029411764705843,0.04465830449826991,0.022058823529411797,0.0008650519031141446,0.030817474048442928,-0.02422145328719727,-0.008217993079584818,-0.01557093425605538,0.0,-0.0004325259515570723,0.005947231833909994,0.0011894463667819766,-0.0015138408304498085,0.0010813148788927363,0.0009731833910034959,0.0011894463667819766,0.00010813148788924032,0.01221885813148793,0.002054498269896232,0.00886678200692037,0.0,-0.00021626297577859166,0.006704152249134898,-0.0008650519031141446,0.0011894463667819766,0.0,0.0019463667820068808,0.0011894463667819766,-0.001297577854671328,0.00021626297577859166,0.0,-0.0010813148788927363,0.0009731833910034959,0.0,0.000324394463667832,0.00010813148788924032,-0.00010813148788924032,0.0005406574394463126,-0.0017301038062284002,0.0,-0.007785467128027634,0.010596885813148771,0.0,0.000324394463667832,-0.0004325259515570723,0.002703287197231785,0.008109861591695466,0.0016219723183390489,0.0018382352941176405,0.00010813148788924032,-0.00010813148788924032,0.000324394463667832,0.00021626297577859166,-0.011570069204152267,-0.0024870242214533045,0.04011678200692037,0.0029195501730103768,-0.02627595155709339,0.0034602076124566894,-0.0021626297577854725,0.04206314878892736,0.06304065743944631,0.002378892733564064,-0.0015138408304498085,0.0,0.05255190311418689,-0.011786332179930747,0.004325259515570945,-0.0015138408304498085,0.0,0.01892301038062283,0.0015138408304498085,-0.000648788927335664,0.012002595155709339,0.0,0.0017301038062284002,0.0277897923875432,0.015030276816608956,-0.003676470588235281,-0.00021626297577859166,-0.000324394463667832,0.0004325259515570723,0.01578719723183386,0.004974048442906609,0.0021626297577854725,0.0015138408304498085,0.0,0.011137543252595195,-0.00692041522491349,-0.0010813148788927363,0.0010813148788927363,-0.00010813148788924032,-0.0007569204152249043,0.002595155709342545,0.014705882352941124,0.002270761245674713,0.011353806228373675,0.0019463667820068808,0.01038062283737029,-0.028762975778546696,-0.00021626297577859166,0.0034602076124566894,0.009515570934256035,-0.0007569204152249043,0.010056228373702458,-0.07709775086505188,-0.0037846020761245214,-0.0010813148788927363,0.0,-0.06195934256055369,0.014381487889273403,-0.0004325259515570723,0.004325259515570945,0.0,0.000648788927335664,-0.0024870242214533045,0.0031358131487889684,-0.0034602076124568004,0.0,-0.004757785467128017,0.009299307958477554
MLPCl train Iter 6,-0.00010813148788924032,0.008326124567474058,0.023897058823529438,0.000648788927335664,0.010813148788927363,-0.0005406574394464236,0.00875865051903113,0.008001730103806226,0.09656141868512114,0.0021626297577854725,0.008217993079584818,0.012435121107266411,0.044333910034602075,0.023356401384083014,0.0014057093425605682,0.032223183391003496,-0.027032871972318295,-0.005082179930795849,-0.017733564013840852,0.0,-0.0035683391003460407,0.006704152249134898,0.0018382352941176405,-0.0011894463667819766,0.0004325259515570723,0.0018382352941176405,0.0008650519031141446,0.0007569204152249043,0.011137543252595195,0.0019463667820068808,0.008109861591695466,0.0,-0.0005406574394464236,0.006596020761245658,-0.0011894463667819766,0.0024870242214533045,0.0,0.0019463667820068808,0.0017301038062284002,-0.0004325259515570723,-0.0007569204152249043,0.0,-0.0010813148788927363,0.00010813148788924032,-0.0007569204152249043,0.0,0.0004325259515570723,0.00021626297577859166,0.0004325259515570723,-0.0008650519031141446,0.0,-0.0071366782006920815,0.008974913494809722,0.0,0.0,0.0,0.005947231833909994,0.00875865051903113,0.003027681660899617,0.002054498269896232,0.0004325259515570723,-0.00021626297577859166,0.00021626297577859166,0.000648788927335664,-0.01384083044982698,-0.0037846020761245214,0.03871107266435991,0.004108996539792353,-0.026600346020761223,0.0007569204152249043,-0.0018382352941176405,0.04865916955017302,0.06066176470588236,0.0016219723183390489,-0.0004325259515570723,0.0,0.05547145328719727,-0.008434256055363298,0.0015138408304498085,-0.001297577854671328,0.0,0.017841695501730093,0.0009731833910034959,0.00021626297577859166,0.01394896193771622,0.00010813148788924032,0.0037846020761245214,0.02757352941176472,0.015895328719723212,-0.0035683391003460407,-0.00021626297577859166,-0.0014057093425605682,0.00021626297577859166,0.014381487889273403,0.005947231833909994,0.0005406574394463126,0.0011894463667819766,0.0,0.011029411764705843,-0.0064878892733564175,0.000324394463667832,0.00010813148788924032,0.0,0.000324394463667832,0.0024870242214533045,0.012759515570934243,0.0018382352941176405,0.009299307958477554,0.002054498269896232,0.010164359861591699,-0.030493079584775096,-0.0005406574394464236,0.004757785467128017,0.008974913494809722,-0.0009731833910034959,0.008217993079584818,-0.07861159169550169,-0.0029195501730103768,-0.0015138408304498085,0.0,-0.06304065743944642,0.011786332179930747,0.0009731833910034959,0.004000865051903113,0.0,0.0011894463667819766,-0.0009731833910034959,0.0029195501730103768,-0.0034602076124568004,0.0,-0.001297577854671328,0.00875865051903113
MLPCl train Iter 7,-0.0014057093425605682,0.006596020761245658,0.02422145328719727,0.0005406574394463126,0.009191176470588203,0.0007569204152249043,0.00702854671280273,0.008434256055363298,0.09385813148788924,0.002378892733564064,0.006271626297577826,0.00875865051903113,0.044333910034602075,0.023464532871972366,0.003027681660899617,0.03146626297577859,-0.02422145328719727,-0.00702854671280273,-0.018166089965397925,0.0,-0.00010813148788924032,0.007352941176470562,0.0014057093425605682,0.0,0.0009731833910034959,0.001297577854671328,0.000648788927335664,-0.000324394463667832,0.012543252595155652,0.0017301038062284002,0.008326124567474058,0.0,-0.00021626297577859166,0.005298442906574441,-0.0010813148788927363,0.002270761245674713,0.0,0.0028114186851211365,0.00021626297577859166,-0.000648788927335664,-0.0011894463667819766,0.0,-0.0009731833910034959,0.0009731833910034959,-0.0005406574394464236,0.0004325259515570723,0.0009731833910034959,0.00010813148788924032,0.000648788927335664,-0.0009731833910034959,0.0,-0.006271626297577826,0.006379757785467177,0.0,0.00010813148788924032,-0.0004325259515570723,0.005730968858131513,0.00875865051903113,0.0021626297577854725,0.0007569204152249043,0.00021626297577859166,-0.00021626297577859166,0.0005406574394463126,0.0004325259515570723,-0.015246539792387548,-0.0031358131487889684,0.03871107266435991,0.002270761245674713,-0.02573529411764708,0.002595155709342545,-0.000648788927335664,0.04649653979238755,0.06282439446366783,0.0016219723183390489,-0.0004325259515570723,0.0,0.054390138408304534,-0.013192041522491316,0.0010813148788927363,-0.0014057093425605682,0.0,0.01903114186851207,0.0038927335640138727,-0.00021626297577859166,0.011137543252595195,0.00010813148788924032,0.002595155709342545,0.027032871972318295,0.012651384083045003,-0.0032439446366782088,0.000324394463667832,-0.0014057093425605682,0.00010813148788924032,0.015030276816608956,0.005406574394463681,0.0024870242214533045,0.001297577854671328,0.0,0.01048875432525953,-0.008109861591695466,-0.001297577854671328,0.0008650519031141446,-0.001297577854671328,-0.000324394463667832,0.004217128027681705,0.016003460207612452,0.0010813148788927363,0.010921280276816603,0.0028114186851211365,0.011137543252595195,-0.028762975778546696,0.001297577854671328,0.007352941176470562,0.007785467128027634,-0.0005406574394464236,0.008974913494809722,-0.07580017301038067,-0.0032439446366782088,-0.0015138408304498085,0.0,-0.054822664359861606,0.012543252595155652,-0.0007569204152249043,0.002595155709342545,0.0,0.0008650519031141446,-0.002054498269896232,0.0038927335640138727,-0.0019463667820068808,0.00010813148788924032,0.00021626297577859166,0.007569204152249154
MLPCl train Iter 8,0.000648788927335664,0.008326124567474058,0.02238321799307963,0.00021626297577859166,0.0074610726643599135,0.0008650519031141446,0.00886678200692037,0.01048875432525953,0.0929930795847751,0.000648788927335664,0.0074610726643599135,0.009623702422145275,0.044225778546712835,0.02270761245674735,0.002378892733564064,0.03125,-0.021626297577854725,-0.005514705882352922,-0.016327854671280284,0.0,-0.0019463667820068808,0.008109861591695466,0.0007569204152249043,-0.0015138408304498085,0.0004325259515570723,0.0009731833910034959,0.0010813148788927363,-0.000324394463667832,0.012651384083045003,0.0010813148788927363,0.00875865051903113,0.0,-0.00021626297577859166,0.005947231833909994,0.000324394463667832,0.0009731833910034959,0.0,0.0018382352941176405,0.0005406574394463126,0.0,0.0,0.0,-0.000648788927335664,0.0007569204152249043,0.00021626297577859166,0.000648788927335664,-0.0008650519031141446,-0.00021626297577859166,0.000324394463667832,-0.0004325259515570723,0.0,-0.010164359861591699,0.008974913494809722,0.0,-0.000324394463667832,-0.0014057093425605682,0.004108996539792353,0.009191176470588203,0.0005406574394463126,0.000648788927335664,0.0010813148788927363,-0.000324394463667832,-0.00021626297577859166,0.000324394463667832,-0.014705882352941235,-0.0015138408304498085,0.03817041522491349,0.0038927335640138727,-0.024545847750865102,0.0017301038062284002,-0.0024870242214533045,0.04400951557093424,0.06282439446366783,0.0031358131487889684,-0.0010813148788927363,0.0,0.05352508650519028,-0.010921280276816603,0.0014057093425605682,0.0,0.0,0.0176254325259515,0.000648788927335664,-0.002595155709342545,0.011570069204152267,0.00010813148788924032,0.0017301038062284002,0.02768166089965396,0.015030276816608956,-0.0035683391003460407,-0.00010813148788924032,-0.0009731833910034959,0.0010813148788927363,0.014165224913494812,0.004217128027681705,0.0032439446366782088,-0.0005406574394464236,0.0,0.012759515570934243,-0.007893598615916986,-0.0009731833910034959,-0.0004325259515570723,0.000324394463667832,-0.0015138408304498085,0.004000865051903113,0.01384083044982698,0.0024870242214533045,0.010813148788927363,0.0028114186851211365,0.01048875432525953,-0.026924740484429055,-0.0008650519031141446,0.005298442906574441,0.009299307958477554,-0.0015138408304498085,0.009515570934256035,-0.07861159169550169,-0.0021626297577854725,-0.0019463667820068808,0.0,-0.05903979238754331,0.013300173010380667,-0.0005406574394464236,0.002595155709342545,0.0,-0.0010813148788927363,-0.0024870242214533045,0.0035683391003460407,-0.0031358131487889684,-0.00021626297577859166,-0.0004325259515570723,0.008326124567474058
MLPCl train Iter 9,0.0010813148788927363,0.007893598615916986,0.025302768166090006,0.000324394463667832,0.008109861591695466,0.0004325259515570723,0.007569204152249154,0.008434256055363298,0.09504757785467133,0.0017301038062284002,0.0074610726643599135,0.012651384083045003,0.04303633217993075,0.02086937716262971,0.003676470588235281,0.03265570934256057,-0.02054498269896199,-0.008001730103806226,-0.016003460207612452,0.0,-0.0015138408304498085,0.006379757785467177,0.0016219723183390489,-0.000324394463667832,0.000324394463667832,0.0014057093425605682,0.00021626297577859166,-0.000648788927335664,0.012759515570934243,0.0034602076124566894,0.00692041522491349,0.0,-0.0009731833910034959,0.005947231833909994,0.0,0.0017301038062284002,0.0,0.002054498269896232,0.0009731833910034959,-0.0014057093425605682,0.0004325259515570723,0.0,-0.001297577854671328,0.0009731833910034959,-0.0009731833910034959,0.0005406574394463126,0.0011894463667819766,0.000324394463667832,0.000324394463667832,-0.0009731833910034959,0.0,-0.010596885813148771,0.006271626297577826,0.0,-0.00010813148788924032,-0.0009731833910034959,0.004757785467128017,0.009083044982698962,0.0015138408304498085,0.0018382352941176405,0.000648788927335664,-0.0005406574394464236,0.00021626297577859166,0.0007569204152249043,-0.012759515570934243,-0.0019463667820068808,0.03665657439446368,0.0034602076124566894,-0.025194636678200655,0.004217128027681705,-0.0011894463667819766,0.040549307958477554,0.061959342560553576,0.002378892733564064,-0.0009731833910034959,0.0,0.0533088235294118,-0.00886678200692037,0.002703287197231785,0.0007569204152249043,0.0,0.02097750865051906,0.0014057093425605682,0.0010813148788927363,0.011570069204152267,0.0,0.002270761245674713,0.02746539792387548,0.01394896193771622,-0.0031358131487889684,-0.000648788927335664,-0.0014057093425605682,0.0017301038062284002,0.014922145328719716,0.005514705882352922,0.0024870242214533045,0.0011894463667819766,0.0,0.011137543252595195,-0.006379757785467177,-0.0019463667820068808,0.00010813148788924032,-0.0011894463667819766,0.0004325259515570723,0.005298442906574441,0.014705882352941124,0.0015138408304498085,0.010705017301038011,0.000324394463667832,0.011029411764705843,-0.028762975778546696,0.00010813148788924032,0.0061634948096885855,0.00875865051903113,-0.000648788927335664,0.009083044982698962,-0.07590830449826991,-0.0014057093425605682,-0.001297577854671328,0.0,-0.054498269896193774,0.016327854671280284,0.0004325259515570723,0.002378892733564064,0.0,0.00021626297577859166,-0.005298442906574441,0.0015138408304498085,-0.0021626297577854725,-0.00010813148788924032,-0.0035683391003460407,0.009623702422145275
