,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Rando train Iter 0,0.0,0.00044189129474159206,0.0003314184710561108,0.0,0.00022094564737074052,0.00011047282368537026,0.00044189129474159206,0.00011047282368537026,0.00022094564737074052,-0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.0018780380026514054,0.002209456473707516,0.0,0.0,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.0,0.00044189129474159206,0.00044189129474159206,-0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.00044189129474159206,0.0,-0.00011047282368537026,0.0003314184710561108,0.00011047282368537026,0.00022094564737074052,0.0,0.0003314184710561108,-0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.00022094564737074052,0.0003314184710561108,-0.0003314184710561108,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.0,0.00011047282368537026,0.0,0.0,0.0,0.0,0.00022094564737074052,0.00044189129474159206,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.0,0.0008837825894830731,0.00044189129474159206,0.00022094564737074052,0.0003314184710561108,0.0006628369421123326,0.0009942554131684433,0.0005523641184269623,0.0,0.00011047282368537026,0.0,0.0003314184710561108,0.0012152010605391839,-0.00011047282368537026,0.0,0.0,0.0003314184710561108,0.0005523641184269623,0.0008837825894830731,0.0005523641184269623,0.00022094564737074052,0.0,0.0007733097657977028,0.00022094564737074052,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.0006628369421123326,0.0,0.0,0.0,-0.00011047282368537026,0.0005523641184269623,0.0,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.0008837825894830731,0.0003314184710561108,0.0003314184710561108,0.0,0.0,0.00011047282368537026,0.0008837825894830731,0.00011047282368537026,0.00022094564737074052,0.0,0.0006628369421123326,0.0005523641184269623,0.0,0.0,0.0,0.00011047282368537026,0.00022094564737074052,0.0007733097657977028,0.0003314184710561108,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108
Rando train Iter 1,0.0,0.0005523641184269623,0.0003314184710561108,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00044189129474159206,0.00022094564737074052,0.0015466195315952946,0.0014361467079099244,0.0,0.00011047282368537026,0.00022094564737074052,0.0003314184710561108,0.00011047282368537026,0.0,0.00011047282368537026,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.00044189129474159206,0.00011047282368537026,0.00011047282368537026,0.0,0.0005523641184269623,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00044189129474159206,-0.0003314184710561108,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.0003314184710561108,0.00044189129474159206,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0007733097657977028,0.0003314184710561108,0.0003314184710561108,-0.00011047282368537026,0.0005523641184269623,0.0008837825894830731,0.0006628369421123326,0.0,0.0003314184710561108,0.0,0.00022094564737074052,0.0008837825894830731,-0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00022094564737074052,0.0009942554131684433,0.0006628369421123326,0.0003314184710561108,0.0,0.0003314184710561108,0.0,0.00011047282368537026,0.0,0.0003314184710561108,0.00011047282368537026,0.0003314184710561108,0.00044189129474159206,0.0,0.0,0.0,0.0,0.00022094564737074052,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.0003314184710561108,0.0,0.0,0.0003314184710561108,0.0005523641184269623,0.0003314184710561108,0.0003314184710561108,0.0,0.00022094564737074052,0.0003314184710561108,0.0007733097657977028,0.0,0.00022094564737074052,0.0,0.0005523641184269623,0.0008837825894830731,0.0,0.0,0.0,0.00011047282368537026,0.0,0.0006628369421123326,0.00022094564737074052,0.00022094564737074052,0.0,0.00022094564737074052
Rando train Iter 2,0.0,0.0007733097657977028,0.00022094564737074052,0.0,0.00022094564737074052,0.00011047282368537026,0.0005523641184269623,0.00011047282368537026,0.00022094564737074052,0.0,0.0005523641184269623,0.00022094564737074052,0.001657092355280665,0.0014361467079099244,0.0,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.0,0.0,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.00022094564737074052,-0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.0,-0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,-0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00044189129474159206,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.00022094564737074052,0.0,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0007733097657977028,0.0006628369421123326,0.00022094564737074052,0.00022094564737074052,0.0005523641184269623,0.0011047282368538136,0.0007733097657977028,0.0,0.0003314184710561108,0.0,0.00022094564737074052,0.0012152010605391839,0.00022094564737074052,0.00022094564737074052,0.0,0.0003314184710561108,0.0003314184710561108,0.0008837825894830731,0.0005523641184269623,0.00022094564737074052,0.0,0.00044189129474159206,0.0003314184710561108,0.0003314184710561108,0.0,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.0006628369421123326,0.0,0.0,0.0,0.00011047282368537026,0.0006628369421123326,0.0,0.0,0.0,0.0,0.00022094564737074052,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.0007733097657977028,0.00044189129474159206,0.00022094564737074052,-0.00011047282368537026,0.00044189129474159206,0.00022094564737074052,0.0007733097657977028,0.00022094564737074052,0.00022094564737074052,0.0,0.0006628369421123326,0.0007733097657977028,0.0,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0007733097657977028,0.00044189129474159206,0.0003314184710561108,0.0,0.00022094564737074052
Rando train Iter 3,0.0,0.00044189129474159206,0.00011047282368537026,0.0,0.0003314184710561108,0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.00044189129474159206,0.00022094564737074052,0.0017675651789660352,0.0026513477684489972,0.0,0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.0003314184710561108,0.0,0.00022094564737074052,0.0003314184710561108,0.0,0.0,0.0003314184710561108,0.0003314184710561108,0.00022094564737074052,0.0,0.0003314184710561108,0.00011047282368537026,0.0003314184710561108,0.0,0.0009942554131684433,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00022094564737074052,-0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,-0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00044189129474159206,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.00044189129474159206,0.0,0.0,0.0003314184710561108,0.00011047282368537026,0.0008837825894830731,0.0009942554131684433,0.0003314184710561108,0.0003314184710561108,0.0006628369421123326,0.0008837825894830731,0.0005523641184269623,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0012152010605391839,0.0,0.0,0.0,0.00022094564737074052,0.00022094564737074052,0.0007733097657977028,0.0005523641184269623,0.0,0.0,0.0008837825894830731,0.00022094564737074052,0.00022094564737074052,0.0,0.0,0.0,0.0003314184710561108,0.0006628369421123326,0.00011047282368537026,0.0,0.0,0.0,0.0009942554131684433,0.0,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.0006628369421123326,0.00022094564737074052,0.0003314184710561108,0.0,0.0005523641184269623,0.00011047282368537026,0.0009942554131684433,0.0,0.0003314184710561108,0.0,0.0005523641184269623,0.0009942554131684433,0.0,0.0,0.0,0.00011047282368537026,0.0003314184710561108,0.0007733097657977028,0.00022094564737074052,0.00022094564737074052,0.0,0.00022094564737074052
Rando train Iter 4,0.0,0.0006628369421123326,0.00022094564737074052,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00044189129474159206,0.0003314184710561108,0.002098983650022146,0.002098983650022146,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.0,0.00022094564737074052,0.00022094564737074052,0.0,0.0,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.00022094564737074052,0.0,0.0005523641184269623,0.00011047282368537026,0.00022094564737074052,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,-0.0003314184710561108,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.0,0.00022094564737074052,0.00044189129474159206,0.00022094564737074052,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00022094564737074052,0.0003314184710561108,0.00011047282368537026,0.0008837825894830731,0.0003314184710561108,0.00022094564737074052,0.0,0.0003314184710561108,0.0007733097657977028,0.0006628369421123326,0.0,0.0003314184710561108,0.0,0.00022094564737074052,0.0015466195315952946,0.00011047282368537026,0.0,0.0,0.0003314184710561108,0.0003314184710561108,0.0009942554131684433,0.0005523641184269623,0.00044189129474159206,-0.00011047282368537026,0.0005523641184269623,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.00011047282368537026,0.0003314184710561108,0.0005523641184269623,0.00011047282368537026,0.0,0.0,0.0,0.00044189129474159206,0.0,0.00022094564737074052,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.0,0.0006628369421123326,0.00011047282368537026,0.00011047282368537026,0.0,0.00044189129474159206,0.00011047282368537026,0.0008837825894830731,0.00011047282368537026,0.00022094564737074052,0.0,0.0006628369421123326,0.0007733097657977028,0.0,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0005523641184269623,0.00044189129474159206,0.0003314184710561108,0.0,0.0003314184710561108
Rando train Iter 5,0.0,0.0007733097657977028,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.0003314184710561108,0.0015466195315952946,0.0015466195315952946,0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.0003314184710561108,0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.00011047282368537026,0.00022094564737074052,0.0,0.0006628369421123326,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,-0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,-0.00011047282368537026,0.0,0.0,0.0003314184710561108,0.0003314184710561108,0.0,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.0,0.00022094564737074052,0.0,0.0008837825894830731,0.00044189129474159206,0.00022094564737074052,0.00011047282368537026,0.0007733097657977028,0.0007733097657977028,0.0006628369421123326,0.0,0.00011047282368537026,0.0,0.0003314184710561108,0.0013256738842245541,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00022094564737074052,0.0009942554131684433,0.0007733097657977028,0.00044189129474159206,0.00011047282368537026,0.0007733097657977028,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.00022094564737074052,0.0003314184710561108,0.0003314184710561108,0.00011047282368537026,0.0,0.0,0.0,0.0008837825894830731,0.0,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.0006628369421123326,0.0003314184710561108,0.00011047282368537026,0.00011047282368537026,0.0003314184710561108,0.0,0.0009942554131684433,0.00011047282368537026,0.00022094564737074052,0.0,0.0006628369421123326,0.0005523641184269623,0.0,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0006628369421123326,0.0003314184710561108,0.0003314184710561108,0.00011047282368537026,0.00022094564737074052
Rando train Iter 6,0.0,0.0003314184710561108,0.0003314184710561108,0.0,0.0003314184710561108,0.00011047282368537026,0.0005523641184269623,0.0,0.00022094564737074052,0.0,0.0005523641184269623,0.00011047282368537026,0.002540874944763627,0.002098983650022146,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.0,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.0006628369421123326,-0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.00022094564737074052,-0.00022094564737074052,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.0,0.0,0.0,0.0,0.00022094564737074052,0.00044189129474159206,0.00011047282368537026,0.0,0.0003314184710561108,0.0,0.00044189129474159206,0.0,0.00011047282368537026,0.0003314184710561108,0.00011047282368537026,0.0007733097657977028,0.0003314184710561108,0.00044189129474159206,0.00022094564737074052,0.0005523641184269623,0.0008837825894830731,0.0005523641184269623,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0015466195315952946,0.0,0.0,0.0,0.00044189129474159206,0.00022094564737074052,0.0009942554131684433,0.0005523641184269623,0.00011047282368537026,0.0,0.00011047282368537026,0.0003314184710561108,0.00011047282368537026,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.0006628369421123326,0.00011047282368537026,0.0,0.0,0.0,0.0005523641184269623,0.00022094564737074052,0.0,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0005523641184269623,0.00011047282368537026,0.00022094564737074052,0.0,0.00022094564737074052,0.00022094564737074052,0.0009942554131684433,0.0,0.00022094564737074052,0.0,0.0006628369421123326,0.0008837825894830731,0.0,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.0008837825894830731,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.00022094564737074052
Rando train Iter 7,0.0,0.0006628369421123326,0.0003314184710561108,0.0,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.00044189129474159206,0.0003314184710561108,0.0014361467079099244,0.002098983650022146,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.0005523641184269623,0.00011047282368537026,0.0,0.00011047282368537026,0.0003314184710561108,0.0005523641184269623,0.00022094564737074052,-0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.00044189129474159206,0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.0,0.00022094564737074052,-0.00022094564737074052,0.00011047282368537026,0.0,0.0003314184710561108,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.0,0.0003314184710561108,0.00011047282368537026,0.0009942554131684433,0.0006628369421123326,0.00022094564737074052,0.0003314184710561108,0.0007733097657977028,0.0008837825894830731,0.0005523641184269623,0.0,0.00011047282368537026,0.0,0.00022094564737074052,0.0015466195315952946,0.0,0.0,0.0,0.00022094564737074052,0.0,0.0008837825894830731,0.0006628369421123326,0.00044189129474159206,0.00011047282368537026,0.0005523641184269623,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.00011047282368537026,0.0003314184710561108,0.00044189129474159206,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0006628369421123326,0.0,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.0003314184710561108,0.0005523641184269623,0.00022094564737074052,0.00022094564737074052,0.00011047282368537026,0.00044189129474159206,0.00011047282368537026,0.0009942554131684433,0.0,0.00022094564737074052,0.0,0.0005523641184269623,0.0009942554131684433,0.0,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0006628369421123326,0.0003314184710561108,0.0003314184710561108,0.0,0.0003314184710561108
Rando train Iter 8,0.0,0.0005523641184269623,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00044189129474159206,0.00022094564737074052,0.00022094564737074052,0.00022094564737074052,0.0005523641184269623,0.0003314184710561108,0.0019885108263367757,0.0017675651789660352,0.00011047282368537026,0.0,0.00022094564737074052,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.0003314184710561108,0.00011047282368537026,0.0,0.0003314184710561108,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.00022094564737074052,0.00022094564737074052,0.0,0.0005523641184269623,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.0,0.00022094564737074052,-0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,-0.00011047282368537026,0.0,0.0,0.0003314184710561108,0.00044189129474159206,0.00011047282368537026,0.0,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0007733097657977028,0.0008837825894830731,0.00044189129474159206,0.00022094564737074052,0.0005523641184269623,0.0007733097657977028,0.0007733097657977028,0.00011047282368537026,0.00011047282368537026,0.0,0.0003314184710561108,0.001657092355280665,0.00011047282368537026,0.00011047282368537026,0.0,0.0003314184710561108,0.0,0.0008837825894830731,0.00044189129474159206,0.00044189129474159206,0.00011047282368537026,0.0005523641184269623,0.00044189129474159206,0.0003314184710561108,0.00011047282368537026,0.00022094564737074052,0.00022094564737074052,0.0003314184710561108,0.0003314184710561108,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0006628369421123326,0.0,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.0006628369421123326,0.00011047282368537026,0.00022094564737074052,0.0,0.00044189129474159206,0.00022094564737074052,0.0008837825894830731,0.00011047282368537026,0.0003314184710561108,0.0,0.0005523641184269623,0.0009942554131684433,0.0,0.0,0.0,0.0,0.0003314184710561108,0.0008837825894830731,0.00044189129474159206,0.0003314184710561108,0.0,0.0
Rando train Iter 9,0.0,0.00044189129474159206,0.00022094564737074052,0.0,0.0003314184710561108,0.00011047282368537026,0.00044189129474159206,0.00011047282368537026,0.00022094564737074052,0.00011047282368537026,0.0005523641184269623,0.0003314184710561108,0.0018780380026514054,0.0018780380026514054,0.0,0.00022094564737074052,0.00011047282368537026,0.0003314184710561108,0.00022094564737074052,0.0,0.00044189129474159206,0.00011047282368537026,0.0,0.00011047282368537026,0.00044189129474159206,0.0003314184710561108,0.00011047282368537026,0.00011047282368537026,0.0006628369421123326,0.0003314184710561108,0.0003314184710561108,0.0,0.00022094564737074052,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00011047282368537026,-0.0003314184710561108,0.0,0.0,0.00011047282368537026,0.0,0.00011047282368537026,0.0,0.00011047282368537026,0.00011047282368537026,0.0,0.0,0.00011047282368537026,0.0,0.0,0.0,0.00011047282368537026,0.00044189129474159206,0.00022094564737074052,0.0,0.0003314184710561108,0.0,0.00044189129474159206,0.0,0.0,0.0003314184710561108,0.00011047282368537026,0.0009942554131684433,0.0006628369421123326,0.00022094564737074052,0.0003314184710561108,0.0003314184710561108,0.0007733097657977028,0.0006628369421123326,0.00011047282368537026,0.0003314184710561108,0.0,0.0003314184710561108,0.0013256738842245541,-0.00011047282368537026,0.0,0.0,0.00022094564737074052,0.00022094564737074052,0.0008837825894830731,0.0007733097657977028,0.00044189129474159206,-0.00011047282368537026,0.0006628369421123326,0.00044189129474159206,0.00022094564737074052,0.0,0.00022094564737074052,0.0003314184710561108,0.00022094564737074052,0.0006628369421123326,0.0,0.0,0.0,0.0,0.00044189129474159206,0.00011047282368537026,0.00011047282368537026,0.00011047282368537026,0.0,0.00022094564737074052,0.00011047282368537026,0.00022094564737074052,0.0,0.0,0.00022094564737074052,0.0005523641184269623,0.0003314184710561108,0.0,0.0,0.00044189129474159206,0.00011047282368537026,0.0007733097657977028,0.0,0.00022094564737074052,0.0,0.0006628369421123326,0.0009942554131684433,0.0,0.0,0.0,0.00011047282368537026,0.0,0.0009942554131684433,0.00022094564737074052,0.0003314184710561108,0.0,0.0003314184710561108
