,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando eval Iter 0,8.910610978296596e-06,0.0007841337660919878,0.0005324090059544151,4.6780707636084884e-05,0.0002561800656265545,9.57890680168827e-05,-0.0001002443735060865,7.35125405710857e-05,6.6829582337391e-05,-7.128488782659481e-05,0.0002405864964145632,0.0009422971109570577,-0.00010915498448449412,-3.787009665789931e-05,-0.00018712283054478362,0.0007083935727763002,0.0004923112565520249,0.000400977494024235,0.0001358868174192729,0.0,0.0001292038591855782,-0.0001247485536964854,0.0011650623854150277,1.7821221956593192e-05,0.0007551742804123851,0.00127198971715492,-6.905723508199291e-05,0.0006482469486726039,0.0009779395548703551,-2.8959485679602714e-05,-2.2276527446019045e-06,0.0,0.0008086379462823867,-2.8959485679602714e-05,-1.11382637228985e-05,-1.11382637228985e-05,-2.4504180190398905e-05,-5.56913186144925e-05,-1.559356921210231e-05,0.0008442803901955731,0.0012363472732416225,-0.0001893504832892745,8.910610978296596e-06,-4.0097749402501215e-05,9.57890680168827e-05,4.900836038068679e-05,-8.910610978407618e-06,0.00011583794271807779,6.23742768481872e-05,-4.455305489203809e-06,0.0001292038591855782,-8.910610978407618e-06,2.6731832934889788e-05,0.0,2.6731832934889788e-05,0.0001603909976096718,-2.004887470130612e-05,1.7821221956593192e-05,4.455305489092787e-06,-2.2276527446019045e-06,9.356141527228079e-05,0.0,8.242315154938229e-05,-1.3365916467500405e-05,1.3365916467389383e-05,5.56913186144925e-05
Rando eval Iter 1,4.455305489092787e-06,0.0007930443770702844,0.0005480025751665174,7.79678460602895e-05,0.000245041801903656,6.905723508188188e-05,-5.1236013125399715e-05,7.57401933156876e-05,6.23742768481872e-05,-2.004887470130612e-05,0.0002316758854362666,0.0008665569176413701,-0.00010915498448449412,-1.11382637228985e-05,-0.00019380578877847832,0.0007774508078581821,0.0004834006455737283,0.0004433028961713381,0.0001180655954626797,0.0,9.80167207614846e-05,-0.000155935692120579,0.0011427858579692307,-4.0097749402501215e-05,0.0008398250847064803,0.0012519408424536138,-8.019549880489141e-05,0.0007017106145424945,0.0009467524164462615,-1.7821221956704214e-05,1.3365916467389383e-05,0.0,0.0007908167243256825,-2.8959485679602714e-05,-4.455305489203809e-06,-6.682958233805714e-06,-2.004887470130612e-05,-4.900836038079781e-05,-3.34147911686955e-05,0.000824231515494378,0.001247485536964521,-0.000200488747012173,8.910610978296596e-06,-1.559356921210231e-05,5.34636658698906e-05,1.7821221956593192e-05,2.2276527444908822e-06,0.0001069273317397812,9.133376252767889e-05,1.11382637228985e-05,0.0001358868174192729,-1.11382637228985e-05,4.009774940239019e-05,0.0,2.2276527444908822e-06,0.00011361028997347589,-2.4504180190398905e-05,4.455305489092787e-06,-2.2276527446019045e-06,4.455305489092787e-06,0.00010247202625057739,-2.2276527446019045e-06,8.242315154938229e-05,-2.2276527446019045e-06,1.5593569211991287e-05,6.014662410358529e-05
Rando eval Iter 2,0.0,0.000824231515494378,0.0005145877839978219,5.7918971358983384e-05,0.0001982610942675711,0.00010247202625057739,-0.00010469967899529031,6.905723508188188e-05,5.7918971358983384e-05,-5.1236013125399715e-05,0.0002316758854362666,0.0008843781395980743,-9.801672076159562e-05,0.0,-0.00018266752505557982,0.0007507189749232923,0.0004277093269592358,0.0004522135071496347,0.0001314315119301801,0.0,0.0001314315119301801,-9.356141527239181e-05,0.001160607079925935,-1.3365916467500405e-05,0.0007997273353039791,0.0012318919677524187,-8.019549880489141e-05,0.0006215151157376031,0.001002443735060754,-1.7821221956704214e-05,-2.2276527446019045e-06,0.0,0.0007774508078581821,-3.787009665789931e-05,-6.682958233805714e-06,-4.455305489203809e-06,-2.2276527445797e-05,-5.346366587000162e-05,2.2276527444908822e-06,0.0008197762100052852,0.0012987215500898097,-0.0001893504832892745,8.910610978296596e-06,-2.2276527445797e-05,6.46019295927891e-05,2.6731832934889788e-05,2.2276527444908822e-06,0.00011583794271807779,6.23742768481872e-05,2.0048874701195096e-05,0.0001737569140771722,-2.2276527446019045e-06,3.5642443913186383e-05,0.0,4.4553054891594e-05,0.0001314315119301801,-1.11382637228985e-05,6.682958233694691e-06,-8.910610978407618e-06,-2.2276527445797e-05,6.905723508188188e-05,-4.455305489203809e-06,6.014662410358529e-05,-4.455305489203809e-06,2.2276527444908822e-06,7.79678460602895e-05
Rando eval Iter 3,1.5593569211991287e-05,0.0008710122231305739,0.0005524578806557212,4.900836038068679e-05,0.0002049440525012658,8.242315154938229e-05,-9.578906801699372e-05,7.128488782648379e-05,9.133376252767889e-05,4.455305489092787e-06,0.0002294482326916647,0.0009111099725329641,-9.801672076159562e-05,-2.673183293500081e-05,-0.00016484630309898662,0.0007106212255207911,0.000467807076361626,0.0004032051467688369,0.0001292038591855782,0.0,7.128488782648379e-05,-0.00013811447016398581,0.0011717453436488334,1.7821221956593192e-05,0.0008041826407931829,0.001249713189709123,-8.9106109783188e-05,0.000646019295928002,0.0009111099725329641,-2.004887470130612e-05,2.2276527445797e-05,0.0,0.0007663125441352836,-3.34147911686955e-05,-2.004887470130612e-05,-1.559356921210231e-05,-1.7821221956704214e-05,-2.004887470130612e-05,-2.8959485679602714e-05,0.0007707678496244874,0.001247485536964521,-0.0002138546634796734,8.910610978296596e-06,-1.3365916467500405e-05,7.79678460602895e-05,6.014662410358529e-05,1.7821221956593192e-05,9.80167207614846e-05,7.79678460602895e-05,3.787009665778829e-05,0.0001470250811421714,-2.2276527446019045e-06,4.23254021469921e-05,0.0,2.4504180190287883e-05,0.0001247485536963744,-6.682958233805714e-06,0.0,-2.2276527446019045e-06,-1.11382637228985e-05,7.35125405710857e-05,2.2276527444908822e-06,6.6829582337391e-05,1.3365916467389383e-05,1.7821221956593192e-05,6.23742768481872e-05
Rando eval Iter 4,-1.11382637228985e-05,0.0008710122231305739,0.0005168154367424238,5.34636658698906e-05,0.0002472694546482579,7.57401933156876e-05,-6.460192959290012e-05,3.787009665778829e-05,9.57890680168827e-05,-1.7821221956704214e-05,0.0002361311909253594,0.0009222482362558626,-0.00010915498448449412,-3.118713842420462e-05,-0.00017598456682188512,0.0006616128651401043,0.0004655794236171351,0.0004098881050026426,0.0001225209009518835,0.0,0.0001091549844843831,-0.00012029324820739262,0.001093777497588544,1.5593569211991287e-05,0.0007774508078581821,0.0012296643150079278,-9.801672076159562e-05,0.0006616128651401043,0.000913337625277566,-6.682958233805714e-06,1.5593569211991287e-05,0.0,0.0008064102935377848,-4.232540214710312e-05,-8.910610978407618e-06,-1.3365916467500405e-05,-1.559356921210231e-05,-5.56913186144925e-05,-2.673183293500081e-05,0.0007997273353039791,0.0012831279808778184,-0.0002316758854362666,8.910610978296596e-06,-2.4504180190398905e-05,7.35125405710857e-05,1.11382637228985e-05,1.3365916467389383e-05,8.019549880478039e-05,8.46508042939842e-05,3.34147911686955e-05,0.00011361028997347589,-6.682958233805714e-06,3.787009665778829e-05,0.0,1.11382637228985e-05,0.0001537080393759771,-3.5642443913297406e-05,2.2276527444908822e-06,-2.2276527446019045e-06,-1.11382637228985e-05,9.356141527228079e-05,-1.559356921210231e-05,8.019549880478039e-05,-2.2276527446019045e-06,1.7821221956593192e-05,8.242315154938229e-05
Rando eval Iter 5,3.11871384240936e-05,0.000824231515494378,0.0005613684916340178,3.5642443913186383e-05,0.0001938057887783673,8.68784570385861e-05,-0.0001247485536964854,4.900836038068679e-05,8.019549880478039e-05,2.2276527444908822e-06,0.0002316758854362666,0.0008888334450871671,-0.00011583794271818881,-2.2276527446019045e-06,-0.00016261865035438472,0.0007039382672870964,0.0003853839248122437,0.0004544411598942366,0.0001180655954626797,0.0,0.0001447974283976805,-0.00012920385918568922,0.0011494688162030364,8.910610978296596e-06,0.0007930443770702844,0.0012563961479428176,-9.801672076159562e-05,0.000646019295928002,0.0009668012911474566,-3.34147911686955e-05,2.2276527444908822e-06,0.0,0.0008509633484293788,-6.014662410369631e-05,-1.3365916467500405e-05,-1.559356921210231e-05,-2.004887470130612e-05,-8.687845703869712e-05,-1.7821221956704214e-05,0.0008487356956847769,0.0012809003281332165,-0.0002205376217133681,4.455305489092787e-06,-4.455305489203809e-06,8.019549880478039e-05,5.56913186144925e-05,4.455305489092787e-06,0.00010247202625057739,3.5642443913186383e-05,0.0,0.0001425697756530786,-1.11382637228985e-05,5.34636658698906e-05,0.0,4.455305489092787e-06,0.0001292038591855782,-2.4504180190398905e-05,2.2276527444908822e-06,0.0,1.3365916467389383e-05,7.57401933156876e-05,-2.2276527446019045e-06,7.79678460602895e-05,6.682958233694691e-06,1.11382637228985e-05,8.242315154938229e-05
Rando eval Iter 6,3.11871384240936e-05,0.0008665569176413701,0.0005413196169328227,6.014662410358529e-05,0.0002740012875832587,7.79678460602895e-05,-4.0097749402501215e-05,1.5593569211991287e-05,5.56913186144925e-05,-5.346366587000162e-05,0.0002249929272024609,0.000935614152723363,-0.00011361028997358691,-4.455305489203809e-06,-0.00018712283054478362,0.0006972553090534017,0.0004277093269592358,0.0004098881050026426,0.00010247202625057739,0.0,0.0001982610942675711,-0.0001470250811422824,0.001158379427181333,1.11382637228985e-05,0.0007885890715810806,0.0012341196204970206,-8.9106109783188e-05,0.000668295823373799,0.0009111099725329641,-1.3365916467500405e-05,2.2276527445797e-05,0.0,0.0008375974319618784,-5.791897135909441e-05,-2.2276527446019045e-06,-8.910610978407618e-06,-1.7821221956704214e-05,-3.118713842420462e-05,-2.2276527445797e-05,0.0008487356956847769,0.0012586238006874195,-0.00019603344152308022,2.4504180190287883e-05,-4.455305489203809e-06,6.46019295927891e-05,2.0048874701195096e-05,-4.455305489203809e-06,0.0001202932482072816,8.242315154938229e-05,1.5593569211991287e-05,0.0001358868174192729,-1.3365916467500405e-05,4.009774940239019e-05,0.0,-2.2276527446019045e-06,0.0001447974283976805,-3.787009665789931e-05,1.3365916467389383e-05,-4.455305489203809e-06,8.910610978296596e-06,0.0001069273317397812,0.0,7.128488782648379e-05,-1.11382637228985e-05,-2.2276527446019045e-06,0.0001069273317397812
Rando eval Iter 7,2.2276527444908822e-06,0.0007173041837545968,0.0004989942147858306,5.123601312528869e-05,0.0002049440525012658,9.133376252767889e-05,-5.791897135909441e-05,8.68784570385861e-05,5.123601312528869e-05,-8.465080429409522e-05,0.0002695459820940549,0.0009467524164462615,-0.000111382637228985,-2.004887470130612e-05,-0.00018712283054478362,0.0006616128651401043,0.0004655794236171351,0.0004054327995134388,9.80167207614846e-05,0.0,0.0001403421229084767,-0.00010469967899529031,0.0011182816777789428,-1.3365916467500405e-05,0.0007997273353039791,0.0012185260512850293,-9.578906801699372e-05,0.000690572350819596,0.0009489800691908634,-1.7821221956704214e-05,1.3365916467389383e-05,0.0,0.0008220038627497761,-4.6780707636195906e-05,-1.11382637228985e-05,-8.910610978407618e-06,-2.2276527445797e-05,-3.5642443913297406e-05,-2.2276527445797e-05,0.0007707678496244874,0.0013209980775356067,-0.00019380578877847832,1.7821221956593192e-05,-2.673183293500081e-05,5.34636658698906e-05,3.5642443913186383e-05,-2.2276527446019045e-06,0.0001492527338867733,7.35125405710857e-05,3.34147911686955e-05,9.57890680168827e-05,2.2276527444908822e-06,4.009774940239019e-05,0.0,-2.2276527445797e-05,0.00011361028997347589,-1.7821221956704214e-05,1.5593569211991287e-05,-4.455305489203809e-06,-1.11382637228985e-05,8.019549880478039e-05,-2.2276527446019045e-06,6.6829582337391e-05,2.2276527444908822e-06,2.2276527444908822e-06,6.23742768481872e-05
Rando eval Iter 8,8.910610978296596e-06,0.0007440360166894866,0.0005012218675303215,4.6780707636084884e-05,0.0001938057887783673,7.79678460602895e-05,-9.133376252778991e-05,7.35125405710857e-05,3.34147911686955e-05,-6.460192959290012e-05,0.0002784565930723515,0.0008843781395980743,-0.0001002443735060865,-1.7821221956704214e-05,-0.00018712283054478362,0.0007462636694340885,0.0003742456610893452,0.0003942945357905403,0.00010247202625057739,0.0,0.0001069273317397812,-0.00017152926133268132,0.001158379427181333,-4.455305489203809e-06,0.000824231515494378,0.0012563961479428176,-6.905723508199291e-05,0.0006549299069062986,0.00095789068016916,-1.559356921210231e-05,1.5593569211991287e-05,0.0,0.0008130932517714795,-2.8959485679602714e-05,-1.559356921210231e-05,-2.004887470130612e-05,-1.3365916467500405e-05,-6.460192959290012e-05,-2.4504180190398905e-05,0.0007930443770702844,0.001316542772046514,-0.00019603344152308022,2.4504180190287883e-05,-4.455305489203809e-06,5.34636658698906e-05,5.123601312528869e-05,-2.2276527446019045e-06,8.9106109783188e-05,7.35125405710857e-05,1.11382637228985e-05,0.0001202932482072816,-6.682958233805714e-06,4.23254021469921e-05,0.0,-1.11382637228985e-05,0.0001381144701638748,-2.004887470130612e-05,1.5593569211991287e-05,-2.2276527446019045e-06,2.2276527444908822e-06,0.0001002443735060865,2.2276527444908822e-06,6.46019295927891e-05,4.455305489092787e-06,0.0,9.133376252767889e-05
Rando eval Iter 9,6.682958233694691e-06,0.0008264591682389799,0.0005480025751665174,5.34636658698906e-05,0.0002249929272024609,9.356141527228079e-05,-0.00010692733173989222,8.019549880478039e-05,4.23254021469921e-05,-3.34147911686955e-05,0.0002695459820940549,0.0009690289438920585,-5.56913186144925e-05,2.4504180190287883e-05,-0.00017598456682188512,0.0007507189749232923,0.0004277093269592358,0.0003764733138339471,0.0001247485536963744,0.0,0.00011361028997347589,-0.000155935692120579,0.0011093710668005352,-1.3365916467500405e-05,0.0008108655990268776,0.0012318919677524187,-7.128488782659481e-05,0.0006616128651401043,0.0009623459856583638,-2.8959485679602714e-05,0.0,0.0,0.000824231515494378,-3.787009665789931e-05,-6.682958233805714e-06,-8.910610978407618e-06,-2.2276527445797e-05,-7.128488782659481e-05,-6.237427684829822e-05,0.0008175485572606833,0.0012385749259862244,-0.0001581633448651809,4.455305489092787e-06,-1.3365916467500405e-05,7.128488782648379e-05,3.5642443913186383e-05,-6.682958233805714e-06,0.0001002443735060865,4.4553054891594e-05,1.3365916467389383e-05,0.0001381144701638748,-1.559356921210231e-05,2.6731832934889788e-05,0.0,-1.559356921210231e-05,0.0001247485536963744,-2.673183293500081e-05,6.682958233694691e-06,0.0,1.3365916467389383e-05,7.57401933156876e-05,-2.2276527446019045e-06,8.019549880478039e-05,-2.2276527446019045e-06,-2.2276527446019045e-06,9.356141527228079e-05
