,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl eval Iter 0,0.01014918590430447,0.004361744073886786,-0.007714361454479013,0.0027778829724907084,-0.004098881050026426,-0.04302488510880975,-0.02568929145049159,0.0054933916681332295,-0.008776951813643463,0.003742456610893674,-0.002515019948630348,-0.010024437350608095,0.0068322109676255405,-0.15101926251328246,0.010086811627456227,-0.018391501059248916,-0.012933751835028984,0.0003541967863881501,0.000891061097831769,0.0,0.003406081046462117,-0.12331171767620175,-0.0703069482716756,0.0017308861825382493,-0.08940461525095622,-0.05610788967772551,0.005197113853104063,0.07524788205915306,0.0777695849660171,0.0006861170453305032,-0.0059857029246853655,0.0,-0.039580933965689735,0.004185759507065012,0.07093960165113616,0.026023439362178435,0.003185543424748749,0.00448426497483867,0.0008309144737281837,-0.07636839138967666,-0.09281292395016294,0.025553404633072152,-0.0019714726789529236,0.006248565948545615,-0.006025800674087756,0.0011093710668006462,0.0016395524200105704,-0.00229448232691698,0.0006215151157377141,-0.14332049462801544,0.017709839319407505,0.001893504832892634,-0.0001893504832892745,0.0,-0.0045355009879640695,-0.14832380269234113,0.02286462777036463,0.02554003871660465,-0.0012831279808778184,0.0004187987159809392,-0.00353974021113701,0.014087675956721113,-0.004415207739756677,-3.5642443913297406e-05,-0.0008420527374510822,0.005843133149032176
MLPCl eval Iter 1,0.010363040567784088,0.004722623818508631,-0.007476002610809052,0.002940501622844982,-0.004308280408016896,-0.04275088382122649,-0.025878641933780866,0.0054711151406874325,-0.008817049563045964,0.003495187156245305,-0.0025127922958857463,-0.009975428990227297,0.007021561450914704,-0.15095020527820047,0.009962063073759797,-0.01881921038620815,-0.01288919878013739,4.6780707636195906e-05,0.0010180373042728563,0.0,0.0033258855476572258,-0.12400897298525515,-0.07075247882059155,0.0019090984021046253,-0.08931996444666224,-0.05639971218726547,0.00531072414307765,0.07418529169998861,0.07792106535264853,0.0008197762100052852,-0.0057607099974827936,0.0,-0.040761589920316865,0.0037068141669803767,0.07134057914516051,0.026117000777450772,0.0032612836180644367,0.004069921564346823,0.0010380861789740514,-0.07717925698870365,-0.09272159018763526,0.025818495309677114,-0.0019336025822951353,0.006192874629931122,-0.005794124788651489,0.0009846225131041608,0.0016885607803912572,-0.002388043742189372,0.0005970109355473152,-0.1429284277449694,0.01825784189457408,0.0016907884331358591,-0.0002428141491591651,0.0,-0.004386248254077185,-0.14797628886418668,0.022800025840771787,0.02552221749464806,-0.0013009492028345226,0.0004143434104917354,-0.0037513672218719707,0.013749072739545065,-0.004375109990354287,-0.0001225209009518835,-0.0009200205835113717,0.00558695308340551
MLPCl eval Iter 2,0.009984339601205594,0.004566688126388052,-0.007484913221787348,0.002717736348387012,-0.004056555647879434,-0.0433278458820725,-0.026005618140221842,0.00536418780894754,-0.0085876013303543,0.003428357573907914,-0.002515019948630348,-0.01003112030884179,0.00695027656308822,-0.15059378083906771,0.010427642497376932,-0.018520704918434494,-0.01291593061307239,-0.00014034212290858772,0.0009868501658487627,0.0,0.0034461787958645074,-0.12338300256402834,-0.07000398749841286,0.0017019266968587576,-0.08931328148842843,-0.05623709353691109,0.004934250829243703,0.0742966743372176,0.07718816759968189,0.0007885890715811916,-0.005731750511803191,0.0,-0.03931138798359557,0.003860522206356354,0.07111335856521339,0.026615994992236602,0.003365983297059727,0.004283776227826497,0.0009200205835113717,-0.07642853801378025,-0.09261911816138457,0.02620833453997856,-0.001987066248165026,0.006025800674087645,-0.005930011606070873,0.0009668012911474566,0.0016128205870755696,-0.0023323524235748794,0.000846508042940175,-0.14392418852179645,0.018170963437535492,0.0018444964725118362,-6.237427684829822e-05,0.0,-0.0046468836251929435,-0.14818346056943266,0.02349282584433604,0.025519989841903457,-0.0013209980775357177,0.0005903279773135095,-0.003613252751708096,0.01404535055457412,-0.004359516421142184,0.0001202932482072816,-0.0008665569176414811,0.005787441830417683
MLPCl eval Iter 3,0.010173690084494869,0.004658021888915842,-0.007295562738498074,0.0027578340977895133,-0.004192442465298818,-0.04259272047636131,-0.025446477301332426,0.005312951795822252,-0.00848290165135901,0.0032479177015969363,-0.0027065980846642246,-0.010082356321967079,0.0069658701323003225,-0.1513979634798609,0.010106860502157478,-0.018583079195282792,-0.013136468234785759,4.6780707636195906e-05,0.000891061097831769,0.0,0.0032880154509994375,-0.12381071189098758,-0.06997948331822246,0.0018645453472130313,-0.08936228984880923,-0.0569076170130296,0.005125828965277579,0.07453726083363216,0.07804135860085581,0.00073512540571119,-0.005642644402020114,0.0,-0.039122037500306295,0.003653350501110486,0.07115568396736038,0.026299668302506296,0.003210047604939148,0.004384020601332583,0.0008353697792172765,-0.07645304219397064,-0.09289311944896783,0.025965520390819397,-0.0019090984021047364,0.0060948579091696375,-0.005970109355473263,0.0009044270142992694,0.0017108373078370542,-0.0021251807183289007,0.0007863614188365897,-0.14328039687861305,0.018489517780010345,0.001918009013082922,-0.0003452861754098535,0.0,-0.004219174298233708,-0.14767555574366853,0.022913636130745374,0.025450932606821464,-0.0014390636729983974,0.0004923112565520249,-0.0037157247779587843,0.01406985473476452,-0.00431496336625059,0.0002160823162241643,-0.00104922444269695,0.0060302559795768484
MLPCl eval Iter 4,0.010091266932945375,0.004731534429486928,-0.0075227833184452475,0.0029716887612690757,-0.004294914491549395,-0.043198642022886924,-0.026290757691528,0.005520123501068119,-0.008776951813643463,0.0035263742946693988,-0.0026464514605605283,-0.009852908089275414,0.006952504215832822,-0.15088783100135217,0.010138047640581571,-0.01859644511175018,-0.012947117751496484,-0.0002138546634796734,0.001004671387805356,0.0,0.003323657894912735,-0.12285950416905211,-0.07052080293515528,0.001762073320962454,-0.08895908470204028,-0.05579379064073975,0.005150333145467978,0.0742610318933043,0.07785646342305574,0.0006994829617980036,-0.0056493273602538085,0.0,-0.03915322463873039,0.003717952430703275,0.07146532769885694,0.026232838720168905,0.0033526173805922266,0.004386248254077185,0.0010759562756319507,-0.07708346792068665,-0.09299781912796312,0.025606868298942043,-0.001826675250555243,0.006379997460475795,-0.005796352441396091,0.0010826392338656454,0.001425697756530897,-0.0021251807183289007,0.0006527022541618077,-0.1435789023463867,0.0188125274279744,0.001958106762485423,-0.0003207819952194546,0.0,-0.004673615458127944,-0.14758422198114074,0.023196548029306985,0.025312818136657533,-0.0011271922887572394,0.0005368643114436189,-0.0035664720440719,0.014138911969846457,-0.004265955005869904,-0.00024058649641467422,-0.000801954988048692,0.005609229610851307
MLPCl eval Iter 5,0.010026665003352586,0.004597875264812146,-0.007542832193146443,0.002650906766049621,-0.004049872689645628,-0.042728607293780696,-0.02619719627625572,0.005328545365034243,-0.0085363653172289,0.003544195516626103,-0.0025551176980327384,-0.009935331240824907,0.006941365952109924,-0.15121975126029452,0.010171462431750267,-0.018667729999576776,-0.012849101030735,0.0001225209009518835,0.0009623459856583638,0.0,0.0033704386025488198,-0.12319810738622827,-0.07098415470602781,0.0016551459892225617,-0.08933555801587423,-0.05586062022307714,0.005027812244516094,0.07414742160333077,0.07718593994693729,0.0009913054713378555,-0.00575625469199359,0.0,-0.03995072432128988,0.003651122848365884,0.07150988075374853,0.026335310746419593,0.003272421881787335,0.004330556935462693,0.0009979884295716612,-0.07649536759611764,-0.09336760948356326,0.025406379551929925,-0.0019982045118879244,0.005803035399629786,-0.005787441830417683,0.0011338752469909341,0.0015638122266947718,-0.0021719614259650966,0.0006059215465256118,-0.14398433514590014,0.017901417455441326,0.0018199922923214373,-0.00013811447016398581,0.0,-0.004294914491549395,-0.1478292637830445,0.02372895703526151,0.025450932606821464,-0.001227436662263326,0.0005368643114436189,-0.00360656979347429,0.014205741552183848,-0.00440629712877838,0.0001358868174192729,-0.000935614152723474,0.0058297672325646754
MLPCl eval Iter 6,0.0103006662909359,0.004784998095356929,-0.007654214830375428,0.0029093144844208885,-0.004277093269592802,-0.04258826517087211,-0.025932105599650757,0.005410968516583736,-0.008774724160898972,0.0034194469629296176,-0.0027311022648546235,-0.009908599407889906,0.006502518361427678,-0.15050690238202913,0.01020264957017436,-0.01866995765232138,-0.012971621931686883,0.0002272205799470628,0.0009333864999787611,0.0,0.003205592299449944,-0.12359240192201881,-0.07032254184088771,0.0017576180154732501,-0.08985014579987216,-0.055905173277968734,0.005206024464082359,0.07460854572145875,0.07729063962593252,0.0008821504868534724,-0.005927783953326271,0.0,-0.03958538927117883,0.003651122848365884,0.07134057914516051,0.025956609779841044,0.0032902431037440394,0.004473126711115771,0.0007083935727763002,-0.0767604582727226,-0.09257233745374838,0.025883097239269903,-0.001987066248165026,0.006188419324442029,-0.0060748090344685535,0.0010447691372077461,0.001561584573950281,-0.0021095871491169094,0.0009267035417450664,-0.14307990813160087,0.018567485626070634,0.0016217311980538662,-0.0002249929272025719,0.0,-0.004259272047636209,-0.14754189657899375,0.02370890816056026,0.025308362831168385,-0.0012118430930513346,0.0005413196169328227,-0.003611025098963494,0.014016391068894574,-0.004241450825679505,5.791897135909441e-05,-0.0007707678496245984,0.005722839900824894
MLPCl eval Iter 7,0.010102405196668274,0.004658021888915842,-0.007529466276678942,0.0028358019438498028,-0.004040962078667332,-0.042688509544378195,-0.02614818791587492,0.005375326072670439,-0.008638837343479588,0.003726863041681572,-0.0024125479223796598,-0.01030734924916965,0.0066740476227603596,-0.15120193003833793,0.010469967899523924,-0.018195467617725947,-0.013272355052205032,0.0001915781360337654,0.0010180373042728563,0.0,0.003341479116869328,-0.12345874275734403,-0.06977008396023199,0.001606137628841875,-0.0887831001352185,-0.055526472311390185,0.004943161440221999,0.07416969813077656,0.07814828593259565,0.0008754675286197777,-0.005856499065499676,0.0,-0.03862749859100967,0.0034372681848862108,0.07127597721556772,0.026261798205848452,0.003183315772004147,0.004466443752881966,0.0009267035417450664,-0.0768361984660384,-0.09295772137856062,0.025658104312067387,-0.0018467241252564381,0.006157232186017936,-0.005994613535663662,0.0011182816777789428,0.0015549016157164752,-0.002227652744579589,0.0007173041837545968,-0.1436524148869578,0.018358086268080165,0.001782122195663649,-0.000245041801903767,0.0,-0.004355061115653092,-0.1471787891816272,0.023053978253653906,0.025615778909920395,-0.0012408025787308263,0.000423254021470143,-0.003784782013040666,0.013878276598730643,-0.004078832175325231,-4.455305489203809e-06,-0.0008821504868535834,0.005653782665742901
MLPCl eval Iter 8,0.010394227706208237,0.004740445040465335,-0.007469319652575357,0.002833574291105201,-0.004263727353125302,-0.043437000866556996,-0.025722706241660287,0.005477798098921127,-0.008580918372120494,0.0037335459999152665,-0.002653134418794334,-0.009944241851803204,0.0066985518029507585,-0.15055813839515442,0.010501155037948018,-0.018222199450660836,-0.013096370485383257,-0.0001537080393759771,0.0010113543460390506,0.0,0.003455089406842915,-0.12352111703419222,-0.0696497907120247,0.0019313749295504223,-0.08911502039416086,-0.056136849163405,0.005301813532099353,0.07472215601143228,0.07788987821422444,0.0007484913221786904,-0.005845360801776778,0.0,-0.03967672303370662,0.0037535948746165726,0.07203783445421391,0.025987796918265138,0.0032679665762982424,0.004265955005869793,0.0011182816777789428,-0.07630156180733927,-0.09255451623179178,0.025693746755980684,-0.002051668177757815,0.006146093922295037,-0.0059834752719407636,0.0011049157613114424,0.0015905440596297726,-0.002187554995177199,0.000690572350819596,-0.14402443289530253,0.018346948004357266,0.0016974713913695538,-0.00021830996896887722,0.0,-0.004250361436657801,-0.14831489208136284,0.023042839989931008,0.02542642842663112,-0.0011984771765838342,0.0005591408388894159,-0.0035130083782020094,0.014145594928080207,-0.004125612882961427,9.356141527228079e-05,-0.0009311588472342702,0.005658237971232105
MLPCl eval Iter 9,0.010160324168027368,0.004867421246906312,-0.007549515151380137,0.0027578340977895133,-0.004123385230216825,-0.0419979371935586,-0.025918739683183256,0.005569131861448917,-0.008946253422231543,0.003501870114479,-0.0025684836145002388,-0.010091266932945486,0.006836666273114633,-0.1513110850228223,0.010224926097620157,-0.018404866975716416,-0.012837962767012101,0.000155935692120579,0.0008888334450871671,0.0,0.003410536351951321,-0.12317360320603787,-0.07062773026689506,0.001918009013082922,-0.08920189885119956,-0.05626828067533518,0.005134739576255876,0.07465532642909489,0.07758246213547243,0.0008264591682389799,-0.005705018678868301,0.0,-0.0397881056709356,0.003584293266028493,0.07112226917619169,0.025880869586525357,0.0033125196311898364,0.004221401950978199,0.0010514520954415518,-0.07735969686101452,-0.09307133166853421,0.0255689982022842,-0.0019714726789529236,0.005981247619196051,-0.006036938937810654,0.0011049157613114424,0.0016462353782442651,-0.0022187421336012925,0.0006883446980751051,-0.14311555057551406,0.01800611713443656,0.001940285540528719,-0.00013811447016398581,0.0,-0.00445753314190378,-0.1478493126577457,0.022820074715473038,0.025248216207064744,-0.0009846225131041608,0.0005480025751665174,-0.0036622611120887827,0.013896097820687292,-0.004230312561956606,8.46508042939842e-05,-0.0008309144737281837,0.0058052630523742765
