,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Decis eval Iter 0,-2.726519216500467e-05,0.0,0.0,-2.1812153731981532e-05,0.0,-0.0008397679186842311,-4.3624307464074086e-05,0.0,-0.0003871657287439767,-0.00286829821576573,0.0,-0.021926667539152733,8.179557649523606e-05,3.817126903116197e-05,1.0906076866046277e-05,0.0013414474545216937,-0.004793220782620011,-0.016768093181520727,-0.0009760938795095875,0.0,0.0004689613052393238,0.00023993369105268503,-0.0029773589844260817,0.0004416961130742081,-3.271823059802781e-05,0.0007852375343542217,0.0,-0.004231557824019516,0.0029337346769620076,-5.453038432912116e-06,0.0,0.0,-0.0009815469179426106,-0.0024974916023207117,0.0,0.0,0.0,-0.0019630938358853323,0.0011724032630981984,0.001712254067966712,-0.0030591545609213178,0.0015595689918422861,0.0,-0.0003380883828468795,-7.634253806221292e-05,-0.00024538672948559714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.0028955634079308457,-0.0013469004929546058,0.0,0.0,0.0,0.0,-5.453038432912116e-06,-3.271823059802781e-05,0.0008015966496532911,-0.00030537015224874065,-0.0032772760982419102,-2.1812153731981532e-05,-4.3624307464074086e-05,-0.003751690441914146,-1.0906076865935255e-05,0.0,0.0017995026828949712,-0.0008833922261483051,0.0,0.0,0.00020721546045465722,0.0,0.0,0.0,-0.0005071325742703747,7.634253806221292e-05,0.0017722374907298555,0.00019630938358861094,-0.0016577236836364806,-0.005605723509139238,-0.0006925358809928284,0.0017995026828949712,-0.00011451380709326386,0.001788596606028925,-0.0015650220302751983,0.0003817126903110646,5.4530384330231385e-06,0.0,0.007759673690180269,-0.0013469004929546058,0.004466038476639289,-3.817126903105095e-05,0.0,0.0002671988832178007,0.0,0.0,0.011211447018278642,0.0005398508048685136,0.005125856127033979,0.0,0.00019630938358861094,-0.010153557562273652,-0.013098198316101706,-0.0037680495572132156,-0.005671159970335404,0.0,-0.009886358679055962,-0.005622082624438307,-0.00010360773022721759,0.0,0.0,0.00015268507612442583,0.009101121144701851,-2.1812153731981532e-05,0.00011451380709337489,0.0,0.0,-0.0010197181869737726,0.01828403786589894,5.4530384330231385e-05,0.0,-1.0906076865935255e-05,0.0050822318195699046
Decis eval Iter 1,-0.00014177899925837956,0.0,0.0,-1.6359115298958393e-05,0.0,-0.0009706408410765643,-2.1812153731981532e-05,-5.453038432912116e-06,-0.00010906076866024073,-0.003260916982942841,0.0,-0.021675827771234113,0.00014177899925849058,3.817126903116197e-05,1.0906076866046277e-05,0.0014396021463159991,-0.0050004362430745575,-0.016997120795707366,-0.0008942983030143514,0.0,0.0004580552283732775,0.0004253369977752497,-0.0026938009859093226,0.0006707237272608468,-7.088949962918978e-05,0.0007797844959211986,0.0,-0.004340618592679757,0.002148497142607897,0.0,0.0,0.0,-0.0011287789556340133,-0.0023666186799283784,0.0,0.0,0.0,-0.0016140993761724065,0.0013359944160886705,0.002066701566112661,-0.0029391877153949197,0.0018376739519260221,0.0,-0.0002072154604545462,-8.724861492814817e-05,-0.0003162762291147869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025738341403829246,-0.0012869170701914623,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-6.543646119616664e-05,0.0008125027265192264,-0.0002999171138157175,-0.0037298782881821646,-2.1812153731981532e-05,-7.634253806221292e-05,-0.0034953976355625027,-1.0906076865935255e-05,0.0,0.0015486629149762399,-0.0010524364175718004,0.0,0.0,0.0002235745757536156,0.0,0.0,0.0,-0.0003544474981459489,-7.088949962918978e-05,0.001635911529904499,0.00017995026828954153,-0.00167408279893555,-0.005463944509880858,-0.0006979889194258515,0.0018431269903590453,-0.000239933691052574,0.0018649391440911378,-0.001635911529904388,0.000398071805610134,5.4530384330231385e-06,0.0,0.008250447149151574,-0.0013250883392225132,0.0038062208262444885,-5.453038433012036e-05,0.0,0.00028355799851687014,0.0,0.0,0.011265977402608762,0.0003380883828469905,0.0050822318195699046,0.0,-4.9077345897097224e-05,-0.00997360729398411,-0.013578065698206965,-0.0041224970553591644,-0.005845657200191923,0.0,-0.00986454652532387,-0.005551193124809117,-6.543646119616664e-05,0.0,0.0,0.00017995026828954153,0.00886664049208219,-0.00033263534441385634,9.815469179430547e-05,0.0,0.0,-0.001079701609736916,0.0168826069886141,5.9983422763254524e-05,0.0,-2.726519216500467e-05,0.004994983204641645
Decis eval Iter 2,-9.270165336117131e-05,0.0,0.0,-3.271823059802781e-05,0.0,-0.001036077302272731,-3.817126903105095e-05,-5.453038432912116e-06,-0.00019085634515547678,-0.003429961174366336,0.0,-0.022030275269380062,0.0001635911529904721,3.271823059813883e-05,1.0906076866046277e-05,0.001390524800418791,-0.005316712472189455,-0.01734611525542029,-0.0008015966496531801,0.0,0.0012487458011604113,0.00035990053657908305,-0.003342712559438077,0.00067617676569387,-4.9077345897097224e-05,0.0009760938795096985,0.0,-0.004618723552763604,0.0017449722985648508,-2.1812153731981532e-05,0.0,0.0,-0.0010851546481699392,-0.002273917026567207,0.0,0.0,0.0,-0.001755878375430786,0.0010251712254067957,0.001592287222440425,-0.0030537015224882946,0.0017776905291628786,0.0,-0.0002235745757535046,-9.815469179419445e-05,-0.000278104960083736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028846573310647994,-0.0014886794922129853,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-7.634253806221292e-05,0.0007743314574881754,-0.00032172926754781006,-0.0036917070191510026,-1.6359115298958393e-05,-4.9077345897097224e-05,-0.00366989486541891,-1.6359115298958393e-05,0.0,0.0017995026828949712,-0.0009651878026435412,0.0,0.0,0.0001308729223924443,0.0,0.0,0.0,-0.00033263534441385634,8.179557649523606e-05,0.0015050386075121658,0.00015813811455744897,-0.001592287222440314,-0.0062382759673689225,-0.0006707237272607358,0.001554115953409263,-0.00017449722985640737,0.001875845220957184,-0.0015813811455742677,0.000398071805610134,0.0,0.0,0.007770579767046204,-0.0013796187235527446,0.004209745670287535,-7.088949962918978e-05,0.0,0.0002944640753828054,0.0,0.0,0.010916982942895836,0.0005671159970336292,0.0055566461632422515,0.0,5.4530384330231385e-05,-0.010229900100335865,-0.013736203812764414,-0.0040025302098328774,-0.00569842516250052,0.0,-0.009346507874187449,-0.005207651703529104,-3.817126903105095e-05,0.0,0.0,0.00020176242202163408,0.009046590760371731,-0.00014177899925837956,9.815469179430547e-05,0.0,0.0,-0.0010415303407057541,0.01636456833747768,5.9983422763254524e-05,0.0,-5.453038432912116e-06,0.0047605025520219835
Decis eval Iter 3,-6.543646119616664e-05,0.0,0.0,-2.726519216500467e-05,0.0,-0.0010197181869737726,-2.1812153731981532e-05,0.0,-0.00042533699777513867,-0.0026447236400121144,0.0,-0.021550407887274692,0.00010360773022732861,3.817126903116197e-05,1.0906076866046277e-05,0.0013469004929547168,-0.00516402739606503,-0.017329756140121222,-0.0009324695720455134,0.0,0.0005834751123325876,0.00023993369105268503,-0.0031354970989835307,0.0004144309209092034,-1.0906076865935255e-05,0.0008615800724164346,0.0,-0.004226104785586493,0.0026174584478472207,-5.453038432912116e-06,0.0,0.0,-0.0010088121101077263,-0.002306635257165235,0.0,0.0,0.0,-0.0019194695284211472,0.0010088121101078373,0.0018540330672250915,-0.003157309252715512,0.00202853029708161,0.0,-0.0005016795358373516,-8.724861492814817e-05,-0.00023448065261955087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.002835579985167702,-0.0013305413776555364,0.0,0.0,0.0,0.0,1.0906076866046277e-05,-5.453038433012036e-05,0.0007688784190551523,-0.00030537015224874065,-0.0035717401736247156,-2.726519216500467e-05,-9.270165336117131e-05,-0.0036099114426557666,-5.453038432912116e-06,0.0,0.001832220913492999,-0.0009597347642105181,0.0,0.0,0.00017995026828954153,0.0,0.0,0.0,-0.0002835579985167591,8.72486149282592e-05,0.0016468176067705453,0.00015813811455744897,-0.0015595689918421751,-0.006494568773720677,-0.0006925358809928284,0.0016849888758015963,-0.00013632596082535642,0.0017395192601318277,-0.0016686297605025269,0.00043079003620827283,5.4530384330231385e-06,0.0,0.007683331152118056,-0.001357806569820652,0.003751690441914257,-7.088949962918978e-05,0.0,0.0002671988832178007,0.0,0.0,0.011347772979103998,0.00029991711381582853,0.005185839549797233,0.0,1.0906076866046277e-05,-0.01011538629324249,-0.012989137547441354,-0.00409523186319416,-0.0057965798542947145,0.0,-0.00966823714173537,-0.005529380971077025,-7.634253806221292e-05,0.0,0.0,0.00015813811455744897,0.00920472887492918,-0.00019085634515547678,5.9983422763254524e-05,0.0,0.0,-0.0010251712254067957,0.017793264406927578,5.9983422763254524e-05,0.0,-5.453038432912116e-06,0.005022248396806761
Decis eval Iter 4,-0.00012541988395931014,0.0,0.0,-2.726519216500467e-05,0.0,-0.0008343148802512079,-3.817126903105095e-05,0.0,-0.0005343977664353794,-0.002873751254198753,0.0,-0.020950573659643146,0.0001908563451555878,2.7265192165115693e-05,1.0906076866046277e-05,0.001390524800418791,-0.004875016359115247,-0.0171279937180997,-0.0008397679186842311,0.0,0.0008942983030144624,0.0002890110369498933,-0.003140950137416554,0.0005125856127033979,-2.726519216500467e-05,0.0004089778824761803,0.0,-0.004051607555729975,0.0018485800287920684,-2.1812153731981532e-05,0.0,0.0,-0.0010633424944378467,-0.002230292719103022,0.0,0.0,0.0,-0.001630458491471365,0.0013250883392226243,0.0020830606814117303,-0.0028192208698686327,0.0016413645683375222,0.0,-0.00027265192165071284,-8.724861492814817e-05,-0.0003435414212799026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.0025792871788159477,-0.0013687126466866983,0.0,0.0,0.0,0.0,0.0,-0.00013087292239233328,0.0008015966496532911,-0.00028901103694978225,-0.001837673951925911,-4.3624307464074086e-05,-6.543646119616664e-05,-0.003582646250490762,1.0906076866046277e-05,0.0,0.0017667844522968323,-0.0008506739955502773,0.0,0.0,0.0002508397679187313,0.0,0.0,0.0,-0.0004144309209090924,-3.817126903105095e-05,0.0017286131832657814,0.00012541988395942116,-0.0015323037996771705,-0.006521833965885793,-0.0005834751123325876,0.0016086463377393834,-0.00011451380709326386,0.0017013479911006657,-0.001510491645945078,0.0002617458447847776,0.0,0.0,0.007786938882345273,-0.0013687126466866983,0.003549928019892734,-0.00012541988395931014,0.0,0.0002617458447847776,0.0,0.0,0.011451380709331271,0.00031627622911489794,0.00557300527854121,0.0,0.00036535357501199517,-0.010000872486149226,-0.013130916546699734,-0.004237010862452539,-0.005872922392356927,0.0,-0.009859093486890846,-0.005453038433014812,-8.724861492814817e-05,0.0,0.0,0.00022902761418663875,0.00938467914321861,3.817126903116197e-05,8.179557649523606e-05,0.0,0.0,-0.000992452994808657,0.016686297605025546,5.4530384330231385e-05,0.0,-2.726519216500467e-05,0.004885922435981405
Decis eval Iter 5,-7.634253806221292e-05,0.0,0.0,-3.817126903105095e-05,0.0,-0.0008670331108493468,-2.1812153731981532e-05,-5.453038432912116e-06,-0.00046896130523921276,-0.0026501766784451375,0.0,-0.0213322863499541,0.0001308729223924443,3.817126903116197e-05,5.4530384330231385e-06,0.0014668673384810038,-0.004776861667320942,-0.01725341360205901,-0.0008833922261483051,0.0,0.00015268507612442583,0.00012541988395942116,-0.00286829821576573,0.0004471491515072312,-4.9077345897097224e-05,0.000638005496662819,0.0,-0.00441696113074197,0.0032881821751080675,-1.0906076865935255e-05,0.0,0.0,-0.001117872878767967,-0.002464773371722684,0.0,0.0,0.0,-0.001957640797452309,0.001074248571304004,0.0015377568381101936,-0.003113684945251438,0.0014396021463159991,0.0,-0.00034899445971292575,-7.088949962918978e-05,-0.0002235745757535046,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.00279740871613654,-0.0014396021463158881,0.0,0.0,0.0,0.0,-1.0906076865935255e-05,-6.543646119616664e-05,0.0007416132268900366,-0.0002562928063516434,-0.003266370021375864,-2.726519216500467e-05,-5.99834227631435e-05,-0.003931640710203688,0.0,0.0,0.001390524800418791,-0.001079701609736916,0.0,0.0,0.00012541988395942116,0.0,0.0,0.0,-0.0004580552283731665,5.4530384330231385e-06,0.0015377568381101936,0.00013632596082546744,-0.0013250883392225132,-0.0057965798542947145,-0.0006434585350957311,0.00147777341534705,-0.0002999171138157175,0.0017776905291628786,-0.0015432098765431057,0.0003271823059809442,5.4530384330231385e-06,0.0,0.007814204074510389,-0.0013796187235527446,0.0038498451337085626,-1.0906076865935255e-05,0.0,0.0002671988832178007,0.0,0.0,0.011227806133577656,0.0005453038433015367,0.005485756663613062,0.0,0.00011451380709337489,-0.010344413907429129,-0.013561706582907895,-0.0042860882083496366,-0.005747502508397617,0.0,-0.009766391833529564,-0.0057965798542947145,3.271823059813883e-05,0.0,0.0,0.00016904419142349525,0.009297430528290462,-7.634253806221292e-05,5.4530384330231385e-05,0.0,0.0,-0.0010142651485407495,0.01709527548750167,4.362430746418511e-05,0.0,-5.453038432912116e-06,0.005098590934868974
Decis eval Iter 6,-0.00010906076866024073,0.0,0.0,-2.726519216500467e-05,0.0,-0.0009815469179426106,-4.3624307464074086e-05,-5.453038432912116e-06,-0.0004307900362081618,-0.0027265192165073504,0.0,-0.021501330541377595,0.0001308729223924443,3.817126903116197e-05,1.0906076866046277e-05,0.0011287789556341243,-0.004864110282249201,-0.017427910831915527,-0.0008724861492823699,0.0,0.00040352484404315714,0.00039261876717711086,-0.002982812022859105,0.0005343977664354904,1.0906076866046277e-05,0.0007634253806221292,0.0,-0.004335165554246734,0.0019685468743184664,-1.6359115298958393e-05,0.0,0.0,-0.001074248571303893,-0.002513850717619781,0.0,0.0,0.0,-0.00187039218252405,0.0011833093399642447,0.0022902761418662765,-0.0029773589844260817,0.0017177071063997351,0.0,-0.00041988395934211553,-9.270165336117131e-05,-0.0002072154604545462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.002835579985167702,-0.001314182262356578,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-0.00018540330672245364,0.0007797844959211986,-1.0906076865935255e-05,-0.003108231906818415,-1.6359115298958393e-05,-6.543646119616664e-05,-0.003588099288923785,-5.453038432912116e-06,0.0,0.0015432098765432167,-0.0009052043798803977,0.0,0.0,0.00016904419142349525,0.0,0.0,0.0,-0.0007797844959210876,-4.9077345897097224e-05,0.0017013479911006657,0.00019630938358861094,-0.001434149107882865,-0.0061183091218426355,-0.000638005496662708,0.0017068010295336888,-0.00021266849888756933,0.0018049557213279943,-0.0018485800287919574,0.00015813811455744897,5.4530384330231385e-06,0.0,0.007650612921519917,-0.001276010993325416,0.004356977707978937,-7.088949962918978e-05,0.0,0.0002671988832178007,0.0,0.0,0.010938795096627874,0.0003217292675479211,0.004586005322165576,0.0,3.271823059813883e-05,-0.010099027177943531,-0.013436286698948585,-0.004182480478122308,-0.005611176547572261,0.0,-0.00979365702569468,-0.005403961087117715,-7.634253806221292e-05,0.0,0.0,0.00021812153732059247,0.009548270296209083,-3.271823059802781e-05,0.00010906076866035175,0.0,0.0,-0.0009488286873445828,0.01657723683636525,3.817126903116197e-05,0.0,-1.6359115298958393e-05,0.004695066090825817
Decis eval Iter 7,-9.270165336117131e-05,0.0,0.0,-3.271823059802781e-05,0.0,-0.0005943811891985229,-4.9077345897097224e-05,0.0,-0.000278104960083736,-0.002753784408672466,0.0,-0.02144134711861445,0.00015268507612442583,3.817126903116197e-05,1.0906076866046277e-05,0.001390524800418791,-0.004913187628146298,-0.017100728525934583,-0.000796143611220157,0.0,0.00018540330672256466,0.0002890110369498933,-0.002781049600837582,0.0004253369977752497,-1.0906076865935255e-05,0.0007525193037560829,0.0,-0.004542381014701391,0.002671988832177341,-2.1812153731981532e-05,0.0,0.0,-0.0011724032630981984,-0.0022848231034331423,0.0,0.0,0.0,-0.001990359028050337,0.0012541988395934345,0.001668629760502638,-0.0028083147930025865,0.0017395192601318277,0.0,-0.0001526850761243148,-9.815469179419445e-05,-0.0003762596518779304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.002557475025083966,-0.001352353531387629,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-0.000119966845526287,0.0007634253806221292,-0.0002671988832176897,-0.0033481655978711,-2.726519216500467e-05,-8.179557649512503e-05,-0.00322274571391179,0.0,0.0,0.0016904419142346194,-0.0009379226104785365,0.0,0.0,0.00017995026828954153,0.0,0.0,0.0,-0.0004635082668061896,1.6359115299069416e-05,0.002072154604545684,0.00015268507612442583,-0.0014232430310168187,-0.0052021986650961916,-0.0006489115735287543,0.0016468176067705453,-0.00019630938358849992,0.0019249225668542813,-0.0017667844522967213,0.00025629280635175444,5.4530384330231385e-06,0.0,0.0074706626532303755,-0.001395977838851703,0.004187933516555442,-9.815469179419445e-05,0.0,0.00030537015224885167,0.0,0.0,0.011238712210443702,0.0005343977664354904,0.004869563320682335,0.0,8.179557649523606e-05,-0.010066308947345393,-0.01228569558958248,-0.004264276054617544,-0.005523927932644002,0.0,-0.009471927758146759,-0.005354883741220506,-0.00013632596082535642,0.0,0.0,0.00013632596082546744,0.008970248222309518,-0.0001799502682894305,0.00010906076866035175,0.0,0.0,-0.000916110456746444,0.01654997164420019,7.088949962918978e-05,0.0,-3.271823059802781e-05,0.004978624089342687
Decis eval Iter 8,-0.000119966845526287,0.0,0.0,-4.9077345897097224e-05,0.0,-0.0008125027265191154,-3.271823059802781e-05,0.0,-0.0002835579985167591,-0.0029719059459930586,0.0,-0.02240108188282508,0.00016904419142349525,3.817126903116197e-05,5.4530384330231385e-06,0.0014505082231820454,-0.004667800898660701,-0.01740064563975041,-0.0008015966496531801,0.0,0.0006434585350958422,0.0002617458447847776,-0.0028846573310647994,0.0006052872660646802,-1.6359115298958393e-05,0.0004580552283732775,0.0,-0.004253369977751498,0.0022084805653710404,-1.6359115298958393e-05,0.0,0.0,-0.0010197181869737726,-0.0021648562579068553,0.0,0.0,0.0,-0.001717707106399624,0.0013796187235528556,0.0014505082231820454,-0.0029228286000959613,0.0016195524146054296,0.0,-0.00038171269031095356,-8.724861492814817e-05,-0.00028901103694978225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.0022957291802991886,-0.0014232430310168187,0.0,0.0,0.0,0.0,5.4530384330231385e-06,-5.453038433012036e-05,0.0007307071500239903,-0.00023448065261955087,-0.0031354970989835307,-2.726519216500467e-05,-2.726519216500467e-05,-0.003751690441914146,0.0,0.0,0.0015213977228112352,-0.0008724861492823699,0.0,0.0,0.0001635911529904721,0.0,0.0,0.0,-0.0005234916895693331,-1.6359115298958393e-05,0.0018540330672250915,0.00011451380709337489,-0.0015813811455742677,-0.0050386075121057194,-0.0007906905727871338,0.001750425336997874,-0.00022902761418652773,0.00195764079745242,-0.0016577236836364806,0.0003108231906818748,-1.0906076865935255e-05,0.0,0.007803297997644343,-0.0013359944160885595,0.004313353400514863,-7.088949962918978e-05,0.0,0.0002944640753828054,0.0,0.0,0.011478645901496387,0.0003817126903110646,0.005283994241591428,0.0,5.4530384330231385e-06,-0.010137198446974582,-0.012007590629498743,-0.0042042926318544005,-0.005780220738995756,0.0,-0.009897264755921897,-0.0056438947781704,-8.724861492814817e-05,0.0,0.0,0.0001308729223924443,0.009139292413733013,-0.0002235745757535046,8.72486149282592e-05,0.0,0.0,-0.00099790603324168,0.015628408149020667,5.9983422763254524e-05,0.0,-1.6359115298958393e-05,0.004945905858744548
Decis eval Iter 9,-8.179557649512503e-05,0.0,0.0,-1.0906076865935255e-05,0.0,-0.0012051214936962262,-3.271823059802781e-05,0.0,-0.0005671159970335182,-0.0031682153295815585,0.0,-0.021125070889499553,0.0001744972298565184,3.271823059813883e-05,1.0906076866046277e-05,0.001554115953409263,-0.004945905858744437,-0.017706015791999263,-0.0008234088033851616,0.0,0.0005780220738996755,0.00034354142128001364,-0.0029282816385289845,0.0007797844959211986,3.817126903116197e-05,0.0008942983030144624,0.0,-0.004656894821794655,0.002159403219473943,-1.6359115298958393e-05,0.0,0.0,-0.0011887623783971568,-0.002432055141124545,0.0,0.0,0.0,-0.0018431269903589342,0.0012269336474284298,0.0017340662216988045,-0.002677441870610253,0.001674082798935661,0.0,-0.00033263534441385634,-9.270165336117131e-05,-0.0002562928063516434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.453038432912116e-06,0.0,0.0,-0.0028083147930025865,-0.0013305413776555364,0.0,0.0,0.0,0.0,1.0906076866046277e-05,-0.0001472320376914027,0.0008070496880862033,-0.00028901103694978225,-0.0038825633643065904,-3.271823059802781e-05,-8.179557649512503e-05,-0.003860751210574498,5.4530384330231385e-06,0.0,0.0016468176067705453,-0.0010033590716747032,0.0,0.0,0.0002344806526196619,0.0,0.0,0.0,-0.0004962264974043284,1.6359115299069416e-05,0.001794049644461948,0.00015813811455744897,-0.0014559612616149575,-0.005622082624438307,-0.0006652706888277127,0.0015868341840074018,-0.00019630938358849992,0.002110325873576846,-0.0016413645683374112,0.0003489944597130368,5.4530384330231385e-06,0.0,0.007617894690921778,-0.0013469004929546058,0.004356977707978937,-8.179557649512503e-05,0.0,0.0002890110369498933,0.0,0.0,0.011227806133577656,0.0001635911529904721,0.005534834009510159,0.0,-3.817126903105095e-05,-0.010011778563015272,-0.01294551323997728,-0.004057060594162998,-0.005491209702045974,0.0,-0.00970640841076642,-0.005927452776687159,-0.00012541988395931014,0.0,0.0,0.00015268507612442583,0.009406491296950703,-0.00014177899925837956,9.270165336128233e-05,0.0,0.0,-0.0009433756489115597,0.016331850106879597,5.9983422763254524e-05,0.0,-2.1812153731981532e-05,0.004613270514330581
