,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.0005633802816902289,0.012957746478873267,0.037183098591549335,0.0360563380281691,0.0053521126760563975,0.0005633802816902289,0.0008450704225352323,0.049014084507042255,0.05352112676056342,0.028732394366197234,0.001971830985915579,0.1422535211267606,0.009577464788732448,0.0011267605633803468,0.03211267605633805,0.0335211267605634,0.03492957746478875,0.08450704225352113,0.035774647887323985,0.0,0.11943661971830988,0.10619718309859161,0.07492957746478879,-0.0005633802816901179,0.2543661971830986,0.1563380281690141,0.0,0.0011267605633803468,0.012394366197183149,0.0016901408450704647,0.00028169014084511446,0.0,0.01605633802816908,0.0,0.0,0.0,0.0,0.002535211267605697,0.0005633802816902289,0.09239436619718311,0.08338028169014089,0.001971830985915579,0.0,0.014084507042253613,0.0011267605633803468,0.00478873239436628,0.00028169014084511446,0.0,0.0022535211267605826,0.009577464788732448,0.0,0.0005633802816902289,0.0005633802816902289,0.0,0.0008450704225352323,0.0,0.0,0.0,0.0,0.0033802816901409294,0.0,0.006478873239436633,0.001971830985915579,0.0011267605633803468,0.0008450704225352323,0.0
Decis train Iter 1,0.0005633802816902289,0.010140845070422566,0.037183098591549335,0.03549295774647887,0.00619718309859163,0.0011267605633803468,0.0016901408450704647,0.05492957746478877,0.048169014084507134,0.029014084507042348,0.0022535211267605826,0.1422535211267606,0.013802816901408499,0.0014084507042253502,0.03267605633802817,0.0335211267605634,0.03830985915492957,0.08507042253521135,0.03267605633802817,0.0,0.1171830985915493,0.1256338028169015,0.07971830985915496,-0.0005633802816901179,0.22985915492957754,0.1481690140845071,0.00028169014084511446,0.0005633802816902289,0.011549295774647916,0.0008450704225352323,0.00028169014084511446,0.0,0.013521126760563384,0.0,0.0,0.0,0.0,0.003943661971831047,0.0,0.08985915492957752,0.08000000000000007,0.0005633802816902289,0.0,0.012394366197183149,0.002535211267605697,0.0028169014084507005,0.0005633802816902289,0.0,0.001971830985915579,0.005915492957746515,0.0,0.0005633802816902289,0.0014084507042253502,0.0,0.0008450704225352323,0.0,0.0,0.0,0.0,0.002535211267605697,-0.0005633802816901179,0.005915492957746515,0.0011267605633803468,0.0022535211267605826,0.00028169014084511446,0.00028169014084511446
Decis train Iter 2,0.0005633802816902289,0.012394366197183149,0.035774647887323985,0.03408450704225352,0.005070422535211283,0.0011267605633803468,0.0014084507042253502,0.056056338028169006,0.051830985915492955,0.030140845070422584,0.0011267605633803468,0.14929577464788735,0.008450704225352212,0.001971830985915579,0.0335211267605634,0.03521126760563387,0.03521126760563387,0.08197183098591554,0.0335211267605634,0.0,0.11464788732394371,0.12225352112676058,0.07295774647887332,-0.00028169014084500343,0.2287323943661972,0.14845070422535211,0.0,0.00028169014084511446,0.009577464788732448,0.0011267605633803468,0.00028169014084511446,0.0,0.016338028169014085,0.0,0.0,0.0,0.0,0.0016901408450704647,0.0005633802816902289,0.09042253521126764,0.07436619718309867,0.001971830985915579,0.0,0.013239436619718381,0.0016901408450704647,0.002535211267605697,0.0028169014084507005,0.0,0.001971830985915579,0.00478873239436628,0.0,0.0008450704225352323,0.0011267605633803468,0.0,0.0005633802816902289,0.0,0.0,0.0,0.0,0.0028169014084507005,0.0,0.005070422535211283,0.0014084507042253502,0.001971830985915579,0.0,0.0
Decis train Iter 3,0.0005633802816902289,0.012394366197183149,0.03492957746478875,0.03830985915492957,0.006478873239436633,0.0011267605633803468,0.0008450704225352323,0.04985915492957749,0.05436619718309865,0.028169014084507116,0.001971830985915579,0.1538028169014085,0.00901408450704233,0.001971830985915579,0.03408450704225352,0.03380281690140852,0.034366197183098635,0.08309859154929577,0.03183098591549305,0.0,0.10985915492957754,0.11380281690140848,0.07323943661971832,-0.0005633802816901179,0.24084507042253522,0.14169014084507048,0.0,0.0014084507042253502,0.008169014084507098,0.0014084507042253502,0.00028169014084511446,0.0,0.0166197183098592,0.0,0.0,0.0,0.0,0.0028169014084507005,0.0005633802816902289,0.09352112676056346,0.0783098591549296,0.0014084507042253502,0.0,0.012394366197183149,0.0014084507042253502,0.002535211267605697,0.0011267605633803468,0.0,0.002535211267605697,0.004225352112676051,0.0,0.0008450704225352323,0.0,0.0,0.0005633802816902289,0.0,0.0,0.0,0.0,0.003098591549295815,-0.00028169014084500343,0.00619718309859163,0.0011267605633803468,0.001971830985915579,0.00028169014084511446,0.0
Decis train Iter 4,0.0005633802816902289,0.012676056338028263,0.03464788732394375,0.0332394366197184,0.005633802816901401,0.0011267605633803468,0.0014084507042253502,0.0501408450704226,0.050985915492957834,0.025915492957746533,0.0016901408450704647,0.1428169014084507,0.010704225352112684,0.0011267605633803468,0.03492957746478875,0.03549295774647887,0.03661971830985922,0.08507042253521135,0.0335211267605634,0.0,0.1281690140845071,0.11774647887323952,0.07577464788732402,-0.0005633802816901179,0.24056338028169022,0.16028169014084515,0.0,0.0,0.009859154929577563,0.0011267605633803468,0.00028169014084511446,0.0,0.014929577464788735,0.0,0.0,0.0,0.0,0.0028169014084507005,0.00028169014084511446,0.0864788732394367,0.08535211267605636,0.0022535211267605826,0.0,0.013521126760563384,0.0011267605633803468,0.002535211267605697,0.0011267605633803468,0.0,0.0016901408450704647,0.005633802816901401,0.0,0.0005633802816902289,0.0005633802816902289,0.0,0.0011267605633803468,0.0,0.0,0.0,0.0,0.002535211267605697,0.0,0.007042253521126862,0.0016901408450704647,0.0011267605633803468,0.0005633802816902289,0.0
Decis train Iter 5,0.0008450704225352323,0.012394366197183149,0.0388732394366198,0.034366197183098635,0.005633802816901401,0.0005633802816902289,0.0014084507042253502,0.0473239436619719,0.050422535211267605,0.02845070422535212,0.0011267605633803468,0.14985915492957746,0.009295774647887334,0.002535211267605697,0.031549295774647934,0.034366197183098635,0.04112676056338038,0.08338028169014089,0.03126760563380282,0.0,0.12,0.11577464788732394,0.07323943661971832,-0.0005633802816901179,0.23549295774647894,0.1532394366197184,0.0,0.00028169014084511446,0.009859154929577563,0.0008450704225352323,0.00028169014084511446,0.0,0.013521126760563384,0.0,0.0,0.0,0.0,0.0022535211267605826,0.0005633802816902289,0.08309859154929577,0.08704225352112682,0.0016901408450704647,0.0,0.01605633802816908,0.0014084507042253502,0.0022535211267605826,0.0005633802816902289,0.0,0.0014084507042253502,0.004507042253521165,0.0,0.0005633802816902289,0.0005633802816902289,0.0,0.0011267605633803468,0.0,0.0,0.0,0.0,0.003098591549295815,-0.00028169014084500343,0.005633802816901401,0.00028169014084511446,0.0014084507042253502,0.0008450704225352323,0.0
Decis train Iter 6,0.0011267605633803468,0.013802816901408499,0.031549295774647934,0.03408450704225352,0.006478873239436633,0.00028169014084511446,0.0011267605633803468,0.04929577464788737,0.052394366197183184,0.031549295774647934,0.0022535211267605826,0.15549295774647887,0.011267605633802913,0.0016901408450704647,0.03211267605633805,0.03380281690140852,0.03661971830985922,0.08563380281690147,0.0332394366197184,0.0,0.10901408450704231,0.1253521126760564,0.07239436619718309,-0.0005633802816901179,0.2371830985915493,0.14676056338028176,0.0,0.0005633802816902289,0.012957746478873267,0.0011267605633803468,0.00028169014084511446,0.0,0.014084507042253613,0.0,0.0,0.0,0.0,0.002535211267605697,0.00028169014084511446,0.08760563380281694,0.08169014084507042,0.0016901408450704647,0.0,0.013521126760563384,0.0011267605633803468,0.0022535211267605826,0.0011267605633803468,0.0,0.001971830985915579,0.005633802816901401,0.0,0.0005633802816902289,0.0016901408450704647,0.0,0.0011267605633803468,0.0,0.0,0.0,0.0,0.0033802816901409294,0.0,0.006478873239436633,0.0014084507042253502,0.001971830985915579,0.0,0.0
Decis train Iter 7,0.0005633802816902289,0.012676056338028263,0.03380281690140852,0.03830985915492957,0.00619718309859163,0.0016901408450704647,0.0011267605633803468,0.04873239436619725,0.0501408450704226,0.030140845070422584,0.0014084507042253502,0.147605633802817,0.009859154929577563,0.001971830985915579,0.030704225352112702,0.03774647887323945,0.0335211267605634,0.0808450704225353,0.037183098591549335,0.0,0.12225352112676058,0.12309859154929581,0.07492957746478879,-0.0005633802816901179,0.2340845070422536,0.15183098591549304,0.0,0.00028169014084511446,0.009577464788732448,0.0016901408450704647,0.00028169014084511446,0.0,0.014647887323943731,0.0,0.0,0.0,0.0,0.003098591549295815,0.0008450704225352323,0.08478873239436624,0.07774647887323949,0.001971830985915579,0.0,0.012394366197183149,0.001971830985915579,0.0028169014084507005,0.0022535211267605826,0.0,0.002535211267605697,0.003661971830985933,0.0,0.0008450704225352323,0.0005633802816902289,0.0,0.0008450704225352323,0.0,0.0,0.0,0.0,0.003098591549295815,-0.00028169014084500343,0.006760563380281748,0.0005633802816902289,0.0022535211267605826,0.0,0.0
Decis train Iter 8,0.0005633802816902289,0.011267605633802913,0.0335211267605634,0.0332394366197184,0.0033802816901409294,0.002535211267605697,0.0011267605633803468,0.0473239436619719,0.050985915492957834,0.027605633802816998,0.0016901408450704647,0.16000000000000003,0.012112676056338034,0.0014084507042253502,0.03971830985915503,0.03549295774647887,0.04112676056338038,0.08281690140845077,0.03492957746478875,0.0,0.11661971830985918,0.11492957746478882,0.0752112676056339,-0.00028169014084500343,0.2402816901408451,0.1450704225352113,0.0,0.00028169014084511446,0.009295774647887334,0.0008450704225352323,0.00028169014084511446,0.0,0.013802816901408499,0.0,0.0,0.0,0.0,0.0028169014084507005,0.0005633802816902289,0.09154929577464799,0.07746478873239437,0.001971830985915579,0.0,0.012676056338028263,0.0014084507042253502,0.003661971830985933,0.0008450704225352323,0.0,0.0033802816901409294,0.008169014084507098,0.0,0.0008450704225352323,0.0005633802816902289,0.0,0.0008450704225352323,0.0,0.0,0.0,0.0,0.0053521126760563975,-0.00028169014084500343,0.007323943661971866,0.001971830985915579,0.0022535211267605826,0.00028169014084511446,0.0
Decis train Iter 9,0.0005633802816902289,0.011549295774647916,0.035774647887323985,0.035774647887323985,0.0053521126760563975,0.0022535211267605826,0.0016901408450704647,0.050985915492957834,0.05211267605633807,0.029014084507042348,0.0011267605633803468,0.14957746478873246,0.01042253521126768,0.0011267605633803468,0.03267605633802817,0.0388732394366198,0.041408450704225386,0.08281690140845077,0.03492957746478875,0.0,0.1253521126760564,0.11915492957746487,0.0752112676056339,-0.00028169014084500343,0.24084507042253522,0.14619718309859164,0.0,0.0005633802816902289,0.011267605633802913,0.0016901408450704647,0.00028169014084511446,0.0,0.014366197183098617,0.0,0.0,0.0,0.0,0.002535211267605697,0.0008450704225352323,0.09098591549295776,0.08478873239436624,0.002535211267605697,0.0,0.013521126760563384,0.0016901408450704647,0.0028169014084507005,0.0008450704225352323,0.0,0.0022535211267605826,0.005633802816901401,0.0,0.00028169014084511446,0.00028169014084511446,0.0,0.0014084507042253502,0.0,0.0,0.0,0.0,0.0022535211267605826,-0.00028169014084500343,0.0053521126760563975,0.0008450704225352323,0.0014084507042253502,0.00028169014084511446,0.00028169014084511446
