,F1 Score,BAccuracy,Accuracy,Class,Baseline,Fitted Models,Test IX
0,0.9141675284384695,0.8419047619047619,0.8419047619047619,[0],0.5114285714285715,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  1. 130.]
1,0.12483551992583306,0.3011608184649146,0.20497707924034053,[0 1],0.5304518664047151,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 67. 112.]
2,0.9737976782752901,0.9489334195216548,0.9489334195216548,[0],0.4434389140271493,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  5. 115.]
3,0.6770110249081258,0.5117283950617284,0.5117283950617284,[1],0.5901234567901235,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 27. 135.]
4,0.7888805409466566,0.6513647642679901,0.6513647642679901,[0],0.47642679900744417,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[19. 60.]
5,0.8954090438384538,0.810625,0.810625,[1],0.758125,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[12. 33.]
6,0.9237029501525941,0.8582230623818525,0.8582230623818525,[1],0.6635160680529301,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 59. 100.]
7,0.41165559398407886,0.49944567627494457,0.5677378701953372,[0 1],0.5078764965343415,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 81. 126.]
8,0.6255430060816681,0.45512010113780027,0.45512010113780027,[0],0.534134007585335,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 13. 123.]
9,0.5584594222833562,0.38740458015267176,0.38740458015267176,[1],0.660941475826972,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 96. 133.]
10,0.7656065959952886,0.6202290076335878,0.6202290076335878,[1],0.522264631043257,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 56. 103.]
11,0.9930229883858456,0.9920977011494253,0.9930291508238276,[0 1],0.4708491761723701,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 9. 84.]
12,0.5236441847027751,0.5679190751445087,0.6200762388818297,[0 1],0.4898348157560356,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[46. 69.]
13,0.7085714285714284,0.5486725663716814,0.5486725663716814,[1],0.7269279393173198,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 57. 124.]
14,0.5441039925719592,0.3737244897959184,0.3737244897959184,[1],0.4897959183673469,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[25. 31.]
