,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando train Iter 0,0.0012774938902466726,0.00438791379693404,0.017273939124639037,0.016774050211064262,0.015441013108198232,0.0014996667407243258,0.005165518773605937,0.009997778271495283,0.03471450788713626,0.008664741168629253,0.005554321261941775,0.01649633414796714,0.0047767162852699885,0.006443012663852499,0.014107976005332201,0.009664518995778693,0.005665407687180601,0.010553210397689416,0.007553876916240876,0.0,0.030382137302821577,0.020273272606087578,0.014219062430571028,0.0016107531659631524,0.011941790713174916,0.015329926682959405,0.001999555654299101,0.013941346367473906,0.013330371028660304,0.0013885803154854992,0.0019440124416796323,0.0,0.013996889580093375,0.0012219506776272038,0.0004443457009554175,0.0004998889135747753,0.0,0.0013885803154854992,0.0013330371028660304,0.01988447011775163,0.0185514330148856,0.0019440124416796323,0.0009442346145300817,0.004221284159075744,0.0008331481892912551,0.0018884692290602745,0.0004443457009554175,0.00016662963785829543,0.004221284159075744,0.0010553210397690194,0.00038880248833594866,0.0013885803154854992,0.0007776049766718973,0.0,0.0007776049766718973,0.002554987780493234,0.00038880248833594866,0.0004998889135747753,5.554321261946882e-05,0.0009997778271495505,0.002277271717396112,0.0004998889135747753,0.0009997778271495505,0.00027771606309712205,5.554321261946882e-05,0.0007776049766718973
Rando train Iter 1,0.0013330371028660304,0.004665629860031162,0.017773828038213813,0.017273939124639037,0.016385247722728313,0.0018329260164408057,0.0050544323483671105,0.008886914019106906,0.03160408798044878,0.009497889357920508,0.006387469451233141,0.017329482337258395,0.004832259497889346,0.0062208398133748455,0.013274827816040946,0.008220395467673836,0.00605421017551655,0.011386358586980672,0.008886914019106906,0.0,0.03160408798044878,0.021106420795378833,0.014663408131526334,0.0012774938902466726,0.012275049988891396,0.015052210619862283,0.001721839591201979,0.014996667407242814,0.01483003776938463,0.0010553210397690194,0.0013330371028660304,0.0,0.013996889580093375,0.0016662963785825102,0.00033325927571659086,0.00038880248833594866,0.0,0.001166407465007846,0.0017773828038214479,0.0191624083536992,0.018606976227505068,0.002332814930015581,0.0009997778271495505,0.00438791379693404,0.0004443457009554175,0.001444123528104857,0.0006109753388136019,0.00038880248833594866,0.003999111308598091,0.0005554321261942441,5.554321261946882e-05,0.0008886914019107239,0.00033325927571659086,0.0,0.0006109753388136019,0.0026660742057320608,0.0004443457009554175,0.0004998889135747753,5.554321261946882e-05,0.0010553210397690194,0.0019440124416796323,0.0006665185514330707,0.0005554321261942441,0.00027771606309712205,0.00011108642523882661,0.0008331481892912551
Rando train Iter 2,0.001166407465007846,0.0047767162852699885,0.017329482337258395,0.016718506998444793,0.014885580982003987,0.0018884692290602745,0.004610086647411693,0.009886691846256457,0.03277049544545663,0.008998000444345733,0.005443234836702948,0.01755165518773605,0.005276605198844764,0.005665407687180601,0.01344145745389913,0.008609197956009784,0.0047767162852699885,0.01044212397245059,0.00872028438124861,0.0,0.03138191512997113,0.020662075094423527,0.015885358809153538,0.0013885803154854992,0.011608531437458325,0.014774494556765161,0.001999555654299101,0.0134970006665186,0.012163963563652569,0.0012219506776272038,0.0016107531659631524,0.0,0.014941124194623456,0.0021661852921572855,0.00038880248833594866,0.0004998889135747753,0.0,0.0015552099533436836,0.0017773828038214479,0.020384359031326404,0.01882914907798272,0.0019440124416796323,0.0010553210397690194,0.004332370584314571,0.0004443457009554175,0.0024439013552544075,0.0007776049766718973,0.0006665185514330707,0.004332370584314571,0.0007220617640524285,0.00011108642523882661,0.0009997778271495505,0.0004998889135747753,0.0,0.0008331481892912551,0.002277271717396112,0.00027771606309712205,0.00033325927571659086,5.554321261946882e-05,0.0012219506776272038,0.0016107531659631524,0.0008331481892912551,0.0008331481892912551,0.00016662963785829543,5.554321261946882e-05,0.0007220617640524285
Rando train Iter 3,0.0011108642523883772,0.005221061986225295,0.017718284825594344,0.018273716951788477,0.015385469895578763,0.0015552099533436836,0.004887802710508815,0.010553210397689416,0.03354810042212841,0.008664741168629253,0.005776494112419539,0.01616307487225066,0.0047767162852699885,0.00572095089980007,0.014718951344145803,0.008331481892912662,0.005832037325038897,0.010608753610308885,0.007887136191957356,0.0,0.031159742279493474,0.021328593645856486,0.014941124194623456,0.0016662963785825102,0.012441679626749691,0.016329704510108844,0.0016662963785825102,0.014718951344145803,0.012663852477227344,0.0010553210397690194,0.0014996667407243258,0.0,0.013663630304376784,0.001721839591201979,0.0005554321261942441,0.00038880248833594866,0.0,0.0008886914019107239,0.001444123528104857,0.019384581204176854,0.019384581204176854,0.001721839591201979,0.0009997778271495505,0.003999111308598091,0.0007220617640524285,0.0021661852921572855,0.0007220617640524285,0.0004443457009554175,0.003999111308598091,0.0008331481892912551,5.554321261946882e-05,0.0008886914019107239,0.0005554321261942441,0.0,0.0007776049766718973,0.002610530993112703,0.0004443457009554175,0.00038880248833594866,5.554321261946882e-05,0.0013330371028660304,0.0021661852921572855,0.00033325927571659086,0.0008331481892912551,0.00016662963785829543,0.00016662963785829543,0.00033325927571659086
Rando train Iter 4,0.001166407465007846,0.003943568095978733,0.017385025549877864,0.017329482337258395,0.015385469895578763,0.0016107531659631524,0.00438791379693404,0.00944234614530104,0.0357142857142857,0.00910908686958456,0.005776494112419539,0.01682959342368362,0.0050544323483671105,0.006109753388136019,0.01383025994223508,0.00910908686958456,0.005832037325038897,0.010997556098644723,0.007498333703621407,0.0,0.02932681626305267,0.022495001110864332,0.01582981559653418,0.0012774938902466726,0.012663852477227344,0.014774494556765161,0.0015552099533436836,0.013719173516996253,0.013941346367473906,0.001444123528104857,0.0014996667407243258,0.0,0.013663630304376784,0.0014996667407243258,0.0004443457009554175,0.0005554321261942441,0.0,0.001721839591201979,0.0013330371028660304,0.0205509886691847,0.01921795156631867,0.002055098866918459,0.0009997778271495505,0.004165740946456387,0.0005554321261942441,0.0015552099533436836,0.0004998889135747753,0.00038880248833594866,0.00372139524550108,0.0006665185514330707,0.00011108642523882661,0.0008331481892912551,0.0005554321261942441,0.0,0.0011108642523883772,0.002832703843590356,0.00038880248833594866,0.00038880248833594866,5.554321261946882e-05,0.001444123528104857,0.001999555654299101,0.0004998889135747753,0.0008331481892912551,5.554321261946882e-05,0.0,0.0006109753388136019
Rando train Iter 5,0.0013885803154854992,0.004165740946456387,0.017773828038213813,0.017329482337258395,0.016607420573205967,0.0018884692290602745,0.004610086647411693,0.009220173294823386,0.0320484336814042,0.008275938680293304,0.0059431237502777234,0.017773828038213813,0.0050544323483671105,0.005998666962897192,0.014219062430571028,0.009275716507442855,0.00538769162408359,0.010553210397689416,0.008387025105532131,0.0,0.0320484336814042,0.021050877582759364,0.015940902021773007,0.0012219506776272038,0.012163963563652569,0.014607864918906976,0.0016107531659631524,0.013552543879137957,0.013274827816040946,0.0012774938902466726,0.0016107531659631524,0.0,0.014441235281048681,0.001444123528104857,0.0004998889135747753,0.00038880248833594866,-5.5543212619357796e-05,0.0013885803154854992,0.0013885803154854992,0.0205509886691847,0.01988447011775163,0.0021661852921572855,0.0008886914019107239,0.003999111308598091,0.0006665185514330707,0.002055098866918459,0.0006109753388136019,0.0008331481892912551,0.0047767162852699885,0.00038880248833594866,0.00022217285047765323,0.0009997778271495505,0.0006109753388136019,0.0,0.0007776049766718973,0.0024439013552544075,0.0004443457009554175,0.0005554321261942441,5.554321261946882e-05,0.0010553210397690194,0.001999555654299101,0.0005554321261942441,0.0006665185514330707,0.00022217285047765323,-5.5543212619357796e-05,0.0008331481892912551
Rando train Iter 6,0.0013885803154854992,0.004165740946456387,0.016940679848922446,0.016940679848922446,0.014552321706287508,0.0018329260164408057,0.004943345923128173,0.011053099311264192,0.03460342146189743,0.009331259720062213,0.00538769162408359,0.01788491446345264,0.004554543434792335,0.006109753388136019,0.01383025994223508,0.009220173294823386,0.005276605198844764,0.01010886469673411,0.007831592979337998,0.0,0.030826483003776994,0.020773161519662353,0.016218618084870018,0.001444123528104857,0.011941790713174916,0.01516329704510111,0.002055098866918459,0.014163519217951559,0.014107976005332201,0.0015552099533436836,0.0016662963785825102,0.0,0.014052432792712732,0.0014996667407243258,0.0004443457009554175,0.0006109753388136019,0.0,0.001166407465007846,0.0016662963785825102,0.019717840479893334,0.019329037991557496,0.001721839591201979,0.0012774938902466726,0.0035547656076427847,0.0008331481892912551,0.0017773828038214479,0.0007776049766718973,0.00038880248833594866,0.004332370584314571,0.0005554321261942441,0.00022217285047765323,0.0007776049766718973,0.0006665185514330707,0.0,0.0008331481892912551,0.0023883581426350498,0.0004443457009554175,0.00033325927571659086,5.554321261946882e-05,0.0010553210397690194,0.002055098866918459,0.0006109753388136019,0.0011108642523883772,0.00016662963785829543,0.00016662963785829543,0.00038880248833594866
Rando train Iter 7,0.0010553210397690194,0.004943345923128173,0.016774050211064262,0.015996445234392365,0.01516329704510111,0.0015552099533436836,0.005109975560986468,0.011053099311264192,0.033103754721173106,0.009275716507442855,0.005221061986225295,0.01577427238391471,0.004554543434792335,0.006331926238613672,0.01316374139080212,0.008831370806487437,0.005109975560986468,0.00977560542101763,0.007609420128860234,0.0,0.03165963119306825,0.020439902243945873,0.014885580982003987,0.0016662963785825102,0.011219728949122487,0.015718729171295243,0.0013330371028660304,0.014052432792712732,0.014774494556765161,0.0013330371028660304,0.001721839591201979,0.0,0.01483003776938463,0.0013330371028660304,0.0004998889135747753,0.00027771606309712205,0.0,0.0012219506776272038,0.001166407465007846,0.019384581204176854,0.02021772939346811,0.0024994445678738764,0.0008331481892912551,0.004332370584314571,0.0004443457009554175,0.0019440124416796323,0.00038880248833594866,0.0004998889135747753,0.00372139524550108,0.0007776049766718973,5.554321261946882e-05,0.0009997778271495505,0.0006665185514330707,0.0,0.001166407465007846,0.0021661852921572855,0.00033325927571659086,0.0004998889135747753,5.554321261946882e-05,0.0013885803154854992,0.002277271717396112,0.00038880248833594866,0.0006665185514330707,0.00011108642523882661,0.00011108642523882661,0.0005554321261942441
Rando train Iter 8,0.0010553210397690194,0.004221284159075744,0.017273939124639037,0.017773828038213813,0.014385692068429212,0.001721839591201979,0.005109975560986468,0.010164407909353468,0.03354810042212841,0.008553654743390426,0.005443234836702948,0.017607198400355517,0.004554543434792335,0.005665407687180601,0.01383025994223508,0.009164630082204028,0.00572095089980007,0.010719840035547712,0.007498333703621407,0.0,0.031104199066874005,0.020773161519662353,0.014996667407242814,0.0012219506776272038,0.011386358586980672,0.01549655632081759,0.0018329260164408057,0.014274605643190386,0.012719395689846702,0.0009442346145300817,0.0016107531659631524,0.0,0.014885580982003987,0.0015552099533436836,0.0004443457009554175,0.00038880248833594866,0.0,0.001444123528104857,0.0014996667407243258,0.01982892690513227,0.0191624083536992,0.0023883581426350498,0.001166407465007846,0.004165740946456387,0.0005554321261942441,0.0019440124416796323,0.0009442346145300817,0.00038880248833594866,0.004276827371695213,0.0008331481892912551,0.00011108642523882661,0.0011108642523883772,0.0007220617640524285,0.0,0.001166407465007846,0.0024439013552544075,0.00022217285047765323,0.0005554321261942441,5.554321261946882e-05,0.0012219506776272038,0.0016662963785825102,0.0006665185514330707,0.0005554321261942441,0.00038880248833594866,5.554321261946882e-05,0.0006665185514330707
Rando train Iter 9,0.0013330371028660304,0.004943345923128173,0.01755165518773605,0.01882914907798272,0.015718729171295243,0.001721839591201979,0.005443234836702948,0.01010886469673411,0.032826038658075984,0.00910908686958456,0.005554321261941775,0.015663185958675885,0.005109975560986468,0.0062208398133748455,0.014330148855809854,0.008609197956009784,0.00572095089980007,0.009831148633636988,0.008053765829815651,0.0,0.0318818040435459,0.02121750722061766,0.014552321706287508,0.0015552099533436836,0.0121084203510331,0.014330148855809854,0.0021661852921572855,0.013774716729615721,0.014274605643190386,0.0012774938902466726,0.0016662963785825102,0.0,0.0134970006665186,0.0013330371028660304,0.0004443457009554175,0.00038880248833594866,0.0,0.0012774938902466726,0.0016662963785825102,0.0205509886691847,0.018773605865363252,0.0021661852921572855,0.0010553210397690194,0.0044990002221728664,0.0007776049766718973,0.0016662963785825102,0.0006109753388136019,0.00038880248833594866,0.003499222395023316,0.0007220617640524285,0.0005554321261942441,0.0010553210397690194,0.0004998889135747753,0.0,0.0008331481892912551,0.0021661852921572855,0.0004998889135747753,0.00038880248833594866,5.554321261946882e-05,0.0013885803154854992,0.0015552099533436836,0.0008331481892912551,0.0007220617640524285,0.00016662963785829543,-5.5543212619357796e-05,0.0004998889135747753
