,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando train Iter 0,0.003268710550045073,0.009411632100991829,0.018541478809738443,0.026544183949503974,0.01955590622182135,0.003155996393146898,0.009411632100991829,0.011271415689810604,0.04891794409377814,0.018654192966636507,0.009017132551848439,0.02073940486925152,0.006875563570784449,0.006875563570784449,0.026544183949503974,0.010595130748422,0.011102344454463453,0.01995040577096474,0.01527276825969337,0.0,0.04581830477908022,0.028347610459873662,0.0215284039675383,0.002366997294860229,0.02485347159603246,0.02800946798917936,0.002479711451758293,0.020119477006311892,0.02271190261496836,0.0023106402164111417,0.001690712353471513,0.0,0.028291253381424686,0.0025360685302073804,0.0006199278629395177,0.000788999098286669,0.0,0.001972497745716839,0.0016343552750225365,0.02248647430117212,0.024233543733092833,0.0030996393146979218,0.001296212804328123,0.005015779981965673,0.002197926059512967,0.004057709648331742,0.0016343552750225365,0.0013525698827772104,0.0038322813345356144,0.0026487826871054443,0.0011271415689809716,0.0014089269612262978,5.6357078448976416e-05,0.0,0.001690712353471513,0.0028178539224525956,0.0001690712353471513,0.00028178539224521515,0.0,0.0019161406672677517,0.0032123534715959856,0.001690712353471513,0.0015216411181243616,0.0007326420198375816,0.0001690712353471513,0.0009017132551848439
Rando train Iter 1,0.0032123534715959856,0.0087917042380522,0.017470694319206448,0.030432822362488676,0.017696122633002687,0.0037195671776374395,0.008848061316501288,0.0123422001803426,0.04824165915238954,0.018935978358881833,0.009749774571686132,0.019724977457168613,0.00743913435527499,0.007889990982867356,0.025980613165013433,0.011102344454463453,0.010651487826870976,0.01882326420198377,0.014765554553651916,0.0,0.04548016230838592,0.02840396753832275,0.022261045987375994,0.001690712353471513,0.02507889990982859,0.026995040577096452,0.0025360685302073804,0.018879621280432746,0.02389540126239853,0.0019161406672677517,0.002085211902614903,0.0,0.02744589720468882,0.001577998196573449,0.00045085662759236644,0.0009017132551848439,0.0,0.0020288548241658155,0.0019161406672677517,0.022204688908926906,0.024571686203787135,0.002874211000901683,0.0013525698827772104,0.004339495040577068,0.002085211902614903,0.0036068530207393756,0.0014652840396752742,0.001183498647430059,0.0029305680793506594,0.0025360685302073804,0.0014089269612262978,0.0009017132551848439,0.00028178539224521515,0.0,0.0020288548241658155,0.002874211000901683,0.0005072137060414539,0.000394499549143279,-5.635707844908744e-05,0.001972497745716839,0.002874211000901683,0.001690712353471513,0.0018034265103696878,0.000788999098286669,0.0001690712353471513,0.001183498647430059
Rando train Iter 2,0.0030996393146979218,0.008566275924256073,0.01820333633904414,0.028516681695220814,0.018372407574391292,0.0030996393146979218,0.00958070333633898,0.01194770063119921,0.04914337240757438,0.018372407574391292,0.009298917944093765,0.02214833183047782,0.007100991884580687,0.006875563570784449,0.026938683498647364,0.009467989179440917,0.012004057709648297,0.018710550045085594,0.016118124436429127,0.0,0.04880522993687997,0.02862939585211899,0.022204688908926906,0.001690712353471513,0.02406447249774568,0.025586113615870043,0.001972497745716839,0.018146979260595053,0.022430117222723145,0.0014652840396752742,0.0018034265103696878,0.0,0.028911181244364204,0.0019161406672677517,0.0005072137060414539,0.0007326420198375816,0.0,0.001690712353471513,0.002197926059512967,0.024008115419296594,0.02366997294860229,0.0029305680793506594,0.0010144274120829078,0.0045085662759242195,0.0025360685302073804,0.003550495942290288,0.001690712353471513,0.0010707844905319952,0.003775924256086527,0.002479711451758293,0.0009580703336338203,0.0010144274120829078,0.0005635707844904303,0.0,0.0014652840396752742,0.0030996393146979218,0.0005072137060414539,0.0005635707844904303,5.6357078448976416e-05,0.0018034265103696878,0.003268710550045073,0.0019161406672677517,0.0018034265103696878,0.0006762849413886052,0.00028178539224521515,0.0009580703336338203
Rando train Iter 3,0.0033250676284940495,0.008735347159603224,0.018935978358881833,0.028347610459873662,0.01859783588818753,0.0038322813345356144,0.009524346257889893,0.01115870153291243,0.04903065825067621,0.01842876465284038,0.009467989179440917,0.01955590622182135,0.007777276825969293,0.007270063119927839,0.02817853922452651,0.010087917042380434,0.0123422001803426,0.01820333633904414,0.016174481514878214,0.0,0.0494251577998196,0.029080252479711355,0.02333183047790799,0.002085211902614903,0.024233543733092833,0.026206041478809672,0.0018597835888186642,0.019105049594228984,0.02389540126239853,0.002085211902614903,0.0019161406672677517,0.0,0.02665689810640215,0.0019161406672677517,0.00045085662759236644,0.0005635707844904303,0.0,0.0018034265103696878,0.001577998196573449,0.021979260595130667,0.02412082957619477,0.0030432822362488343,0.0015216411181243616,0.004339495040577068,0.0024233543733092056,0.0030996393146979218,0.001577998196573449,0.0011271415689809716,0.003381424706943137,0.0022542831379620543,0.0013525698827772104,0.0010144274120829078,0.00028178539224521515,0.0,0.0023106402164111417,0.003155996393146898,0.0005072137060414539,0.0006199278629395177,0.0,0.0019161406672677517,0.002366997294860229,0.001690712353471513,0.0017470694319206004,0.0005635707844904303,0.00028178539224521515,0.0010707844905319952
Rando train Iter 4,0.0030432822362488343,0.008622633002705049,0.01780883678990075,0.029136609558160442,0.019330477908025223,0.0037195671776374395,0.009749774571686132,0.011327772768259692,0.046889089269612216,0.017865193868349838,0.008960775473399352,0.02057033363390437,0.006706492335437297,0.007946348061316444,0.0285730387736699,0.010933273219116302,0.011496844003606843,0.017752479711451663,0.015779981965734824,0.0,0.044747520288548226,0.028911181244364204,0.021584761045987277,0.0019161406672677517,0.024515329125338048,0.027107754733994516,0.0021415689810639904,0.019105049594228984,0.023557258791704228,0.0022542831379620543,0.002197926059512967,0.0,0.02722046889089269,0.002197926059512967,0.0006199278629395177,0.0007326420198375816,0.0,0.001690712353471513,0.001577998196573449,0.02310640216411175,0.0246844003606852,0.0029305680793506594,0.0011271415689809716,0.005128494138863737,0.002479711451758293,0.0036068530207393756,0.001972497745716839,0.0009580703336338203,0.003663210099188352,0.0026487826871054443,0.0012398557258791465,0.0008453561767357565,0.00045085662759236644,0.0,0.0020288548241658155,0.0034377817853922243,0.000394499549143279,0.0006199278629395177,5.6357078448976416e-05,0.001577998196573449,0.0027051397655545317,0.0017470694319206004,0.0014652840396752742,0.000788999098286669,0.0,0.000788999098286669
Rando train Iter 5,0.002986925157799747,0.009129846708746614,0.018485121731289356,0.028347610459873662,0.017921550946798814,0.0034377817853922243,0.00980613165013522,0.012454914337240663,0.046945446348061304,0.018541478809738443,0.00918620378719559,0.021584761045987277,0.008002705139765531,0.007664562669071229,0.02761496844003597,0.01036970243462576,0.011609558160504907,0.018879621280432746,0.015441839495040521,0.0,0.045705590622182046,0.028122182146077535,0.022204688908926906,0.0015216411181243616,0.024628043282236223,0.025586113615870043,0.002085211902614903,0.019443192064923287,0.02406447249774568,0.0018597835888186642,0.002366997294860229,0.0,0.02936203787195668,0.001972497745716839,0.0006199278629395177,0.0009580703336338203,0.0,0.0019161406672677517,0.0021415689810639904,0.024177186654643745,0.025022542831379613,0.0027051397655545317,0.0010144274120829078,0.004959422903516586,0.0025360685302073804,0.0033250676284940495,0.001577998196573449,0.0009580703336338203,0.0034941388638412008,0.003268710550045073,0.0010707844905319952,0.0010707844905319952,0.00028178539224521515,0.0,0.0018034265103696878,0.003268710550045073,0.000394499549143279,0.0006199278629395177,0.0,0.001690712353471513,0.0032123534715959856,0.001577998196573449,0.0014652840396752742,0.0006199278629395177,0.00028178539224521515,0.001183498647430059
Rando train Iter 6,0.002592425608656357,0.009073489630297527,0.01882326420198377,0.02784039675383221,0.018766907123534682,0.0034941388638412008,0.009467989179440917,0.011834986474301146,0.04745266005410276,0.019105049594228984,0.009524346257889893,0.02135933273219115,0.007495491433723966,0.00743913435527499,0.026769612263300213,0.011496844003606843,0.012229486023444536,0.01820333633904414,0.015498196573489609,0.0,0.048298016230838514,0.0282348963029756,0.023219116321009814,0.0018034265103696878,0.024346257889990897,0.027276825969341667,0.002197926059512967,0.02000676284941383,0.02350090171325514,0.0018597835888186642,0.002197926059512967,0.0,0.027896753832281296,0.0019161406672677517,0.0005635707844904303,0.0007326420198375816,5.6357078448976416e-05,0.0018597835888186642,0.002366997294860229,0.021810189359783516,0.025191614066726764,0.002761496844003508,0.0015216411181243616,0.004395852119026045,0.0022542831379620543,0.004057709648331742,0.0014089269612262978,0.001296212804328123,0.0041140667267808295,0.0022542831379620543,0.0011271415689809716,0.0011271415689809716,0.0006762849413886052,0.0,0.0018034265103696878,0.003775924256086527,0.000394499549143279,0.0005635707844904303,0.0,0.0020288548241658155,0.0022542831379620543,0.001577998196573449,0.0016343552750225365,0.0007326420198375816,0.0,0.0009017132551848439
Rando train Iter 7,0.003155996393146898,0.008678990081154137,0.018766907123534682,0.02784039675383221,0.0193868349864742,0.0033250676284940495,0.009355275022542742,0.010933273219116302,0.04722723174030652,0.018766907123534682,0.009017132551848439,0.020288548241659043,0.007777276825969293,0.007889990982867356,0.027164111812443603,0.010087917042380434,0.01155320108205582,0.018259693417493228,0.014596483318304765,0.0,0.04841073038773669,0.02722046889089269,0.021866546438232604,0.0023106402164111417,0.02372633002705138,0.026882326420198277,0.002085211902614903,0.01995040577096474,0.023388187556357076,0.0020288548241658155,0.0014089269612262978,0.0,0.029700180342650984,0.0023106402164111417,0.0005072137060414539,0.000788999098286669,5.6357078448976416e-05,0.0020288548241658155,0.0018034265103696878,0.0232754733994589,0.025135256988277677,0.0026487826871054443,0.0014089269612262978,0.004057709648331742,0.0025360685302073804,0.0030996393146979218,0.0014652840396752742,0.0010707844905319952,0.004395852119026045,0.002874211000901683,0.0012398557258791465,0.0011271415689809716,0.0005072137060414539,0.0,0.002085211902614903,0.003550495942290288,0.000394499549143279,0.0005635707844904303,-5.635707844908744e-05,0.0017470694319206004,0.003775924256086527,0.0015216411181243616,0.0017470694319206004,0.00045085662759236644,0.00011271415689806386,0.001183498647430059
Rando train Iter 8,0.0030996393146979218,0.008340847610459834,0.018316050495942204,0.028854824165915227,0.01961226330027044,0.0030996393146979218,0.008848061316501288,0.01155320108205582,0.04733994589720458,0.01899233543733092,0.009242560865644678,0.020626690712353457,0.00743913435527499,0.00743913435527499,0.026318755635707736,0.010595130748422,0.011778629395852058,0.017583408476104512,0.015216411181244283,0.0,0.04880522993687997,0.029812894499549047,0.022824616771866535,0.0020288548241658155,0.024628043282236223,0.026206041478809672,0.001972497745716839,0.019443192064923287,0.023219116321009814,0.0017470694319206004,0.001972497745716839,0.0,0.02800946798917936,0.002366997294860229,0.0005635707844904303,0.000788999098286669,0.0,0.001972497745716839,0.0023106402164111417,0.02192290351668169,0.024346257889990897,0.002761496844003508,0.0016343552750225365,0.004733994589720458,0.0023106402164111417,0.0032123534715959856,0.001690712353471513,0.001183498647430059,0.003775924256086527,0.0026487826871054443,0.0015216411181243616,0.0012398557258791465,0.000394499549143279,0.0,0.0018597835888186642,0.002986925157799747,0.0003381424706943026,0.0005072137060414539,5.6357078448976416e-05,0.0019161406672677517,0.002592425608656357,0.0014652840396752742,0.001296212804328123,0.0006199278629395177,0.0001690712353471513,0.0009580703336338203
Rando train Iter 9,0.0030432822362488343,0.008453561767357898,0.018654192966636507,0.02817853922452651,0.018710550045085594,0.003268710550045073,0.009017132551848439,0.01211677186654636,0.04643823264201974,0.01842876465284038,0.008566275924256073,0.02034490532010813,0.006762849413886274,0.0070446348061316,0.027558611361586993,0.011045987376014366,0.011496844003606843,0.018146979260595053,0.016681695220919668,0.0,0.047903516681695124,0.02817853922452651,0.02231740306582497,0.0019161406672677517,0.024571686203787135,0.02784039675383221,0.001972497745716839,0.01978133453561759,0.02350090171325514,0.001972497745716839,0.0020288548241658155,0.0,0.02879846708746614,0.0018597835888186642,0.0005072137060414539,0.0008453561767357565,0.0,0.0021415689810639904,0.001577998196573449,0.02288097385031551,0.02445897204688907,0.003155996393146898,0.001577998196573449,0.004339495040577068,0.0028178539224525956,0.0030432822362488343,0.001577998196573449,0.0015216411181243616,0.003155996393146898,0.002479711451758293,0.001183498647430059,0.0006762849413886052,0.0003381424706943026,0.0,0.001972497745716839,0.0030996393146979218,0.0003381424706943026,0.0006762849413886052,-5.635707844908744e-05,0.0019161406672677517,0.0024233543733092056,0.001296212804328123,0.001690712353471513,0.00045085662759236644,0.0002254283137961277,0.0010707844905319952
