,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
Decis train Iter 0,0.00016236402013314333,0.00941711316772198,0.031498619905828806,0.013530335011094796,0.04270173729501536,0.0007576987606212615,0.0023272176219082397,0.010120690588298897,0.003030795042485157,0.010824268008875815,0.003950857823239673,0.019646046436109676,0.001515397521242523,0.0013530335011094907,0.042485251934837875,0.03983330627266324,0.006494560805325511,0.056177950966065815,0.02397575363966009,0.0,0.010499539968609528,0.013584456351139251,0.0047085565838609345,0.00021648536017748743,0.03079504248525189,0.033068138767115784,0.003463765762840243,0.03896736483195318,0.008605293067056263,0.00037884938031063076,5.41213400443441e-05,0.0,0.040158034312929525,0.00032472804026617563,0.0,0.0,0.0,0.0001082426800886882,0.0010824268008875482,0.06310548249174641,0.05742274178708662,0.0009741841207987489,0.0,0.005087405964171676,0.0005412134004437741,0.003084916382529612,0.0,0.00021648536017748743,0.00032472804026617563,0.00016236402013314333,0.001028305460843204,0.00016236402013314333,0.0008118201006656056,0.0,0.00043297072035497486,0.00048709206039931896,0.0,0.0,0.0,0.0015695188612869782,0.0007035774205769174,5.41213400443441e-05,0.00021648536017748743,0.0001082426800886882,0.0,0.00032472804026617563,0.03891324349190883,0.014829247172159943,0.018888347675488415,0.07652757482275252,0.004600313903772246,0.03561184174920162,0.003409644422795899,0.012610272230340391,0.007576987606213059,0.011148996049142101,0.02300156951886123,0.005033284624127221,0.015965795313091946,0.0031931590626183004,0.0001082426800886882,0.0,0.13438328733019422,0.016236402013313778,0.05406721870433506,0.013909184391405427,0.010932510688964614,0.022081506738106826,0.04670671645829949,0.006386318125236712,0.041619310494127815,0.02408399631974878,0.025761757861124557,0.06564918547383225,0.01758943551442327,0.015262217892514918,0.007468744926124371,0.013422092331006108,0.052876549223358715,0.0015695188612869782,0.01223142285002976,0.00952535584781078,0.009633598527899467,0.001461276181198179,0.004004979163284017,0.01174433078963033,0.0986632029009038,0.023434540239216317,0.005845104724792938,0.028521946203387993,0.06748931103534117,0.011960816149807818,0.017805920874600756,0.018671862315310928,0.016669372733668864,0.03804730205119877,0.006169832765059224,0.00893002110732255,0.0027601883422633255,0.014937489852248742,0.018401255615088985,0.005087405964171676,0.003950857823239673,0.016831736753802007,5.41213400443441e-05,0.00021648536017748743,0.006332196785192368,0.01856361963522213,0.06218541971099201,0.002543702982085838,0.00990420522812141,0.021432050657574253
Decis train Iter 1,0.00016236402013314333,0.009092385127455693,0.02911728094387611,0.013367970990961653,0.043946528116036054,0.0005953347404881182,0.0022730962818638956,0.01087838934892027,0.003030795042485157,0.010553661308653983,0.004059100503328361,0.021053201277263622,0.0016236402013313223,0.0012989121610650356,0.04096985441359524,0.04145694647399467,0.006278075445148024,0.05525788818531141,0.02310981219895003,0.0,0.00990420522812141,0.013476213671050452,0.00514152730421602,0.00032472804026617563,0.02884667424365417,0.035395356389024135,0.003517887102884587,0.039183850192130665,0.008009958326568145,0.00043297072035497486,5.41213400443441e-05,0.0,0.04048276235319581,0.00027060670022183153,0.0,0.0,0.0,0.0,0.001028305460843204,0.06261839043134698,0.057260377766953474,0.0017318828814201215,0.0,0.004600313903772246,0.00021648536017748743,0.0026519456621745263,0.0,0.00043297072035497486,0.00021648536017748743,0.00021648536017748743,0.001461276181198179,0.00021648536017748743,0.0007035774205769174,0.0,5.41213400443441e-05,0.00016236402013314333,0.0,0.0,0.0,0.0012447908210206915,0.00043297072035497486,0.0,0.00016236402013314333,0.00016236402013314333,0.0,0.00032472804026617563,0.03912972885208632,0.01591167397304749,0.017535314174378924,0.07506629864155434,0.004437949883639103,0.03664014721004483,0.0033555230827514437,0.013638577691183595,0.009146506467500037,0.010553661308653983,0.023434540239216317,0.005303891324349164,0.016344644693402577,0.0037884938031065296,5.41213400443441e-05,5.41213400443441e-05,0.1303783081669102,0.01591167397304749,0.053471883963846945,0.013259728310872965,0.011148996049142101,0.024138117659793235,0.04475834821670177,0.005953347404881737,0.04145694647399467,0.026086485901390843,0.027547762082589133,0.06721870433511934,0.01650700871353572,0.01407154841153857,0.00795583698652369,0.013476213671050452,0.050657574281539164,0.0016777615413756664,0.01174433078963033,0.008875899767278206,0.011148996049142101,0.0014071548411538348,0.005033284624127221,0.0112572387292309,0.09952914434161386,0.023867510959571292,0.006278075445148024,0.030253829084808115,0.06667749093467545,0.010607782648698327,0.01894246901553276,0.018401255615088985,0.01650700871353572,0.03799318071115432,0.007306380905991228,0.008226443686745633,0.0026519456621745263,0.014450397791849312,0.019158954375710247,0.00476267792390539,0.0037884938031065296,0.014396276451804857,0.0001082426800886882,0.00032472804026617563,0.006278075445148024,0.018130648914867042,0.06169832765059258,0.0025978243221301822,0.010228933268387697,0.022893326838772432
Decis train Iter 2,0.00016236402013314333,0.008767657087189407,0.030037343724630516,0.012664393570384735,0.043567678735725424,0.0007035774205769174,0.0021648536017750963,0.010607782648698327,0.002976673702440813,0.009687719867943922,0.004383828543594648,0.021594414677707396,0.0017860042214644656,0.0016236402013313223,0.04145694647399467,0.04059100503328461,0.006656924825458654,0.05969583806895051,0.02116144395735231,0.0,0.00979596254803261,0.012610272230340391,0.004816799263949734,0.00021648536017748743,0.029279644964009255,0.03631541916977854,0.004329707203550304,0.03956269957244141,0.008172322346701288,0.00048709206039931896,5.41213400443441e-05,0.0,0.039779184932618894,0.0001082426800886882,0.0,0.0,0.0,0.0,0.0009741841207987489,0.06121123559019315,0.05828868322779668,0.0015695188612869782,0.0,0.0051956486442603644,0.0005412134004437741,0.002489581642041383,0.0,0.00027060670022183153,0.00027060670022183153,5.41213400443441e-05,0.0012989121610650356,0.00016236402013314333,0.0006494560805324623,0.0,0.00016236402013314333,0.00048709206039931896,0.0,0.0,0.0,0.001515397521242523,0.0009741841207987489,0.0,0.0,0.00021648536017748743,0.0,0.00037884938031063076,0.03999567029279638,0.01601991665313629,0.018401255615088985,0.07144016885858084,0.0047085565838609345,0.03371759484764836,0.0036802511230177304,0.01320560697082851,0.007576987606213059,0.010716025328787127,0.022785084158683744,0.004816799263949734,0.01591167397304749,0.0037884938031065296,0.00016236402013314333,0.0001082426800886882,0.12962060940628883,0.015695188612870004,0.05352600530389129,0.013638577691183595,0.010986632029008958,0.022947448178816887,0.04416301347621365,0.004925041944038533,0.04291822265519285,0.024408724360015066,0.026627699301834618,0.06884234453645066,0.016452887373491265,0.015370460572603717,0.009471234507766324,0.013313849650917309,0.052497699843048085,0.0012989121610650356,0.010445418628565184,0.008984142447366894,0.010445418628565184,0.0016236402013313223,0.005033284624127221,0.011148996049142101,0.10077393516263455,0.024408724360015066,0.004546192563727791,0.028034854142988563,0.06803052443578494,0.010716025328787127,0.016452887373491265,0.01845537695513333,0.017156464794068294,0.03961682091248575,0.006061590084970425,0.008497050386967575,0.002381338961952695,0.014937489852248742,0.019158954375710247,0.005574498024570995,0.0033555230827514437,0.01591167397304749,0.00016236402013314333,0.00027060670022183153,0.006819288845591798,0.01786004221464521,0.06429615197272276,0.002381338961952695,0.01028305460843204,0.022460356118417457
Decis train Iter 3,0.00016236402013314333,0.008226443686745633,0.029766737024408685,0.012502029550251592,0.04389240677599171,0.00037884938031063076,0.002056610921686408,0.010499539968609528,0.0028143096823076696,0.010661903988742671,0.003463765762840243,0.021323807977485454,0.0023272176219082397,0.001461276181198179,0.03956269957244141,0.03912972885208632,0.006927531525680486,0.05720625642690913,0.021973264058018027,0.0,0.010337175948476385,0.012610272230340391,0.004816799263949734,0.00027060670022183153,0.0305785571250744,0.03523299236889099,0.0033555230827514437,0.04032039833306267,0.007793472966390547,0.0006494560805324623,5.41213400443441e-05,0.0,0.03858851545164255,0.0005412134004437741,5.41213400443441e-05,0.0,0.0,0.0,0.0011365481409318923,0.062023055690858864,0.05980408074903931,0.0017318828814201215,0.0,0.00476267792390539,0.0005953347404881182,0.002381338961952695,0.0,0.00027060670022183153,0.00016236402013314333,0.0,0.0012447908210206915,0.0001082426800886882,0.0007576987606212615,0.0,0.00016236402013314333,0.0005412134004437741,0.0,0.0,0.0,0.0015695188612869782,0.00043297072035497486,0.0,0.0001082426800886882,5.41213400443441e-05,0.0,0.00032472804026617563,0.03912972885208632,0.016723494073713208,0.018888347675488415,0.07371326514044485,0.003896736483195329,0.03534123504897979,0.0036802511230177304,0.012447908210207248,0.007901715646479346,0.011094874709097757,0.02321805487903872,0.00476267792390539,0.01564106727282566,0.0037343724630621855,0.00037884938031063076,0.0,0.12978297342642198,0.01677761541375755,0.05504140282513392,0.013909184391405427,0.010553661308653983,0.024029874979704435,0.045894896357633774,0.006386318125236712,0.04291822265519285,0.024516967040103865,0.026357092601612786,0.06516209341343282,0.01786004221464521,0.014775125832115599,0.008334686366834432,0.012123180169940961,0.05146939438220488,0.0011906694809763474,0.011852573469719019,0.00990420522812141,0.010824268008875815,0.001461276181198179,0.004059100503328361,0.011419602749364044,0.10163987660334461,0.023867510959571292,0.005899226064837282,0.027114791362234048,0.06711046165503054,0.010553661308653983,0.018888347675488415,0.01834713427504464,0.01786004221464521,0.03858851545164255,0.006927531525680486,0.00806407966661249,0.0022189749418195515,0.015316339232559373,0.01786004221464521,0.005845104724792938,0.0036261297829733863,0.015965795313091946,0.0001082426800886882,0.00027060670022183153,0.007035774205769285,0.017643556854467612,0.06310548249174641,0.002543702982085838,0.010228933268387697,0.022406234778373113
Decis train Iter 4,0.00032472804026617563,0.00844292904692312,0.02960437300427554,0.013584456351139251,0.04243113059479353,0.00043297072035497486,0.002435460301997039,0.0113654814093197,0.0027601883422633255,0.010066569248254553,0.0042214645234615045,0.019375439735887845,0.0012989121610650356,0.0016777615413756664,0.040158034312929525,0.04059100503328461,0.0067110461655029985,0.05709801374682033,0.023163933538994375,0.0,0.00979596254803261,0.012447908210207248,0.0051956486442603644,0.00016236402013314333,0.031498619905828806,0.03604481246955671,0.0038426151431508737,0.03945445689235261,0.007901715646479346,0.00043297072035497486,5.41213400443441e-05,0.0,0.04096985441359524,0.00016236402013314333,0.0,0.0,0.0,0.0,0.0010824268008875482,0.05877577528819611,0.058613411268062965,0.0013530335011094907,0.0,0.005412134004437852,0.00048709206039931896,0.0027060670022188704,0.0,0.00037884938031063076,0.00032472804026617563,0.00027060670022183153,0.0012447908210206915,0.0001082426800886882,0.0008118201006656056,0.0,0.00016236402013314333,0.00032472804026617563,0.0,0.0,0.0,0.0009200627807544048,0.0006494560805324623,0.0,0.0,5.41213400443441e-05,0.0,0.00037884938031063076,0.039670942252530095,0.01553282459273686,0.018617740975266472,0.07382150782053354,0.004437949883639103,0.036369540509822995,0.003896736483195329,0.014450397791849312,0.008605293067056263,0.01087838934892027,0.022460356118417457,0.0052497699843047085,0.01591167397304749,0.0042214645234615045,-0.00010824268008879923,0.0,0.13043242950695455,0.016669372733668864,0.053850733344157575,0.013367970990961653,0.01087838934892027,0.022081506738106826,0.04378416409590291,0.005574498024570995,0.04465010553661308,0.024841695080370152,0.02749364074254479,0.06478324403312219,0.01699410077393515,0.013800941711316739,0.008226443686745633,0.013097364290739821,0.05293067056340306,0.001948368241597609,0.012069058829896617,0.010824268008875815,0.011148996049142101,0.001515397521242523,0.004816799263949734,0.01028305460843204,0.09952914434161386,0.02494993776045895,0.005790983384748594,0.02776424744276662,0.06813876711587374,0.010716025328787127,0.018293012935000186,0.01845537695513333,0.017697678194512068,0.038696758131731346,0.006278075445148024,0.008172322346701288,0.0027601883422633255,0.014342155111760513,0.019483682415976533,0.004979163284082877,0.0027060670022188704,0.01639876603344692,0.0001082426800886882,0.00027060670022183153,0.006602803485414199,0.01786004221464521,0.06521621475347728,0.0028143096823076696,0.0113654814093197,0.021810900037884884
Decis train Iter 5,0.00016236402013314333,0.008821778427233862,0.03079504248525189,0.013151485630784165,0.04313470801537045,0.001028305460843204,0.0021648536017750963,0.010120690588298897,0.002381338961952695,0.010932510688964614,0.0037884938031065296,0.021919142717973683,0.001515397521242523,0.0015695188612869782,0.04243113059479353,0.04129458245386153,0.006873410185636142,0.05542025220544455,0.022352113438328658,0.0,0.009850083888077066,0.012339665530118449,0.0047085565838609345,0.00027060670022183153,0.030416193104941258,0.03604481246955671,0.004113221843372816,0.039183850192130665,0.007089895545813629,0.00032472804026617563,5.41213400443441e-05,0.0,0.03902148617199752,0.00037884938031063076,0.0,0.0,0.0,0.0,0.0012447908210206915,0.06039941548952743,0.05915462466850674,0.0013530335011094907,0.0,0.004816799263949734,0.0007035774205769174,0.002976673702440813,0.0,0.00037884938031063076,5.41213400443441e-05,0.00016236402013314333,0.001515397521242523,0.00021648536017748743,0.0007576987606212615,0.0,0.00021648536017748743,0.00032472804026617563,0.0,0.0,0.0,0.001461276181198179,0.0005953347404881182,0.0,0.00016236402013314333,0.00016236402013314333,0.0,0.00048709206039931896,0.0384261514315094,0.016723494073713208,0.01823889159495584,0.07571575472208691,0.004329707203550304,0.03593656978946791,0.003572008442929042,0.013151485630784165,0.00893002110732255,0.010932510688964614,0.0225144774584618,0.005033284624127221,0.015695188612870004,0.0037884938031065296,0.0001082426800886882,5.41213400443441e-05,0.13108188558748712,0.015695188612870004,0.05222709314282614,0.013746820371272395,0.01087838934892027,0.02273096281863929,0.04270173729501536,0.005033284624127221,0.043567678735725424,0.025220544460680783,0.027060670022189703,0.0654868214536991,0.01710234345402384,0.014558640471938,0.009200627807544492,0.012069058829896617,0.051415273042160425,0.001461276181198179,0.012393786870162904,0.00952535584781078,0.010337175948476385,0.0015695188612869782,0.004816799263949734,0.010607782648698327,0.10163987660334461,0.024408724360015066,0.005682740704659794,0.028305460843210395,0.06564918547383225,0.011203117389186557,0.017156464794068294,0.01775179953455641,0.017805920874600756,0.03864263679168689,0.006927531525680486,0.008118201006656833,0.002976673702440813,0.014233912431671714,0.01775179953455641,0.004600313903772246,0.0037884938031065296,0.01737295015424578,0.00021648536017748743,0.00027060670022183153,0.006602803485414199,0.018184770254911498,0.06245602641121384,0.0026519456621745263,0.010661903988742671,0.02321805487903872
Decis train Iter 6,0.00021648536017748743,0.00952535584781078,0.030849163825296233,0.013043242950695366,0.04567841099745629,0.00043297072035497486,0.0018401255615088097,0.010174811928343241,0.0031931590626183004,0.010986632029008958,0.004492071223683447,0.021377929317529798,0.0022730962818638956,0.0018942469015532648,0.041889917194349646,0.04178167451426096,0.007306380905991228,0.0554743735454889,0.021702657357796085,0.0,0.010120690588298897,0.012447908210207248,0.0051956486442603644,0.0001082426800886882,0.03117389186556252,0.03480002164853602,0.0036802511230177304,0.03940033555230826,0.007847594306435002,0.00027060670022183153,5.41213400443441e-05,0.0,0.04037451967310701,0.00032472804026617563,0.0,0.0,0.0,5.41213400443441e-05,0.0010824268008875482,0.06061590084970503,0.05964171672890617,0.0012447908210206915,0.0,0.004600313903772246,0.00048709206039931896,0.0032472804026627555,0.0,0.00027060670022183153,0.00032472804026617563,0.00016236402013314333,0.0012989121610650356,0.0001082426800886882,0.0008659414407100607,0.0,0.00016236402013314333,0.0007035774205769174,0.0,0.0,0.0,0.001515397521242523,0.0008659414407100607,0.0,0.00032472804026617563,0.00016236402013314333,0.0,0.00021648536017748743,0.03810142339124312,0.01677761541375755,0.01970016777615413,0.07409211452075548,0.003950857823239673,0.035503599069112934,0.003463765762840243,0.012935000270606678,0.008226443686745633,0.010932510688964614,0.02154029333766294,0.005033284624127221,0.015803431292958803,0.003463765762840243,5.41213400443441e-05,5.41213400443441e-05,0.12994533744655512,0.016561130053580064,0.05428370406451255,0.013151485630784165,0.010553661308653983,0.0226227201385506,0.04389240677599171,0.005574498024570995,0.04226876657466039,0.02408399631974878,0.02727715538236719,0.06451263733290036,0.017914163554689555,0.014450397791849312,0.008497050386967575,0.014612761811982455,0.052118850462737454,0.0017318828814201215,0.012069058829896617,0.010228933268387697,0.01077014666883147,0.001515397521242523,0.004383828543594648,0.011798452129674675,0.10147751258321147,0.024787573740325808,0.004816799263949734,0.030362071764896803,0.06700221897494174,0.010337175948476385,0.01905071169562156,0.01775179953455641,0.017156464794068294,0.03826378741137626,0.006440439465281056,0.0076852302863018584,0.0022730962818638956,0.0146668831520268,0.018293012935000186,0.0052497699843047085,0.003572008442929042,0.014937489852248742,0.0,0.00032472804026617563,0.007576987606213059,0.01872598365535527,0.06186069167072572,0.0028143096823076696,0.010661903988742671,0.023380418899171862
Decis train Iter 7,0.00021648536017748743,0.008713535747145063,0.030903285165340688,0.012556150890296047,0.04226876657466039,0.00032472804026617563,0.0031390377225739563,0.010661903988742671,0.0033555230827514437,0.011040753369053413,0.004004979163284017,0.021486171997618597,0.0012989121610650356,0.0017860042214644656,0.041023975753639585,0.04107809709368404,0.006981652865724941,0.055799101585755184,0.0226227201385506,0.0,0.010499539968609528,0.012393786870162904,0.004600313903772246,0.00021648536017748743,0.03133625588569566,0.03436705092818093,0.0031390377225739563,0.040049791632840726,0.008497050386967575,0.00037884938031063076,0.0,0.0,0.03902148617199752,0.00021648536017748743,0.0,0.0,0.0,5.41213400443441e-05,0.001028305460843204,0.06516209341343282,0.05834280456784102,0.0011906694809763474,0.0,0.0052497699843047085,0.00043297072035497486,0.0028143096823076696,0.0,0.00021648536017748743,0.0001082426800886882,0.00016236402013314333,0.001515397521242523,0.0001082426800886882,0.0007035774205769174,0.0,0.00027060670022183153,0.00048709206039931896,0.0,0.0,0.0,0.0013530335011094907,0.00048709206039931896,0.0,0.00021648536017748743,0.0001082426800886882,0.0,0.00037884938031063076,0.03604481246955671,0.01601991665313629,0.019862531796287275,0.07512041998159869,0.005033284624127221,0.03593656978946791,0.0033014017427070996,0.013422092331006108,0.007901715646479346,0.011148996049142101,0.021865021377929228,0.005087405964171676,0.01504573253233743,0.002976673702440813,-5.4121340044455124e-05,0.0,0.13438328733019422,0.015478703252692516,0.05504140282513392,0.013909184391405427,0.01087838934892027,0.02273096281863929,0.04519131893705686,0.005412134004437852,0.044054770796124854,0.025382908480813926,0.028197218163121707,0.0646750013530335,0.01688585809384635,0.014233912431671714,0.008334686366834432,0.01407154841153857,0.05071169562158351,0.0017860042214644656,0.012880878930562223,0.00930887048763318,0.010066569248254553,0.0014071548411538348,0.0042214645234615045,0.010986632029008958,0.10396709422525297,0.023921632299615636,0.0051956486442603644,0.028197218163121707,0.06981652865724952,0.0112572387292309,0.01699410077393515,0.016831736753802007,0.016290523353358233,0.03994154895275204,0.006548682145369855,0.007847594306435002,0.0025978243221301822,0.012772636250473535,0.019646046436109676,0.005412134004437852,0.00416734318341716,0.015803431292958803,0.0001082426800886882,0.00032472804026617563,0.007901715646479346,0.01748119283433458,0.06315960383179087,0.0027060670022188704,0.010986632029008958,0.022352113438328658
Decis train Iter 8,0.00027060670022183153,0.007576987606213059,0.02960437300427554,0.013638577691183595,0.044325377496346796,0.0006494560805324623,0.0022730962818638956,0.01039129728852084,0.0026519456621745263,0.010445418628565184,0.004329707203550304,0.02164853601775174,0.001515397521242523,0.0012447908210206915,0.04329707203550359,0.040158034312929525,0.007468744926124371,0.05682740704659839,0.021702657357796085,0.0,0.009687719867943922,0.013097364290739821,0.005033284624127221,0.00021648536017748743,0.03176922660605075,0.03425880824809213,0.0037884938031065296,0.03961682091248575,0.007360502246035572,0.00048709206039931896,0.0,0.0,0.040536883693240156,0.0005412134004437741,0.0,0.0,0.0,0.0,0.0009741841207987489,0.062401905071169494,0.05845104724792982,0.0017318828814201215,0.0,0.004113221843372816,0.0005412134004437741,0.0031931590626183004,0.0,0.00037884938031063076,0.00021648536017748743,0.0001082426800886882,0.0009200627807544048,5.41213400443441e-05,0.0008659414407100607,0.0,0.00016236402013314333,0.00048709206039931896,0.0,0.0,0.0,0.0013530335011094907,0.0008118201006656056,0.0,0.00021648536017748743,5.41213400443441e-05,0.0,0.0005953347404881182,0.037343724630621855,0.01650700871353572,0.019158954375710247,0.073875629160578,0.004383828543594648,0.03339286680738207,0.0028684310223520137,0.012393786870162904,0.008334686366834432,0.0113654814093197,0.022460356118417457,0.005033284624127221,0.016236402013313778,0.004004979163284017,0.00027060670022183153,0.0,0.12929588136602255,0.01515397521242623,0.053742490664068776,0.012880878930562223,0.011419602749364044,0.022352113438328658,0.043567678735725424,0.004925041944038533,0.04232288791470473,0.02419223899983758,0.02922552362396491,0.06435027331276721,0.01710234345402384,0.014829247172159943,0.007847594306435002,0.013422092331006108,0.05271418520322557,0.0017860042214644656,0.012339665530118449,0.009633598527899467,0.00979596254803261,0.0012989121610650356,0.004437949883639103,0.011094874709097757,0.10071981382259021,0.023867510959571292,0.005466255344482307,0.0260323645613465,0.06884234453645066,0.012989121610651022,0.01699410077393515,0.016669372733668864,0.017210586134112638,0.03658602587000048,0.006981652865724941,0.009579477187855123,0.0026519456621745263,0.015749309952914348,0.01905071169562156,0.0051956486442603644,0.003896736483195329,0.01710234345402384,5.41213400443441e-05,0.00032472804026617563,0.007035774205769285,0.01737295015424578,0.06272663311143578,0.0027060670022188704,0.010174811928343241,0.02202738539806237
Decis train Iter 9,0.00016236402013314333,0.009254749147588837,0.029442008984142398,0.012177301509985305,0.04546192563727869,0.0005953347404881182,0.002002489581641953,0.010716025328787127,0.0026519456621745263,0.011148996049142101,0.004383828543594648,0.02116144395735231,0.0017318828814201215,0.001461276181198179,0.04167343183417216,0.03885912215186438,0.007360502246035572,0.05698977106673153,0.022352113438328658,0.0,0.009687719867943922,0.013584456351139251,0.00514152730421602,0.00021648536017748743,0.03133625588569566,0.03642366184986734,0.0038426151431508737,0.03837203009146506,0.008334686366834432,0.00048709206039931896,5.41213400443441e-05,0.0,0.039292092872219464,0.0001082426800886882,5.41213400443441e-05,0.0,0.0,0.0,0.0009741841207987489,0.06462088001298905,0.060074687449261144,0.001948368241597609,0.0,0.0047085565838609345,0.00037884938031063076,0.002056610921686408,0.0,0.0001082426800886882,0.00027060670022183153,0.0001082426800886882,0.001461276181198179,0.00016236402013314333,0.0006494560805324623,0.0,0.00021648536017748743,0.0005412134004437741,0.0,0.0,0.0,0.0013530335011094907,0.0005953347404881182,5.41213400443441e-05,0.00021648536017748743,0.00021648536017748743,0.0,0.00032472804026617563,0.038805000811820034,0.01553282459273686,0.019862531796287275,0.07382150782053354,0.004113221843372816,0.035503599069112934,0.0031390377225739563,0.013422092331006108,0.007793472966390547,0.010986632029008958,0.021919142717973683,0.005358012664393508,0.016831736753802007,0.0037343724630621855,0.0,0.0,0.13416680197001674,0.01601991665313629,0.05477079612491198,0.013422092331006108,0.00990420522812141,0.02202738539806237,0.04427125615630234,0.005412134004437852,0.04373004275585857,0.024787573740325808,0.026681820641879073,0.0670563403149862,0.01748119283433458,0.015262217892514918,0.007793472966390547,0.012664393570384735,0.05184824376251551,0.0018942469015532648,0.012014937489852162,0.00952535584781078,0.010716025328787127,0.0013530335011094907,0.0047085565838609345,0.010499539968609528,0.09823023218054872,0.02348866157926066,0.005953347404881737,0.02825133950316605,0.06846349515614003,0.010499539968609528,0.017643556854467612,0.018184770254911498,0.01748119283433458,0.03950857823239695,0.006927531525680486,0.008172322346701288,0.0022189749418195515,0.015208096552470574,0.01845537695513333,0.005087405964171676,0.0038426151431508737,0.01710234345402384,5.41213400443441e-05,0.0001082426800886882,0.006494560805325511,0.017805920874600756,0.06305136115170207,0.0028684310223520137,0.011311360069275245,0.02310981219895003
