,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy,accx_mean,accx_std,accx_min,accx_max,accx_ptp,accx_sum,accx_energy,accx_skewness,accx_kurtosis,accx_peaks,accx_rms,accx_lineintegral,accx_n_above_mean,accx_n_below_mean,accx_n_sign_changes,accx_iqr,accx_iqr_5_95,accx_pct_5,accx_pct_95,accx_entropy,accx_perm_entropy,accx_svd_entropy,accy_mean,accy_std,accy_min,accy_max,accy_ptp,accy_sum,accy_energy,accy_skewness,accy_kurtosis,accy_peaks,accy_rms,accy_lineintegral,accy_n_above_mean,accy_n_below_mean,accy_n_sign_changes,accy_iqr,accy_iqr_5_95,accy_pct_5,accy_pct_95,accy_entropy,accy_perm_entropy,accy_svd_entropy,accz_mean,accz_std,accz_min,accz_max,accz_ptp,accz_sum,accz_energy,accz_skewness,accz_kurtosis,accz_peaks,accz_rms,accz_lineintegral,accz_n_above_mean,accz_n_below_mean,accz_n_sign_changes,accz_iqr,accz_iqr_5_95,accz_pct_5,accz_pct_95,accz_entropy,accz_perm_entropy,accz_svd_entropy
MLPCl train Iter 0,0.005484361424847983,0.07835577758470891,0.03551259774109472,0.054680712423979205,0.03377497827975673,0.00624456993918332,0.05506081668114682,0.037956125108601246,0.03296046915725459,0.0488705473501303,0.03377497827975673,0.12820373588184186,0.02389226759339702,0.017376194613379692,0.03871633362293658,0.06820156385751519,0.024543874891398754,0.08134231103388356,0.07580364900086878,0.0,0.032200260642919254,0.048381841876629084,0.055006516072980016,0.0022806255430061206,0.05929626411815814,0.04539530842745443,0.0019548218940051987,0.04268027801911378,0.11995004344048654,0.005049956559513458,0.0010317115551694567,0.0,0.12141615986099041,0.0028779322328410517,0.0023349261511729225,0.0020091225021720005,0.017267593397046088,0.0036381407471763882,0.0025521285838401297,0.055495221546481344,0.050173761946133766,0.008742397914856648,0.0013575152041702676,0.02019982623805383,0.003366637706342268,0.0035295395308427846,0.005212858384013863,0.008959600347523855,0.008362293657688924,0.00456125108601213,0.0010860121633362585,0.007764986967854104,0.006787576020851449,0.0,0.014878366637706364,0.006896177237185053,0.0063531711555169235,0.00537576020851438,0.007330582102519578,0.00456125108601213,0.003746741963509992,0.0034752389226759828,0.0027150304083405352,0.00825369244135532,0.0011403127715030603,0.008199391833188518,0.045612510860121636,0.04963075586446575,0.0565812337098176,0.04952215464813203,0.036815812337098186,0.046698523023457894,0.10257384882710685,0.017756298870547416,0.014389661164205036,0.044200695047784566,0.15160729800173767,0.0918223284100782,0.02188314509122502,0.017267593397046088,0.010208514335360519,0.022806255430060873,0.05478931364031281,0.05305169417897482,0.04268027801911378,0.02894222415291048,0.06928757602085145,0.06494352736750653,0.10132493483927019,0.02248045178105995,0.07352302345786277,0.07287141615986104,0.0272589052997394,0.1113705473501303,0.11598609904430934,0.028182015638575142,0.012652041702867045,0.08807558644656821,0.17528236316246748,0.10594048653344923,0.03529539530842751,0.03654430929626418,0.058644656820156404,0.0116203301476977,0.027204604691572598,0.05571242397914855,0.06923327541268465,0.03801042571676805,0.05592962641181587,0.07281711555169423,0.0762923544743701,0.10311685490877498,0.03290616854908779,0.05022806255430057,0.03410078192875765,0.07004778453518679,0.17457645525629883,0.02584708948740222,0.015149869678540373,0.07526064291920076,0.1347741094700261,0.06619244135534319,0.027747610773240616,0.024489574283231952,0.013955256298870511,0.016018679409209424,0.027476107732406607,0.06108818418766293,0.07238271068635971,0.018625108601216356,0.07390312771503038,0.09784969591659431
MLPCl train Iter 1,0.006733275412684647,0.0781385751520417,0.03350347523892272,0.056635534317984404,0.03469808861859258,0.004669852302345845,0.05419200695047788,0.037956125108601246,0.0312228496959166,0.048707645525629895,0.03415508253692445,0.1270634231103388,0.023403562119895804,0.01873370981754996,0.03741311902693312,0.06771285838401386,0.024923979148566477,0.0819939183318853,0.07270851433536052,0.0,0.029919635099913133,0.04849044309296269,0.05484361424847961,0.0020091225021720005,0.05701563857515202,0.04517810599478711,0.0026064291920069316,0.04403779322328416,0.12011294526498695,0.005647263249348389,0.0009774109470026549,0.0,0.1210360556038228,0.0023349261511729225,0.00282363162467425,0.002443527367506526,0.017213292788879286,0.0027150304083405352,0.0027150304083405352,0.05831885317115548,0.052400086880973085,0.009231103388357975,0.001846220677671595,0.019982623805386623,0.0038553431798435955,0.003095134665508259,0.005538662033014785,0.008959600347523855,0.007982189400521311,0.003909643788010397,0.0010860121633362585,0.009013900955690768,0.006081668114682914,0.0,0.013412250217202493,0.007167680278019173,0.006081668114682914,0.004941355343179854,0.006461772371850527,0.00483275412684625,0.0026064291920069316,0.0035838401390095864,0.003366637706342268,0.007330582102519578,0.0004887054735013274,0.007710686359687191,0.04539530842745443,0.05120547350130322,0.05793874891398787,0.048979148566463904,0.03746741963509992,0.0488162467419635,0.1015421372719375,0.017973501303214623,0.015475673327541295,0.04175716768027804,0.1462315377932233,0.0937228496959166,0.02443527367506515,0.01819070373588183,0.009774109470026104,0.02188314509122502,0.05419200695047788,0.04773023457862724,0.040779756733275385,0.026770199826238072,0.07075369244135532,0.06157688966116426,0.10127063423110338,0.02443527367506515,0.07064509122502172,0.07564074717636837,0.02611859252823634,0.11294526498696789,0.11468288444830588,0.02753040834057341,0.01194613379669851,0.08818418766290181,0.1739248479582971,0.10034752389226764,0.03725021720243271,0.037630321459600324,0.060056472632493474,0.010099913119026915,0.028562119895742866,0.0565812337098176,0.0664096437880104,0.03632710686359686,0.0565812337098176,0.07303431798436144,0.0779213727193745,0.10235664639443964,0.03382927888792353,0.04903344917463082,0.03464378801042578,0.06869026933101652,0.1776172893136403,0.026552997393570865,0.014063857515204226,0.07021068635968719,0.13515421372719372,0.06657254561251091,0.03258036490008687,0.026064291920069538,0.014715464813205958,0.016398783666377037,0.025412684622067805,0.06293440486533453,0.07107949609035624,0.01873370981754996,0.0740660295395309,0.09654648132059085
MLPCl train Iter 2,0.005701563857515191,0.07857298001737623,0.035892701998262444,0.0585360556038228,0.03643570807993046,0.004995655951346656,0.05223718505647268,0.03687011294526499,0.03258036490008687,0.048979148566463904,0.03372067767158993,0.12728062554300612,0.025195482189400487,0.017484795829713295,0.03665291051259778,0.0663010425716768,0.025466985230234607,0.08226542137271942,0.07287141615986104,0.0,0.03073414422241527,0.05060816681146829,0.05706993918331882,0.0010860121633362585,0.06000217202432667,0.04664422241529109,0.002172024326672517,0.04240877497827977,0.1229365768896612,0.005864465682015596,0.0013575152041702676,0.0,0.11777801911381414,0.0032580364900086645,0.0023892267593397243,0.0032580364900086645,0.016561685490877553,0.003095134665508259,0.002117723718505604,0.05424630755864468,0.05278019113814081,0.008470894874022639,0.0017376194613379914,0.019765421372719416,0.0032580364900086645,0.00369244135534319,0.00537576020851438,0.008850999131190251,0.008905299739357053,0.0038010425716767937,0.001520417028670784,0.008850999131190251,0.007004778453518656,0.0,0.01417245873153783,0.007167680278019173,0.0060273675065161125,0.005212858384013863,0.0069504778453518545,0.004289748045178121,0.0027150304083405352,0.0032037358818418626,0.003095134665508259,0.008199391833188518,0.000923110338835853,0.008470894874022639,0.045558210251954834,0.048164639443961765,0.05614682884448308,0.04946785403996523,0.03703301476976539,0.04637271937445697,0.10306255430060818,0.018950912250217167,0.014661164205039157,0.046481320590790576,0.14574283231972196,0.09404865334491752,0.022046046915725426,0.01791920069504782,0.010371416159861035,0.02134013900955689,0.052725890529973896,0.05288879235447441,0.044689400521285894,0.028290616854908746,0.07238271068635971,0.06564943527367506,0.09882710686359686,0.02470677671589927,0.07314291920069504,0.07477193744569943,0.02867072111207647,0.10990443092962643,0.11528019113814081,0.027693310165073814,0.011131624674196372,0.08753258036490008,0.17452215464813203,0.09904430929626418,0.03725021720243271,0.037956125108601246,0.06087098175499561,0.011294526498696777,0.02986533449174633,0.05565812337098175,0.06613814074717639,0.03670721112076458,0.055549522154648145,0.07292571676802784,0.07553214596003477,0.09882710686359686,0.031983058210251936,0.048707645525629895,0.0351867940920938,0.06874456993918332,0.17142701998262377,0.026064291920069538,0.014552562988705442,0.07118809730668985,0.1349370112945265,0.06407471763683759,0.031114248479582995,0.027693310165073814,0.014118158123371027,0.01645308427454384,0.027367506516073004,0.06331450912250214,0.06912467419635104,0.018896611642050365,0.07764986967854037,0.09817549956559513
MLPCl train Iter 3,0.006896177237185053,0.0781385751520417,0.03692441355343179,0.058644656820156404,0.03665291051259778,0.006190269331016518,0.05033666377063428,0.03578410078192873,0.03301476976542139,0.048436142484795885,0.031168549087749797,0.13048436142484798,0.02334926151172889,0.017539096437880097,0.039910947002606445,0.06537793223284105,0.025901390095569132,0.07976759339704609,0.07135099913119025,0.0,0.031114248479582995,0.04745873153779323,0.057504344048653344,0.0023349261511729225,0.0584274543874892,0.04610121633362296,0.0029322328410078535,0.043603388357949635,0.12125325803649001,0.005158557775847061,0.0010317115551694567,0.0,0.11734361424847961,0.0011946133796698621,0.0020634231103388023,0.0032580364900086645,0.017267593397046088,0.0029865334491746554,0.0022806255430061206,0.055821025195482155,0.05033666377063428,0.008145091225021717,0.0014661164205038713,0.019765421372719416,0.0023892267593397243,0.0038010425716767937,0.0054300608166811815,0.008850999131190251,0.007656385751520389,0.004724152910512647,0.0013575152041702676,0.008633796698523044,0.005647263249348389,0.0,0.013846655082536907,0.006570373588184242,0.006570373588184242,0.004995655951346656,0.007330582102519578,0.003420938314509181,0.002117723718505604,0.0035838401390095864,0.0023892267593397243,0.008307993049522122,0.0013032145960034658,0.008470894874022639,0.04430929626411817,0.04745873153779323,0.05728714161598614,0.04821894005212857,0.03725021720243271,0.0468614248479583,0.09833840139009553,0.01840790616854915,0.014715464813205958,0.04539530842745443,0.15117289313640314,0.09236533449174633,0.021394439617723693,0.017810599478714217,0.008905299739357053,0.022643353605560357,0.05392050390964376,0.05234578627280628,0.04175716768027804,0.027204604691572598,0.06928757602085145,0.06342311033883585,0.10219374456993924,0.02248045178105995,0.07010208514335359,0.07477193744569943,0.02666159860990447,0.10870981754995657,0.11728931364031281,0.026770199826238072,0.010860121633362252,0.09209383145091221,0.17859470026064295,0.0976867940920938,0.040453953084274574,0.03616420503909645,0.05913336229365773,0.011891833188531709,0.02894222415291048,0.055495221546481344,0.07097089487402264,0.03779322328410084,0.05592962641181587,0.0743375325803649,0.07775847089487409,0.10382276281494351,0.034535186794092065,0.04979365768896615,0.03431798436142486,0.06602953953084278,0.17403344917463082,0.026335794960903547,0.013955256298870511,0.07118809730668985,0.13385099913119025,0.06619244135534319,0.030516941789748064,0.0253040834057342,0.014606863596872244,0.017158992180712485,0.02617289313640314,0.061794092093831465,0.0723284100781929,0.0196025195482189,0.0723284100781929,0.09518896611642047
MLPCl train Iter 4,0.005701563857515191,0.07732406602953956,0.03703301476976539,0.058916159860990414,0.033937880104257134,0.006624674196351044,0.051531277150304144,0.036815812337098186,0.03230886185925286,0.046481320590790576,0.03529539530842751,0.12999565595134666,0.023240660295395288,0.015855777584708908,0.03741311902693312,0.0624456993918332,0.0253040834057342,0.08128801042571676,0.07091659426585584,0.0,0.029919635099913133,0.04653562119895749,0.05630973066898348,0.002497827975673328,0.05766724587315375,0.043331885317115515,0.0023892267593397243,0.04126846220677671,0.12076455256298868,0.005918766290182509,0.0009774109470026549,0.0,0.11897263249348389,0.0020091225021720005,0.002443527367506526,0.0032037358818418626,0.01677888792354476,0.002172024326672517,0.003149435273675061,0.05614682884448308,0.05028236316246748,0.007873588184187708,0.001846220677671595,0.019168114682884485,0.0032037358818418626,0.0032037358818418626,0.004398349261511725,0.009556907037358786,0.007167680278019173,0.0034752389226759828,0.0010317115551694567,0.008307993049522122,0.005810165073848794,0.0,0.014606863596872244,0.0060273675065161125,0.006298870547350122,0.004995655951346656,0.007710686359687191,0.0041811468288445175,0.003366637706342268,0.0034752389226759828,0.003420938314509181,0.007439183318853182,0.001520417028670784,0.009339704604691579,0.04593831450912256,0.048164639443961765,0.05761294526498695,0.048979148566463904,0.039910947002606445,0.046481320590790576,0.09839270199826244,0.01905951346655088,0.01531277150304089,0.04523240660295391,0.15204170286707208,0.09350564726324939,0.021774543874891417,0.018353605560382236,0.009828410078192906,0.02242615117289315,0.05375760208514335,0.05087966985230241,0.041920069504778446,0.028453518679409262,0.07194830582102518,0.0625543006081668,0.10425716768027804,0.022534752389226753,0.07124239791485665,0.0760751520417029,0.026878801042571676,0.11071894005212857,0.11870112945264988,0.026552997393570865,0.011783231972198105,0.08633796698523022,0.1735990443092963,0.10013032145960032,0.03697871416159859,0.03665291051259778,0.06016507384882708,0.012271937445699432,0.028344917463075547,0.05647263249348389,0.06907037358818424,0.03784752389226764,0.05392050390964376,0.07444613379669851,0.08025629887054742,0.09725238922675938,0.035078192875760195,0.050119461337966964,0.03415508253692445,0.06983058210251958,0.17419635099913122,0.026227193744569943,0.014986967854039968,0.07053649000868811,0.1368375325803649,0.06505212858384013,0.03149435273675061,0.028616420503909668,0.014226759339704631,0.020036924413553425,0.02812771503040834,0.06146828844483054,0.07183970460469158,0.01927671589921809,0.0761294526498697,0.09964161598609911
MLPCl train Iter 5,0.006407471763683725,0.07884448305821024,0.03741311902693312,0.0565812337098176,0.03616420503909645,0.005538662033014785,0.05364900086880975,0.03741311902693312,0.03230886185925286,0.04990225890529976,0.034263683753258056,0.130755864465682,0.02329496090356209,0.014661164205039157,0.03920503909643791,0.06793006081668118,0.02416377063423114,0.08117940920938316,0.07189400521285838,0.0,0.028019113814074736,0.04767593397046044,0.05533231972198094,0.002117723718505604,0.05799304952215467,0.04637271937445697,0.001846220677671595,0.045341007819287626,0.12081885317115548,0.005810165073848794,0.001248913987836664,0.0,0.12130755864465681,0.0025521285838401297,0.0026607298001737334,0.0022806255430061206,0.016561685490877553,0.0035838401390095864,0.0027150304083405352,0.05620112945264988,0.05375760208514335,0.008579496090356242,0.001846220677671595,0.0196025195482189,0.0026064291920069316,0.003095134665508259,0.004398349261511725,0.009176802780191173,0.008036490008688113,0.0035295395308427846,0.001520417028670784,0.00879669852302345,0.008145091225021717,0.0,0.013466550825369294,0.007330582102519578,0.0060273675065161125,0.004941355343179854,0.007167680278019173,0.004506950477845328,0.0033123370981754663,0.00282363162467425,0.0035838401390095864,0.006570373588184242,0.001248913987836664,0.008905299739357053,0.046481320590790576,0.04620981754995657,0.057830147697654266,0.04990225890529976,0.03985664639443964,0.04599261511728936,0.10251954821894005,0.01873370981754996,0.015529973935708097,0.045558210251954834,0.14976107732406607,0.09524326672458727,0.02329496090356209,0.01819070373588183,0.008850999131190251,0.02074283231972196,0.05310599478714162,0.04990225890529976,0.0427888792354475,0.027421807124239805,0.07341442224152916,0.0626629018245004,0.09752389226759339,0.02096003475238928,0.0722198088618593,0.0760751520417029,0.026878801042571676,0.11099044309296269,0.11766941789748042,0.02839921807124246,0.011294526498696777,0.08764118158123368,0.17278453518679415,0.09969591659426591,0.03714161598609911,0.03486099044309299,0.06108818418766293,0.012326238053866234,0.0292137271937446,0.05375760208514335,0.06526933101650745,0.037684622067767126,0.05745004344048654,0.07547784535186797,0.07667245873153783,0.10083622936576886,0.033937880104257134,0.04794743701129456,0.0333405734144222,0.06738705473501305,0.17457645525629883,0.026335794960903547,0.014715464813205958,0.07439183318853171,0.13433970460469158,0.06662684622067772,0.030191138140747142,0.026009991311902736,0.014443961772371838,0.016127280625543028,0.02839921807124246,0.06168549087749786,0.06890747176368373,0.0196025195482189,0.07585794960903558,0.0977410947002606
MLPCl train Iter 6,0.006733275412684647,0.07775847089487409,0.03714161598609911,0.05516941789748042,0.03491529105125979,0.005864465682015596,0.05136837532580363,0.03670721112076458,0.033123370981754996,0.04805603822762816,0.03154865334491752,0.126737619461338,0.02302345786272808,0.017213292788879286,0.039042137271937505,0.06619244135534319,0.027096003475238883,0.08069070373588183,0.07194830582102518,0.0,0.028182015638575142,0.04773023457862724,0.05603822762814947,0.0022806255430061206,0.057504344048653344,0.04441789748045177,0.0023349261511729225,0.0428974804517811,0.11995004344048654,0.005810165073848794,0.0016290182450043877,0.0,0.11962423979148573,0.003040834057341457,0.0025521285838401297,0.0029322328410078535,0.0156385751520417,0.002226324934839319,0.0027150304083405352,0.056635534317984404,0.052128583840139076,0.006787576020851449,0.001574717636837586,0.019439617723718494,0.0033123370981754663,0.0029865334491746554,0.006135968722849716,0.007710686359687191,0.00852519548218944,0.0036381407471763882,0.001520417028670784,0.008307993049522122,0.0063531711555169235,0.0,0.014226759339704631,0.007873588184187708,0.0069504778453518545,0.005158557775847061,0.005864465682015596,0.005755864465681992,0.0032580364900086645,0.002769331016507448,0.002769331016507448,0.007493483927019984,0.0010860121633362585,0.008579496090356242,0.04620981754995657,0.04973935708079935,0.05685273675065161,0.04740443092962643,0.038499131190269376,0.047295829713292825,0.09681798436142486,0.017973501303214623,0.015421372719374493,0.04463509991311909,0.1482406602953953,0.09502606429192006,0.020254126846220744,0.01705039096437877,0.010914422241529165,0.02188314509122502,0.055549522154648145,0.047893136403127756,0.04349478714161603,0.027747610773240616,0.07059079061685491,0.06135968722849694,0.09996741963509992,0.022046046915725426,0.07238271068635971,0.07634665508253691,0.028236316246741944,0.11354257167680282,0.12195916594265854,0.028344917463075547,0.012434839270199838,0.09073631624674194,0.17669417897480455,0.09926151172893138,0.038227628149435255,0.03730451781059951,0.06076238053866201,0.011674630755864501,0.02899652476107728,0.055495221546481344,0.06787576020851438,0.03638140747176366,0.05739574283231974,0.07249131190269331,0.07569504778453517,0.10224804517810604,0.0333405734144222,0.04908774978279762,0.034752389226759384,0.06716985230234584,0.1758796698523024,0.02639009556907035,0.01504126846220677,0.0683644656820156,0.1365117289313641,0.06342311033883585,0.03073414422241527,0.02611859252823634,0.014009556907037424,0.018679409209383158,0.028290616854908746,0.06168549087749786,0.07064509122502172,0.01905951346655088,0.07357732406602957,0.09670938314509125
MLPCl train Iter 7,0.005321459600347578,0.07515204170286705,0.034209383145091254,0.056689834926151206,0.03583840139009553,0.006678974804517845,0.05370330147697655,0.03839052997393577,0.03296046915725459,0.0489248479582971,0.034806689834926186,0.13119026933101652,0.02383796698523022,0.016833188531711563,0.03556689834926152,0.06543223284100785,0.025955690703735934,0.08047350130321462,0.07298001737619464,0.0,0.030245438748913944,0.050716768027801895,0.05706993918331882,0.0016833188531711896,0.0585360556038228,0.0448523023457863,0.002497827975673328,0.043874891398783644,0.1210903562119896,0.005592962641181587,0.0014118158123370694,0.0,0.12157906168549093,0.0029865334491746554,0.0025521285838401297,0.0023892267593397243,0.016344483058210235,0.002769331016507448,0.003366637706342268,0.05457211120764549,0.051802780191138154,0.00852519548218944,0.0013032145960034658,0.020525629887054753,0.004018245004344112,0.003909643788010397,0.004398349261511725,0.00852519548218944,0.008199391833188518,0.003746741963509992,0.0013032145960034658,0.008145091225021717,0.005864465682015596,0.0,0.01531277150304089,0.006733275412684647,0.0063531711555169235,0.005049956559513458,0.006135968722849716,0.005647263249348389,0.002497827975673328,0.0035295395308427846,0.0035295395308427846,0.007656385751520389,0.0011403127715030603,0.008905299739357053,0.04523240660295391,0.05028236316246748,0.058916159860990414,0.0488705473501303,0.03741311902693312,0.0488705473501303,0.10208514335360552,0.018245004344048632,0.014118158123371027,0.0468614248479583,0.15003258036490008,0.09149652476107728,0.022046046915725426,0.01791920069504782,0.010262814943527432,0.022589052997393555,0.05630973066898348,0.053811902693310154,0.04110556038227631,0.025412684622067805,0.07080799304952212,0.06624674196350999,0.10235664639443964,0.020851433536055564,0.07037358818418771,0.07531494352736756,0.027476107732406607,0.11245655951346656,0.11441138140747176,0.027150304083405796,0.012163336229365829,0.0878040834057342,0.1718614248479583,0.09888140747176366,0.03942224152910512,0.03925933970460471,0.0605451781059948,0.012652041702867045,0.028616420503909668,0.05484361424847961,0.06847306689834931,0.037358818418766315,0.05533231972198094,0.07167680278019117,0.0759665508253693,0.10284535186794097,0.03643570807993046,0.0489248479582971,0.033069070373588194,0.06765855777584706,0.1758796698523024,0.026281494352736745,0.016127280625543028,0.07178540399652478,0.1348284100781929,0.062119895742832276,0.03149435273675061,0.028290616854908746,0.014335360556038235,0.017973501303214623,0.026552997393570865,0.06108818418766293,0.0683644656820156,0.01878801042571676,0.07786707211120769,0.10078192875760206
MLPCl train Iter 8,0.005864465682015596,0.07536924413553436,0.037684622067767126,0.05592962641181587,0.03572980017376193,0.005810165073848794,0.05288879235447441,0.03632710686359686,0.03203735881841874,0.04854474370112949,0.03344917463075592,0.12809513466550826,0.02362076455256301,0.01791920069504782,0.03692441355343179,0.06570373588184186,0.024923979148566477,0.08177671589921809,0.07080799304952212,0.0,0.028833622936576875,0.04821894005212857,0.05587532580364907,0.0025521285838401297,0.058101650738488275,0.04544960903562123,0.0022806255430061206,0.04316898349261511,0.12174196350999134,0.006570373588184242,0.000923110338835853,0.0,0.1191898349261512,0.0023892267593397243,0.0026064291920069316,0.0032580364900086645,0.015529973935708097,0.0023349261511729225,0.002497827975673328,0.05630973066898348,0.05218288444830588,0.00939400521285838,0.001574717636837586,0.019113814074717683,0.003366637706342268,0.003040834057341457,0.004452649869678527,0.009448305821025182,0.007547784535186786,0.0036381407471763882,0.001520417028670784,0.009122502172024372,0.007059079061685458,0.0,0.014226759339704631,0.005864465682015596,0.006896177237185053,0.006787576020851449,0.007059079061685458,0.003746741963509992,0.0029865334491746554,0.003149435273675061,0.0032580364900086645,0.00711337966985226,0.0004344048653345256,0.008959600347523855,0.0448523023457863,0.04751303214596003,0.055821025195482155,0.046481320590790576,0.03605560382276285,0.04707862728062551,0.10105343179843618,0.018245004344048632,0.014824066029539562,0.046155516941789765,0.14959817549956556,0.09323414422241527,0.022046046915725426,0.01878801042571676,0.009339704604691579,0.02096003475238928,0.05565812337098175,0.049576455256298835,0.042137271937445764,0.028019113814074736,0.06890747176368373,0.06402041702867078,0.1055603822762815,0.020525629887054753,0.07200260642919198,0.07732406602953956,0.025792788879235418,0.11213075586446575,0.11555169417897482,0.027476107732406607,0.01107732406602957,0.08753258036490008,0.17088401390095576,0.09828410078192873,0.03600130321459605,0.03665291051259778,0.060327975673327594,0.011185925282363174,0.027747610773240616,0.05647263249348389,0.0663010425716768,0.0352410947002606,0.05603822762814947,0.07330582102519545,0.07672675933970463,0.10219374456993924,0.03551259774109472,0.0488705473501303,0.034480886185925264,0.06564943527367506,0.18016941789748042,0.025086880973066883,0.015692875760208502,0.07254561251086011,0.13412250217202437,0.0626629018245004,0.032200260642919254,0.027421807124239805,0.013846655082536907,0.016344483058210235,0.02698740225890528,0.060382276281494396,0.06961337966985226,0.01873370981754996,0.0760751520417029,0.0995330147697654
MLPCl train Iter 9,0.005864465682015596,0.07526064291920076,0.036490008688097264,0.05620112945264988,0.036815812337098186,0.00537576020851438,0.05278019113814081,0.037956125108601246,0.03258036490008687,0.04740443092962643,0.03296046915725459,0.12825803649000866,0.02215464813205914,0.016615986099044355,0.038444830582102574,0.06548653344917466,0.02470677671589927,0.0799304952215465,0.07270851433536052,0.0,0.03095134665508259,0.04865334491746309,0.05734144222415294,0.0025521285838401297,0.059187662901824534,0.04425499565595137,0.0023349261511729225,0.0428431798436143,0.12011294526498695,0.0054300608166811815,0.00032580364900092196,0.0,0.12043874891398787,0.0019005212858383969,0.0029322328410078535,0.0023349261511729225,0.016670286707211157,0.003149435273675061,0.002769331016507448,0.05538662033014774,0.05191138140747176,0.009013900955690768,0.0010860121633362585,0.019493918331885296,0.003420938314509181,0.0036381407471763882,0.005158557775847061,0.008742397914856648,0.009285403996524777,0.004126846220677716,0.001574717636837586,0.008850999131190251,0.006733275412684647,0.0,0.01504126846220677,0.006841876629018251,0.006678974804517845,0.004724152910512647,0.00651607298001744,0.005647263249348389,0.003149435273675061,0.0032037358818418626,0.0032037358818418626,0.007710686359687191,0.0020634231103388023,0.008416594265855837,0.04403779322328416,0.0469157254561251,0.0565812337098176,0.04582971329278884,0.03839052997393577,0.04794743701129456,0.10105343179843618,0.01840790616854915,0.01417245873153783,0.044200695047784566,0.14894656820156382,0.0935599478714162,0.022643353605560357,0.018027801911381425,0.009774109470026104,0.019385317115551692,0.05706993918331882,0.050988271068636015,0.04001954821894005,0.026607298001737667,0.06934187662901825,0.06222849695916599,0.10148783666377059,0.023403562119895804,0.07520634231103385,0.08058210251954823,0.027747610773240616,0.11223935708079935,0.11864682884448308,0.027367506516073004,0.010371416159861035,0.09106211989574287,0.1715356211989575,0.10121633362293658,0.03730451781059951,0.035675499565595126,0.05983927019982627,0.011240225890529976,0.029430929626411806,0.054680712423979205,0.06874456993918332,0.035892701998262444,0.05343179843614254,0.07390312771503038,0.07694396177237184,0.10192224152910512,0.03572980017376193,0.04854474370112949,0.0333405734144222,0.07102519548218944,0.17897480451781056,0.024380973066898348,0.014335360556038235,0.07162250217202437,0.12966985230234584,0.06619244135534319,0.03013683753258034,0.025955690703735934,0.01308644656820157,0.018299304952215434,0.027096003475238883,0.062391398783666396,0.06787576020851438,0.021122936576889684,0.07569504778453517,0.09627497827975673
