,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea train Iter 0,0.06489529830106677,0.21740418806795736,0.0,0.0,0.0,0.06405570920584747,9.877518767287263e-05,0.0,0.0,0.0,0.21839193994468586,0.0,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,0.0,0.0,0.0,-4.9387593836436317e-05,0.035707230343737684,0.0024693796918213717,0.0,0.0,0.0013828526274199948,0.0,0.0,0.0,0.0,0.0,0.0,0.0010371394705649406,0.0,0.0,0.0,0.0010371394705649406,0.0027657052548399896,0.02286645594626635,0.022817068352429914,0.0,0.0,0.0,0.0,-0.0003457131568549432,-9.877518767287263e-05,0.0011853022520742496,0.0012346898459106859,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.0004444883445278158,0.0,0.0,0.0,0.0006420387198735611,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 1,0.06370999604899252,0.21770051363097587,0.0,0.0,0.0,0.06529039905175815,-4.9387593836436317e-05,0.0,0.0,0.0,0.22338008692216516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03585539312524699,0.0025681548794942444,0.0,0.0,0.0013334650335835585,0.0,0.0,0.0,0.0,0.0,0.0,0.0013334650335835585,0.0,0.0,0.0,0.0011359146582378132,0.0036546819438957323,0.021582378506519118,0.026471750296325536,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.0011359146582378132,0.0014322402212564311,-0.0009877518767286153,9.877518767287263e-05,0.0,0.0,0.0,0.0,0.0007408139075464337,0.0,0.0,0.0,0.0005432635322006885,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 2,0.06894508099565388,0.2174535756617938,0.0,0.0,0.0,0.06469774792572103,0.0,0.0,0.0,0.0,0.22407151323587515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035410904780719066,0.002518767285657808,4.9387593836436317e-05,0.0,0.0012346898459106859,0.0,0.0,0.0,0.0,0.0,0.0,0.0009877518767286153,0.0,0.0,0.0,0.0012346898459106859,0.0029138680363492986,0.023360331884630603,0.02538522323192416,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.0013334650335835585,0.000938364282892179,-0.0009877518767286153,4.9387593836436317e-05,0.0,0.0,0.0,0.0,0.0002469379691821816,0.0,0.0,0.0,0.0005432635322006885,-0.0009877518767286153,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 3,0.06642631370999608,0.22056499407348873,0.0,0.0,0.0,0.06795732911892538,0.0,0.0,0.0,0.0,0.21962662979059655,0.0,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,0.0,0.0,0.0,-4.9387593836436317e-05,0.03664559462662975,0.0026175424733306807,4.9387593836436317e-05,0.0,0.0013334650335835585,0.0,0.0,0.0,0.0,0.0,0.0,0.0012346898459106859,0.0,0.0,0.0,0.0009877518767286153,0.002173054128802865,0.022175029632556353,0.02508889766890554,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.0011853022520742496,0.0012346898459106859,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.000938364282892179,0.0,0.0,0.0,0.0006420387198735611,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 4,0.06514223627024895,0.2139964440932438,0.0,0.0,0.0,0.06558672461477677,0.0,0.0,0.0,0.0,0.22046621888581586,0.0,0.0,0.0,0.0,0.0,9.877518767287263e-05,4.9387593836436317e-05,0.0,0.0,0.0,0.0,0.035410904780719066,0.0026175424733306807,0.0,0.0,0.0012840774397471222,0.0,0.0,0.0,0.0,0.0,0.0,0.0008889766890557427,0.0,0.0,0.0,0.0012346898459106859,0.003160806005531369,0.022125642038719917,0.026521137890161972,0.0,0.0,0.0,0.0,-0.0004444883445278158,-9.877518767287263e-05,0.0009877518767286153,0.000938364282892179,-0.0009877518767286153,-4.9387593836436317e-05,0.0,0.0,0.0,0.0,0.000938364282892179,0.0,0.0,0.0,0.0004938759383642521,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 5,0.060401027261951845,0.21547807190833668,0.0,0.0,0.0,0.06504346108257608,-4.9387593836436317e-05,0.0,0.0,0.0,0.22096009482418022,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,0.0,-4.9387593836436317e-05,0.0,-4.9387593836436317e-05,0.0,0.036201106282101936,0.0026175424733306807,4.9387593836436317e-05,0.0,0.0011359146582378132,0.0,0.0,0.0,0.0,0.0,0.0,0.0008395890952193064,0.0,0.0,0.0,0.0014322402212564311,0.0030620308178586075,0.02261951797708417,0.025533386013433468,0.0,0.0,0.0,0.0,-0.0004444883445278158,-9.877518767287263e-05,0.0011359146582378132,0.0014322402212564311,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.000938364282892179,0.0,0.0,0.0,0.0004444883445278158,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 6,0.0654879494271039,0.218293164757013,0.0,0.0,0.0,0.06879691821414458,-4.9387593836436317e-05,0.0,0.0,0.0,0.22308376135914654,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,4.9387593836436317e-05,-4.9387593836436317e-05,0.0,0.0,-4.9387593836436317e-05,0.035707230343737684,0.0024693796918213717,-4.9387593836436317e-05,0.0,0.0013828526274199948,0.0,0.0,0.0,0.0,0.0,0.0,0.0015310154089293038,0.0,0.0,0.0,0.0006914263137099974,0.0028644804425128623,0.024249308573686346,0.023064006321611985,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.00079020150138287,0.0012346898459106859,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.0004444883445278158,0.0,0.0,0.0,0.0007408139075464337,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 7,0.06459897273804815,0.2170584749111023,0.0,0.0,0.0,0.06756222836823389,0.0,0.0,0.0,0.0,0.22421967601738446,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,9.877518767287263e-05,0.0,0.0,0.0,-4.9387593836436317e-05,0.03600355590675619,0.0025681548794942444,0.0,0.0,0.0012840774397471222,0.0,0.0,0.0,0.0,0.0,0.0,0.0007408139075464337,0.0,0.0,0.0,0.00079020150138287,0.0032595811932042418,0.025434610825760595,0.02578032398261554,0.0,0.0,0.0,0.0,-0.0004444883445278158,-9.877518767287263e-05,0.0008395890952193064,0.0012840774397471222,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.0006914263137099974,0.0,0.0,0.0,0.0006914263137099974,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 8,0.06711774002370607,0.21740418806795736,0.0,0.0,0.0,0.0634136704859739,0.0,0.0,0.0,0.0,0.22392335045436584,0.0,0.0,0.0,0.0,0.0,9.877518767287263e-05,0.0,-4.9387593836436317e-05,0.0,-4.9387593836436317e-05,0.0,0.03590478071908332,0.002518767285657808,0.0,0.0,0.0013828526274199948,0.0,0.0,0.0,0.0,0.0,0.0,0.001086527064401377,0.0,0.0,0.0,0.0011853022520742496,0.0027163176610035533,0.0240517581983406,0.026619913077834845,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.000938364282892179,0.0009877518767286153,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.0005926511260371248,0.0,0.0,0.0,0.0004444883445278158,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
Linea train Iter 9,0.06370999604899252,0.21878704069537735,0.0,0.0,0.0,0.06588305017779539,0.0,0.0,0.0,0.0,0.2208119320426709,0.0,0.0,0.0,0.0,0.0,4.9387593836436317e-05,0.0,0.0,0.0,0.0,0.0,0.0361517186882655,0.0026175424733306807,9.877518767287263e-05,0.0,0.0012840774397471222,0.0,0.0,0.0,0.0,0.0,0.0,0.001086527064401377,0.0,0.0,0.0,0.000938364282892179,0.003308968787040678,0.02286645594626635,0.024940734887396343,0.0,0.0,0.0,0.0,-0.0003951007506913795,-9.877518767287263e-05,0.0013334650335835585,0.0009877518767286153,-0.0009877518767286153,0.0,0.0,0.0,0.0,0.0,0.0006420387198735611,0.0,0.0,0.0,0.0006914263137099974,-0.000938364282892179,0.0,-0.0008889766890557427,0.0,0.0,0.0
