,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl eval Iter 0,0.002085477855166218,-0.001878266914428578,-0.011811023622047251,0.0020186356162185948,-0.002015293504271237,-0.010210151999251377,-0.004575351255965671,-0.0040005080010160066,-0.0059924067216555466,-0.004635509271018551,-0.005905511811023639,-0.0016409769661644702,-0.0032451907009077297,-0.012596419929681968,-0.000785396307634717,-0.007416146411240193,-0.004177639934227234,-0.0018147667874283124,-6.684223894770636e-06,0.0,3.6763231421182985e-05,0.004762509525019054,-0.0025166102963785075,0.0027906634760637983,-0.0019618197131131276,-0.0007218961806344792,0.0006918171731080114,-0.002673689557905451,-0.01393326470863468,-0.00016042137347432872,-0.00039102709784366585,-0.0004712377845808302,0.005096720719757225,-0.017195165969279308,-0.015420504525219592,-0.013191315856315944,3.342111947385318e-06,-0.0031382431185915105,0.0011931339652152817,-0.001667713861743525,-0.0007152119567397086,-0.01816772054596741,-0.0007620015240030475,4.01053433685683e-05,-0.002185741213587694,0.0005681590310548934,-0.0008255016510033131,-0.0007152119567397086,-0.005577984840180211,-0.039286525941472944,-0.007579909896661907,-5.681590310549489e-05,-7.686857478977904e-05,-0.0006283170461077736,-0.0013502132267422529,-0.020634199163135164,0.010119914976672056,-0.01350547437936983,-0.0003275269708434281,-0.0035493228881194605,-0.007974279106452958,0.00304800609601219,-0.006477012954025918,-0.0007285804045292499,-0.00016376348542171404,-0.0008555806585297532
MLPCl eval Iter 1,0.002011951392323824,-0.0020253198401133654,-0.011927997540205626,0.002202451773324593,-0.001925056481691917,-0.0099494672673556,-0.004668930390492376,-0.0040874029116479416,-0.00529724743660015,-0.004264534844859169,-0.006109380639813922,-0.0015173188241113522,-0.003335427723487022,-0.012793604534577507,-0.0007920805315294877,-0.007369356843976854,-0.004244482173174885,-0.001791372003796643,0.0,0.0,-0.00010694758231621915,0.004819325428124521,-0.002406320602114903,0.0019217143697445316,-0.001945109153376201,-0.0006283170461077736,0.0006918171731080114,-0.0019952408325869253,-0.012579709369945069,-0.00022057938852720893,-0.0003709744261593817,-0.00038100076200153765,0.0049095624507038416,-0.016860954774541137,-0.015189898800850254,-0.013248131759421411,5.0131679210724256e-05,-0.0031582957902757947,0.000745290964266121,-0.0021322674224295846,-0.0008255016510033131,-0.018495247516810837,-0.0007218961806344792,4.01053433685683e-05,-0.002042030399850292,0.000534737911581068,-0.0006015801505287188,-0.0007553173001083047,-0.005748432549496696,-0.039246420598104376,-0.007529778217451183,-9.023702257932031e-05,-0.0001871582690533835,-0.0007352646284239928,-0.0011630549576888694,-0.020988463029557647,0.010016309506303223,-0.013662553640896774,-0.0003141585230538868,-0.0034724543133296815,-0.007877357859978895,0.0038735077470154755,-0.006791171477079805,-0.000671764501423755,-0.00015039503763220052,-0.0008455543226875972
MLPCl eval Iter 2,0.0019116880339023756,-0.002015293504271237,-0.011667312808309849,0.0020721094073767043,-0.0019317407055866875,-0.01033046802935711,-0.004752483189176926,-0.004284587516543453,-0.005454326698127093,-0.004735772629439999,-0.005962327714129134,-0.0016309506303223142,-0.003449059529698012,-0.012576367257997684,-0.0007319225164766074,-0.007469620202398303,-0.004364798203280618,-0.001627608518374929,-7.018435089503616e-05,0.0,6.350012700023777e-05,0.004521877464807561,-0.0025801104233787453,0.002596820983115644,-0.0022191623330615196,-0.0009725545766881005,0.0006416854938972871,-0.0017479245484806893,-0.013675922088686288,-0.0002138951646324383,-0.0004846062323703715,-0.0001771319332112553,0.0047457989652821275,-0.016884349558172806,-0.015413820301324821,-0.013091052497894468,-1.0026335842155953e-05,-0.0030814272154860156,0.0011630549576888416,-0.0021222410865874564,-0.0009558440169512017,-0.018328141919441737,-0.0009123965616352481,1.0026335842128198e-05,-0.0019685039370078705,0.0005447642474232239,-0.0007419488523187634,-0.0007553173001083047,-0.005945617154392208,-0.0386348141117335,-0.007322567276713515,-5.681590310549489e-05,-5.681590310549489e-05,-0.0006450276058447002,-0.0013869764581634636,-0.020437014558239652,0.010009625282408452,-0.013281552878895236,-0.00020052671684292478,-0.003509217544750892,-0.007907436867505335,0.003495849096961351,-0.00640682860313091,-0.0006951592850554245,-8.021068673716436e-05,-0.0009090544496878628
MLPCl eval Iter 3,0.0019952408325869253,-0.0019217143697445316,-0.011710760263625802,0.002078793631271475,-0.0018949774741654768,-0.010260283678462101,-0.004602088151544725,-0.0038969025306471727,-0.005414221354758497,-0.004324692859912049,-0.006025827841129372,-0.0014504765851637014,-0.0033688488429608476,-0.01250284079515529,-0.0007319225164766074,-0.007429514859029734,-0.0041809820461746194,-0.0018615563546916791,7.352646284239372e-05,0.0,4.01053433685683e-05,0.004902878226809071,-0.002433057497693958,0.002767268692432101,-0.0020754515193240897,-0.0005781853668970494,0.0007051856208975527,-0.002319425691482968,-0.013421921580685281,-0.0002138951646324383,-0.0003876849858963083,-0.0005213694637915545,0.005287221100757994,-0.01715506062591074,-0.015473978316377701,-0.01349879015547506,-3.342111947385318e-06,-0.0031181904469072264,0.0016108979586380023,-0.002155662206061254,-0.0007620015240030475,-0.018314773471652224,-0.0006784487253185256,-6.684223894770636e-06,-0.001971846048955256,0.0008188174271085424,-0.0007285804045292499,-0.0006784487253185256,-0.005872090691549814,-0.039627421360105886,-0.0075364624413459536,-2.6736895579054787e-05,-0.0001169739181583751,-0.000661738165581599,-0.0017245297648490199,-0.020904910230873097,0.01002633584214535,-0.013358421453685015,-0.0002172372765798236,-0.0036930337018568904,-0.007860647300241969,0.0035359544403299192,-0.006690908118658356,-0.000785396307634717,-0.00010694758231621915,-0.0008121332032137718
MLPCl eval Iter 4,0.0020553988476398055,-0.0021122147507453004,-0.011710760263625802,0.0020620830715345484,-0.0018983195861128621,-0.010053072737724433,-0.0047090357338609445,-0.0038768498589628886,-0.005133483951178436,-0.004505166905070662,-0.005965669826076492,-0.0016877665334278091,-0.003402269962434673,-0.012659920056682233,-0.0007519751881609194,-0.007245698701923736,-0.0042411400612275,-0.0018481879069021379,5.681590310549489e-05,0.0,-4.3447455315981376e-05,0.004759167413071669,-0.0022358728927984184,0.002192425437482437,-0.0018648984666390367,-0.0009391334572143029,0.0008121332032137718,-0.0017947141157440283,-0.013211368528000228,-0.00026736895579054787,-0.00039436920979105117,-0.000374316538106767,0.004986431025493621,-0.01756614039543869,-0.0153235832787455,-0.0133784741253693,7.018435089500841e-05,-0.002931032177853843,0.0009992914722671553,-0.0021155568626926857,-0.0010427389275831367,-0.01831811558359961,-0.000748633076213534,-1.671055973692659e-05,-0.002138951646324355,0.0006149485983182323,-0.0006550539416868284,-0.0008321858748980837,-0.00573840621365454,-0.039543868561421336,-0.007683515367030741,-7.352646284242148e-05,-6.684223894765084e-05,-0.0007051856208975527,-0.0013836343462160783,-0.02092496290255738,0.010039704289934892,-0.013261500207210952,-0.00016710559736909936,-0.003489164873066608,-0.008158095263558957,0.003469112201382296,-0.0065104340734997435,-0.0007720278598452035,-0.0001270002540005033,-0.0008121332032137718
MLPCl eval Iter 5,0.0020420303998502642,-0.0021155568626926857,-0.01186449741320536,0.0022258465569562624,-0.002011951392323852,-0.010156678208093267,-0.004765851636966439,-0.0038768498589628886,-0.005484405705653533,-0.0044684036736494515,-0.006055906848655812,-0.0014772134807427562,-0.0034824806491718374,-0.01244268278010241,-0.0007152119567397086,-0.007396093739555909,-0.004224429501490601,-0.0017512666604280747,3.0079007526440105e-05,0.0,5.681590310549489e-05,0.00462882504712378,-0.0024765049530099115,0.0021690306538507675,-0.0019918987206395677,-0.00058486959079182,0.0005715011430022787,-0.0027271633490635605,-0.013151210512947348,-0.00020721094073766766,-0.00048126412042298616,-0.00018047404515861287,0.005116773391441509,-0.017235271312647904,-0.015009424755691614,-0.013278210766947851,-1.0026335842155953e-05,-0.003141585230538896,0.0012098445249522083,-0.002469820729115141,-0.0003342111947381987,-0.01834819459112602,-0.0007218961806344792,2.005267168428415e-05,-0.0021523200941138687,0.0006416854938972871,-0.0008388700987928266,-0.0006951592850554245,-0.005501116265390432,-0.039202973142788394,-0.007599962568346191,-6.684223894765084e-05,-0.0001570792615269434,-0.0007386067403713781,-0.001544055719690407,-0.021028568372926215,0.010063099073566562,-0.013572316618317454,-0.00020721094073766766,-0.003429006858013728,-0.007887384195821023,0.003803323396120467,-0.006610697431921192,-0.0008522385465823679,-0.00012031603010576042,-0.000882317554108808
MLPCl eval Iter 6,0.0019584776011657146,-0.0020754515193240897,-0.011794313062310352,0.002125583198534814,-0.0019685039370078705,-0.009625282408459557,-0.004695667286071431,-0.004053981792174116,-0.0051301418392310505,-0.0044684036736494515,-0.005999090945550317,-0.0017579508843228175,-0.0033220592756975087,-0.012659920056682233,-0.0007920805315294877,-0.007429514859029734,-0.004324692859912049,-0.0015741347272168194,-2.339478363166947e-05,0.0,4.01053433685683e-05,0.004812641204229778,-0.0024932155127468103,0.0020320040640081083,-0.0020754515193240897,-0.0006650802775289844,0.0006283170461077736,-0.002433057497693958,-0.01380292234268679,-0.0001437108137374299,-0.00035092175447509755,-0.00015039503763220052,0.004932957234335511,-0.01691108645375186,-0.015330267502640271,-0.013208026416052843,1.3368447789513516e-05,-0.00316163790222318,0.00099594936031977,-0.0018882932502707062,-0.00044115877705441786,-0.01834151036723128,-0.0007753699717925888,3.342111947385318e-06,-0.00205205673569242,0.0006650802775289566,-0.0008956860018983215,-0.000594895926633976,-0.005778511557023136,-0.03833736614841651,-0.0075364624413459536,-8.6894910631935e-05,-9.692124647409095e-05,-0.0006751066133711403,-0.001340186890900097,-0.020724436185714484,0.00968544042351241,-0.013308289774474291,-0.00032418485889604276,-0.0034724543133296815,-0.008047805569295352,0.0036896915899094773,-0.006436907610657322,-0.0008121332032137718,-0.00012031603010576042,-0.0008221595390559278
MLPCl eval Iter 7,0.002125583198534814,-0.0019484512653235864,-0.011573733673783143,0.002008609280376439,-0.0020052671684290813,-0.01022352044704089,-0.004548614360386616,-0.004037271232437217,-0.005364089675547773,-0.004488456345333763,-0.005938932930497437,-0.0015607662794273058,-0.003465770089434911,-0.012947341684157065,-0.0006985013970028098,-0.007422830635134964,-0.0042678769568065544,-0.0016008716227958741,1.0026335842128198e-05,0.0,0.0,0.004699009398018789,-0.002443083833536086,0.002185741213587694,-0.0019952408325869253,-0.0007285804045292499,0.0004545272248439036,-0.001627608518374929,-0.013863080357739671,-0.00026068473189577723,-0.00036429020226461106,-0.0002740531796853185,0.00492627301044074,-0.017205192305121464,-0.015196583024744997,-0.012773551862893195,6.0158015052852454e-05,-0.0032050853575391336,0.0013970027940055918,-0.002309399355640812,-0.0009792388005828712,-0.01856208975575846,-0.0007018435089501951,3.342111947385318e-06,-0.002118898974640071,0.0003375533066855563,-0.0007753699717925888,-0.0006684223894763697,-0.00588211702739197,-0.0394803684344211,-0.007553173001082852,-0.00010026335842144851,-0.00023060572436936488,-0.0006784487253185256,-0.0014504765851637014,-0.0207043835140302,0.010119914976672056,-0.013365105677579786,-0.00034757964252771223,-0.0034757964252770668,-0.007837252516610299,0.0033120329398553527,-0.0066340922155528614,-0.0006918171731080391,-0.00011028969426360447,-0.0007887384195821023
MLPCl eval Iter 8,0.002175714877745538,-0.0020052671684290813,-0.01186449741320536,0.0022392150047458037,-0.001955135489218357,-0.01045746828335764,-0.004725746293597871,-0.004060666016068887,-0.005059957488336042,-0.003990481665173878,-0.0060492226247610414,-0.0013836343462160783,-0.0035794018956459006,-0.012693341176156059,-0.0006918171731080391,-0.007472962314345688,-0.004378166651070159,-0.0017211876529016346,-2.6736895579054787e-05,0.0,6.350012700023777e-05,0.004401561434701801,-0.002469820729115141,0.0020654251834819337,-0.0021623464299560247,-0.00023728994826410776,0.0006450276058446724,-0.0017746614440597441,-0.012509525019050033,-0.00026402684384316255,-0.00036429020226461106,-0.0004043955456332071,0.0045920618157025694,-0.01735224523080625,-0.015330267502640271,-0.013221394863842356,6.350012700023777e-05,-0.0029544269614855123,0.0008923438899509362,-0.0018548721307969085,-0.0011196075023729157,-0.018244589120757188,-0.0007586594120556622,1.6710559736898833e-05,-0.002058740959587191,0.0005481063593706093,-0.0007820541956873595,-0.0008656069943718814,-0.005845353795970759,-0.039824605965001425,-0.007716936486504566,-0.00011028969426360447,-0.00018047404515861287,-0.0008021068673716436,-0.0013067657714262992,-0.02021977728165983,0.009936098819566058,-0.013418579468737896,-0.0002439741721588784,-0.003495849096961351,-0.007823884068820786,0.003649586246540909,-0.006654144887237146,-0.000748633076213534,-0.0001470529256848152,-0.0007620015240030475
MLPCl eval Iter 9,0.0021590043180086393,-0.002108872638797915,-0.01194805021188991,0.0021690306538507675,-0.0018816090263759633,-0.01036054703688355,-0.004822667540071934,-0.003803323396120495,-0.005521168937074716,-0.004605430263492111,-0.005989064609708189,-0.0016743980856382956,-0.0034156384102241866,-0.012576367257997684,-0.0007285804045292499,-0.007563199336925008,-0.004287929628490839,-0.0015473978316377646,-5.3473791158109574e-05,0.0,-4.010534336859606e-05,0.004826009652019292,-0.0026870580056949644,0.0028976110583799897,-0.001915030145849761,-0.0008923438899509362,0.0006751066133711126,-0.001821451011323083,-0.013465369036001235,-0.00022726361242197957,-0.00035426386642248286,-0.00035092175447509755,0.004953009906019795,-0.017198508081226693,-0.015009424755691614,-0.013070999826210183,5.681590310549489e-05,-0.0031081641110650704,0.0012399235324786484,-0.0019918987206395677,-0.0006283170461077736,-0.018612221434969184,-0.0007753699717925888,3.342111947379767e-05,-0.0019885566086921824,0.0005180273518441691,-0.0007118698447923233,-0.0006951592850554245,-0.0057150114300228705,-0.0392965522773151,-0.007673489031188585,-9.692124647409095e-05,-0.00018047404515861287,-0.0006383433819499296,-0.0014805555926901415,-0.020945015574241693,0.010180072991724909,-0.013555606058580555,-0.00025400050800103435,-0.003505875432803507,-0.007773752389610061,0.0033086908279079674,-0.006517118297394486,-0.0006817908372658832,-0.00012365814205314574,-0.0008890017780035508
