,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea train Iter 0,5.156233886771666e-05,0.18490254717954002,-0.0008765597607507392,-0.0010828091162214948,-0.0009281220996184558,5.156233886771666e-05,0.0007218727441477002,0.0009796844384860615,-0.0002578116943384723,-0.0006703104052799835,0.2026915540888934,0.0021656182324429896,0.256677322883366,0.2623491801588119,-0.0004640610498092279,0.0038156130762091456,-0.0003609363720739056,-0.0017531195215014783,-5.156233886771666e-05,0.0,-5.156233886771666e-05,-0.0017531195215014783,0.06481385995668765,0.15618232443023616,0.07858100443436111,0.05903887800350616,0.08610910590904397,0.0595545013921831,0.01211714963390742,0.0002578116943384723,0.0005156233886768335,0.0,-0.002835928637723084,0.07249664844797354,-0.00041249871094151125,-0.00010312467773543332,-0.0005156233886769446,0.10064968546973285,0.0825513045271733,0.059812313086521574,0.054604516860884744,0.0003093740332060779,0.0023203052490460285,-0.002423429926781462,-0.002268742910178423,0.006909353408270591,-0.0005156233886769446,-0.0010828091162214948,-0.0007218727441477002,-0.002732803959987651,-0.0007218727441477002,-0.0002578116943384723,0.0012374961328245337,0.0,0.013870269155408899,0.010312467773538225,0.0001031246777353223,0.0003609363720737946,-0.00015468701660314998,0.0003609363720737946,-0.00041249871094151125,-0.0011343714550892114,-0.0004640610498092279,-0.0002578116943384723,0.0018562441992368006,-0.0009796844384861725
Linea train Iter 1,-5.156233886771666e-05,0.18160255749200782,-0.0008765597607507392,-0.0010312467773538891,-0.0008765597607507392,0.0001031246777353223,0.0009281220996184558,0.0010828091162214948,0.0001031246777353223,-0.0004640610498092279,0.2038259255439826,0.0023203052490460285,0.25616169949468903,0.2585851294214705,-0.00030937403320618895,0.004846859853562924,-0.00010312467773543332,-0.0004640610498092279,-5.156233886771666e-05,0.0,5.156233886771666e-05,-0.0020109312158399506,0.06337011446839225,0.1585026296792822,0.07445601732494578,0.05816231824275542,0.08425286170980717,0.06141074559142001,0.011807775600701231,0.00020624935547075562,0.0008249974218830225,0.0,-0.005465607919975302,0.07187790038156128,-0.00015468701660314998,-0.00020624935547075562,-0.0004640610498092279,0.0956997009384345,0.08420129937093945,0.06012168711972776,0.054604516860884744,0.0005156233886768335,0.002835928637722973,-0.002681241621119934,-0.0023203052490461396,0.00634216768072593,-0.0005671857275446612,-0.0006703104052799835,-0.0008765597607507392,-0.0020109312158399506,-0.0008249974218831335,5.156233886771666e-05,0.002114055893575273,0.0,0.01356089512220271,0.010982778178818209,-5.156233886771666e-05,-0.00010312467773543332,-5.156233886771666e-05,-0.00010312467773543332,-0.0002578116943384723,-0.0011343714550892114,-0.00041249871094151125,-0.00020624935547075562,0.0010828091162214948,-0.0009281220996184558
Linea train Iter 2,5.156233886771666e-05,0.17845725482107866,-0.0008765597607507392,-0.0008249974218831335,-0.0009796844384861725,-0.00015468701660314998,0.0006187480664122669,0.0004640610498092279,0.0004640610498092279,-0.00041249871094151125,0.20227905537795188,0.001495307827163006,0.2572445086109105,0.25884294111580897,-0.0003609363720739056,0.005156233886769113,0.00020624935547075562,-0.0003609363720739056,0.0,0.0,0.0001031246777353223,-0.002114055893575384,0.061359183252552296,0.15716200886872222,0.07693100959059496,0.05960606373105082,0.08152005774981952,0.05888419098690312,0.012323398989378176,0.0010312467773537781,0.00020624935547075562,0.0,-0.006032793647519852,0.0723419614313705,0.0,0.0,-0.0003609363720739056,0.09482314117768376,0.08430442404867478,0.05867794163143236,0.05439826750541399,0.0003093740332060779,0.002371867587913745,-0.002681241621119934,-0.0020109312158399506,0.006393730019593646,-0.0003609363720739056,-0.0012890584716922504,-0.001185933793956928,-0.0020624935547076673,-0.0006187480664122669,0.00015468701660303896,0.0018562441992368006,0.0,0.014489017221821165,0.010518717129008981,-5.156233886771666e-05,0.0001031246777353223,5.156233886771666e-05,0.0002578116943384723,-0.00010312467773543332,-0.0014437454882954004,-0.0003609363720739056,-0.00010312467773543332,0.0015984325048984394,-0.0012374961328246448
Linea train Iter 3,-0.0002578116943384723,0.18784160049499843,-0.001340620810559967,-0.0005671857275446612,-0.0017531195215014783,5.156233886771666e-05,0.001495307827163006,0.0009281220996184558,0.0007218727441477002,-0.0005671857275446612,0.20150562029493657,0.002681241621119934,0.25626482417242447,0.25941012684335363,0.0001031246777353223,0.0027843662988552564,-0.00041249871094151125,-0.001340620810559967,5.156233886771666e-05,0.0,-0.00015468701660314998,-0.002526554604516895,0.06455604826234917,0.1552542023306177,0.07471382901928425,0.05857481695369704,0.08425286170980717,0.05996700010312461,0.012787460039187404,-0.00030937403320618895,0.0007218727441477002,0.0,-0.00489842219243064,0.07254821078684126,-5.156233886771666e-05,0.0,-0.0008765597607507392,0.09961843869237907,0.08796535010828088,0.05996700010312461,0.05341858306692793,0.0003609363720737946,0.002114055893575273,-0.0022171805713107062,-0.0021656182324431006,0.0059296689697844185,-0.0005671857275446612,-0.0006703104052799835,-0.0017531195215014783,-0.002578116943384612,-0.0007218727441477002,0.0,0.0020624935547076673,0.0,0.013457770444467387,0.010879653501082776,0.0,5.156233886771666e-05,-5.156233886771666e-05,-0.0008249974218831335,-0.00030937403320618895,-0.001185933793956928,-0.00041249871094151125,-0.0003609363720739056,0.001649994843766045,-0.0011343714550892114
Linea train Iter 4,0.0,0.18067443539238937,-0.0011343714550892114,-0.0012374961328246448,-0.0012890584716922504,5.156233886771666e-05,0.00041249871094151125,0.001185933793956817,0.0007734350830153058,-0.0010312467773538891,0.20351655151077652,0.003145302670929162,0.25621326183355675,0.2597195008765597,-0.0002578116943384723,0.0041249871094152235,-0.00020624935547075562,0.0001031246777353223,0.0,0.0,0.00015468701660303896,-0.0029390533154584064,0.061823244302361524,0.15649169846344224,0.07502320305249044,0.05867794163143236,0.08347942662679175,0.05872950397030008,0.011859337939568948,-5.156233886771666e-05,0.0004640610498092279,0.0,-0.004640610498092168,0.073424770547592,-0.0003609363720739056,5.156233886771666e-05,-0.0005156233886769446,0.09564813859956689,0.08507785913169019,0.06068887284727231,0.052129524595235566,0.00041249871094151125,0.0019078065381045173,-0.0030937403320614454,-0.0022171805713107062,0.006393730019593646,-0.00041249871094151125,-0.0015984325048984394,-0.001185933793956928,-0.001185933793956928,-0.0006187480664122669,0.0,0.0022171805713107062,0.0,0.013612457461070426,0.011601526245230476,-0.0005671857275446612,0.0,0.0,0.0003093740332060779,-0.0002578116943384723,-0.0008765597607507392,-0.00020624935547075562,0.0,0.001340620810559967,-0.0004640610498092279
Linea train Iter 5,-0.00015468701660314998,0.18021037434258014,-0.0006703104052799835,0.0001031246777353223,-0.0005671857275446612,0.00015468701660303896,0.001495307827163006,0.0013921831494276837,0.00041249871094151125,-0.0003609363720739056,0.20516654635454257,0.0023203052490460285,0.25801794369392594,0.26286480354748887,-0.00020624935547075562,0.0031968650097967677,-0.00030937403320618895,-0.00010312467773543332,0.0,0.0,0.00020624935547075562,-0.0026296792822522175,0.06120449623594926,0.15731669588532537,0.0766731978962566,0.05919356502010931,0.08306692791585024,0.05945137671444778,0.01196246261730427,5.156233886771666e-05,0.00041249871094151125,0.0,-0.0074249767969475355,0.07394039393626894,5.156233886771666e-05,-0.0002578116943384723,-0.0006187480664122669,0.10126843353614512,0.08853253583582543,0.06074043518614003,0.051717025884294054,0.00020624935547075562,0.0019078065381045173,-0.0026296792822522175,-0.0028874909765906898,0.006290605341858324,-0.0004640610498092279,-0.0010828091162214948,-0.0014437454882954004,-0.0021656182324431006,-0.0006187480664122669,-0.0002578116943384723,0.0011343714550892114,0.0,0.013818706816541182,0.01124058987315657,-0.0003609363720739056,-0.0002578116943384723,0.0001031246777353223,0.0,-5.156233886771666e-05,-0.001185933793956928,-5.156233886771666e-05,-0.00015468701660314998,0.0005156233886768335,-0.0014437454882954004
Linea train Iter 6,0.00015468701660303896,0.18015881200371242,-0.00041249871094151125,-0.00041249871094151125,-0.0012374961328246448,-5.156233886771666e-05,0.00041249871094151125,0.0005671857275445502,0.0005671857275445502,-0.0005671857275446612,0.20480560998246877,0.002423429926781462,0.25471795400639374,0.2578116943384552,-0.00020624935547075562,0.0034031143652676343,0.0001031246777353223,-0.0003609363720739056,5.156233886771666e-05,0.0,-0.00015468701660314998,-0.0038671754150768622,0.060946684541610785,0.15246983603176234,0.0767247602351242,0.05976075074765386,0.08564504485923474,0.060946684541610785,0.011446839228627437,0.0005156233886768335,0.0005156233886768335,0.0,-0.007270289780344497,0.07131071465401673,-0.00030937403320618895,-0.00010312467773543332,-0.0004640610498092279,0.09379189440032998,0.08332473961018871,0.060946684541610785,0.0529545220171187,0.0003093740332060779,0.001649994843766045,-0.002423429926781462,-0.002268742910178423,0.005981231308652135,-0.0004640610498092279,-0.0008249974218831335,-0.0017015571826338727,-0.0009281220996184558,-0.0006187480664122669,-0.00015468701660314998,0.0013921831494276837,0.0,0.013664019799938143,0.011446839228627437,0.0002578116943384723,-0.00015468701660314998,0.0,-0.00020624935547075562,-0.00015468701660314998,-0.0014437454882954004,-0.00015468701660314998,0.0002578116943384723,0.001185933793956817,-0.001185933793956928
Linea train Iter 7,-0.00010312467773543332,0.18639785500670303,-0.0008249974218831335,-0.0010828091162214948,-0.0013921831494276837,0.00015468701660303896,0.001185933793956817,0.0012374961328245337,-0.00020624935547075562,-0.0010828091162214948,0.2012478086005981,0.002681241621119934,0.25358358255130453,0.26394761266371036,-5.156233886771666e-05,0.005053109209033679,-0.0012890584716922504,-0.0009281220996184558,5.156233886771666e-05,0.0,-0.0003609363720739056,-0.0026296792822522175,0.06074043518614003,0.15350108280911623,0.07543570176343195,0.06012168711972776,0.08703722800866243,0.060946684541610785,0.011704650922965798,0.0006187480664122669,0.00020624935547075562,0.0,-0.007476539135815252,0.07156852634835509,0.0001031246777353223,-0.00030937403320618895,-0.00030937403320618895,0.09967000103124679,0.08616066824791169,0.060946684541610785,0.054604516860884744,0.00041249871094151125,0.0017531195215014783,-0.003145302670929162,-0.0020109312158399506,0.006135918325255174,-0.0004640610498092279,-0.0009796844384861725,-0.002526554604516895,-0.002423429926781462,-0.0007218727441477002,-5.156233886771666e-05,0.002835928637722973,0.0,0.012942147055790443,0.010982778178818209,-0.00015468701660314998,-5.156233886771666e-05,0.0,-0.0005671857275446612,-0.0005156233886769446,-0.001340620810559967,-0.00020624935547075562,0.0002578116943384723,0.0009281220996184558,-0.0010828091162214948
Linea train Iter 8,0.00015468701660303896,0.18098380942559555,-0.0018562441992369116,-0.0008249974218831335,-0.0015984325048984394,5.156233886771666e-05,0.0005671857275445502,0.0007734350830153058,0.0006187480664122669,-0.0004640610498092279,0.20588841909869027,0.0026296792822522175,0.2579663813550582,0.26271011653088583,-0.00020624935547075562,0.0031968650097967677,-0.0009796844384861725,-0.0008765597607507392,0.0,0.0,0.0007218727441477002,-0.001649994843766156,0.06290605341858302,0.153037021759307,0.07471382901928425,0.057904506548417056,0.08409817469320402,0.06300917809631845,0.011756213261833515,0.0003609363720737946,0.00020624935547075562,0.0,-0.0034031143652676343,0.07177477570382584,-0.0002578116943384723,-0.00015468701660314998,-0.0005156233886769446,0.0956997009384345,0.08301536557698252,0.0628029287408477,0.05527482726616473,0.0002578116943384723,0.0021656182324429896,-0.0033515520263999177,-0.0027843662988553675,0.006135918325255174,-0.0004640610498092279,-0.0005156233886769446,-0.0008765597607507392,-0.0010312467773538891,-0.0007218727441477002,-0.00020624935547075562,0.002114055893575273,0.0,0.014128080849747371,0.01067340414561202,-0.00020624935547075562,0.00015468701660303896,0.0,-0.00020624935547075562,-0.0005156233886769446,-0.0012374961328246448,-0.00015468701660314998,0.00020624935547075562,0.0019078065381045173,-0.0002578116943384723
Linea train Iter 9,-0.00015468701660314998,0.17830256780447562,-0.0010312467773538891,-0.0007218727441477002,-0.0008249974218831335,0.0001031246777353223,0.0007218727441477002,0.0003093740332060779,0.0003093740332060779,-0.00041249871094151125,0.2034649891719088,0.0020624935547076673,0.25363514489017214,0.2623491801588119,-0.0004640610498092279,0.004021862431679901,0.00020624935547075562,-0.0003609363720739056,0.0,0.0,0.0001031246777353223,-0.0029390533154584064,0.06321542745178921,0.1577807569351346,0.07538413942456423,0.05831700525935857,0.08157162008868724,0.05914200268124159,0.012065587295039704,0.0002578116943384723,0.0003609363720737946,0.0,-0.005362483242239868,0.07507476539135816,-0.00030937403320618895,-0.0002578116943384723,-0.0004640610498092279,0.09482314117768376,0.08394348767660098,0.06146230793028773,0.05666701041559241,5.156233886771666e-05,0.001959368876972234,-0.002526554604516895,-0.0022171805713107062,0.006599979375064402,-0.0004640610498092279,-0.0008249974218831335,-0.0010828091162214948,-0.001959368876972234,-0.0007218727441477002,-5.156233886771666e-05,0.002423429926781462,0.0,0.014024956172011938,0.010982778178818209,5.156233886771666e-05,-5.156233886771666e-05,-5.156233886771666e-05,-0.0005671857275446612,-0.00020624935547075562,-0.0014437454882954004,-5.156233886771666e-05,0.0,0.0013921831494276837,-0.0009281220996184558
