,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
MLPCl train Iter 0,0.0212722438126407,0.09086725301697696,0.024800572714256508,0.05297606872571081,0.021221108611167994,0.018306402127224453,0.034413990591122934,0.04070362037226427,0.020249539783186776,0.05757823685825325,0.03206177132337906,0.052004499897729595,0.013704233994682014,0.014062180404990854,0.03487420740437719,0.09224790345673972,0.025209654326038056,0.09086725301697696,0.014573532419717816,0.0,0.023931274289220705,0.04187973000613632,0.02863571282470856,0.0015851912456535944,0.04678870934751489,0.029760687257107787,0.0024033544692166897,0.0468398445489876,0.06893025158519128,0.010738392309265765,0.0028635712824709447,0.0,0.06698711392922896,0.0022499488647985677,0.003528328901615918,0.002914706483943541,0.013806504397627428,0.0009715688279812174,0.001380650439762765,0.0264368991613827,0.035896911433831113,0.02439149110247496,0.006494170587032166,0.019124565350787548,0.0036305993045613327,0.007772550623849517,0.004755573736960561,0.00807936183268565,0.00879525465330333,0.004244221722233599,-0.000306811208836133,0.0036305993045613327,0.009869093884229962,0.0,0.009460012272448415,0.010124769891593388,0.005215790550214816,0.004857844139905976,0.008130497034158357,0.0025056248721619934,0.0013295152382900577,0.000460216813254255,0.0010227040294539247,0.012170177950501126,0.0031192472898343704,0.009408877070975707
MLPCl train Iter 1,0.020044998977296058,0.08672530169768877,0.02659030476580082,0.05246471671098385,0.022857435058294184,0.017743914911024783,0.032573123338106025,0.03758437308243001,0.02035181018613219,0.05635099202290861,0.03206177132337906,0.050879525465330366,0.015903047658007874,0.008948660257721452,0.03334015136019641,0.08933319697279607,0.023777868684802694,0.09025363059930458,0.017846185313970198,0.0,0.023368787073021147,0.042493352423808584,0.026743710370218943,0.002147678461853153,0.050010227040294564,0.03011863366741674,0.0002556760073635367,0.04776027817549611,0.07025976682348134,0.009306606668030293,0.0019431376559624347,0.0,0.06678257312333813,0.001227244835344754,0.005573736960523656,0.0037328697075067474,0.012630394763755382,0.0025056248721619934,0.0005113520147269623,0.030220904070362042,0.036612804254448794,0.0255164655348743,0.005829412967887193,0.01978932296993252,0.00403968091634288,0.006852116997341007,0.004397627326651721,0.010891797913683776,0.008948660257721452,0.0029658416854162484,-0.00035794641030884033,0.001687461648598898,0.010124769891593388,0.0,0.008232767437103772,0.009817958682757255,0.004397627326651721,0.005624872161996364,0.008283902638576479,0.0018920024544897274,0.0015851912456535944,0.0019431376559624347,0.001380650439762765,0.011249744323992728,0.0028635712824709447,0.009255471466557585
MLPCl train Iter 2,0.02183473102884026,0.08575373286970756,0.026641439967273528,0.05425444876252816,0.02035181018613219,0.019738187768459814,0.03334015136019641,0.037124156269175757,0.01948251176109639,0.05706688484352629,0.03027203927183475,0.053129474330128934,0.015851912456535167,0.011096338719574605,0.03543669462057686,0.08560032726528943,0.024851707915729215,0.08733892411536104,0.015442830844753619,0.0,0.02290857025976689,0.03947637553691963,0.027766414399672756,0.0024033544692166897,0.04990795663734915,0.03098793209245254,0.0012783800368173504,0.04658416854162406,0.07204949887502565,0.010584986704847643,0.002607895275107408,0.0,0.06913479239108211,0.001994272857435142,0.005011249744323987,0.0020454080589078494,0.012988341174064222,0.00184086725301702,0.0015851912456535944,0.030527715279198286,0.03686848026181233,0.024698302311311204,0.004346492125179013,0.01963591736551451,0.0031192472898343704,0.006903252198813714,0.004346492125179013,0.008335037840049186,0.0075680098179586874,0.004193086520760891,-0.00035794641030884033,0.00276130087952553,0.009153201063612282,0.0,0.011607690734301568,0.00971568827981184,0.005369196154632938,0.004499897729597135,0.008283902638576479,0.0020965432603804457,0.0009715688279812174,0.001687461648598898,0.001994272857435142,0.010227040294538803,0.0022499488647985677,0.012323583554919249
MLPCl train Iter 3,0.02168132542442225,0.09010022499488657,0.027203927183473198,0.05353855594191048,0.023164246267130317,0.019022294947842133,0.03098793209245254,0.04075475557373698,0.02076089179791374,0.057527101656780544,0.031039067293925138,0.05589077520965435,0.01523829003886279,0.0119145019431377,0.029965228062998617,0.08938433217426878,0.026743710370218943,0.08831049294334226,0.013601963591736599,0.0,0.025823276743710433,0.041930865207608914,0.026181223154019273,0.00184086725301702,0.04965228062998572,0.031243608099815967,0.001380650439762765,0.04842503579464108,0.06831662916751902,0.009664553078339133,0.0017385968500716054,0.0,0.06775414195131935,0.00184086725301702,0.00403968091634288,0.0035794641030886254,0.014062180404990854,0.001073839230926632,0.0006647576191450844,0.02991409286152591,0.03599918183677653,0.023573327878911865,0.005982818572305204,0.019329106156678266,0.002914706483943541,0.007312333810595262,0.00496011454285139,0.009817958682757255,0.008386173041521783,0.0031192472898343704,-0.00020454080589071832,0.0023522192677439824,0.007823685825322224,0.0,0.00807936183268565,0.00992022908570267,0.005113520147269401,0.004806708938433268,0.008130497034158357,0.0026590304765801154,0.0014317856412354724,0.001687461648598898,0.001534056044180887,0.009613417876866537,0.0031192472898343704,0.011709961137246983
MLPCl train Iter 4,0.021885866230312967,0.08861730415217839,0.02602781754960115,0.057322560850889825,0.020607486193495617,0.017897320515442905,0.03206177132337906,0.03876048271630195,0.019533646962569096,0.058805481693597894,0.03160155451012481,0.05358969114338319,0.01580077725506246,0.010227040294538803,0.03185723051748823,0.09086725301697696,0.02198813663325838,0.08948660257721419,0.015187154837390082,0.0,0.023061975864184903,0.04223767641644516,0.027817549601145464,0.0021988136633258604,0.04929433421967688,0.031090202495397845,0.0008692984250358027,0.04735119656371456,0.06714051953364697,0.008130497034158357,0.0026590304765801154,0.0,0.07066884843526289,0.0013295152382900577,0.004755573736960561,0.004090816117815588,0.015136019635917375,0.001687461648598898,0.001687461648598898,0.028482307220290548,0.03773777868684802,0.02367559828185728,0.00496011454285139,0.01999386377582335,0.003221517692779785,0.006545305788504874,0.004755573736960561,0.007925956228267639,0.008335037840049186,0.0037328697075067474,-0.000460216813254144,0.0026590304765801154,0.007977091429740235,0.0,0.0077214154223768094,0.009971364287175377,0.004090816117815588,0.005573736960523656,0.006749846594395592,0.002454489670689397,0.001380650439762765,0.0022499488647985677,0.001534056044180887,0.010533851503374936,0.0031192472898343704,0.0075680098179586874
MLPCl train Iter 5,0.02367559828185728,0.08636735528737993,0.030169768868889446,0.054612395172837,0.0212722438126407,0.01723256289629782,0.03195950092043365,0.03671507465739421,0.01984045817140523,0.057680507261198666,0.02935160564532624,0.05323174473307435,0.016618940478625555,0.01155655553282886,0.03431172018817763,0.08708324810799761,0.02388013908774811,0.09117406422581309,0.01431785641235428,0.0,0.024647167109838497,0.03962978114133775,0.026897115974636954,0.002147678461853153,0.04801595418285953,0.029811822458580495,0.00035794641030895136,0.0477091429740234,0.0750664757619145,0.009357741869503,0.002301084066271275,0.0,0.0682143587645736,0.0008181632235630953,0.004704438535487854,0.0021988136633258604,0.012783800368173504,0.0009715688279812174,0.001380650439762765,0.028022090407036293,0.03635712824708537,0.025465330333401592,0.006136224176723326,0.01999386377582335,0.0032726528942524924,0.007056657803231836,0.004755573736960561,0.00843730824299449,0.01007363469012068,0.004653303334015146,-5.1135201472596314e-05,0.0024033544692166897,0.01063612190632035,0.0,0.009102065862139574,0.00971568827981184,0.005624872161996364,0.0038862753119247584,0.007670280220904102,0.002301084066271275,0.0008692984250358027,0.000613622417672377,0.0015851912456535944,0.010687257107793058,0.0024033544692166897,0.011454285129883446
MLPCl train Iter 6,0.019022294947842133,0.09153201063612193,0.024442626303947668,0.05645326242585402,0.02147678461853142,0.017846185313970198,0.03098793209245254,0.03886275311924736,0.022448353446512637,0.05737369605236253,0.03062998568214359,0.05343628553896507,0.014829208427081242,0.013192881979955051,0.034976477807322603,0.09050930660666812,0.026385763959910102,0.09229903865821232,0.016056453262425885,0.0,0.023726733483329987,0.041163837185518526,0.02751073839230933,0.0029658416854162484,0.04765800777255069,0.029095929637962814,0.001073839230926632,0.0477091429740234,0.07138474125588057,0.010789527510738472,0.00184086725301702,0.0,0.06693597872775625,0.0014829208427081797,0.005829412967887193,0.0023522192677439824,0.014726938024135827,0.0021988136633258604,0.0010227040294539247,0.027970955205563586,0.03763550828390272,0.023624463080384572,0.0069543874002864214,0.020505215790550313,0.001994272857435142,0.006494170587032166,0.0031192472898343704,0.009511147473921122,0.009511147473921122,0.003835140110452051,0.0,0.003068112088361663,0.008846389854776038,0.0,0.008386173041521783,0.009408877070975707,0.004141951319288295,0.005266925751687523,0.00807936183268565,0.0020965432603804457,0.000767028022090499,0.002147678461853153,0.0014829208427081797,0.01099406831662919,0.003068112088361663,0.008846389854776038
MLPCl train Iter 7,0.02183473102884026,0.08626508488443452,0.028124360809981597,0.051084066271221196,0.02255062384945805,0.018715483739006,0.03170382491307022,0.036766209858866916,0.020965432603804457,0.05681120883616286,0.027255062384945794,0.05394763755369203,0.014062180404990854,0.012272448353446541,0.03318674575577829,0.08825935774186955,0.02403354469216612,0.08897525056248723,0.017641644508079368,0.0,0.023982409490693413,0.041726324401718196,0.029453876048271654,0.002914706483943541,0.04929433421967688,0.03047658007772558,0.0011249744323993394,0.04719779095929644,0.06959500920433637,0.006903252198813714,0.0022499488647985677,0.0,0.06933933319697283,0.0031192472898343704,0.004755573736960561,0.003937410513397466,0.013704233994682014,0.001687461648598898,0.001380650439762765,0.028533442421763144,0.033646962569032546,0.024698302311311204,0.005164655348742109,0.018971159746369426,0.0023522192677439824,0.00496011454285139,0.004346492125179013,0.008232767437103772,0.00807936183268565,0.00276130087952553,-0.000153405604418011,0.0024033544692166897,0.00843730824299449,0.0,0.009050930660666867,0.00864184904888532,0.004551032931069843,0.005573736960523656,0.008386173041521783,0.001994272857435142,0.0013295152382900577,0.0021988136633258604,0.001073839230926632,0.012630394763755382,0.0033237880957251997,0.00899979545919416
MLPCl train Iter 8,0.02035181018613219,0.08365718960932711,0.028175496011454304,0.05558396400081822,0.021783595827367663,0.018971159746369426,0.03011863366741674,0.038095725097156974,0.021169973409695286,0.058805481693597894,0.031243608099815967,0.05307833912865623,0.016823481284516273,0.010175905093066095,0.03431172018817763,0.08851503374923297,0.025772141542237725,0.09096952341992237,0.015340560441808204,0.0,0.02659030476580082,0.04060134996931897,0.027613008795254745,0.0018920024544897274,0.0503170382491307,0.03160155451012481,0.001073839230926632,0.04530578850480671,0.07210063407649836,0.008948660257721452,0.0005113520147269623,0.0,0.06893025158519128,0.002301084066271275,0.004397627326651721,0.004141951319288295,0.013806504397627428,0.002301084066271275,0.001073839230926632,0.03134587850276138,0.03686848026181233,0.026283493556964688,0.005880548169359789,0.020044998977296058,0.003374923297197796,0.00715892820617714,0.0033237880957251997,0.00879525465330333,0.008181632235631064,0.0028124360809982374,-0.00035794641030884033,0.0035794641030886254,0.009511147473921122,0.0,0.008283902638576479,0.009869093884229962,0.004755573736960561,0.0034260584986705034,0.0075680098179586874,0.001994272857435142,0.0012783800368173504,0.0020454080589078494,0.001073839230926632,0.01155655553282886,0.0018920024544897274,0.010431581100429632
MLPCl train Iter 9,0.0204029453876049,0.0877991409286153,0.025260789527510763,0.049959091838821856,0.02367559828185728,0.020300674984659484,0.03303334015136028,0.04126610758846394,0.02183473102884026,0.055123747187563965,0.03119247289834326,0.051953364696257,0.015391695643280912,0.01155655553282886,0.03359582736755984,0.08882184495806922,0.027101656780527783,0.09061157700961342,0.01523829003886279,0.0,0.024186950296584242,0.040805890775209686,0.02771527919820005,0.0014317856412354724,0.048527306197586495,0.03298220494988757,0.0014829208427081797,0.044334219676825604,0.06923706279402742,0.01084066271221118,0.0011761096338720467,0.0,0.06893025158519128,0.0020454080589078494,0.005624872161996364,0.0029658416854162484,0.01303947637553693,0.0011761096338720467,0.0007158928206177917,0.02822663121292701,0.03722642667212117,0.02423808549805695,0.005215790550214816,0.015851912456535167,0.0033237880957251997,0.005982818572305204,0.0038862753119247584,0.009357741869503,0.0075680098179586874,0.002607895275107408,-0.00010227040294530365,0.0035794641030886254,0.009869093884229962,0.0,0.0074146042135406764,0.009511147473921122,0.005318060953160231,0.00403968091634288,0.005931683370832497,0.0025056248721619934,0.0012783800368173504,0.0014317856412354724,0.00184086725301702,0.012016772346083116,0.0024033544692166897,0.010482716301902228
