,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis train Iter 0,0.00659614187927815,0.01879278158058495,0.09558182949595517,0.09761460277950629,0.10906450943787593,0.006139805019705458,0.02791951877203902,0.025637834474175447,0.054387056627255737,0.04422319020950005,0.017589711678075104,0.15146235220908522,0.013773076125285222,0.007882182119892112,0.072723501348268,0.06807716241443684,0.029247044181704984,0.10491599253266959,0.044679527069072744,0.0,0.10080896079651525,0.08612321095208464,0.06724745903339557,0.005268616469612075,0.3057456959137108,0.15229205559012648,0.007135449076954958,0.025305953121758984,0.029371499688861213,0.0034432690313213055,0.002779506326488268,0.0,0.12561709188964942,0.08400746733042941,0.0,0.0004978220286248058,0.0,0.007674756274631767,0.003401783862269192,0.08471271520431445,0.10761252852105374,0.03895457373988798,0.000622277535780924,0.014644264675378493,0.002696535988384152,0.018046048537647796,0.0018253474382907697,0.0038581207218418845,0.03252437253681806,0.0033188135241650762,0.0019912881144990013,0.0037751503837377687,0.0072599045841111876,0.0,0.026426052686164714,0.025222982783654868,0.00045633685957269243,0.0002903961833644608,4.148516905200239e-05,0.0283343704625596,0.013939016801493453,0.0024061398050196914,0.0024061398050196914,0.0004978220286248058,0.0009956440572495007,0.0048952499481434986
Decis train Iter 1,0.0062227753578095735,0.017921593030491567,0.09728272142708982,0.0942543040862891,0.10943787595934451,0.006471686372121921,0.029412984857913327,0.025720804812279563,0.05260319435801697,0.04351794233561501,0.017465256170918875,0.15162829288529345,0.01331673926571253,0.007342874922215303,0.07392657125077784,0.06409458618543873,0.02845882596971583,0.1044596556730969,0.04596556730968682,0.0,0.10168014934660863,0.08674548848786556,0.06766231072391615,0.005268616469612075,0.30640945861854385,0.15096453018046052,0.00730138975316319,0.025720804812279563,0.02916407384360087,0.003982576228998114,0.0026135656502800364,0.0,0.12428956647998335,0.08143538684920137,8.29703381041158e-05,0.0002489110143123474,0.0,0.007342874922215303,0.0031528728479568446,0.08425637834474176,0.10632648828043978,0.03804190002074259,0.0005393071976768082,0.015805849408836337,0.0026135656502800364,0.01783862269238745,0.002364654635967578,0.0040655465671022295,0.031902095001037134,0.0033188135241650762,0.0021987139597593464,0.0034432690313213055,0.006305745695913689,0.0,0.028375855631611713,0.025928230657539908,0.0005393071976768082,0.0002489110143123474,0.0,0.02974486621032979,0.014270898153909917,0.003069902509852729,0.0030284173408006154,0.000622277535780924,0.0007467330429371533,0.0044803982576229195
Decis train Iter 2,0.006720597386434379,0.01850238539722049,0.09554034432690317,0.09612113669363198,0.11147064924289563,0.00547604231487242,0.027670607757726562,0.02555486413607133,0.054387056627255737,0.04530180460485378,0.018626840904376718,0.14806056834681602,0.013856046463389338,0.00771624144368388,0.07396805641982995,0.06289151628292888,0.028375855631611713,0.10292470441817048,0.04708566687409255,0.0,0.10288321924911847,0.0849616262186268,0.07015142086704007,0.004729309271935267,0.3101016386641775,0.1528313627878034,0.0066376270483302635,0.026716448869529175,0.030201203069902482,0.0034432690313213055,0.002572080481227923,0.0,0.124040655465671,0.08284588259697157,4.148516905200239e-05,0.00020742584526034502,0.0,0.006762082555486382,0.0032358431860609604,0.08454677452810622,0.10628500311138767,0.03945239576851278,0.0009956440572495007,0.014768720182534723,0.002364654635967578,0.018046048537647796,0.002281684297863462,0.003941091059946111,0.02991080688653802,0.0038581207218418845,0.0020327732835511148,0.0037751503837377687,0.007633271105579764,0.0,0.027421696743414214,0.0253889234598631,0.00020742584526034502,0.0002489110143123474,0.0,0.028375855631611713,0.01402198713959757,0.002572080481227923,0.002364654635967578,0.0005393071976768082,0.0007882182119891556,0.0040655465671022295
Decis train Iter 3,0.006720597386434379,0.018294959551960144,0.09645301804604856,0.0937979672267164,0.11611698817672678,0.005351586807716191,0.029412984857913327,0.02509852727649864,0.05206388716034016,0.044098734702343934,0.017755652354283336,0.14947106409458621,0.012777432068035721,0.00730138975316319,0.07413399709603818,0.06629330014519808,0.02862476664592406,0.10342252644679528,0.04700269653598832,0.0,0.10383737813731586,0.08757519186890683,0.06923874714789457,0.004853764779091496,0.3041277743206804,0.15303878863306364,0.007176934246007072,0.025057042107446525,0.02991080688653802,0.004024061398050227,0.002862476664592384,0.0,0.1244969923252437,0.08321924911844014,0.0,0.0001659406762082316,0.0,0.007425845260319419,0.003401783862269192,0.08467123003526233,0.10744658784484551,0.03912051441609621,0.000622277535780924,0.014270898153909917,0.0028209914955403814,0.018046048537647796,0.0022401991288114598,0.004314457581414688,0.03239991702966194,0.003609209707529537,0.001742377100186654,0.0032358431860609604,0.006139805019705458,0.0,0.02708981539099775,0.02555486413607133,0.0005807923667289216,0.0004978220286248058,0.0,0.027172785729101867,0.013980501970545567,0.002074258452603228,0.0018668326073428831,0.0006637627048330375,0.0009126737191453849,0.004978220286247614
Decis train Iter 4,0.006471686372121921,0.01825347438290814,0.09732420659614183,0.09653598838415267,0.11043352001659401,0.005600497822028649,0.029827836548433906,0.025430408628915102,0.05160755030076747,0.044264675378552165,0.01779713752333545,0.15216760008297037,0.012984857913295955,0.0066376270483302635,0.07214270898153907,0.06509023024268823,0.029205559012652982,0.09956440572495329,0.045509230450114124,0.0,0.10014519809168221,0.08541796307819949,0.06674963700477077,0.004853764779091496,0.3071976768305331,0.15220908525202237,0.006720597386434379,0.025222982783654868,0.029081103505496753,0.004646338933831151,0.0027380211574361546,0.0,0.12524372536818085,0.08272142708981534,0.0,0.00012445550715622922,0.0,0.00701099356979884,0.0031113876789047312,0.08346816013275249,0.10632648828043978,0.03721219663970132,0.0006637627048330375,0.015225057042107415,0.002862476664592384,0.018709811242480834,0.002281684297863462,0.004024061398050227,0.030201203069902482,0.0034432690313213055,0.0020327732835511148,0.0031528728479568446,0.007965152457996227,0.0,0.025720804812279563,0.025015556938394523,0.000414851690520579,0.0003318813524164632,4.148516905200239e-05,0.028832192491184405,0.013565650280024877,0.002489110143123807,0.0022401991288114598,0.0006637627048330375,0.0010786143953536165,0.005102675793403844
Decis train Iter 5,0.00730138975316319,0.019000207425845295,0.09578925534121552,0.09259489732420656,0.11072391619995847,0.006886538062642611,0.030781995436631404,0.02650902302426883,0.05189794648413193,0.04505289359054132,0.01796307819954368,0.1494295789255341,0.01389753163244134,0.007467330429371533,0.07434142294129853,0.06405310101638662,0.029081103505496753,0.10342252644679528,0.04463804190002074,0.0,0.10226094171333744,0.08550093341630371,0.06940468782410292,0.004521883426674922,0.30636797344949185,0.15411740302841737,0.00771624144368388,0.025347438290810986,0.029495955196017443,0.0038581207218418845,0.0029039618336444972,0.0,0.12337689276083796,0.08433934868284587,0.0,0.0003318813524164632,0.0,0.007218419415059074,0.0033188135241650762,0.08313627878033603,0.10375440779921175,0.038498236880315284,0.000622277535780924,0.014229412984857914,0.0027380211574361546,0.018046048537647796,0.002157228790707344,0.004107031736154343,0.03074051026757929,0.004231487243310461,0.0019083177763948855,0.0033602986932171897,0.007218419415059074,0.0,0.027836548433934905,0.024808131093134178,0.0004978220286248058,0.0001659406762082316,0.0,0.028666251814976174,0.014644264675378493,0.0025305953121759206,0.0020327732835511148,0.0002903961833644608,0.0009541588881974983,0.004936735117195612
Decis train Iter 6,0.00659614187927815,0.018336444721012257,0.09653598838415267,0.09313420452188337,0.1098527276498652,0.0064302012030699185,0.029288529350757098,0.0263845675171126,0.05612943372744239,0.04463804190002074,0.01825347438290814,0.15312175897116775,0.014270898153909917,0.007550300767475648,0.07214270898153907,0.06525617091889646,0.03045011408421483,0.10313213026343082,0.04513586392864555,0.0,0.1006015349512549,0.08234806056834676,0.06811864758348884,0.004812279610039383,0.30844223190209497,0.1528313627878034,0.006928023231694613,0.025471893797967216,0.029703381041277677,0.004148516905206345,0.0029454470026964996,0.0,0.12619788425637835,0.08222360506119064,4.148516905200239e-05,0.0002903961833644608,0.0,0.006513171541174034,0.0030284173408006154,0.08292885293507568,0.10578718108276286,0.037668533499274015,0.0008297033810412691,0.015639908732628105,0.0027380211574361546,0.018419415059116373,0.0018668326073428831,0.004563368595727035,0.03086496577473552,0.003069902509852729,0.0019912881144990013,0.003277328355113074,0.007965152457996227,0.0,0.025845260319435792,0.02567931964322756,0.000414851690520579,0.0002903961833644608,0.0,0.02874922215308029,0.013275254096660416,0.002572080481227923,0.0022401991288114598,0.0006637627048330375,0.0008711885500933825,0.004190002074258459
Decis train Iter 7,0.00701099356979884,0.018875751918689065,0.09790499896287075,0.09578925534121552,0.11072391619995847,0.0062227753578095735,0.02933001451980921,0.02567931964322756,0.05397220493673516,0.042314872433105166,0.01837792989006426,0.15059116365899194,0.013524165110972763,0.0070524787388508425,0.07483924496992322,0.06479983405932377,0.028832192491184405,0.10425222982783655,0.044140219871395936,0.0,0.10143123833229617,0.08504459655673091,0.06878241028832188,0.004231487243310461,0.30499896287077366,0.14976146027795068,0.006098319850653344,0.025886745488487906,0.030657539929475175,0.003899605890893998,0.0029454470026964996,0.0,0.12524372536818085,0.08309479361128391,0.0,0.0002903961833644608,0.0,0.007135449076954958,0.003277328355113074,0.08164281269446172,0.10362995229205563,0.038788633063679745,0.0009541588881974983,0.015681393901680107,0.002572080481227923,0.01837792989006426,0.002281684297863462,0.004148516905206345,0.03074051026757929,0.003982576228998114,0.001949802945446999,0.0037751503837377687,0.007218419415059074,0.0,0.028085459448247252,0.026052686164696137,0.00012445550715622922,0.00037336652146857663,4.148516905200239e-05,0.02862476664592406,0.014063472308649683,0.0025305953121759206,0.0024061398050196914,0.0005807923667289216,0.0007882182119891556,0.004438913088570806
Decis train Iter 8,0.00618129018875746,0.01978842563783445,0.09728272142708982,0.0966604438913089,0.10910599460692805,0.006098319850653344,0.029827836548433906,0.024642190416925946,0.054387056627255737,0.04629744866210328,0.017589711678075104,0.15274839244969918,0.013482679941920761,0.007508815598423535,0.07243310516490353,0.06529765608794857,0.028541796307819944,0.10346401161584728,0.04712715204314455,0.0,0.09798796930097486,0.08720182534743826,0.06853349927400954,0.004190002074258459,0.3052478738850861,0.15457373988799006,0.006679112217382266,0.025347438290810986,0.03074051026757929,0.004024061398050227,0.002986932171748613,0.0,0.12781580584940877,0.08238954573739887,0.0,0.0002489110143123474,0.0,0.007093963907902956,0.003194358017008958,0.08438083385189799,0.10346401161584728,0.03787595934453436,0.000622277535780924,0.01501763119684707,0.002655050819332039,0.018834266749636952,0.0015764364239784223,0.003692180045633653,0.03057456959137106,0.003982576228998114,0.0023231694669155756,0.0034432690313213055,0.006471686372121921,0.0,0.026550508193320832,0.02526446795270687,0.0003318813524164632,0.00045633685957269243,4.148516905200239e-05,0.028666251814976174,0.013565650280024877,0.0020327732835511148,0.002696535988384152,0.0007052478738850398,0.0008711885500933825,0.004729309271935267
Decis train Iter 9,0.006264260526861687,0.018626840904376718,0.09454470026965356,0.09454470026965356,0.11055797552375024,0.005724953329184768,0.02974486621032979,0.025637834474175447,0.054511512134411966,0.044140219871395936,0.018211989213856028,0.15324621447832398,0.012984857913295955,0.007218419415059074,0.07562746318191249,0.06575399294752127,0.02845882596971583,0.10280024891101425,0.045260319435801666,0.0,0.10130678282514005,0.08363410080896083,0.06928023231694669,0.004978220286247614,0.30255133789670197,0.1523335407591786,0.006305745695913689,0.025015556938394523,0.029952292055590135,0.0044803982576229195,0.0030284173408006154,0.0,0.12462144783239992,0.08193320887782618,0.0,0.0001659406762082316,0.0,0.006928023231694613,0.0030284173408006154,0.08458825969715822,0.1050404480398257,0.03874714789462763,0.0005393071976768082,0.014146442646753798,0.0026135656502800364,0.018585355735324605,0.0023231694669155756,0.004646338933831151,0.03165318398672479,0.003401783862269192,0.0020327732835511148,0.0036506948765816505,0.007093963907902956,0.0,0.0273387264053101,0.025471893797967216,0.0002489110143123474,0.00037336652146857663,0.0,0.029247044181704984,0.013565650280024877,0.002447624974071805,0.002157228790707344,0.00045633685957269243,0.0007052478738850398,0.00435594275046669
