,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea train Iter 0,-4.495998561271364e-05,0.13586907652189562,0.0014836795252226587,-0.002877439079219446,-0.001168959625932886,-8.99199712255383e-05,-4.495998561271364e-05,0.00035967988490248626,0.00026975991367683694,0.0031022390072835693,0.2188202499775201,0.037721427929143125,0.2634205557054222,0.28320294937505625,0.0012588795971585354,-0.0013937595539968983,0.00130383958277136,0.0060695980577286646,0.0,0.0,-0.0008542397266432245,-0.00211311932380176,0.26733207445373625,0.21468393130114205,0.15254923118424613,0.1255282798309505,0.14036507508317608,0.26841111410844354,0.03542846866289007,-0.00035967988490237524,0.00035967988490248626,0.0,0.10345292689506347,0.15682042981746247,-4.495998561271364e-05,-8.99199712255383e-05,0.0077331175254024,0.14229835446452666,0.13870155561550224,0.12881035878068525,0.16010250876719723,0.004990558403021317,0.001438719539609834,0.0008092797410305108,0.0002247999280641233,0.0062044780145671385,-0.0016185594820609106,0.0021580793094146955,0.0012139196115458217,0.0007193597698049725,-8.99199712255383e-05,-0.00013487995683836296,0.0007643197554176862,0.0,0.03664238827443578,0.04095854689326506,-0.00044959985612802456,-0.00035967988490237524,0.0006743997841921479,-0.0007193597698048615,0.0007193597698049725,0.0004046398705153109,0.0007643197554176862,-8.99199712255383e-05,-0.00170847945328656,0.0004945598417409602
Linea train Iter 1,0.0,0.13708299613344133,0.001708479453286671,-0.002337919251865772,-0.001438719539609723,-4.495998561271364e-05,-0.0003147198992895506,-0.0005844798129663875,0.0003147198992896616,0.0037316788058628925,0.2243053682222822,0.037406708029853464,0.2622965560651021,0.28477654887150444,-0.00022479992806401228,-0.001168959625932886,0.001978239366963508,0.00602463807211584,0.0,0.0,-0.0005844798129663875,-0.001303839582771249,0.2641848754608399,0.21302041183346826,0.15043611186044425,0.12449420016185597,0.14607499325600226,0.26256631597877894,0.035923028504630916,0.0,0.0005395198273536739,0.0,0.10588076611815489,0.15888858915565152,-4.495998561271364e-05,-8.99199712255383e-05,0.007463357611725674,0.14184875460839863,0.13631867637802364,0.12566315978778897,0.15502203039295037,0.004585918532506117,0.00130383958277136,0.002068159338189046,0.0004046398705153109,0.00602463807211584,-0.0012588795971584243,0.0021580793094146955,0.0002247999280641233,0.00035967988490248626,-8.99199712255383e-05,-0.00013487995683836296,0.0007193597698049725,0.0,0.03677726823127425,0.04181278661990828,-0.0006294397985792122,-0.00017983994245118762,0.0005395198273536739,-0.0012139196115457107,0.0008991997122561601,0.00013487995683847398,0.0006294397985793232,0.0005395198273536739,-0.0007643197554175751,0.00013487995683847398
Linea train Iter 2,4.495998561282466e-05,0.13510475676647793,0.0011239996403201724,-0.0024278392230914214,-0.0010790396547072367,0.0,-8.99199712255383e-05,-0.00022479992806401228,0.0004046398705153109,0.0025627191799298954,0.22228216886970603,0.03655246830321024,0.2653987950723856,0.28320294937505625,0.0003147198992896616,-0.001438719539609723,0.002337919251865883,0.006249438000179852,-8.99199712255383e-05,0.0,-8.99199712255383e-05,-0.0018433594101249229,0.26467943530258076,0.21077241255282803,0.14985163204747776,0.1294847585648773,0.13915115547163026,0.2695800737343765,0.034709108893085205,8.991997122564932e-05,0.0007643197554176862,0.0,0.10727452567215179,0.1584389892995235,-4.495998561271364e-05,-8.99199712255383e-05,0.0076431975541768615,0.14288283427749304,0.13613883643557234,0.12759643916913954,0.16095674849384056,0.004990558403021317,0.0011239996403201724,0.00130383958277136,-0.00044959985612802456,0.006294397985792677,-0.0007193597698048615,0.00035967988490248626,0.0008092797410305108,0.0005844798129664985,-4.495998561271364e-05,-0.00022479992806401228,0.0004046398705153109,0.0,0.0366873482600486,0.04208254653358512,-0.0003147198992895506,-0.00044959985612802456,0.0005395198273536739,-0.0008542397266432245,0.0008092797410305108,0.00035967988490248626,0.0009441596978689848,0.0004945598417409602,-0.001168959625932886,0.0007193597698049725
Linea train Iter 3,-4.495998561271364e-05,0.13541947666576748,0.0013487995683841847,-0.003012319036057809,-0.001303839582771249,0.0,-0.00022479992806401228,-0.0005395198273535629,0.0003147198992896616,0.0025177591943170707,0.21917992986242252,0.035608308605341255,0.265084075173096,0.2837874291880227,0.0006743997841921479,-0.0022929592662529474,0.00220303929502752,0.005844798129664652,-4.495998561271364e-05,0.0,-0.0005844798129663875,-0.0016185594820609106,0.26454455534574234,0.21414441147378838,0.1526841111410845,0.12588795971585298,0.1392410754428559,0.26378023559032465,0.03403470910889317,-0.00017983994245118762,0.001034079669094523,0.0,0.10745436561460309,0.1584389892995235,-8.99199712255383e-05,-8.99199712255383e-05,0.0077331175254024,0.13978059527020958,0.1354644366513803,0.13114827803255114,0.16055210862332525,0.004990558403021317,0.0008542397266433355,0.0005395198273536739,0.0003147198992896616,0.0064742379282438645,-0.0008092797410303998,0.0012588795971585354,0.0004945598417409602,0.0013487995683841847,0.0,-0.0002697599136767259,0.001573599496448197,0.0,0.03632766837514623,0.04239726643287478,-0.0004046398705151999,-0.00013487995683836296,0.0003147198992896616,-0.0017534394388992736,0.0008092797410305108,0.00035967988490248626,0.0009891196834818095,0.0003147198992896616,-0.001034079669094412,0.0005395198273536739
Linea train Iter 4,-8.99199712255383e-05,0.13519467673770347,0.001843359410125034,-0.002607679165542609,-0.0012588795971584243,-8.99199712255383e-05,-0.00013487995683836296,-0.0002697599136767259,0.0007643197554176862,0.003371998920960406,0.2199442496178402,0.037002068159338264,0.2642747954320655,0.2843719090009892,0.0005395198273536739,-0.001168959625932886,0.0016185594820610216,0.005754878158439003,0.0,0.0,-0.0003147198992895506,-0.0016185594820609106,0.2688157539789588,0.2129754518478555,0.14958187213380092,0.12669723945688338,0.13910619548601755,0.2641399154752271,0.03484398884992357,-0.00017983994245118762,0.0009891196834818095,0.0,0.10394748673680432,0.157854509486557,-8.99199712255383e-05,0.0,0.007553277582951212,0.14175883463717298,0.1390162755147919,0.1287204388094596,0.15956298893984355,0.0049006384317957785,0.0012588795971585354,0.0009891196834818095,-0.00017983994245118762,0.0064742379282438645,-0.001168959625932886,-0.0008542397266432245,-0.00017983994245118762,-4.495998561271364e-05,4.495998561282466e-05,-0.0004046398705151999,0.0006294397985793232,0.0,0.03596798849024374,0.042037586547972405,-0.0002697599136767259,-0.0006294397985792122,0.0008542397266433355,-0.0007643197554175751,0.0005844798129664985,0.0003147198992896616,0.0008542397266433355,-0.00017983994245118762,-0.0016635194676737353,0.0006294397985793232
Linea train Iter 5,-8.99199712255383e-05,0.13672331624853884,0.0012588795971585354,-0.0028324790936066213,-0.001168959625932886,-4.495998561271364e-05,-0.00022479992806401228,-0.0003147198992895506,0.0004046398705153109,0.003371998920960406,0.22147288912867552,0.037406708029853464,0.26530887510116,0.2845517489434404,0.0006743997841921479,-0.0014836795252225476,0.0025627191799298954,0.005350238287923803,4.495998561282466e-05,0.0,-0.0008092797410303998,-0.002337919251865772,0.26270119593561736,0.21585289092707494,0.14809819260857837,0.12755147918352672,0.14369211401852355,0.26544375505799844,0.03596798849024374,-0.0004945598417408492,0.0006294397985793232,0.0,0.10704972574408778,0.1596529089110692,0.0,4.495998561282466e-05,0.007688157539789686,0.13856667565866387,0.13631867637802364,0.12777627911159073,0.15771962952971863,0.0049006384317957785,0.0013937595539970093,0.0008542397266433355,0.0007193597698049725,0.005934718100890302,-0.001438719539609723,-0.0002697599136767259,0.00017983994245129864,0.0004046398705153109,-0.00013487995683836296,-0.00044959985612802456,0.0008991997122561601,0.0,0.03659742828882295,0.04037406708029856,-0.0007193597698048615,-0.0002697599136767259,0.0005395198273536739,-0.00035967988490237524,0.0008542397266433355,0.0003147198992896616,0.0004945598417409602,-0.00044959985612802456,-0.0018433594101249229,0.0008092797410305108
Linea train Iter 6,0.0,0.14225339447891383,0.0012588795971585354,-0.0021580793094145845,-0.001168959625932886,4.495998561282466e-05,-0.0002697599136767259,-0.0006294397985792122,8.991997122564932e-05,0.00260767916554272,0.2212480892006115,0.03794622785720714,0.2641848754608399,0.2863501483679526,-0.00044959985612802456,-0.0015286395108352613,0.0019332793813506832,0.0063393579714055015,4.495998561282466e-05,0.0,-4.495998561271364e-05,-0.0020231993525761105,0.2653987950723856,0.21144681233702012,0.1445463537451669,0.12669723945688338,0.14018523514072478,0.2624314360219405,0.03556334861972854,-8.99199712255383e-05,0.0008092797410305108,0.0,0.10889308515421281,0.15879866918442587,-8.99199712255383e-05,-8.99199712255383e-05,0.007598237568564037,0.1386565956298894,0.13389083715493222,0.12507867997482247,0.15848394928513632,0.0049006384317957785,0.0019332793813506832,0.0016635194676738463,0.0012139196115458217,0.006564157899469514,-0.0012588795971584243,0.0013937595539970093,0.0004046398705153109,0.00013487995683847398,-8.99199712255383e-05,0.0004046398705153109,0.0005844798129664985,0.0,0.03655246830321024,0.039834547252944885,-0.0004046398705151999,-0.0007193597698048615,0.0009891196834818095,-0.001303839582771249,0.0007643197554176862,0.00026975991367683694,0.0009441596978689848,0.0003147198992896616,-0.0015286395108352613,0.0007193597698049725
Linea train Iter 7,4.495998561282466e-05,0.14014027515511196,0.0009441596978689848,-0.002472799208704246,-0.001034079669094412,0.0,-0.00017983994245118762,-0.00017983994245118762,0.00013487995683847398,0.0032371189641219322,0.2212480892006115,0.03619278841830775,0.26369031561909906,0.2844618289722148,-0.0004945598417408492,-0.0009891196834816984,0.002113119323801871,0.005934718100890302,4.495998561282466e-05,0.0,-0.0003147198992895506,-0.0016635194676737353,0.26647783472709297,0.210547612624764,0.1483679525222552,0.12719179929862423,0.14342235410484672,0.26454455534574234,0.034709108893085205,-8.99199712255383e-05,0.0003147198992896616,0.0,0.10740940562899026,0.1590684290981027,0.0,4.495998561282466e-05,0.007867997482240874,0.14130923478104496,0.13479003686718827,0.12912507867997491,0.15605611006204478,0.0049006384317957785,0.0013937595539970093,0.0005844798129664985,-0.00017983994245118762,0.0063393579714055015,-0.001168959625932886,0.0021580793094146955,0.0009441596978689848,-0.0011239996403200614,-0.00013487995683836296,-0.0003147198992895506,0.001573599496448197,0.0,0.03637262836075894,0.04145310673500591,-0.0006743997841920368,-0.0003147198992895506,0.0005395198273536739,-0.0005844798129663875,0.0006743997841921479,0.00035967988490248626,0.001034079669094523,0.00026975991367683694,-0.0008542397266432245,0.0004495998561281356
Linea train Iter 8,0.0,0.13600395647873398,0.0009891196834818095,-0.0022929592662529474,-0.001168959625932886,-8.99199712255383e-05,-0.00013487995683836296,4.495998561282466e-05,-0.00022479992806401228,0.0026975991367683694,0.22457512813595903,0.03704702814495109,0.2679615142523155,0.2866648682672422,8.991997122564932e-05,-0.0016185594820609106,0.0023828792374787078,0.005889758115277477,-4.495998561271364e-05,0.0,-0.0004945598417408492,-0.001978239366963397,0.2680064742379283,0.21248089200611459,0.15057099181728262,0.12435932020501761,0.13793723586008455,0.2670623145400594,0.034619188921859556,-0.0003147198992895506,0.001034079669094523,0.0,0.10875820519737445,0.15682042981746247,-0.00013487995683836296,-8.99199712255383e-05,0.0076431975541768615,0.14103947486736812,0.1382519557593742,0.12642747954320666,0.15861882924197468,0.0049006384317957785,0.0007193597698049725,0.0004495998561281356,0.00017983994245129864,0.006564157899469514,-0.0009441596978688738,0.001573599496448197,0.0006743997841921479,0.0007193597698049725,-8.99199712255383e-05,-0.0008092797410303998,0.00017983994245129864,0.0,0.03637262836075894,0.041947666576746756,-0.0005395198273535629,-0.00022479992806401228,0.0007193597698049725,-0.0009891196834816984,0.0008092797410305108,0.00017983994245129864,0.0008991997122561601,0.0002247999280641233,-0.0015286395108352613,0.0004945598417409602
Linea train Iter 9,-4.495998561271364e-05,0.1366333962773133,0.0011239996403201724,-0.0016635194676737353,-0.001034079669094412,-0.00013487995683836296,-0.0003147198992895506,-0.0003147198992895506,0.0009891196834818095,0.0028324790936067323,0.21980936966100179,0.037226868087402276,0.2609927164823308,0.2814944699217697,-0.00013487995683836296,-0.0012139196115457107,0.001843359410125034,0.0063393579714055015,4.495998561282466e-05,0.0,-0.0004945598417408492,-0.0021580793094145845,0.26337559571980945,0.21293049186224267,0.1481431525941912,0.12723675928423706,0.13694811617660285,0.26279111590684295,0.035113748763600405,-0.00035967988490237524,0.0004495998561281356,0.0,0.10844348529808479,0.157854509486557,-8.99199712255383e-05,-0.00013487995683836296,0.007867997482240874,0.14270299433504186,0.1392410754428559,0.12728171926984988,0.15753978958726733,0.004990558403021317,0.0013487995683841847,0.0006294397985793232,0.00026975991367683694,0.006429277942631151,-0.0009891196834816984,-0.00013487995683836296,0.00035967988490248626,0.0007643197554176862,-4.495998561271364e-05,-0.0009441596978688738,0.0008991997122561601,0.0,0.036102868447082104,0.04181278661990828,-0.00035967988490237524,-0.00013487995683836296,0.0004945598417409602,-0.0015286395108352613,0.0008092797410305108,0.00026975991367683694,0.0005844798129664985,-0.00013487995683836296,-0.0007643197554175751,0.0004945598417409602
