,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Decis eval Iter 0,-1.748802070578037e-05,0.0,0.0,0.002650684281267357,-7.494866016810597e-06,0.0,0.0,-2.248459805032077e-05,0.05296122156322913,-0.016803489609617417,0.0,0.0200912375023109,0.0,0.0,0.11472641240750081,2.498288672270199e-06,0.0,0.0,0.1506168274731809,0.0,0.001014305200937371,0.008601607898589436,0.0,0.00018487336174721758,-0.0326951038538601,0.03952292679514535,0.0,-2.498288672259097e-05,0.0,0.0,0.0008993839220133859,0.0,0.0,0.0,0.0,0.0,0.0,5.7460639461992535e-05,0.0,-0.022959272898064875,0.08607353962535658,-7.494866016777291e-05,0.0,5.246406211745214e-05,8.993839220128308e-05,-0.0003322723934104932,7.99452375123133e-05,4.247090742837134e-05,0.05634140613679628,0.0,-4.996577344540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720756281946866,0.0,0.0014889800486667104,0.0,0.0,0.0
Decis eval Iter 1,-9.993154689080797e-06,0.0,0.0,0.002588227064460824,-2.498288672270199e-06,0.0,0.0,4.996577344540398e-06,0.05390057810399873,-0.017980183574251685,0.0,0.020321080060158758,0.0,0.0,0.11483883539775253,2.498288672270199e-06,0.0,0.0,0.15068677955600412,0.0,0.0010767624177437929,0.008893907673243828,0.0,0.00011492127892398507,-0.032922448123035686,0.039118204030239245,0.0,-1.748802070578037e-05,0.0,0.0,0.0007594797563669209,0.0,0.0,0.0,0.0,0.0,0.0,7.245037149550271e-05,0.0,-0.02310167535238361,0.08592863888236557,-6.495550547880313e-05,0.0,3.7474330083941965e-05,9.993154689036388e-05,-0.00036475014614989476,9.493496954582348e-05,-3.2477752739401566e-05,0.05679609467514757,0.0,-9.993154689080797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007282511479636433,0.0,0.001381553635759536,0.0,0.0,0.0
Decis eval Iter 2,-7.494866016810597e-06,0.0,0.0,0.0026157082398556852,-4.996577344540398e-06,0.0,0.0,-1.998630937805057e-05,0.05395304216611618,-0.01763541973747984,0.0,0.020051264883554798,0.0,0.0,0.11488630288252544,4.996577344540398e-06,0.0,0.0,0.15035450716259358,0.0,0.0010592743970380125,0.008803969281042434,0.0,0.00011991785626841445,-0.0327600593593389,0.039600373743985395,0.0,-1.748802070578037e-05,0.0,0.0,0.0009268650974082471,0.0,0.0,0.0,0.0,0.0,0.0,7.245037149550271e-05,0.0,-0.02303921813557719,0.08571628434522349,-7.245037149550271e-05,0.0,5.7460639461992535e-05,0.00010742641290717447,-0.00038973303287248573,9.743325821809368e-05,2.7481175394861168e-05,0.056516286343854416,0.0,-2.498288672270199e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007295002922997784,0.0,0.001406536522482127,0.0,0.0,0.0
Decis eval Iter 3,-7.494866016810597e-06,0.0,0.0,0.002763107271518961,0.0,0.0,0.0,-7.494866016810597e-06,0.052583979973718,-0.016933400620574912,0.0,0.019921353872597303,0.0,0.0,0.1147114226754673,4.996577344540398e-06,0.0,0.0,0.15041196780205557,0.0,0.0010417863763322321,0.008076967277414915,0.0,0.00011492127892398507,-0.03281751999880078,0.03924811504119674,0.0,-2.7481175394861168e-05,0.0,0.0,0.0007719711997281609,0.0,0.0,0.0,0.0,0.0,0.0,8.24435261845835e-05,0.0,-0.022754413226939496,0.08636084282266643,-6.495550547880313e-05,0.0,6.495550547869211e-05,0.00010492812423490427,-0.00036475014614989476,0.00019986309378072775,1.4989732033510172e-05,0.05589171417578953,0.0,-7.494866016810597e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00742741222262755,0.0,0.001446509141238228,0.0,0.0,0.0
Decis eval Iter 4,-1.4989732033510172e-05,0.0,0.0,0.0024658109195201394,0.0,0.0,0.0,-1.2491443361350996e-05,0.052516526179567036,-0.01765540604685789,0.0,0.019274297106482097,0.0,0.0,0.11546090927714514,2.498288672270199e-06,0.0,0.0,0.15113647151701082,0.0,0.0010992470157942247,0.00819438684501117,0.0,0.00017488020705813678,-0.032417793811239326,0.039108210875550276,0.0,-2.248459805032077e-05,0.0,0.0,0.0009418548294418683,0.0,0.0,0.0,0.0,0.0,0.0,7.245037149550271e-05,0.0,-0.022934290011342284,0.08560136306629962,-7.245037149550271e-05,0.0,5.246406211745214e-05,8.993839220128308e-05,-0.0003972278988892963,0.00013240929962976544,4.996577344540398e-06,0.05659373329269446,0.0,-4.996577344540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007429910511299709,0.0,0.0015264543787505414,0.0,0.0,0.0
Decis eval Iter 5,-9.993154689080797e-06,0.0,0.0,0.002475804074209109,0.0,0.0,0.0,7.494866016810597e-06,0.053498353627765005,-0.01733062851946421,0.0,0.019741477088194626,0.0,0.0,0.1145815116645098,0.0,0.0,0.0,0.15157367203465627,0.0,0.0010817589950883333,0.008838945322454106,0.0,0.00014490074299100542,-0.032677615833154317,0.038863378585668795,0.0,-2.498288672259097e-05,0.0,0.0,0.000861909591929555,0.0,0.0,0.0,0.0,0.0,0.0,7.99452375123133e-05,0.0,-0.022896815681258342,0.08557138360223249,-5.9958928134262734e-05,0.0,5.4962350789722336e-05,0.00011242299025171487,-0.00037724158951113473,5.7460639461992535e-05,5.7460639461992535e-05,0.055714335680059124,0.0,-9.993154689080797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007262525170258383,0.0,0.0014814851826498998,0.0,0.0,0.0
Decis eval Iter 6,-9.993154689080797e-06,0.0,0.0,0.0030104378500727114,-2.498288672270199e-06,0.0,0.0,-4.996577344540398e-06,0.05331098197734552,-0.017767829037109606,0.0,0.020266117709369036,0.0,0.0,0.11458900653052662,0.0,0.0,0.0,0.15095409644393593,0.0,0.0012266597380794497,0.008281826948540294,0.0,0.0001573921863523564,-0.032667622678465236,0.03868600008993839,0.0,-3.7474330083941965e-05,0.0,0.0,0.000811943818484373,0.0,0.0,0.0,0.0,0.0,0.0,9.243668087355328e-05,0.0,-0.022926795145325474,0.08603856358394502,-6.245721680653293e-05,0.0,5.4962350789722336e-05,0.00010492812423490427,-0.0003372689707550336,5.7460639461992535e-05,9.993154689080797e-06,0.05685855189195399,0.0,-4.996577344540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007487371150761701,0.0,0.0014490074299104982,0.0,0.0,0.0
Decis eval Iter 7,-7.494866016810597e-06,0.0,0.0,0.002880526839115216,0.0,0.0,0.0,7.494866016810597e-06,0.053268511069917146,-0.017830286253916028,0.0,0.020211155358579314,0.0,0.0,0.11461898599459375,7.494866016810597e-06,0.0,0.0,0.15112897665099406,0.0,0.0012116700060458285,0.008656570249379159,0.0,0.0001548938976800862,-0.0326951038538601,0.03849363186217436,0.0,-1.998630937805057e-05,0.0,0.0,0.0008968856333411157,0.0,0.0,0.0,0.0,0.0,0.0,5.7460639461992535e-05,0.0,-0.02305920444495524,0.0869704252586978,-7.99452375123133e-05,0.0,5.4962350789722336e-05,0.00011991785626841445,-0.00036724843482216496,1.748802070578037e-05,7.245037149550271e-05,0.056196505393805274,0.0,-4.996577344540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007354961851131936,0.0,0.0014764886053053594,0.0,0.0,0.0
Decis eval Iter 8,-4.996577344540398e-06,0.0,0.0,0.0027930867355860922,0.0,0.0,0.0,-7.494866016810597e-06,0.05292874381048984,-0.018292469658284127,0.0,0.019479156777607365,0.0,0.0,0.11457151850982072,7.494866016810597e-06,0.0,0.0,0.15101405537207013,0.0,0.000964339427492189,0.00895886317872252,0.0,0.00011991785626841445,-0.03301988138125389,0.039333056856053594,0.0,-2.498288672259097e-05,0.0,0.0,0.0008219369731733428,0.0,0.0,0.0,0.0,0.0,0.0,6.995208282323251e-05,0.0,-0.02286933450586348,0.08593113717103784,-7.245037149550271e-05,0.0,5.7460639461992535e-05,0.00010242983556263408,-0.0004097193422505363,5.9958928134262734e-05,-2.498288672270199e-06,0.056503794900493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007265023458930653,0.0,0.0015064680693724908,0.0,0.0,0.0
Decis eval Iter 9,-7.494866016810597e-06,0.0,0.0,0.003005441272728171,0.0,0.0,0.0,-1.4989732033510172e-05,0.05390807297001554,-0.01741806862299322,0.0,0.02032857492617557,0.0,0.0,0.11555084766934653,4.996577344540398e-06,0.0,0.0,0.1508066974122726,0.0,0.0012341546040961493,0.008634085651328838,0.0,0.0001598904750246266,-0.0327275816065995,0.038888361472391386,0.0,-2.9979464067131367e-05,0.0,0.0,0.001141717923222596,0.0,0.0,0.0,0.0,0.0,0.0,8.49418148568537e-05,0.0,-0.022916801990636393,0.08568880316982863,-5.246406211745214e-05,0.0,6.245721680653293e-05,8.74401035291239e-05,-0.00036974672349443516,4.247090742837134e-05,-4.746748477291174e-05,0.05605410293948643,0.0,-9.993154689080797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007397432758560418,0.0,0.0015289526674228116,0.0,0.0,0.0
